time,Orlando,pts.away,score,pts.home,Washington
4:57.0,E. Payton enters the game for D. Augustin,,11-12,,
4:56.0,,,11-12,,Shooting foul by E. Fournier (drawn by B. Beal)
4:56.0,,,11-12,,B. Beal misses free throw 1 of 2
4:56.0,,,11-12,,Offensive rebound by Team
4:56.0,,,11-13,1,B. Beal makes free throw 2 of 2
4:44.0,S. Ibaka misses 2-pt shot from 19 ft,,11-13,,
4:43.0,,,11-13,,Defensive rebound by J. Wall
4:39.0,,,11-13,,Turnover by A. Nicholson (lost ball)
4:24.0,Turnover by S. Ibaka (lost ball),,11-13,,
4:12.0,,,11-15,2,J. Wall makes 2-pt shot from 7 ft
3:55.0,E. Payton makes 3-pt shot from 23 ft (assist by N. Vucevic),3,14-15,,
3:38.0,,,14-15,,M. Gortat misses 2-pt shot from 7 ft
3:37.0,Defensive rebound by A. Gordon,,14-15,,
3:25.0,E. Payton makes 2-pt shot from 5 ft,2,16-15,,
3:14.0,,,16-15,,B. Beal misses 2-pt shot from 20 ft
3:13.0,Defensive rebound by N. Vucevic,,16-15,,
2:54.0,E. Payton makes 3-pt shot from 26 ft (assist by S. Ibaka),3,19-15,,
2:53.0,,,19-15,,Washington full timeout
2:53.0,,,19-15,,M. Thornton enters the game for B. Beal
2:53.0,J. Green enters the game for A. Gordon,,19-15,,
2:40.0,,,19-17,2,J. Wall makes 2-pt shot from 3 ft
2:20.0,E. Fournier makes 2-pt shot from 6 ft,2,21-17,,
2:00.0,,,21-19,2,M. Gortat makes 2-pt shot from 6 ft
2:00.0,,,21-19,,Shooting foul by N. Vucevic (drawn by M. Gortat)
2:00.0,,,21-19,,M. Gortat misses free throw 1 of 1
1:59.0,Defensive rebound by N. Vucevic,,21-19,,
1:47.0,S. Ibaka misses 3-pt shot from 23 ft,,21-19,,
1:46.0,,,21-19,,Defensive rebound by O. Porter
1:40.0,,,21-22,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
1:24.0,J. Green makes 2-pt shot from 10 ft,2,23-22,,
1:05.0,,,23-22,,Turnover by J. Wall (bad pass; steal by J. Green)
0:55.0,Shooting foul by M. Gortat (drawn by J. Green),,23-22,,
0:55.0,J. Green makes free throw 1 of 2,1,24-22,,
0:55.0,J. Green makes free throw 2 of 2,1,25-22,,
0:55.0,,,24-22,,J. Smith enters the game for M. Gortat
0:55.0,J. Meeks enters the game for S. Ibaka,,24-22,,
0:55.0,,,24-22,,K. Oubre enters the game for O. Porter
0:42.0,,,25-24,2,J. Wall makes 2-pt shot from 15 ft
0:25.0,Turnover by E. Fournier (lost ball),,25-24,,
0:03.0,,,25-24,,J. Wall misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by N. Vucevic,,25-24,,
0:01.0,E. Fournier misses 3-pt shot from 34 ft,,25-24,,
0:00.0,Offensive rebound by Team,,25-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by J. Green (drawn by K. Oubre),,25-24,,
11:45.0,,,25-26,2,M. Thornton makes 2-pt shot from 17 ft (assist by T. Burke)
11:31.0,J. Meeks makes 3-pt shot from 29 ft (assist by N. Vucevic),3,28-26,,
11:10.0,,,28-28,2,A. Nicholson makes 2-pt shot from 11 ft (assist by M. Thornton)
10:54.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,31-28,,
10:41.0,,,31-28,,J. Smith misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by N. Vucevic,,31-28,,
10:28.0,J. Green misses 2-pt shot from 17 ft,,31-28,,
10:27.0,,,31-28,,Defensive rebound by J. Smith
10:19.0,,,31-28,,T. Burke misses 2-pt shot from 7 ft
10:19.0,Defensive rebound by J. Meeks,,31-28,,
10:15.0,,,31-28,,Personal foul by M. Thornton (drawn by J. Green)
9:55.0,B. Biyombo misses 2-pt shot from 8 ft,,31-28,,
9:54.0,Offensive rebound by E. Payton,,31-28,,
9:53.0,E. Payton makes 2-pt shot from 1 ft,2,33-28,,
9:40.0,,,33-30,2,M. Thornton makes 2-pt shot from 6 ft
9:23.0,J. Meeks misses 2-pt shot from 15 ft,,33-30,,
9:22.0,,,33-30,,Defensive rebound by A. Nicholson
9:03.0,,,33-30,,Turnover by M. Thornton (lost ball; steal by N. Vucevic)
8:59.0,J. Green makes 2-pt shot from 3 ft (assist by E. Payton),2,35-30,,
8:59.0,Shooting foul by K. Oubre (drawn by J. Green),,35-30,,
8:59.0,Official timeout,,35-30,,
8:59.0,J. Green makes free throw 1 of 1,1,36-30,,
8:59.0,,,35-30,,M. Morris enters the game for A. Nicholson
8:45.0,,,36-30,,Shooting foul by N. Vucevic (drawn by M. Morris)
8:45.0,,,36-31,1,M. Morris makes free throw 1 of 2
8:45.0,,,36-32,1,M. Morris makes free throw 2 of 2
8:31.0,N. Vucevic misses 2-pt shot from 11 ft,,36-32,,
8:30.0,,,36-32,,Defensive rebound by J. Smith
8:22.0,,,36-35,3,J. Smith makes 3-pt shot from 26 ft (assist by T. Burke)
8:09.0,Shooting foul by K. Oubre (drawn by B. Biyombo),,36-35,,
8:09.0,B. Biyombo misses free throw 1 of 2,,36-35,,
8:09.0,Offensive rebound by Team,,36-35,,
8:09.0,B. Biyombo misses free throw 2 of 2,,36-35,,
8:09.0,,,36-35,,B. Beal enters the game for M. Thornton
8:08.0,,,36-35,,Defensive rebound by B. Beal
7:55.0,,,36-37,2,J. Smith makes 2-pt shot from 17 ft (assist by T. Burke)
7:47.0,,,36-37,,Shooting block foul by M. Morris (drawn by J. Green)
7:47.0,J. Green makes free throw 1 of 2,1,37-37,,
7:47.0,J. Green makes free throw 2 of 2,1,38-37,,
7:34.0,,,38-37,,K. Oubre misses 2-pt shot from 3 ft
7:33.0,,,38-37,,Offensive rebound by K. Oubre
7:32.0,,,38-37,,K. Oubre misses 2-pt shot from 3 ft
7:31.0,Defensive rebound by N. Vucevic,,38-37,,
7:22.0,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton),3,41-37,,
6:57.0,,,41-37,,J. Smith misses 2-pt shot from 17 ft
6:56.0,,,41-37,,Offensive rebound by Team
6:56.0,,,41-37,,Turnover by Team (shot clock)
6:40.0,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton),3,44-37,,
6:29.0,,,44-39,2,T. Burke makes 2-pt shot from 18 ft
6:18.0,E. Payton makes 2-pt shot from 9 ft,2,46-39,,
6:18.0,Shooting foul by T. Burke (drawn by E. Payton),,46-39,,
6:18.0,E. Payton makes free throw 1 of 1,1,47-39,,
6:18.0,,,46-39,,J. Wall enters the game for T. Burke
6:18.0,,,46-39,,M. Gortat enters the game for J. Smith
6:05.0,,,47-39,,Turnover by B. Beal (bad pass; steal by E. Payton)
5:57.0,J. Green makes 2-pt shot from 2 ft (assist by E. Payton),2,49-39,,
5:57.0,Shooting foul by B. Beal (drawn by J. Green),,49-39,,
5:57.0,,,49-39,,Washington full timeout
5:57.0,J. Green misses free throw 1 of 1,,49-39,,
5:56.0,,,49-39,,Defensive rebound by K. Oubre
5:38.0,,,49-39,,K. Oubre misses 3-pt shot from 23 ft
5:37.0,,,49-39,,Offensive rebound by J. Wall
5:32.0,,,49-42,3,J. Wall makes 3-pt shot from 27 ft
5:10.0,J. Green makes 2-pt shot from 5 ft,2,51-42,,
4:58.0,,,51-42,,B. Beal misses 2-pt shot from 4 ft
4:57.0,,,51-42,,Offensive rebound by M. Gortat
4:55.0,,,51-42,,Shooting foul by N. Vucevic (drawn by J. Wall)
4:55.0,,,51-43,1,J. Wall makes free throw 1 of 2
4:55.0,,,51-44,1,J. Wall makes free throw 2 of 2
4:55.0,S. Ibaka enters the game for N. Vucevic,,51-43,,
4:44.0,B. Biyombo makes 2-pt shot from 8 ft,2,53-44,,
4:44.0,Shooting foul by J. Wall (drawn by B. Biyombo),,53-44,,
4:44.0,B. Biyombo misses free throw 1 of 1,,53-44,,
4:44.0,,,53-44,,O. Porter enters the game for K. Oubre
4:42.0,,,53-44,,Defensive rebound by M. Gortat
4:31.0,,,53-44,,B. Beal misses 2-pt shot from 1 ft
4:30.0,,,53-44,,Offensive rebound by B. Beal
4:28.0,,,53-44,,B. Beal misses 2-pt shot at rim (block by S. Ibaka)
4:27.0,Defensive rebound by S. Ibaka,,53-44,,
4:20.0,E. Payton makes 2-pt shot from 1 ft,2,55-44,,
4:15.0,,,55-44,,Shooting foul by J. Meeks (drawn by J. Wall)
4:15.0,,,55-45,1,J. Wall makes free throw 1 of 2
4:15.0,,,55-46,1,J. Wall makes free throw 2 of 2
4:15.0,E. Fournier enters the game for J. Meeks,,55-45,,
4:03.0,E. Payton makes 2-pt shot at rim,2,57-46,,
3:43.0,,,57-46,,M. Morris misses 2-pt shot from 4 ft
3:42.0,Defensive rebound by S. Ibaka,,57-46,,
3:37.0,B. Biyombo misses 2-pt shot from 2 ft (block by M. Morris),,57-46,,
3:36.0,,,57-46,,Defensive rebound by J. Wall
3:24.0,,,57-46,,J. Wall misses 2-pt shot from 6 ft (block by E. Payton)
3:21.0,Defensive rebound by B. Biyombo,,57-46,,
3:19.0,Shooting foul by O. Porter (drawn by E. Payton),,57-46,,
3:19.0,E. Payton makes free throw 1 of 2,1,58-46,,
3:19.0,E. Payton makes free throw 2 of 2,1,59-46,,
3:19.0,A. Gordon enters the game for J. Green,,58-46,,
3:02.0,,,59-48,2,O. Porter makes 2-pt shot from 16 ft (assist by B. Beal)
3:02.0,Loose ball foul by E. Fournier (drawn by M. Morris),,59-48,,
3:02.0,,,59-48,,M. Morris misses free throw 1 of 1
3:01.0,Defensive rebound by B. Biyombo,,59-48,,
2:47.0,E. Fournier makes 3-pt shot from 23 ft (assist by A. Gordon),3,62-48,,
2:27.0,,,62-50,2,B. Beal makes 2-pt shot from 12 ft
2:13.0,Turnover by B. Biyombo (step out of bounds),,62-50,,
2:13.0,Orlando full timeout,,62-50,,
2:04.0,,,62-52,2,J. Wall makes 2-pt shot from 9 ft
1:45.0,Offensive foul by E. Payton,,62-52,,
1:45.0,Turnover by E. Payton (offensive foul),,62-52,,
1:31.0,,,62-52,,Turnover by B. Beal (lost ball; steal by E. Payton)
1:14.0,S. Ibaka makes 2-pt shot from 8 ft (assist by B. Biyombo),2,64-52,,
0:58.0,,,64-52,,J. Wall misses 2-pt shot from 11 ft (block by E. Payton)
0:56.0,Defensive rebound by A. Gordon,,64-52,,
0:52.0,A. Gordon misses 2-pt shot from 1 ft,,64-52,,
0:51.0,Offensive rebound by B. Biyombo,,64-52,,
0:51.0,Shooting foul by B. Beal (drawn by B. Biyombo),,64-52,,
0:51.0,B. Biyombo makes free throw 1 of 2,1,65-52,,
0:51.0,B. Biyombo misses free throw 2 of 2,,65-52,,
0:51.0,D. Augustin enters the game for E. Fournier,,65-52,,
0:50.0,Offensive rebound by B. Biyombo,,65-52,,
0:44.0,Offensive foul by E. Payton,,65-52,,
0:44.0,Turnover by E. Payton (offensive foul),,65-52,,
0:44.0,J. Green enters the game for E. Payton,,65-52,,
0:28.0,,,65-52,,B. Beal misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by B. Biyombo,,65-52,,
0:20.0,Orlando full timeout,,65-52,,
0:20.0,,,65-52,,K. Oubre enters the game for M. Gortat
0:20.0,E. Fournier enters the game for A. Gordon,,65-52,,
0:20.0,J. Meeks enters the game for J. Green,,65-52,,
0:04.0,Turnover by Team (shot clock),,65-52,,
0:04.0,J. Green enters the game for E. Fournier,,65-52,,
0:04.0,A. Gordon enters the game for J. Meeks,,65-52,,
0:04.0,,,65-52,,M. Gortat enters the game for K. Oubre
0:01.0,,,65-52,,J. Wall misses 2-pt shot from 2 ft (block by B. Biyombo)
0:00.0,,,65-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,65-52,,J. Wall misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by B. Biyombo,,65-52,,
11:17.0,E. Fournier misses 3-pt shot from 27 ft,,65-52,,
11:16.0,,,65-52,,Defensive rebound by J. Wall
11:07.0,,,65-52,,M. Morris misses 2-pt shot from 6 ft (block by A. Gordon)
11:06.0,,,65-52,,Offensive rebound by Team
11:05.0,,,65-52,,B. Beal misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by B. Biyombo,,65-52,,
10:53.0,Turnover by B. Biyombo (bad pass; steal by J. Wall),,65-52,,
10:49.0,,,65-52,,J. Wall misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by S. Ibaka,,65-52,,
10:38.0,Shooting foul by O. Porter (drawn by D. Augustin),,65-52,,
10:38.0,D. Augustin misses free throw 1 of 2,,65-52,,
10:38.0,Offensive rebound by Team,,65-52,,
10:38.0,D. Augustin makes free throw 2 of 2,1,66-52,,
10:17.0,,,66-52,,M. Morris misses 3-pt shot from 27 ft
10:17.0,Defensive rebound by Team,,66-52,,
10:00.0,S. Ibaka makes 2-pt shot from 2 ft,2,68-52,,
9:50.0,,,68-52,,B. Beal misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by B. Biyombo,,68-52,,
9:39.0,Shooting foul by O. Porter (drawn by B. Biyombo),,68-52,,
9:39.0,B. Biyombo misses free throw 1 of 2,,68-52,,
9:39.0,Offensive rebound by Team,,68-52,,
9:39.0,B. Biyombo makes free throw 2 of 2,1,69-52,,
9:17.0,,,69-52,,Shooting foul by E. Fournier (drawn by B. Beal)
9:17.0,,,69-53,1,B. Beal makes free throw 1 of 2
9:17.0,,,69-53,,B. Beal misses free throw 2 of 2
9:16.0,Defensive rebound by S. Ibaka,,69-53,,
8:58.0,E. Fournier makes 3-pt shot from 27 ft (assist by D. Augustin),3,72-53,,
8:49.0,,,72-53,,Turnover by O. Porter (offensive foul)
8:49.0,,,72-53,,Offensive foul by O. Porter
8:49.0,,,72-53,,K. Oubre enters the game for O. Porter
8:30.0,Turnover by E. Fournier (lost ball; steal by J. Wall),,72-53,,
8:26.0,,,72-55,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris)
8:08.0,A. Gordon makes 2-pt shot from 1 ft (assist by B. Biyombo),2,74-55,,
7:47.0,,,74-55,,M. Gortat misses 2-pt shot from 12 ft
7:46.0,Defensive rebound by B. Biyombo,,74-55,,
7:38.0,D. Augustin misses 2-pt shot from 16 ft,,74-55,,
7:37.0,,,74-55,,Defensive rebound by M. Gortat
7:30.0,,,74-58,3,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall)
7:03.0,S. Ibaka makes 2-pt shot from 16 ft,2,76-58,,
6:50.0,,,76-58,,M. Gortat misses 2-pt shot from 1 ft (block by S. Ibaka)
6:48.0,Defensive rebound by B. Biyombo,,76-58,,
6:39.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,78-58,,
6:38.0,,,78-58,,Washington full timeout
6:38.0,E. Payton enters the game for D. Augustin,,78-58,,
6:30.0,Shooting block foul by E. Fournier (drawn by M. Morris),,78-58,,
6:30.0,,,78-59,1,M. Morris makes free throw 1 of 2
6:30.0,,,78-60,1,M. Morris makes free throw 2 of 2
6:30.0,D. Augustin enters the game for E. Fournier,,78-59,,
6:17.0,S. Ibaka misses 3-pt shot from 23 ft,,78-60,,
6:16.0,,,78-60,,Defensive rebound by K. Oubre
6:04.0,,,78-62,2,M. Morris makes 2-pt shot from 9 ft
5:41.0,B. Biyombo misses 2-pt shot from 1 ft,,78-62,,
5:40.0,,,78-62,,Defensive rebound by M. Morris
5:34.0,,,78-65,3,J. Wall makes 3-pt shot from 27 ft
5:33.0,Orlando full timeout,,78-65,,
5:33.0,N. Vucevic enters the game for B. Biyombo,,78-65,,
5:16.0,S. Ibaka misses 2-pt shot from 15 ft,,78-65,,
5:14.0,,,78-65,,Defensive rebound by K. Oubre
4:51.0,,,78-67,2,J. Wall makes 2-pt shot at rim
4:40.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,80-67,,
4:21.0,,,80-70,3,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat)
4:07.0,A. Gordon makes 3-pt shot from 26 ft (assist by N. Vucevic),3,83-70,,
3:37.0,,,83-70,,J. Wall misses 3-pt shot from 31 ft
3:37.0,,,83-70,,Offensive rebound by Team
3:37.0,,,83-70,,Turnover by Team (shot clock)
3:37.0,J. Green enters the game for A. Gordon,,83-70,,
3:24.0,D. Augustin makes 3-pt shot from 24 ft (assist by E. Payton),3,86-70,,
3:17.0,,,86-72,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
2:58.0,Shooting foul by M. Morris (drawn by E. Payton),,86-72,,
2:58.0,E. Payton makes 2-pt shot from 2 ft,2,88-72,,
2:58.0,E. Payton makes free throw 1 of 1,1,89-72,,
2:58.0,,,88-72,,J. Smith enters the game for M. Gortat
2:40.0,,,89-74,2,J. Smith makes 2-pt shot from 17 ft (assist by B. Beal)
2:22.0,S. Ibaka misses 2-pt shot from 8 ft,,89-74,,
2:21.0,,,89-74,,Defensive rebound by M. Morris
2:13.0,,,89-77,3,J. Wall makes 3-pt shot from 27 ft
2:03.0,,,89-77,,Personal block foul by J. Smith (drawn by E. Payton)
2:03.0,J. Meeks enters the game for S. Ibaka,,89-77,,
2:02.0,,,89-77,,M. Thornton enters the game for B. Beal
1:48.0,N. Vucevic makes 2-pt shot from 9 ft,2,91-77,,
1:34.0,,,91-77,,Turnover by J. Wall (bad pass; steal by D. Augustin)
1:34.0,,,91-77,,Personal block foul by K. Oubre (drawn by D. Augustin)
1:34.0,D. Augustin misses free throw 1 of 2,,91-77,,
1:34.0,Offensive rebound by Team,,91-77,,
1:34.0,D. Augustin makes free throw 2 of 2,1,92-77,,
1:22.0,,,92-77,,M. Thornton misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by J. Green,,92-77,,
1:17.0,Shooting foul by M. Morris (drawn by J. Green),,92-77,,
1:17.0,J. Green makes free throw 1 of 2,1,93-77,,
1:17.0,J. Green makes free throw 2 of 2,1,94-77,,
1:03.0,,,94-79,2,M. Morris makes 2-pt shot from 4 ft (assist by J. Wall)
0:48.0,N. Vucevic misses 2-pt shot from 9 ft,,94-79,,
0:47.0,,,94-79,,Defensive rebound by J. Smith
0:39.0,Personal foul by J. Green (drawn by M. Morris),,94-79,,
0:35.0,,,94-79,,Shooting foul by E. Payton (drawn by J. Wall)
0:35.0,,,94-80,1,J. Wall makes free throw 1 of 3
0:35.0,,,94-80,,J. Wall misses free throw 2 of 3
0:35.0,,,94-80,,Offensive rebound by Team
0:35.0,,,94-81,1,J. Wall makes free throw 3 of 3
0:28.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton),2,96-81,,
0:04.0,,,96-81,,M. Morris misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by J. Meeks,,96-81,,
0:00.0,J. Meeks misses 3-pt shot from 53 ft,,96-81,,
0:00.0,Offensive rebound by Team,,96-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Meeks makes 2-pt shot from 1 ft (assist by N. Vucevic),2,98-81,,
11:35.0,,,98-83,2,J. Wall makes 2-pt shot from 1 ft
11:13.0,A. Gordon misses 2-pt shot from 8 ft,,98-83,,
11:12.0,,,98-83,,Defensive rebound by M. Gortat
10:59.0,,,98-86,3,K. Oubre makes 3-pt shot from 27 ft (assist by M. Morris)
10:44.0,N. Vucevic misses 3-pt shot from 27 ft,,98-86,,
10:43.0,,,98-86,,Defensive rebound by K. Oubre
10:34.0,,,98-88,2,J. Wall makes 2-pt shot from 5 ft
10:14.0,Shooting foul by M. Thornton (drawn by J. Meeks),,98-88,,
10:14.0,J. Meeks makes free throw 1 of 2,1,99-88,,
10:14.0,J. Meeks makes free throw 2 of 2,1,100-88,,
10:04.0,,,100-88,,Turnover by J. Wall (bad pass; steal by A. Gordon)
10:00.0,A. Gordon makes 2-pt shot at rim (assist by J. Meeks),2,102-88,,
9:59.0,,,102-88,,Washington full timeout
9:59.0,,,102-88,,B. Beal enters the game for M. Morris
9:48.0,,,102-88,,M. Thornton misses 3-pt shot from 28 ft
9:47.0,Defensive rebound by N. Vucevic,,102-88,,
9:26.0,J. Green misses 3-pt shot from 29 ft,,102-88,,
9:26.0,,,102-88,,Defensive rebound by M. Thornton
9:06.0,,,102-88,,M. Gortat misses 2-pt shot from 1 ft
9:05.0,,,102-88,,Offensive rebound by M. Thornton
9:00.0,,,102-88,,M. Thornton misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by N. Vucevic,,102-88,,
8:51.0,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton),3,105-88,,
8:34.0,,,105-90,2,M. Thornton makes 2-pt shot from 2 ft (assist by B. Beal)
8:11.0,N. Vucevic misses 2-pt shot from 13 ft,,105-90,,
8:10.0,Offensive rebound by Team,,105-90,,
8:10.0,,,105-90,,O. Porter enters the game for K. Oubre
8:08.0,,,105-90,,Shooting block foul by M. Gortat (drawn by J. Meeks)
8:08.0,J. Meeks makes free throw 1 of 2,1,106-90,,
8:08.0,J. Meeks makes free throw 2 of 2,1,107-90,,
7:54.0,,,107-90,,B. Beal misses 3-pt shot from 27 ft
7:53.0,,,107-90,,Offensive rebound by M. Thornton
7:51.0,,,107-92,2,M. Thornton makes 2-pt shot from 1 ft
7:36.0,N. Vucevic misses 3-pt shot from 26 ft,,107-92,,
7:35.0,,,107-92,,Defensive rebound by M. Thornton
7:30.0,,,107-95,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Thornton)
7:10.0,E. Payton misses 2-pt shot at rim,,107-95,,
7:09.0,Offensive rebound by N. Vucevic,,107-95,,
7:08.0,N. Vucevic makes 2-pt shot from 1 ft,2,109-95,,
6:56.0,,,109-98,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
6:56.0,Orlando full timeout,,109-98,,
6:56.0,E. Fournier enters the game for J. Green,,109-98,,
6:56.0,B. Biyombo enters the game for J. Meeks,,109-98,,
6:31.0,E. Fournier misses 3-pt shot from 24 ft,,109-98,,
6:30.0,,,109-98,,Defensive rebound by M. Thornton
6:26.0,Violation by A. Gordon (def goaltending),,109-98,,
6:26.0,,,109-100,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Thornton)
6:05.0,A. Gordon misses 2-pt shot from 17 ft,,109-100,,
6:03.0,Offensive rebound by N. Vucevic,,109-100,,
5:43.0,E. Fournier misses 2-pt shot from 9 ft,,109-100,,
5:42.0,,,109-100,,Defensive rebound by M. Gortat
5:36.0,,,109-100,,J. Wall misses 2-pt shot at rim (block by A. Gordon)
5:35.0,,,109-100,,Offensive rebound by O. Porter
5:28.0,,,109-100,,Turnover by B. Beal (lost ball; steal by E. Payton)
5:25.0,E. Payton misses 2-pt shot from 2 ft (block by M. Gortat),,109-100,,
5:24.0,Offensive rebound by N. Vucevic,,109-100,,
5:23.0,Shooting foul by B. Beal (drawn by N. Vucevic),,109-100,,
5:23.0,N. Vucevic makes free throw 1 of 2,1,110-100,,
5:23.0,N. Vucevic makes free throw 2 of 2,1,111-100,,
5:23.0,S. Ibaka enters the game for B. Biyombo,,110-100,,
5:17.0,,,111-102,2,J. Wall makes 2-pt shot from 1 ft
5:00.0,E. Fournier makes 2-pt shot from 6 ft (assist by N. Vucevic),2,113-102,,
4:43.0,,,113-104,2,J. Wall makes 2-pt shot from 1 ft
4:26.0,Turnover by E. Fournier (lost ball),,113-104,,
4:26.0,J. Green enters the game for A. Gordon,,113-104,,
4:26.0,B. Biyombo enters the game for N. Vucevic,,113-104,,
4:18.0,,,113-104,,J. Wall misses 2-pt shot from 5 ft
4:17.0,Defensive rebound by E. Fournier,,113-104,,
