time,Cleveland,pts.away,score,pts.home,Milwaukee
8:01.0,T. Thompson misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,10-4,,
8:01.0,Offensive rebound by Team,,10-4,,
7:54.0,L. James makes 2-pt shot from 5 ft,2,12-4,,
7:42.0,,,12-6,2,J. Parker makes 2-pt shot from 2 ft
7:16.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,14-6,,
6:55.0,,,14-6,,M. Dellavedova misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by T. Thompson,,14-6,,
6:40.0,,,14-6,,M. Brogdon enters the game for M. Dellavedova
6:37.0,J. Smith misses 3-pt shot from 26 ft,,14-6,,
6:36.0,Offensive rebound by T. Thompson,,14-6,,
6:34.0,T. Thompson makes 2-pt shot at rim,2,16-6,,
6:25.0,,,16-6,,J. Henson misses 2-pt shot from 5 ft
6:23.0,Defensive rebound by T. Thompson,,16-6,,
6:17.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,18-6,,
6:16.0,,,18-6,,Milwaukee full timeout
6:16.0,,,18-6,,M. Teletovic enters the game for G. Antetokounmpo
6:01.0,,,18-8,2,J. Parker makes 2-pt shot from 19 ft
5:48.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,20-8,,
5:26.0,,,20-11,3,T. Snell makes 3-pt shot from 28 ft (assist by M. Brogdon)
5:09.0,Shooting foul by M. Brogdon (drawn by K. Irving),,20-11,,
5:09.0,K. Irving makes free throw 1 of 2,1,21-11,,
5:09.0,K. Irving makes free throw 2 of 2,1,22-11,,
5:09.0,,,21-11,,G. Monroe enters the game for J. Henson
5:02.0,,,22-11,,M. Brogdon misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by T. Thompson,,22-11,,
4:44.0,K. Irving misses 2-pt shot from 12 ft,,22-11,,
4:43.0,Offensive rebound by T. Thompson,,22-11,,
4:20.0,T. Thompson misses 2-pt shot from 5 ft (block by T. Snell),,22-11,,
4:19.0,,,22-11,,Defensive rebound by T. Snell
4:16.0,,,22-11,,T. Snell misses 2-pt shot from 8 ft
4:15.0,Defensive rebound by R. Jefferson,,22-11,,
4:06.0,,,22-11,,Def 3 sec tech foul by G. Monroe
4:06.0,K. Irving makes technical free throw,1,23-11,,
3:58.0,R. Jefferson makes 3-pt shot from 28 ft (assist by K. Irving),3,26-11,,
3:42.0,,,26-13,2,M. Teletovic makes 2-pt shot from 17 ft (assist by M. Brogdon)
3:30.0,,,26-13,,Personal foul by M. Brogdon (drawn by K. Irving)
3:20.0,Shooting foul by J. Parker (drawn by L. James),,26-13,,
3:20.0,L. James makes free throw 1 of 2,1,27-13,,
3:20.0,L. James misses free throw 2 of 2,,27-13,,
3:20.0,C. Frye enters the game for T. Thompson,,27-13,,
3:19.0,,,27-13,,Defensive rebound by M. Teletovic
3:08.0,,,27-15,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
3:08.0,,,27-15,,Shooting foul by C. Frye (drawn by G. Monroe)
3:08.0,,,27-15,,G. Monroe misses free throw 1 of 1
3:08.0,I. Shumpert enters the game for L. James,,27-15,,
3:07.0,Defensive rebound by R. Jefferson,,27-15,,
2:44.0,I. Shumpert misses 2-pt shot from 15 ft,,27-15,,
2:43.0,,,27-15,,Defensive rebound by T. Snell
2:32.0,,,27-17,2,M. Teletovic makes 2-pt shot at rim (assist by T. Snell)
2:18.0,C. Frye makes 3-pt shot from 28 ft (assist by K. Irving),3,30-17,,
2:04.0,,,30-19,2,J. Parker makes 2-pt shot at rim
1:46.0,C. Frye misses 2-pt shot from 18 ft,,30-19,,
1:45.0,,,30-19,,Defensive rebound by M. Teletovic
1:37.0,,,30-21,2,M. Brogdon makes 2-pt shot at rim
1:23.0,K. Irving makes 2-pt shot from 2 ft,2,32-21,,
1:11.0,,,32-23,2,J. Parker makes 2-pt shot from 20 ft (assist by M. Brogdon)
0:57.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,35-23,,
0:39.0,,,35-25,2,J. Parker makes 2-pt shot from 1 ft
0:28.0,K. Irving misses 2-pt shot from 1 ft,,35-25,,
0:26.0,,,35-25,,Defensive rebound by G. Monroe
0:05.0,,,35-27,2,G. Monroe makes 2-pt shot from 3 ft (assist by M. Brogdon)
0:00.0,K. Irving misses 2-pt shot from 20 ft,,35-27,,
0:00.0,Offensive rebound by Team,,35-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,35-27,,Offensive foul by M. Teletovic
11:50.0,,,35-27,,Turnover by M. Teletovic (offensive foul)
11:39.0,L. James makes 2-pt shot from 1 ft (assist by D. Liggins),2,37-27,,
11:20.0,Personal foul by C. Frye (drawn by G. Monroe),,37-27,,
11:10.0,,,37-27,,G. Antetokounmpo misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by L. James,,37-27,,
10:55.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Liggins),3,40-27,,
10:31.0,,,40-27,,G. Monroe misses 2-pt shot from 1 ft
10:30.0,Defensive rebound by C. Frye,,40-27,,
10:07.0,C. Frye misses 3-pt shot from 28 ft,,40-27,,
10:06.0,,,40-27,,Defensive rebound by M. Teletovic
9:57.0,,,40-27,,M. Teletovic misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by D. Liggins,,40-27,,
9:38.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,43-27,,
9:25.0,,,43-27,,Turnover by G. Antetokounmpo (lost ball; steal by I. Shumpert)
9:22.0,Shooting foul by G. Antetokounmpo (drawn by I. Shumpert),,43-27,,
9:22.0,I. Shumpert misses free throw 1 of 2,,43-27,,
9:22.0,Offensive rebound by Team,,43-27,,
9:22.0,I. Shumpert makes free throw 2 of 2,1,44-27,,
9:07.0,,,44-29,2,M. Teletovic makes 2-pt shot from 20 ft (assist by J. Terry)
8:48.0,I. Shumpert makes 3-pt shot from 27 ft,3,47-29,,
8:33.0,,,47-29,,M. Dellavedova misses 3-pt shot from 23 ft
8:31.0,,,47-29,,Offensive rebound by G. Monroe
8:31.0,,,47-29,,G. Monroe misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by D. Liggins,,47-29,,
8:23.0,M. Dunleavy misses 3-pt shot from 26 ft,,47-29,,
8:21.0,,,47-29,,Defensive rebound by M. Dellavedova
8:16.0,,,47-32,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova)
7:52.0,I. Shumpert makes 2-pt shot from 16 ft,2,49-32,,
7:32.0,,,49-32,,J. Terry misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by I. Shumpert,,49-32,,
7:25.0,Turnover by L. James (bad pass),,49-32,,
7:25.0,Official timeout,,49-32,,
7:25.0,,,49-32,,J. Parker enters the game for M. Teletovic
7:25.0,,,49-32,,J. Henson enters the game for G. Monroe
7:11.0,,,49-32,,Turnover by M. Dellavedova (lost ball; steal by D. Liggins)
7:05.0,Turnover by D. Liggins (bad pass; steal by J. Henson),,49-32,,
7:05.0,,,49-32,,Turnover by J. Parker (bad pass)
6:41.0,L. James misses 3-pt shot from 26 ft,,49-32,,
6:40.0,,,49-32,,Defensive rebound by J. Parker
6:36.0,,,49-32,,Shooting foul by C. Frye (drawn by J. Parker)
6:36.0,,,49-33,1,J. Parker makes free throw 1 of 2
6:36.0,,,49-34,1,J. Parker makes free throw 2 of 2
6:36.0,T. Thompson enters the game for C. Frye,,49-33,,
6:25.0,Turnover by M. Dunleavy (lost ball; steal by J. Henson),,49-34,,
6:24.0,Personal foul by L. James (drawn by G. Antetokounmpo),,49-34,,
6:24.0,K. Irving enters the game for D. Liggins,,49-34,,
6:12.0,,,49-34,,J. Parker misses 3-pt shot from 26 ft
6:11.0,,,49-34,,Offensive rebound by G. Antetokounmpo
6:07.0,,,49-36,2,G. Antetokounmpo makes 2-pt shot at rim
6:07.0,,,49-36,,Shooting foul by M. Dunleavy (drawn by G. Antetokounmpo)
6:07.0,,,49-37,1,G. Antetokounmpo makes free throw 1 of 1
5:44.0,L. James misses 2-pt shot from 12 ft,,49-37,,
5:43.0,,,49-37,,Defensive rebound by J. Terry
5:25.0,,,49-37,,Offensive foul by G. Antetokounmpo
5:25.0,,,49-37,,Turnover by G. Antetokounmpo (offensive foul)
5:25.0,,,49-37,,Milwaukee full timeout
5:25.0,R. Jefferson enters the game for I. Shumpert,,49-37,,
5:25.0,J. Smith enters the game for M. Dunleavy,,49-37,,
5:25.0,,,49-37,,T. Snell enters the game for M. Dellavedova
5:25.0,,,49-37,,M. Brogdon enters the game for J. Terry
5:14.0,J. Smith misses 2-pt shot from 15 ft,,49-37,,
5:13.0,,,49-37,,Defensive rebound by M. Brogdon
4:59.0,,,49-37,,Turnover by M. Brogdon (bad pass)
4:40.0,R. Jefferson misses 3-pt shot from 24 ft,,49-37,,
4:40.0,,,49-37,,Defensive rebound by Team
4:25.0,,,49-37,,J. Parker misses 2-pt shot from 9 ft
4:23.0,,,49-37,,Offensive rebound by J. Henson
4:23.0,,,49-39,2,J. Henson makes 2-pt shot from 1 ft
4:10.0,R. Jefferson misses 3-pt shot from 24 ft,,49-39,,
4:09.0,,,49-39,,Defensive rebound by J. Henson
4:00.0,,,49-41,2,J. Parker makes 2-pt shot at rim
3:58.0,Cleveland full timeout,,49-41,,
3:39.0,K. Irving misses 2-pt shot from 16 ft,,49-41,,
3:38.0,Offensive rebound by T. Thompson,,49-41,,
3:36.0,T. Thompson makes 2-pt shot from 1 ft,2,51-41,,
3:36.0,Shooting foul by J. Parker (drawn by T. Thompson),,51-41,,
3:36.0,T. Thompson makes free throw 1 of 1,1,52-41,,
3:26.0,,,52-43,2,M. Brogdon makes 2-pt shot from 1 ft
3:05.0,Turnover by K. Irving (bad pass; steal by G. Antetokounmpo),,52-43,,
2:59.0,,,52-45,2,J. Parker makes 2-pt shot at rim (assist by T. Snell)
2:35.0,L. James misses 2-pt shot from 15 ft,,52-45,,
2:35.0,,,52-45,,Defensive rebound by Team
2:35.0,Loose ball foul by T. Thompson (drawn by J. Henson),,52-45,,
2:35.0,,,52-45,,J. Henson misses free throw 1 of 2
2:35.0,,,52-45,,Offensive rebound by Team
2:35.0,,,52-45,,J. Henson misses free throw 2 of 2
2:33.0,Defensive rebound by T. Thompson,,52-45,,
2:26.0,Offensive foul by T. Thompson,,52-45,,
2:26.0,Turnover by T. Thompson (offensive foul),,52-45,,
2:26.0,J. Jones enters the game for T. Thompson,,52-45,,
2:16.0,,,52-47,2,J. Henson makes 2-pt shot from 3 ft (assist by M. Brogdon)
1:55.0,Shooting foul by T. Snell (drawn by L. James),,52-47,,
1:55.0,L. James makes free throw 1 of 2,1,53-47,,
1:55.0,L. James makes free throw 2 of 2,1,54-47,,
1:37.0,,,54-47,,G. Antetokounmpo misses 2-pt shot at rim
1:35.0,Defensive rebound by L. James,,54-47,,
1:31.0,L. James makes 2-pt shot from 3 ft,2,56-47,,
1:24.0,Personal foul by J. Jones (drawn by J. Henson),,56-47,,
1:24.0,,,56-48,1,J. Henson makes free throw 1 of 2
1:24.0,,,56-49,1,J. Henson makes free throw 2 of 2
1:24.0,,,56-48,,M. Dellavedova enters the game for M. Brogdon
1:04.0,J. Smith misses 2-pt shot from 19 ft,,56-49,,
1:03.0,,,56-49,,Defensive rebound by G. Antetokounmpo
0:53.0,,,56-49,,T. Snell misses 3-pt shot from 27 ft
0:52.0,,,56-49,,Offensive rebound by M. Dellavedova
0:47.0,Personal foul by J. Smith (drawn by G. Antetokounmpo),,56-49,,
0:47.0,,,56-50,1,G. Antetokounmpo makes free throw 1 of 2
0:47.0,,,56-51,1,G. Antetokounmpo makes free throw 2 of 2
0:26.0,Shooting foul by J. Parker (drawn by J. Jones),,56-51,,
0:26.0,J. Jones misses free throw 1 of 2,,56-51,,
0:26.0,Offensive rebound by Team,,56-51,,
0:26.0,J. Jones makes free throw 2 of 2,1,57-51,,
0:16.0,,,57-51,,Shooting foul by J. Smith (drawn by G. Antetokounmpo)
0:16.0,,,57-52,1,G. Antetokounmpo makes free throw 1 of 2
0:16.0,,,57-53,1,G. Antetokounmpo makes free throw 2 of 2
0:16.0,,,57-52,,M. Brogdon enters the game for J. Parker
0:00.0,L. James misses 2-pt shot from 9 ft,,57-53,,
0:00.0,Offensive rebound by Team,,57-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,57-53,,T. Snell misses 3-pt shot from 24 ft
11:41.0,,,57-53,,Offensive rebound by J. Parker
11:29.0,,,57-53,,G. Antetokounmpo misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by K. Irving,,57-53,,
11:07.0,K. Irving misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,57-53,,
11:04.0,,,57-53,,Defensive rebound by J. Henson
11:03.0,,,57-53,,Shooting foul by R. Jefferson (drawn by J. Parker)
11:03.0,,,57-54,1,J. Parker makes free throw 1 of 2
11:03.0,,,57-55,1,J. Parker makes free throw 2 of 2
10:46.0,R. Jefferson misses 3-pt shot from 24 ft,,57-55,,
10:44.0,,,57-55,,Defensive rebound by J. Henson
10:39.0,,,57-55,,J. Parker misses 2-pt shot from 1 ft
10:37.0,,,57-55,,Offensive rebound by Team
10:26.0,,,57-58,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Henson)
10:07.0,L. James misses 2-pt shot from 10 ft,,57-58,,
10:05.0,,,57-58,,Defensive rebound by G. Antetokounmpo
9:55.0,,,57-58,,J. Parker misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by L. James,,57-58,,
9:44.0,L. James makes 2-pt shot from 15 ft,2,59-58,,
9:23.0,,,59-58,,G. Antetokounmpo misses 2-pt shot from 8 ft
9:21.0,,,59-58,,Offensive rebound by J. Henson
9:20.0,,,59-58,,Turnover by J. Henson (lost ball; steal by R. Jefferson)
9:07.0,K. Irving makes 3-pt shot from 23 ft,3,62-58,,
8:48.0,,,62-60,2,J. Henson makes 2-pt shot from 17 ft (assist by M. Dellavedova)
8:27.0,L. James misses 3-pt shot from 28 ft,,62-60,,
8:26.0,,,62-60,,Defensive rebound by G. Antetokounmpo
8:22.0,,,62-60,,Shooting foul by R. Jefferson (drawn by G. Antetokounmpo)
8:22.0,,,62-61,1,G. Antetokounmpo makes free throw 1 of 2
8:22.0,,,62-62,1,G. Antetokounmpo makes free throw 2 of 2
8:10.0,K. Irving misses 2-pt shot from 12 ft,,62-62,,
8:08.0,,,62-62,,Defensive rebound by J. Parker
7:55.0,,,62-62,,Shooting foul by T. Thompson (drawn by J. Henson)
7:55.0,,,62-63,1,J. Henson makes free throw 1 of 2
7:55.0,,,62-64,1,J. Henson makes free throw 2 of 2
7:55.0,C. Frye enters the game for T. Thompson,,62-63,,
7:38.0,K. Irving misses 2-pt shot from 10 ft,,62-64,,
7:37.0,,,62-64,,Defensive rebound by J. Henson
7:33.0,,,62-66,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
7:33.0,Cleveland full timeout,,62-66,,
7:21.0,Shooting foul by M. Dellavedova (drawn by K. Irving),,62-66,,
7:21.0,K. Irving makes free throw 1 of 2,1,63-66,,
7:21.0,K. Irving makes free throw 2 of 2,1,64-66,,
7:03.0,,,64-66,,Turnover by T. Snell (traveling)
6:50.0,Turnover by R. Jefferson (bad pass; steal by G. Antetokounmpo),,64-66,,
6:46.0,,,64-68,2,G. Antetokounmpo makes 2-pt shot at rim
6:33.0,L. James makes 3-pt shot from 26 ft,3,67-68,,
6:22.0,,,67-71,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by J. Parker)
6:08.0,L. James misses 3-pt shot from 30 ft,,67-71,,
6:07.0,,,67-71,,Defensive rebound by G. Antetokounmpo
6:00.0,,,67-71,,M. Dellavedova misses 3-pt shot from 27 ft
5:59.0,Defensive rebound by Team,,67-71,,
5:59.0,I. Shumpert enters the game for R. Jefferson,,67-71,,
5:38.0,K. Irving makes 2-pt shot from 18 ft,2,69-71,,
5:24.0,,,69-71,,J. Henson misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by I. Shumpert,,69-71,,
5:18.0,,,69-71,,M. Brogdon enters the game for M. Dellavedova
5:18.0,,,69-71,,J. Terry enters the game for J. Henson
5:06.0,C. Frye misses 3-pt shot from 29 ft,,69-71,,
5:04.0,Offensive rebound by L. James,,69-71,,
5:00.0,K. Irving misses 3-pt shot from 26 ft,,69-71,,
4:59.0,,,69-71,,Defensive rebound by G. Antetokounmpo
4:46.0,,,69-71,,G. Antetokounmpo misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by K. Irving,,69-71,,
4:37.0,K. Irving makes 2-pt shot from 2 ft,2,71-71,,
4:36.0,,,71-71,,Milwaukee full timeout
4:36.0,,,71-71,,M. Teletovic enters the game for G. Antetokounmpo
4:20.0,,,71-71,,M. Brogdon misses 3-pt shot from 27 ft
4:19.0,Defensive rebound by I. Shumpert,,71-71,,
3:55.0,L. James makes 3-pt shot from 25 ft (assist by D. Liggins),3,74-71,,
3:38.0,,,74-71,,M. Teletovic misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by K. Irving,,74-71,,
3:30.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,77-71,,
3:07.0,,,77-73,2,M. Brogdon makes 2-pt shot at rim
2:51.0,K. Irving misses 2-pt shot from 2 ft,,77-73,,
2:50.0,Offensive rebound by L. James,,77-73,,
2:50.0,L. James misses 2-pt shot from 2 ft,,77-73,,
2:48.0,,,77-73,,Defensive rebound by J. Parker
2:43.0,,,77-73,,M. Brogdon misses 3-pt shot from 23 ft
2:42.0,,,77-73,,Offensive rebound by M. Teletovic
2:36.0,,,77-73,,J. Terry misses 3-pt shot from 23 ft
2:35.0,,,77-73,,Offensive rebound by J. Parker
2:23.0,,,77-73,,Turnover by M. Brogdon (traveling)
2:23.0,M. Dunleavy enters the game for L. James,,77-73,,
2:08.0,Shooting foul by M. Teletovic (drawn by C. Frye),,77-73,,
2:08.0,C. Frye makes free throw 1 of 2,1,78-73,,
2:08.0,C. Frye makes free throw 2 of 2,1,79-73,,
2:08.0,,,78-73,,G. Antetokounmpo enters the game for T. Snell
2:08.0,,,78-73,,M. Dellavedova enters the game for J. Parker
1:45.0,,,79-73,,J. Terry misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by K. Irving,,79-73,,
1:29.0,Turnover by K. Irving (bad pass; steal by M. Brogdon),,79-73,,
1:26.0,,,79-73,,Shooting foul by M. Dunleavy (drawn by G. Antetokounmpo)
1:26.0,,,79-73,,G. Antetokounmpo misses free throw 1 of 2
1:26.0,,,79-73,,Offensive rebound by Team
1:26.0,,,79-74,1,G. Antetokounmpo makes free throw 2 of 2
1:06.0,I. Shumpert misses 3-pt shot from 25 ft,,79-74,,
1:05.0,,,79-74,,Defensive rebound by M. Teletovic
0:58.0,,,79-74,,M. Teletovic misses 3-pt shot from 29 ft
0:57.0,Defensive rebound by M. Dunleavy,,79-74,,
0:44.0,K. Irving makes 2-pt shot from 4 ft,2,81-74,,
0:33.0,,,81-74,,J. Terry misses 2-pt shot from 4 ft
0:32.0,,,81-74,,Offensive rebound by J. Terry
0:32.0,,,81-76,2,J. Terry makes 2-pt shot from 4 ft
0:09.0,D. Liggins makes 3-pt shot from 25 ft (assist by C. Frye),3,84-76,,
0:02.0,,,84-78,2,M. Dellavedova makes 2-pt shot from 1 ft
0:00.0,C. Frye misses 3-pt shot from 42 ft,,84-78,,
0:00.0,Offensive rebound by Team,,84-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,84-78,,Violation by M. Brogdon (kicked ball)
11:27.0,I. Shumpert misses 3-pt shot from 23 ft,,84-78,,
11:26.0,,,84-78,,Defensive rebound by G. Antetokounmpo
11:19.0,,,84-78,,J. Parker misses 2-pt shot from 2 ft
11:17.0,,,84-78,,Offensive rebound by J. Parker
11:17.0,,,84-78,,J. Parker misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by M. Dunleavy,,84-78,,
11:09.0,L. James misses 2-pt shot from 3 ft,,84-78,,
11:07.0,,,84-78,,Defensive rebound by G. Antetokounmpo
10:53.0,,,84-78,,M. Teletovic misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by I. Shumpert,,84-78,,
10:39.0,,,84-78,,Personal foul by M. Brogdon (drawn by C. Frye)
10:31.0,D. Liggins misses 3-pt shot from 23 ft,,84-78,,
10:30.0,,,84-78,,Defensive rebound by G. Antetokounmpo
10:25.0,,,84-78,,Shooting foul by M. Dunleavy (drawn by G. Antetokounmpo)
10:25.0,,,84-79,1,G. Antetokounmpo makes free throw 1 of 2
10:25.0,,,84-80,1,G. Antetokounmpo makes free throw 2 of 2
10:01.0,C. Frye misses 3-pt shot from 24 ft,,84-80,,
10:00.0,,,84-80,,Defensive rebound by J. Parker
9:54.0,,,84-80,,J. Parker misses 2-pt shot from 1 ft (block by L. James)
9:54.0,,,84-80,,Offensive rebound by Team
9:54.0,K. Irving enters the game for D. Liggins,,84-80,,
9:47.0,,,84-80,,Turnover by M. Dellavedova (bad pass; steal by L. James)
9:41.0,C. Frye makes 2-pt shot from 17 ft (assist by L. James),2,86-80,,
9:22.0,,,86-80,,G. Antetokounmpo misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by C. Frye,,86-80,,
9:00.0,L. James makes 3-pt shot from 30 ft (assist by I. Shumpert),3,89-80,,
8:59.0,,,89-80,,Milwaukee full timeout
8:59.0,,,89-80,,G. Monroe enters the game for M. Brogdon
8:59.0,,,89-80,,T. Snell enters the game for M. Teletovic
8:43.0,,,89-82,2,J. Parker makes 2-pt shot from 2 ft
8:43.0,,,89-82,,Shooting foul by I. Shumpert (drawn by J. Parker)
8:43.0,,,89-82,,J. Parker misses free throw 1 of 1
8:42.0,Defensive rebound by L. James,,89-82,,
8:28.0,,,89-82,,Personal foul by M. Dellavedova (drawn by K. Irving)
8:14.0,Turnover by M. Dunleavy (bad pass; steal by M. Dellavedova),,89-82,,
8:04.0,,,89-82,,Shooting foul by C. Frye (drawn by G. Antetokounmpo)
8:04.0,,,89-82,,G. Antetokounmpo misses free throw 1 of 2
8:04.0,,,89-82,,Offensive rebound by Team
8:04.0,,,89-83,1,G. Antetokounmpo makes free throw 2 of 2
7:52.0,K. Irving misses 2-pt shot from 3 ft (block by T. Snell),,89-83,,
7:50.0,,,89-83,,Defensive rebound by T. Snell
7:37.0,,,89-86,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by J. Parker)
7:13.0,C. Frye makes 2-pt shot from 1 ft (assist by I. Shumpert),2,91-86,,
6:47.0,,,91-89,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by G. Monroe)
6:37.0,,,91-89,,Personal foul by G. Monroe (drawn by L. James)
6:37.0,R. Jefferson enters the game for M. Dunleavy,,91-89,,
6:28.0,Shooting foul by G. Antetokounmpo (drawn by K. Irving),,91-89,,
6:28.0,K. Irving makes free throw 1 of 2,1,92-89,,
6:28.0,K. Irving makes free throw 2 of 2,1,93-89,,
6:04.0,,,93-89,,Turnover by Team (shot clock)
6:04.0,T. Thompson enters the game for C. Frye,,93-89,,
5:46.0,I. Shumpert misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,93-89,,
5:44.0,Offensive rebound by T. Thompson,,93-89,,
5:43.0,Shooting foul by G. Antetokounmpo (drawn by T. Thompson),,93-89,,
5:43.0,Official timeout,,93-89,,
5:43.0,T. Thompson makes free throw 1 of 2,1,94-89,,
5:43.0,T. Thompson misses free throw 2 of 2,,94-89,,
5:42.0,,,94-89,,Defensive rebound by G. Monroe
5:23.0,,,94-89,,Turnover by G. Monroe (bad pass; steal by T. Thompson)
5:07.0,I. Shumpert misses 2-pt shot from 15 ft,,94-89,,
5:06.0,,,94-89,,Defensive rebound by G. Antetokounmpo
4:58.0,,,94-89,,M. Dellavedova misses 3-pt shot from 28 ft
4:57.0,Defensive rebound by T. Thompson,,94-89,,
4:37.0,K. Irving misses 2-pt shot from 1 ft,,94-89,,
4:35.0,,,94-89,,Defensive rebound by G. Monroe
4:29.0,,,94-91,2,J. Parker makes 2-pt shot from 1 ft (assist by T. Snell)
4:01.0,L. James makes 3-pt shot from 28 ft,3,97-91,,
3:43.0,Personal foul by K. Irving (drawn by J. Parker),,97-91,,
3:37.0,,,97-93,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
3:12.0,L. James misses 3-pt shot from 30 ft,,97-93,,
3:10.0,,,97-93,,Defensive rebound by T. Snell
2:55.0,,,97-93,,G. Antetokounmpo misses 3-pt shot from 27 ft
2:55.0,Defensive rebound by Team,,97-93,,
2:55.0,Cleveland full timeout,,97-93,,
2:33.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,100-93,,
2:13.0,,,100-93,,J. Parker misses 2-pt shot from 16 ft
2:12.0,Defensive rebound by T. Thompson,,100-93,,
1:49.0,L. James misses 2-pt shot from 15 ft,,100-93,,
1:48.0,,,100-93,,Defensive rebound by G. Antetokounmpo
1:32.0,,,100-93,,M. Dellavedova misses 2-pt shot from 4 ft
1:31.0,,,100-93,,Offensive rebound by Team
1:25.0,,,100-95,2,G. Monroe makes 2-pt shot from 4 ft
1:05.0,K. Irving misses 2-pt shot from 2 ft,,100-95,,
1:02.0,,,100-95,,Defensive rebound by T. Snell
0:53.0,,,100-95,,J. Parker misses 2-pt shot at rim
0:51.0,,,100-95,,Offensive rebound by G. Antetokounmpo
0:47.0,,,100-98,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
0:47.0,Cleveland full timeout,,100-98,,
0:47.0,C. Frye enters the game for T. Thompson,,100-98,,
0:47.0,,,100-98,,J. Henson enters the game for G. Monroe
