time,Atlanta,pts.away,score,pts.home,Memphis
5:44.0,Personal foul by T. Sefolosha (drawn by J. Green),,13-7,,
5:44.0,,,13-7,,Memphis full timeout
5:44.0,,,13-7,,Z. Randolph enters the game for J. Green
5:44.0,T. Hardaway enters the game for T. Sefolosha,,13-7,,
5:32.0,,,13-7,,T. Daniels misses 3-pt shot from 25 ft
5:31.0,,,13-7,,Offensive rebound by Team
5:26.0,,,13-7,,M. Conley misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by P. Millsap,,13-7,,
5:18.0,Jump ball: M. Gasol vs. D. Schroder (J. Ennis gains possession),,,,Jump ball: M. Gasol vs. D. Schroder (J. Ennis gains possession)
5:18.0,Turnover by D. Schroder (lost ball),,13-7,,
5:05.0,,,13-7,,Z. Randolph misses 2-pt shot from 1 ft (block by P. Millsap)
5:04.0,Defensive rebound by K. Bazemore,,13-7,,
4:53.0,D. Schroder misses 3-pt shot from 26 ft,,13-7,,
4:53.0,,,13-7,,Defensive rebound by T. Daniels
4:42.0,,,13-7,,M. Gasol misses 2-pt shot from 20 ft
4:41.0,,,13-7,,Offensive rebound by Z. Randolph
4:40.0,,,13-9,2,Z. Randolph makes 2-pt shot from 1 ft
4:40.0,,,13-9,,Shooting foul by P. Millsap (drawn by Z. Randolph)
4:40.0,,,13-10,1,Z. Randolph makes free throw 1 of 1
4:40.0,,,13-9,,T. Allen enters the game for J. Ennis
4:40.0,T. Waller-Prince enters the game for K. Bazemore,,13-9,,
4:19.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,16-10,,
3:54.0,,,16-12,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
3:38.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,19-12,,
3:26.0,,,19-14,2,M. Conley makes 2-pt shot from 2 ft
3:12.0,Turnover by D. Schroder (bad pass; steal by M. Gasol),,19-14,,
3:09.0,,,19-14,,Turnover by M. Gasol (bad pass; steal by D. Schroder)
2:58.0,D. Schroder makes 2-pt shot from 1 ft,2,21-14,,
2:40.0,Personal foul by E. Ilyasova (drawn by M. Gasol),,21-14,,
2:40.0,Atlanta full timeout,,21-14,,
2:40.0,,,21-15,1,M. Gasol makes free throw 1 of 2
2:40.0,,,21-15,,M. Gasol misses free throw 2 of 2
2:40.0,Defensive rebound by E. Ilyasova,,21-15,,
2:40.0,,,21-14,,T. Douglas enters the game for M. Conley
2:40.0,M. Muscala enters the game for P. Millsap,,21-14,,
2:18.0,E. Ilyasova makes 2-pt shot from 21 ft (assist by D. Schroder),2,23-15,,
1:55.0,,,23-15,,Offensive foul by Z. Randolph
1:55.0,,,23-15,,Turnover by Z. Randolph (offensive foul)
1:55.0,,,23-15,,J. Green enters the game for M. Gasol
1:40.0,D. Schroder makes 2-pt shot from 1 ft,2,25-15,,
1:25.0,,,25-15,,Turnover by Z. Randolph (bad pass; steal by E. Ilyasova)
1:20.0,Shooting foul by Z. Randolph (drawn by T. Waller-Prince),,25-15,,
1:20.0,T. Waller-Prince makes free throw 1 of 2,1,26-15,,
1:20.0,T. Waller-Prince makes free throw 2 of 2,1,27-15,,
1:11.0,,,27-15,,T. Daniels misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by T. Waller-Prince,,27-15,,
1:00.0,M. Muscala misses 2-pt shot from 17 ft,,27-15,,
1:00.0,,,27-15,,Defensive rebound by T. Allen
0:58.0,,,27-15,,Turnover by T. Allen (lost ball; steal by T. Waller-Prince)
0:55.0,T. Waller-Prince makes 2-pt shot at rim,2,29-15,,
0:55.0,,,29-15,,Memphis full timeout
0:54.0,,,29-15,,Turnover by J. Green (bad pass; steal by D. Schroder)
0:53.0,D. Schroder makes 2-pt shot at rim,2,31-15,,
0:37.0,,,31-15,,Z. Randolph misses 2-pt shot from 21 ft
0:35.0,,,31-15,,Offensive rebound by J. Green
0:34.0,,,31-15,,J. Green misses 2-pt shot from 1 ft (block by M. Muscala)
0:31.0,Defensive rebound by T. Waller-Prince,,31-15,,
0:30.0,Turnover by T. Waller-Prince (bad pass),,31-15,,
0:30.0,,,31-15,,V. Carter enters the game for T. Allen
0:17.0,,,31-15,,J. Green misses 2-pt shot from 12 ft
0:16.0,Defensive rebound by D. Schroder,,31-15,,
0:02.0,Shooting foul by J. Green (drawn by E. Ilyasova),,31-15,,
0:02.0,E. Ilyasova makes free throw 1 of 2,1,32-15,,
0:02.0,E. Ilyasova makes free throw 2 of 2,1,33-15,,
0:01.0,,,33-15,,T. Daniels misses 3-pt shot from 40 ft
0:00.0,,,33-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,33-15,,M. Gasol misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by T. Hardaway,,33-15,,
11:21.0,P. Millsap misses 3-pt shot from 24 ft,,33-15,,
11:21.0,,,33-15,,Defensive rebound by M. Gasol
11:03.0,,,33-15,,M. Conley misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by M. Muscala,,33-15,,
11:02.0,,,33-15,,Loose ball foul by T. Allen (drawn by M. Muscala)
10:43.0,J. Calderon misses 2-pt shot from 17 ft,,33-15,,
10:42.0,,,33-15,,Defensive rebound by T. Allen
10:33.0,,,33-18,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Allen)
10:18.0,Turnover by M. Muscala (traveling),,33-18,,
10:06.0,,,33-18,,J. Green misses 2-pt shot from 1 ft (block by M. Muscala)
10:04.0,Defensive rebound by P. Millsap,,33-18,,
9:52.0,T. Waller-Prince makes 2-pt shot from 19 ft,2,35-18,,
9:34.0,,,35-18,,M. Conley misses 3-pt shot from 26 ft
9:34.0,,,35-18,,Offensive rebound by J. Green
9:25.0,,,35-18,,V. Carter misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by Team,,35-18,,
9:24.0,K. Humphries enters the game for M. Muscala,,35-18,,
9:09.0,Turnover by J. Calderon (bad pass; steal by M. Conley),,35-18,,
9:04.0,,,35-18,,T. Allen misses 2-pt shot from 2 ft
9:01.0,,,35-18,,Offensive rebound by T. Allen
9:01.0,,,35-18,,T. Allen misses 2-pt shot from 1 ft
8:59.0,,,35-18,,Offensive rebound by T. Allen
8:59.0,,,35-18,,T. Allen misses 2-pt shot from 1 ft (block by K. Humphries)
8:57.0,,,35-18,,Offensive rebound by J. Green
8:57.0,,,35-20,2,J. Green makes 2-pt shot from 1 ft
8:37.0,T. Hardaway misses 2-pt shot from 21 ft,,35-20,,
8:36.0,,,35-20,,Defensive rebound by M. Conley
8:36.0,Loose ball foul by P. Millsap (drawn by M. Conley),,35-20,,
8:36.0,,,35-20,,Memphis full timeout
8:13.0,,,35-20,,V. Carter misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by K. Humphries,,35-20,,
7:49.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by T. Hardaway),3,38-20,,
7:35.0,,,38-20,,M. Gasol misses 2-pt shot from 13 ft
7:34.0,,,38-20,,Offensive rebound by J. Green
7:22.0,,,38-20,,V. Carter misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by P. Millsap,,38-20,,
7:12.0,K. Humphries misses 2-pt shot from 14 ft,,38-20,,
7:12.0,,,38-20,,Defensive rebound by V. Carter
7:01.0,,,38-20,,M. Gasol misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by Team,,38-20,,
6:59.0,K. Bazemore enters the game for T. Hardaway,,38-20,,
6:49.0,Shooting foul by J. Green (drawn by P. Millsap),,38-20,,
6:49.0,P. Millsap makes free throw 1 of 2,1,39-20,,
6:49.0,P. Millsap makes free throw 2 of 2,1,40-20,,
6:49.0,,,39-20,,Z. Randolph enters the game for J. Green
6:49.0,,,39-20,,C. Parsons enters the game for T. Allen
6:49.0,,,39-20,,A. Harrison enters the game for M. Conley
6:30.0,,,40-22,2,V. Carter makes 2-pt shot at rim (assist by M. Gasol)
6:05.0,P. Millsap misses 2-pt shot from 4 ft,,40-22,,
6:05.0,,,40-22,,Defensive rebound by Team
6:05.0,Loose ball foul by K. Humphries (drawn by M. Gasol),,40-22,,
6:05.0,E. Ilyasova enters the game for P. Millsap,,40-22,,
5:51.0,,,40-22,,C. Parsons misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by K. Humphries,,40-22,,
5:39.0,E. Ilyasova misses 2-pt shot from 18 ft,,40-22,,
5:39.0,,,40-22,,Defensive rebound by M. Gasol
5:25.0,,,40-24,2,M. Gasol makes 2-pt shot from 17 ft
5:01.0,K. Bazemore misses 3-pt shot from 27 ft,,40-24,,
5:01.0,,,40-24,,Defensive rebound by M. Gasol
4:52.0,,,40-24,,Offensive charge foul by Z. Randolph
4:52.0,,,40-24,,Turnover by Z. Randolph (offensive foul)
4:52.0,,,40-24,,Memphis full timeout
4:52.0,,,40-24,,J. Ennis enters the game for Z. Randolph
4:52.0,M. Muscala enters the game for K. Humphries,,40-24,,
4:52.0,D. Schroder enters the game for T. Waller-Prince,,40-24,,
4:52.0,T. Sefolosha enters the game for J. Calderon,,40-24,,
4:40.0,Turnover by E. Ilyasova (bad pass; steal by C. Parsons),,40-24,,
4:33.0,,,40-26,2,J. Ennis makes 2-pt shot from 2 ft (assist by V. Carter)
4:19.0,,,40-26,,Personal foul by A. Harrison (drawn by M. Muscala)
4:11.0,E. Ilyasova misses 3-pt shot from 25 ft,,40-26,,
4:10.0,,,40-26,,Defensive rebound by J. Ennis
3:55.0,Personal foul by D. Schroder (drawn by A. Harrison),,40-26,,
3:55.0,P. Millsap enters the game for M. Muscala,,40-26,,
3:43.0,,,40-28,2,J. Ennis makes 2-pt shot from 2 ft (assist by A. Harrison)
3:20.0,P. Millsap misses 2-pt shot from 14 ft,,40-28,,
3:20.0,,,40-28,,Defensive rebound by A. Harrison
3:12.0,,,40-30,2,C. Parsons makes 2-pt shot from 2 ft (assist by V. Carter)
3:10.0,Atlanta full timeout,,40-30,,
2:58.0,D. Schroder misses 3-pt shot from 25 ft,,40-30,,
2:58.0,Offensive rebound by P. Millsap,,40-30,,
2:58.0,Shooting foul by C. Parsons (drawn by P. Millsap),,40-30,,
2:58.0,P. Millsap misses free throw 1 of 2,,40-30,,
2:58.0,Offensive rebound by Team,,40-30,,
2:58.0,P. Millsap makes free throw 2 of 2,1,41-30,,
2:43.0,,,41-30,,A. Harrison misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by T. Sefolosha,,41-30,,
2:29.0,,,41-30,,Personal foul by A. Harrison (drawn by D. Schroder)
2:29.0,D. Schroder misses free throw 1 of 2,,41-30,,
2:29.0,Offensive rebound by Team,,41-30,,
2:29.0,D. Schroder makes free throw 2 of 2,1,42-30,,
2:29.0,T. Hardaway enters the game for K. Bazemore,,41-30,,
2:29.0,,,41-30,,M. Conley enters the game for A. Harrison
2:21.0,Personal foul by E. Ilyasova (drawn by M. Gasol),,42-30,,
2:07.0,,,42-30,,Shooting foul by E. Ilyasova (drawn by V. Carter)
2:07.0,,,42-31,1,V. Carter makes free throw 1 of 2
2:07.0,,,42-32,1,V. Carter makes free throw 2 of 2
2:07.0,T. Waller-Prince enters the game for E. Ilyasova,,42-31,,
1:50.0,Turnover by D. Schroder (lost ball; steal by M. Conley),,42-32,,
1:42.0,,,42-32,,J. Ennis misses 2-pt shot from 2 ft
1:39.0,Defensive rebound by P. Millsap,,42-32,,
1:31.0,Turnover by P. Millsap (lost ball; steal by M. Conley),,42-32,,
1:22.0,,,42-32,,M. Conley misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by T. Sefolosha,,42-32,,
1:13.0,D. Schroder misses 3-pt shot from 27 ft,,42-32,,
1:10.0,,,42-32,,Defensive rebound by J. Ennis
1:03.0,,,42-35,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Conley)
0:47.0,,,42-35,,Violation by M. Gasol (kicked ball)
0:36.0,D. Schroder misses 2-pt shot from 2 ft (block by C. Parsons),,42-35,,
0:36.0,,,42-35,,Defensive rebound by Team
0:30.0,,,42-35,,Turnover by M. Conley (bad pass; steal by D. Schroder)
0:27.0,D. Schroder makes 2-pt shot at rim,2,44-35,,
0:09.0,,,44-35,,Turnover by M. Conley (lost ball; steal by P. Millsap)
0:04.0,D. Schroder misses 2-pt shot from 1 ft (block by J. Ennis),,44-35,,
0:02.0,Offensive rebound by T. Hardaway,,44-35,,
0:02.0,T. Hardaway makes 3-pt shot from 25 ft,3,47-35,,
0:00.0,,,47-35,,M. Conley misses 3-pt shot from 46 ft
0:00.0,,,47-35,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,47-35,,J. Ennis misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by P. Millsap,,47-35,,
11:24.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder),2,49-35,,
11:03.0,,,49-35,,J. Ennis misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by T. Sefolosha,,49-35,,
10:40.0,D. Schroder misses 2-pt shot at rim,,49-35,,
10:39.0,,,49-35,,Defensive rebound by J. Green
10:26.0,,,49-37,2,M. Conley makes 2-pt shot from 2 ft
10:25.0,,,49-37,,Violation by Team (jump ball)
10:10.0,,,49-37,,Violation by M. Gasol (kicked ball)
9:59.0,K. Bazemore misses 3-pt shot from 26 ft,,49-37,,
9:58.0,,,49-37,,Defensive rebound by M. Gasol
9:49.0,,,49-37,,M. Gasol misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by T. Sefolosha,,49-37,,
9:44.0,,,49-37,,Personal foul by M. Gasol (drawn by T. Sefolosha)
9:32.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,52-37,,
9:32.0,,,52-37,,Memphis full timeout
9:32.0,,,52-37,,T. Daniels enters the game for J. Ennis
9:17.0,,,52-37,,Turnover by M. Gasol (bad pass; steal by T. Sefolosha)
9:08.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,55-37,,
8:55.0,,,55-39,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley)
8:41.0,P. Millsap makes 2-pt shot from 12 ft (assist by D. Schroder),2,57-39,,
8:26.0,,,57-39,,M. Gasol misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by P. Millsap,,57-39,,
8:20.0,K. Bazemore misses 3-pt shot from 27 ft,,57-39,,
8:17.0,,,57-39,,Defensive rebound by J. Green
8:10.0,Violation by P. Millsap (def goaltending),,57-39,,
8:10.0,,,57-41,2,M. Conley makes 2-pt shot from 2 ft
7:48.0,T. Sefolosha makes 3-pt shot from 23 ft (assist by P. Millsap),3,60-41,,
7:30.0,,,60-43,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
7:17.0,K. Bazemore makes 2-pt shot from 1 ft,2,62-43,,
6:57.0,,,62-43,,T. Daniels misses 2-pt shot from 21 ft
6:56.0,Defensive rebound by K. Humphries,,62-43,,
6:42.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by P. Millsap),2,64-43,,
6:36.0,,,64-43,,Memphis full timeout
6:36.0,,,64-43,,T. Allen enters the game for C. Parsons
6:36.0,,,64-43,,B. Wright enters the game for J. Green
6:36.0,,,64-43,,Z. Randolph enters the game for M. Gasol
6:23.0,,,64-43,,Z. Randolph misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by K. Humphries,,64-43,,
6:14.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,67-43,,
6:03.0,,,67-45,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Allen)
5:51.0,Turnover by D. Schroder (bad pass),,67-45,,
5:38.0,,,67-47,2,B. Wright makes 2-pt shot at rim (assist by T. Allen)
5:25.0,T. Sefolosha misses 3-pt shot from 25 ft,,67-47,,
5:24.0,Offensive rebound by D. Schroder,,67-47,,
5:16.0,K. Humphries misses 2-pt shot from 1 ft,,67-47,,
5:15.0,,,67-47,,Defensive rebound by B. Wright
5:10.0,,,67-49,2,T. Allen makes 2-pt shot from 2 ft (assist by B. Wright)
5:09.0,Atlanta full timeout,,67-49,,
5:09.0,T. Hardaway enters the game for T. Sefolosha,,67-49,,
5:09.0,E. Ilyasova enters the game for K. Humphries,,67-49,,
4:53.0,P. Millsap misses 2-pt shot from 12 ft,,67-49,,
4:51.0,Offensive rebound by P. Millsap,,67-49,,
4:48.0,K. Bazemore misses 3-pt shot from 23 ft,,67-49,,
4:48.0,,,67-49,,Defensive rebound by Team
4:38.0,Personal foul by T. Hardaway (drawn by T. Daniels),,67-49,,
4:38.0,T. Waller-Prince enters the game for K. Bazemore,,67-49,,
4:31.0,,,67-51,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
4:31.0,,,67-51,,Shooting foul by E. Ilyasova (drawn by Z. Randolph)
4:31.0,,,67-51,,Z. Randolph misses free throw 1 of 1
4:31.0,M. Muscala enters the game for E. Ilyasova,,67-51,,
4:30.0,Defensive rebound by P. Millsap,,67-51,,
4:07.0,P. Millsap misses 2-pt shot from 6 ft,,67-51,,
4:05.0,,,67-51,,Defensive rebound by B. Wright
3:48.0,,,67-53,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
3:33.0,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder),2,69-53,,
3:02.0,,,69-53,,T. Allen misses 2-pt shot at rim
3:01.0,,,69-53,,Offensive rebound by T. Allen
3:01.0,,,69-55,2,T. Allen makes 2-pt shot from 1 ft
2:49.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,72-55,,
2:30.0,,,72-55,,B. Wright misses 2-pt shot at rim
2:28.0,Defensive rebound by D. Schroder,,72-55,,
2:22.0,D. Schroder makes 2-pt shot from 1 ft,2,74-55,,
2:04.0,,,74-55,,T. Daniels misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by D. Schroder,,74-55,,
1:56.0,,,74-55,,Violation by T. Allen (kicked ball)
1:56.0,T. Sefolosha enters the game for P. Millsap,,74-55,,
1:56.0,,,74-55,,A. Harrison enters the game for M. Conley
1:56.0,,,74-55,,V. Carter enters the game for B. Wright
1:48.0,Turnover by T. Sefolosha (offensive foul),,74-55,,
1:48.0,Offensive charge foul by T. Sefolosha,,74-55,,
1:38.0,,,74-55,,Turnover by T. Allen (bad pass; steal by T. Waller-Prince)
1:18.0,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,77-55,,
1:10.0,,,77-55,,Memphis full timeout
0:54.0,,,77-57,2,Z. Randolph makes 2-pt shot from 14 ft
0:44.0,Turnover by D. Schroder (bad pass; steal by V. Carter),,77-57,,
0:29.0,,,77-57,,Turnover by Z. Randolph (bad pass; steal by T. Hardaway)
0:06.0,Offensive charge foul by D. Schroder,,77-57,,
0:06.0,Turnover by D. Schroder (offensive foul),,77-57,,
0:06.0,,,77-57,,C. Parsons enters the game for T. Allen
0:01.0,Personal take foul by D. Schroder (drawn by A. Harrison),,77-57,,
0:01.0,K. Bazemore enters the game for D. Schroder,,77-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Calderon makes 3-pt shot from 25 ft (assist by T. Waller-Prince),3,80-57,,
11:17.0,,,80-57,,C. Parsons misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by T. Hardaway,,80-57,,
10:59.0,Shooting foul by M. Conley (drawn by J. Calderon),,80-57,,
10:59.0,J. Calderon makes free throw 1 of 2,1,81-57,,
10:59.0,J. Calderon makes free throw 2 of 2,1,82-57,,
10:59.0,,,81-57,,T. Daniels enters the game for A. Harrison
10:48.0,,,82-57,,V. Carter misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by M. Muscala,,82-57,,
10:41.0,,,82-57,,Personal foul by T. Daniels (drawn by T. Hardaway)
10:41.0,,,82-57,,Violation by Team (jump ball)
10:41.0,,,82-57,,Technical foul by Team
10:41.0,J. Calderon makes technical free throw,1,83-57,,
10:25.0,Turnover by T. Sefolosha (bad pass; steal by V. Carter),,83-57,,
10:21.0,,,83-57,,T. Daniels misses 3-pt shot from 26 ft
10:19.0,Defensive rebound by J. Calderon,,83-57,,
10:04.0,T. Waller-Prince misses 3-pt shot from 24 ft,,83-57,,
10:04.0,,,83-57,,Defensive rebound by B. Wright
10:01.0,Personal foul by J. Calderon (drawn by M. Conley),,83-57,,
9:58.0,,,83-57,,Shooting foul by J. Calderon (drawn by M. Conley)
9:58.0,,,83-58,1,M. Conley makes free throw 1 of 3
9:58.0,,,83-59,1,M. Conley makes free throw 2 of 3
9:58.0,,,83-60,1,M. Conley makes free throw 3 of 3
9:45.0,T. Hardaway misses 3-pt shot from 26 ft,,83-60,,
9:45.0,,,83-60,,Defensive rebound by V. Carter
9:33.0,,,83-63,3,T. Daniels makes 3-pt shot from 23 ft (assist by C. Parsons)
9:20.0,T. Sefolosha misses 3-pt shot from 25 ft,,83-63,,
9:20.0,,,83-63,,Defensive rebound by C. Parsons
9:12.0,,,83-66,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Parsons)
9:11.0,Atlanta full timeout,,83-66,,
9:11.0,P. Millsap enters the game for T. Sefolosha,,83-66,,
9:11.0,E. Ilyasova enters the game for T. Hardaway,,83-66,,
9:11.0,K. Bazemore enters the game for M. Muscala,,83-66,,
8:55.0,P. Millsap makes 2-pt shot from 2 ft,2,85-66,,
8:55.0,Shooting foul by M. Conley (drawn by P. Millsap),,85-66,,
8:55.0,P. Millsap makes free throw 1 of 1,1,86-66,,
8:46.0,,,86-68,2,B. Wright makes 2-pt shot at rim (assist by C. Parsons)
8:29.0,P. Millsap makes 2-pt shot from 2 ft,2,88-68,,
8:16.0,,,88-68,,T. Daniels misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by T. Waller-Prince,,88-68,,
8:06.0,Shooting foul by V. Carter (drawn by T. Waller-Prince),,88-68,,
8:06.0,T. Waller-Prince makes free throw 1 of 2,1,89-68,,
8:06.0,T. Waller-Prince makes free throw 2 of 2,1,90-68,,
8:06.0,,,89-68,,T. Allen enters the game for V. Carter
7:56.0,,,90-70,2,M. Conley makes 2-pt shot from 1 ft
7:40.0,J. Calderon makes 3-pt shot from 26 ft (assist by E. Ilyasova),3,93-70,,
7:23.0,,,93-70,,M. Conley misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by J. Calderon,,93-70,,
7:18.0,Turnover by T. Waller-Prince (bad pass; steal by M. Conley),,93-70,,
7:10.0,,,93-70,,Turnover by M. Conley (bad pass)
7:10.0,,,93-70,,A. Harrison enters the game for M. Conley
6:56.0,Shooting foul by B. Wright (drawn by P. Millsap),,93-70,,
6:56.0,P. Millsap makes free throw 1 of 2,1,94-70,,
6:56.0,P. Millsap misses free throw 2 of 2,,94-70,,
6:56.0,,,94-70,,J. Green enters the game for C. Parsons
6:56.0,,,94-70,,Z. Randolph enters the game for B. Wright
6:55.0,,,94-70,,Defensive rebound by Z. Randolph
6:43.0,,,94-70,,Shooting foul by J. Calderon (drawn by J. Green)
6:43.0,,,94-71,1,J. Green makes free throw 1 of 2
6:43.0,,,94-72,1,J. Green makes free throw 2 of 2
6:29.0,J. Calderon makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,96-72,,
6:12.0,,,96-72,,T. Daniels misses 2-pt shot from 10 ft
6:11.0,,,96-72,,Offensive rebound by J. Green
6:11.0,,,96-74,2,J. Green makes 2-pt shot at rim
5:53.0,J. Calderon misses 3-pt shot from 24 ft,,96-74,,
5:53.0,Offensive rebound by K. Bazemore,,96-74,,
5:45.0,J. Calderon makes 2-pt shot from 1 ft (assist by P. Millsap),2,98-74,,
5:21.0,,,98-76,2,J. Green makes 2-pt shot from 18 ft (assist by A. Harrison)
5:14.0,Atlanta full timeout,,98-76,,
5:14.0,Atlanta full timeout,,98-76,,
5:14.0,,,98-76,,V. Carter enters the game for T. Daniels
5:14.0,M. Muscala enters the game for P. Millsap,,98-76,,
