time,New York,pts.away,score,pts.home,Phoenix
1:46.0,Turnover by B. Jennings (bad pass; steal by P. Tucker),,19-24,,
1:42.0,,,19-26,2,P. Tucker makes 2-pt shot at rim
1:25.0,K. O'Quinn makes 2-pt shot from 14 ft,2,21-26,,
1:10.0,,,21-26,,Shooting foul by K. O'Quinn (drawn by A. Williams)
1:10.0,,,21-27,1,A. Williams makes free throw 1 of 2
1:10.0,,,21-27,,A. Williams misses free throw 2 of 2
1:08.0,Defensive rebound by K. O'Quinn,,21-27,,
0:53.0,B. Jennings misses 2-pt shot from 2 ft,,21-27,,
0:51.0,Offensive rebound by K. O'Quinn,,21-27,,
0:51.0,K. O'Quinn misses 2-pt shot from 1 ft,,21-27,,
0:48.0,Offensive rebound by K. O'Quinn,,21-27,,
0:48.0,K. O'Quinn makes 2-pt shot from 2 ft,2,23-27,,
0:28.0,,,23-29,2,P. Tucker makes 2-pt shot from 8 ft
0:08.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by B. Jennings),2,25-29,,
0:00.0,,,25-31,2,L. Barbosa makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-31,,J. Dudley misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by K. O'Quinn,,25-31,,
11:33.0,B. Jennings misses 3-pt shot from 25 ft,,25-31,,
11:32.0,Offensive rebound by K. O'Quinn,,25-31,,
11:32.0,,,25-31,,Personal foul by A. Williams (drawn by K. O'Quinn)
11:27.0,K. Porzingis makes 2-pt shot from 2 ft,2,27-31,,
11:27.0,Shooting foul by D. Bender (drawn by K. Porzingis),,27-31,,
11:27.0,K. Porzingis makes free throw 1 of 1,1,28-31,,
11:17.0,,,28-33,2,L. Barbosa makes 2-pt shot from 1 ft
11:10.0,J. Holiday misses 3-pt shot from 26 ft,,28-33,,
11:07.0,,,28-33,,Defensive rebound by J. Dudley
10:59.0,Personal foul by L. Thomas (drawn by J. Dudley),,28-33,,
10:59.0,M. Kuzminskas enters the game for L. Thomas,,28-33,,
10:47.0,,,28-33,,B. Knight misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by K. Porzingis,,28-33,,
10:40.0,K. Porzingis misses 2-pt shot from 2 ft,,28-33,,
10:36.0,,,28-33,,Defensive rebound by L. Barbosa
10:32.0,Personal foul by J. Holiday (drawn by L. Barbosa),,28-33,,
10:26.0,,,28-36,3,D. Bender makes 3-pt shot from 25 ft (assist by B. Knight)
10:11.0,B. Jennings misses 2-pt shot from 2 ft,,28-36,,
10:11.0,Offensive rebound by Team,,28-36,,
10:07.0,K. O'Quinn misses 2-pt shot from 10 ft,,28-36,,
10:05.0,,,28-36,,Defensive rebound by A. Williams
9:58.0,,,28-39,3,B. Knight makes 3-pt shot from 26 ft
9:40.0,K. Porzingis misses 2-pt shot from 9 ft (block by J. Dudley),,28-39,,
9:40.0,,,28-39,,Defensive rebound by J. Dudley
9:37.0,Personal foul by M. Kuzminskas (drawn by B. Knight),,28-39,,
9:29.0,,,28-41,2,B. Knight makes 2-pt shot from 10 ft
9:12.0,B. Jennings makes 2-pt shot from 12 ft,2,30-41,,
9:12.0,Shooting foul by D. Bender (drawn by B. Jennings),,30-41,,
9:12.0,B. Jennings makes free throw 1 of 1,1,31-41,,
9:00.0,,,31-41,,Turnover by L. Barbosa (lost ball; steal by K. O'Quinn)
8:58.0,Shooting foul by J. Dudley (drawn by M. Kuzminskas),,31-41,,
8:58.0,Official timeout,,31-41,,
8:58.0,M. Kuzminskas misses free throw 1 of 2,,31-41,,
8:58.0,Offensive rebound by Team,,31-41,,
8:58.0,M. Kuzminskas makes free throw 2 of 2,1,32-41,,
8:58.0,,,31-41,,M. Chriss enters the game for A. Williams
8:44.0,,,32-41,,Turnover by B. Knight (bad pass; steal by K. Porzingis)
8:41.0,M. Kuzminskas misses 2-pt shot from 3 ft (block by L. Barbosa),,32-41,,
8:41.0,Offensive rebound by Team,,32-41,,
8:41.0,C. Lee enters the game for J. Holiday,,32-41,,
8:26.0,K. Porzingis misses 2-pt shot from 14 ft,,32-41,,
8:24.0,,,32-41,,Defensive rebound by L. Barbosa
8:20.0,,,32-41,,D. Bender misses 3-pt shot from 25 ft
8:17.0,,,32-41,,Offensive rebound by M. Chriss
8:07.0,,,32-41,,Turnover by J. Dudley (bad pass; steal by C. Lee)
8:01.0,M. Kuzminskas misses 3-pt shot from 27 ft,,32-41,,
7:58.0,,,32-41,,Defensive rebound by J. Dudley
7:49.0,,,32-44,3,B. Knight makes 3-pt shot from 25 ft
7:31.0,M. Kuzminskas misses 3-pt shot from 25 ft,,32-44,,
7:29.0,,,32-44,,Defensive rebound by J. Dudley
7:22.0,,,32-44,,J. Dudley misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by K. O'Quinn,,32-44,,
7:02.0,K. O'Quinn misses 2-pt shot from 5 ft,,32-44,,
7:00.0,,,32-44,,Defensive rebound by J. Dudley
6:55.0,,,32-46,2,M. Chriss makes 2-pt shot at rim (assist by B. Knight)
6:55.0,New York full timeout,,32-46,,
6:55.0,,,32-46,,P. Tucker enters the game for D. Bender
6:55.0,J. Noah enters the game for K. O'Quinn,,32-46,,
6:55.0,C. Anthony enters the game for M. Kuzminskas,,32-46,,
6:44.0,C. Lee makes 3-pt shot from 25 ft,3,35-46,,
6:30.0,,,35-46,,M. Chriss misses 2-pt shot from 3 ft (block by K. Porzingis)
6:27.0,,,35-46,,Offensive rebound by M. Chriss
6:27.0,,,35-46,,M. Chriss misses 2-pt shot from 2 ft (block by J. Noah)
6:24.0,Defensive rebound by C. Anthony,,35-46,,
6:19.0,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Noah),3,38-46,,
6:17.0,,,38-46,,Phoenix full timeout
6:17.0,,,38-46,,E. Bledsoe enters the game for B. Knight
6:17.0,,,38-46,,T. Chandler enters the game for J. Dudley
6:17.0,,,38-46,,D. Booker enters the game for L. Barbosa
5:59.0,,,38-46,,P. Tucker misses 2-pt shot from 19 ft
5:58.0,,,38-46,,Offensive rebound by Team
5:50.0,,,38-46,,E. Bledsoe misses 2-pt shot from 23 ft
5:46.0,Defensive rebound by C. Anthony,,38-46,,
5:36.0,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings),3,41-46,,
5:08.0,,,41-46,,D. Booker misses 2-pt shot from 21 ft
5:06.0,Defensive rebound by K. Porzingis,,41-46,,
4:43.0,C. Lee makes 2-pt shot from 15 ft (assist by B. Jennings),2,43-46,,
4:25.0,,,43-46,,Turnover by E. Bledsoe (bad pass; steal by K. Porzingis)
4:19.0,J. Noah misses 2-pt shot from 2 ft,,43-46,,
4:15.0,,,43-46,,Defensive rebound by T. Chandler
4:12.0,,,43-46,,D. Booker misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by Team,,43-46,,
3:57.0,C. Anthony misses 2-pt shot from 16 ft,,43-46,,
3:55.0,,,43-46,,Defensive rebound by M. Chriss
3:48.0,,,43-46,,E. Bledsoe misses 2-pt shot from 9 ft
3:47.0,Defensive rebound by K. Porzingis,,43-46,,
3:37.0,,,43-46,,Personal foul by P. Tucker (drawn by C. Anthony)
3:37.0,Personal foul by C. Anthony,,43-46,,
3:25.0,B. Jennings misses 3-pt shot from 25 ft,,43-46,,
3:23.0,,,43-46,,Defensive rebound by T. Chandler
3:09.0,,,43-48,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
2:52.0,J. Noah misses 2-pt shot from 6 ft,,43-48,,
2:50.0,Offensive rebound by K. Porzingis,,43-48,,
2:50.0,K. Porzingis misses 2-pt shot from 1 ft,,43-48,,
2:49.0,,,43-48,,Defensive rebound by T. Chandler
2:43.0,,,43-48,,P. Tucker misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by J. Noah,,43-48,,
2:40.0,Turnover by J. Noah (bad pass; steal by M. Chriss),,43-48,,
2:28.0,,,43-48,,Turnover by D. Booker (bad pass; steal by J. Noah)
2:24.0,Shooting foul by D. Booker (drawn by K. Porzingis),,43-48,,
2:24.0,K. Porzingis makes free throw 1 of 2,1,44-48,,
2:24.0,K. Porzingis misses free throw 2 of 2,,44-48,,
2:22.0,,,44-48,,Defensive rebound by M. Chriss
2:08.0,,,44-48,,Turnover by E. Bledsoe (bad pass; steal by K. Porzingis)
2:08.0,,,44-48,,Personal take foul by E. Bledsoe (drawn by J. Noah)
2:08.0,J. Noah misses free throw 1 of 2,,44-48,,
2:08.0,Offensive rebound by Team,,44-48,,
2:08.0,J. Noah misses free throw 2 of 2,,44-48,,
2:06.0,,,44-48,,Defensive rebound by M. Chriss
1:51.0,,,44-48,,D. Booker misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by C. Lee,,44-48,,
1:44.0,Shooting foul by M. Chriss (drawn by J. Noah),,44-48,,
1:44.0,J. Noah misses free throw 1 of 2,,44-48,,
1:44.0,Offensive rebound by Team,,44-48,,
1:44.0,J. Noah misses free throw 2 of 2,,44-48,,
1:43.0,,,44-48,,Defensive rebound by M. Chriss
1:29.0,,,44-50,2,E. Bledsoe makes 2-pt shot from 16 ft
1:13.0,C. Anthony misses 2-pt shot from 17 ft,,44-50,,
1:10.0,,,44-50,,Defensive rebound by T. Chandler
1:06.0,,,44-52,2,E. Bledsoe makes 2-pt shot from 10 ft
0:46.0,B. Jennings misses 2-pt shot from 4 ft,,44-52,,
0:43.0,,,44-52,,Defensive rebound by T. Chandler
0:28.0,,,44-54,2,D. Booker makes 2-pt shot from 10 ft
0:05.0,J. Noah makes 2-pt shot from 1 ft (assist by C. Anthony),2,46-54,,
0:05.0,,,46-54,,Shooting block foul by M. Chriss (drawn by J. Noah)
0:05.0,,,46-54,,Phoenix full timeout
0:05.0,J. Noah misses free throw 1 of 1,,46-54,,
0:05.0,L. Thomas enters the game for C. Anthony,,46-54,,
0:04.0,,,46-54,,Defensive rebound by M. Chriss
0:00.0,,,46-54,,Turnover by E. Bledsoe (lost ball; steal by L. Thomas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,46-54,,Turnover by M. Chriss (offensive foul)
11:39.0,,,46-54,,Offensive foul by M. Chriss
11:24.0,C. Lee makes 2-pt shot from 18 ft (assist by J. Noah),2,48-54,,
11:11.0,,,48-54,,T. Chandler misses 2-pt shot from 2 ft
11:08.0,,,48-54,,Offensive rebound by T. Chandler
11:08.0,,,48-54,,Shooting foul by K. Porzingis (drawn by T. Chandler)
11:08.0,,,48-55,1,T. Chandler makes free throw 1 of 2
11:08.0,Violation by J. Noah (lane),,48-55,,
11:08.0,,,48-55,,Turnover by P. Tucker (lane violation.)
11:08.0,,,48-55,,Technical foul by P. Tucker
11:08.0,C. Anthony makes technical free throw,1,49-55,,
10:56.0,,,49-55,,Violation by P. Tucker (kicked ball)
10:50.0,C. Anthony misses 3-pt shot from 25 ft,,49-55,,
10:48.0,,,49-55,,Defensive rebound by T. Chandler
10:42.0,,,49-57,2,E. Bledsoe makes 2-pt shot from 17 ft
10:29.0,Offensive foul by K. Porzingis,,49-57,,
10:29.0,Turnover by K. Porzingis (offensive foul),,49-57,,
10:19.0,,,49-57,,Shooting foul by K. Porzingis (drawn by M. Chriss)
10:19.0,,,49-58,1,M. Chriss makes free throw 1 of 2
10:19.0,,,49-58,,Turnover by E. Bledsoe (offensive goaltending)
10:10.0,C. Lee makes 3-pt shot from 25 ft (assist by B. Jennings),3,52-58,,
9:53.0,Personal foul by C. Lee (drawn by D. Booker),,52-58,,
9:40.0,,,52-60,2,T. Chandler makes 2-pt shot from 2 ft (assist by E. Bledsoe)
9:16.0,C. Lee makes 2-pt shot from 2 ft,2,54-60,,
8:58.0,,,54-60,,M. Chriss misses 2-pt shot from 11 ft (block by K. Porzingis)
8:54.0,Defensive rebound by J. Noah,,54-60,,
8:54.0,,,54-60,,Flagrant foul type 1 by M. Chriss (drawn by K. Porzingis)
8:54.0,Official timeout,,54-60,,
8:54.0,,,54-60,,Technical foul by M. Chriss (drawn by K. Porzingis)
8:54.0,Technical foul by K. Porzingis,,54-60,,
8:54.0,,,54-60,,Technical foul by E. Bledsoe
8:54.0,Technical foul by B. Jennings,,54-60,,
8:54.0,K. Porzingis makes flagrant free throw 1 of 2,1,55-60,,
8:54.0,K. Porzingis makes flagrant free throw 2 of 2,1,56-60,,
8:54.0,,,54-60,,J. Dudley enters the game for M. Chriss
8:41.0,Turnover by J. Noah (bad pass; steal by E. Bledsoe),,56-60,,
8:37.0,,,56-62,2,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
8:37.0,,,56-62,,Shooting foul by J. Noah (drawn by D. Booker)
8:37.0,,,56-63,1,D. Booker makes free throw 1 of 1
8:23.0,K. Porzingis makes 2-pt shot from 16 ft,2,58-63,,
8:13.0,,,58-63,,Shooting foul by C. Lee (drawn by D. Booker)
8:13.0,,,58-64,1,D. Booker makes free throw 1 of 2
8:13.0,,,58-65,1,D. Booker makes free throw 2 of 2
7:58.0,C. Anthony makes 2-pt shot from 22 ft,2,60-65,,
7:36.0,,,60-65,,D. Booker misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by J. Noah,,60-65,,
7:17.0,C. Anthony misses 2-pt shot from 22 ft,,60-65,,
7:15.0,Offensive rebound by C. Lee,,60-65,,
7:09.0,C. Anthony misses 2-pt shot from 21 ft,,60-65,,
7:07.0,,,60-65,,Defensive rebound by P. Tucker
6:50.0,,,60-68,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by J. Dudley)
6:38.0,Turnover by J. Noah (bad pass),,60-68,,
6:20.0,,,60-68,,P. Tucker misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by J. Noah,,60-68,,
6:00.0,K. Porzingis makes 2-pt shot from 4 ft (assist by B. Jennings),2,62-68,,
5:37.0,,,62-68,,E. Bledsoe misses 2-pt shot from 5 ft
5:35.0,,,62-68,,Offensive rebound by E. Bledsoe
5:32.0,,,62-68,,Turnover by J. Dudley (bad pass; steal by B. Jennings)
5:25.0,C. Anthony misses 2-pt shot from 3 ft (block by D. Booker),,62-68,,
5:23.0,,,62-68,,Defensive rebound by D. Booker
5:17.0,,,62-70,2,T. Chandler makes 2-pt shot from 2 ft (assist by P. Tucker)
5:01.0,C. Anthony misses 2-pt shot from 16 ft,,62-70,,
5:00.0,,,62-70,,Defensive rebound by J. Dudley
4:47.0,,,62-70,,E. Bledsoe misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by J. Noah,,62-70,,
4:32.0,C. Lee misses 3-pt shot from 26 ft,,62-70,,
4:30.0,,,62-70,,Defensive rebound by Team
4:30.0,,,62-70,,Phoenix full timeout
4:30.0,L. Thomas enters the game for K. Porzingis,,62-70,,
4:30.0,K. O'Quinn enters the game for J. Noah,,62-70,,
4:30.0,R. Baker enters the game for B. Jennings,,62-70,,
4:17.0,,,62-73,3,J. Dudley makes 3-pt shot from 25 ft (assist by E. Bledsoe)
4:02.0,Shooting foul by P. Tucker (drawn by C. Anthony),,62-73,,
4:02.0,C. Anthony makes free throw 1 of 2,1,63-73,,
4:02.0,C. Anthony makes free throw 2 of 2,1,64-73,,
3:48.0,,,64-73,,E. Bledsoe misses 2-pt shot from 9 ft
3:46.0,Defensive rebound by K. O'Quinn,,64-73,,
3:34.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by C. Anthony),2,66-73,,
3:14.0,,,66-73,,Shooting foul by R. Baker (drawn by E. Bledsoe)
3:14.0,,,66-74,1,E. Bledsoe makes free throw 1 of 2
3:14.0,,,66-75,1,E. Bledsoe makes free throw 2 of 2
3:14.0,,,66-74,,B. Knight enters the game for D. Booker
3:01.0,Turnover by R. Baker (bad pass; steal by P. Tucker),,66-75,,
2:57.0,,,66-77,2,P. Tucker makes 2-pt shot from 1 ft
2:28.0,L. Thomas makes 3-pt shot from 25 ft (assist by C. Anthony),3,69-77,,
2:16.0,Personal block foul by K. O'Quinn (drawn by B. Knight),,69-77,,
2:16.0,New York full timeout,,69-77,,
2:16.0,,,69-77,,B. Knight misses free throw 1 of 2
2:16.0,,,69-77,,Offensive rebound by Team
2:16.0,,,69-78,1,B. Knight makes free throw 2 of 2
2:16.0,J. Holiday enters the game for C. Lee,,69-77,,
2:16.0,,,69-77,,L. Barbosa enters the game for E. Bledsoe
1:57.0,Offensive foul by K. O'Quinn,,69-78,,
1:57.0,Turnover by K. O'Quinn (offensive foul),,69-78,,
1:43.0,,,69-81,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Knight)
1:28.0,K. O'Quinn makes 2-pt shot from 16 ft,2,71-81,,
1:08.0,,,71-81,,B. Knight misses 2-pt shot from 8 ft
1:06.0,,,71-81,,Offensive rebound by T. Chandler
1:06.0,,,71-83,2,T. Chandler makes 2-pt shot at rim
0:42.0,L. Thomas misses 2-pt shot from 21 ft,,71-83,,
0:40.0,,,71-83,,Defensive rebound by L. Barbosa
0:25.0,Personal foul by R. Baker (drawn by B. Knight),,71-83,,
0:25.0,,,71-84,1,B. Knight makes free throw 1 of 2
0:25.0,,,71-85,1,B. Knight makes free throw 2 of 2
0:13.0,,,71-85,,Personal take foul by J. Dudley (drawn by L. Thomas)
0:04.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Holiday),2,73-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Holiday makes 2-pt shot from 18 ft (assist by R. Baker),2,75-85,,
11:19.0,,,75-85,,B. Knight misses 2-pt shot from 9 ft
11:15.0,Defensive rebound by K. Porzingis,,75-85,,
11:07.0,Turnover by J. Holiday (lost ball; steal by J. Dudley),,75-85,,
11:01.0,,,75-85,,B. Knight misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by Team,,75-85,,
11:00.0,,,75-85,,Loose ball foul by J. Dudley (drawn by L. Thomas)
10:43.0,Turnover by L. Thomas (bad pass; steal by J. Dudley),,75-85,,
10:43.0,,,75-85,,Turnover by J. Dudley (bad pass; steal by R. Baker)
10:43.0,Shooting foul by A. Williams (drawn by K. O'Quinn),,75-85,,
10:43.0,K. O'Quinn makes free throw 1 of 2,1,76-85,,
10:43.0,K. O'Quinn makes free throw 2 of 2,1,77-85,,
10:26.0,,,77-85,,L. Barbosa misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by K. Porzingis,,77-85,,
10:16.0,Shooting foul by D. Bender (drawn by K. Porzingis),,77-85,,
10:16.0,K. Porzingis makes free throw 1 of 2,1,78-85,,
10:16.0,K. Porzingis makes free throw 2 of 2,1,79-85,,
9:59.0,,,79-87,2,L. Barbosa makes 2-pt shot from 7 ft
9:45.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by J. Holiday),2,81-87,,
9:27.0,,,81-87,,D. Bender misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by Team,,81-87,,
9:27.0,,,81-87,,Loose ball foul by A. Williams (drawn by K. O'Quinn)
9:18.0,,,81-87,,Loose ball foul by J. Dudley (drawn by J. Holiday)
9:18.0,J. Holiday makes free throw 1 of 2,1,82-87,,
9:18.0,J. Holiday makes free throw 2 of 2,1,83-87,,
9:03.0,,,83-87,,B. Knight misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by L. Thomas,,83-87,,
8:54.0,,,83-87,,Flagrant foul type 1 by A. Williams (drawn by K. O'Quinn)
8:54.0,Official timeout,,83-87,,
8:54.0,K. O'Quinn misses flagrant free throw 1 of 2,,83-87,,
8:54.0,Offensive rebound by Team,,83-87,,
8:54.0,K. O'Quinn makes flagrant free throw 2 of 2,1,84-87,,
8:54.0,,,83-87,,T. Chandler enters the game for J. Dudley
8:54.0,,,83-87,,E. Bledsoe enters the game for L. Barbosa
8:54.0,,,83-87,,M. Chriss enters the game for A. Williams
8:54.0,,,83-87,,D. Booker enters the game for D. Bender
8:45.0,J. Holiday misses 2-pt shot from 2 ft,,84-87,,
8:42.0,Offensive rebound by K. O'Quinn,,84-87,,
8:42.0,K. O'Quinn makes 2-pt shot from 1 ft,2,86-87,,
8:24.0,,,86-87,,D. Booker misses 2-pt shot from 5 ft
8:22.0,,,86-87,,Offensive rebound by T. Chandler
8:22.0,,,86-87,,T. Chandler misses 2-pt shot at rim
8:19.0,,,86-87,,Offensive rebound by E. Bledsoe
8:17.0,,,86-87,,Offensive foul by T. Chandler
