time,Chicago,pts.away,score,pts.home,Boston
11:27.0,,,9-22,,T. Rozier misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by R. Rondo,,9-22,,
11:21.0,P. Zipser misses 3-pt shot from 27 ft,,9-22,,
11:20.0,Offensive rebound by C. Felicio,,9-22,,
11:20.0,C. Felicio misses 2-pt shot from 1 ft,,9-22,,
11:14.0,,,9-22,,Defensive rebound by M. Smart
11:09.0,,,9-22,,J. Brown misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by C. Felicio,,9-22,,
10:53.0,R. Rondo misses 2-pt shot from 5 ft,,9-22,,
10:52.0,,,9-22,,Defensive rebound by M. Smart
10:43.0,,,9-22,,K. Olynyk misses 2-pt shot from 4 ft (block by P. Zipser)
10:41.0,,,9-22,,Offensive rebound by K. Olynyk
10:36.0,,,9-24,2,M. Smart makes 2-pt shot from 20 ft (assist by T. Rozier)
10:15.0,Turnover by P. Zipser (bad pass; steal by J. Brown),,9-24,,
10:13.0,Personal foul by P. Zipser (drawn by J. Brown),,9-24,,
9:56.0,,,9-24,,M. Smart misses 3-pt shot from 27 ft
9:55.0,,,9-24,,Offensive rebound by A. Horford
9:50.0,,,9-24,,Turnover by J. Brown (bad pass; steal by R. Rondo)
9:46.0,R. Rondo makes 2-pt shot from 2 ft,2,11-24,,
9:30.0,,,11-24,,T. Rozier misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by D. Valentine,,11-24,,
9:14.0,R. Rondo misses 2-pt shot from 6 ft,,11-24,,
9:13.0,,,11-24,,Defensive rebound by K. Olynyk
9:02.0,,,11-27,3,A. Horford makes 3-pt shot from 26 ft (assist by T. Rozier)
8:44.0,D. Wade makes 2-pt shot from 18 ft,2,13-27,,
8:24.0,,,13-27,,Shooting foul by C. Felicio (drawn by T. Rozier)
8:24.0,Official timeout,,13-27,,
8:24.0,,,13-28,1,T. Rozier makes free throw 1 of 2
8:24.0,,,13-29,1,T. Rozier makes free throw 2 of 2
8:24.0,,,13-27,,A. Johnson enters the game for A. Horford
8:06.0,Turnover by D. Valentine (bad pass),,13-29,,
7:57.0,,,13-31,2,M. Smart makes 2-pt shot from 5 ft (assist by K. Olynyk)
7:44.0,Turnover by R. Rondo (bad pass; steal by M. Smart),,13-31,,
7:40.0,,,13-33,2,J. Brown makes 2-pt shot from 2 ft
7:40.0,Chicago full timeout,,13-33,,
7:40.0,B. Portis enters the game for R. Rondo,,13-33,,
7:40.0,C. Payne enters the game for D. Valentine,,13-33,,
7:40.0,J. Butler enters the game for P. Zipser,,13-33,,
7:21.0,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne),2,15-33,,
7:04.0,,,15-33,,J. Brown misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by C. Felicio,,15-33,,
6:44.0,B. Portis misses 2-pt shot from 3 ft (block by A. Johnson),,15-33,,
6:43.0,,,15-33,,Defensive rebound by A. Johnson
6:21.0,,,15-35,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
6:07.0,C. Payne makes 2-pt shot from 15 ft,2,17-35,,
5:51.0,,,17-37,2,T. Rozier makes 2-pt shot from 3 ft
5:33.0,J. Butler misses 2-pt shot from 3 ft,,17-37,,
5:32.0,,,17-37,,Defensive rebound by Team
5:32.0,,,17-37,,A. Bradley enters the game for T. Rozier
5:32.0,,,17-37,,I. Thomas enters the game for M. Smart
5:15.0,,,17-37,,Offensive foul by K. Olynyk
5:15.0,,,17-37,,Turnover by K. Olynyk (offensive foul)
4:57.0,B. Portis misses 3-pt shot from 25 ft,,17-37,,
4:57.0,Offensive rebound by Team,,17-37,,
4:57.0,,,17-37,,Personal foul by J. Brown (drawn by J. Butler)
4:57.0,D. Valentine enters the game for D. Wade,,17-37,,
4:50.0,J. Butler misses 2-pt shot from 17 ft,,17-37,,
4:49.0,,,17-37,,Defensive rebound by I. Thomas
4:27.0,,,17-37,,Turnover by I. Thomas (lost ball; steal by J. Butler)
4:21.0,B. Portis makes 2-pt shot from 1 ft,2,19-37,,
3:58.0,,,19-39,2,K. Olynyk makes 2-pt shot from 3 ft
3:50.0,Turnover by C. Payne (bad pass),,19-39,,
3:50.0,,,19-39,,A. Horford enters the game for K. Olynyk
3:50.0,R. Lopez enters the game for C. Felicio,,19-39,,
3:39.0,,,19-39,,Turnover by A. Johnson (bad pass)
3:18.0,D. Valentine misses 3-pt shot from 26 ft,,19-39,,
3:17.0,Offensive rebound by R. Lopez,,19-39,,
3:10.0,C. Payne makes 2-pt shot from 20 ft (assist by R. Lopez),2,21-39,,
2:53.0,,,21-39,,Boston full timeout
2:53.0,,,21-39,,J. Crowder enters the game for J. Brown
2:49.0,Personal foul by C. Payne (drawn by I. Thomas),,21-39,,
2:43.0,,,21-39,,A. Johnson misses 2-pt shot from 2 ft
2:42.0,Defensive rebound by B. Portis,,21-39,,
2:38.0,Turnover by C. Payne (lost ball; steal by A. Bradley),,21-39,,
2:32.0,,,21-42,3,A. Bradley makes 3-pt shot from 25 ft
2:16.0,C. Payne misses 3-pt shot from 29 ft,,21-42,,
2:15.0,,,21-42,,Defensive rebound by A. Johnson
2:04.0,,,21-44,2,I. Thomas makes 2-pt shot from 7 ft
1:48.0,C. Payne misses 3-pt shot from 26 ft,,21-44,,
1:47.0,,,21-44,,Defensive rebound by A. Johnson
1:33.0,,,21-46,2,A. Bradley makes 2-pt shot from 1 ft
1:06.0,C. Payne makes 3-pt shot from 24 ft (assist by J. Butler),3,24-46,,
0:50.0,,,24-46,,A. Johnson misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by B. Portis,,24-46,,
0:38.0,B. Portis makes 2-pt shot from 19 ft (assist by J. Butler),2,26-46,,
0:33.0,,,26-46,,I. Thomas misses 3-pt shot from 29 ft
0:32.0,Defensive rebound by B. Portis,,26-46,,
0:21.0,B. Portis misses 3-pt shot from 27 ft,,26-46,,
0:20.0,,,26-46,,Defensive rebound by A. Bradley
0:04.0,Personal foul by D. Valentine (drawn by I. Thomas),,26-46,,
0:04.0,,,26-46,,Boston full timeout
0:04.0,,,26-46,,K. Olynyk enters the game for A. Johnson
0:03.0,,,26-46,,Turnover by J. Crowder (bad pass; steal by C. Payne)
0:01.0,,,26-46,,Personal foul by J. Crowder (drawn by D. Valentine)
0:00.0,Turnover by C. Payne (bad pass; steal by A. Bradley),,26-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,26-46,,J. Crowder misses 2-pt shot from 2 ft
11:44.0,Defensive rebound by D. Wade,,26-46,,
11:25.0,R. Lopez makes 2-pt shot from 3 ft,2,28-46,,
11:25.0,Shooting foul by J. Crowder (drawn by R. Lopez),,28-46,,
11:25.0,R. Lopez makes free throw 1 of 1,1,29-46,,
11:11.0,,,29-48,2,I. Thomas makes 2-pt shot from 1 ft
10:58.0,D. Wade misses 2-pt shot from 20 ft,,29-48,,
10:57.0,,,29-48,,Defensive rebound by J. Crowder
10:44.0,,,29-51,3,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas)
10:29.0,J. Grant misses 3-pt shot from 29 ft,,29-51,,
10:28.0,,,29-51,,Defensive rebound by A. Bradley
10:13.0,,,29-54,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
9:56.0,Turnover by R. Lopez (lost ball; steal by I. Thomas),,29-54,,
9:55.0,Personal foul by D. Wade (drawn by I. Thomas),,29-54,,
9:33.0,,,29-56,2,A. Bradley makes 2-pt shot from 1 ft (assist by J. Crowder)
9:33.0,Chicago full timeout,,29-56,,
9:33.0,R. Rondo enters the game for J. Grant,,29-56,,
9:11.0,R. Lopez makes 2-pt shot from 6 ft (assist by R. Rondo),2,31-56,,
8:55.0,,,31-56,,J. Crowder misses 3-pt shot from 26 ft
8:54.0,Defensive rebound by B. Portis,,31-56,,
8:47.0,J. Butler misses 2-pt shot from 16 ft,,31-56,,
8:46.0,Offensive rebound by J. Butler,,31-56,,
8:42.0,Turnover by J. Butler (bad pass; steal by I. Thomas),,31-56,,
8:38.0,,,31-58,2,I. Thomas makes 2-pt shot from 2 ft
8:25.0,J. Butler makes 3-pt shot from 27 ft (assist by R. Rondo),3,34-58,,
8:00.0,,,34-58,,A. Bradley misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by J. Butler,,34-58,,
7:51.0,J. Butler misses 2-pt shot from 2 ft,,34-58,,
7:51.0,,,34-58,,Defensive rebound by J. Crowder
7:46.0,,,34-58,,A. Bradley misses 2-pt shot from 2 ft (block by R. Lopez)
7:44.0,Defensive rebound by J. Butler,,34-58,,
7:36.0,D. Wade misses 2-pt shot from 1 ft,,34-58,,
7:35.0,Offensive rebound by B. Portis,,34-58,,
7:33.0,B. Portis makes 2-pt shot from 4 ft,2,36-58,,
7:13.0,,,36-60,2,J. Crowder makes 2-pt shot from 22 ft (assist by A. Bradley)
6:46.0,B. Portis misses 2-pt shot from 15 ft,,36-60,,
6:45.0,Offensive rebound by B. Portis,,36-60,,
6:43.0,B. Portis makes 2-pt shot at rim,2,38-60,,
6:27.0,,,38-60,,I. Thomas misses 3-pt shot from 24 ft
6:26.0,,,38-60,,Offensive rebound by A. Horford
6:20.0,,,38-63,3,I. Thomas makes 3-pt shot from 29 ft (assist by A. Horford)
6:10.0,Turnover by D. Wade (lost ball; steal by A. Horford),,38-63,,
6:06.0,,,38-63,,Turnover by A. Horford (bad pass; steal by R. Rondo)
5:58.0,D. Wade misses 3-pt shot from 27 ft,,38-63,,
5:57.0,,,38-63,,Defensive rebound by J. Crowder
5:55.0,,,38-65,2,A. Bradley makes 2-pt shot at rim (assist by J. Crowder)
5:46.0,Turnover by R. Lopez (lost ball; steal by A. Johnson),,38-65,,
5:41.0,,,38-65,,J. Crowder misses 2-pt shot from 3 ft
5:41.0,,,38-65,,Offensive rebound by A. Horford
5:41.0,,,38-67,2,A. Horford makes 2-pt shot at rim
5:41.0,Chicago full timeout,,38-67,,
5:41.0,,,38-67,,K. Olynyk enters the game for A. Horford
5:41.0,D. Valentine enters the game for B. Portis,,38-67,,
5:41.0,J. Lauvergne enters the game for D. Wade,,38-67,,
5:17.0,D. Valentine makes 2-pt shot from 8 ft,2,40-67,,
5:01.0,,,40-67,,Turnover by A. Johnson (bad pass; steal by R. Rondo)
4:51.0,J. Lauvergne makes 3-pt shot from 26 ft (assist by R. Rondo),3,43-67,,
4:32.0,,,43-67,,J. Crowder misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by R. Lopez,,43-67,,
4:20.0,,,43-67,,Violation by K. Olynyk (kicked ball)
4:20.0,,,43-67,,M. Smart enters the game for A. Bradley
4:14.0,R. Lopez makes 2-pt shot from 19 ft (assist by R. Rondo),2,45-67,,
3:52.0,,,45-70,3,J. Crowder makes 3-pt shot from 29 ft (assist by M. Smart)
3:37.0,D. Valentine makes 3-pt shot from 24 ft (assist by R. Rondo),3,48-70,,
3:11.0,,,48-72,2,I. Thomas makes 2-pt shot from 12 ft
3:02.0,,,48-72,,Personal foul by K. Olynyk (drawn by R. Lopez)
2:52.0,J. Lauvergne misses 2-pt shot from 1 ft,,48-72,,
2:49.0,Offensive rebound by R. Lopez,,48-72,,
2:49.0,R. Lopez makes 2-pt shot at rim,2,50-72,,
2:32.0,,,50-72,,Turnover by K. Olynyk (lost ball; steal by R. Lopez)
2:28.0,D. Valentine makes 2-pt shot from 1 ft (assist by R. Lopez),2,52-72,,
2:28.0,,,52-72,,Boston full timeout
2:28.0,,,52-72,,A. Horford enters the game for A. Johnson
2:28.0,,,52-72,,A. Bradley enters the game for I. Thomas
2:18.0,,,52-72,,A. Bradley misses 2-pt shot from 3 ft (block by R. Lopez)
2:17.0,,,52-72,,Offensive rebound by Team
2:13.0,,,52-72,,A. Horford misses 2-pt shot from 4 ft
2:12.0,,,52-72,,Offensive rebound by A. Bradley
2:12.0,,,52-72,,A. Bradley misses 2-pt shot at rim
2:08.0,Defensive rebound by J. Butler,,52-72,,
2:06.0,,,52-72,,Violation by K. Olynyk (kicked ball)
1:59.0,J. Butler misses 3-pt shot from 28 ft,,52-72,,
1:58.0,Offensive rebound by R. Rondo,,52-72,,
1:53.0,D. Valentine makes 3-pt shot from 27 ft (assist by R. Rondo),3,55-72,,
1:44.0,Personal foul by R. Rondo (drawn by M. Smart),,55-72,,
1:40.0,Personal foul by J. Lauvergne (drawn by M. Smart),,55-72,,
1:40.0,,,55-73,1,M. Smart makes free throw 1 of 2
1:40.0,,,55-74,1,M. Smart makes free throw 2 of 2
1:40.0,,,55-73,,J. Brown enters the game for J. Crowder
1:20.0,R. Lopez makes 2-pt shot at rim (assist by J. Butler),2,57-74,,
1:05.0,,,57-76,2,K. Olynyk makes 2-pt shot from 4 ft
0:54.0,D. Valentine misses 3-pt shot from 27 ft,,57-76,,
0:54.0,,,57-76,,Defensive rebound by M. Smart
0:37.0,,,57-76,,J. Brown misses 2-pt shot from 16 ft
0:37.0,Defensive rebound by R. Rondo,,57-76,,
0:20.0,J. Lauvergne misses 3-pt shot from 25 ft,,57-76,,
0:19.0,,,57-76,,Defensive rebound by J. Brown
0:01.0,,,57-76,,K. Olynyk misses 2-pt shot from 8 ft
0:01.0,,,57-76,,Offensive rebound by A. Bradley
0:01.0,,,57-76,,A. Bradley misses 2-pt shot from 1 ft
0:01.0,,,57-76,,Offensive rebound by A. Bradley
0:00.0,,,57-76,,A. Bradley misses 2-pt shot from 1 ft
0:00.0,,,57-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,C. Felicio misses 2-pt shot from 4 ft,,57-76,,
11:48.0,Offensive rebound by D. Wade,,57-76,,
11:42.0,D. Wade makes 2-pt shot from 8 ft,2,59-76,,
11:23.0,,,59-76,,Turnover by A. Bradley (bad pass; steal by D. Wade)
11:14.0,Turnover by C. Payne (bad pass; steal by M. Smart),,59-76,,
11:02.0,,,59-76,,J. Brown misses 3-pt shot from 22 ft
11:01.0,Defensive rebound by Team,,59-76,,
11:01.0,,,59-76,,Loose ball foul by M. Smart (drawn by J. Lauvergne)
10:49.0,,,59-76,,Personal foul by A. Bradley (drawn by D. Wade)
10:36.0,J. Lauvergne misses 2-pt shot from 3 ft,,59-76,,
10:35.0,,,59-76,,Defensive rebound by K. Olynyk
10:22.0,,,59-79,3,A. Horford makes 3-pt shot from 27 ft (assist by M. Smart)
10:02.0,Turnover by D. Valentine (bad pass; steal by K. Olynyk),,59-79,,
9:58.0,,,59-82,3,J. Brown makes 3-pt shot from 27 ft (assist by A. Horford)
9:58.0,Chicago full timeout,,59-82,,
9:58.0,,,59-82,,T. Rozier enters the game for A. Bradley
9:40.0,D. Wade makes 2-pt shot from 19 ft,2,61-82,,
9:25.0,,,61-82,,Turnover by A. Horford (bad pass; steal by D. Wade)
9:19.0,J. Lauvergne misses 2-pt shot from 5 ft (block by A. Horford),,61-82,,
9:16.0,,,61-82,,Defensive rebound by M. Smart
9:10.0,,,61-82,,T. Rozier misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by J. Lauvergne,,61-82,,
9:00.0,D. Wade misses 2-pt shot from 23 ft,,61-82,,
8:57.0,,,61-82,,Defensive rebound by K. Olynyk
8:44.0,,,61-85,3,M. Smart makes 3-pt shot from 24 ft (assist by A. Horford)
8:17.0,Turnover by Team (shot clock),,61-85,,
8:03.0,,,61-88,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford)
7:50.0,Turnover by C. Payne (lost ball; steal by T. Rozier),,61-88,,
7:47.0,,,61-90,2,T. Rozier makes 2-pt shot at rim
7:47.0,Chicago full timeout,,61-90,,
7:47.0,M. Carter-Williams enters the game for D. Wade,,61-90,,
7:47.0,B. Portis enters the game for J. Lauvergne,,61-90,,
7:47.0,P. Zipser enters the game for D. Valentine,,61-90,,
7:28.0,Shooting foul by J. Brown (drawn by C. Felicio),,61-90,,
7:28.0,C. Felicio makes free throw 1 of 2,1,62-90,,
7:28.0,C. Felicio makes free throw 2 of 2,1,63-90,,
7:12.0,,,63-90,,M. Smart misses 2-pt shot from 11 ft
7:11.0,Defensive rebound by C. Felicio,,63-90,,
7:06.0,P. Zipser makes 3-pt shot from 26 ft (assist by C. Payne),3,66-90,,
6:51.0,,,66-90,,Turnover by T. Rozier (bad pass; steal by C. Payne)
6:45.0,B. Portis makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,68-90,,
6:22.0,,,68-90,,A. Horford misses 2-pt shot from 20 ft
6:21.0,Defensive rebound by C. Payne,,68-90,,
6:16.0,C. Payne misses 3-pt shot from 26 ft,,68-90,,
6:15.0,,,68-90,,Defensive rebound by K. Olynyk
6:03.0,Personal foul by C. Payne (drawn by T. Rozier),,68-90,,
6:03.0,,,68-90,,J. Jerebko enters the game for A. Horford
5:50.0,,,68-90,,M. Smart misses 3-pt shot from 27 ft
5:47.0,Defensive rebound by P. Zipser,,68-90,,
5:47.0,,,68-90,,Loose ball foul by J. Jerebko (drawn by C. Felicio)
5:23.0,C. Payne misses 2-pt shot from 3 ft,,68-90,,
5:22.0,,,68-90,,Defensive rebound by J. Jerebko
5:13.0,,,68-90,,Turnover by J. Brown (lost ball)
5:00.0,B. Portis makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,70-90,,
4:43.0,,,70-90,,J. Jerebko misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by C. Payne,,70-90,,
4:34.0,B. Portis misses 3-pt shot from 25 ft,,70-90,,
4:34.0,,,70-90,,Defensive rebound by Team
4:34.0,I. Canaan enters the game for B. Portis,,70-90,,
4:24.0,,,70-90,,Turnover by M. Smart (traveling)
4:17.0,Shooting foul by J. Brown (drawn by M. Carter-Williams),,70-90,,
4:17.0,M. Carter-Williams makes free throw 1 of 2,1,71-90,,
4:17.0,M. Carter-Williams misses free throw 2 of 2,,71-90,,
4:17.0,,,71-90,,Defensive rebound by J. Jerebko
3:54.0,,,71-90,,Boston full timeout
3:51.0,,,71-90,,J. Brown misses 3-pt shot from 28 ft
3:50.0,,,71-90,,Offensive rebound by M. Smart
3:43.0,,,71-92,2,J. Jerebko makes 2-pt shot from 7 ft (assist by J. Brown)
3:34.0,C. Felicio makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,73-92,,
3:13.0,,,73-92,,K. Olynyk misses 2-pt shot from 12 ft
3:12.0,Defensive rebound by P. Zipser,,73-92,,
3:04.0,I. Canaan misses 3-pt shot from 26 ft,,73-92,,
3:03.0,,,73-92,,Defensive rebound by J. Brown
2:56.0,,,73-92,,Turnover by J. Brown (lost ball)
2:43.0,C. Felicio makes 2-pt shot at rim (assist by C. Payne),2,75-92,,
2:16.0,,,75-95,3,K. Olynyk makes 3-pt shot from 26 ft
1:50.0,C. Felicio misses 2-pt shot from 20 ft,,75-95,,
1:50.0,Offensive rebound by M. Carter-Williams,,75-95,,
1:42.0,I. Canaan misses 3-pt shot from 26 ft,,75-95,,
1:41.0,,,75-95,,Defensive rebound by J. Brown
1:34.0,,,75-95,,M. Smart misses 3-pt shot from 25 ft
1:32.0,,,75-95,,Offensive rebound by J. Jerebko
1:26.0,,,75-95,,M. Smart misses 3-pt shot from 26 ft
1:25.0,,,75-95,,Offensive rebound by J. Jerebko
1:22.0,,,75-97,2,K. Olynyk makes 2-pt shot from 2 ft
1:12.0,Shooting foul by J. Brown (drawn by M. Carter-Williams),,75-97,,
1:12.0,M. Carter-Williams misses free throw 1 of 2,,75-97,,
1:12.0,Offensive rebound by Team,,75-97,,
1:12.0,M. Carter-Williams makes free throw 2 of 2,1,76-97,,
0:56.0,Personal foul by C. Payne (drawn by J. Brown),,76-97,,
0:49.0,,,76-97,,Turnover by T. Rozier (bad pass; steal by C. Felicio)
0:44.0,C. Felicio misses 2-pt shot at rim,,76-97,,
0:43.0,,,76-97,,Defensive rebound by T. Rozier
0:36.0,,,76-97,,Turnover by M. Smart (bad pass; steal by I. Canaan)
0:32.0,C. Felicio makes 2-pt shot from 2 ft,2,78-97,,
0:09.0,,,78-100,3,J. Brown makes 3-pt shot from 27 ft
0:03.0,I. Canaan makes 2-pt shot from 2 ft,2,80-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
