time,Portland,pts.away,score,pts.home,Milwaukee
2:58.0,,,23-20,,G. Monroe misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by A. Crabbe,,23-20,,
2:50.0,D. Lillard misses 2-pt shot at rim,,23-20,,
2:48.0,,,23-20,,Defensive rebound by M. Beasley
2:44.0,,,23-22,2,J. Parker makes 2-pt shot at rim
2:44.0,Portland full timeout,,23-22,,
2:44.0,,,23-22,,R. Vaughn enters the game for T. Snell
2:44.0,M. Leonard enters the game for E. Davis,,23-22,,
2:29.0,M. Leonard makes 3-pt shot from 28 ft (assist by D. Lillard),3,26-22,,
2:16.0,,,26-24,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Brogdon)
1:59.0,Turnover by D. Lillard (lost ball; steal by G. Monroe),,26-24,,
1:56.0,,,26-24,,Shooting foul by M. Leonard (drawn by G. Monroe)
1:56.0,,,26-25,1,G. Monroe makes free throw 1 of 2
1:56.0,,,26-26,1,G. Monroe makes free throw 2 of 2
1:42.0,M. Leonard misses 3-pt shot from 26 ft,,26-26,,
1:40.0,,,26-26,,Defensive rebound by M. Beasley
1:26.0,,,26-26,,G. Monroe misses 2-pt shot from 16 ft
1:25.0,Defensive rebound by D. Lillard,,26-26,,
1:17.0,D. Lillard misses 3-pt shot from 26 ft,,26-26,,
1:15.0,,,26-26,,Defensive rebound by Team
1:01.0,,,26-28,2,J. Parker makes 2-pt shot from 5 ft (assist by M. Brogdon)
0:45.0,A. Aminu misses 2-pt shot from 6 ft,,26-28,,
0:44.0,Offensive rebound by A. Aminu,,26-28,,
0:41.0,Turnover by A. Aminu (lost ball; steal by G. Monroe),,26-28,,
0:30.0,,,26-28,,R. Vaughn misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by E. Turner,,26-28,,
0:19.0,Shooting foul by M. Beasley (drawn by D. Lillard),,26-28,,
0:19.0,D. Lillard makes free throw 1 of 2,1,27-28,,
0:19.0,D. Lillard makes free throw 2 of 2,1,28-28,,
0:01.0,,,28-28,,J. Parker misses 2-pt shot from 19 ft
0:00.0,,,28-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-28,,M. Beasley misses 2-pt shot from 20 ft
11:49.0,Defensive rebound by A. Crabbe,,28-28,,
11:33.0,M. Leonard misses 2-pt shot from 15 ft,,28-28,,
11:32.0,,,28-28,,Defensive rebound by G. Antetokounmpo
11:21.0,,,28-28,,Shooting foul by A. Aminu (drawn by M. Beasley)
11:21.0,,,28-28,,M. Beasley misses free throw 1 of 2
11:21.0,,,28-28,,Offensive rebound by Team
11:21.0,,,28-29,1,M. Beasley makes free throw 2 of 2
11:02.0,Turnover by A. Crabbe (bad pass; steal by G. Monroe),,28-29,,
10:46.0,,,28-32,3,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Monroe)
10:32.0,E. Turner misses 2-pt shot from 9 ft,,28-32,,
10:31.0,,,28-32,,Defensive rebound by R. Vaughn
10:23.0,,,28-34,2,M. Beasley makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
10:02.0,E. Turner makes 2-pt shot from 12 ft,2,30-34,,
9:51.0,,,30-34,,M. Brogdon misses 2-pt shot from 14 ft
9:49.0,Defensive rebound by A. Crabbe,,30-34,,
9:41.0,E. Turner misses 2-pt shot from 10 ft,,30-34,,
9:40.0,,,30-34,,Defensive rebound by M. Beasley
9:28.0,,,30-34,,Turnover by M. Beasley (lost ball; steal by E. Turner)
9:16.0,E. Turner misses 3-pt shot from 23 ft,,30-34,,
9:14.0,,,30-34,,Defensive rebound by G. Antetokounmpo
9:03.0,,,30-36,2,G. Monroe makes 2-pt shot from 2 ft
8:46.0,Shooting foul by M. Brogdon (drawn by C. McCollum),,30-36,,
8:46.0,Official timeout,,30-36,,
8:46.0,C. McCollum misses free throw 1 of 2,,30-36,,
8:46.0,Offensive rebound by Team,,30-36,,
8:46.0,C. McCollum makes free throw 2 of 2,1,31-36,,
8:46.0,,,31-36,,G. Antetokounmpo misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by C. McCollum,,31-36,,
8:19.0,C. McCollum makes 2-pt shot from 9 ft,2,33-36,,
8:01.0,,,33-38,2,G. Monroe makes 2-pt shot from 12 ft
7:43.0,A. Crabbe makes 3-pt shot from 23 ft (assist by A. Aminu),3,36-38,,
7:31.0,,,36-38,,R. Vaughn misses 2-pt shot from 19 ft
7:30.0,Defensive rebound by M. Leonard,,36-38,,
7:19.0,M. Leonard makes 3-pt shot from 26 ft (assist by E. Turner),3,39-38,,
6:51.0,,,39-40,2,M. Beasley makes 2-pt shot from 8 ft
6:32.0,E. Turner misses 2-pt shot from 15 ft,,39-40,,
6:31.0,,,39-40,,Defensive rebound by G. Monroe
6:19.0,,,39-42,2,M. Beasley makes 2-pt shot from 9 ft
6:00.0,M. Leonard makes 3-pt shot from 27 ft (assist by C. McCollum),3,42-42,,
5:39.0,,,42-45,3,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
5:36.0,Portland full timeout,,42-45,,
5:36.0,,,42-45,,J. Henson enters the game for G. Monroe
5:36.0,,,42-45,,J. Terry enters the game for R. Vaughn
5:36.0,M. Harkless enters the game for C. McCollum,,42-45,,
5:36.0,D. Lillard enters the game for A. Aminu,,42-45,,
5:25.0,,,42-45,,Def 3 sec tech foul by G. Antetokounmpo
5:25.0,D. Lillard makes technical free throw,1,43-45,,
5:15.0,A. Crabbe misses 3-pt shot from 23 ft,,43-45,,
5:13.0,,,43-45,,Defensive rebound by M. Brogdon
4:56.0,Personal foul by M. Harkless (drawn by G. Antetokounmpo),,43-45,,
4:56.0,M. Plumlee enters the game for M. Leonard,,43-45,,
4:46.0,,,43-47,2,J. Henson makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
4:21.0,D. Lillard makes 3-pt shot from 27 ft (assist by M. Plumlee),3,46-47,,
4:05.0,,,46-47,,M. Beasley misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by E. Turner,,46-47,,
3:56.0,E. Turner misses 2-pt shot from 12 ft,,46-47,,
3:54.0,,,46-47,,Defensive rebound by M. Beasley
3:50.0,,,46-47,,G. Antetokounmpo misses 2-pt shot at rim
3:48.0,,,46-47,,Offensive rebound by J. Henson
3:48.0,,,46-49,2,J. Henson makes 2-pt shot at rim
3:23.0,M. Harkless misses 2-pt shot from 5 ft,,46-49,,
3:22.0,Offensive rebound by M. Plumlee,,46-49,,
3:20.0,M. Plumlee misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,46-49,,
3:18.0,,,46-49,,Defensive rebound by G. Antetokounmpo
3:10.0,,,46-49,,G. Antetokounmpo misses 2-pt shot from 4 ft
3:08.0,Defensive rebound by E. Turner,,46-49,,
3:07.0,,,46-49,,Personal foul by G. Antetokounmpo (drawn by E. Turner)
3:07.0,,,46-49,,J. Parker enters the game for M. Beasley
3:07.0,,,46-49,,M. Dellavedova enters the game for M. Brogdon
2:55.0,D. Lillard makes 3-pt shot from 26 ft (assist by M. Plumlee),3,49-49,,
2:42.0,,,49-49,,J. Parker misses 2-pt shot from 5 ft (block by M. Plumlee)
2:40.0,Defensive rebound by D. Lillard,,49-49,,
2:33.0,E. Turner misses 3-pt shot from 27 ft,,49-49,,
2:32.0,Offensive rebound by M. Harkless,,49-49,,
2:30.0,M. Harkless misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,49-49,,
2:27.0,,,49-49,,Defensive rebound by G. Antetokounmpo
2:25.0,,,49-49,,Turnover by G. Antetokounmpo (lost ball)
2:25.0,,,49-49,,Milwaukee full timeout
2:25.0,C. McCollum enters the game for A. Crabbe,,49-49,,
2:25.0,A. Aminu enters the game for E. Turner,,49-49,,
2:09.0,D. Lillard makes 3-pt shot from 26 ft (assist by M. Harkless),3,52-49,,
1:56.0,Personal foul by M. Harkless (drawn by J. Henson),,52-49,,
1:48.0,,,52-49,,Turnover by J. Parker (bad pass; steal by M. Harkless)
1:39.0,D. Lillard misses 3-pt shot from 30 ft,,52-49,,
1:38.0,,,52-49,,Defensive rebound by G. Antetokounmpo
1:25.0,,,52-49,,M. Dellavedova misses 3-pt shot from 27 ft
1:24.0,Defensive rebound by A. Aminu,,52-49,,
1:15.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,55-49,,
0:49.0,,,55-49,,J. Terry misses 3-pt shot from 27 ft
0:48.0,,,55-49,,Offensive rebound by J. Henson
0:34.0,,,55-49,,J. Henson misses 2-pt shot from 4 ft (block by M. Plumlee)
0:34.0,Jump ball: J. Henson vs. M. Plumlee (J. Terry gains possession),,,,Jump ball: J. Henson vs. M. Plumlee (J. Terry gains possession)
0:34.0,,,55-49,,Offensive rebound by Team
0:30.0,,,55-49,,Shooting foul by M. Plumlee (drawn by J. Parker)
0:30.0,,,55-50,1,J. Parker makes free throw 1 of 2
0:30.0,,,55-51,1,J. Parker makes free throw 2 of 2
0:07.0,D. Lillard makes 3-pt shot from 28 ft (assist by C. McCollum),3,58-51,,
0:00.0,,,58-51,,J. Parker misses 3-pt shot from 26 ft
0:00.0,,,58-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-53,2,M. Dellavedova makes 2-pt shot from 13 ft
11:29.0,C. McCollum makes 2-pt shot from 9 ft,2,60-53,,
11:12.0,,,60-53,,Shooting foul by E. Davis (drawn by J. Henson)
11:12.0,,,60-53,,J. Henson misses free throw 1 of 2
11:12.0,,,60-53,,Offensive rebound by Team
11:12.0,,,60-53,,J. Henson misses free throw 2 of 2
11:09.0,Defensive rebound by E. Davis,,60-53,,
10:55.0,C. McCollum misses 3-pt shot from 26 ft,,60-53,,
10:53.0,,,60-53,,Defensive rebound by J. Henson
10:49.0,,,60-53,,Shooting foul by C. McCollum (drawn by G. Antetokounmpo)
10:49.0,,,60-54,1,G. Antetokounmpo makes free throw 1 of 2
10:49.0,,,60-54,,G. Antetokounmpo misses free throw 2 of 2
10:49.0,Defensive rebound by Team,,60-54,,
10:49.0,,,60-54,,Violation by G. Antetokounmpo (lane)
10:37.0,M. Harkless misses 3-pt shot from 25 ft,,60-54,,
10:35.0,,,60-54,,Defensive rebound by J. Parker
10:28.0,,,60-54,,T. Snell misses 3-pt shot from 27 ft
10:27.0,Defensive rebound by D. Lillard,,60-54,,
10:18.0,D. Lillard misses 2-pt shot from 7 ft,,60-54,,
10:17.0,Offensive rebound by M. Harkless,,60-54,,
10:05.0,D. Lillard makes 2-pt shot from 2 ft,2,62-54,,
9:56.0,,,62-54,,Offensive charge foul by G. Antetokounmpo
9:56.0,,,62-54,,Turnover by G. Antetokounmpo (offensive foul)
9:43.0,C. McCollum misses 2-pt shot at rim (block by J. Henson),,62-54,,
9:39.0,,,62-54,,Defensive rebound by M. Dellavedova
9:36.0,,,62-57,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
9:18.0,Turnover by M. Harkless (discontinued dribble),,62-57,,
9:09.0,,,62-57,,J. Parker misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by M. Plumlee,,62-57,,
8:56.0,M. Plumlee misses 2-pt shot from 7 ft (block by J. Henson),,62-57,,
8:54.0,Offensive rebound by M. Plumlee,,62-57,,
8:48.0,M. Plumlee misses 2-pt shot from 8 ft,,62-57,,
8:48.0,,,62-57,,Defensive rebound by G. Antetokounmpo
8:48.0,Personal foul by M. Plumlee (drawn by G. Antetokounmpo),,62-57,,
8:37.0,,,62-60,3,M. Dellavedova makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
8:10.0,C. McCollum misses 2-pt shot from 19 ft,,62-60,,
8:08.0,,,62-60,,Defensive rebound by J. Parker
8:04.0,,,62-62,2,J. Parker makes 2-pt shot from 1 ft
8:03.0,Portland full timeout,,62-62,,
7:49.0,Shooting foul by J. Henson (drawn by M. Plumlee),,62-62,,
7:49.0,M. Plumlee misses free throw 1 of 2,,62-62,,
7:49.0,Offensive rebound by Team,,62-62,,
7:49.0,M. Plumlee makes free throw 2 of 2,1,63-62,,
7:34.0,,,63-62,,J. Parker misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by D. Lillard,,63-62,,
7:26.0,D. Lillard misses 3-pt shot from 29 ft,,63-62,,
7:25.0,,,63-62,,Defensive rebound by G. Antetokounmpo
7:17.0,,,63-65,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:53.0,C. McCollum makes 2-pt shot from 7 ft,2,65-65,,
6:40.0,,,65-68,3,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:18.0,C. McCollum makes 3-pt shot from 26 ft (assist by M. Harkless),3,68-68,,
6:06.0,,,68-68,,Shooting foul by E. Davis (drawn by J. Henson)
6:06.0,,,68-69,1,J. Henson makes free throw 1 of 2
6:06.0,,,68-69,,J. Henson misses free throw 2 of 2
6:04.0,Defensive rebound by M. Plumlee,,68-69,,
5:50.0,,,68-69,,Violation by G. Antetokounmpo (kicked ball)
5:40.0,C. McCollum misses 2-pt shot from 4 ft,,68-69,,
5:39.0,Offensive rebound by E. Davis,,68-69,,
5:39.0,E. Davis misses 2-pt shot from 1 ft,,68-69,,
5:37.0,,,68-69,,Defensive rebound by G. Antetokounmpo
5:28.0,,,68-69,,T. Snell misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by M. Plumlee,,68-69,,
5:19.0,D. Lillard makes 2-pt shot from 5 ft,2,70-69,,
4:59.0,,,70-69,,J. Parker misses 2-pt shot from 6 ft
4:58.0,Defensive rebound by C. McCollum,,70-69,,
4:50.0,D. Lillard misses 3-pt shot from 28 ft,,70-69,,
4:49.0,,,70-69,,Defensive rebound by J. Parker
4:44.0,,,70-72,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Parker)
4:22.0,M. Harkless misses 3-pt shot from 27 ft,,70-72,,
4:22.0,,,70-72,,Defensive rebound by Team
4:22.0,E. Turner enters the game for E. Davis,,70-72,,
4:22.0,A. Crabbe enters the game for C. McCollum,,70-72,,
4:22.0,,,70-72,,M. Brogdon enters the game for M. Dellavedova
3:59.0,,,70-72,,G. Antetokounmpo misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by M. Plumlee,,70-72,,
3:36.0,E. Turner makes 2-pt shot from 6 ft,2,72-72,,
3:12.0,,,72-74,2,J. Parker makes 2-pt shot at rim
3:05.0,M. Leonard enters the game for M. Plumlee,,72-74,,
3:05.0,,,72-74,,G. Monroe enters the game for J. Henson
2:57.0,M. Leonard misses 3-pt shot from 26 ft,,72-74,,
2:56.0,,,72-74,,Defensive rebound by G. Monroe
2:37.0,,,72-74,,Shooting foul by M. Harkless (drawn by G. Monroe)
2:37.0,,,72-74,,Milwaukee full timeout
2:37.0,,,72-74,,G. Monroe misses free throw 1 of 2
2:37.0,,,72-74,,Offensive rebound by Team
2:37.0,,,72-75,1,G. Monroe makes free throw 2 of 2
2:37.0,,,72-74,,M. Beasley enters the game for G. Antetokounmpo
2:37.0,A. Aminu enters the game for M. Harkless,,72-74,,
2:22.0,A. Aminu misses 2-pt shot from 1 ft (block by M. Brogdon),,72-75,,
2:19.0,,,72-75,,Defensive rebound by G. Monroe
2:15.0,,,72-75,,J. Parker misses 2-pt shot at rim
2:13.0,Defensive rebound by M. Leonard,,72-75,,
2:06.0,Shooting foul by M. Brogdon (drawn by A. Crabbe),,72-75,,
2:06.0,A. Crabbe makes free throw 1 of 2,1,73-75,,
2:06.0,A. Crabbe makes free throw 2 of 2,1,74-75,,
1:57.0,,,74-78,3,M. Brogdon makes 3-pt shot from 24 ft
1:40.0,Shooting foul by M. Brogdon (drawn by D. Lillard),,74-78,,
1:40.0,D. Lillard makes free throw 1 of 2,1,75-78,,
1:40.0,D. Lillard makes free throw 2 of 2,1,76-78,,
1:23.0,C. McCollum enters the game for D. Lillard,,76-78,,
1:23.0,,,76-78,,J. Terry enters the game for T. Snell
1:18.0,,,76-80,2,G. Monroe makes 2-pt shot from 15 ft (assist by M. Brogdon)
0:52.0,A. Aminu misses 3-pt shot from 24 ft,,76-80,,
0:51.0,,,76-80,,Defensive rebound by M. Beasley
0:45.0,,,76-82,2,J. Parker makes 2-pt shot from 4 ft
0:45.0,,,76-82,,Shooting foul by A. Aminu (drawn by J. Parker)
0:45.0,,,76-83,1,J. Parker makes free throw 1 of 1
0:27.0,Turnover by E. Turner (bad pass; steal by M. Beasley),,76-83,,
0:23.0,,,76-83,,Shooting foul by M. Leonard (drawn by G. Monroe)
0:23.0,,,76-84,1,G. Monroe makes free throw 1 of 2
0:23.0,,,76-85,1,G. Monroe makes free throw 2 of 2
0:01.0,A. Aminu misses 3-pt shot from 26 ft,,76-85,,
0:00.0,,,76-85,,Defensive rebound by M. Beasley
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by C. McCollum (bad pass),,76-85,,
11:33.0,,,76-85,,Shooting foul by M. Leonard (drawn by M. Brogdon)
11:33.0,,,76-85,,G. Monroe misses free throw 1 of 2
11:33.0,,,76-85,,Offensive rebound by Team
11:33.0,,,76-85,,G. Monroe misses free throw 2 of 2
11:33.0,Defensive rebound by M. Leonard,,76-85,,
11:22.0,Turnover by C. McCollum (step out of bounds),,76-85,,
11:07.0,,,76-85,,M. Brogdon misses 2-pt shot from 2 ft (block by M. Leonard)
11:04.0,Defensive rebound by A. Crabbe,,76-85,,
10:53.0,Turnover by A. Crabbe (lost ball; steal by M. Brogdon),,76-85,,
10:51.0,,,76-85,,Shooting foul by A. Crabbe (drawn by M. Brogdon)
10:51.0,,,76-86,1,M. Brogdon makes free throw 1 of 2
10:51.0,,,76-87,1,M. Brogdon makes free throw 2 of 2
10:51.0,M. Plumlee enters the game for M. Leonard,,76-86,,
10:51.0,D. Lillard enters the game for A. Crabbe,,76-86,,
10:30.0,C. McCollum misses 3-pt shot from 29 ft,,76-87,,
10:29.0,Offensive rebound by A. Aminu,,76-87,,
10:29.0,A. Aminu makes 2-pt shot at rim,2,78-87,,
10:12.0,,,78-89,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
9:54.0,,,78-89,,Personal foul by M. Brogdon (drawn by D. Lillard)
9:45.0,D. Lillard misses 3-pt shot from 25 ft,,78-89,,
9:44.0,,,78-89,,Defensive rebound by M. Beasley
9:39.0,,,78-89,,Shooting foul by E. Turner (drawn by G. Antetokounmpo)
9:39.0,,,78-89,,G. Antetokounmpo misses free throw 1 of 2
9:39.0,,,78-89,,Offensive rebound by Team
9:39.0,,,78-89,,G. Antetokounmpo misses free throw 2 of 2
9:37.0,Defensive rebound by E. Turner,,78-89,,
9:30.0,M. Plumlee makes 2-pt shot at rim (assist by E. Turner),2,80-89,,
9:11.0,,,80-89,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by A. Aminu,,80-89,,
9:05.0,Shooting foul by M. Beasley (drawn by E. Turner),,80-89,,
9:05.0,E. Turner makes free throw 1 of 2,1,81-89,,
9:05.0,E. Turner makes free throw 2 of 2,1,82-89,,
8:55.0,,,82-92,3,M. Beasley makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
8:41.0,,,82-92,,Personal foul by J. Terry (drawn by D. Lillard)
8:41.0,Official timeout,,82-92,,
8:41.0,M. Harkless enters the game for A. Aminu,,82-92,,
8:41.0,,,82-92,,T. Snell enters the game for J. Terry
8:33.0,Turnover by D. Lillard (bad pass; steal by M. Brogdon),,82-92,,
8:30.0,,,82-94,2,M. Brogdon makes 2-pt shot from 1 ft
8:04.0,M. Harkless makes 2-pt shot at rim (assist by E. Turner),2,84-94,,
7:48.0,,,84-96,2,M. Beasley makes 2-pt shot from 7 ft
7:37.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,86-96,,
7:23.0,,,86-96,,Milwaukee full timeout
7:23.0,A. Aminu enters the game for C. McCollum,,86-96,,
7:23.0,C. McCollum enters the game for A. Aminu,,86-96,,
7:17.0,,,86-96,,Turnover by M. Beasley (lost ball)
7:17.0,Jump ball: M. Beasley vs. M. Harkless (D. Lillard gains possession),,,,Jump ball: M. Beasley vs. M. Harkless (D. Lillard gains possession)
7:17.0,Shooting foul by G. Antetokounmpo (drawn by D. Lillard),,86-96,,
7:17.0,D. Lillard makes free throw 1 of 2,1,87-96,,
7:17.0,D. Lillard makes free throw 2 of 2,1,88-96,,
7:07.0,,,88-96,,Shooting foul by E. Turner (drawn by T. Snell)
7:07.0,,,88-96,,T. Snell misses free throw 1 of 2
7:07.0,,,88-96,,Offensive rebound by Team
7:07.0,,,88-97,1,T. Snell makes free throw 2 of 2
7:07.0,,,88-96,,J. Parker enters the game for M. Beasley
6:43.0,Turnover by Team (shot clock),,88-97,,
6:32.0,,,88-97,,J. Parker misses 2-pt shot from 15 ft
6:31.0,Defensive rebound by D. Lillard,,88-97,,
6:18.0,Turnover by M. Harkless (bad pass; steal by G. Antetokounmpo),,88-97,,
6:15.0,,,88-97,,Shooting foul by D. Lillard (drawn by T. Snell)
6:15.0,,,88-98,1,T. Snell makes free throw 1 of 2
6:15.0,,,88-99,1,T. Snell makes free throw 2 of 2
6:15.0,A. Crabbe enters the game for E. Turner,,88-98,,
6:03.0,C. McCollum makes 2-pt shot from 1 ft,2,90-99,,
5:45.0,,,90-99,,Turnover by M. Brogdon (bad pass; steal by M. Plumlee)
5:30.0,Turnover by C. McCollum (bad pass; steal by G. Antetokounmpo),,90-99,,
5:27.0,,,90-99,,Shooting foul by A. Crabbe (drawn by G. Antetokounmpo)
5:27.0,,,90-100,1,G. Antetokounmpo makes free throw 1 of 2
5:27.0,,,90-101,1,G. Antetokounmpo makes free throw 2 of 2
5:09.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,93-101,,
4:45.0,,,93-101,,J. Parker misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by M. Plumlee,,93-101,,
4:37.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,96-101,,
4:37.0,,,96-101,,Milwaukee full timeout
4:37.0,,,96-101,,M. Dellavedova enters the game for G. Monroe
4:37.0,,,96-101,,J. Henson enters the game for M. Brogdon
4:25.0,,,96-101,,M. Dellavedova misses 2-pt shot from 1 ft (block by M. Plumlee)
4:22.0,Defensive rebound by D. Lillard,,96-101,,
4:16.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Lillard),3,99-101,,
3:59.0,,,99-103,2,M. Dellavedova makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
