time,Orlando,pts.away,score,pts.home,Boston
8:00.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,14-6,,
7:41.0,Jump ball: J. Brown vs. A. Gordon (J. Crowder gains possession),,,,Jump ball: J. Brown vs. A. Gordon (J. Crowder gains possession)
7:34.0,,,14-6,,Shooting foul by B. Biyombo (drawn by J. Brown)
7:34.0,,,14-7,1,J. Brown makes free throw 1 of 2
7:34.0,,,14-8,1,J. Brown makes free throw 2 of 2
7:21.0,Shooting foul by J. Jerebko (drawn by A. Gordon),,14-8,,
7:21.0,A. Gordon makes free throw 1 of 2,1,15-8,,
7:21.0,A. Gordon misses free throw 2 of 2,,15-8,,
7:21.0,,,15-8,,Defensive rebound by J. Jerebko
7:06.0,,,15-10,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
6:51.0,A. Gordon misses 3-pt shot from 23 ft,,15-10,,
6:50.0,Offensive rebound by E. Payton,,15-10,,
6:49.0,E. Payton misses 2-pt shot at rim (block by I. Thomas),,15-10,,
6:47.0,Offensive rebound by B. Biyombo,,15-10,,
6:46.0,B. Biyombo misses 2-pt shot from 4 ft,,15-10,,
6:45.0,Offensive rebound by Team,,15-10,,
6:37.0,E. Fournier misses 2-pt shot from 2 ft,,15-10,,
6:36.0,,,15-10,,Defensive rebound by J. Jerebko
6:24.0,,,15-10,,I. Thomas misses 2-pt shot from 2 ft (block by T. Ross)
6:23.0,Defensive rebound by B. Biyombo,,15-10,,
6:17.0,T. Ross misses 3-pt shot from 24 ft,,15-10,,
6:16.0,,,15-10,,Defensive rebound by J. Jerebko
5:58.0,,,15-13,3,J. Brown makes 3-pt shot from 23 ft (assist by I. Thomas)
5:51.0,E. Payton makes 2-pt shot from 6 ft,2,17-13,,
5:30.0,,,17-13,,J. Brown misses 2-pt shot from 12 ft
5:29.0,Defensive rebound by A. Gordon,,17-13,,
5:21.0,A. Gordon misses 2-pt shot from 18 ft,,17-13,,
5:21.0,Offensive rebound by Team,,17-13,,
5:21.0,,,17-13,,Loose ball foul by J. Jerebko (drawn by B. Biyombo)
5:21.0,,,17-13,,M. Smart enters the game for J. Crowder
5:16.0,Shooting foul by J. Brown (drawn by E. Fournier),,17-13,,
5:16.0,E. Fournier makes free throw 1 of 2,1,18-13,,
5:16.0,E. Fournier makes free throw 2 of 2,1,19-13,,
5:04.0,,,19-15,2,J. Jerebko makes 2-pt shot from 1 ft
4:47.0,T. Ross misses 2-pt shot from 15 ft,,19-15,,
4:46.0,Offensive rebound by A. Gordon,,19-15,,
4:46.0,A. Gordon misses 2-pt shot from 1 ft,,19-15,,
4:44.0,Offensive rebound by A. Gordon,,19-15,,
4:44.0,A. Gordon misses 2-pt shot from 1 ft,,19-15,,
4:43.0,Offensive rebound by A. Gordon,,19-15,,
4:42.0,A. Gordon makes 2-pt shot from 1 ft,2,21-15,,
4:25.0,,,21-15,,J. Jerebko misses 3-pt shot from 23 ft
4:24.0,,,21-15,,Offensive rebound by I. Thomas
4:21.0,,,21-15,,I. Thomas misses 3-pt shot from 26 ft
4:20.0,,,21-15,,Offensive rebound by Team
4:20.0,M. Hezonja enters the game for T. Ross,,21-15,,
4:20.0,,,21-15,,G. Green enters the game for J. Brown
4:17.0,,,21-15,,J. Jerebko misses 2-pt shot at rim (block by A. Gordon)
4:16.0,Defensive rebound by M. Hezonja,,21-15,,
4:10.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,23-15,,
3:53.0,,,23-17,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
3:37.0,A. Gordon misses 3-pt shot from 25 ft,,23-17,,
3:36.0,,,23-17,,Defensive rebound by J. Jerebko
3:13.0,,,23-17,,I. Thomas misses 2-pt shot from 2 ft
3:12.0,Defensive rebound by B. Biyombo,,23-17,,
3:03.0,E. Payton misses 2-pt shot from 12 ft,,23-17,,
3:02.0,,,23-17,,Defensive rebound by M. Smart
2:48.0,,,23-20,3,M. Smart makes 3-pt shot from 23 ft (assist by I. Thomas)
2:47.0,Orlando full timeout,,23-20,,
2:47.0,,,23-20,,K. Olynyk enters the game for A. Horford
2:37.0,Turnover by E. Fournier (bad pass; steal by K. Olynyk),,23-20,,
2:32.0,,,23-22,2,I. Thomas makes 2-pt shot from 1 ft
2:18.0,E. Payton misses 2-pt shot from 9 ft,,23-22,,
2:17.0,,,23-22,,Defensive rebound by J. Jerebko
2:04.0,,,23-24,2,G. Green makes 2-pt shot from 11 ft (assist by M. Smart)
1:48.0,,,23-24,,Shooting block foul by M. Smart (drawn by E. Fournier)
1:48.0,E. Fournier makes free throw 1 of 2,1,24-24,,
1:48.0,E. Fournier makes free throw 2 of 2,1,25-24,,
1:48.0,C. Watson enters the game for E. Payton,,24-24,,
1:48.0,J. Meeks enters the game for A. Gordon,,24-24,,
1:32.0,,,25-24,,K. Olynyk misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by B. Biyombo,,25-24,,
1:11.0,M. Hezonja makes 2-pt shot from 1 ft,2,27-24,,
1:02.0,,,27-24,,Shooting foul by C. Watson (drawn by I. Thomas)
1:02.0,,,27-25,1,I. Thomas makes free throw 1 of 3
1:02.0,,,27-26,1,I. Thomas makes free throw 2 of 3
1:02.0,,,27-27,1,I. Thomas makes free throw 3 of 3
0:46.0,J. Meeks misses 3-pt shot from 25 ft,,27-27,,
0:45.0,Offensive rebound by Team,,27-27,,
0:45.0,,,27-27,,Loose ball foul by K. Olynyk (drawn by B. Biyombo)
0:45.0,B. Biyombo makes free throw 1 of 2,1,28-27,,
0:45.0,B. Biyombo makes free throw 2 of 2,1,29-27,,
0:45.0,,,28-27,,A. Johnson enters the game for J. Jerebko
0:45.0,,,28-27,,T. Rozier enters the game for I. Thomas
0:31.0,,,29-29,2,G. Green makes 2-pt shot from 19 ft (assist by A. Johnson)
0:13.0,E. Fournier misses 3-pt shot from 27 ft,,29-29,,
0:12.0,,,29-29,,Defensive rebound by A. Johnson
0:01.0,,,29-29,,G. Green misses 3-pt shot from 27 ft
0:00.0,,,29-29,,Offensive rebound by Team
0:00.0,,,29-31,2,G. Green makes 2-pt shot from 2 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by A. Johnson (drawn by B. Biyombo),,29-31,,
11:47.0,B. Biyombo makes free throw 1 of 2,1,30-31,,
11:47.0,B. Biyombo makes free throw 2 of 2,1,31-31,,
11:37.0,,,31-31,,M. Smart misses 2-pt shot from 3 ft (block by J. Meeks)
11:36.0,Defensive rebound by J. Meeks,,31-31,,
11:27.0,C. Watson misses 3-pt shot from 27 ft,,31-31,,
11:26.0,,,31-31,,Defensive rebound by T. Rozier
11:20.0,,,31-33,2,T. Rozier makes 2-pt shot from 18 ft
11:06.0,J. Meeks misses 2-pt shot from 18 ft,,31-33,,
11:05.0,,,31-33,,Defensive rebound by Team
10:49.0,,,31-33,,M. Smart misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by B. Biyombo,,31-33,,
10:41.0,T. Ross makes 3-pt shot from 26 ft (assist by C. Watson),3,34-33,,
10:25.0,,,34-35,2,T. Rozier makes 2-pt shot from 2 ft (assist by A. Johnson)
10:13.0,T. Ross makes 3-pt shot from 27 ft (assist by M. Hezonja),3,37-35,,
9:52.0,,,37-38,3,A. Johnson makes 3-pt shot from 26 ft (assist by T. Rozier)
9:27.0,C. Watson misses 2-pt shot from 6 ft (block by A. Johnson),,37-38,,
9:26.0,Offensive rebound by Team,,37-38,,
9:23.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Watson),3,40-38,,
9:07.0,,,40-38,,T. Rozier misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by Team,,40-38,,
9:06.0,,,40-38,,Loose ball foul by K. Olynyk (drawn by M. Hezonja)
9:06.0,,,40-38,,J. Crowder enters the game for K. Olynyk
8:51.0,Official timeout,,40-38,,
8:48.0,T. Ross misses 2-pt shot from 20 ft,,40-38,,
8:47.0,,,40-38,,Defensive rebound by J. Crowder
8:34.0,,,40-38,,Shooting foul by M. Hezonja (drawn by J. Crowder)
8:34.0,,,40-38,,J. Crowder misses free throw 1 of 2
8:34.0,,,40-38,,Offensive rebound by Team
8:34.0,,,40-39,1,J. Crowder makes free throw 2 of 2
8:34.0,,,40-38,,A. Horford enters the game for A. Johnson
8:34.0,N. Vucevic enters the game for B. Biyombo,,40-38,,
8:18.0,N. Vucevic misses 2-pt shot from 8 ft,,40-39,,
8:17.0,,,40-39,,Defensive rebound by T. Rozier
8:11.0,,,40-39,,A. Horford misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by C. Watson,,40-39,,
8:00.0,J. Meeks misses 3-pt shot from 25 ft,,40-39,,
7:59.0,,,40-39,,Defensive rebound by T. Rozier
7:49.0,,,40-39,,T. Rozier misses 2-pt shot from 10 ft
7:48.0,Defensive rebound by N. Vucevic,,40-39,,
7:42.0,Shooting foul by G. Green (drawn by J. Meeks),,40-39,,
7:42.0,J. Meeks makes free throw 1 of 2,1,41-39,,
7:42.0,J. Meeks makes free throw 2 of 2,1,42-39,,
7:42.0,,,41-39,,J. Brown enters the game for G. Green
7:28.0,,,42-39,,Turnover by M. Smart (bad pass; steal by T. Ross)
7:25.0,Turnover by T. Ross (bad pass),,42-39,,
7:18.0,Personal foul by T. Ross (drawn by M. Smart),,42-39,,
7:13.0,,,42-39,,Turnover by A. Horford (bad pass; steal by J. Meeks)
7:07.0,J. Meeks misses 2-pt shot from 2 ft (block by M. Smart),,42-39,,
7:06.0,,,42-39,,Defensive rebound by A. Horford
7:03.0,,,42-39,,Turnover by A. Horford (bad pass; steal by T. Ross)
6:57.0,C. Watson misses 3-pt shot from 26 ft,,42-39,,
6:55.0,,,42-39,,Defensive rebound by J. Brown
6:35.0,,,42-41,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
6:22.0,Turnover by T. Ross (bad pass),,42-41,,
6:22.0,,,42-41,,I. Thomas enters the game for M. Smart
6:11.0,,,42-41,,A. Horford misses 2-pt shot from 12 ft
6:10.0,Defensive rebound by C. Watson,,42-41,,
6:04.0,C. Watson misses 2-pt shot from 20 ft,,42-41,,
6:02.0,,,42-41,,Defensive rebound by T. Rozier
5:49.0,,,42-41,,I. Thomas misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by N. Vucevic,,42-41,,
5:42.0,,,42-41,,Personal foul by J. Brown (drawn by T. Ross)
5:42.0,,,42-41,,Boston full timeout
5:42.0,A. Gordon enters the game for T. Ross,,42-41,,
5:42.0,E. Payton enters the game for M. Hezonja,,42-41,,
5:42.0,E. Fournier enters the game for C. Watson,,42-41,,
5:30.0,N. Vucevic misses 2-pt shot from 2 ft,,42-41,,
5:29.0,,,42-41,,Defensive rebound by J. Crowder
5:09.0,,,42-41,,J. Brown misses 2-pt shot from 20 ft
5:08.0,Defensive rebound by E. Payton,,42-41,,
4:55.0,A. Gordon makes 2-pt shot at rim (assist by E. Fournier),2,44-41,,
4:55.0,,,44-41,,Boston full timeout
4:37.0,,,44-41,,J. Crowder misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by E. Payton,,44-41,,
4:27.0,Shooting foul by J. Brown (drawn by A. Gordon),,44-41,,
4:27.0,A. Gordon makes free throw 1 of 2,1,45-41,,
4:27.0,A. Gordon makes free throw 2 of 2,1,46-41,,
4:27.0,T. Ross enters the game for J. Meeks,,45-41,,
4:27.0,,,45-41,,M. Smart enters the game for J. Brown
4:27.0,,,45-41,,K. Olynyk enters the game for T. Rozier
4:12.0,,,46-41,,K. Olynyk misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by T. Ross,,46-41,,
4:02.0,,,46-41,,Personal foul by K. Olynyk (drawn by E. Fournier)
4:02.0,E. Fournier makes free throw 1 of 2,1,47-41,,
4:02.0,E. Fournier makes free throw 2 of 2,1,48-41,,
3:43.0,,,48-41,,I. Thomas misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by Team,,48-41,,
3:30.0,E. Fournier misses 3-pt shot from 25 ft,,48-41,,
3:29.0,,,48-41,,Defensive rebound by K. Olynyk
3:24.0,,,48-41,,Shooting foul by E. Payton (drawn by I. Thomas)
3:24.0,,,48-42,1,I. Thomas makes free throw 1 of 2
3:24.0,,,48-43,1,I. Thomas makes free throw 2 of 2
3:14.0,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton),3,51-43,,
2:54.0,,,51-45,2,J. Crowder makes 2-pt shot from 21 ft (assist by M. Smart)
2:48.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,53-45,,
2:35.0,,,53-45,,Turnover by I. Thomas (bad pass; steal by E. Fournier)
2:30.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,55-45,,
2:30.0,Shooting foul by M. Smart (drawn by A. Gordon),,55-45,,
2:30.0,Orlando full timeout,,55-45,,
2:30.0,A. Gordon makes free throw 1 of 1,1,56-45,,
2:05.0,,,56-45,,M. Smart misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by E. Payton,,56-45,,
1:50.0,N. Vucevic makes 2-pt shot from 6 ft,2,58-45,,
1:33.0,,,58-48,3,K. Olynyk makes 3-pt shot from 26 ft (assist by A. Horford)
1:13.0,E. Payton makes 2-pt shot from 9 ft (assist by A. Gordon),2,60-48,,
1:04.0,,,60-51,3,I. Thomas makes 3-pt shot from 25 ft
0:56.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,62-51,,
0:51.0,,,62-51,,Shooting foul by E. Payton (drawn by I. Thomas)
0:51.0,,,62-53,2,I. Thomas makes 2-pt shot from 2 ft (assist by K. Olynyk)
0:51.0,,,62-54,1,I. Thomas makes free throw 1 of 1
0:51.0,,,62-53,,T. Rozier enters the game for K. Olynyk
0:38.0,N. Vucevic misses 2-pt shot from 19 ft,,62-54,,
0:37.0,,,62-54,,Defensive rebound by J. Crowder
0:28.0,,,62-57,3,T. Rozier makes 3-pt shot from 26 ft (assist by I. Thomas)
0:28.0,Orlando full timeout,,62-57,,
0:28.0,,,62-57,,J. Brown enters the game for I. Thomas
0:05.0,N. Vucevic makes 2-pt shot from 8 ft,2,64-57,,
0:02.0,Violation by N. Vucevic (kicked ball),,64-57,,
0:02.0,,,64-57,,I. Thomas enters the game for J. Brown
0:02.0,C. Watson enters the game for E. Payton,,64-57,,
0:02.0,B. Biyombo enters the game for N. Vucevic,,64-57,,
0:00.0,,,64-57,,I. Thomas misses 3-pt shot from 26 ft
0:00.0,,,64-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by T. Ross (bad pass),,64-57,,
11:35.0,,,64-57,,I. Thomas misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by A. Gordon,,64-57,,
11:26.0,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton),3,67-57,,
11:10.0,Personal foul by E. Fournier (drawn by I. Thomas),,67-57,,
10:56.0,,,67-57,,A. Horford misses 2-pt shot from 15 ft
10:55.0,Defensive rebound by A. Gordon,,67-57,,
10:45.0,Shooting foul by J. Brown (drawn by T. Ross),,67-57,,
10:45.0,T. Ross makes free throw 1 of 3,1,68-57,,
10:45.0,T. Ross makes free throw 2 of 3,1,69-57,,
10:45.0,T. Ross makes free throw 3 of 3,1,70-57,,
10:21.0,,,70-59,2,J. Brown makes 2-pt shot from 12 ft
9:58.0,T. Ross makes 2-pt shot from 6 ft (assist by E. Fournier),2,72-59,,
9:37.0,,,72-61,2,A. Horford makes 2-pt shot from 9 ft
9:31.0,Turnover by E. Payton (bad pass; steal by A. Horford),,72-61,,
9:21.0,,,72-63,2,A. Horford makes 2-pt shot from 3 ft (assist by I. Thomas)
9:02.0,A. Gordon misses 2-pt shot from 17 ft,,72-63,,
9:01.0,,,72-63,,Defensive rebound by Team
8:43.0,,,72-63,,A. Horford misses 2-pt shot at rim
8:42.0,Defensive rebound by E. Payton,,72-63,,
8:37.0,E. Fournier misses 3-pt shot from 26 ft,,72-63,,
8:36.0,,,72-63,,Defensive rebound by A. Johnson
8:30.0,,,72-66,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Johnson)
8:11.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,74-66,,
7:51.0,,,74-69,3,I. Thomas makes 3-pt shot from 26 ft
7:37.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,76-69,,
7:30.0,,,76-69,,I. Thomas misses 2-pt shot from 1 ft
7:29.0,,,76-69,,Offensive rebound by A. Horford
7:28.0,,,76-71,2,A. Horford makes 2-pt shot from 1 ft
7:14.0,E. Payton misses 2-pt shot from 2 ft (block by A. Johnson),,76-71,,
7:13.0,Offensive rebound by E. Fournier,,76-71,,
7:12.0,E. Fournier misses 2-pt shot from 1 ft,,76-71,,
7:12.0,,,76-71,,Defensive rebound by A. Johnson
7:12.0,Personal foul by E. Payton (drawn by A. Johnson),,76-71,,
7:02.0,,,76-73,2,I. Thomas makes 2-pt shot from 20 ft
7:02.0,Orlando full timeout,,76-73,,
6:44.0,T. Ross misses 3-pt shot from 23 ft,,76-73,,
6:43.0,,,76-73,,Defensive rebound by J. Brown
6:26.0,,,76-73,,Shooting foul by T. Ross (drawn by J. Crowder)
6:26.0,,,76-74,1,J. Crowder makes free throw 1 of 2
6:26.0,,,76-74,,J. Crowder misses free throw 2 of 2
6:26.0,Defensive rebound by A. Gordon,,76-74,,
6:08.0,N. Vucevic misses 2-pt shot from 14 ft,,76-74,,
6:07.0,,,76-74,,Defensive rebound by J. Crowder
5:51.0,,,76-77,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
5:31.0,N. Vucevic misses 2-pt shot from 18 ft,,76-77,,
5:30.0,,,76-77,,Defensive rebound by I. Thomas
5:18.0,,,76-77,,Turnover by I. Thomas (bad pass; steal by E. Fournier)
5:13.0,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic),2,78-77,,
5:13.0,Shooting foul by J. Crowder (drawn by A. Gordon),,78-77,,
5:13.0,A. Gordon makes free throw 1 of 1,1,79-77,,
5:13.0,,,78-77,,J. Jerebko enters the game for A. Johnson
5:03.0,,,79-77,,Shooting foul by E. Fournier (drawn by I. Thomas)
5:03.0,,,79-78,1,I. Thomas makes free throw 1 of 2
5:03.0,,,79-79,1,I. Thomas makes free throw 2 of 2
4:51.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,81-79,,
4:32.0,,,81-81,2,J. Brown makes 2-pt shot at rim (assist by A. Horford)
4:21.0,E. Fournier misses 3-pt shot from 25 ft,,81-81,,
4:20.0,Offensive rebound by N. Vucevic,,81-81,,
4:17.0,N. Vucevic misses 2-pt shot from 6 ft,,81-81,,
4:16.0,,,81-81,,Defensive rebound by A. Horford
4:11.0,,,81-83,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
3:53.0,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton),3,84-83,,
3:38.0,,,84-83,,I. Thomas misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by E. Payton,,84-83,,
3:30.0,E. Payton misses 2-pt shot from 3 ft,,84-83,,
3:29.0,Offensive rebound by N. Vucevic,,84-83,,
3:29.0,N. Vucevic misses 2-pt shot from 1 ft,,84-83,,
3:27.0,Offensive rebound by N. Vucevic,,84-83,,
3:27.0,N. Vucevic makes 2-pt shot from 1 ft,2,86-83,,
3:17.0,,,86-83,,Boston full timeout
3:17.0,,,86-83,,M. Smart enters the game for I. Thomas
3:17.0,M. Hezonja enters the game for T. Ross,,86-83,,
3:12.0,,,86-83,,A. Horford misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by N. Vucevic,,86-83,,
2:49.0,M. Hezonja misses 2-pt shot from 2 ft,,86-83,,
2:48.0,,,86-83,,Defensive rebound by A. Horford
2:36.0,,,86-83,,Turnover by A. Horford (bad pass; steal by N. Vucevic)
2:22.0,M. Hezonja misses 3-pt shot from 27 ft,,86-83,,
2:21.0,,,86-83,,Defensive rebound by J. Jerebko
2:09.0,,,86-83,,Shooting foul by N. Vucevic (drawn by A. Horford)
2:09.0,,,86-84,1,A. Horford makes free throw 1 of 2
2:09.0,,,86-85,1,A. Horford makes free throw 2 of 2
2:09.0,,,86-84,,T. Rozier enters the game for J. Brown
2:09.0,B. Biyombo enters the game for N. Vucevic,,86-84,,
2:09.0,C. Watson enters the game for E. Payton,,86-84,,
1:50.0,A. Gordon misses 2-pt shot from 6 ft,,86-85,,
1:49.0,Offensive rebound by A. Gordon,,86-85,,
1:49.0,A. Gordon misses 2-pt shot from 2 ft,,86-85,,
1:48.0,Offensive rebound by A. Gordon,,86-85,,
1:48.0,A. Gordon misses 2-pt shot at rim,,86-85,,
1:46.0,,,86-85,,Defensive rebound by T. Rozier
1:26.0,,,86-87,2,T. Rozier makes 2-pt shot from 1 ft (assist by A. Horford)
1:12.0,E. Fournier misses 3-pt shot from 25 ft,,86-87,,
1:10.0,,,86-87,,Defensive rebound by J. Crowder
1:04.0,,,86-90,3,J. Crowder makes 3-pt shot from 26 ft (assist by T. Rozier)
1:02.0,Orlando full timeout,,86-90,,
1:02.0,J. Meeks enters the game for E. Fournier,,86-90,,
1:02.0,,,86-90,,K. Olynyk enters the game for A. Horford
0:51.0,M. Hezonja makes 2-pt shot from 18 ft (assist by C. Watson),2,88-90,,
0:39.0,,,88-90,,J. Crowder misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by Team,,88-90,,
0:28.0,Turnover by C. Watson (bad pass; steal by J. Crowder),,88-90,,
0:23.0,,,88-90,,Shooting foul by B. Biyombo (drawn by J. Crowder)
0:23.0,,,88-91,1,J. Crowder makes free throw 1 of 2
0:23.0,,,88-92,1,J. Crowder makes free throw 2 of 2
0:12.0,,,88-92,,Personal block foul by T. Rozier (drawn by C. Watson)
0:03.0,A. Gordon makes 2-pt shot from 22 ft (assist by C. Watson),2,90-92,,
0:00.0,,,90-92,,M. Smart misses 3-pt shot from 41 ft
0:00.0,,,90-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Violation by B. Biyombo (kicked ball),,90-92,,
11:42.0,,,90-94,2,K. Olynyk makes 2-pt shot from 6 ft (assist by M. Smart)
11:20.0,C. Watson makes 2-pt shot from 14 ft (assist by B. Biyombo),2,92-94,,
11:01.0,,,92-97,3,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart)
10:42.0,T. Ross misses 2-pt shot from 18 ft,,92-97,,
10:41.0,,,92-97,,Defensive rebound by T. Rozier
10:34.0,,,92-97,,T. Rozier misses 2-pt shot from 7 ft
10:33.0,,,92-97,,Offensive rebound by K. Olynyk
10:32.0,,,92-97,,K. Olynyk misses 2-pt shot from 1 ft
10:32.0,,,92-97,,Offensive rebound by K. Olynyk
10:31.0,,,92-97,,Shooting foul by B. Biyombo (drawn by K. Olynyk)
10:31.0,,,92-98,1,K. Olynyk makes free throw 1 of 2
10:31.0,,,92-99,1,K. Olynyk makes free throw 2 of 2
10:19.0,C. Watson misses 2-pt shot from 18 ft,,92-99,,
10:12.0,,,92-99,,Defensive rebound by J. Jerebko
10:01.0,,,92-99,,Turnover by I. Thomas (offensive foul)
10:01.0,,,92-99,,Offensive charge foul by I. Thomas
9:49.0,J. Meeks makes 3-pt shot from 26 ft,3,95-99,,
9:28.0,,,95-99,,M. Smart misses 3-pt shot from 27 ft
9:27.0,Defensive rebound by T. Ross,,95-99,,
9:22.0,J. Meeks makes 2-pt shot from 1 ft (assist by T. Ross),2,97-99,,
9:06.0,,,97-101,2,K. Olynyk makes 2-pt shot from 10 ft (assist by T. Rozier)
8:45.0,J. Meeks makes 3-pt shot from 25 ft (assist by B. Biyombo),3,100-101,,
8:27.0,,,100-103,2,I. Thomas makes 2-pt shot from 2 ft
8:27.0,,,100-103,,Shooting foul by B. Biyombo (drawn by I. Thomas)
8:27.0,Official timeout,,100-103,,
8:27.0,,,100-103,,I. Thomas misses free throw 1 of 1
8:27.0,Defensive rebound by A. Gordon,,100-103,,
8:27.0,E. Payton enters the game for M. Hezonja,,100-103,,
8:27.0,A. Gordon enters the game for C. Watson,,100-103,,
8:13.0,J. Meeks misses 3-pt shot from 27 ft,,100-103,,
8:12.0,,,100-103,,Defensive rebound by J. Jerebko
7:54.0,,,100-105,2,J. Jerebko makes 2-pt shot from 2 ft (assist by K. Olynyk)
7:43.0,Shooting foul by K. Olynyk (drawn by E. Payton),,100-105,,
7:43.0,E. Payton makes free throw 1 of 2,1,101-105,,
7:43.0,E. Payton makes free throw 2 of 2,1,102-105,,
7:29.0,,,102-105,,Turnover by T. Rozier (bad pass; steal by E. Payton)
7:23.0,J. Meeks makes 3-pt shot from 26 ft (assist by E. Payton),3,105-105,,
7:02.0,,,105-105,,Shooting foul by A. Gordon (drawn by I. Thomas)
7:02.0,,,105-106,1,I. Thomas makes free throw 1 of 2
7:02.0,,,105-107,1,I. Thomas makes free throw 2 of 2
7:02.0,,,105-106,,A. Horford enters the game for J. Jerebko
