time,Washington,pts.away,score,pts.home,Milwaukee
6:49.0,,,36-56,,Personal foul by M. Dellavedova (drawn by J. Wall)
6:43.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,38-56,,
6:20.0,,,38-56,,Turnover by G. Monroe (lost ball)
6:06.0,J. Wall makes 2-pt shot from 1 ft,2,40-56,,
5:45.0,,,40-56,,M. Dellavedova misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by O. Porter,,40-56,,
5:34.0,J. Wall misses 2-pt shot from 1 ft,,40-56,,
5:32.0,,,40-56,,Defensive rebound by G. Monroe
5:24.0,,,40-58,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:10.0,M. Gortat makes 2-pt shot from 12 ft,2,42-58,,
4:46.0,,,42-58,,G. Antetokounmpo misses 2-pt shot from 10 ft
4:44.0,,,42-58,,Offensive rebound by J. Parker
4:44.0,,,42-60,2,J. Parker makes 2-pt shot at rim
4:24.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,45-60,,
4:23.0,,,45-60,,Milwaukee full timeout
4:23.0,,,45-60,,J. Henson enters the game for T. Snell
4:23.0,,,45-60,,M. Brogdon enters the game for G. Monroe
4:01.0,,,45-60,,J. Henson misses 2-pt shot from 6 ft
3:59.0,,,45-60,,Offensive rebound by J. Parker
3:59.0,,,45-60,,J. Parker misses 2-pt shot at rim
3:57.0,Defensive rebound by M. Gortat,,45-60,,
3:57.0,Shooting foul by M. Brogdon (drawn by J. Wall),,45-60,,
3:57.0,J. Wall makes free throw 1 of 2,1,46-60,,
3:57.0,J. Wall makes free throw 2 of 2,1,47-60,,
3:46.0,,,47-62,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
3:26.0,J. Wall misses 3-pt shot from 24 ft,,47-62,,
3:25.0,,,47-62,,Defensive rebound by J. Parker
3:19.0,,,47-64,2,J. Parker makes 2-pt shot from 1 ft
2:59.0,Turnover by B. Beal (bad pass; steal by M. Brogdon),,47-64,,
2:55.0,,,47-66,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
2:55.0,Washington full timeout,,47-66,,
2:43.0,M. Morris makes 2-pt shot at rim (assist by M. Gortat),2,49-66,,
2:28.0,,,49-66,,Shooting foul by O. Porter (drawn by J. Henson)
2:28.0,,,49-67,1,J. Henson makes free throw 1 of 2
2:28.0,,,49-67,,J. Henson misses free throw 2 of 2
2:25.0,Defensive rebound by M. Gortat,,49-67,,
2:14.0,J. Wall misses 2-pt shot from 17 ft,,49-67,,
2:12.0,,,49-67,,Defensive rebound by G. Antetokounmpo
2:06.0,,,49-67,,Shooting foul by M. Gortat (drawn by G. Antetokounmpo)
2:06.0,,,49-68,1,G. Antetokounmpo makes free throw 1 of 2
2:06.0,,,49-69,1,G. Antetokounmpo makes free throw 2 of 2
2:03.0,,,49-69,,Personal foul by M. Dellavedova (drawn by J. Wall)
1:52.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,51-69,,
1:33.0,,,51-69,,M. Dellavedova misses 3-pt shot from 27 ft
1:32.0,,,51-69,,Offensive rebound by G. Antetokounmpo
1:28.0,,,51-71,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:15.0,,,51-71,,Personal foul by M. Brogdon (drawn by B. Beal)
1:15.0,B. Beal makes free throw 1 of 2,1,52-71,,
1:15.0,B. Beal makes free throw 2 of 2,1,53-71,,
1:15.0,,,52-71,,T. Snell enters the game for M. Brogdon
0:54.0,Violation by O. Porter (kicked ball),,53-71,,
0:47.0,,,53-71,,Shooting foul by M. Gortat (drawn by G. Antetokounmpo)
0:47.0,,,53-72,1,G. Antetokounmpo makes free throw 1 of 2
0:47.0,,,53-73,1,G. Antetokounmpo makes free throw 2 of 2
0:47.0,J. Smith enters the game for M. Gortat,,53-72,,
0:35.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,55-73,,
0:18.0,,,55-73,,Turnover by J. Parker (lost ball)
0:03.0,J. Smith makes 2-pt shot from 4 ft (assist by J. Wall),2,57-73,,
0:03.0,Shooting foul by T. Snell (drawn by J. Smith),,57-73,,
0:03.0,J. Smith makes free throw 1 of 1,1,58-73,,
0:03.0,K. Oubre enters the game for O. Porter,,57-73,,
0:00.0,,,58-73,,G. Antetokounmpo misses 2-pt shot from 7 ft
0:00.0,,,58-73,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,58-75,2,T. Snell makes 2-pt shot from 1 ft (assist by J. Henson)
11:38.0,Turnover by B. Beal (offensive foul),,58-75,,
11:38.0,Offensive charge foul by B. Beal,,58-75,,
11:21.0,,,58-75,,J. Parker misses 2-pt shot from 4 ft
11:20.0,Defensive rebound by O. Porter,,58-75,,
11:08.0,O. Porter misses 3-pt shot from 26 ft,,58-75,,
11:06.0,,,58-75,,Defensive rebound by G. Antetokounmpo
10:49.0,,,58-78,3,M. Dellavedova makes 3-pt shot from 27 ft
10:32.0,Shooting foul by J. Henson (drawn by M. Morris),,58-78,,
10:32.0,M. Morris misses free throw 1 of 2,,58-78,,
10:32.0,Offensive rebound by Team,,58-78,,
10:32.0,M. Morris makes free throw 2 of 2,1,59-78,,
10:17.0,,,59-78,,J. Parker misses 2-pt shot at rim
10:15.0,,,59-78,,Offensive rebound by J. Parker
10:14.0,,,59-78,,J. Parker misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by J. Wall,,59-78,,
10:06.0,B. Beal misses 3-pt shot from 26 ft,,59-78,,
10:06.0,Offensive rebound by Team,,59-78,,
10:00.0,M. Gortat misses 2-pt shot at rim,,59-78,,
9:59.0,Offensive rebound by O. Porter,,59-78,,
9:53.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,61-78,,
9:40.0,,,61-78,,Shooting foul by B. Beal (drawn by G. Antetokounmpo)
9:40.0,,,61-78,,G. Antetokounmpo misses free throw 1 of 2
9:40.0,,,61-78,,Offensive rebound by Team
9:40.0,,,61-79,1,G. Antetokounmpo makes free throw 2 of 2
9:28.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,63-79,,
9:04.0,,,63-79,,G. Antetokounmpo misses 2-pt shot from 10 ft
9:03.0,,,63-79,,Offensive rebound by J. Henson
8:58.0,,,63-79,,M. Dellavedova misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by M. Morris,,63-79,,
8:46.0,B. Beal misses 3-pt shot from 28 ft,,63-79,,
8:45.0,,,63-79,,Defensive rebound by G. Antetokounmpo
8:37.0,,,63-79,,T. Snell misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by O. Porter,,63-79,,
8:11.0,J. Wall makes 2-pt shot from 16 ft,2,65-79,,
7:59.0,,,65-81,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
7:59.0,,,65-81,,Shooting foul by M. Morris (drawn by G. Antetokounmpo)
7:59.0,,,65-82,1,G. Antetokounmpo makes free throw 1 of 1
7:43.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Gortat),2,67-82,,
7:19.0,,,67-82,,T. Snell misses 3-pt shot from 24 ft
7:18.0,,,67-82,,Offensive rebound by J. Parker
7:10.0,,,67-84,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
6:55.0,,,67-84,,Def 3 sec tech foul by J. Henson
6:55.0,B. Beal makes technical free throw,1,68-84,,
6:46.0,Turnover by M. Morris (lost ball; steal by G. Antetokounmpo),,68-84,,
6:43.0,,,68-84,,Turnover by M. Dellavedova (bad pass)
6:26.0,J. Wall makes 2-pt shot from 13 ft,2,70-84,,
6:14.0,,,70-87,3,J. Parker makes 3-pt shot from 26 ft (assist by M. Dellavedova)
6:01.0,J. Wall misses 2-pt shot from 1 ft,,70-87,,
5:59.0,,,70-87,,Defensive rebound by G. Antetokounmpo
5:59.0,Personal take foul by M. Morris (drawn by G. Antetokounmpo),,70-87,,
5:59.0,,,70-87,,Milwaukee full timeout
5:59.0,K. Oubre enters the game for B. Beal,,70-87,,
5:59.0,,,70-87,,M. Teletovic enters the game for G. Antetokounmpo
5:59.0,,,70-87,,M. Brogdon enters the game for M. Dellavedova
5:59.0,B. Beal enters the game for M. Morris,,70-87,,
5:39.0,,,70-87,,M. Teletovic misses 2-pt shot from 16 ft (block by B. Beal)
5:37.0,Defensive rebound by B. Beal,,70-87,,
5:35.0,J. Wall misses 2-pt shot at rim (block by T. Snell),,70-87,,
5:32.0,,,70-87,,Defensive rebound by T. Snell
5:27.0,,,70-87,,Shooting foul by O. Porter (drawn by J. Henson)
5:27.0,,,70-88,1,J. Henson makes free throw 1 of 2
5:27.0,,,70-89,1,J. Henson makes free throw 2 of 2
5:27.0,J. Smith enters the game for M. Gortat,,70-88,,
5:16.0,Turnover by J. Wall (bad pass; steal by J. Henson),,70-89,,
5:13.0,,,70-91,2,T. Snell makes 2-pt shot at rim
5:01.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,72-91,,
4:48.0,,,72-91,,M. Teletovic misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by J. Smith,,72-91,,
4:41.0,,,72-91,,Violation by J. Henson (kicked ball)
4:28.0,B. Beal misses 3-pt shot from 26 ft,,72-91,,
4:27.0,,,72-91,,Defensive rebound by J. Henson
4:12.0,,,72-91,,M. Teletovic misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by K. Oubre,,72-91,,
4:07.0,Offensive foul by J. Smith,,72-91,,
4:07.0,Turnover by J. Smith (offensive foul),,72-91,,
3:52.0,,,72-91,,J. Henson misses 2-pt shot from 18 ft
3:50.0,Defensive rebound by K. Oubre,,72-91,,
3:40.0,J. Wall misses 2-pt shot from 8 ft,,72-91,,
3:39.0,,,72-91,,Defensive rebound by M. Teletovic
3:25.0,,,72-91,,Turnover by J. Henson (lost ball; steal by J. Wall)
3:20.0,J. Wall makes 2-pt shot from 1 ft,2,74-91,,
3:04.0,,,74-93,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
2:44.0,B. Beal makes 2-pt shot at rim,2,76-93,,
2:24.0,,,76-93,,J. Henson misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by Team,,76-93,,
2:22.0,Washington full timeout,,76-93,,
2:22.0,S. Mac enters the game for O. Porter,,76-93,,
2:22.0,,,76-93,,G. Monroe enters the game for J. Henson
2:11.0,K. Oubre misses 3-pt shot from 23 ft,,76-93,,
2:09.0,,,76-93,,Defensive rebound by M. Brogdon
1:56.0,,,76-93,,Turnover by M. Brogdon (traveling)
1:46.0,Turnover by J. Wall (bad pass),,76-93,,
1:37.0,,,76-93,,Offensive foul by M. Brogdon
1:37.0,,,76-93,,Turnover by M. Brogdon (offensive foul)
1:37.0,,,76-93,,G. Antetokounmpo enters the game for J. Parker
1:16.0,S. Mac misses 3-pt shot from 24 ft,,76-93,,
1:14.0,,,76-93,,Defensive rebound by M. Brogdon
1:08.0,,,76-93,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:05.0,,,76-93,,Offensive rebound by G. Monroe
1:05.0,,,76-95,2,G. Monroe makes 2-pt shot at rim
0:55.0,S. Mac makes 2-pt shot from 5 ft (assist by J. Wall),2,78-95,,
0:36.0,,,78-98,3,M. Brogdon makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
0:30.0,B. Beal misses 3-pt shot from 26 ft,,78-98,,
0:29.0,,,78-98,,Defensive rebound by Team
0:04.0,,,78-100,2,G. Antetokounmpo makes 2-pt shot from 11 ft
0:00.0,J. Wall misses 3-pt shot from 26 ft,,78-100,,
0:00.0,Offensive rebound by Team,,78-100,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. Oubre makes 2-pt shot from 1 ft,2,80-100,,
11:26.0,,,80-102,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
11:06.0,M. Thornton misses 2-pt shot from 8 ft,,80-102,,
11:01.0,,,80-102,,Defensive rebound by G. Monroe
10:48.0,,,80-102,,M. Teletovic misses 2-pt shot from 1 ft (block by J. Smith)
10:48.0,,,80-102,,Offensive rebound by Team
10:48.0,D. Ochefu enters the game for J. Smith,,80-102,,
10:42.0,,,80-102,,Turnover by Team (shot clock)
10:31.0,,,80-102,,Personal foul by M. Teletovic (drawn by S. Mac)
10:24.0,T. Burke misses 2-pt shot from 1 ft,,80-102,,
10:22.0,,,80-102,,Defensive rebound by M. Teletovic
10:02.0,,,80-102,,G. Monroe misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by K. Oubre,,80-102,,
9:51.0,K. Oubre misses 3-pt shot from 26 ft,,80-102,,
9:50.0,,,80-102,,Defensive rebound by G. Monroe
9:33.0,,,80-104,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe)
9:14.0,S. Mac misses 2-pt shot from 22 ft,,80-104,,
9:13.0,,,80-104,,Defensive rebound by G. Antetokounmpo
9:00.0,,,80-104,,G. Monroe misses 2-pt shot from 6 ft
8:58.0,Defensive rebound by S. Mac,,80-104,,
8:51.0,Shooting foul by M. Brogdon (drawn by D. Ochefu),,80-104,,
8:51.0,Official timeout,,80-104,,
8:51.0,D. Ochefu misses free throw 1 of 2,,80-104,,
8:51.0,Offensive rebound by Team,,80-104,,
8:51.0,D. Ochefu misses free throw 2 of 2,,80-104,,
8:49.0,,,80-104,,Defensive rebound by G. Monroe
8:32.0,,,80-104,,G. Antetokounmpo misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by M. Thornton,,80-104,,
8:24.0,M. Thornton misses 2-pt shot from 3 ft (block by G. Antetokounmpo),,80-104,,
8:23.0,,,80-104,,Defensive rebound by Team
8:09.0,,,80-104,,Shooting foul by D. Ochefu (drawn by G. Antetokounmpo)
8:09.0,,,80-105,1,G. Antetokounmpo makes free throw 1 of 2
8:09.0,,,80-106,1,G. Antetokounmpo makes free throw 2 of 2
8:09.0,T. Satoransky enters the game for M. Thornton,,80-105,,
7:52.0,Turnover by T. Burke (lost ball; steal by M. Brogdon),,80-106,,
7:50.0,,,80-106,,Shooting foul by S. Mac (drawn by G. Antetokounmpo)
7:50.0,,,80-107,1,G. Antetokounmpo makes free throw 1 of 2
7:50.0,,,80-108,1,G. Antetokounmpo makes free throw 2 of 2
7:50.0,,,80-107,,T. Maker enters the game for G. Monroe
7:50.0,A. Nicholson enters the game for K. Oubre,,80-107,,
7:30.0,D. Ochefu makes 2-pt shot at rim (assist by T. Satoransky),2,82-108,,
7:17.0,,,82-108,,M. Teletovic misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by A. Nicholson,,82-108,,
7:00.0,Turnover by T. Satoransky (bad pass),,82-108,,
6:40.0,,,82-108,,G. Antetokounmpo misses 2-pt shot from 7 ft
6:39.0,Defensive rebound by A. Nicholson,,82-108,,
6:28.0,Turnover by T. Burke (lost ball; steal by G. Antetokounmpo),,82-108,,
6:26.0,,,82-108,,Shooting foul by T. Burke (drawn by G. Antetokounmpo)
6:26.0,,,82-109,1,G. Antetokounmpo makes free throw 1 of 2
6:26.0,,,82-109,,G. Antetokounmpo misses free throw 2 of 2
6:23.0,Defensive rebound by D. Ochefu,,82-109,,
6:05.0,A. Nicholson misses 3-pt shot from 27 ft,,82-109,,
6:03.0,,,82-109,,Defensive rebound by G. Antetokounmpo
6:02.0,,,82-109,,Turnover by G. Antetokounmpo (lost ball)
6:02.0,,,82-109,,J. Parker enters the game for G. Antetokounmpo
5:52.0,Shooting foul by T. Maker (drawn by T. Burke),,82-109,,
5:52.0,,,82-109,,Milwaukee full timeout
5:52.0,T. Burke makes free throw 1 of 2,1,83-109,,
5:52.0,T. Burke makes free throw 2 of 2,1,84-109,,
5:38.0,,,84-111,2,J. Parker makes 2-pt shot at rim (assist by M. Brogdon)
5:19.0,Turnover by T. Satoransky (bad pass),,84-111,,
5:17.0,,,84-113,2,T. Maker makes 2-pt shot at rim (assist by J. Terry)
5:01.0,D. Ochefu makes 2-pt shot from 1 ft,2,86-113,,
4:46.0,,,86-116,3,T. Maker makes 3-pt shot from 26 ft (assist by M. Brogdon)
4:34.0,T. Burke misses 2-pt shot from 16 ft,,86-116,,
4:32.0,,,86-116,,Defensive rebound by T. Maker
4:08.0,,,86-116,,M. Teletovic misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by D. Ochefu,,86-116,,
3:47.0,Shooting foul by M. Teletovic (drawn by S. Mac),,86-116,,
3:47.0,S. Mac makes free throw 1 of 2,1,87-116,,
3:47.0,S. Mac makes free throw 2 of 2,1,88-116,,
3:47.0,,,87-116,,S. Novak enters the game for M. Teletovic
3:38.0,Personal foul by D. Ochefu (drawn by T. Maker),,88-116,,
3:38.0,,,88-116,,M. Plumlee enters the game for J. Parker
3:23.0,,,88-119,3,M. Brogdon makes 3-pt shot from 24 ft (assist by M. Plumlee)
3:08.0,T. Burke misses 3-pt shot from 28 ft,,88-119,,
3:06.0,Offensive rebound by A. Nicholson,,88-119,,
2:57.0,D. Ochefu misses 2-pt shot from 7 ft,,88-119,,
2:56.0,,,88-119,,Defensive rebound by T. Maker
2:43.0,,,88-119,,Turnover by M. Plumlee (lost ball)
2:43.0,Washington full timeout,,88-119,,
2:25.0,T. Burke makes 2-pt shot from 13 ft (assist by S. Mac),2,90-119,,
1:58.0,,,90-119,,S. Novak misses 3-pt shot from 27 ft
1:58.0,,,90-119,,Offensive rebound by Team
1:58.0,Loose ball foul by A. Nicholson (drawn by M. Plumlee),,90-119,,
1:58.0,,,90-120,1,M. Plumlee makes free throw 1 of 2
1:58.0,,,90-121,1,M. Plumlee makes free throw 2 of 2
1:45.0,T. Satoransky makes 2-pt shot from 2 ft (assist by S. Mac),2,92-121,,
1:21.0,,,92-123,2,M. Brogdon makes 2-pt shot from 1 ft
1:01.0,D. Ochefu makes 2-pt shot at rim (assist by A. Nicholson),2,94-123,,
0:44.0,,,94-123,,Offensive foul by T. Maker
0:44.0,,,94-123,,Turnover by T. Maker (offensive foul)
