time,Washington,pts.away,score,pts.home,New York
9:57.0,Shooting foul by K. O'Quinn (drawn by I. Mahinmi),,35-27,,
9:57.0,I. Mahinmi misses free throw 1 of 2,,35-27,,
9:57.0,Offensive rebound by Team,,35-27,,
9:57.0,I. Mahinmi misses free throw 2 of 2,,35-27,,
9:56.0,,,35-27,,Defensive rebound by C. Lee
9:39.0,,,35-27,,J. Holiday misses 3-pt shot from 25 ft
9:37.0,,,35-27,,Offensive rebound by K. O'Quinn
9:31.0,,,35-29,2,C. Lee makes 2-pt shot from 3 ft
9:21.0,Turnover by K. Oubre (lost ball; steal by C. Lee),,35-29,,
9:14.0,,,35-32,3,J. Holiday makes 3-pt shot from 24 ft (assist by C. Lee)
8:57.0,K. Oubre makes 3-pt shot from 24 ft (assist by B. Jennings),3,38-32,,
8:41.0,,,38-32,,C. Lee misses 2-pt shot from 2 ft (block by I. Mahinmi)
8:40.0,Defensive rebound by B. Jennings,,38-32,,
8:36.0,Shooting foul by S. Vujacic (drawn by B. Jennings),,38-32,,
8:36.0,B. Jennings makes free throw 1 of 2,1,39-32,,
8:36.0,B. Jennings misses free throw 2 of 2,,39-32,,
8:35.0,Offensive rebound by Team,,39-32,,
8:22.0,K. Oubre makes 2-pt shot from 3 ft,2,41-32,,
8:06.0,,,41-34,2,M. Ndour makes 2-pt shot from 16 ft
7:55.0,B. Jennings misses 2-pt shot from 14 ft,,41-34,,
7:53.0,,,41-34,,Defensive rebound by S. Vujacic
7:43.0,,,41-34,,S. Vujacic misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by B. Bogdanovic,,41-34,,
7:29.0,B. Bogdanovic makes 3-pt shot from 24 ft,3,44-34,,
7:02.0,,,44-34,,M. Ndour misses 2-pt shot from 2 ft
7:00.0,,,44-34,,Offensive rebound by M. Ndour
6:59.0,,,44-34,,M. Ndour misses 2-pt shot from 6 ft
6:58.0,Defensive rebound by J. Smith,,44-34,,
6:55.0,Turnover by B. Jennings (bad pass),,44-34,,
6:55.0,,,44-34,,R. Baker enters the game for C. Lee
6:55.0,,,44-34,,M. Kuzminskas enters the game for M. Ndour
6:55.0,,,44-34,,W. Hernangomez enters the game for K. O'Quinn
6:55.0,,,44-34,,C. Anthony enters the game for S. Vujacic
6:40.0,Personal foul by B. Jennings (drawn by R. Baker),,44-34,,
6:40.0,J. Wall enters the game for B. Jennings,,44-34,,
6:27.0,,,44-34,,C. Anthony misses 2-pt shot from 16 ft
6:25.0,,,44-34,,Offensive rebound by W. Hernangomez
6:14.0,,,44-34,,M. Kuzminskas misses 2-pt shot from 1 ft (block by I. Mahinmi)
6:12.0,,,44-34,,Offensive rebound by M. Kuzminskas
6:08.0,,,44-36,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Anthony)
5:45.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by J. Wall),2,46-36,,
5:30.0,,,46-36,,W. Hernangomez misses 2-pt shot from 6 ft
5:29.0,,,46-36,,Offensive rebound by R. Baker
5:29.0,,,46-38,2,R. Baker makes 2-pt shot from 3 ft
5:07.0,J. Wall misses 2-pt shot from 15 ft,,46-38,,
5:05.0,,,46-38,,Defensive rebound by J. Holiday
4:58.0,,,46-38,,C. Anthony misses 3-pt shot from 25 ft
4:57.0,,,46-38,,Offensive rebound by Team
4:57.0,Loose ball foul by J. Smith (drawn by W. Hernangomez),,46-38,,
4:57.0,,,46-38,,New York full timeout
4:57.0,M. Gortat enters the game for J. Smith,,46-38,,
4:57.0,B. Beal enters the game for I. Mahinmi,,46-38,,
4:43.0,,,46-38,,Shooting foul by B. Bogdanovic (drawn by C. Anthony)
4:43.0,,,46-38,,C. Anthony misses free throw 1 of 2
4:43.0,,,46-38,,Offensive rebound by Team
4:43.0,,,46-39,1,C. Anthony makes free throw 2 of 2
4:31.0,B. Beal makes 2-pt shot from 2 ft,2,48-39,,
4:31.0,Shooting foul by W. Hernangomez (drawn by B. Beal),,48-39,,
4:31.0,B. Beal makes free throw 1 of 1,1,49-39,,
4:14.0,,,49-39,,C. Anthony misses 2-pt shot from 2 ft (block by K. Oubre)
4:13.0,,,49-39,,Offensive rebound by Team
4:11.0,,,49-41,2,J. Holiday makes 2-pt shot from 22 ft (assist by C. Anthony)
3:50.0,B. Bogdanovic misses 3-pt shot from 22 ft,,49-41,,
3:48.0,Offensive rebound by K. Oubre,,49-41,,
3:48.0,K. Oubre misses 2-pt shot from 1 ft,,49-41,,
3:46.0,Offensive rebound by K. Oubre,,49-41,,
3:39.0,Offensive foul by J. Wall,,49-41,,
3:39.0,Turnover by J. Wall (offensive foul),,49-41,,
3:39.0,,,49-41,,C. Lee enters the game for J. Holiday
3:26.0,,,49-43,2,C. Anthony makes 2-pt shot from 1 ft (assist by M. Kuzminskas)
3:26.0,,,49-43,,Shooting foul by K. Oubre (drawn by C. Anthony)
3:26.0,,,49-44,1,C. Anthony makes free throw 1 of 1
3:26.0,O. Porter enters the game for K. Oubre,,49-43,,
3:16.0,Turnover by B. Beal (lost ball; steal by C. Lee),,49-44,,
2:58.0,,,49-46,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by C. Lee)
2:40.0,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal),2,51-46,,
2:20.0,,,51-46,,W. Hernangomez misses 2-pt shot from 2 ft
2:18.0,,,51-46,,Offensive rebound by W. Hernangomez
2:17.0,,,51-48,2,W. Hernangomez makes 2-pt shot from 2 ft
2:15.0,Washington full timeout,,51-48,,
2:11.0,Shooting foul by W. Hernangomez (drawn by J. Wall),,51-48,,
2:11.0,J. Wall makes free throw 1 of 2,1,52-48,,
2:11.0,J. Wall makes free throw 2 of 2,1,53-48,,
1:58.0,,,53-48,,Shooting foul by J. Wall (drawn by W. Hernangomez)
1:58.0,,,53-49,1,W. Hernangomez makes free throw 1 of 2
1:58.0,,,53-50,1,W. Hernangomez makes free throw 2 of 2
1:46.0,J. Wall misses 2-pt shot from 2 ft,,53-50,,
1:45.0,,,53-50,,Defensive rebound by C. Anthony
1:32.0,,,53-50,,C. Anthony misses 2-pt shot from 7 ft
1:30.0,,,53-50,,Offensive rebound by C. Anthony
1:30.0,,,53-50,,C. Anthony misses 2-pt shot from 3 ft
1:29.0,,,53-50,,Offensive rebound by W. Hernangomez
1:26.0,,,53-50,,Shooting foul by O. Porter (drawn by C. Anthony)
1:26.0,,,53-50,,C. Anthony misses free throw 1 of 2
1:26.0,,,53-50,,Offensive rebound by Team
1:26.0,,,53-51,1,C. Anthony makes free throw 2 of 2
1:15.0,,,53-51,,Personal foul by C. Anthony (drawn by M. Gortat)
1:15.0,M. Gortat makes free throw 1 of 2,1,54-51,,
1:15.0,,,54-51,,New York full timeout
1:15.0,M. Gortat misses free throw 2 of 2,,54-51,,
1:14.0,,,54-51,,Defensive rebound by C. Anthony
0:57.0,,,54-51,,Turnover by M. Kuzminskas (bad pass; steal by J. Wall)
0:50.0,B. Beal misses 3-pt shot from 24 ft,,54-51,,
0:48.0,Offensive rebound by O. Porter,,54-51,,
0:43.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,56-51,,
0:34.0,,,56-51,,W. Hernangomez misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by M. Gortat,,56-51,,
0:26.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Wall),3,59-51,,
0:03.0,,,59-51,,Turnover by C. Anthony (dbl dribble)
0:03.0,Washington full timeout,,59-51,,
0:01.0,B. Bogdanovic misses 3-pt shot from 24 ft,,59-51,,
0:00.0,Offensive rebound by Team,,59-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,59-51,,R. Baker misses 3-pt shot from 25 ft (block by J. Wall)
11:36.0,,,59-51,,Offensive rebound by Team
11:36.0,,,59-51,,Turnover by Team (shot clock)
11:16.0,J. Smith misses 3-pt shot from 25 ft,,59-51,,
11:14.0,Offensive rebound by O. Porter,,59-51,,
11:13.0,O. Porter misses 2-pt shot from 6 ft,,59-51,,
11:11.0,,,59-51,,Defensive rebound by W. Hernangomez
10:59.0,,,59-51,,Offensive foul by W. Hernangomez
10:59.0,,,59-51,,Turnover by W. Hernangomez (offensive foul)
10:36.0,J. Wall misses 2-pt shot from 16 ft,,59-51,,
10:34.0,,,59-51,,Defensive rebound by C. Lee
10:19.0,,,59-51,,C. Lee misses 2-pt shot from 3 ft
10:17.0,Defensive rebound by M. Gortat,,59-51,,
10:11.0,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall),3,62-51,,
9:43.0,,,62-54,3,C. Anthony makes 3-pt shot from 27 ft
9:16.0,M. Gortat makes 2-pt shot from 7 ft,2,64-54,,
9:03.0,,,64-56,2,R. Baker makes 2-pt shot from 2 ft
8:50.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,66-56,,
8:29.0,,,66-56,,W. Hernangomez misses 2-pt shot from 5 ft
8:27.0,,,66-56,,Offensive rebound by W. Hernangomez
8:22.0,,,66-56,,C. Anthony misses 2-pt shot from 14 ft
8:20.0,Defensive rebound by O. Porter,,66-56,,
8:13.0,B. Beal misses 2-pt shot from 2 ft,,66-56,,
8:11.0,Offensive rebound by O. Porter,,66-56,,
8:08.0,B. Beal misses 3-pt shot from 24 ft,,66-56,,
8:07.0,Offensive rebound by Team,,66-56,,
8:07.0,,,66-56,,Loose ball foul by C. Anthony (drawn by M. Gortat)
8:07.0,,,66-56,,J. Holiday enters the game for C. Lee
8:07.0,Offensive foul by O. Porter,,66-56,,
8:07.0,Turnover by J. Smith (offensive foul),,66-56,,
7:55.0,,,66-56,,W. Hernangomez misses 2-pt shot at rim
7:53.0,Defensive rebound by B. Beal,,66-56,,
7:43.0,J. Wall makes 2-pt shot from 15 ft,2,68-56,,
7:24.0,,,68-56,,R. Baker misses 3-pt shot from 26 ft
7:23.0,,,68-56,,Offensive rebound by Team
7:23.0,Loose ball foul by M. Gortat (drawn by W. Hernangomez),,68-56,,
7:23.0,,,68-56,,M. Ndour enters the game for M. Plumlee
7:14.0,,,68-56,,W. Hernangomez misses 2-pt shot from 6 ft
7:13.0,Defensive rebound by O. Porter,,68-56,,
7:05.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,70-56,,
7:05.0,Shooting foul by M. Ndour (drawn by M. Gortat),,70-56,,
7:05.0,M. Gortat makes free throw 1 of 1,1,71-56,,
6:49.0,Personal foul by J. Wall (drawn by J. Holiday),,71-56,,
6:36.0,,,71-59,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Anthony)
6:21.0,Turnover by B. Beal (step out of bounds),,71-59,,
6:21.0,,,71-59,,K. O'Quinn enters the game for W. Hernangomez
6:09.0,,,71-61,2,J. Holiday makes 2-pt shot from 13 ft (assist by M. Ndour)
5:49.0,O. Porter misses 3-pt shot from 23 ft,,71-61,,
5:47.0,,,71-61,,Defensive rebound by R. Baker
5:36.0,,,71-63,2,K. O'Quinn makes 2-pt shot from 3 ft (assist by R. Baker)
5:36.0,,,71-63,,Shooting foul by J. Smith (drawn by K. O'Quinn)
5:36.0,,,71-63,,New York full timeout
5:36.0,,,71-63,,K. O'Quinn misses free throw 1 of 1
5:36.0,B. Bogdanovic enters the game for J. Smith,,71-63,,
5:35.0,Defensive rebound by B. Bogdanovic,,71-63,,
5:18.0,Shooting foul by K. O'Quinn (drawn by O. Porter),,71-63,,
5:18.0,O. Porter makes free throw 1 of 2,1,72-63,,
5:18.0,O. Porter makes free throw 2 of 2,1,73-63,,
5:02.0,,,73-63,,C. Anthony misses 2-pt shot from 13 ft
5:01.0,,,73-63,,Offensive rebound by M. Ndour
5:00.0,,,73-63,,Shooting foul by B. Beal (drawn by M. Ndour)
5:00.0,,,73-63,,M. Ndour misses free throw 1 of 2
5:00.0,,,73-63,,Offensive rebound by Team
5:00.0,,,73-64,1,M. Ndour makes free throw 2 of 2
4:57.0,Shooting foul by R. Baker (drawn by J. Wall),,73-64,,
4:57.0,J. Wall misses free throw 1 of 2,,73-64,,
4:57.0,Offensive rebound by Team,,73-64,,
4:57.0,J. Wall misses free throw 2 of 2,,73-64,,
4:57.0,K. Oubre enters the game for O. Porter,,73-64,,
4:56.0,,,73-64,,Defensive rebound by C. Anthony
4:41.0,,,73-64,,C. Anthony misses 2-pt shot from 18 ft
4:39.0,,,73-64,,Offensive rebound by K. O'Quinn
4:35.0,,,73-66,2,C. Anthony makes 2-pt shot from 1 ft (assist by K. O'Quinn)
4:15.0,K. Oubre misses 3-pt shot from 25 ft,,73-66,,
4:14.0,,,73-66,,Defensive rebound by J. Holiday
4:07.0,,,73-66,,J. Holiday misses 2-pt shot at rim
4:05.0,Defensive rebound by M. Gortat,,73-66,,
4:01.0,,,73-66,,Personal foul by R. Baker (drawn by K. Oubre)
4:01.0,K. Oubre makes free throw 1 of 2,1,74-66,,
4:01.0,K. Oubre makes free throw 2 of 2,1,75-66,,
4:01.0,,,74-66,,M. Kuzminskas enters the game for C. Anthony
3:49.0,,,75-66,,M. Ndour misses 2-pt shot from 2 ft
3:47.0,Defensive rebound by B. Bogdanovic,,75-66,,
3:41.0,J. Wall makes 3-pt shot from 24 ft,3,78-66,,
3:18.0,,,78-66,,Turnover by M. Ndour (traveling)
3:18.0,I. Mahinmi enters the game for M. Gortat,,78-66,,
3:07.0,J. Wall misses 2-pt shot from 17 ft,,78-66,,
3:05.0,,,78-66,,Defensive rebound by K. O'Quinn
2:59.0,,,78-66,,M. Kuzminskas misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by B. Beal,,78-66,,
2:50.0,B. Beal misses 3-pt shot from 25 ft,,78-66,,
2:48.0,,,78-66,,Defensive rebound by M. Kuzminskas
2:38.0,,,78-68,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker)
2:38.0,,,78-68,,Shooting foul by I. Mahinmi (drawn by K. O'Quinn)
2:38.0,Washington full timeout,,78-68,,
2:38.0,,,78-69,1,K. O'Quinn makes free throw 1 of 1
2:38.0,B. Jennings enters the game for J. Wall,,78-68,,
2:23.0,Shooting foul by K. O'Quinn (drawn by B. Bogdanovic),,78-69,,
2:23.0,B. Bogdanovic makes free throw 1 of 2,1,79-69,,
2:23.0,B. Bogdanovic makes free throw 2 of 2,1,80-69,,
2:00.0,,,80-69,,Turnover by J. Holiday (back court)
2:00.0,,,80-69,,S. Vujacic enters the game for R. Baker
1:49.0,K. Oubre makes 2-pt shot from 15 ft (assist by B. Jennings),2,82-69,,
1:28.0,,,82-71,2,J. Holiday makes 2-pt shot from 1 ft (assist by M. Ndour)
1:19.0,B. Bogdanovic misses 3-pt shot from 24 ft,,82-71,,
1:17.0,,,82-71,,Defensive rebound by S. Vujacic
1:07.0,,,82-71,,Shooting foul by I. Mahinmi (drawn by K. O'Quinn)
1:07.0,,,82-72,1,K. O'Quinn makes free throw 1 of 2
1:07.0,,,82-73,1,K. O'Quinn makes free throw 2 of 2
0:45.0,I. Mahinmi misses 2-pt shot from 2 ft,,82-73,,
0:43.0,,,82-73,,Defensive rebound by J. Holiday
0:37.0,,,82-73,,M. Ndour misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by I. Mahinmi,,82-73,,
0:22.0,B. Bogdanovic misses 2-pt shot from 15 ft,,82-73,,
0:20.0,,,82-73,,Defensive rebound by J. Holiday
0:04.0,,,82-75,2,S. Vujacic makes 2-pt shot from 22 ft
0:01.0,B. Jennings misses 3-pt shot from 34 ft,,82-75,,
0:00.0,Offensive rebound by Team,,82-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:58.0,Turnover by K. Oubre (bad pass; steal by S. Vujacic),,82-75,,
11:53.0,,,82-75,,M. Kuzminskas misses 3-pt shot from 24 ft
11:51.0,Defensive rebound by B. Bogdanovic,,82-75,,
11:28.0,B. Beal makes 2-pt shot from 2 ft,2,84-75,,
11:10.0,,,84-75,,M. Kuzminskas misses 2-pt shot from 2 ft
11:08.0,,,84-75,,Offensive rebound by M. Kuzminskas
11:08.0,,,84-77,2,M. Kuzminskas makes 2-pt shot from 1 ft
10:54.0,B. Bogdanovic misses 3-pt shot from 25 ft,,84-77,,
10:52.0,,,84-77,,Defensive rebound by K. O'Quinn
10:43.0,,,84-77,,M. Kuzminskas misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by B. Bogdanovic,,84-77,,
10:33.0,B. Jennings misses 2-pt shot from 2 ft,,84-77,,
10:31.0,Offensive rebound by K. Oubre,,84-77,,
10:25.0,B. Beal misses 2-pt shot from 2 ft (block by K. O'Quinn),,84-77,,
10:23.0,,,84-77,,Defensive rebound by K. O'Quinn
10:11.0,,,84-77,,K. O'Quinn misses 2-pt shot from 1 ft
10:09.0,,,84-77,,Offensive rebound by M. Ndour
10:07.0,,,84-77,,M. Kuzminskas misses 2-pt shot from 5 ft
10:06.0,Defensive rebound by Team,,84-77,,
10:06.0,,,84-77,,Loose ball foul by K. O'Quinn (drawn by K. Oubre)
9:48.0,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre),3,87-77,,
9:22.0,,,87-77,,K. O'Quinn misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by B. Bogdanovic,,87-77,,
9:10.0,K. Oubre makes 2-pt shot from 3 ft,2,89-77,,
8:53.0,Personal foul by I. Mahinmi (drawn by K. O'Quinn),,89-77,,
8:53.0,Official timeout,,89-77,,
8:53.0,,,89-77,,C. Lee enters the game for M. Ndour
8:53.0,,,89-77,,W. Hernangomez enters the game for K. O'Quinn
8:47.0,,,89-79,2,M. Kuzminskas makes 2-pt shot at rim (assist by S. Vujacic)
8:19.0,B. Bogdanovic misses 3-pt shot from 23 ft,,89-79,,
8:17.0,,,89-79,,Defensive rebound by J. Holiday
8:00.0,,,89-81,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Holiday)
7:45.0,Turnover by B. Bogdanovic (lost ball; steal by C. Lee),,89-81,,
7:38.0,,,89-84,3,S. Vujacic makes 3-pt shot from 25 ft (assist by M. Kuzminskas)
7:19.0,B. Beal misses 2-pt shot from 3 ft,,89-84,,
7:17.0,,,89-84,,Defensive rebound by C. Lee
7:02.0,,,89-84,,J. Holiday misses 2-pt shot from 14 ft
7:00.0,Defensive rebound by K. Oubre,,89-84,,
6:54.0,B. Jennings makes 3-pt shot from 24 ft (assist by K. Oubre),3,92-84,,
6:28.0,,,92-86,2,M. Kuzminskas makes 2-pt shot from 4 ft
6:22.0,M. Gortat enters the game for I. Mahinmi,,92-86,,
6:22.0,J. Wall enters the game for B. Beal,,92-86,,
6:22.0,,,92-86,,C. Anthony enters the game for M. Kuzminskas
6:03.0,J. Wall makes 2-pt shot from 1 ft,2,94-86,,
5:53.0,,,94-88,2,S. Vujacic makes 2-pt shot from 15 ft
5:53.0,,,94-88,,Shooting foul by B. Jennings (drawn by S. Vujacic)
5:53.0,,,94-88,,New York full timeout
5:53.0,,,94-88,,S. Vujacic misses free throw 1 of 1
5:52.0,,,94-88,,Offensive rebound by S. Vujacic
5:38.0,,,94-88,,S. Vujacic misses 2-pt shot from 2 ft (block by K. Oubre)
5:36.0,Defensive rebound by B. Jennings,,94-88,,
5:15.0,J. Wall makes 3-pt shot from 24 ft,3,97-88,,
4:48.0,,,97-90,2,C. Lee makes 2-pt shot from 7 ft
4:24.0,J. Wall misses 3-pt shot from 25 ft,,97-90,,
4:22.0,,,97-90,,Defensive rebound by S. Vujacic
4:16.0,,,97-92,2,J. Holiday makes 2-pt shot from 1 ft (assist by S. Vujacic)
