time,Toronto,pts.away,score,pts.home,LA Clippers
4:37.0,,,31-38,,J. Crawford misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by P. Siakam,,31-38,,
4:28.0,K. Lowry makes 3-pt shot from 25 ft,3,34-38,,
4:12.0,,,34-38,,Turnover by C. Paul (bad pass)
4:12.0,,,34-38,,L. Mbah a Moute enters the game for J. Crawford
4:00.0,P. Siakam makes 2-pt shot from 9 ft (assist by K. Lowry),2,36-38,,
3:45.0,,,36-38,,Turnover by D. Jordan (lost ball; steal by D. DeRozan)
3:40.0,N. Powell makes 3-pt shot from 23 ft (assist by D. DeRozan),3,39-38,,
3:39.0,,,39-38,,LA Clippers full timeout
3:15.0,,,39-41,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul)
2:54.0,D. DeRozan misses 2-pt shot from 14 ft,,39-41,,
2:53.0,,,39-41,,Defensive rebound by D. Jordan
2:42.0,,,39-41,,L. Mbah a Moute misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by K. Lowry,,39-41,,
2:29.0,Turnover by N. Powell (bad pass; steal by J. Redick),,39-41,,
2:18.0,,,39-43,2,B. Griffin makes 2-pt shot from 14 ft (assist by C. Paul)
2:08.0,Toronto full timeout,,39-43,,
2:08.0,C. Joseph enters the game for K. Lowry,,39-43,,
2:01.0,N. Powell misses 3-pt shot from 23 ft,,39-43,,
2:00.0,,,39-43,,Defensive rebound by B. Griffin
1:41.0,,,39-46,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by B. Griffin)
1:23.0,C. Joseph misses 2-pt shot from 19 ft,,39-46,,
1:21.0,,,39-46,,Defensive rebound by D. Jordan
1:11.0,,,39-46,,B. Griffin misses 2-pt shot from 18 ft
1:11.0,,,39-46,,Offensive rebound by L. Mbah a Moute
1:01.0,,,39-48,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
0:51.0,D. DeRozan makes 2-pt shot from 14 ft,2,41-48,,
0:40.0,,,41-48,,Turnover by C. Paul (lost ball; steal by C. Joseph)
0:36.0,Shooting foul by B. Griffin (drawn by C. Joseph),,41-48,,
0:36.0,C. Joseph makes free throw 1 of 2,1,42-48,,
0:36.0,C. Joseph makes free throw 2 of 2,1,43-48,,
0:27.0,,,43-51,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
0:13.0,C. Joseph makes 2-pt shot from 2 ft,2,45-51,,
0:05.0,Personal take foul by C. Joseph (drawn by C. Paul),,45-51,,
0:05.0,,,45-51,,J. Crawford enters the game for L. Mbah a Moute
0:00.0,,,45-51,,Shooting foul by J. Valanciunas (drawn by J. Redick)
0:00.0,,,45-52,1,J. Redick makes free throw 1 of 3
0:00.0,,,45-53,1,J. Redick makes free throw 2 of 3
0:00.0,,,45-54,1,J. Redick makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,K. Lowry misses 2-pt shot from 2 ft (block by B. Griffin),,45-54,,
11:36.0,,,45-54,,Defensive rebound by D. Jordan
11:32.0,,,45-56,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
11:32.0,,,45-56,,Shooting foul by P. Siakam (drawn by B. Griffin)
11:32.0,,,45-57,1,B. Griffin makes free throw 1 of 1
11:12.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,47-57,,
10:59.0,Personal foul by K. Lowry (drawn by C. Paul),,47-57,,
10:47.0,,,47-59,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
10:30.0,D. DeRozan makes 2-pt shot from 18 ft,2,49-59,,
10:15.0,,,49-59,,Turnover by J. Redick (bad pass; steal by P. Siakam)
10:09.0,N. Powell makes 2-pt shot from 1 ft (assist by K. Lowry),2,51-59,,
9:52.0,,,51-61,2,B. Griffin makes 2-pt shot from 3 ft
9:52.0,,,51-61,,Shooting foul by P. Siakam (drawn by B. Griffin)
9:52.0,,,51-62,1,B. Griffin makes free throw 1 of 1
9:41.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,53-62,,
9:20.0,,,53-64,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
9:03.0,D. DeRozan misses 2-pt shot from 15 ft (block by L. Mbah a Moute),,53-64,,
9:02.0,Offensive rebound by D. DeRozan,,53-64,,
9:01.0,D. DeRozan misses 2-pt shot from 16 ft,,53-64,,
9:01.0,,,53-64,,Defensive rebound by D. Jordan
9:01.0,Loose ball foul by P. Siakam (drawn by D. Jordan),,53-64,,
9:01.0,P. Patterson enters the game for P. Siakam,,53-64,,
8:41.0,,,53-64,,C. Paul misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by K. Lowry,,53-64,,
8:32.0,N. Powell makes 3-pt shot from 22 ft (assist by D. DeRozan),3,56-64,,
8:15.0,,,56-66,2,C. Paul makes 2-pt shot from 7 ft
7:54.0,K. Lowry misses 2-pt shot from 17 ft,,56-66,,
7:53.0,,,56-66,,Defensive rebound by D. Jordan
7:50.0,Personal block foul by K. Lowry (drawn by C. Paul),,56-66,,
7:50.0,,,56-67,1,C. Paul makes free throw 1 of 2
7:50.0,,,56-68,1,C. Paul makes free throw 2 of 2
7:26.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,59-68,,
7:05.0,,,59-68,,B. Griffin misses 2-pt shot from 19 ft
7:04.0,Defensive rebound by J. Valanciunas,,59-68,,
6:49.0,K. Lowry makes 3-pt shot from 25 ft,3,62-68,,
6:49.0,,,62-68,,LA Clippers full timeout
6:32.0,,,62-70,2,B. Griffin makes 2-pt shot from 15 ft
6:15.0,,,62-70,,Personal foul by B. Griffin (drawn by J. Valanciunas)
6:01.0,K. Lowry misses 2-pt shot from 2 ft,,62-70,,
5:59.0,,,62-70,,Defensive rebound by B. Griffin
5:54.0,,,62-72,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
5:37.0,D. DeRozan misses 2-pt shot from 15 ft,,62-72,,
5:35.0,,,62-72,,Defensive rebound by C. Paul
5:33.0,Personal foul by P. Patterson (drawn by C. Paul),,62-72,,
5:33.0,,,62-73,1,C. Paul makes free throw 1 of 2
5:33.0,,,62-74,1,C. Paul makes free throw 2 of 2
5:33.0,L. Nogueira enters the game for J. Valanciunas,,62-73,,
5:10.0,N. Powell misses 3-pt shot from 25 ft,,62-74,,
5:07.0,,,62-74,,Defensive rebound by B. Griffin
4:59.0,,,62-76,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:43.0,Turnover by K. Lowry (lost ball),,62-76,,
4:37.0,Personal foul by D. DeRozan (drawn by D. Jordan),,62-76,,
4:37.0,,,62-76,,D. Jordan misses free throw 1 of 2
4:37.0,,,62-76,,Offensive rebound by Team
4:37.0,,,62-77,1,D. Jordan makes free throw 2 of 2
4:37.0,Toronto full timeout,,62-77,,
4:37.0,T. Ross enters the game for N. Powell,,62-77,,
4:20.0,D. DeRozan makes 2-pt shot from 2 ft (assist by P. Patterson),2,64-77,,
4:14.0,Personal take foul by P. Patterson (drawn by D. Jordan),,64-77,,
4:14.0,,,64-78,1,D. Jordan makes free throw 1 of 2
4:14.0,,,64-79,1,D. Jordan makes free throw 2 of 2
3:59.0,Shooting foul by L. Mbah a Moute (drawn by L. Nogueira),,64-79,,
3:59.0,L. Nogueira misses free throw 1 of 2,,64-79,,
3:59.0,Offensive rebound by Team,,64-79,,
3:59.0,L. Nogueira makes free throw 2 of 2,1,65-79,,
3:57.0,Personal take foul by D. DeRozan (drawn by D. Jordan),,65-79,,
3:57.0,,,65-80,1,D. Jordan makes free throw 1 of 2
3:57.0,,,65-81,1,D. Jordan makes free throw 2 of 2
3:35.0,D. DeRozan misses 2-pt shot from 18 ft,,65-81,,
3:35.0,,,65-81,,Defensive rebound by D. Jordan
3:35.0,Personal take foul by K. Lowry (drawn by D. Jordan),,65-81,,
3:35.0,,,65-81,,D. Jordan misses free throw 1 of 2
3:35.0,,,65-81,,Offensive rebound by Team
3:35.0,,,65-82,1,D. Jordan makes free throw 2 of 2
3:19.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,67-82,,
3:10.0,Personal foul by T. Ross (drawn by J. Redick),,67-82,,
3:10.0,,,67-83,1,J. Redick makes free throw 1 of 2
3:10.0,,,67-84,1,J. Redick makes free throw 2 of 2
2:56.0,,,67-84,,Personal foul by C. Paul (drawn by K. Lowry)
2:56.0,,,67-84,,J. Crawford enters the game for J. Redick
2:56.0,C. Joseph enters the game for K. Lowry,,67-84,,
2:44.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,70-84,,
2:35.0,,,70-84,,Turnover by C. Paul (lost ball; steal by C. Joseph)
2:32.0,,,70-84,,Personal foul by D. Jordan (drawn by D. DeRozan)
2:32.0,D. DeRozan makes free throw 1 of 2,1,71-84,,
2:32.0,D. DeRozan misses free throw 2 of 2,,71-84,,
2:32.0,,,71-84,,W. Johnson enters the game for B. Griffin
2:31.0,,,71-84,,Defensive rebound by D. Jordan
2:17.0,,,71-84,,Shooting foul by C. Joseph (drawn by C. Paul)
2:17.0,,,71-85,1,C. Paul makes free throw 1 of 2
2:17.0,,,71-86,1,C. Paul makes free throw 2 of 2
2:03.0,Shooting foul by L. Mbah a Moute (drawn by C. Joseph),,71-86,,
2:03.0,C. Joseph makes free throw 1 of 2,1,72-86,,
2:03.0,C. Joseph misses free throw 2 of 2,,72-86,,
2:03.0,,,72-86,,A. Rivers enters the game for L. Mbah a Moute
2:02.0,,,72-86,,Defensive rebound by D. Jordan
1:50.0,,,72-88,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:39.0,,,72-88,,Personal block foul by W. Johnson (drawn by C. Joseph)
1:39.0,C. Joseph misses free throw 1 of 2,,72-88,,
1:39.0,Offensive rebound by Team,,72-88,,
1:39.0,C. Joseph makes free throw 2 of 2,1,73-88,,
1:17.0,,,73-88,,Turnover by J. Crawford (bad pass; steal by T. Ross)
1:11.0,T. Ross makes 2-pt shot from 2 ft (assist by P. Patterson),2,75-88,,
0:58.0,,,75-88,,C. Paul misses 2-pt shot from 14 ft
0:57.0,Defensive rebound by P. Patterson,,75-88,,
0:51.0,D. DeRozan makes 2-pt shot from 12 ft,2,77-88,,
0:34.0,,,77-88,,A. Rivers misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by D. DeRozan,,77-88,,
0:30.0,D. DeRozan makes 2-pt shot from 15 ft,2,79-88,,
0:08.0,,,79-88,,M. Speights enters the game for D. Jordan
0:08.0,,,79-88,,R. Felton enters the game for W. Johnson
0:04.0,,,79-88,,J. Crawford misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by D. DeRozan,,79-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,79-88,,Turnover by A. Rivers (bad pass)
11:38.0,C. Joseph misses 2-pt shot from 19 ft,,79-88,,
11:37.0,,,79-88,,Defensive rebound by W. Johnson
11:17.0,,,79-91,3,R. Felton makes 3-pt shot from 25 ft (assist by M. Speights)
10:56.0,N. Powell makes 2-pt shot from 6 ft,2,81-91,,
10:56.0,Shooting foul by M. Speights (drawn by N. Powell),,81-91,,
10:56.0,N. Powell makes free throw 1 of 1,1,82-91,,
10:43.0,,,82-91,,Turnover by J. Crawford (lost ball; steal by C. Joseph)
10:37.0,T. Ross makes 2-pt shot from 7 ft,2,84-91,,
10:16.0,,,84-91,,B. Griffin enters the game for W. Johnson
10:16.0,Jump ball: R. Felton vs. N. Powell (P. Patterson gains possession),,,,Jump ball: R. Felton vs. N. Powell (P. Patterson gains possession)
10:16.0,,,84-91,,Turnover by R. Felton (lost ball; steal by N. Powell)
9:56.0,P. Patterson makes 2-pt shot from 15 ft (assist by K. Lowry),2,86-91,,
9:56.0,,,86-91,,LA Clippers full timeout
9:44.0,,,86-93,2,M. Speights makes 2-pt shot from 2 ft (assist by R. Felton)
9:28.0,N. Powell misses 2-pt shot from 1 ft,,86-93,,
9:26.0,,,86-93,,Defensive rebound by M. Speights
9:16.0,,,86-93,,M. Speights misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Lowry,,86-93,,
9:11.0,Turnover by P. Patterson (bad pass),,86-93,,
8:59.0,,,86-95,2,M. Speights makes 2-pt shot from 2 ft (assist by B. Griffin)
8:38.0,C. Joseph makes 2-pt shot from 17 ft,2,88-95,,
8:26.0,Personal foul by N. Powell (drawn by M. Speights),,88-95,,
8:26.0,P. Siakam enters the game for N. Powell,,88-95,,
8:20.0,,,88-95,,Turnover by M. Speights (bad pass; steal by P. Patterson)
8:09.0,K. Lowry misses 3-pt shot from 25 ft,,88-95,,
8:08.0,,,88-95,,Defensive rebound by R. Felton
7:50.0,,,88-97,2,B. Griffin makes 2-pt shot from 18 ft
7:42.0,,,88-97,,Personal foul by A. Rivers (drawn by K. Lowry)
7:28.0,K. Lowry makes 2-pt shot from 2 ft,2,90-97,,
7:03.0,,,90-97,,J. Crawford misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by K. Lowry,,90-97,,
6:58.0,Shooting foul by R. Felton (drawn by K. Lowry),,90-97,,
6:58.0,K. Lowry makes free throw 1 of 2,1,91-97,,
6:58.0,K. Lowry makes free throw 2 of 2,1,92-97,,
6:58.0,,,91-97,,D. Jordan enters the game for M. Speights
6:46.0,,,92-97,,A. Rivers misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by Team,,92-97,,
6:46.0,,,92-97,,Technical foul by Team
6:46.0,K. Lowry makes technical free throw,1,93-97,,
6:46.0,J. Valanciunas enters the game for P. Siakam,,92-97,,
6:46.0,,,92-97,,J. Redick enters the game for A. Rivers
6:46.0,,,93-97,,C. Paul enters the game for R. Felton
6:34.0,K. Lowry misses 3-pt shot from 25 ft,,93-97,,
6:34.0,,,93-97,,Defensive rebound by Team
6:34.0,Loose ball foul by J. Valanciunas (drawn by B. Griffin),,93-97,,
6:21.0,,,93-100,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
6:08.0,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph),3,96-100,,
5:55.0,,,96-100,,Shooting foul by T. Ross (drawn by B. Griffin)
5:55.0,Official timeout,,96-100,,
5:55.0,,,96-101,1,B. Griffin makes free throw 1 of 2
5:55.0,,,96-102,1,B. Griffin makes free throw 2 of 2
5:55.0,D. DeRozan enters the game for C. Joseph,,96-100,,
5:35.0,P. Patterson misses 2-pt shot from 9 ft,,96-102,,
5:35.0,,,96-102,,Defensive rebound by Team
5:17.0,,,96-102,,Shooting foul by P. Patterson (drawn by D. Jordan)
5:17.0,,,96-103,1,D. Jordan makes free throw 1 of 2
5:17.0,,,96-103,,D. Jordan misses free throw 2 of 2
5:16.0,Defensive rebound by P. Patterson,,96-103,,
4:57.0,P. Patterson misses 3-pt shot from 24 ft,,96-103,,
4:56.0,,,96-103,,Defensive rebound by B. Griffin
4:44.0,,,96-105,2,C. Paul makes 2-pt shot from 19 ft
4:35.0,Shooting foul by D. Jordan (drawn by K. Lowry),,96-105,,
4:35.0,K. Lowry misses free throw 1 of 2,,96-105,,
4:35.0,Offensive rebound by Team,,96-105,,
4:35.0,K. Lowry makes free throw 2 of 2,1,97-105,,
4:24.0,,,97-105,,B. Griffin misses 2-pt shot from 2 ft
4:23.0,,,97-105,,Offensive rebound by D. Jordan
4:20.0,,,97-107,2,D. Jordan makes 2-pt shot at rim
