time,Denver,pts.away,score,pts.home,Brooklyn
7:36.0,E. Mudiay misses 3-pt shot from 25 ft,,30-46,,
7:35.0,,,30-46,,Defensive rebound by C. LeVert
7:23.0,,,30-48,2,B. Bogdanovic makes 2-pt shot from 9 ft
7:08.0,E. Mudiay misses 2-pt shot from 2 ft (block by I. Whitehead),,30-48,,
7:08.0,,,30-48,,Defensive rebound by R. Hollis-Jefferson
7:04.0,,,30-48,,C. LeVert misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by W. Barton,,30-48,,
7:00.0,Turnover by W. Barton (bad pass; steal by C. LeVert),,30-48,,
6:46.0,,,30-50,2,B. Bogdanovic makes 2-pt shot from 2 ft
6:45.0,Denver full timeout,,30-50,,
6:45.0,,,30-50,,J. Harris enters the game for C. LeVert
6:34.0,,,30-50,,Personal foul by J. Harris (drawn by J. Nurkic)
6:23.0,J. Murray makes 2-pt shot from 7 ft,2,32-50,,
6:14.0,,,32-50,,I. Whitehead misses 2-pt shot from 9 ft
6:12.0,,,32-50,,Offensive rebound by Team
6:12.0,Loose ball foul by J. Murray (drawn by J. Harris),,32-50,,
6:12.0,,,32-50,,S. Kilpatrick enters the game for B. Bogdanovic
6:09.0,,,32-53,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
5:54.0,W. Barton makes 2-pt shot from 19 ft,2,34-53,,
5:48.0,,,34-53,,Offensive charge foul by R. Hollis-Jefferson
5:48.0,,,34-53,,Turnover by R. Hollis-Jefferson (offensive foul)
5:34.0,,,34-53,,Personal foul by R. Hollis-Jefferson (drawn by E. Mudiay)
5:34.0,E. Mudiay makes free throw 1 of 2,1,35-53,,
5:34.0,E. Mudiay misses free throw 2 of 2,,35-53,,
5:34.0,,,34-53,,T. Booker enters the game for R. Hollis-Jefferson
5:32.0,Offensive rebound by E. Mudiay,,35-53,,
5:31.0,E. Mudiay misses 2-pt shot from 2 ft,,35-53,,
5:24.0,Offensive rebound by J. Nurkic,,35-53,,
5:23.0,J. Nurkic makes 2-pt shot at rim,2,37-53,,
5:12.0,,,37-55,2,A. Bennett makes 2-pt shot at rim (assist by S. Kilpatrick)
4:51.0,J. Murray misses 2-pt shot from 8 ft,,37-55,,
4:49.0,,,37-55,,Defensive rebound by T. Booker
4:34.0,,,37-55,,Turnover by I. Whitehead (lost ball; steal by D. Gallinari)
4:28.0,E. Mudiay misses 2-pt shot at rim,,37-55,,
4:26.0,Offensive rebound by J. Nurkic,,37-55,,
4:25.0,J. Nurkic makes 2-pt shot from 2 ft,2,39-55,,
4:12.0,Personal foul by J. Murray (drawn by A. Bennett),,39-55,,
4:12.0,,,39-55,,B. Lopez enters the game for A. Bennett
4:12.0,W. Chandler enters the game for J. Murray,,39-55,,
4:01.0,,,39-55,,S. Kilpatrick misses 2-pt shot from 18 ft
3:59.0,Defensive rebound by W. Barton,,39-55,,
3:52.0,E. Mudiay misses 3-pt shot from 23 ft,,39-55,,
3:51.0,Offensive rebound by Team,,39-55,,
3:51.0,,,39-55,,Loose ball foul by J. Harris (drawn by W. Barton)
3:51.0,W. Barton makes free throw 1 of 2,1,40-55,,
3:51.0,W. Barton makes free throw 2 of 2,1,41-55,,
3:35.0,,,41-57,2,J. Harris makes 2-pt shot from 3 ft (assist by B. Lopez)
3:17.0,J. Nurkic misses 2-pt shot from 8 ft,,41-57,,
3:16.0,,,41-57,,Defensive rebound by I. Whitehead
3:12.0,,,41-57,,Turnover by I. Whitehead (offensive foul)
3:12.0,,,41-57,,Offensive foul by I. Whitehead
2:56.0,D. Gallinari misses 2-pt shot from 2 ft,,41-57,,
2:55.0,Offensive rebound by J. Nurkic,,41-57,,
2:54.0,J. Nurkic makes 2-pt shot from 2 ft,2,43-57,,
2:48.0,,,43-60,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
2:30.0,J. Nurkic makes 2-pt shot at rim (assist by D. Gallinari),2,45-60,,
2:20.0,,,45-62,2,B. Lopez makes 2-pt shot from 3 ft
1:55.0,E. Mudiay makes 2-pt shot from 6 ft,2,47-62,,
1:44.0,,,47-65,3,J. Harris makes 3-pt shot from 26 ft (assist by I. Whitehead)
1:31.0,Shooting foul by I. Whitehead (drawn by E. Mudiay),,47-65,,
1:31.0,,,47-65,,Brooklyn full timeout
1:31.0,E. Mudiay misses free throw 1 of 2,,47-65,,
1:31.0,Offensive rebound by Team,,47-65,,
1:31.0,E. Mudiay makes free throw 2 of 2,1,48-65,,
1:31.0,N. Jokic enters the game for J. Nurkic,,47-65,,
1:15.0,,,48-65,,Shooting foul by N. Jokic (drawn by B. Lopez)
1:15.0,,,48-65,,B. Lopez misses free throw 1 of 2
1:15.0,,,48-65,,Offensive rebound by Team
1:15.0,,,48-66,1,B. Lopez makes free throw 2 of 2
1:15.0,D. Arthur enters the game for N. Jokic,,48-65,,
1:03.0,W. Barton makes 2-pt shot from 18 ft,2,50-66,,
0:55.0,,,50-66,,Turnover by B. Lopez (lost ball; steal by W. Barton)
0:49.0,W. Barton makes 2-pt shot from 3 ft (assist by E. Mudiay),2,52-66,,
0:32.0,,,52-66,,T. Booker misses 2-pt shot from 5 ft
0:31.0,,,52-66,,Offensive rebound by B. Lopez
0:21.0,,,52-66,,B. Lopez misses 2-pt shot from 3 ft
0:20.0,,,52-66,,Offensive rebound by B. Lopez
0:18.0,,,52-66,,Shooting foul by D. Arthur (drawn by B. Lopez)
0:18.0,,,52-67,1,B. Lopez makes free throw 1 of 2
0:18.0,,,52-68,1,B. Lopez makes free throw 2 of 2
0:18.0,,,52-67,,R. Hollis-Jefferson enters the game for I. Whitehead
0:04.0,W. Chandler misses 3-pt shot from 25 ft,,52-68,,
0:02.0,Offensive rebound by W. Barton,,52-68,,
0:01.0,W. Barton misses 3-pt shot from 27 ft,,52-68,,
0:00.0,Offensive rebound by Team,,52-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-70,2,B. Lopez makes 2-pt shot from 2 ft
11:21.0,W. Barton misses 3-pt shot from 24 ft,,52-70,,
11:20.0,,,52-70,,Defensive rebound by T. Booker
11:04.0,,,52-70,,Turnover by T. Booker (step out of bounds)
10:54.0,Turnover by W. Barton (bad pass; steal by I. Whitehead),,52-70,,
10:49.0,Personal foul by D. Arthur (drawn by T. Booker),,52-70,,
10:49.0,,,52-70,,T. Booker misses free throw 1 of 2
10:49.0,,,52-70,,Offensive rebound by Team
10:49.0,,,52-71,1,T. Booker makes free throw 2 of 2
10:36.0,Turnover by D. Arthur (step out of bounds),,52-71,,
10:25.0,,,52-74,3,B. Lopez makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:12.0,J. Nurkic misses 2-pt shot from 1 ft,,52-74,,
10:11.0,,,52-74,,Defensive rebound by B. Lopez
9:57.0,,,52-77,3,B. Lopez makes 3-pt shot from 27 ft (assist by I. Whitehead)
9:57.0,Denver full timeout,,52-77,,
9:57.0,W. Chandler enters the game for J. Nurkic,,52-77,,
9:50.0,Turnover by D. Arthur (bad pass; steal by I. Whitehead),,52-77,,
9:48.0,,,52-79,2,S. Kilpatrick makes 2-pt shot from 1 ft
9:37.0,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton),3,55-79,,
9:16.0,,,55-79,,B. Bogdanovic misses 2-pt shot from 3 ft
9:15.0,Defensive rebound by D. Gallinari,,55-79,,
9:07.0,W. Barton makes 2-pt shot from 2 ft (assist by D. Gallinari),2,57-79,,
8:49.0,,,57-79,,Shooting foul by D. Arthur (drawn by B. Lopez)
8:49.0,,,57-80,1,B. Lopez makes free throw 1 of 2
8:49.0,,,57-81,1,B. Lopez makes free throw 2 of 2
8:32.0,D. Gallinari misses 2-pt shot from 15 ft,,57-81,,
8:31.0,,,57-81,,Defensive rebound by I. Whitehead
8:10.0,,,57-81,,S. Kilpatrick misses 3-pt shot from 27 ft
8:09.0,Defensive rebound by W. Chandler,,57-81,,
8:00.0,W. Chandler makes 3-pt shot from 25 ft (assist by D. Gallinari),3,60-81,,
7:43.0,,,60-81,,Shooting foul by E. Mudiay (drawn by I. Whitehead)
7:43.0,Technical foul by Team,,60-81,,
7:43.0,Technical foul by Team,,60-81,,
7:43.0,,,60-82,1,S. Kilpatrick makes technical free throw
7:43.0,,,60-83,1,S. Kilpatrick makes technical free throw
7:43.0,,,60-84,1,I. Whitehead makes free throw 1 of 2
7:43.0,,,60-84,,I. Whitehead misses free throw 2 of 2
7:42.0,Defensive rebound by W. Chandler,,60-84,,
7:28.0,E. Mudiay misses 2-pt shot from 15 ft,,60-84,,
7:27.0,,,60-84,,Defensive rebound by B. Lopez
7:12.0,,,60-86,2,B. Bogdanovic makes 2-pt shot from 22 ft
7:02.0,D. Arthur makes 3-pt shot from 26 ft,3,63-86,,
7:02.0,,,63-86,,Brooklyn full timeout
7:02.0,,,63-86,,J. Hamilton enters the game for B. Lopez
6:50.0,Violation by W. Barton (kicked ball),,63-86,,
6:42.0,,,63-86,,J. Hamilton misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by Team,,63-86,,
6:31.0,W. Barton misses 2-pt shot from 2 ft (block by J. Hamilton),,63-86,,
6:30.0,,,63-86,,Defensive rebound by J. Hamilton
6:25.0,,,63-89,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Booker)
6:04.0,E. Mudiay misses 3-pt shot from 24 ft,,63-89,,
6:03.0,,,63-89,,Defensive rebound by T. Booker
5:56.0,,,63-92,3,I. Whitehead makes 3-pt shot from 23 ft (assist by T. Booker)
5:56.0,Denver full timeout,,63-92,,
5:56.0,N. Jokic enters the game for D. Gallinari,,63-92,,
5:56.0,J. Nelson enters the game for E. Mudiay,,63-92,,
5:56.0,J. Murray enters the game for D. Arthur,,63-92,,
5:41.0,W. Chandler misses 2-pt shot from 8 ft,,63-92,,
5:40.0,Offensive rebound by N. Jokic,,63-92,,
5:32.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson),3,66-92,,
5:21.0,,,66-92,,Turnover by J. Hamilton (bad pass)
5:06.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,69-92,,
4:47.0,,,69-92,,I. Whitehead misses 2-pt shot from 7 ft (block by W. Barton)
4:46.0,Defensive rebound by W. Chandler,,69-92,,
4:40.0,Offensive charge foul by W. Barton,,69-92,,
4:40.0,Turnover by W. Barton (offensive foul),,69-92,,
4:40.0,,,69-92,,J. Harris enters the game for I. Whitehead
4:20.0,,,69-94,2,B. Bogdanovic makes 2-pt shot from 5 ft
4:01.0,J. Nelson misses 3-pt shot from 25 ft,,69-94,,
4:00.0,Offensive rebound by J. Murray,,69-94,,
3:42.0,J. Murray makes 2-pt shot from 2 ft,2,71-94,,
3:23.0,,,71-96,2,J. Harris makes 2-pt shot from 1 ft (assist by S. Kilpatrick)
3:09.0,J. Murray misses 3-pt shot from 24 ft,,71-96,,
3:08.0,,,71-96,,Defensive rebound by T. Booker
3:00.0,,,71-96,,J. Harris misses 3-pt shot from 23 ft
2:59.0,,,71-96,,Offensive rebound by J. Harris
2:49.0,,,71-96,,Turnover by J. Hamilton (lost ball)
2:49.0,,,71-96,,B. Lopez enters the game for T. Booker
2:49.0,,,71-96,,R. Foye enters the game for B. Bogdanovic
2:49.0,,,71-96,,R. Hollis-Jefferson enters the game for S. Kilpatrick
2:39.0,W. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,73-96,,
2:21.0,,,73-96,,B. Lopez misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by J. Nelson,,73-96,,
2:16.0,J. Nelson makes 2-pt shot from 2 ft,2,75-96,,
1:53.0,,,75-96,,J. Hamilton misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by W. Barton,,75-96,,
1:39.0,J. Murray misses 3-pt shot from 22 ft,,75-96,,
1:38.0,Offensive rebound by J. Nelson,,75-96,,
1:31.0,Turnover by J. Nelson (bad pass; steal by J. Harris),,75-96,,
1:22.0,,,75-96,,J. Hamilton misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by N. Jokic,,75-96,,
1:08.0,N. Jokic misses 2-pt shot from 2 ft,,75-96,,
1:07.0,Offensive rebound by W. Chandler,,75-96,,
1:06.0,W. Chandler misses 2-pt shot from 1 ft,,75-96,,
1:05.0,Offensive rebound by W. Chandler,,75-96,,
1:04.0,W. Chandler misses 2-pt shot from 2 ft,,75-96,,
1:03.0,Offensive rebound by N. Jokic,,75-96,,
1:01.0,Shooting foul by R. Foye (drawn by N. Jokic),,75-96,,
1:01.0,N. Jokic makes free throw 1 of 2,1,76-96,,
1:01.0,N. Jokic makes free throw 2 of 2,1,77-96,,
0:47.0,,,77-96,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by W. Barton,,77-96,,
0:37.0,J. Nelson makes 2-pt shot from 9 ft,2,79-96,,
0:21.0,,,79-96,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by J. Murray,,79-96,,
0:04.0,J. Nelson misses 3-pt shot from 25 ft,,79-96,,
0:02.0,,,79-96,,Defensive rebound by B. Lopez
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Murray makes 3-pt shot from 25 ft,3,82-96,,
11:22.0,,,82-96,,A. Bennett misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by N. Jokic,,82-96,,
11:07.0,J. Nelson misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson),,82-96,,
11:06.0,Offensive rebound by N. Jokic,,82-96,,
11:04.0,N. Jokic makes 2-pt shot from 1 ft,2,84-96,,
11:04.0,,,84-96,,Brooklyn full timeout
11:04.0,,,84-96,,I. Whitehead enters the game for R. Foye
11:04.0,,,84-96,,T. Booker enters the game for R. Hollis-Jefferson
10:54.0,,,84-96,,B. Bogdanovic misses 2-pt shot from 20 ft
10:53.0,,,84-96,,Offensive rebound by A. Bennett
10:51.0,,,84-98,2,A. Bennett makes 2-pt shot at rim
10:24.0,J. Murray misses 2-pt shot from 5 ft,,84-98,,
10:23.0,Offensive rebound by N. Jokic,,84-98,,
10:22.0,N. Jokic misses 2-pt shot from 2 ft,,84-98,,
10:21.0,Offensive rebound by N. Jokic,,84-98,,
10:20.0,N. Jokic makes 2-pt shot from 1 ft,2,86-98,,
10:01.0,,,86-98,,T. Booker misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by Team,,86-98,,
9:46.0,J. Murray misses 3-pt shot from 25 ft,,86-98,,
9:45.0,,,86-98,,Defensive rebound by Team
9:45.0,,,86-98,,B. Lopez enters the game for A. Bennett
9:28.0,,,86-98,,B. Lopez misses 2-pt shot from 8 ft
9:27.0,Defensive rebound by K. Faried,,86-98,,
9:20.0,W. Barton misses 3-pt shot from 25 ft,,86-98,,
9:19.0,Offensive rebound by J. Nelson,,86-98,,
9:13.0,J. Nelson misses 3-pt shot from 25 ft,,86-98,,
9:12.0,,,86-98,,Defensive rebound by C. LeVert
9:02.0,,,86-98,,I. Whitehead misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by J. Murray,,86-98,,
8:55.0,J. Murray misses 2-pt shot from 3 ft,,86-98,,
8:52.0,Offensive rebound by K. Faried,,86-98,,
8:52.0,Shooting foul by B. Lopez (drawn by K. Faried),,86-98,,
8:52.0,K. Faried makes free throw 1 of 2,1,87-98,,
8:52.0,K. Faried makes free throw 2 of 2,1,88-98,,
8:52.0,W. Chandler enters the game for N. Jokic,,87-98,,
8:42.0,,,88-98,,Turnover by B. Bogdanovic (lost ball; steal by W. Barton)
8:26.0,J. Nelson makes 2-pt shot from 2 ft,2,90-98,,
8:08.0,Personal foul by J. Nelson (drawn by B. Bogdanovic),,90-98,,
8:08.0,,,90-98,,J. Harris enters the game for C. LeVert
7:53.0,,,90-98,,I. Whitehead misses 3-pt shot from 28 ft
7:51.0,Defensive rebound by W. Chandler,,90-98,,
7:41.0,W. Chandler misses 3-pt shot from 27 ft,,90-98,,
7:40.0,,,90-98,,Defensive rebound by T. Booker
7:36.0,Personal block foul by K. Faried (drawn by T. Booker),,90-98,,
7:36.0,,,90-98,,S. Kilpatrick enters the game for B. Bogdanovic
