time,LA Clippers,pts.away,score,pts.home,Utah
4:45.0,R. Felton enters the game for J. Crawford,,41-39,,
4:39.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,43-39,,
4:25.0,,,43-41,2,D. Favors makes 2-pt shot at rim (assist by J. Johnson)
4:04.0,C. Paul makes 2-pt shot from 9 ft,2,45-41,,
3:40.0,,,45-41,,G. Hill misses 2-pt shot from 14 ft
3:40.0,Defensive rebound by D. Jordan,,45-41,,
3:32.0,R. Felton misses 2-pt shot from 2 ft,,45-41,,
3:32.0,,,45-41,,Defensive rebound by D. Favors
3:31.0,Personal foul by D. Jordan (drawn by D. Favors),,45-41,,
3:31.0,,,45-41,,D. Favors misses free throw 1 of 2
3:31.0,,,45-41,,Offensive rebound by Team
3:31.0,,,45-42,1,D. Favors makes free throw 2 of 2
3:19.0,Shooting foul by J. Johnson (drawn by C. Paul),,45-42,,
3:19.0,C. Paul makes free throw 1 of 2,1,46-42,,
3:19.0,C. Paul makes free throw 2 of 2,1,47-42,,
2:59.0,,,47-44,2,J. Johnson makes 2-pt shot from 9 ft
2:39.0,Turnover by J. Redick (bad pass; steal by J. Ingles),,47-44,,
2:33.0,,,47-47,3,R. Hood makes 3-pt shot from 23 ft (assist by G. Hill)
2:03.0,C. Paul makes 2-pt shot from 6 ft,2,49-47,,
1:55.0,,,49-47,,Utah full timeout
1:55.0,L. Mbah a Moute enters the game for P. Pierce,,49-47,,
1:55.0,,,49-47,,R. Gobert enters the game for D. Favors
1:47.0,,,49-49,2,R. Hood makes 2-pt shot from 5 ft (assist by J. Ingles)
1:28.0,C. Paul misses 2-pt shot from 15 ft,,49-49,,
1:27.0,,,49-49,,Defensive rebound by J. Ingles
1:17.0,,,49-49,,J. Ingles misses 2-pt shot from 3 ft
1:17.0,,,49-49,,Offensive rebound by R. Gobert
1:16.0,,,49-51,2,R. Gobert makes 2-pt shot from 2 ft
1:00.0,J. Redick misses 3-pt shot from 25 ft,,49-51,,
1:00.0,,,49-51,,Defensive rebound by R. Gobert
0:51.0,,,49-53,2,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles)
0:36.0,Shooting foul by J. Ingles (drawn by R. Felton),,49-53,,
0:36.0,R. Felton makes free throw 1 of 3,1,50-53,,
0:36.0,R. Felton makes free throw 2 of 3,1,51-53,,
0:36.0,R. Felton makes free throw 3 of 3,1,52-53,,
0:25.0,,,52-53,,Turnover by J. Ingles (bad pass; steal by L. Mbah a Moute)
0:02.0,C. Paul misses 2-pt shot from 17 ft,,52-53,,
0:01.0,,,52-53,,Defensive rebound by Team
0:01.0,Personal foul by D. Jordan (drawn by R. Gobert),,52-53,,
0:01.0,,,52-54,1,R. Gobert makes free throw 1 of 2
0:01.0,,,52-55,1,R. Gobert makes free throw 2 of 2
0:01.0,,,52-54,,D. Favors enters the game for J. Johnson
0:01.0,M. Speights enters the game for J. Redick,,52-54,,
0:00.0,D. Jordan misses 3-pt shot from 62 ft,,52-55,,
0:00.0,Offensive rebound by Team,,52-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,C. Paul makes 2-pt shot from 10 ft,2,54-55,,
11:28.0,,,54-55,,R. Hood misses 2-pt shot from 4 ft
11:27.0,Defensive rebound by C. Paul,,54-55,,
11:12.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,54-55,,
11:10.0,,,54-55,,Defensive rebound by J. Ingles
10:47.0,,,54-55,,B. Diaw misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by C. Paul,,54-55,,
10:39.0,C. Paul misses 3-pt shot from 25 ft,,54-55,,
10:39.0,,,54-55,,Defensive rebound by R. Gobert
10:28.0,,,54-55,,R. Hood misses 2-pt shot from 14 ft
10:28.0,Defensive rebound by L. Mbah a Moute,,54-55,,
10:07.0,Shooting foul by R. Hood (drawn by D. Jordan),,54-55,,
10:07.0,D. Jordan misses free throw 1 of 2,,54-55,,
10:07.0,Offensive rebound by Team,,54-55,,
10:07.0,D. Jordan makes free throw 2 of 2,1,55-55,,
9:43.0,,,55-55,,B. Diaw misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by C. Paul,,55-55,,
9:36.0,M. Speights misses 3-pt shot from 25 ft,,55-55,,
9:35.0,,,55-55,,Defensive rebound by R. Hood
9:22.0,,,55-55,,G. Hill misses 3-pt shot from 25 ft
9:21.0,,,55-55,,Offensive rebound by J. Ingles
9:16.0,,,55-57,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
8:59.0,M. Speights misses 3-pt shot from 26 ft,,55-57,,
8:57.0,Offensive rebound by D. Jordan,,55-57,,
8:57.0,Shooting foul by R. Hood (drawn by D. Jordan),,55-57,,
8:57.0,D. Jordan makes free throw 1 of 2,1,56-57,,
8:57.0,D. Jordan misses free throw 2 of 2,,56-57,,
8:57.0,,,56-57,,J. Johnson enters the game for B. Diaw
8:57.0,J. Crawford enters the game for M. Speights,,56-57,,
8:56.0,,,56-57,,Defensive rebound by R. Gobert
8:37.0,,,56-59,2,R. Hood makes 2-pt shot from 7 ft
8:12.0,C. Paul makes 2-pt shot from 10 ft,2,58-59,,
8:00.0,,,58-61,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
7:38.0,J. Redick misses 3-pt shot from 24 ft (block by J. Ingles),,58-61,,
7:37.0,Offensive rebound by C. Paul,,58-61,,
7:30.0,J. Redick makes 3-pt shot from 22 ft (assist by C. Paul),3,61-61,,
7:05.0,,,61-61,,Turnover by J. Johnson (lost ball; steal by L. Mbah a Moute)
6:54.0,C. Paul makes 2-pt shot from 7 ft,2,63-61,,
6:54.0,,,63-61,,Utah full timeout
6:54.0,,,63-61,,D. Exum enters the game for J. Ingles
6:41.0,,,63-61,,Turnover by R. Gobert (lost ball)
6:23.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by R. Gobert),,63-61,,
6:22.0,,,63-61,,Defensive rebound by R. Gobert
6:06.0,,,63-61,,G. Hill misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by L. Mbah a Moute,,63-61,,
5:53.0,L. Mbah a Moute makes 2-pt shot from 22 ft (assist by C. Paul),2,65-61,,
5:36.0,,,65-64,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Exum)
5:21.0,Shooting foul by R. Gobert (drawn by L. Mbah a Moute),,65-64,,
5:21.0,L. Mbah a Moute makes free throw 1 of 2,1,66-64,,
5:21.0,L. Mbah a Moute makes free throw 2 of 2,1,67-64,,
5:21.0,,,66-64,,D. Favors enters the game for R. Gobert
4:59.0,,,67-64,,D. Favors misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by D. Jordan,,67-64,,
4:40.0,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul),3,70-64,,
4:17.0,,,70-66,2,G. Hill makes 2-pt shot from 4 ft
3:58.0,C. Paul misses 2-pt shot from 2 ft,,70-66,,
3:57.0,Offensive rebound by D. Jordan,,70-66,,
3:56.0,D. Jordan misses 2-pt shot from 2 ft,,70-66,,
3:55.0,,,70-66,,Defensive rebound by J. Johnson
3:51.0,Personal foul by J. Crawford (drawn by G. Hill),,70-66,,
3:40.0,,,70-66,,R. Hood misses 2-pt shot from 6 ft
3:39.0,,,70-66,,Offensive rebound by R. Hood
3:39.0,,,70-66,,Shooting foul by D. Jordan (drawn by R. Hood)
3:39.0,,,70-66,,R. Hood misses free throw 1 of 2
3:39.0,,,70-66,,Offensive rebound by Team
3:39.0,,,70-67,1,R. Hood makes free throw 2 of 2
3:26.0,J. Crawford misses 3-pt shot from 25 ft,,70-67,,
3:25.0,,,70-67,,Defensive rebound by D. Favors
3:14.0,,,70-67,,G. Hill misses 2-pt shot from 7 ft
3:14.0,Defensive rebound by C. Paul,,70-67,,
3:07.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,70-67,,
3:07.0,,,70-67,,Defensive rebound by D. Favors
2:51.0,,,70-69,2,J. Johnson makes 2-pt shot from 5 ft
2:51.0,LA Clippers full timeout,,70-69,,
2:51.0,R. Felton enters the game for J. Redick,,70-69,,
2:51.0,,,70-69,,J. Ingles enters the game for R. Hood
2:51.0,,,70-69,,R. Neto enters the game for G. Hill
2:36.0,R. Felton makes 3-pt shot from 23 ft (assist by C. Paul),3,73-69,,
2:10.0,,,73-72,3,D. Exum makes 3-pt shot from 24 ft
1:45.0,C. Paul makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,76-72,,
1:29.0,,,76-72,,D. Favors misses 2-pt shot from 16 ft
1:28.0,Defensive rebound by C. Paul,,76-72,,
1:15.0,C. Paul misses 3-pt shot from 25 ft,,76-72,,
1:15.0,,,76-72,,Defensive rebound by J. Ingles
1:06.0,,,76-72,,Shooting foul by J. Crawford (drawn by D. Favors)
1:06.0,,,76-73,1,D. Favors makes free throw 1 of 2
1:06.0,,,76-73,,D. Favors misses free throw 2 of 2
1:06.0,J. Redick enters the game for C. Paul,,76-73,,
1:06.0,,,76-73,,S. Mack enters the game for D. Exum
1:05.0,Defensive rebound by D. Jordan,,76-73,,
0:54.0,J. Crawford makes 2-pt shot from 15 ft,2,78-73,,
0:45.0,,,78-75,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
0:36.0,J. Crawford makes 2-pt shot from 13 ft,2,80-75,,
0:21.0,,,80-77,2,J. Johnson makes 2-pt shot from 5 ft (assist by J. Ingles)
0:02.0,J. Crawford misses 3-pt shot from 26 ft,,80-77,,
0:01.0,,,80-77,,Defensive rebound by Team
0:01.0,,,80-77,,R. Gobert enters the game for D. Favors
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,80-77,,R. Hood misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by Team,,80-77,,
11:14.0,R. Felton misses 2-pt shot from 23 ft,,80-77,,
11:13.0,,,80-77,,Defensive rebound by R. Gobert
10:56.0,,,80-77,,J. Johnson misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by M. Speights,,80-77,,
10:35.0,Shooting foul by J. Johnson (drawn by L. Mbah a Moute),,80-77,,
10:35.0,L. Mbah a Moute makes free throw 1 of 2,1,81-77,,
10:35.0,L. Mbah a Moute misses free throw 2 of 2,,81-77,,
10:35.0,,,81-77,,J. Ingles enters the game for J. Johnson
10:35.0,,,81-77,,G. Hill enters the game for R. Neto
10:34.0,,,81-77,,Defensive rebound by R. Gobert
10:26.0,,,81-77,,Turnover by G. Hill (bad pass; steal by R. Felton)
10:20.0,J. Redick misses 3-pt shot from 25 ft,,81-77,,
10:19.0,,,81-77,,Defensive rebound by R. Gobert
10:06.0,,,81-79,2,G. Hill makes 2-pt shot from 11 ft (assist by R. Gobert)
9:46.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,81-79,,
9:45.0,,,81-79,,Defensive rebound by R. Hood
9:33.0,,,81-79,,R. Hood misses 2-pt shot from 15 ft
9:32.0,Defensive rebound by M. Speights,,81-79,,
9:19.0,,,81-79,,Personal foul by R. Hood
9:19.0,C. Paul enters the game for L. Mbah a Moute,,81-79,,
9:10.0,J. Crawford makes 3-pt shot from 24 ft,3,84-79,,
8:50.0,Personal foul by J. Crawford (drawn by D. Exum),,84-79,,
8:50.0,,,84-79,,Utah full timeout
8:50.0,,,84-79,,S. Mack enters the game for D. Exum
8:50.0,W. Johnson enters the game for J. Crawford,,84-79,,
8:35.0,,,84-79,,Turnover by Team (shot clock)
8:24.0,Offensive foul by J. Redick,,84-79,,
8:24.0,Turnover by J. Redick (offensive foul),,84-79,,
8:03.0,,,84-79,,Shooting foul by M. Speights (drawn by R. Gobert)
8:03.0,,,84-79,,R. Gobert misses free throw 1 of 2
8:03.0,,,84-79,,Offensive rebound by Team
8:03.0,,,84-80,1,R. Gobert makes free throw 2 of 2
7:53.0,C. Paul makes 2-pt shot from 3 ft,2,86-80,,
7:40.0,,,86-80,,Turnover by G. Hill (bad pass; steal by R. Felton)
7:37.0,Shooting foul by J. Ingles (drawn by W. Johnson),,86-80,,
7:37.0,W. Johnson misses free throw 1 of 2,,86-80,,
7:37.0,Offensive rebound by Team,,86-80,,
7:37.0,W. Johnson makes free throw 2 of 2,1,87-80,,
7:37.0,,,86-80,,J. Johnson enters the game for R. Hood
7:22.0,,,87-80,,Turnover by R. Gobert (lost ball)
7:09.0,M. Speights misses 3-pt shot from 24 ft,,87-80,,
7:08.0,,,87-80,,Defensive rebound by R. Gobert
6:56.0,,,87-82,2,J. Johnson makes 2-pt shot from 8 ft (assist by J. Ingles)
