time,Milwaukee,pts.away,score,pts.home,Brooklyn
8:08.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,13-11,,
7:50.0,,,13-14,3,B. Lopez makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
7:40.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,13-14,,
7:39.0,,,13-14,,Defensive rebound by R. Hollis-Jefferson
7:29.0,,,13-14,,B. Bogdanovic misses 2-pt shot from 3 ft
7:28.0,,,13-14,,Offensive rebound by B. Bogdanovic
7:27.0,,,13-16,2,B. Bogdanovic makes 2-pt shot from 2 ft
7:12.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,16-16,,
6:54.0,,,16-16,,B. Lopez misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by T. Maker,,16-16,,
6:45.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,18-16,,
6:45.0,,,18-16,,Brooklyn full timeout
6:45.0,G. Monroe enters the game for T. Maker,,18-16,,
6:45.0,,,18-16,,S. Kilpatrick enters the game for R. Foye
6:45.0,K. Middleton enters the game for G. Antetokounmpo,,18-16,,
6:23.0,,,18-18,2,S. Dinwiddie makes 2-pt shot from 9 ft (assist by S. Kilpatrick)
6:04.0,M. Beasley misses 2-pt shot from 6 ft,,18-18,,
6:03.0,,,18-18,,Defensive rebound by B. Bogdanovic
5:49.0,,,18-18,,Turnover by B. Bogdanovic (lost ball; steal by K. Middleton)
5:45.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,20-18,,
5:31.0,,,20-18,,R. Hollis-Jefferson misses 3-pt shot from 24 ft
5:30.0,Defensive rebound by G. Monroe,,20-18,,
5:20.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,22-18,,
5:08.0,,,22-20,2,B. Lopez makes 2-pt shot from 14 ft (assist by S. Dinwiddie)
4:50.0,M. Beasley makes 2-pt shot from 19 ft,2,24-20,,
4:38.0,,,24-20,,S. Kilpatrick misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by K. Middleton,,24-20,,
4:25.0,M. Beasley misses 2-pt shot from 5 ft,,24-20,,
4:24.0,,,24-20,,Defensive rebound by S. Dinwiddie
4:11.0,,,24-20,,Shooting foul by G. Monroe (drawn by B. Lopez)
4:11.0,,,24-20,,B. Lopez misses free throw 1 of 2
4:11.0,,,24-20,,Offensive rebound by Team
4:11.0,,,24-21,1,B. Lopez makes free throw 2 of 2
4:11.0,,,24-20,,T. Booker enters the game for R. Hollis-Jefferson
4:11.0,,,24-20,,I. Whitehead enters the game for S. Dinwiddie
4:11.0,M. Brogdon enters the game for M. Dellavedova,,24-20,,
4:00.0,Turnover by G. Monroe (bad pass),,24-21,,
4:00.0,,,24-21,,J. Hamilton enters the game for B. Lopez
3:44.0,,,24-24,3,J. Hamilton makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
3:30.0,G. Monroe makes 2-pt shot from 6 ft,2,26-24,,
3:13.0,,,26-27,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Hamilton)
2:55.0,Turnover by G. Monroe (lost ball; steal by J. Hamilton),,26-27,,
2:46.0,,,26-27,,B. Bogdanovic misses 3-pt shot from 26 ft
2:45.0,Defensive rebound by T. Snell,,26-27,,
2:38.0,,,26-27,,Personal foul by B. Bogdanovic (drawn by G. Monroe)
2:38.0,Milwaukee full timeout,,26-27,,
2:38.0,,,26-27,,C. LeVert enters the game for B. Bogdanovic
2:38.0,G. Antetokounmpo enters the game for M. Beasley,,26-27,,
2:38.0,R. Vaughn enters the game for T. Snell,,26-27,,
2:31.0,K. Middleton makes 2-pt shot from 19 ft (assist by G. Monroe),2,28-27,,
2:21.0,,,28-27,,I. Whitehead misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by G. Antetokounmpo,,28-27,,
2:10.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,30-27,,
1:59.0,,,30-29,2,T. Booker makes 2-pt shot at rim (assist by I. Whitehead)
1:38.0,Shooting foul by S. Kilpatrick (drawn by M. Brogdon),,30-29,,
1:38.0,M. Brogdon makes free throw 1 of 2,1,31-29,,
1:38.0,M. Brogdon makes free throw 2 of 2,1,32-29,,
1:22.0,,,32-31,2,I. Whitehead makes 2-pt shot from 2 ft (assist by C. LeVert)
1:08.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,34-31,,
0:54.0,,,34-31,,S. Kilpatrick misses 2-pt shot from 2 ft
0:53.0,Defensive rebound by G. Antetokounmpo,,34-31,,
0:45.0,,,34-31,,Personal foul by C. LeVert (drawn by G. Antetokounmpo)
0:45.0,G. Antetokounmpo misses free throw 1 of 2,,34-31,,
0:45.0,Offensive rebound by Team,,34-31,,
0:45.0,G. Antetokounmpo makes free throw 2 of 2,1,35-31,,
0:38.0,,,35-31,,Shooting foul by K. Middleton (drawn by C. LeVert)
0:38.0,,,35-32,1,C. LeVert makes free throw 1 of 2
0:38.0,,,35-33,1,C. LeVert makes free throw 2 of 2
0:31.0,G. Monroe makes 2-pt shot from 3 ft (assist by M. Brogdon),2,37-33,,
0:15.0,,,37-33,,C. LeVert misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by R. Vaughn,,37-33,,
0:02.0,K. Middleton makes 2-pt shot from 18 ft,2,39-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Shooting foul by C. LeVert (drawn by M. Brogdon),,39-33,,
11:51.0,M. Brogdon makes free throw 1 of 2,1,40-33,,
11:51.0,M. Brogdon makes free throw 2 of 2,1,41-33,,
11:41.0,,,41-33,,J. Hamilton misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by M. Brogdon,,41-33,,
11:33.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,43-33,,
11:21.0,,,43-33,,Shooting foul by M. Teletovic (drawn by T. Booker)
11:21.0,,,43-34,1,T. Booker makes free throw 1 of 2
11:21.0,,,43-35,1,T. Booker makes free throw 2 of 2
11:12.0,Turnover by M. Brogdon (bad pass; steal by C. LeVert),,43-35,,
11:07.0,,,43-37,2,I. Whitehead makes 2-pt shot from 1 ft (assist by C. LeVert)
10:55.0,M. Brogdon misses 2-pt shot from 1 ft,,43-37,,
10:53.0,,,43-37,,Defensive rebound by C. LeVert
10:47.0,,,43-37,,Turnover by C. LeVert (lost ball; steal by G. Monroe)
10:34.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,43-37,,
10:33.0,,,43-37,,Defensive rebound by T. Booker
10:23.0,,,43-37,,J. Harris misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by G. Monroe,,43-37,,
10:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Brogdon),2,45-37,,
9:42.0,,,45-37,,Turnover by J. Hamilton (bad pass; steal by M. Brogdon)
9:41.0,,,45-37,,Clear path foul by C. LeVert
9:41.0,M. Brogdon makes clear path free throw 1 of 2,1,46-37,,
9:41.0,M. Brogdon misses clear path free throw 2 of 2,,46-37,,
9:41.0,Offensive rebound by Team,,46-37,,
9:41.0,,,46-37,,R. Foye enters the game for C. LeVert
9:28.0,R. Vaughn misses 3-pt shot from 26 ft,,46-37,,
9:27.0,,,46-37,,Defensive rebound by T. Booker
9:19.0,,,46-37,,J. Hamilton misses 2-pt shot from 3 ft
9:18.0,Defensive rebound by R. Vaughn,,46-37,,
9:14.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,48-37,,
9:14.0,Shooting foul by I. Whitehead (drawn by G. Antetokounmpo),,48-37,,
9:14.0,G. Antetokounmpo makes free throw 1 of 1,1,49-37,,
8:54.0,Official timeout,,49-37,,
8:54.0,T. Maker enters the game for G. Monroe,,49-37,,
8:54.0,M. Dellavedova enters the game for M. Brogdon,,49-37,,
8:48.0,,,49-37,,T. Booker misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by G. Antetokounmpo,,49-37,,
8:33.0,R. Vaughn misses 3-pt shot from 24 ft,,49-37,,
8:32.0,,,49-37,,Defensive rebound by T. Booker
8:15.0,,,49-39,2,T. Booker makes 2-pt shot from 9 ft
7:59.0,M. Teletovic misses 2-pt shot from 3 ft,,49-39,,
7:58.0,Offensive rebound by M. Teletovic,,49-39,,
7:54.0,M. Teletovic misses 3-pt shot from 25 ft,,49-39,,
7:52.0,,,49-39,,Defensive rebound by R. Foye
7:41.0,,,49-41,2,T. Booker makes 2-pt shot from 5 ft (assist by J. Harris)
7:21.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,51-41,,
7:10.0,,,51-41,,Turnover by T. Booker (bad pass; steal by M. Dellavedova)
7:02.0,M. Teletovic misses 2-pt shot from 17 ft,,51-41,,
7:01.0,,,51-41,,Defensive rebound by J. Hamilton
6:44.0,,,51-41,,J. Harris misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by R. Vaughn,,51-41,,
6:35.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,51-41,,
6:34.0,,,51-41,,Defensive rebound by J. Hamilton
6:19.0,,,51-43,2,T. Booker makes 2-pt shot from 16 ft
6:03.0,Shooting foul by I. Whitehead (drawn by T. Maker),,51-43,,
6:03.0,T. Maker misses free throw 1 of 2,,51-43,,
6:03.0,Offensive rebound by Team,,51-43,,
6:03.0,T. Maker makes free throw 2 of 2,1,52-43,,
6:03.0,K. Middleton enters the game for M. Teletovic,,51-43,,
6:03.0,T. Snell enters the game for R. Vaughn,,51-43,,
6:03.0,,,51-43,,B. Lopez enters the game for J. Hamilton
6:03.0,,,51-43,,B. Bogdanovic enters the game for I. Whitehead
5:53.0,,,52-45,2,B. Lopez makes 2-pt shot from 7 ft
5:53.0,,,52-45,,Shooting foul by K. Middleton (drawn by B. Lopez)
5:53.0,,,52-45,,Brooklyn full timeout
5:53.0,,,52-46,1,B. Lopez makes free throw 1 of 1
5:53.0,,,52-45,,R. Hollis-Jefferson enters the game for T. Booker
5:38.0,T. Maker misses 2-pt shot from 14 ft,,52-46,,
5:37.0,,,52-46,,Defensive rebound by B. Bogdanovic
5:32.0,Personal foul by T. Maker (drawn by B. Lopez),,52-46,,
5:32.0,G. Monroe enters the game for T. Maker,,52-46,,
5:25.0,,,52-48,2,B. Lopez makes 2-pt shot from 9 ft
5:08.0,M. Dellavedova misses 2-pt shot from 9 ft,,52-48,,
5:07.0,,,52-48,,Defensive rebound by J. Harris
4:50.0,,,52-48,,B. Lopez misses 2-pt shot from 12 ft
4:48.0,,,52-48,,Offensive rebound by R. Hollis-Jefferson
4:44.0,,,52-48,,Turnover by R. Hollis-Jefferson (bad pass; steal by K. Middleton)
4:39.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,54-48,,
4:28.0,,,54-48,,R. Foye misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by K. Middleton,,54-48,,
4:20.0,K. Middleton misses 2-pt shot from 2 ft (block by B. Lopez),,54-48,,
4:18.0,,,54-48,,Defensive rebound by R. Hollis-Jefferson
4:13.0,,,54-51,3,J. Harris makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
3:45.0,M. Dellavedova makes 3-pt shot from 24 ft,3,57-51,,
3:27.0,Personal foul by M. Dellavedova (drawn by R. Foye),,57-51,,
3:27.0,,,57-51,,S. Kilpatrick enters the game for J. Harris
3:22.0,,,57-51,,B. Bogdanovic misses 2-pt shot from 3 ft
3:21.0,,,57-51,,Offensive rebound by R. Hollis-Jefferson
3:20.0,,,57-53,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
3:20.0,,,57-53,,Shooting foul by K. Middleton (drawn by R. Hollis-Jefferson)
3:20.0,,,57-53,,R. Hollis-Jefferson misses free throw 1 of 1
3:20.0,M. Beasley enters the game for K. Middleton,,57-53,,
3:19.0,Defensive rebound by G. Monroe,,57-53,,
3:09.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,57-53,,
3:07.0,,,57-53,,Defensive rebound by R. Hollis-Jefferson
2:49.0,,,57-53,,B. Bogdanovic misses 3-pt shot from 25 ft
2:48.0,,,57-53,,Offensive rebound by R. Hollis-Jefferson
2:44.0,,,57-56,3,B. Lopez makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
2:32.0,,,57-56,,Personal foul by R. Hollis-Jefferson (drawn by M. Dellavedova)
2:32.0,Milwaukee full timeout,,57-56,,
2:32.0,M. Dellavedova makes free throw 1 of 2,1,58-56,,
2:32.0,M. Dellavedova makes free throw 2 of 2,1,59-56,,
2:32.0,,,57-56,,S. Dinwiddie enters the game for R. Foye
2:23.0,,,59-56,,B. Lopez misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by G. Antetokounmpo,,59-56,,
2:04.0,Turnover by G. Monroe (lost ball; steal by B. Lopez),,59-56,,
1:57.0,,,59-58,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by S. Dinwiddie)
1:40.0,Shooting foul by S. Dinwiddie (drawn by G. Monroe),,59-58,,
1:40.0,G. Monroe misses free throw 1 of 2,,59-58,,
1:40.0,Offensive rebound by Team,,59-58,,
1:40.0,G. Monroe makes free throw 2 of 2,1,60-58,,
1:17.0,,,60-58,,S. Dinwiddie misses 2-pt shot from 12 ft
1:16.0,,,60-58,,Offensive rebound by B. Lopez
1:15.0,,,60-58,,B. Lopez misses 2-pt shot from 2 ft
1:14.0,,,60-58,,Offensive rebound by B. Lopez
1:13.0,,,60-58,,Shooting foul by G. Monroe (drawn by B. Lopez)
1:13.0,,,60-59,1,B. Lopez makes free throw 1 of 2
1:13.0,,,60-60,1,B. Lopez makes free throw 2 of 2
0:51.0,G. Monroe misses 2-pt shot from 9 ft (block by B. Lopez),,60-60,,
0:49.0,,,60-60,,Defensive rebound by S. Kilpatrick
0:30.0,,,60-60,,S. Kilpatrick misses 2-pt shot from 16 ft
0:28.0,Defensive rebound by M. Beasley,,60-60,,
0:08.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,60-60,,
0:07.0,Offensive rebound by G. Monroe,,60-60,,
0:07.0,G. Monroe makes 2-pt shot from 2 ft,2,62-60,,
0:01.0,,,62-60,,S. Dinwiddie misses 2-pt shot from 20 ft
0:00.0,,,62-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by B. Lopez),,62-60,,
11:44.0,,,62-60,,Defensive rebound by R. Hollis-Jefferson
11:40.0,,,62-60,,Turnover by R. Hollis-Jefferson (lost ball; steal by G. Antetokounmpo)
11:26.0,M. Beasley makes 2-pt shot from 17 ft,2,64-60,,
11:06.0,,,64-60,,Turnover by B. Bogdanovic (lost ball; steal by T. Snell)
11:03.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell),2,66-60,,
11:03.0,Shooting foul by S. Dinwiddie (drawn by G. Antetokounmpo),,66-60,,
11:03.0,,,66-60,,Brooklyn full timeout
11:03.0,G. Antetokounmpo makes free throw 1 of 1,1,67-60,,
10:51.0,,,67-62,2,S. Dinwiddie makes 2-pt shot from 2 ft
10:31.0,M. Dellavedova makes 2-pt shot from 13 ft,2,69-62,,
10:03.0,,,69-62,,S. Dinwiddie misses 3-pt shot from 27 ft
10:02.0,Defensive rebound by G. Antetokounmpo,,69-62,,
9:53.0,M. Beasley makes 2-pt shot from 5 ft (assist by T. Snell),2,71-62,,
9:53.0,Shooting foul by S. Dinwiddie (drawn by M. Beasley),,71-62,,
9:53.0,M. Beasley misses free throw 1 of 1,,71-62,,
9:52.0,,,71-62,,Defensive rebound by R. Hollis-Jefferson
9:38.0,,,71-64,2,B. Lopez makes 2-pt shot from 11 ft (assist by R. Hollis-Jefferson)
9:19.0,M. Beasley makes 2-pt shot from 9 ft,2,73-64,,
9:07.0,,,73-64,,Turnover by R. Foye (bad pass; steal by G. Antetokounmpo)
9:04.0,Shooting foul by R. Foye (drawn by G. Antetokounmpo),,73-64,,
9:04.0,G. Antetokounmpo makes free throw 1 of 2,1,74-64,,
9:04.0,G. Antetokounmpo makes free throw 2 of 2,1,75-64,,
8:52.0,Personal foul by M. Dellavedova (drawn by R. Foye),,75-64,,
8:46.0,,,75-64,,Turnover by B. Bogdanovic (bad pass; steal by G. Antetokounmpo)
8:39.0,M. Beasley makes 2-pt shot from 14 ft (assist by G. Antetokounmpo),2,77-64,,
8:24.0,,,77-64,,Shooting foul by M. Beasley (drawn by R. Hollis-Jefferson)
8:24.0,,,77-64,,R. Hollis-Jefferson misses free throw 1 of 2
8:24.0,,,77-64,,Offensive rebound by Team
8:24.0,,,77-65,1,R. Hollis-Jefferson makes free throw 2 of 2
8:24.0,,,77-64,,S. Kilpatrick enters the game for R. Foye
8:07.0,G. Antetokounmpo misses 2-pt shot from 9 ft (block by B. Lopez),,77-65,,
8:06.0,Offensive rebound by Team,,77-65,,
8:06.0,,,77-65,,Loose ball foul by B. Lopez (drawn by G. Antetokounmpo)
7:58.0,Turnover by M. Dellavedova (traveling),,77-65,,
7:42.0,,,77-65,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
7:41.0,Defensive rebound by T. Maker,,77-65,,
7:37.0,Turnover by T. Snell (traveling),,77-65,,
7:24.0,,,77-67,2,B. Lopez makes 2-pt shot from 5 ft
7:24.0,,,77-67,,Shooting foul by T. Maker (drawn by B. Lopez)
7:24.0,,,77-67,,B. Lopez misses free throw 1 of 1
7:24.0,,,77-67,,I. Whitehead enters the game for S. Dinwiddie
7:23.0,Defensive rebound by T. Maker,,77-67,,
7:08.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,77-67,,
7:07.0,,,77-67,,Defensive rebound by B. Bogdanovic
6:48.0,,,77-70,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by I. Whitehead)
6:48.0,Milwaukee full timeout,,77-70,,
6:48.0,K. Middleton enters the game for G. Antetokounmpo,,77-70,,
6:48.0,G. Monroe enters the game for T. Maker,,77-70,,
6:33.0,K. Middleton misses 2-pt shot from 19 ft,,77-70,,
6:32.0,,,77-70,,Defensive rebound by B. Bogdanovic
6:13.0,,,77-70,,B. Lopez misses 2-pt shot from 15 ft
6:12.0,Defensive rebound by G. Monroe,,77-70,,
5:59.0,M. Dellavedova misses 2-pt shot from 9 ft,,77-70,,
5:58.0,,,77-70,,Defensive rebound by R. Hollis-Jefferson
5:53.0,,,77-72,2,I. Whitehead makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
5:53.0,,,77-72,,Shooting foul by G. Monroe (drawn by I. Whitehead)
5:53.0,,,77-73,1,I. Whitehead makes free throw 1 of 1
5:53.0,,,77-72,,T. Booker enters the game for R. Hollis-Jefferson
5:42.0,Turnover by K. Middleton (bad pass; steal by T. Booker),,77-73,,
5:21.0,,,77-75,2,B. Bogdanovic makes 2-pt shot from 6 ft (assist by T. Booker)
5:07.0,K. Middleton makes 2-pt shot from 10 ft (assist by G. Monroe),2,79-75,,
5:07.0,Shooting foul by B. Bogdanovic (drawn by K. Middleton),,79-75,,
5:07.0,K. Middleton makes free throw 1 of 1,1,80-75,,
4:49.0,,,80-75,,Turnover by T. Booker (lost ball; steal by K. Middleton)
4:39.0,K. Middleton makes 2-pt shot from 10 ft,2,82-75,,
4:26.0,,,82-75,,Turnover by I. Whitehead (bad pass; steal by T. Snell)
4:22.0,T. Snell makes 2-pt shot from 2 ft,2,84-75,,
3:57.0,,,84-77,2,S. Kilpatrick makes 2-pt shot from 22 ft
3:37.0,K. Middleton makes 3-pt shot from 25 ft (assist by T. Snell),3,87-77,,
3:24.0,,,87-80,3,B. Lopez makes 3-pt shot from 26 ft (assist by S. Kilpatrick)
3:05.0,G. Monroe misses 2-pt shot from 15 ft,,87-80,,
3:04.0,,,87-80,,Defensive rebound by T. Booker
2:57.0,,,87-80,,Turnover by S. Kilpatrick (bad pass; steal by M. Dellavedova)
2:48.0,,,87-80,,Personal foul by S. Kilpatrick (drawn by M. Dellavedova)
2:48.0,M. Dellavedova misses free throw 1 of 2,,87-80,,
2:48.0,Offensive rebound by Team,,87-80,,
2:48.0,M. Dellavedova misses free throw 2 of 2,,87-80,,
2:48.0,,,87-80,,J. Hamilton enters the game for B. Lopez
2:48.0,,,87-80,,C. LeVert enters the game for B. Bogdanovic
2:48.0,G. Antetokounmpo enters the game for M. Beasley,,87-80,,
2:47.0,,,87-80,,Defensive rebound by J. Hamilton
2:33.0,,,87-82,2,S. Kilpatrick makes 2-pt shot from 7 ft (assist by T. Booker)
2:14.0,K. Middleton misses 2-pt shot from 12 ft,,87-82,,
2:13.0,Offensive rebound by G. Antetokounmpo,,87-82,,
2:08.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,90-82,,
1:55.0,,,90-82,,Turnover by I. Whitehead (lost ball)
1:55.0,M. Brogdon enters the game for M. Dellavedova,,90-82,,
1:44.0,K. Middleton misses 2-pt shot from 20 ft,,90-82,,
1:43.0,,,90-82,,Defensive rebound by I. Whitehead
1:29.0,,,90-82,,S. Kilpatrick misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by T. Snell,,90-82,,
1:09.0,G. Monroe makes 2-pt shot from 2 ft,2,92-82,,
0:52.0,,,92-82,,Turnover by I. Whitehead (lost ball; steal by G. Monroe)
0:49.0,,,92-82,,Personal foul by T. Booker (drawn by G. Antetokounmpo)
0:49.0,G. Antetokounmpo misses free throw 1 of 2,,92-82,,
0:49.0,Offensive rebound by Team,,92-82,,
0:49.0,G. Antetokounmpo makes free throw 2 of 2,1,93-82,,
0:28.0,,,93-82,,I. Whitehead misses 2-pt shot from 6 ft
0:27.0,,,93-82,,Offensive rebound by I. Whitehead
0:21.0,,,93-82,,S. Kilpatrick misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by M. Brogdon,,93-82,,
0:03.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,95-82,,
0:01.0,,,95-82,,S. Kilpatrick misses 3-pt shot from 46 ft
0:00.0,,,95-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,95-85,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
11:25.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,97-85,,
11:12.0,Personal foul by K. Middleton (drawn by C. LeVert),,97-85,,
11:10.0,,,97-87,2,S. Dinwiddie makes 2-pt shot from 3 ft (assist by B. Lopez)
11:10.0,,,97-87,,Shooting foul by M. Brogdon (drawn by S. Dinwiddie)
11:10.0,,,97-88,1,S. Dinwiddie makes free throw 1 of 1
10:52.0,Turnover by R. Vaughn (lost ball; steal by S. Dinwiddie),,97-88,,
10:47.0,,,97-90,2,T. Booker makes 2-pt shot from 3 ft (assist by C. LeVert)
10:33.0,K. Middleton misses 2-pt shot from 2 ft,,97-90,,
10:31.0,,,97-90,,Defensive rebound by B. Lopez
10:26.0,,,97-90,,Turnover by C. LeVert (bad pass; steal by G. Antetokounmpo)
10:25.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,99-90,,
10:14.0,,,99-90,,Shooting foul by G. Antetokounmpo (drawn by T. Booker)
10:14.0,,,99-91,1,T. Booker makes free throw 1 of 2
10:14.0,,,99-92,1,T. Booker makes free throw 2 of 2
10:01.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,101-92,,
9:42.0,,,101-94,2,T. Booker makes 2-pt shot from 6 ft
9:25.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Monroe),3,104-94,,
9:13.0,,,104-94,,C. LeVert misses 2-pt shot from 7 ft
9:12.0,Defensive rebound by G. Monroe,,104-94,,
9:05.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by B. Lopez),,104-94,,
9:05.0,,,104-94,,Defensive rebound by S. Dinwiddie
8:58.0,,,104-94,,S. Dinwiddie misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by G. Monroe,,104-94,,
8:37.0,G. Monroe misses 2-pt shot from 10 ft (block by B. Lopez),,104-94,,
8:35.0,,,104-94,,Defensive rebound by C. LeVert
8:17.0,,,104-94,,Turnover by T. Booker (lost ball; steal by R. Vaughn)
8:12.0,G. Monroe makes 2-pt shot from 2 ft (assist by R. Vaughn),2,106-94,,
8:12.0,,,106-94,,Brooklyn full timeout
7:58.0,,,106-96,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Booker)
7:44.0,R. Vaughn makes 2-pt shot from 2 ft (assist by M. Brogdon),2,108-96,,
7:28.0,,,108-96,,J. Harris misses 2-pt shot from 1 ft
7:27.0,Defensive rebound by K. Middleton,,108-96,,
7:23.0,Turnover by M. Brogdon (bad pass; steal by S. Dinwiddie),,108-96,,
7:19.0,,,108-98,2,T. Booker makes 2-pt shot at rim (assist by J. Harris)
7:00.0,R. Vaughn makes 3-pt shot from 25 ft,3,111-98,,
