time,Charlotte,pts.away,score,pts.home,Atlanta
6:47.0,,,12-14,2,T. Waller-Prince makes 2-pt shot from 3 ft (assist by D. Schroder)
6:29.0,N. Batum misses 3-pt shot from 24 ft,,12-14,,
6:28.0,,,12-14,,Defensive rebound by D. Schroder
6:21.0,,,12-16,2,P. Millsap makes 2-pt shot at rim (assist by D. Howard)
6:02.0,B. Roberts makes 2-pt shot from 22 ft,2,14-16,,
6:01.0,,,14-16,,Atlanta full timeout
6:01.0,,,14-16,,K. Bazemore enters the game for T. Waller-Prince
6:01.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,14-16,,
5:47.0,,,14-16,,Turnover by D. Schroder (bad pass; steal by N. Batum)
5:40.0,Shooting foul by K. Bazemore (drawn by M. Williams),,14-16,,
5:40.0,M. Williams makes free throw 1 of 2,1,15-16,,
5:40.0,M. Williams makes free throw 2 of 2,1,16-16,,
5:24.0,,,16-16,,P. Millsap misses 2-pt shot from 3 ft
5:22.0,Defensive rebound by N. Batum,,16-16,,
5:15.0,M. Williams misses 2-pt shot from 6 ft,,16-16,,
5:13.0,,,16-16,,Defensive rebound by P. Millsap
5:02.0,,,16-19,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
4:41.0,N. Batum misses 2-pt shot from 15 ft,,16-19,,
4:39.0,,,16-19,,Defensive rebound by K. Bazemore
4:30.0,,,16-19,,Turnover by P. Millsap (bad pass)
4:30.0,,,16-19,,M. Dunleavy enters the game for P. Millsap
4:30.0,,,16-19,,E. Ilyasova enters the game for T. Hardaway
4:14.0,Shooting foul by D. Schroder (drawn by C. Zeller),,16-19,,
4:14.0,C. Zeller makes free throw 1 of 2,1,17-19,,
4:14.0,C. Zeller makes free throw 2 of 2,1,18-19,,
4:14.0,,,17-19,,M. Muscala enters the game for D. Howard
3:59.0,,,18-21,2,D. Schroder makes 2-pt shot from 6 ft (assist by E. Ilyasova)
3:51.0,Offensive foul by M. Williams,,18-21,,
3:51.0,Turnover by M. Williams (offensive foul),,18-21,,
3:51.0,B. Weber enters the game for B. Roberts,,18-21,,
3:51.0,M. Plumlee enters the game for C. Zeller,,18-21,,
3:42.0,,,18-21,,Shooting foul by M. Plumlee (drawn by D. Schroder)
3:42.0,,,18-22,1,D. Schroder makes free throw 1 of 2
3:42.0,,,18-23,1,D. Schroder makes free throw 2 of 2
3:30.0,Turnover by M. Plumlee (traveling),,18-23,,
3:16.0,,,18-25,2,M. Muscala makes 2-pt shot from 19 ft (assist by D. Schroder)
3:02.0,Shooting foul by E. Ilyasova (drawn by B. Weber),,18-25,,
3:02.0,B. Weber makes free throw 1 of 2,1,19-25,,
3:02.0,B. Weber makes free throw 2 of 2,1,20-25,,
3:02.0,T. Graham enters the game for M. Williams,,19-25,,
2:44.0,,,20-27,2,D. Schroder makes 2-pt shot from 2 ft
2:27.0,T. Graham makes 2-pt shot from 9 ft (assist by F. Kaminsky),2,22-27,,
2:14.0,,,22-30,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by D. Schroder)
1:56.0,T. Graham misses 2-pt shot from 3 ft (block by M. Dunleavy),,22-30,,
1:56.0,,,22-30,,Defensive rebound by Team
1:56.0,Charlotte full timeout,,22-30,,
1:56.0,J. Lamb enters the game for N. Batum,,22-30,,
1:56.0,,,22-30,,T. Waller-Prince enters the game for D. Schroder
1:42.0,,,22-30,,Turnover by M. Muscala (bad pass; steal by T. Graham)
1:20.0,F. Kaminsky misses 2-pt shot from 17 ft,,22-30,,
1:19.0,,,22-30,,Defensive rebound by Team
1:19.0,Loose ball foul by M. Plumlee (drawn by E. Ilyasova),,22-30,,
1:19.0,,,22-31,1,E. Ilyasova makes free throw 1 of 2
1:19.0,,,22-32,1,E. Ilyasova makes free throw 2 of 2
1:02.0,M. Plumlee misses 2-pt shot from 5 ft,,22-32,,
1:00.0,,,22-32,,Defensive rebound by E. Ilyasova
0:53.0,,,22-35,3,K. Bazemore makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
0:40.0,J. Lamb makes 2-pt shot from 12 ft (assist by B. Weber),2,24-35,,
0:33.0,,,24-35,,Turnover by K. Bazemore (lost ball; steal by M. Plumlee)
0:29.0,T. Graham makes 2-pt shot from 1 ft,2,26-35,,
0:19.0,,,26-38,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Bazemore)
0:02.0,J. Lamb misses 3-pt shot from 26 ft,,26-38,,
0:00.0,Offensive rebound by Team,,26-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,T. Graham makes 2-pt shot from 10 ft (assist by M. Plumlee),2,28-38,,
11:20.0,Personal block foul by B. Weber (drawn by T. Waller-Prince),,28-38,,
11:20.0,,,28-38,,J. Calderon enters the game for K. Bazemore
11:20.0,,,28-38,,P. Millsap enters the game for E. Ilyasova
11:13.0,,,28-40,2,M. Muscala makes 2-pt shot at rim (assist by M. Dunleavy)
11:02.0,Shooting foul by J. Calderon (drawn by B. Weber),,28-40,,
11:02.0,B. Weber makes free throw 1 of 2,1,29-40,,
11:02.0,B. Weber misses free throw 2 of 2,,29-40,,
11:02.0,,,29-40,,T. Hardaway enters the game for M. Dunleavy
11:01.0,,,29-40,,Defensive rebound by T. Hardaway
10:37.0,,,29-42,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by J. Calderon)
10:22.0,J. Lamb misses 2-pt shot from 13 ft,,29-42,,
10:20.0,,,29-42,,Defensive rebound by T. Hardaway
10:10.0,,,29-42,,P. Millsap misses 3-pt shot from 25 ft
10:09.0,,,29-42,,Offensive rebound by Team
10:09.0,Loose ball foul by F. Kaminsky (drawn by M. Muscala),,29-42,,
10:02.0,,,29-44,2,T. Hardaway makes 2-pt shot from 2 ft (assist by M. Muscala)
9:39.0,F. Kaminsky misses 3-pt shot from 25 ft,,29-44,,
9:35.0,,,29-44,,Defensive rebound by P. Millsap
9:35.0,,,29-44,,Turnover by P. Millsap (bad pass; steal by B. Weber)
9:30.0,B. Weber misses 2-pt shot from 8 ft,,29-44,,
9:27.0,,,29-44,,Defensive rebound by P. Millsap
9:17.0,,,29-47,3,J. Calderon makes 3-pt shot from 25 ft (assist by T. Hardaway)
9:10.0,Charlotte full timeout,,29-47,,
9:10.0,,,29-47,,D. Howard enters the game for M. Muscala
9:04.0,J. Lamb misses 2-pt shot from 19 ft,,29-47,,
9:02.0,,,29-47,,Defensive rebound by P. Millsap
8:40.0,,,29-50,3,T. Hardaway makes 3-pt shot from 25 ft
8:17.0,,,29-50,,Personal foul by P. Millsap (drawn by T. Graham)
8:17.0,,,29-50,,T. Sefolosha enters the game for T. Waller-Prince
8:10.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by B. Weber),2,31-50,,
8:10.0,Shooting foul by P. Millsap (drawn by F. Kaminsky),,31-50,,
8:10.0,F. Kaminsky misses free throw 1 of 1,,31-50,,
8:05.0,Offensive rebound by M. Plumlee,,31-50,,
7:48.0,F. Kaminsky misses 2-pt shot from 1 ft,,31-50,,
7:46.0,,,31-50,,Defensive rebound by D. Howard
7:43.0,,,31-50,,Offensive charge foul by P. Millsap
7:43.0,,,31-50,,Turnover by P. Millsap (offensive foul)
7:23.0,T. Graham misses 2-pt shot from 18 ft,,31-50,,
7:21.0,Offensive rebound by J. Lamb,,31-50,,
7:11.0,F. Kaminsky misses 3-pt shot from 24 ft,,31-50,,
7:08.0,Offensive rebound by J. Lamb,,31-50,,
6:55.0,T. Graham misses 3-pt shot from 24 ft,,31-50,,
6:54.0,,,31-50,,Defensive rebound by D. Howard
6:44.0,,,31-52,2,J. Calderon makes 2-pt shot from 22 ft
6:29.0,F. Kaminsky makes 2-pt shot from 3 ft,2,33-52,,
6:17.0,,,33-52,,T. Hardaway misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by T. Graham,,33-52,,
6:08.0,J. Lamb makes 3-pt shot from 26 ft (assist by T. Graham),3,36-52,,
6:07.0,,,36-52,,Atlanta full timeout
6:07.0,M. Kidd-Gilchrist enters the game for B. Weber,,36-52,,
6:07.0,B. Roberts enters the game for T. Graham,,36-52,,
6:07.0,,,36-52,,D. Schroder enters the game for J. Calderon
5:45.0,,,36-54,2,T. Hardaway makes 2-pt shot from 12 ft (assist by D. Schroder)
5:25.0,M. Plumlee misses 2-pt shot from 5 ft,,36-54,,
5:25.0,Offensive rebound by Team,,36-54,,
5:25.0,,,36-54,,K. Bazemore enters the game for T. Hardaway
5:10.0,J. Lamb makes 2-pt shot from 12 ft (assist by B. Roberts),2,38-54,,
4:49.0,,,38-56,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Sefolosha)
4:47.0,,,38-56,,Technical foul by P. Millsap
4:47.0,J. Lamb makes technical free throw,1,39-56,,
4:47.0,,,39-56,,E. Ilyasova enters the game for P. Millsap
4:33.0,C. Zeller enters the game for M. Plumlee,,39-56,,
4:23.0,J. Lamb misses 2-pt shot from 16 ft,,39-56,,
4:23.0,Offensive rebound by Team,,39-56,,
4:23.0,Turnover by Team (shot clock),,39-56,,
4:11.0,,,39-58,2,D. Howard makes 2-pt shot from 9 ft (assist by K. Bazemore)
3:55.0,Turnover by F. Kaminsky (bad pass),,39-58,,
3:55.0,M. Williams enters the game for F. Kaminsky,,39-58,,
3:40.0,,,39-58,,Turnover by D. Schroder (bad pass; steal by M. Williams)
3:19.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,39-58,,
3:17.0,Offensive rebound by M. Kidd-Gilchrist,,39-58,,
3:16.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,39-58,,
3:13.0,Offensive rebound by M. Williams,,39-58,,
3:13.0,M. Williams misses 2-pt shot from 1 ft,,39-58,,
3:10.0,Offensive rebound by M. Williams,,39-58,,
3:10.0,M. Williams misses 2-pt shot at rim,,39-58,,
3:08.0,,,39-58,,Defensive rebound by E. Ilyasova
3:04.0,,,39-60,2,D. Schroder makes 2-pt shot from 2 ft
2:50.0,B. Roberts misses 2-pt shot from 18 ft,,39-60,,
2:49.0,,,39-60,,Defensive rebound by D. Howard
2:39.0,,,39-60,,E. Ilyasova misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by M. Kidd-Gilchrist,,39-60,,
2:31.0,M. Williams misses 3-pt shot from 25 ft,,39-60,,
2:28.0,Offensive rebound by M. Kidd-Gilchrist,,39-60,,
2:28.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by D. Howard),,39-60,,
2:25.0,Offensive rebound by C. Zeller,,39-60,,
2:17.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,39-60,,
2:15.0,Offensive rebound by C. Zeller,,39-60,,
2:11.0,M. Williams makes 3-pt shot from 25 ft (assist by C. Zeller),3,42-60,,
1:51.0,,,42-60,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Howard)
1:51.0,Official timeout,,42-60,,
1:51.0,,,42-61,1,D. Howard makes free throw 1 of 2
1:51.0,,,42-61,,D. Howard misses free throw 2 of 2
1:51.0,T. Graham enters the game for M. Kidd-Gilchrist,,42-60,,
1:51.0,,,42-60,,T. Hardaway enters the game for T. Sefolosha
1:50.0,Defensive rebound by M. Williams,,42-61,,
1:24.0,J. Lamb misses 3-pt shot from 24 ft,,42-61,,
1:23.0,Offensive rebound by M. Williams,,42-61,,
1:21.0,M. Williams misses 2-pt shot at rim,,42-61,,
1:20.0,,,42-61,,Defensive rebound by D. Howard
1:09.0,,,42-61,,Turnover by D. Schroder (bad pass; steal by J. Lamb)
1:05.0,J. Lamb makes 2-pt shot at rim,2,44-61,,
0:45.0,,,44-61,,D. Howard misses 2-pt shot at rim
0:43.0,Defensive rebound by C. Zeller,,44-61,,
0:35.0,Turnover by B. Roberts (bad pass; steal by D. Schroder),,44-61,,
0:27.0,,,44-63,2,E. Ilyasova makes 2-pt shot from 14 ft (assist by D. Schroder)
0:06.0,Turnover by B. Roberts (bad pass),,44-63,,
0:00.0,,,44-63,,K. Bazemore misses 3-pt shot from 25 ft
0:00.0,,,44-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by B. Roberts (bad pass),,44-63,,
11:25.0,,,44-65,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Schroder)
11:01.0,F. Kaminsky misses 2-pt shot from 20 ft,,44-65,,
10:59.0,,,44-65,,Defensive rebound by D. Howard
10:52.0,,,44-65,,D. Schroder misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by C. Zeller,,44-65,,
10:41.0,B. Roberts misses 3-pt shot from 25 ft,,44-65,,
10:40.0,,,44-65,,Defensive rebound by P. Millsap
10:33.0,,,44-65,,T. Hardaway misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by M. Kidd-Gilchrist,,44-65,,
10:16.0,F. Kaminsky makes 2-pt shot from 12 ft (assist by M. Kidd-Gilchrist),2,46-65,,
9:59.0,,,46-65,,T. Waller-Prince misses 3-pt shot from 22 ft
9:57.0,Defensive rebound by C. Zeller,,46-65,,
9:49.0,J. Lamb misses 3-pt shot from 25 ft,,46-65,,
9:48.0,,,46-65,,Defensive rebound by T. Hardaway
9:31.0,,,46-65,,T. Hardaway misses 2-pt shot from 1 ft
9:27.0,,,46-65,,Offensive rebound by D. Howard
9:27.0,,,46-65,,D. Howard misses 2-pt shot from 1 ft
9:26.0,,,46-65,,Offensive rebound by D. Howard
9:26.0,,,46-67,2,D. Howard makes 2-pt shot from 1 ft
9:12.0,Turnover by J. Lamb (bad pass; steal by T. Waller-Prince),,46-67,,
9:07.0,Personal foul by J. Lamb (drawn by P. Millsap),,46-67,,
8:58.0,,,46-67,,Turnover by P. Millsap (bad pass)
8:47.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by J. Lamb),2,48-67,,
8:35.0,,,48-69,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
8:14.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,48-69,,
8:13.0,,,48-69,,Defensive rebound by P. Millsap
7:49.0,,,48-69,,P. Millsap misses 2-pt shot from 11 ft
7:47.0,,,48-69,,Offensive rebound by D. Howard
7:47.0,,,48-71,2,D. Howard makes 2-pt shot from 2 ft
7:24.0,F. Kaminsky misses 3-pt shot from 26 ft,,48-71,,
7:23.0,,,48-71,,Defensive rebound by T. Waller-Prince
7:13.0,,,48-73,2,P. Millsap makes 2-pt shot from 7 ft
7:13.0,Charlotte full timeout,,48-73,,
6:51.0,F. Kaminsky misses 2-pt shot from 22 ft,,48-73,,
6:49.0,,,48-73,,Defensive rebound by P. Millsap
6:46.0,,,48-73,,Shooting foul by C. Zeller (drawn by T. Hardaway)
6:46.0,,,48-74,1,T. Hardaway makes free throw 1 of 2
6:46.0,,,48-75,1,T. Hardaway makes free throw 2 of 2
6:33.0,C. Zeller misses 2-pt shot from 8 ft,,48-75,,
6:31.0,,,48-75,,Defensive rebound by D. Howard
6:23.0,,,48-77,2,P. Millsap makes 2-pt shot from 14 ft (assist by D. Schroder)
5:58.0,Shooting foul by D. Schroder (drawn by J. Lamb),,48-77,,
5:58.0,J. Lamb makes free throw 1 of 3,1,49-77,,
5:58.0,J. Lamb makes free throw 2 of 3,1,50-77,,
5:58.0,J. Lamb makes free throw 3 of 3,1,51-77,,
5:58.0,,,50-77,,K. Bazemore enters the game for T. Waller-Prince
5:38.0,,,51-77,,T. Hardaway misses 3-pt shot from 25 ft
5:38.0,,,51-77,,Offensive rebound by Team
5:38.0,Loose ball foul by C. Zeller (drawn by D. Howard),,51-77,,
5:31.0,,,51-77,,Turnover by D. Howard (bad pass; steal by B. Roberts)
5:15.0,J. Lamb makes 2-pt shot from 13 ft,2,53-77,,
4:57.0,,,53-77,,P. Millsap misses 2-pt shot from 11 ft
4:54.0,Defensive rebound by F. Kaminsky,,53-77,,
4:45.0,J. Lamb misses 3-pt shot from 25 ft,,53-77,,
4:42.0,,,53-77,,Defensive rebound by K. Bazemore
4:35.0,,,53-77,,Turnover by K. Bazemore (bad pass; steal by M. Kidd-Gilchrist)
4:23.0,J. Lamb makes 2-pt shot from 8 ft (assist by C. Zeller),2,55-77,,
4:23.0,,,55-77,,Atlanta full timeout
4:23.0,,,55-77,,E. Ilyasova enters the game for P. Millsap
4:23.0,,,55-77,,M. Dunleavy enters the game for D. Howard
4:23.0,,,55-77,,M. Muscala enters the game for T. Hardaway
4:09.0,,,55-77,,M. Dunleavy misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by M. Kidd-Gilchrist,,55-77,,
3:53.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,57-77,,
3:30.0,,,57-77,,E. Ilyasova misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by Team,,57-77,,
3:10.0,F. Kaminsky misses 2-pt shot from 16 ft,,57-77,,
3:09.0,,,57-77,,Defensive rebound by D. Schroder
3:00.0,,,57-79,2,K. Bazemore makes 2-pt shot from 16 ft (assist by D. Schroder)
2:42.0,B. Roberts misses 2-pt shot from 21 ft,,57-79,,
2:40.0,,,57-79,,Defensive rebound by M. Dunleavy
2:30.0,,,57-79,,E. Ilyasova misses 2-pt shot from 1 ft
2:30.0,,,57-79,,Offensive rebound by E. Ilyasova
2:28.0,,,57-79,,Shooting foul by M. Kidd-Gilchrist (drawn by E. Ilyasova)
2:28.0,,,57-80,1,E. Ilyasova makes free throw 1 of 2
2:28.0,,,57-80,,E. Ilyasova misses free throw 2 of 2
2:28.0,B. Weber enters the game for M. Kidd-Gilchrist,,57-80,,
2:28.0,T. Graham enters the game for C. Zeller,,57-80,,
2:28.0,M. Plumlee enters the game for B. Roberts,,57-80,,
2:28.0,,,57-80,,T. Waller-Prince enters the game for D. Schroder
2:25.0,,,57-80,,Offensive rebound by E. Ilyasova
2:24.0,,,57-80,,E. Ilyasova misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by J. Lamb,,57-80,,
2:14.0,T. Graham makes 2-pt shot from 18 ft,2,59-80,,
2:02.0,,,59-80,,M. Dunleavy misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by T. Graham,,59-80,,
1:37.0,T. Graham makes 2-pt shot from 7 ft (assist by B. Weber),2,61-80,,
1:22.0,,,61-82,2,M. Muscala makes 2-pt shot from 16 ft (assist by K. Bazemore)
1:05.0,J. Lamb misses 2-pt shot from 4 ft (block by K. Bazemore),,61-82,,
1:05.0,Offensive rebound by Team,,61-82,,
1:05.0,C. Wood enters the game for F. Kaminsky,,61-82,,
1:00.0,J. Lamb misses 2-pt shot from 20 ft,,61-82,,
0:58.0,,,61-82,,Defensive rebound by K. Bazemore
0:53.0,,,61-82,,K. Bazemore misses 2-pt shot from 17 ft
0:49.0,Defensive rebound by J. Lamb,,61-82,,
0:44.0,M. Plumlee misses 2-pt shot from 1 ft,,61-82,,
0:39.0,,,61-82,,Defensive rebound by E. Ilyasova
0:36.0,,,61-84,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by E. Ilyasova)
0:36.0,,,61-84,,Shooting foul by M. Plumlee (drawn by T. Waller-Prince)
0:36.0,,,61-84,,T. Waller-Prince misses free throw 1 of 1
0:35.0,Defensive rebound by M. Plumlee,,61-84,,
0:18.0,,,61-84,,Personal foul by M. Muscala (drawn by B. Weber)
0:06.0,T. Graham misses 2-pt shot from 2 ft (block by M. Dunleavy),,61-84,,
0:03.0,,,61-84,,Defensive rebound by E. Ilyasova
0:01.0,,,61-84,,K. Bazemore misses 3-pt shot from 26 ft
0:00.0,,,61-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Personal foul by B. Weber (drawn by M. Muscala),,61-84,,
11:37.0,,,61-86,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by M. Muscala)
11:08.0,B. Roberts misses 3-pt shot from 29 ft,,61-86,,
11:08.0,Offensive rebound by Team,,61-86,,
11:08.0,Turnover by Team (shot clock),,61-86,,
10:56.0,,,61-86,,E. Ilyasova misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by T. Graham,,61-86,,
10:46.0,Offensive charge foul by C. Wood,,61-86,,
10:46.0,Turnover by C. Wood (offensive foul),,61-86,,
10:33.0,,,61-86,,E. Ilyasova misses 2-pt shot from 4 ft (block by M. Plumlee)
10:32.0,Defensive rebound by Team,,61-86,,
10:32.0,,,61-86,,K. Humphries enters the game for E. Ilyasova
10:09.0,B. Weber misses 2-pt shot from 8 ft,,61-86,,
10:07.0,Offensive rebound by M. Plumlee,,61-86,,
10:07.0,M. Plumlee misses 2-pt shot from 1 ft,,61-86,,
10:07.0,Offensive rebound by M. Plumlee,,61-86,,
9:58.0,B. Weber misses 2-pt shot from 16 ft,,61-86,,
9:55.0,Offensive rebound by C. Wood,,61-86,,
9:54.0,C. Wood makes 2-pt shot from 1 ft,2,63-86,,
9:40.0,,,63-86,,M. Dunleavy misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by C. Wood,,63-86,,
9:31.0,Shooting foul by M. Muscala (drawn by C. Wood),,63-86,,
9:31.0,C. Wood misses free throw 1 of 2,,63-86,,
9:31.0,Offensive rebound by Team,,63-86,,
9:31.0,C. Wood misses free throw 2 of 2,,63-86,,
9:31.0,,,63-86,,T. Sefolosha enters the game for T. Waller-Prince
9:28.0,,,63-86,,Defensive rebound by T. Sefolosha
9:16.0,,,63-86,,T. Sefolosha misses 2-pt shot from 21 ft
9:15.0,Defensive rebound by M. Plumlee,,63-86,,
9:07.0,B. Weber makes 2-pt shot from 1 ft,2,65-86,,
8:53.0,,,65-86,,Shooting foul by B. Weber (drawn by K. Humphries)
8:53.0,Official timeout,,65-86,,
8:53.0,,,65-87,1,K. Humphries makes free throw 1 of 2
8:53.0,,,65-88,1,K. Humphries makes free throw 2 of 2
8:53.0,,,65-86,,M. Delaney enters the game for M. Dunleavy
8:41.0,Turnover by B. Weber (bad pass),,65-88,,
8:20.0,,,65-90,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by M. Delaney)
8:00.0,B. Weber makes 2-pt shot from 2 ft,2,67-90,,
7:41.0,,,67-92,2,M. Delaney makes 2-pt shot from 18 ft
7:25.0,J. Lamb enters the game for B. Roberts,,67-92,,
7:12.0,B. Weber misses 3-pt shot from 25 ft,,67-92,,
7:11.0,,,67-92,,Defensive rebound by M. Muscala
6:53.0,,,67-94,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by M. Muscala)
6:26.0,T. Graham misses 3-pt shot from 26 ft,,67-94,,
6:24.0,,,67-94,,Defensive rebound by K. Humphries
6:10.0,,,67-94,,Turnover by J. Calderon (bad pass; steal by T. Graham)
6:03.0,Turnover by B. Weber (bad pass; steal by K. Humphries),,67-94,,
5:57.0,,,67-96,2,M. Delaney makes 2-pt shot from 17 ft (assist by J. Calderon)
5:39.0,C. Wood misses 2-pt shot from 15 ft,,67-96,,
5:37.0,,,67-96,,Defensive rebound by M. Delaney
5:34.0,,,67-98,2,M. Muscala makes 2-pt shot from 1 ft (assist by M. Delaney)
5:34.0,Charlotte full timeout,,67-98,,
5:34.0,,,67-98,,M. Dunleavy enters the game for M. Muscala
5:25.0,,,67-98,,Personal foul by M. Delaney (drawn by M. Plumlee)
5:11.0,J. Lamb misses 3-pt shot from 23 ft,,67-98,,
5:10.0,,,67-98,,Defensive rebound by K. Humphries
5:01.0,,,67-98,,K. Humphries misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by M. Plumlee,,67-98,,
4:41.0,Turnover by T. Graham (bad pass; steal by K. Humphries),,67-98,,
4:24.0,,,67-98,,M. Delaney misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by J. Lamb,,67-98,,
4:10.0,C. Wood makes 2-pt shot at rim,2,69-98,,
3:50.0,,,69-98,,T. Sefolosha misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by T. Graham,,69-98,,
3:38.0,B. Weber misses 3-pt shot from 25 ft,,69-98,,
3:37.0,,,69-98,,Defensive rebound by M. Delaney
3:31.0,,,69-100,2,J. Calderon makes 2-pt shot at rim (assist by M. Delaney)
3:11.0,,,69-100,,Personal foul by M. Dunleavy (drawn by T. Graham)
3:09.0,Turnover by J. Lamb (bad pass; steal by K. Humphries),,69-100,,
