time,Philadelphia,pts.away,score,pts.home,Golden State
5:59.0,,,47-47,,Golden State full timeout
5:59.0,,,47-47,,S. Curry enters the game for K. Thompson
5:59.0,R. Holmes enters the game for J. Okafor,,47-47,,
5:56.0,,,47-47,,Turnover by S. Curry (bad pass; steal by T. McConnell)
5:52.0,T. McConnell makes 2-pt shot from 2 ft (assist by N. Stauskas),2,49-47,,
5:40.0,,,49-47,,Offensive charge foul by Z. Pachulia
5:40.0,,,49-47,,Turnover by Z. Pachulia (offensive foul)
5:27.0,N. Stauskas misses 3-pt shot from 27 ft,,49-47,,
5:27.0,,,49-47,,Defensive rebound by Team
5:15.0,,,49-47,,I. Clark misses 2-pt shot from 17 ft
5:14.0,Defensive rebound by N. Stauskas,,49-47,,
5:07.0,,,49-47,,Violation by Z. Pachulia (kicked ball)
5:07.0,D. Saric enters the game for J. Anderson,,49-47,,
5:07.0,,,49-47,,M. Barnes enters the game for P. McCaw
5:07.0,,,49-47,,A. Iguodala enters the game for Z. Pachulia
5:07.0,,,49-47,,K. Thompson enters the game for I. Clark
4:57.0,R. Holmes makes 3-pt shot from 25 ft (assist by T. McConnell),3,52-47,,
4:45.0,,,52-49,2,D. Green makes 2-pt shot from 1 ft
4:26.0,D. Saric misses 2-pt shot from 15 ft,,52-49,,
4:26.0,,,52-49,,Defensive rebound by M. Barnes
4:24.0,Personal foul by T. McConnell,,52-49,,
4:22.0,,,52-49,,Shooting foul by R. Covington (drawn by S. Curry)
4:22.0,,,52-50,1,S. Curry makes free throw 1 of 2
4:22.0,,,52-51,1,S. Curry makes free throw 2 of 2
4:12.0,Shooting foul by S. Curry,,52-51,,
4:12.0,T. McConnell misses free throw 1 of 2,,52-51,,
4:12.0,Offensive rebound by Team,,52-51,,
4:12.0,T. McConnell makes free throw 2 of 2,1,53-51,,
4:12.0,G. Henderson enters the game for R. Covington,,52-51,,
4:02.0,,,53-51,,S. Curry misses 2-pt shot from 22 ft
4:02.0,Defensive rebound by R. Holmes,,53-51,,
3:44.0,Turnover by N. Stauskas (step out of bounds),,53-51,,
3:34.0,,,53-54,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
3:23.0,R. Holmes misses 2-pt shot from 3 ft (block by M. Barnes),,53-54,,
3:22.0,,,53-54,,Defensive rebound by M. Barnes
3:15.0,,,53-54,,S. Curry misses 3-pt shot from 32 ft
3:14.0,Defensive rebound by R. Holmes,,53-54,,
2:57.0,T. McConnell misses 2-pt shot from 10 ft,,53-54,,
2:56.0,Offensive rebound by R. Holmes,,53-54,,
2:56.0,R. Holmes misses 2-pt shot from 1 ft,,53-54,,
2:55.0,Offensive rebound by G. Henderson,,53-54,,
2:55.0,Shooting foul by S. Curry (drawn by G. Henderson),,53-54,,
2:55.0,Official timeout,,53-54,,
2:55.0,G. Henderson misses free throw 1 of 2,,53-54,,
2:55.0,Offensive rebound by Team,,53-54,,
2:55.0,G. Henderson makes free throw 2 of 2,1,54-54,,
2:43.0,,,54-54,,S. Curry misses 2-pt shot from 20 ft
2:42.0,Defensive rebound by R. Holmes,,54-54,,
2:18.0,G. Henderson makes 3-pt shot from 27 ft (assist by T. McConnell),3,57-54,,
2:04.0,,,57-54,,Shooting foul by R. Holmes (drawn by D. Green)
2:04.0,,,57-55,1,D. Green makes free throw 1 of 2
2:04.0,,,57-55,,D. Green misses free throw 2 of 2
2:02.0,Defensive rebound by D. Saric,,57-55,,
1:47.0,Offensive charge foul by R. Holmes,,57-55,,
1:47.0,Turnover by R. Holmes (offensive foul),,57-55,,
1:47.0,S. Long enters the game for R. Holmes,,57-55,,
1:42.0,,,57-55,,Shooting foul by S. Long (drawn by D. Green)
1:42.0,,,57-55,,D. Green misses free throw 1 of 2
1:42.0,,,57-55,,Offensive rebound by Team
1:42.0,,,57-56,1,D. Green makes free throw 2 of 2
1:40.0,Turnover by D. Saric (bad pass; steal by S. Curry),,57-56,,
1:38.0,,,57-56,,S. Curry misses 3-pt shot from 26 ft
1:35.0,,,57-56,,Offensive rebound by M. Barnes
1:30.0,,,57-56,,K. Thompson misses 2-pt shot from 13 ft
1:30.0,Defensive rebound by T. McConnell,,57-56,,
1:22.0,Shooting foul by A. Iguodala (drawn by N. Stauskas),,57-56,,
1:22.0,N. Stauskas makes free throw 1 of 2,1,58-56,,
1:22.0,N. Stauskas makes free throw 2 of 2,1,59-56,,
1:09.0,,,59-56,,M. Barnes misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by T. McConnell,,59-56,,
1:02.0,N. Stauskas misses 3-pt shot from 24 ft,,59-56,,
1:01.0,Offensive rebound by S. Long,,59-56,,
0:59.0,S. Long misses 2-pt shot from 2 ft (block by D. Green),,59-56,,
0:58.0,,,59-56,,Defensive rebound by S. Curry
0:56.0,,,59-58,2,M. Barnes makes 2-pt shot from 2 ft (assist by S. Curry)
0:43.0,Turnover by S. Long (lost ball; steal by D. Green),,59-58,,
0:38.0,,,59-58,,A. Iguodala misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by T. McConnell,,59-58,,
0:30.0,G. Henderson misses 3-pt shot from 26 ft,,59-58,,
0:29.0,,,59-58,,Defensive rebound by A. Iguodala
0:07.0,,,59-58,,K. Thompson misses 2-pt shot from 16 ft
0:06.0,Defensive rebound by G. Henderson,,59-58,,
0:00.0,D. Saric misses 3-pt shot from 27 ft,,59-58,,
0:00.0,Offensive rebound by Team,,59-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Saric misses 3-pt shot from 26 ft,,59-58,,
11:46.0,,,59-58,,Defensive rebound by S. Curry
11:42.0,,,59-60,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
11:26.0,D. Saric makes 2-pt shot from 18 ft,2,61-60,,
11:14.0,,,61-62,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green)
11:01.0,Shooting foul by Z. Pachulia (drawn by J. Okafor),,61-62,,
11:01.0,J. Okafor makes free throw 1 of 2,1,62-62,,
11:01.0,J. Okafor makes free throw 2 of 2,1,63-62,,
10:46.0,,,63-62,,S. Curry misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by R. Covington,,63-62,,
10:38.0,Shooting foul by D. Green (drawn by T. Luwawu-Cabarrot),,63-62,,
10:38.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,63-62,,
10:38.0,Offensive rebound by Team,,63-62,,
10:38.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,64-62,,
10:25.0,,,64-62,,Turnover by P. McCaw (bad pass)
10:07.0,J. Okafor misses 2-pt shot from 15 ft,,64-62,,
10:06.0,,,64-62,,Defensive rebound by Z. Pachulia
9:58.0,,,64-62,,Z. Pachulia misses 2-pt shot from 3 ft (block by D. Saric)
9:57.0,Defensive rebound by T. Luwawu-Cabarrot,,64-62,,
9:55.0,T. Luwawu-Cabarrot misses 2-pt shot from 4 ft (block by D. Green),,64-62,,
9:54.0,Offensive rebound by Team,,64-62,,
9:54.0,Shooting foul by S. Curry (drawn by R. Covington),,64-62,,
9:54.0,R. Covington makes free throw 1 of 2,1,65-62,,
9:54.0,R. Covington makes free throw 2 of 2,1,66-62,,
9:37.0,,,66-62,,P. McCaw misses 2-pt shot from 1 ft (block by J. Okafor)
9:37.0,,,66-62,,Offensive rebound by Team
9:32.0,,,66-62,,Z. Pachulia misses 2-pt shot from 3 ft (block by J. Okafor)
9:31.0,Defensive rebound by R. Covington,,66-62,,
9:18.0,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell),2,68-62,,
9:18.0,,,68-62,,Golden State full timeout
9:18.0,,,68-62,,J. McAdoo enters the game for Z. Pachulia
9:04.0,,,68-62,,Offensive foul by J. McAdoo
9:04.0,,,68-62,,Turnover by J. McAdoo (offensive foul)
8:55.0,Turnover by J. Okafor (3 sec),,68-62,,
8:46.0,,,68-62,,D. Green misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by R. Covington,,68-62,,
8:26.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Okafor),2,70-62,,
8:17.0,,,70-62,,S. Curry misses 2-pt shot from 5 ft
