time,San Antonio,pts.away,score,pts.home,LA Clippers
5:28.0,D. Murray makes 2-pt shot from 1 ft,2,84-95,,
5:15.0,,,84-95,,Turnover by J. Crawford (bad pass; steal by D. Murray)
5:11.0,Shooting foul by J. Crawford (drawn by D. Murray),,84-95,,
5:11.0,D. Murray misses free throw 1 of 2,,84-95,,
5:11.0,Offensive rebound by Team,,84-95,,
5:11.0,D. Murray misses free throw 2 of 2,,84-95,,
5:11.0,K. Leonard enters the game for D. Green,,84-95,,
5:07.0,,,84-95,,Defensive rebound by R. Felton
4:54.0,,,84-95,,A. Rivers misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by K. Anderson,,84-95,,
4:34.0,K. Anderson misses 2-pt shot from 15 ft,,84-95,,
4:32.0,,,84-95,,Defensive rebound by W. Johnson
4:26.0,,,84-95,,Turnover by J. Crawford (lost ball; steal by K. Anderson)
