time,Philadelphia,pts.away,score,pts.home,Boston
10:49.0,G. Henderson enters the game for J. Okafor,,29-33,,
10:39.0,,,30-33,,Offensive foul by K. Olynyk
10:39.0,,,30-33,,Turnover by K. Olynyk (offensive foul)
10:29.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,30-33,,
10:28.0,Offensive rebound by N. Noel,,30-33,,
10:28.0,N. Noel makes 2-pt shot at rim,2,32-33,,
10:09.0,,,32-35,2,M. Smart makes 2-pt shot from 4 ft
10:09.0,,,32-35,,Shooting foul by E. Ilyasova (drawn by M. Smart)
10:09.0,,,32-36,1,M. Smart makes free throw 1 of 1
9:56.0,N. Noel makes 2-pt shot from 4 ft (assist by T. Luwawu-Cabarrot),2,34-36,,
9:45.0,,,34-36,,G. Green misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by S. Rodriguez,,34-36,,
9:40.0,Shooting foul by G. Green (drawn by G. Henderson),,34-36,,
9:40.0,G. Henderson makes free throw 1 of 2,1,35-36,,
9:40.0,G. Henderson misses free throw 2 of 2,,35-36,,
9:40.0,,,35-36,,J. Young enters the game for G. Green
9:38.0,Offensive rebound by E. Ilyasova,,35-36,,
9:37.0,E. Ilyasova makes 2-pt shot from 1 ft,2,37-36,,
9:23.0,,,37-39,3,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Rozier)
9:09.0,N. Noel makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,39-39,,
8:55.0,,,39-42,3,J. Young makes 3-pt shot from 25 ft (assist by J. Jerebko)
8:49.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,41-42,,
8:49.0,,,41-42,,Boston full timeout
8:34.0,,,41-42,,Turnover by T. Rozier (bad pass; steal by G. Henderson)
8:30.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by M. Smart),,41-42,,
8:23.0,,,41-44,2,K. Olynyk makes 2-pt shot from 2 ft (assist by T. Rozier)
8:11.0,Turnover by E. Ilyasova (bad pass; steal by J. Young),,41-44,,
7:55.0,,,41-46,2,K. Olynyk makes 2-pt shot from 2 ft
7:39.0,E. Ilyasova misses 3-pt shot from 23 ft,,41-46,,
7:38.0,,,41-46,,Defensive rebound by K. Olynyk
7:18.0,,,41-48,2,M. Smart makes 2-pt shot from 21 ft
7:01.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by J. Jerebko),,41-48,,
7:00.0,Offensive rebound by Team,,41-48,,
7:00.0,,,41-48,,A. Johnson enters the game for K. Olynyk
7:00.0,R. Covington enters the game for T. Luwawu-Cabarrot,,41-48,,
7:00.0,Philadelphia full timeout,,41-48,,
7:00.0,,,41-48,,I. Thomas enters the game for T. Rozier
6:55.0,G. Henderson makes 2-pt shot from 14 ft (assist by S. Rodriguez),2,43-48,,
6:33.0,,,43-48,,J. Young misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by N. Noel,,43-48,,
6:25.0,G. Henderson misses 3-pt shot from 26 ft,,43-48,,
6:24.0,,,43-48,,Defensive rebound by A. Johnson
6:10.0,,,43-50,2,I. Thomas makes 2-pt shot from 2 ft
6:04.0,S. Rodriguez misses 2-pt shot from 4 ft,,43-50,,
6:03.0,Offensive rebound by E. Ilyasova,,43-50,,
6:03.0,E. Ilyasova misses 2-pt shot from 3 ft,,43-50,,
6:02.0,,,43-50,,Defensive rebound by A. Johnson
5:54.0,,,43-50,,I. Thomas misses 3-pt shot from 26 ft
5:54.0,Defensive rebound by S. Rodriguez,,43-50,,
5:51.0,Shooting foul by J. Young (drawn by E. Ilyasova),,43-50,,
5:51.0,,,43-50,,Violation by M. Smart (def goaltending)
5:51.0,E. Ilyasova makes 2-pt shot from 2 ft,2,45-50,,
5:51.0,E. Ilyasova makes free throw 1 of 1,1,46-50,,
5:51.0,T. McConnell enters the game for S. Rodriguez,,45-50,,
5:51.0,,,45-50,,J. Crowder enters the game for M. Smart
5:38.0,,,46-50,,J. Crowder misses 2-pt shot from 14 ft
5:37.0,Defensive rebound by R. Covington,,46-50,,
5:17.0,R. Covington makes 2-pt shot from 1 ft,2,48-50,,
5:02.0,,,48-52,2,J. Young makes 2-pt shot from 13 ft (assist by J. Crowder)
4:47.0,Shooting foul by J. Young (drawn by G. Henderson),,48-52,,
4:47.0,G. Henderson makes free throw 1 of 2,1,49-52,,
4:47.0,G. Henderson makes free throw 2 of 2,1,50-52,,
4:47.0,,,49-52,,A. Horford enters the game for J. Jerebko
4:46.0,,,50-52,,Turnover by A. Horford (bad pass; steal by T. McConnell)
4:41.0,G. Henderson makes 2-pt shot from 2 ft (assist by T. McConnell),2,52-52,,
4:16.0,,,52-52,,J. Crowder misses 2-pt shot from 18 ft
4:15.0,Defensive rebound by T. McConnell,,52-52,,
4:04.0,E. Ilyasova misses 3-pt shot from 26 ft,,52-52,,
4:03.0,Offensive rebound by R. Covington,,52-52,,
3:59.0,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell),3,55-52,,
3:47.0,,,55-52,,Shooting foul by T. McConnell (drawn by I. Thomas)
3:47.0,,,55-53,1,I. Thomas makes free throw 1 of 3
3:47.0,,,55-53,,I. Thomas misses free throw 2 of 3
3:47.0,,,55-53,,Offensive rebound by Team
3:47.0,,,55-54,1,I. Thomas makes free throw 3 of 3
3:47.0,,,55-53,,K. Olynyk enters the game for A. Johnson
3:47.0,D. Saric enters the game for E. Ilyasova,,55-53,,
3:29.0,G. Henderson misses 2-pt shot from 15 ft,,55-54,,
3:28.0,,,55-54,,Defensive rebound by J. Crowder
3:18.0,,,55-54,,Turnover by K. Olynyk (bad pass; steal by T. McConnell)
3:14.0,T. McConnell misses 2-pt shot from 2 ft (block by J. Young),,55-54,,
3:13.0,Offensive rebound by R. Covington,,55-54,,
3:13.0,R. Covington makes 2-pt shot from 1 ft,2,57-54,,
2:57.0,,,57-54,,Shooting foul by G. Henderson (drawn by J. Crowder)
2:57.0,Official timeout,,57-54,,
2:57.0,,,57-55,1,J. Crowder makes free throw 1 of 2
2:57.0,,,57-55,,J. Crowder misses free throw 2 of 2
2:57.0,Defensive rebound by D. Saric,,57-55,,
2:57.0,,,57-54,,M. Smart enters the game for A. Horford
2:57.0,,,57-54,,T. Zeller enters the game for J. Young
2:46.0,Turnover by G. Henderson (lost ball),,57-55,,
2:25.0,,,57-57,2,M. Smart makes 2-pt shot from 1 ft
2:16.0,N. Noel misses 2-pt shot from 4 ft,,57-57,,
2:11.0,,,57-57,,Defensive rebound by K. Olynyk
2:11.0,Personal foul by N. Noel (drawn by K. Olynyk),,57-57,,
2:11.0,J. Okafor enters the game for N. Noel,,57-57,,
2:11.0,N. Stauskas enters the game for R. Covington,,57-57,,
1:56.0,,,57-57,,J. Crowder misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by N. Stauskas,,57-57,,
1:37.0,D. Saric misses 3-pt shot from 25 ft,,57-57,,
1:36.0,,,57-57,,Defensive rebound by J. Crowder
1:30.0,,,57-60,3,I. Thomas makes 3-pt shot from 25 ft
1:11.0,T. McConnell makes 2-pt shot from 7 ft,2,59-60,,
1:04.0,,,59-60,,Turnover by I. Thomas (lost ball)
0:47.0,T. McConnell makes 2-pt shot from 9 ft (assist by N. Stauskas),2,61-60,,
0:37.0,Personal foul by D. Saric (drawn by K. Olynyk),,61-60,,
0:37.0,,,61-60,,K. Olynyk misses free throw 1 of 2
0:37.0,,,61-60,,Offensive rebound by Team
0:37.0,,,61-61,1,K. Olynyk makes free throw 2 of 2
0:37.0,Philadelphia full timeout,,61-61,,
0:26.0,J. Okafor misses 2-pt shot from 4 ft,,61-61,,
0:25.0,,,61-61,,Defensive rebound by T. Zeller
0:05.0,,,61-61,,I. Thomas misses 2-pt shot from 16 ft
0:03.0,,,61-61,,Offensive rebound by K. Olynyk
0:01.0,,,61-61,,J. Crowder misses 3-pt shot from 26 ft
0:00.0,,,61-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by T. McConnell (bad pass; steal by M. Smart),,61-61,,
11:38.0,,,61-63,2,I. Thomas makes 2-pt shot from 1 ft
11:27.0,,,61-63,,Personal foul by A. Johnson (drawn by N. Noel)
11:14.0,,,61-63,,Personal foul by A. Johnson (drawn by N. Noel)
11:05.0,G. Henderson misses 2-pt shot from 13 ft,,61-63,,
11:04.0,,,61-63,,Defensive rebound by A. Horford
10:55.0,,,61-65,2,A. Horford makes 2-pt shot from 11 ft
10:55.0,,,61-65,,Shooting foul by E. Ilyasova (drawn by A. Horford)
10:55.0,,,61-66,1,A. Horford makes free throw 1 of 1
10:36.0,T. McConnell makes 2-pt shot from 10 ft,2,63-66,,
10:18.0,,,63-66,,Turnover by A. Horford (bad pass; steal by T. McConnell)
10:10.0,Turnover by G. Henderson (bad pass),,63-66,,
10:00.0,,,63-68,2,A. Johnson makes 2-pt shot at rim (assist by A. Horford)
10:00.0,Philadelphia full timeout,,63-68,,
9:41.0,Offensive charge foul by E. Ilyasova,,63-68,,
9:41.0,Turnover by E. Ilyasova (offensive foul),,63-68,,
9:41.0,D. Saric enters the game for E. Ilyasova,,63-68,,
9:25.0,,,63-68,,M. Smart misses 3-pt shot from 24 ft
9:24.0,,,63-68,,Offensive rebound by A. Johnson
9:23.0,,,63-71,3,M. Smart makes 3-pt shot from 25 ft
9:04.0,R. Covington misses 3-pt shot from 26 ft,,63-71,,
9:04.0,,,63-71,,Defensive rebound by A. Johnson
9:00.0,,,63-73,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Johnson)
8:43.0,,,63-73,,Personal foul by I. Thomas
8:31.0,T. McConnell makes 2-pt shot from 7 ft,2,65-73,,
8:15.0,,,65-73,,M. Smart misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by R. Covington,,65-73,,
8:09.0,Turnover by T. McConnell (bad pass; steal by M. Smart),,65-73,,
8:06.0,,,65-73,,Turnover by M. Smart (lost ball; steal by T. McConnell)
8:05.0,,,65-73,,Personal foul by A. Horford (drawn by G. Henderson)
8:05.0,N. Stauskas enters the game for G. Henderson,,65-73,,
7:56.0,R. Covington misses 3-pt shot from 24 ft,,65-73,,
7:55.0,,,65-73,,Defensive rebound by A. Johnson
7:47.0,,,65-73,,Turnover by I. Thomas (lost ball; steal by R. Covington)
7:27.0,D. Saric misses 3-pt shot from 25 ft,,65-73,,
7:26.0,,,65-73,,Defensive rebound by I. Thomas
7:20.0,,,65-73,,Shooting foul by N. Noel (drawn by J. Crowder)
7:20.0,,,65-74,1,J. Crowder makes free throw 1 of 2
7:20.0,,,65-74,,J. Crowder misses free throw 2 of 2
7:20.0,Defensive rebound by N. Noel,,65-74,,
7:04.0,N. Noel makes 2-pt shot from 5 ft (assist by T. McConnell),2,67-74,,
6:52.0,,,67-74,,A. Johnson misses 2-pt shot from 2 ft
6:51.0,Defensive rebound by D. Saric,,67-74,,
6:39.0,Turnover by D. Saric (bad pass; steal by M. Smart),,67-74,,
6:23.0,,,67-74,,Shooting foul by N. Noel (drawn by M. Smart)
6:23.0,,,67-75,1,M. Smart makes free throw 1 of 2
6:23.0,,,67-75,,M. Smart misses free throw 2 of 2
6:23.0,Defensive rebound by D. Saric,,67-75,,
6:23.0,J. Okafor enters the game for N. Noel,,67-75,,
6:23.0,,,67-75,,K. Olynyk enters the game for A. Johnson
6:00.0,N. Stauskas misses 3-pt shot from 25 ft,,67-75,,
5:59.0,,,67-75,,Defensive rebound by K. Olynyk
5:46.0,,,67-75,,I. Thomas misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by D. Saric,,67-75,,
5:38.0,R. Covington misses 2-pt shot from 1 ft,,67-75,,
5:38.0,,,67-75,,Defensive rebound by A. Horford
5:33.0,,,67-75,,I. Thomas misses 3-pt shot from 25 ft
5:32.0,,,67-75,,Offensive rebound by I. Thomas
5:30.0,,,67-77,2,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas)
5:30.0,,,67-77,,Shooting foul by J. Okafor (drawn by K. Olynyk)
5:30.0,,,67-78,1,K. Olynyk makes free throw 1 of 1
5:30.0,,,67-77,,T. Rozier enters the game for M. Smart
5:15.0,D. Saric makes 2-pt shot from 17 ft (assist by T. McConnell),2,69-78,,
5:00.0,,,69-81,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
5:00.0,Philadelphia full timeout,,69-81,,
4:48.0,,,69-81,,Personal foul by A. Horford (drawn by J. Okafor)
4:48.0,J. Okafor misses free throw 1 of 2,,69-81,,
4:48.0,Offensive rebound by Team,,69-81,,
4:48.0,J. Okafor misses free throw 2 of 2,,69-81,,
4:48.0,,,69-81,,Defensive rebound by J. Crowder
4:32.0,,,69-81,,J. Crowder misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by J. Okafor,,69-81,,
4:25.0,Turnover by D. Saric (lost ball),,69-81,,
4:11.0,,,69-81,,I. Thomas misses 2-pt shot from 14 ft
4:10.0,Defensive rebound by T. McConnell,,69-81,,
4:03.0,,,69-81,,Personal foul by T. Rozier (drawn by N. Stauskas)
4:03.0,N. Stauskas misses free throw 1 of 2,,69-81,,
4:03.0,Offensive rebound by Team,,69-81,,
4:03.0,N. Stauskas makes free throw 2 of 2,1,70-81,,
4:03.0,,,69-81,,J. Young enters the game for I. Thomas
3:48.0,,,70-81,,A. Horford misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by R. Covington,,70-81,,
3:33.0,J. Okafor misses 2-pt shot from 6 ft,,70-81,,
3:33.0,,,70-81,,Defensive rebound by J. Young
3:25.0,,,70-81,,T. Rozier misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by R. Covington,,70-81,,
3:18.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,73-81,,
3:17.0,,,73-81,,Boston full timeout
3:17.0,S. Rodriguez enters the game for R. Covington,,73-81,,
3:17.0,T. Luwawu-Cabarrot enters the game for T. McConnell,,73-81,,
3:00.0,,,73-81,,T. Rozier misses 2-pt shot from 2 ft (block by J. Okafor)
2:59.0,Defensive rebound by D. Saric,,73-81,,
2:52.0,Turnover by S. Rodriguez (bad pass),,73-81,,
2:44.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Crowder),,73-81,,
2:44.0,,,73-82,1,J. Crowder makes free throw 1 of 2
2:44.0,,,73-83,1,J. Crowder makes free throw 2 of 2
2:44.0,,,73-82,,T. Zeller enters the game for A. Horford
2:31.0,D. Saric makes 2-pt shot from 2 ft,2,75-83,,
2:18.0,,,75-83,,K. Olynyk misses 2-pt shot from 3 ft (block by J. Okafor)
2:18.0,,,75-83,,Offensive rebound by Team
2:18.0,,,75-83,,M. Smart enters the game for J. Crowder
2:18.0,Jump ball: J. Okafor vs. K. Olynyk (M. Smart gains possession),,,,Jump ball: J. Okafor vs. K. Olynyk (M. Smart gains possession)
2:09.0,,,75-83,,Turnover by M. Smart (bad pass; steal by D. Saric)
2:04.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,75-83,,
2:03.0,,,75-83,,Defensive rebound by Team
2:03.0,Loose ball foul by T. Luwawu-Cabarrot (drawn by M. Smart),,75-83,,
2:03.0,,,75-83,,M. Smart misses free throw 1 of 2
2:03.0,,,75-83,,Offensive rebound by Team
2:03.0,,,75-84,1,M. Smart makes free throw 2 of 2
1:30.0,N. Stauskas makes 2-pt shot from 2 ft,2,77-84,,
1:18.0,,,77-87,3,M. Smart makes 3-pt shot from 26 ft (assist by K. Olynyk)
1:00.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,77-87,,
1:00.0,,,77-87,,Defensive rebound by K. Olynyk
0:56.0,,,77-87,,Turnover by M. Smart (bad pass)
0:45.0,S. Rodriguez makes 2-pt shot from 13 ft,2,79-87,,
0:29.0,,,79-87,,M. Smart misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by Team,,79-87,,
0:08.0,N. Stauskas misses 3-pt shot from 26 ft,,79-87,,
0:07.0,,,79-87,,Defensive rebound by T. Zeller
0:01.0,,,79-87,,J. Young misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by D. Saric,,79-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,79-87,,Turnover by I. Thomas (lost ball; steal by N. Noel)
11:38.0,D. Saric makes 2-pt shot from 3 ft (assist by R. Covington),2,81-87,,
11:38.0,Shooting foul by K. Olynyk (drawn by D. Saric),,81-87,,
11:38.0,D. Saric makes free throw 1 of 1,1,82-87,,
11:26.0,,,82-89,2,T. Zeller makes 2-pt shot from 3 ft (assist by K. Olynyk)
11:08.0,N. Stauskas makes 2-pt shot from 5 ft,2,84-89,,
10:49.0,,,84-91,2,J. Young makes 2-pt shot from 4 ft (assist by M. Smart)
10:49.0,,,84-91,,Shooting foul by N. Noel (drawn by J. Young)
10:49.0,,,84-92,1,J. Young makes free throw 1 of 1
10:39.0,S. Rodriguez makes 3-pt shot from 25 ft,3,87-92,,
10:30.0,,,87-92,,J. Young misses 2-pt shot from 5 ft
10:28.0,,,87-92,,Offensive rebound by J. Young
10:27.0,,,87-94,2,J. Young makes 2-pt shot from 2 ft
10:01.0,N. Stauskas makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,90-94,,
9:52.0,Personal foul by S. Rodriguez (drawn by M. Smart),,90-94,,
9:45.0,,,90-96,2,I. Thomas makes 2-pt shot from 2 ft (assist by T. Zeller)
9:43.0,Turnover by N. Noel (bad pass),,90-96,,
9:32.0,,,90-96,,I. Thomas misses 2-pt shot from 3 ft (block by D. Saric)
9:31.0,Defensive rebound by D. Saric,,90-96,,
9:23.0,S. Rodriguez makes 3-pt shot from 26 ft (assist by R. Covington),3,93-96,,
9:14.0,,,93-96,,Offensive foul by T. Zeller
9:14.0,,,93-96,,Turnover by T. Zeller (offensive foul)
8:56.0,D. Saric makes 2-pt shot from 5 ft,2,95-96,,
8:56.0,,,95-96,,Boston full timeout
8:56.0,,,95-96,,T. Rozier enters the game for M. Smart
8:56.0,,,95-96,,A. Horford enters the game for T. Zeller
8:36.0,,,95-96,,I. Thomas misses 2-pt shot from 23 ft
8:34.0,Defensive rebound by S. Rodriguez,,95-96,,
8:27.0,N. Stauskas misses 3-pt shot from 24 ft,,95-96,,
8:26.0,,,95-96,,Defensive rebound by T. Rozier
8:18.0,,,95-96,,Turnover by T. Rozier (lost ball; steal by N. Noel)
8:02.0,S. Rodriguez misses 2-pt shot from 22 ft,,95-96,,
8:01.0,Offensive rebound by D. Saric,,95-96,,
7:57.0,R. Covington misses 2-pt shot from 3 ft,,95-96,,
7:56.0,Offensive rebound by N. Noel,,95-96,,
7:56.0,N. Noel makes 2-pt shot at rim,2,97-96,,
7:33.0,,,97-96,,T. Rozier misses 3-pt shot from 23 ft
7:32.0,,,97-96,,Offensive rebound by Team
7:32.0,J. Okafor enters the game for N. Noel,,97-96,,
7:32.0,,,97-96,,J. Crowder enters the game for J. Young
7:31.0,,,97-96,,A. Horford misses 2-pt shot from 12 ft
