time,Boston,pts.away,score,pts.home,Phoenix
5:22.0,,,19-8,,M. Chriss misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by J. Jerebko,,19-8,,
5:14.0,A. Johnson misses 2-pt shot from 1 ft,,19-8,,
5:13.0,Offensive rebound by A. Johnson,,19-8,,
5:03.0,,,19-8,,Personal foul by A. Williams (drawn by I. Thomas)
4:59.0,M. Smart enters the game for J. Brown,,19-8,,
4:58.0,A. Johnson misses 2-pt shot at rim (block by M. Chriss),,19-8,,
4:56.0,,,19-8,,Defensive rebound by A. Williams
4:50.0,,,19-10,2,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:28.0,A. Johnson misses 3-pt shot from 25 ft,,19-10,,
4:26.0,,,19-10,,Defensive rebound by T. Warren
4:20.0,,,19-13,3,E. Bledsoe makes 3-pt shot from 25 ft
4:20.0,Boston full timeout,,19-13,,
4:20.0,T. Zeller enters the game for A. Johnson,,19-13,,
4:03.0,I. Thomas misses 3-pt shot from 25 ft,,19-13,,
4:01.0,,,19-13,,Defensive rebound by T. Warren
3:42.0,,,19-13,,A. Williams misses 2-pt shot from 2 ft
3:40.0,Defensive rebound by T. Zeller,,19-13,,
3:30.0,Offensive foul by T. Zeller,,19-13,,
3:30.0,Turnover by T. Zeller (offensive foul),,19-13,,
3:13.0,,,19-15,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
2:59.0,,,19-15,,Personal foul by M. Chriss (drawn by I. Thomas)
2:59.0,I. Thomas makes free throw 1 of 2,1,20-15,,
2:59.0,I. Thomas makes free throw 2 of 2,1,21-15,,
2:59.0,,,20-15,,J. Dudley enters the game for M. Chriss
2:59.0,K. Olynyk enters the game for J. Jerebko,,20-15,,
2:45.0,,,21-15,,E. Bledsoe misses 2-pt shot from 6 ft
2:43.0,Defensive rebound by T. Zeller,,21-15,,
2:35.0,Turnover by T. Zeller (bad pass; steal by A. Williams),,21-15,,
2:31.0,,,21-15,,E. Bledsoe misses 2-pt shot from 2 ft
2:31.0,,,21-15,,Offensive rebound by A. Williams
2:31.0,Personal foul by I. Thomas (drawn by A. Williams),,21-15,,
2:31.0,G. Green enters the game for I. Thomas,,21-15,,
2:18.0,,,21-15,,E. Bledsoe misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by T. Zeller,,21-15,,
1:58.0,T. Zeller misses 2-pt shot from 4 ft,,21-15,,
1:57.0,,,21-15,,Defensive rebound by E. Bledsoe
1:51.0,,,21-15,,J. Dudley misses 3-pt shot from 26 ft
1:48.0,Defensive rebound by T. Zeller,,21-15,,
1:47.0,Turnover by T. Zeller (bad pass; steal by D. Booker),,21-15,,
1:44.0,,,21-15,,D. Booker misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by J. Crowder,,21-15,,
1:25.0,,,21-15,,Personal foul by A. Williams (drawn by M. Smart)
1:25.0,M. Smart makes free throw 1 of 2,1,22-15,,
1:25.0,M. Smart misses free throw 2 of 2,,22-15,,
1:25.0,T. Rozier enters the game for J. Crowder,,22-15,,
1:25.0,,,22-15,,T. Ulis enters the game for E. Bledsoe
1:24.0,,,22-15,,Defensive rebound by T. Warren
1:18.0,Personal foul by T. Zeller (drawn by A. Williams),,22-15,,
1:12.0,,,22-15,,D. Booker misses 2-pt shot from 13 ft
1:10.0,Defensive rebound by G. Green,,22-15,,
0:54.0,G. Green misses 2-pt shot from 10 ft,,22-15,,
0:51.0,Offensive rebound by K. Olynyk,,22-15,,
0:51.0,K. Olynyk misses 2-pt shot from 2 ft,,22-15,,
0:49.0,Offensive rebound by T. Zeller,,22-15,,
0:48.0,Jump ball: A. Williams vs. T. Zeller (M. Smart gains possession),,,,Jump ball: A. Williams vs. T. Zeller (M. Smart gains possession)
0:36.0,K. Olynyk misses 2-pt shot from 16 ft,,22-15,,
0:33.0,,,22-15,,Defensive rebound by D. Booker
0:31.0,Personal foul by M. Smart (drawn by D. Booker),,22-15,,
0:31.0,,,22-16,1,D. Booker makes free throw 1 of 2
0:31.0,,,22-17,1,D. Booker makes free throw 2 of 2
0:31.0,J. Brown enters the game for T. Zeller,,22-16,,
0:10.0,Turnover by K. Olynyk (bad pass; steal by T. Warren),,22-17,,
0:05.0,,,22-19,2,T. Warren makes 2-pt shot from 1 ft
0:00.0,M. Smart misses 3-pt shot from 45 ft,,22-19,,
0:00.0,Offensive rebound by Team,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by K. Olynyk (traveling),,22-19,,
11:35.0,,,22-19,,J. Dudley misses 2-pt shot from 21 ft
11:33.0,,,22-19,,Offensive rebound by A. Williams
11:22.0,,,22-21,2,L. Barbosa makes 2-pt shot from 21 ft
11:10.0,,,22-21,,Personal foul by D. Jones (drawn by M. Smart)
11:04.0,T. Rozier makes 2-pt shot from 21 ft,2,24-21,,
10:49.0,,,24-21,,A. Williams misses 2-pt shot from 6 ft (block by K. Olynyk)
10:46.0,Defensive rebound by T. Rozier,,24-21,,
10:43.0,M. Smart misses 3-pt shot from 26 ft,,24-21,,
10:41.0,,,24-21,,Defensive rebound by A. Williams
10:30.0,,,24-21,,L. Barbosa misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by K. Olynyk,,24-21,,
10:19.0,Shooting foul by D. Jones (drawn by M. Smart),,24-21,,
10:19.0,M. Smart makes free throw 1 of 2,1,25-21,,
10:19.0,M. Smart misses free throw 2 of 2,,25-21,,
10:19.0,,,25-21,,Defensive rebound by A. Williams
10:19.0,A. Johnson enters the game for T. Zeller,,25-21,,
10:01.0,,,25-21,,L. Barbosa misses 2-pt shot from 22 ft
9:59.0,Defensive rebound by T. Rozier,,25-21,,
9:43.0,A. Johnson misses 2-pt shot from 10 ft,,25-21,,
9:41.0,,,25-21,,Defensive rebound by A. Williams
9:38.0,Personal foul by A. Johnson (drawn by A. Williams),,25-21,,
9:32.0,,,25-23,2,T. Ulis makes 2-pt shot from 16 ft
9:20.0,Turnover by G. Green (lost ball; steal by J. Dudley),,25-23,,
9:19.0,,,25-23,,Offensive foul by J. Dudley
9:19.0,,,25-23,,Turnover by J. Dudley (offensive foul)
9:02.0,K. Olynyk misses 3-pt shot from 26 ft,,25-23,,
8:59.0,,,25-23,,Defensive rebound by J. Dudley
8:51.0,,,25-25,2,A. Williams makes 2-pt shot from 7 ft (assist by T. Ulis)
8:41.0,M. Smart makes 2-pt shot from 9 ft,2,27-25,,
8:27.0,,,27-25,,L. Barbosa misses 2-pt shot from 10 ft
8:25.0,Defensive rebound by G. Green,,27-25,,
8:16.0,K. Olynyk misses 2-pt shot from 10 ft,,27-25,,
8:12.0,,,27-25,,Defensive rebound by J. Dudley
7:55.0,,,27-25,,A. Williams misses 2-pt shot from 3 ft
7:53.0,Defensive rebound by G. Green,,27-25,,
7:44.0,G. Green makes 2-pt shot from 15 ft,2,29-25,,
7:25.0,,,29-25,,T. Ulis misses 2-pt shot from 12 ft
7:23.0,,,29-25,,Offensive rebound by L. Barbosa
7:18.0,,,29-27,2,T. Ulis makes 2-pt shot from 8 ft
7:16.0,,,29-27,,Violation by Team (jump ball)
6:58.0,T. Rozier makes 3-pt shot from 26 ft (assist by M. Smart),3,32-27,,
6:42.0,,,32-27,,J. Dudley misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by M. Smart,,32-27,,
6:36.0,G. Green misses 3-pt shot from 25 ft,,32-27,,
6:35.0,Offensive rebound by Team,,32-27,,
6:35.0,,,32-27,,Loose ball foul by J. Dudley (drawn by K. Olynyk)
6:35.0,Official timeout,,32-27,,
6:35.0,I. Thomas enters the game for M. Smart,,32-27,,
6:35.0,J. Brown enters the game for G. Green,,32-27,,
6:26.0,I. Thomas misses 2-pt shot from 7 ft (block by A. Williams),,32-27,,
6:23.0,,,32-27,,Defensive rebound by J. Dudley
6:13.0,Personal foul by T. Rozier (drawn by A. Williams),,32-27,,
6:04.0,,,32-27,,L. Barbosa misses 2-pt shot from 21 ft
6:02.0,Defensive rebound by I. Thomas,,32-27,,
5:51.0,,,32-27,,Personal foul by T. Ulis (drawn by I. Thomas)
5:51.0,,,32-27,,Phoenix full timeout
5:51.0,,,32-27,,E. Bledsoe enters the game for D. Jones
5:51.0,J. Crowder enters the game for K. Olynyk,,32-27,,
5:37.0,Turnover by Team (shot clock),,32-27,,
5:20.0,,,32-27,,E. Bledsoe misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by J. Crowder,,32-27,,
5:13.0,I. Thomas misses 3-pt shot from 26 ft,,32-27,,
5:10.0,,,32-27,,Defensive rebound by L. Barbosa
5:06.0,Jump ball: I. Thomas vs. T. Ulis (J. Crowder gains possession),,,,Jump ball: I. Thomas vs. T. Ulis (J. Crowder gains possession)
5:06.0,,,32-27,,Turnover by L. Barbosa (bad pass; steal by I. Thomas)
4:57.0,J. Crowder makes 3-pt shot from 24 ft,3,35-27,,
4:48.0,,,35-29,2,T. Ulis makes 2-pt shot from 6 ft
4:33.0,I. Thomas misses 2-pt shot from 2 ft,,35-29,,
4:29.0,,,35-29,,Defensive rebound by E. Bledsoe
4:26.0,,,35-29,,J. Dudley misses 3-pt shot from 25 ft
4:23.0,,,35-29,,Offensive rebound by L. Barbosa
4:08.0,,,35-31,2,T. Ulis makes 2-pt shot from 15 ft
4:08.0,,,35-31,,Shooting foul by I. Thomas (drawn by T. Ulis)
4:08.0,,,35-32,1,T. Ulis makes free throw 1 of 1
4:08.0,,,35-31,,D. Booker enters the game for J. Dudley
4:08.0,J. Jerebko enters the game for T. Rozier,,35-31,,
3:56.0,,,35-32,,Personal block foul by D. Booker (drawn by I. Thomas)
3:56.0,I. Thomas makes free throw 1 of 2,1,36-32,,
3:56.0,I. Thomas makes free throw 2 of 2,1,37-32,,
3:42.0,,,37-34,2,T. Ulis makes 2-pt shot from 11 ft
3:29.0,I. Thomas misses 2-pt shot from 17 ft,,37-34,,
3:26.0,,,37-34,,Defensive rebound by D. Booker
3:16.0,,,37-34,,A. Williams misses 2-pt shot from 5 ft (block by A. Johnson)
3:15.0,Defensive rebound by J. Crowder,,37-34,,
3:03.0,J. Crowder misses 2-pt shot from 20 ft,,37-34,,
3:01.0,,,37-34,,Defensive rebound by E. Bledsoe
2:44.0,,,37-36,2,T. Ulis makes 2-pt shot from 18 ft
2:43.0,Boston full timeout,,37-36,,
2:43.0,,,37-36,,T. Warren enters the game for A. Williams
2:43.0,,,37-36,,M. Chriss enters the game for L. Barbosa
2:43.0,M. Smart enters the game for A. Johnson,,37-36,,
2:26.0,J. Jerebko misses 2-pt shot at rim (block by M. Chriss),,37-36,,
2:25.0,,,37-36,,Defensive rebound by Team
2:17.0,,,37-36,,Shooting foul by M. Smart (drawn by E. Bledsoe)
2:17.0,,,37-37,1,E. Bledsoe makes free throw 1 of 2
2:17.0,,,37-38,1,E. Bledsoe makes free throw 2 of 2
1:57.0,Turnover by M. Smart (traveling),,37-38,,
1:45.0,,,37-40,2,D. Booker makes 2-pt shot from 16 ft
1:21.0,J. Brown misses 2-pt shot from 2 ft,,37-40,,
1:20.0,Offensive rebound by J. Brown,,37-40,,
1:18.0,J. Brown misses 2-pt shot from 1 ft,,37-40,,
1:18.0,,,37-40,,Defensive rebound by E. Bledsoe
1:13.0,,,37-40,,E. Bledsoe misses 2-pt shot from 2 ft
1:12.0,,,37-40,,Offensive rebound by M. Chriss
1:12.0,,,37-42,2,M. Chriss makes 2-pt shot at rim
1:05.0,I. Thomas makes 2-pt shot from 2 ft,2,39-42,,
0:53.0,Personal block foul by I. Thomas (drawn by E. Bledsoe),,39-42,,
0:53.0,,,39-43,1,E. Bledsoe makes free throw 1 of 2
0:53.0,,,39-44,1,E. Bledsoe makes free throw 2 of 2
0:53.0,K. Olynyk enters the game for J. Jerebko,,39-43,,
0:40.0,Turnover by I. Thomas (lost ball; steal by T. Ulis),,39-44,,
0:40.0,Clear path foul by I. Thomas,,39-44,,
0:40.0,,,39-45,1,T. Ulis makes clear path free throw 1 of 2
0:40.0,,,39-46,1,T. Ulis makes clear path free throw 2 of 2
0:40.0,T. Rozier enters the game for I. Thomas,,39-44,,
0:33.0,,,39-49,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:15.0,T. Rozier makes 3-pt shot from 25 ft (assist by J. Brown),3,42-49,,
0:02.0,,,42-49,,E. Bledsoe misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by T. Rozier,,42-49,,
0:00.0,T. Rozier misses 3-pt shot from 40 ft,,42-49,,
0:00.0,Offensive rebound by Team,,42-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Shooting foul by D. Booker (drawn by J. Brown),,42-49,,
11:52.0,J. Brown misses free throw 1 of 2,,42-49,,
11:52.0,Offensive rebound by Team,,42-49,,
11:52.0,J. Brown misses free throw 2 of 2,,42-49,,
11:51.0,Offensive rebound by J. Jerebko,,42-49,,
11:38.0,A. Johnson misses 2-pt shot from 1 ft,,42-49,,
11:37.0,Offensive rebound by J. Jerebko,,42-49,,
11:31.0,I. Thomas misses 3-pt shot from 25 ft (block by T. Warren),,42-49,,
11:28.0,,,42-49,,Defensive rebound by M. Chriss
11:09.0,,,42-49,,T. Warren misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by A. Johnson,,42-49,,
11:03.0,J. Brown makes 2-pt shot at rim (assist by I. Thomas),2,44-49,,
10:36.0,,,44-49,,A. Len misses 2-pt shot from 4 ft
10:33.0,,,44-49,,Offensive rebound by T. Warren
10:33.0,,,44-51,2,T. Warren makes 2-pt shot from 2 ft
10:12.0,Shooting foul by A. Len (drawn by J. Crowder),,44-51,,
10:12.0,J. Crowder misses free throw 1 of 2,,44-51,,
10:12.0,Offensive rebound by Team,,44-51,,
10:12.0,J. Crowder makes free throw 2 of 2,1,45-51,,
10:12.0,Personal foul by J. Brown,,45-51,,
10:10.0,,,45-53,2,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe)
10:10.0,,,45-53,,Shooting foul by A. Johnson (drawn by A. Len)
10:10.0,,,45-53,,A. Len misses free throw 1 of 1
10:10.0,Defensive rebound by J. Crowder,,45-53,,
10:02.0,,,45-53,,Shooting block foul by A. Len (drawn by I. Thomas)
10:02.0,I. Thomas makes free throw 1 of 2,1,46-53,,
10:02.0,I. Thomas makes free throw 2 of 2,1,47-53,,
9:46.0,,,47-55,2,E. Bledsoe makes 2-pt shot from 16 ft
9:36.0,I. Thomas makes 3-pt shot from 25 ft,3,50-55,,
9:24.0,,,50-55,,A. Len misses 2-pt shot from 16 ft
9:22.0,Defensive rebound by J. Crowder,,50-55,,
9:12.0,,,50-55,,Personal foul by A. Len (drawn by I. Thomas)
9:01.0,A. Johnson misses 3-pt shot from 24 ft,,50-55,,
8:59.0,,,50-55,,Defensive rebound by D. Booker
8:58.0,Personal foul by J. Jerebko (drawn by D. Booker),,50-55,,
8:47.0,,,50-55,,D. Booker misses 2-pt shot from 22 ft
8:46.0,,,50-55,,Offensive rebound by Team
8:35.0,,,50-57,2,E. Bledsoe makes 2-pt shot from 20 ft
8:17.0,J. Jerebko misses 3-pt shot from 24 ft,,50-57,,
8:16.0,,,50-57,,Defensive rebound by T. Warren
8:11.0,,,50-57,,Shooting foul by J. Jerebko
8:11.0,,,50-59,2,T. Warren makes 2-pt shot from 8 ft
8:11.0,,,50-59,,T. Warren misses free throw 1 of 1
8:11.0,Defensive rebound by J. Brown,,50-59,,
8:01.0,J. Crowder makes 2-pt shot from 19 ft (assist by J. Brown),2,52-59,,
7:56.0,,,52-59,,Shooting foul by J. Brown (drawn by D. Booker)
7:56.0,,,52-60,1,D. Booker makes free throw 1 of 2
7:56.0,,,52-61,1,D. Booker makes free throw 2 of 2
7:43.0,Shooting foul by D. Booker (drawn by J. Brown),,52-61,,
7:43.0,J. Brown makes free throw 1 of 2,1,53-61,,
7:43.0,J. Brown misses free throw 2 of 2,,53-61,,
7:43.0,,,53-61,,T. Ulis enters the game for D. Booker
7:41.0,,,53-61,,Defensive rebound by M. Chriss
7:24.0,,,53-63,2,M. Chriss makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:08.0,I. Thomas misses 2-pt shot from 3 ft,,53-63,,
7:06.0,Offensive rebound by A. Johnson,,53-63,,
7:05.0,A. Johnson makes 2-pt shot from 2 ft,2,55-63,,
6:50.0,,,55-63,,A. Len misses 2-pt shot from 5 ft (block by A. Johnson)
6:47.0,Defensive rebound by A. Johnson,,55-63,,
6:46.0,Jump ball: J. Brown vs. T. Ulis (J. Crowder gains possession),,,,Jump ball: J. Brown vs. T. Ulis (J. Crowder gains possession)
6:32.0,I. Thomas misses 3-pt shot from 25 ft,,55-63,,
6:30.0,,,55-63,,Defensive rebound by M. Chriss
6:25.0,,,55-63,,Shooting foul by A. Johnson (drawn by A. Len)
6:25.0,,,55-64,1,A. Len makes free throw 1 of 2
6:25.0,,,55-65,1,A. Len makes free throw 2 of 2
6:16.0,I. Thomas makes 2-pt shot from 2 ft,2,57-65,,
6:09.0,,,57-67,2,T. Ulis makes 2-pt shot from 7 ft (assist by E. Bledsoe)
5:54.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,59-67,,
5:33.0,,,59-69,2,A. Len makes 2-pt shot from 3 ft (assist by T. Ulis)
5:23.0,J. Brown misses 2-pt shot from 1 ft,,59-69,,
5:21.0,Offensive rebound by J. Brown,,59-69,,
5:21.0,J. Brown makes 2-pt shot from 1 ft,2,61-69,,
5:03.0,,,61-69,,Shooting foul by J. Brown (drawn by E. Bledsoe)
5:03.0,,,61-69,,Phoenix full timeout
5:03.0,,,61-70,1,E. Bledsoe makes free throw 1 of 2
5:03.0,,,61-71,1,E. Bledsoe makes free throw 2 of 2
5:03.0,M. Smart enters the game for A. Johnson,,61-69,,
5:03.0,K. Olynyk enters the game for J. Jerebko,,61-69,,
5:03.0,,,61-70,,A. Williams enters the game for A. Len
4:51.0,Turnover by K. Olynyk (bad pass; steal by A. Williams),,61-71,,
4:47.0,,,61-73,2,E. Bledsoe makes 2-pt shot from 1 ft
4:35.0,J. Crowder makes 2-pt shot from 1 ft (assist by K. Olynyk),2,63-73,,
4:19.0,,,63-75,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
3:55.0,Shooting foul by E. Bledsoe (drawn by J. Brown),,63-75,,
3:55.0,J. Brown makes free throw 1 of 2,1,64-75,,
3:55.0,J. Brown misses free throw 2 of 2,,64-75,,
3:55.0,J. Mickey enters the game for I. Thomas,,64-75,,
3:53.0,,,64-75,,Defensive rebound by A. Williams
3:36.0,,,64-77,2,A. Williams makes 2-pt shot from 5 ft
3:16.0,M. Smart misses 2-pt shot from 4 ft (block by M. Chriss),,64-77,,
3:14.0,,,64-77,,Defensive rebound by T. Ulis
3:11.0,,,64-79,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
3:00.0,,,64-79,,Personal foul by E. Bledsoe (drawn by J. Brown)
3:00.0,J. Brown makes free throw 1 of 2,1,65-79,,
3:00.0,J. Brown makes free throw 2 of 2,1,66-79,,
2:46.0,,,66-79,,E. Bledsoe misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by J. Crowder,,66-79,,
2:41.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Crowder),2,68-79,,
2:28.0,,,68-79,,M. Chriss misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by Team,,68-79,,
2:27.0,Boston full timeout,,68-79,,
2:27.0,,,68-79,,L. Barbosa enters the game for E. Bledsoe
2:27.0,T. Rozier enters the game for J. Crowder,,68-79,,
2:10.0,Shooting foul by T. Warren (drawn by M. Smart),,68-79,,
2:10.0,M. Smart makes free throw 1 of 2,1,69-79,,
2:10.0,M. Smart makes free throw 2 of 2,1,70-79,,
1:57.0,,,70-79,,Shooting foul by J. Brown
1:57.0,,,70-80,1,T. Warren makes free throw 1 of 2
1:57.0,,,70-81,1,T. Warren makes free throw 2 of 2
1:44.0,G. Green enters the game for J. Brown,,70-81,,
1:42.0,,,70-81,,Personal foul by A. Williams (drawn by M. Smart)
1:42.0,M. Smart makes free throw 1 of 2,1,71-81,,
1:42.0,M. Smart misses free throw 2 of 2,,71-81,,
1:40.0,,,71-81,,Defensive rebound by A. Williams
1:31.0,,,71-81,,Turnover by L. Barbosa (step out of bounds)
1:17.0,K. Olynyk misses 3-pt shot from 24 ft,,71-81,,
1:15.0,,,71-81,,Defensive rebound by M. Chriss
1:09.0,,,71-81,,T. Ulis misses 2-pt shot from 3 ft
1:07.0,Defensive rebound by M. Smart,,71-81,,
1:03.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart),3,74-81,,
1:01.0,,,74-81,,Phoenix full timeout
1:01.0,,,74-81,,J. Dudley enters the game for M. Chriss
0:40.0,,,74-81,,L. Barbosa misses 2-pt shot from 3 ft (block by J. Mickey)
0:37.0,Defensive rebound by K. Olynyk,,74-81,,
0:21.0,T. Rozier makes 3-pt shot from 24 ft (assist by J. Mickey),3,77-81,,
0:02.0,,,77-81,,J. Dudley misses 2-pt shot from 22 ft
0:01.0,,,77-81,,Offensive rebound by T. Warren
0:00.0,,,77-81,,T. Warren misses 2-pt shot from 14 ft
0:00.0,,,77-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,77-81,,L. Barbosa misses 2-pt shot from 5 ft
11:41.0,Defensive rebound by J. Mickey,,77-81,,
11:20.0,M. Smart misses 3-pt shot from 24 ft,,77-81,,
11:17.0,,,77-81,,Defensive rebound by T. Ulis
11:11.0,,,77-81,,L. Barbosa misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by Team,,77-81,,
10:56.0,T. Rozier misses 2-pt shot from 2 ft,,77-81,,
10:54.0,Offensive rebound by J. Mickey,,77-81,,
10:54.0,J. Mickey misses 2-pt shot from 1 ft (block by D. Jones),,77-81,,
10:51.0,Offensive rebound by G. Green,,77-81,,
10:51.0,G. Green misses 3-pt shot from 27 ft,,77-81,,
10:51.0,,,77-81,,Defensive rebound by A. Williams
10:51.0,Personal foul by J. Mickey (drawn by A. Williams),,77-81,,
10:36.0,,,77-81,,J. Dudley misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Mickey,,77-81,,
10:29.0,,,77-81,,Shooting block foul by L. Barbosa (drawn by M. Smart)
10:29.0,M. Smart makes free throw 1 of 2,1,78-81,,
10:29.0,M. Smart makes free throw 2 of 2,1,79-81,,
10:29.0,,,78-81,,D. Booker enters the game for L. Barbosa
10:24.0,,,79-81,,Offensive foul by A. Williams
10:24.0,,,79-81,,Turnover by A. Williams (offensive foul)
10:04.0,J. Mickey misses 2-pt shot from 3 ft (block by D. Jones),,79-81,,
10:01.0,,,79-81,,Defensive rebound by D. Booker
10:00.0,,,79-81,,Shooting foul by M. Smart (drawn by D. Booker)
10:00.0,,,79-82,1,D. Booker makes free throw 1 of 2
10:00.0,,,79-82,,D. Booker misses free throw 2 of 2
9:59.0,Defensive rebound by K. Olynyk,,79-82,,
9:45.0,T. Rozier misses 2-pt shot from 21 ft,,79-82,,
9:42.0,,,79-82,,Defensive rebound by D. Booker
9:28.0,,,79-82,,A. Williams misses 2-pt shot from 8 ft
9:27.0,,,79-82,,Offensive rebound by Team
9:27.0,Personal foul by G. Green (drawn by D. Jones),,79-82,,
9:27.0,I. Thomas enters the game for M. Smart,,79-82,,
9:13.0,,,79-82,,T. Ulis misses 2-pt shot from 20 ft
9:12.0,,,79-82,,Offensive rebound by Team
9:12.0,Personal foul by J. Mickey (drawn by A. Williams),,79-82,,
9:08.0,,,79-84,2,D. Booker makes 2-pt shot from 18 ft (assist by T. Ulis)
