time,Brooklyn,pts.away,score,pts.home,Philadelphia
8:00.0,T. Booker misses 3-pt shot from 24 ft,,48-31,,
7:59.0,,,48-31,,Defensive rebound by J. Anderson
7:47.0,,,48-31,,D. Saric misses 3-pt shot from 27 ft
7:46.0,,,48-31,,Offensive rebound by R. Holmes
7:42.0,,,48-34,3,D. Saric makes 3-pt shot from 25 ft (assist by R. Holmes)
7:20.0,K. McDaniels makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,50-34,,
7:03.0,,,50-34,,Turnover by R. Holmes (lost ball; steal by A. Goodwin)
7:01.0,A. Goodwin makes 2-pt shot at rim (assist by S. Dinwiddie),2,52-34,,
7:01.0,Shooting foul by J. Anderson (drawn by A. Goodwin),,52-34,,
7:01.0,A. Goodwin makes free throw 1 of 1,1,53-34,,
7:01.0,B. Lopez enters the game for Q. Acy,,52-34,,
7:01.0,J. Lin enters the game for S. Dinwiddie,,52-34,,
6:47.0,,,53-36,2,R. Holmes makes 2-pt shot from 7 ft (assist by T. Luwawu-Cabarrot)
6:37.0,Turnover by J. Lin (bad pass; steal by T. Luwawu-Cabarrot),,53-36,,
6:31.0,,,53-39,3,J. Anderson makes 3-pt shot from 26 ft (assist by T. McConnell)
6:31.0,,,53-39,,Shooting foul by J. Lin (drawn by J. Anderson)
6:31.0,,,53-39,,J. Anderson misses free throw 1 of 1
6:31.0,S. Kilpatrick enters the game for A. Goodwin,,53-39,,
6:29.0,Defensive rebound by T. Booker,,53-39,,
6:11.0,K. McDaniels makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,56-39,,
6:10.0,,,56-39,,Philadelphia full timeout
6:10.0,C. LeVert enters the game for K. McDaniels,,56-39,,
6:10.0,,,56-39,,A. Poythress enters the game for D. Saric
6:01.0,,,56-39,,Turnover by R. Holmes (lost ball; steal by C. LeVert)
5:43.0,T. Booker makes 2-pt shot from 3 ft (assist by C. LeVert),2,58-39,,
5:43.0,,,58-39,,Violation by J. Anderson (def goaltending)
5:43.0,,,58-39,,Technical foul by J. Anderson
5:43.0,S. Kilpatrick makes technical free throw,1,59-39,,
5:26.0,,,59-42,3,J. Anderson makes 3-pt shot from 26 ft (assist by A. Poythress)
5:14.0,Turnover by C. LeVert (lost ball),,59-42,,
5:14.0,R. Hollis-Jefferson enters the game for T. Booker,,59-42,,
4:56.0,,,59-42,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by S. Kilpatrick,,59-42,,
4:43.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by B. Lopez),2,61-42,,
4:29.0,,,61-42,,J. Anderson misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by C. LeVert,,61-42,,
4:21.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by C. LeVert),3,64-42,,
4:06.0,,,64-45,3,R. Holmes makes 3-pt shot from 25 ft (assist by T. McConnell)
3:51.0,Turnover by R. Hollis-Jefferson (lost ball),,64-45,,
3:51.0,,,64-45,,S. Long enters the game for R. Holmes
3:51.0,,,64-45,,G. Henderson enters the game for T. Luwawu-Cabarrot
3:25.0,,,64-45,,T. McConnell misses 2-pt shot from 12 ft
3:24.0,Defensive rebound by S. Kilpatrick,,64-45,,
3:08.0,B. Lopez makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,67-45,,
3:07.0,,,67-45,,Philadelphia full timeout
3:07.0,,,67-45,,N. Stauskas enters the game for T. McConnell
2:52.0,,,67-45,,S. Long misses 2-pt shot from 4 ft (block by B. Lopez)
2:51.0,Defensive rebound by Team,,67-45,,
2:51.0,,,67-45,,Loose ball foul by S. Long (drawn by B. Lopez)
2:51.0,Brooklyn full timeout,,67-45,,
2:38.0,Shooting foul by S. Long (drawn by B. Lopez),,67-45,,
2:38.0,B. Lopez makes free throw 1 of 2,1,68-45,,
2:38.0,B. Lopez makes free throw 2 of 2,1,69-45,,
2:38.0,,,68-45,,T. Splitter enters the game for S. Long
2:23.0,,,69-45,,A. Poythress misses 2-pt shot from 2 ft (block by B. Lopez)
2:21.0,Defensive rebound by B. Lopez,,69-45,,
2:12.0,S. Kilpatrick makes 3-pt shot from 27 ft (assist by J. Lin),3,72-45,,
1:58.0,,,72-47,2,G. Henderson makes 2-pt shot from 11 ft (assist by T. Splitter)
1:46.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,74-47,,
1:31.0,,,74-49,2,G. Henderson makes 2-pt shot from 12 ft (assist by N. Stauskas)
1:31.0,,,74-49,,Shooting foul by C. LeVert (drawn by G. Henderson)
1:31.0,,,74-50,1,G. Henderson makes free throw 1 of 1
1:31.0,,,74-49,,T. Luwawu-Cabarrot enters the game for J. Anderson
1:25.0,,,74-50,,Personal foul by T. Luwawu-Cabarrot (drawn by J. Lin)
1:25.0,J. Lin misses free throw 1 of 2,,74-50,,
1:25.0,Offensive rebound by Team,,74-50,,
1:25.0,J. Lin makes free throw 2 of 2,1,75-50,,
1:10.0,,,75-50,,T. Splitter misses 3-pt shot from 25 ft
1:09.0,,,75-50,,Offensive rebound by A. Poythress
1:01.0,,,75-50,,G. Henderson misses 2-pt shot from 14 ft
1:00.0,,,75-50,,Offensive rebound by A. Poythress
1:00.0,,,75-50,,A. Poythress misses 2-pt shot from 1 ft
1:00.0,,,75-50,,Offensive rebound by A. Poythress
1:00.0,,,75-52,2,A. Poythress makes 2-pt shot from 1 ft
0:49.0,J. Lin misses 2-pt shot from 5 ft,,75-52,,
0:47.0,,,75-52,,Defensive rebound by G. Henderson
0:47.0,Personal foul by R. Hollis-Jefferson (drawn by G. Henderson),,75-52,,
0:47.0,,,75-52,,G. Henderson misses free throw 1 of 2
0:47.0,,,75-52,,Offensive rebound by Team
0:47.0,,,75-53,1,G. Henderson makes free throw 2 of 2
0:31.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by C. LeVert),3,78-53,,
0:25.0,,,78-53,,N. Stauskas misses 2-pt shot from 12 ft
0:23.0,Defensive rebound by B. Lopez,,78-53,,
0:11.0,J. Lin makes 2-pt shot from 3 ft,2,80-53,,
0:11.0,,,80-53,,Shooting block foul by T. Splitter (drawn by J. Lin)
0:11.0,J. Lin makes free throw 1 of 1,1,81-53,,
0:01.0,,,81-53,,Turnover by N. Stauskas (lost ball; steal by J. Lin)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Violation by Team (delay of game),,81-53,,
11:40.0,R. Foye misses 3-pt shot from 25 ft,,81-53,,
11:39.0,,,81-53,,Defensive rebound by T. McConnell
11:29.0,,,81-53,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
11:28.0,,,81-53,,Offensive rebound by Team
11:19.0,,,81-53,,R. Holmes misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Lin,,81-53,,
11:08.0,B. Lopez misses 2-pt shot from 8 ft (block by R. Holmes),,81-53,,
11:07.0,,,81-53,,Defensive rebound by D. Saric
11:01.0,,,81-53,,Turnover by T. McConnell (bad pass)
10:45.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,81-53,,
10:44.0,Offensive rebound by R. Hollis-Jefferson,,81-53,,
10:41.0,Shooting foul by R. Holmes (drawn by R. Hollis-Jefferson),,81-53,,
10:41.0,R. Hollis-Jefferson misses free throw 1 of 2,,81-53,,
10:41.0,Offensive rebound by Team,,81-53,,
10:41.0,R. Hollis-Jefferson makes free throw 2 of 2,1,82-53,,
10:23.0,,,82-55,2,D. Saric makes 2-pt shot from 17 ft
10:08.0,Turnover by B. Lopez (lost ball; steal by T. Luwawu-Cabarrot),,82-55,,
9:58.0,,,82-57,2,R. Holmes makes 2-pt shot from 8 ft (assist by J. Anderson)
9:57.0,Brooklyn full timeout,,82-57,,
9:53.0,Turnover by C. LeVert (lost ball),,82-57,,
9:42.0,,,82-57,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft
9:41.0,Defensive rebound by J. Lin,,82-57,,
9:38.0,Turnover by J. Lin (lost ball; steal by T. Luwawu-Cabarrot),,82-57,,
9:35.0,Shooting block foul by J. Lin (drawn by T. Luwawu-Cabarrot),,82-57,,
9:35.0,,,82-58,1,T. Luwawu-Cabarrot makes free throw 1 of 2
9:35.0,,,82-59,1,T. Luwawu-Cabarrot makes free throw 2 of 2
9:21.0,C. LeVert misses 3-pt shot from 25 ft,,82-59,,
9:20.0,,,82-59,,Defensive rebound by R. Holmes
9:13.0,,,82-59,,T. McConnell misses 2-pt shot from 3 ft
9:12.0,Defensive rebound by R. Hollis-Jefferson,,82-59,,
9:08.0,Turnover by R. Foye (lost ball),,82-59,,
8:57.0,,,82-59,,D. Saric misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by R. Foye,,82-59,,
8:45.0,B. Lopez makes 2-pt shot from 8 ft (assist by R. Foye),2,84-59,,
8:30.0,,,84-61,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by R. Holmes)
8:19.0,J. Lin makes 2-pt shot from 2 ft,2,86-61,,
8:08.0,,,86-63,2,T. McConnell makes 2-pt shot from 5 ft
7:48.0,C. LeVert makes 2-pt shot from 2 ft,2,88-63,,
7:39.0,,,88-63,,D. Saric misses 2-pt shot from 14 ft
7:38.0,Defensive rebound by C. LeVert,,88-63,,
7:29.0,J. Lin makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,91-63,,
7:22.0,,,91-63,,Philadelphia full timeout
