time,Portland,pts.away,score,pts.home,Indiana
5:32.0,D. Lillard makes 3-pt shot from 25 ft,3,29-14,,
5:17.0,,,29-17,3,T. Young makes 3-pt shot from 25 ft (assist by M. Ellis)
5:02.0,Offensive foul by M. Plumlee,,29-17,,
5:02.0,Turnover by M. Plumlee (offensive foul),,29-17,,
5:02.0,,,29-17,,A. Jefferson enters the game for M. Turner
5:02.0,M. Leonard enters the game for M. Harkless,,29-17,,
5:02.0,A. Crabbe enters the game for M. Plumlee,,29-17,,
5:02.0,E. Turner enters the game for C. McCollum,,29-17,,
4:43.0,,,29-17,,J. Teague misses 2-pt shot from 5 ft
4:43.0,,,29-17,,Offensive rebound by A. Jefferson
4:41.0,,,29-19,2,A. Jefferson makes 2-pt shot from 1 ft
4:21.0,E. Davis makes 2-pt shot from 5 ft (assist by A. Crabbe),2,31-19,,
4:05.0,,,31-19,,P. George misses 2-pt shot from 12 ft
4:04.0,Defensive rebound by E. Turner,,31-19,,
3:56.0,M. Leonard misses 3-pt shot from 25 ft,,31-19,,
3:55.0,,,31-19,,Defensive rebound by A. Jefferson
3:51.0,,,31-19,,Shooting foul by A. Crabbe (drawn by M. Ellis)
3:51.0,,,31-20,1,M. Ellis makes free throw 1 of 2
3:51.0,,,31-21,1,M. Ellis makes free throw 2 of 2
3:51.0,,,31-20,,R. Stuckey enters the game for J. Teague
3:34.0,E. Davis misses 2-pt shot from 2 ft,,31-21,,
3:33.0,,,31-21,,Defensive rebound by A. Jefferson
3:16.0,,,31-21,,T. Young misses 2-pt shot from 1 ft
3:15.0,,,31-21,,Offensive rebound by T. Young
3:12.0,,,31-21,,P. George misses 3-pt shot from 27 ft
3:11.0,Defensive rebound by M. Leonard,,31-21,,
3:01.0,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard),3,34-21,,
2:38.0,,,34-21,,A. Jefferson misses 2-pt shot from 11 ft
2:38.0,Defensive rebound by E. Davis,,34-21,,
2:30.0,D. Lillard makes 3-pt shot from 27 ft,3,37-21,,
2:11.0,,,37-23,2,P. George makes 2-pt shot from 15 ft
1:56.0,A. Crabbe makes 3-pt shot from 27 ft (assist by D. Lillard),3,40-23,,
1:36.0,,,40-26,3,P. George makes 3-pt shot from 26 ft (assist by A. Jefferson)
1:20.0,D. Lillard misses 3-pt shot from 26 ft,,40-26,,
1:20.0,,,40-26,,Defensive rebound by T. Young
1:05.0,,,40-26,,P. George misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by M. Leonard,,40-26,,
0:55.0,D. Lillard misses 2-pt shot from 15 ft,,40-26,,
0:55.0,Offensive rebound by E. Davis,,40-26,,
0:51.0,E. Turner misses 3-pt shot from 25 ft,,40-26,,
0:50.0,,,40-26,,Defensive rebound by A. Jefferson
0:45.0,,,40-28,2,M. Ellis makes 2-pt shot from 2 ft
0:45.0,,,40-28,,Shooting foul by A. Crabbe (drawn by M. Ellis)
0:45.0,Portland full timeout,,40-28,,
0:45.0,,,40-29,1,M. Ellis makes free throw 1 of 1
0:45.0,,,40-28,,C. Miles enters the game for P. George
0:45.0,,,40-28,,G. Robinson enters the game for T. Young
0:45.0,N. Vonleh enters the game for E. Davis,,40-28,,
0:35.0,N. Vonleh makes 2-pt shot from 4 ft (assist by D. Lillard),2,42-29,,
0:17.0,,,42-31,2,A. Jefferson makes 2-pt shot from 11 ft (assist by C. Miles)
0:02.0,D. Lillard misses 2-pt shot from 4 ft (block by A. Jefferson),,42-31,,
0:02.0,Offensive rebound by Team,,42-31,,
0:00.0,N. Vonleh makes 2-pt shot from 20 ft (assist by E. Turner),2,44-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,44-31,,C. Miles misses 3-pt shot from 27 ft
11:49.0,Defensive rebound by A. Crabbe,,44-31,,
11:31.0,Shooting foul by A. Jefferson (drawn by N. Vonleh),,44-31,,
11:31.0,N. Vonleh makes free throw 1 of 2,1,45-31,,
11:31.0,N. Vonleh makes free throw 2 of 2,1,46-31,,
11:08.0,,,46-31,,A. Jefferson misses 2-pt shot from 12 ft
11:08.0,Defensive rebound by N. Vonleh,,46-31,,
10:58.0,C. McCollum misses 2-pt shot from 19 ft,,46-31,,
10:57.0,,,46-31,,Defensive rebound by C. Miles
10:40.0,,,46-31,,C. Miles misses 2-pt shot from 7 ft
10:40.0,,,46-31,,Offensive rebound by A. Jefferson
10:38.0,,,46-33,2,A. Jefferson makes 2-pt shot from 2 ft
10:19.0,M. Leonard makes 2-pt shot from 15 ft (assist by A. Crabbe),2,48-33,,
10:10.0,,,48-35,2,A. Brooks makes 2-pt shot from 11 ft
10:10.0,,,48-35,,Shooting foul by N. Vonleh (drawn by A. Brooks)
10:10.0,,,48-36,1,A. Brooks makes free throw 1 of 1
9:53.0,Turnover by M. Leonard (lost ball; steal by C. Miles),,48-36,,
9:47.0,,,48-38,2,R. Stuckey makes 2-pt shot from 3 ft
9:38.0,C. McCollum misses 2-pt shot from 6 ft,,48-38,,
9:37.0,Offensive rebound by N. Vonleh,,48-38,,
9:36.0,Jump ball: G. Robinson vs. N. Vonleh (C. McCollum gains possession),,,,Jump ball: G. Robinson vs. N. Vonleh (C. McCollum gains possession)
9:21.0,M. Leonard makes 2-pt shot from 2 ft (assist by E. Turner),2,50-38,,
9:12.0,,,50-38,,Turnover by G. Robinson (bad pass; steal by E. Turner)
9:08.0,E. Turner makes 2-pt shot from 2 ft,2,52-38,,
9:00.0,,,52-38,,Indiana full timeout
8:49.0,,,52-38,,A. Jefferson misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by E. Turner,,52-38,,
8:39.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,55-38,,
8:26.0,,,55-38,,A. Brooks misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by C. McCollum,,55-38,,
8:08.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Crabbe),3,58-38,,
7:49.0,,,58-41,3,G. Robinson makes 3-pt shot from 26 ft (assist by C. Miles)
7:20.0,C. McCollum misses 3-pt shot from 32 ft,,58-41,,
7:19.0,,,58-41,,Defensive rebound by G. Robinson
7:07.0,,,58-41,,R. Stuckey misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by M. Leonard,,58-41,,
7:01.0,Turnover by C. McCollum (bad pass; steal by A. Brooks),,58-41,,
6:52.0,,,58-41,,A. Brooks misses 2-pt shot from 2 ft (block by C. McCollum)
6:50.0,Defensive rebound by A. Crabbe,,58-41,,
6:45.0,Turnover by M. Leonard (lost ball),,58-41,,
6:45.0,,,58-41,,M. Turner enters the game for A. Jefferson
6:45.0,,,58-41,,P. George enters the game for C. Miles
6:45.0,,,58-41,,M. Ellis enters the game for G. Robinson
6:29.0,,,58-43,2,P. George makes 2-pt shot from 10 ft
6:09.0,Turnover by C. McCollum (lost ball; steal by A. Brooks),,58-43,,
6:02.0,,,58-43,,Shooting foul by M. Leonard (drawn by M. Ellis)
6:02.0,Portland full timeout,,58-43,,
6:02.0,,,58-44,1,M. Ellis makes free throw 1 of 2
6:02.0,,,58-45,1,M. Ellis makes free throw 2 of 2
6:02.0,M. Harkless enters the game for M. Leonard,,58-43,,
6:02.0,E. Davis enters the game for E. Turner,,58-43,,
6:02.0,M. Plumlee enters the game for N. Vonleh,,58-43,,
6:02.0,,,58-43,,T. Young enters the game for A. Brooks
5:43.0,A. Crabbe makes 2-pt shot from 4 ft,2,60-45,,
5:28.0,,,60-48,3,P. George makes 3-pt shot from 25 ft (assist by R. Stuckey)
5:14.0,M. Harkless makes 2-pt shot from 4 ft (assist by M. Plumlee),2,62-48,,
5:02.0,,,62-48,,R. Stuckey misses 2-pt shot from 19 ft
5:01.0,,,62-48,,Offensive rebound by M. Turner
4:49.0,,,62-48,,P. George misses 2-pt shot from 16 ft
4:48.0,,,62-48,,Offensive rebound by Team
4:48.0,D. Lillard enters the game for C. McCollum,,62-48,,
4:48.0,,,62-48,,J. Teague enters the game for R. Stuckey
4:32.0,,,62-51,3,T. Young makes 3-pt shot from 26 ft (assist by P. George)
4:14.0,E. Davis makes 2-pt shot from 11 ft (assist by M. Plumlee),2,64-51,,
3:57.0,,,64-51,,P. George misses 2-pt shot from 3 ft
3:57.0,Defensive rebound by M. Plumlee,,64-51,,
3:57.0,,,64-51,,Personal foul by P. George (drawn by M. Plumlee)
3:48.0,Turnover by D. Lillard (bad pass; steal by J. Teague),,64-51,,
3:44.0,,,64-51,,Shooting foul by E. Davis (drawn by P. George)
3:44.0,,,64-52,1,P. George makes free throw 1 of 2
3:44.0,,,64-53,1,P. George makes free throw 2 of 2
3:30.0,D. Lillard misses 3-pt shot from 26 ft (block by M. Turner),,64-53,,
3:29.0,Offensive rebound by D. Lillard,,64-53,,
3:25.0,M. Plumlee misses 2-pt shot from 3 ft,,64-53,,
3:25.0,Offensive rebound by E. Davis,,64-53,,
3:24.0,Turnover by E. Davis (lost ball; steal by T. Young),,64-53,,
3:24.0,Jump ball: D. Lillard vs. J. Teague,,,,Jump ball: D. Lillard vs. J. Teague
3:11.0,,,64-53,,T. Young misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by E. Davis,,64-53,,
2:52.0,M. Harkless makes 3-pt shot from 25 ft (assist by E. Davis),3,67-53,,
2:37.0,,,67-53,,J. Teague misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by M. Plumlee,,67-53,,
2:26.0,Official timeout,,67-53,,
2:26.0,Turnover by Team (5 sec inbounds),,67-53,,
2:15.0,,,67-53,,M. Turner misses 2-pt shot from 13 ft
2:13.0,,,67-53,,Offensive rebound by M. Turner
2:13.0,,,67-55,2,M. Turner makes 2-pt shot from 3 ft
1:56.0,D. Lillard makes 2-pt shot from 1 ft,2,69-55,,
1:45.0,,,69-57,2,M. Turner makes 2-pt shot from 5 ft (assist by T. Young)
1:45.0,,,69-57,,Shooting foul by D. Lillard (drawn by M. Turner)
1:45.0,,,69-58,1,M. Turner makes free throw 1 of 1
1:45.0,C. McCollum enters the game for A. Crabbe,,69-57,,
1:27.0,D. Lillard misses 3-pt shot from 24 ft,,69-58,,
1:26.0,Offensive rebound by M. Plumlee,,69-58,,
1:26.0,M. Plumlee makes 2-pt shot from 2 ft,2,71-58,,
1:11.0,,,71-58,,Turnover by P. George (bad pass)
0:57.0,C. McCollum misses 3-pt shot from 24 ft,,71-58,,
0:56.0,,,71-58,,Defensive rebound by M. Turner
0:51.0,,,71-61,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
0:33.0,D. Lillard misses 2-pt shot from 4 ft (block by M. Turner),,71-61,,
0:33.0,,,71-61,,Defensive rebound by M. Turner
0:33.0,Jump ball: D. Lillard vs. M. Turner (J. Teague gains possession),,,,Jump ball: D. Lillard vs. M. Turner (J. Teague gains possession)
0:25.0,,,71-64,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
0:05.0,D. Lillard misses 2-pt shot from 4 ft (block by M. Turner),,71-64,,
0:05.0,Offensive rebound by Team,,71-64,,
0:05.0,Portland full timeout,,71-64,,
0:05.0,E. Turner enters the game for E. Davis,,71-64,,
0:05.0,A. Crabbe enters the game for M. Plumlee,,71-64,,
0:05.0,,,71-64,,R. Stuckey enters the game for M. Ellis
0:01.0,M. Harkless misses 2-pt shot from 2 ft,,71-64,,
0:00.0,,,71-64,,Defensive rebound by T. Young
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,71-67,3,J. Teague makes 3-pt shot from 25 ft (assist by M. Turner)
11:25.0,D. Lillard misses 3-pt shot from 27 ft (block by J. Teague),,71-67,,
11:24.0,,,71-67,,Defensive rebound by P. George
11:08.0,,,71-67,,Turnover by J. Teague (offensive foul)
11:08.0,,,71-67,,Offensive charge foul by J. Teague
10:51.0,M. Harkless misses 3-pt shot from 23 ft,,71-67,,
10:51.0,Offensive rebound by M. Harkless,,71-67,,
10:46.0,C. McCollum makes 3-pt shot from 28 ft (assist by E. Davis),3,74-67,,
10:27.0,,,74-69,2,G. Robinson makes 2-pt shot from 19 ft
10:16.0,E. Davis misses 2-pt shot from 4 ft (block by T. Young),,74-69,,
10:15.0,,,74-69,,Defensive rebound by T. Young
10:08.0,,,74-72,3,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague)
9:49.0,C. McCollum makes 2-pt shot from 15 ft (assist by D. Lillard),2,76-72,,
9:24.0,,,76-72,,Turnover by T. Young (lost ball; steal by E. Davis)
9:05.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,79-72,,
8:59.0,,,79-72,,Shooting foul by D. Lillard (drawn by J. Teague)
8:59.0,,,79-72,,J. Teague misses free throw 1 of 2
8:59.0,,,79-72,,Offensive rebound by Team
8:59.0,,,79-73,1,J. Teague makes free throw 2 of 2
8:57.0,Turnover by E. Davis (bad pass; steal by J. Teague),,79-73,,
8:56.0,,,79-73,,J. Teague misses 2-pt shot from 5 ft
8:56.0,,,79-73,,Offensive rebound by Team
8:56.0,,,79-73,,Turnover by J. Teague (bad pass)
8:38.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,82-73,,
8:19.0,,,82-76,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
8:01.0,C. McCollum makes 3-pt shot from 26 ft,3,85-76,,
7:43.0,,,85-76,,M. Turner misses 2-pt shot from 4 ft (block by E. Davis)
7:42.0,Defensive rebound by E. Davis,,85-76,,
7:21.0,,,85-76,,Shooting block foul by M. Turner (drawn by D. Lillard)
7:21.0,D. Lillard makes free throw 1 of 2,1,86-76,,
7:21.0,D. Lillard makes free throw 2 of 2,1,87-76,,
7:14.0,Personal foul by M. Harkless (drawn by P. George),,87-76,,
7:11.0,,,87-76,,Shooting foul by D. Lillard (drawn by P. George)
7:11.0,,,87-76,,P. George misses free throw 1 of 2
7:11.0,,,87-76,,Offensive rebound by Team
7:11.0,,,87-77,1,P. George makes free throw 2 of 2
6:59.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,90-77,,
6:41.0,,,90-80,3,T. Young makes 3-pt shot from 25 ft (assist by P. George)
6:34.0,C. McCollum misses 3-pt shot from 26 ft,,90-80,,
6:34.0,,,90-80,,Defensive rebound by T. Young
6:26.0,,,90-80,,Turnover by T. Young (lost ball; steal by E. Davis)
6:15.0,D. Lillard misses 3-pt shot from 26 ft,,90-80,,
6:14.0,,,90-80,,Defensive rebound by M. Turner
5:52.0,,,90-83,3,T. Young makes 3-pt shot from 24 ft (assist by J. Teague)
5:40.0,,,90-83,,Personal foul by G. Robinson (drawn by C. McCollum)
5:40.0,,,90-83,,Indiana full timeout
5:25.0,M. Plumlee makes 2-pt shot from 4 ft (assist by C. McCollum),2,92-83,,
5:06.0,,,92-83,,P. George misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by M. Plumlee,,92-83,,
4:57.0,C. McCollum makes 2-pt shot from 18 ft,2,94-83,,
4:44.0,,,94-83,,Turnover by P. George (bad pass)
4:44.0,E. Turner enters the game for M. Harkless,,94-83,,
4:31.0,Turnover by C. McCollum (bad pass; steal by M. Turner),,94-83,,
4:25.0,,,94-85,2,T. Young makes 2-pt shot from 4 ft (assist by J. Teague)
3:58.0,C. McCollum misses 2-pt shot from 20 ft,,94-85,,
3:57.0,Offensive rebound by C. McCollum,,94-85,,
3:46.0,Offensive charge foul by M. Plumlee,,94-85,,
3:46.0,Turnover by M. Plumlee (offensive foul),,94-85,,
3:46.0,M. Leonard enters the game for M. Plumlee,,94-85,,
3:46.0,,,94-85,,R. Stuckey enters the game for G. Robinson
3:33.0,,,94-88,3,T. Young makes 3-pt shot from 25 ft (assist by J. Teague)
3:08.0,D. Lillard misses 3-pt shot from 26 ft (block by T. Young),,94-88,,
3:07.0,,,94-88,,Defensive rebound by M. Turner
3:00.0,,,94-88,,Turnover by R. Stuckey (bad pass; steal by E. Turner)
2:53.0,Turnover by E. Turner (bad pass; steal by P. George),,94-88,,
2:45.0,,,94-88,,P. George misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by M. Leonard,,94-88,,
2:37.0,Shooting foul by R. Stuckey (drawn by D. Lillard),,94-88,,
2:37.0,Portland full timeout,,94-88,,
2:37.0,D. Lillard makes free throw 1 of 2,1,95-88,,
2:37.0,D. Lillard makes free throw 2 of 2,1,96-88,,
2:37.0,A. Crabbe enters the game for C. McCollum,,94-88,,
2:37.0,,,94-88,,C. Miles enters the game for P. George
2:37.0,,,94-88,,A. Brooks enters the game for J. Teague
2:18.0,,,96-88,,R. Stuckey misses 3-pt shot from 26 ft
2:17.0,,,96-88,,Offensive rebound by T. Young
2:17.0,,,96-90,2,T. Young makes 2-pt shot from 2 ft
1:57.0,E. Turner misses 2-pt shot from 12 ft,,96-90,,
1:57.0,,,96-90,,Defensive rebound by R. Stuckey
1:38.0,,,96-90,,Offensive charge foul by T. Young
1:38.0,,,96-90,,Turnover by T. Young (offensive foul)
1:23.0,Turnover by E. Turner (back court),,96-90,,
1:11.0,,,96-90,,Turnover by R. Stuckey (bad pass; steal by A. Crabbe)
1:00.0,E. Turner misses 2-pt shot from 6 ft (block by C. Miles),,96-90,,
1:00.0,Offensive rebound by Team,,96-90,,
0:52.0,M. Leonard misses 3-pt shot from 28 ft,,96-90,,
0:51.0,,,96-90,,Defensive rebound by R. Stuckey
0:41.0,,,96-90,,A. Brooks misses 2-pt shot from 20 ft
0:40.0,Defensive rebound by A. Crabbe,,96-90,,
0:31.0,D. Lillard makes 2-pt shot from 2 ft,2,98-90,,
0:09.0,C. McCollum enters the game for D. Lillard,,98-90,,
0:06.0,,,98-90,,C. Miles misses 3-pt shot from 26 ft
0:02.0,,,98-90,,Offensive rebound by A. Brooks
0:00.0,,,98-90,,A. Brooks misses 3-pt shot from 28 ft
0:00.0,,,98-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Leonard misses 2-pt shot from 19 ft,,98-90,,
11:42.0,,,98-90,,Defensive rebound by C. Miles
11:18.0,,,98-90,,A. Jefferson misses 2-pt shot from 9 ft
11:18.0,Defensive rebound by E. Davis,,98-90,,
11:06.0,A. Crabbe misses 2-pt shot from 20 ft,,98-90,,
11:05.0,,,98-90,,Defensive rebound by A. Brooks
10:56.0,,,98-93,3,T. Young makes 3-pt shot from 25 ft (assist by A. Brooks)
10:31.0,E. Turner misses 2-pt shot from 13 ft,,98-93,,
10:30.0,,,98-93,,Defensive rebound by A. Jefferson
10:16.0,,,98-93,,Shooting foul by M. Leonard (drawn by A. Jefferson)
10:16.0,,,98-93,,A. Jefferson misses free throw 1 of 2
10:16.0,,,98-93,,Offensive rebound by Team
10:16.0,,,98-94,1,A. Jefferson makes free throw 2 of 2
10:16.0,M. Harkless enters the game for E. Davis,,98-93,,
10:01.0,C. McCollum misses 2-pt shot from 19 ft,,98-94,,
10:01.0,,,98-94,,Defensive rebound by A. Jefferson
9:53.0,,,98-94,,Turnover by A. Brooks (traveling)
9:39.0,M. Leonard misses 3-pt shot from 26 ft,,98-94,,
9:39.0,,,98-94,,Defensive rebound by A. Jefferson
9:34.0,Shooting block foul by A. Crabbe (drawn by R. Stuckey),,98-94,,
9:34.0,,,98-95,1,R. Stuckey makes free throw 1 of 2
9:34.0,,,98-96,1,R. Stuckey makes free throw 2 of 2
9:15.0,Turnover by A. Crabbe (bad pass),,98-96,,
8:52.0,,,98-96,,A. Brooks misses 2-pt shot from 2 ft
8:51.0,,,98-96,,Offensive rebound by T. Young
8:34.0,,,98-98,2,A. Jefferson makes 2-pt shot from 2 ft (assist by A. Brooks)
8:34.0,,,98-98,,Shooting foul by E. Turner (drawn by A. Jefferson)
8:34.0,Official timeout,,98-98,,
8:34.0,,,98-99,1,A. Jefferson makes free throw 1 of 1
8:34.0,,,98-98,,P. George enters the game for T. Young
8:19.0,C. McCollum makes 2-pt shot from 14 ft,2,100-99,,
8:06.0,,,100-99,,Offensive foul by R. Stuckey
8:06.0,,,100-99,,Turnover by R. Stuckey (offensive foul)
8:06.0,D. Lillard enters the game for E. Turner,,100-99,,
7:53.0,C. McCollum makes 3-pt shot from 26 ft,3,103-99,,
7:34.0,,,103-99,,A. Jefferson misses 2-pt shot from 10 ft
7:33.0,Defensive rebound by C. McCollum,,103-99,,
7:24.0,C. McCollum makes 2-pt shot from 7 ft,2,105-99,,
7:16.0,,,105-99,,Indiana full timeout
7:16.0,,,105-99,,J. Teague enters the game for A. Jefferson
7:16.0,,,105-99,,M. Turner enters the game for A. Brooks
6:56.0,,,105-99,,Shooting foul by D. Lillard (drawn by M. Turner)
6:56.0,,,105-100,1,M. Turner makes free throw 1 of 3
6:56.0,,,105-101,1,M. Turner makes free throw 2 of 3
6:56.0,,,105-101,,M. Turner misses free throw 3 of 3
6:56.0,Defensive rebound by A. Crabbe,,105-101,,
6:56.0,,,105-101,,T. Young enters the game for C. Miles
6:38.0,M. Leonard misses 3-pt shot from 25 ft,,105-101,,
6:37.0,,,105-101,,Defensive rebound by J. Teague
6:21.0,,,105-103,2,P. George makes 2-pt shot from 11 ft
6:04.0,C. McCollum misses 2-pt shot from 3 ft,,105-103,,
6:03.0,,,105-103,,Defensive rebound by T. Young
5:46.0,,,105-103,,P. George misses 2-pt shot from 7 ft
5:46.0,,,105-103,,Offensive rebound by M. Turner
5:38.0,,,105-103,,J. Teague misses 2-pt shot from 3 ft
5:38.0,Defensive rebound by A. Crabbe,,105-103,,
5:20.0,C. McCollum misses 3-pt shot from 26 ft,,105-103,,
5:20.0,,,105-103,,Defensive rebound by T. Young
5:04.0,,,105-105,2,P. George makes 2-pt shot from 21 ft
4:49.0,D. Lillard misses 3-pt shot from 25 ft,,105-105,,
4:48.0,,,105-105,,Defensive rebound by P. George
4:36.0,,,105-107,2,P. George makes 2-pt shot from 17 ft
4:36.0,,,105-107,,Shooting foul by A. Crabbe (drawn by P. George)
4:36.0,Portland full timeout,,105-107,,
4:36.0,,,105-108,1,P. George makes free throw 1 of 1
4:36.0,E. Turner enters the game for A. Crabbe,,105-107,,
4:36.0,M. Plumlee enters the game for M. Leonard,,105-107,,
4:22.0,Turnover by D. Lillard (bad pass),,105-108,,
4:06.0,,,105-108,,P. George misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by E. Turner,,105-108,,
4:00.0,Turnover by M. Harkless (bad pass; steal by P. George),,105-108,,
3:50.0,,,105-110,2,P. George makes 2-pt shot from 16 ft
3:29.0,M. Harkless misses 3-pt shot from 26 ft,,105-110,,
3:29.0,,,105-110,,Defensive rebound by Team
3:29.0,E. Davis enters the game for E. Turner,,105-110,,
3:15.0,,,105-110,,Turnover by J. Teague (bad pass; steal by M. Harkless)
3:07.0,Shooting foul by M. Turner (drawn by D. Lillard),,105-110,,
3:07.0,D. Lillard makes free throw 1 of 2,1,106-110,,
3:07.0,D. Lillard makes free throw 2 of 2,1,107-110,,
2:49.0,,,107-110,,P. George misses 2-pt shot from 16 ft
2:48.0,Defensive rebound by C. McCollum,,107-110,,
2:31.0,E. Davis misses 2-pt shot from 7 ft (block by T. Young),,107-110,,
2:30.0,,,107-110,,Defensive rebound by M. Turner
2:08.0,,,107-110,,R. Stuckey misses 2-pt shot from 20 ft
2:07.0,Defensive rebound by M. Plumlee,,107-110,,
1:52.0,D. Lillard makes 2-pt shot from 4 ft,2,109-110,,
1:37.0,,,109-112,2,P. George makes 2-pt shot from 20 ft (assist by R. Stuckey)
1:21.0,Turnover by M. Plumlee (lost ball; steal by T. Young),,109-112,,
1:00.0,,,109-112,,T. Young misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by M. Plumlee,,109-112,,
0:53.0,D. Lillard misses 3-pt shot from 26 ft,,109-112,,
0:51.0,,,109-112,,Defensive rebound by P. George
