time,Denver,pts.away,score,pts.home,Minnesota
6:03.0,,,12-15,2,K. Towns makes 2-pt shot from 5 ft (assist by G. Dieng)
5:38.0,D. Arthur misses 3-pt shot from 23 ft,,12-15,,
5:36.0,,,12-15,,Defensive rebound by K. Dunn
5:28.0,,,12-15,,Shooting foul by D. Arthur (drawn by A. Wiggins)
5:28.0,,,12-16,1,A. Wiggins makes free throw 1 of 2
5:28.0,,,12-17,1,A. Wiggins makes free throw 2 of 2
5:28.0,J. Nelson enters the game for J. Murray,,12-16,,
5:06.0,E. Mudiay makes 2-pt shot from 17 ft,2,14-17,,
4:51.0,,,14-19,2,K. Dunn makes 2-pt shot from 2 ft
4:30.0,D. Arthur misses 2-pt shot from 21 ft,,14-19,,
4:27.0,Offensive rebound by K. Faried,,14-19,,
4:27.0,K. Faried makes 2-pt shot from 1 ft,2,16-19,,
4:11.0,,,16-19,,K. Towns misses 2-pt shot from 8 ft
4:10.0,,,16-19,,Offensive rebound by K. Towns
4:09.0,,,16-21,2,K. Towns makes 2-pt shot from 1 ft
3:49.0,Turnover by J. Nelson (bad pass),,16-21,,
3:38.0,,,16-24,3,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn)
3:24.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,16-24,,
3:24.0,D. Gallinari makes free throw 1 of 2,1,17-24,,
3:24.0,D. Gallinari makes free throw 2 of 2,1,18-24,,
3:24.0,,,17-24,,B. Rush enters the game for Z. LaVine
3:24.0,W. Chandler enters the game for D. Arthur,,17-24,,
3:13.0,,,18-26,2,A. Wiggins makes 2-pt shot from 16 ft (assist by K. Dunn)
2:56.0,E. Mudiay misses 2-pt shot from 22 ft,,18-26,,
2:55.0,Offensive rebound by J. Nelson,,18-26,,
2:51.0,W. Chandler misses 3-pt shot from 24 ft,,18-26,,
2:50.0,,,18-26,,Defensive rebound by B. Rush
2:37.0,,,18-29,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
2:36.0,Denver full timeout,,18-29,,
2:36.0,,,18-29,,Minnesota full timeout
2:36.0,,,18-29,,N. Bjelica enters the game for K. Towns
2:27.0,E. Mudiay misses 2-pt shot from 1 ft (block by G. Dieng),,18-29,,
2:26.0,,,18-29,,Defensive rebound by K. Dunn
2:21.0,,,18-31,2,N. Bjelica makes 2-pt shot at rim (assist by K. Dunn)
2:06.0,J. Nelson misses 2-pt shot from 12 ft,,18-31,,
2:05.0,,,18-31,,Defensive rebound by N. Bjelica
1:52.0,Shooting block foul by W. Chandler (drawn by A. Wiggins),,18-31,,
1:52.0,,,18-32,1,A. Wiggins makes free throw 1 of 2
1:52.0,,,18-33,1,A. Wiggins makes free throw 2 of 2
1:52.0,J. Nurkic enters the game for K. Faried,,18-32,,
1:52.0,J. Murray enters the game for E. Mudiay,,18-32,,
1:39.0,W. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,20-33,,
1:15.0,,,20-33,,B. Rush misses 2-pt shot from 1 ft
1:14.0,,,20-33,,Offensive rebound by A. Wiggins
1:13.0,,,20-35,2,A. Wiggins makes 2-pt shot from 2 ft
0:56.0,Shooting foul by K. Dunn (drawn by W. Chandler),,20-35,,
0:56.0,W. Chandler makes free throw 1 of 2,1,21-35,,
0:56.0,W. Chandler misses free throw 2 of 2,,21-35,,
0:56.0,J. Hernangomez enters the game for D. Gallinari,,21-35,,
0:55.0,Offensive rebound by Team,,21-35,,
0:53.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Murray),2,23-35,,
0:34.0,,,23-35,,N. Bjelica misses 2-pt shot at rim (block by J. Nurkic)
0:33.0,Defensive rebound by J. Hernangomez,,23-35,,
0:25.0,J. Hernangomez makes 2-pt shot at rim (assist by J. Nurkic),2,25-35,,
0:05.0,,,25-37,2,G. Dieng makes 2-pt shot from 10 ft (assist by K. Dunn)
0:00.0,J. Murray misses 2-pt shot from 10 ft,,25-37,,
0:00.0,Offensive rebound by Team,,25-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Nurkic misses 2-pt shot from 2 ft,,25-37,,
11:39.0,Offensive rebound by W. Chandler,,25-37,,
11:37.0,W. Chandler misses 2-pt shot from 4 ft,,25-37,,
11:36.0,Offensive rebound by W. Chandler,,25-37,,
11:35.0,W. Chandler makes 2-pt shot from 2 ft,2,27-37,,
11:13.0,,,27-37,,T. Jones misses 2-pt shot from 20 ft
11:12.0,,,27-37,,Offensive rebound by G. Dieng
11:08.0,,,27-37,,Turnover by G. Dieng (bad pass; steal by J. Nurkic)
11:00.0,J. Murray misses 3-pt shot from 23 ft,,27-37,,
10:58.0,,,27-37,,Defensive rebound by N. Bjelica
10:55.0,Personal foul by W. Chandler (drawn by S. Muhammad),,27-37,,
10:46.0,,,27-37,,S. Muhammad misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by J. Nurkic,,27-37,,
10:34.0,J. Nurkic misses 2-pt shot at rim (block by B. Rush),,27-37,,
10:30.0,,,27-37,,Defensive rebound by G. Dieng
10:23.0,,,27-37,,G. Dieng misses 2-pt shot from 20 ft
10:20.0,Defensive rebound by J. Murray,,27-37,,
10:09.0,J. Nurkic makes 2-pt shot from 5 ft,2,29-37,,
9:52.0,,,29-37,,Turnover by G. Dieng (traveling)
9:52.0,,,29-37,,C. Aldrich enters the game for G. Dieng
9:47.0,,,29-37,,Personal foul by T. Jones (drawn by J. Nelson)
9:38.0,J. Nurkic makes 2-pt shot from 2 ft (assist by J. Nelson),2,31-37,,
9:32.0,,,31-37,,Offensive foul by C. Aldrich
9:32.0,,,31-37,,Turnover by C. Aldrich (offensive foul)
9:32.0,,,31-37,,K. Towns enters the game for N. Bjelica
9:15.0,J. Murray misses 2-pt shot from 21 ft,,31-37,,
9:14.0,Offensive rebound by J. Nurkic,,31-37,,
9:13.0,J. Nurkic makes 2-pt shot from 1 ft,2,33-37,,
9:13.0,Shooting foul by C. Aldrich (drawn by J. Nurkic),,33-37,,
9:13.0,J. Nurkic makes free throw 1 of 1,1,34-37,,
8:57.0,,,34-40,3,K. Towns makes 3-pt shot from 24 ft (assist by T. Jones)
8:46.0,J. Nurkic makes 2-pt shot at rim (assist by J. Nelson),2,36-40,,
8:35.0,,,36-40,,S. Muhammad misses 2-pt shot from 12 ft
8:34.0,Defensive rebound by W. Chandler,,36-40,,
8:29.0,W. Chandler makes 2-pt shot from 1 ft,2,38-40,,
8:29.0,,,38-40,,Minnesota full timeout
8:29.0,,,38-40,,K. Dunn enters the game for T. Jones
8:29.0,,,38-40,,Z. LaVine enters the game for B. Rush
8:19.0,Personal foul by J. Nurkic (drawn by K. Towns),,38-40,,
8:05.0,,,38-40,,Turnover by K. Towns (lost ball; steal by J. Nurkic)
7:50.0,Turnover by J. Hernangomez (traveling),,38-40,,
7:39.0,,,38-40,,Shooting foul by J. Nurkic (drawn by K. Towns)
7:39.0,,,38-41,1,K. Towns makes free throw 1 of 2
7:39.0,,,38-41,,K. Towns misses free throw 2 of 2
7:39.0,Defensive rebound by D. Arthur,,38-41,,
7:39.0,N. Jokic enters the game for J. Nurkic,,38-41,,
7:39.0,D. Arthur enters the game for J. Hernangomez,,38-41,,
7:30.0,,,38-41,,Personal foul by K. Dunn (drawn by J. Nelson)
7:20.0,J. Nelson makes 2-pt shot from 2 ft,2,40-41,,
7:01.0,,,40-44,3,S. Muhammad makes 3-pt shot from 24 ft (assist by Z. LaVine)
6:47.0,,,40-44,,Violation by K. Towns (kicked ball)
6:47.0,,,40-44,,A. Wiggins enters the game for S. Muhammad
6:47.0,,,40-44,,G. Dieng enters the game for C. Aldrich
6:47.0,E. Mudiay enters the game for J. Nelson,,40-44,,
6:33.0,E. Mudiay misses 2-pt shot from 1 ft,,40-44,,
6:32.0,,,40-44,,Defensive rebound by K. Dunn
6:24.0,,,40-46,2,K. Towns makes 2-pt shot from 2 ft
6:14.0,Shooting foul by K. Towns (drawn by W. Chandler),,40-46,,
6:14.0,W. Chandler makes free throw 1 of 2,1,41-46,,
6:14.0,W. Chandler makes free throw 2 of 2,1,42-46,,
6:02.0,D. Gallinari enters the game for W. Chandler,,42-46,,
6:00.0,,,42-49,3,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Wiggins)
5:58.0,Denver full timeout,,42-49,,
5:49.0,,,42-49,,Violation by K. Dunn (kicked ball)
5:39.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur),2,44-49,,
5:21.0,,,44-49,,Z. LaVine misses 3-pt shot from 24 ft
5:19.0,,,44-49,,Offensive rebound by Z. LaVine
5:16.0,,,44-51,2,Z. LaVine makes 2-pt shot at rim
5:03.0,Turnover by J. Murray (bad pass; steal by K. Dunn),,44-51,,
4:57.0,,,44-51,,Turnover by K. Dunn (lost ball; steal by E. Mudiay)
4:51.0,Turnover by E. Mudiay (lost ball; steal by K. Towns),,44-51,,
4:44.0,,,44-51,,Shooting foul by D. Arthur (drawn by Z. LaVine)
4:44.0,,,44-52,1,Z. LaVine makes free throw 1 of 2
4:44.0,,,44-53,1,Z. LaVine makes free throw 2 of 2
4:44.0,K. Faried enters the game for N. Jokic,,44-52,,
4:44.0,J. Nelson enters the game for J. Murray,,44-52,,
4:24.0,D. Arthur makes 2-pt shot from 13 ft (assist by D. Gallinari),2,46-53,,
4:03.0,,,46-53,,Z. LaVine misses 2-pt shot from 1 ft
4:01.0,,,46-53,,Offensive rebound by K. Towns
4:00.0,,,46-53,,K. Towns misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by D. Arthur,,46-53,,
3:54.0,J. Nelson misses 3-pt shot from 25 ft,,46-53,,
3:52.0,,,46-53,,Defensive rebound by A. Wiggins
3:43.0,,,46-56,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
3:33.0,J. Nelson makes 2-pt shot from 1 ft,2,48-56,,
3:18.0,,,48-56,,Z. LaVine misses 2-pt shot from 14 ft
3:17.0,Defensive rebound by K. Faried,,48-56,,
3:12.0,E. Mudiay makes 2-pt shot from 2 ft (assist by J. Nelson),2,50-56,,
3:12.0,Shooting foul by A. Wiggins (drawn by E. Mudiay),,50-56,,
3:12.0,E. Mudiay makes free throw 1 of 1,1,51-56,,
3:01.0,,,51-56,,Shooting foul by E. Mudiay (drawn by K. Dunn)
3:01.0,,,51-57,1,K. Dunn makes free throw 1 of 2
3:01.0,,,51-57,,K. Dunn misses free throw 2 of 2
3:00.0,Defensive rebound by K. Faried,,51-57,,
2:49.0,Offensive charge foul by K. Faried,,51-57,,
2:49.0,Turnover by K. Faried (offensive foul),,51-57,,
2:49.0,,,51-57,,Minnesota full timeout
2:49.0,W. Chandler enters the game for D. Arthur,,51-57,,
2:39.0,,,51-57,,A. Wiggins misses 2-pt shot from 17 ft
2:38.0,Defensive rebound by J. Nelson,,51-57,,
2:31.0,E. Mudiay misses 2-pt shot from 1 ft (block by K. Towns),,51-57,,
2:29.0,,,51-57,,Defensive rebound by K. Dunn
2:10.0,,,51-57,,K. Dunn misses 2-pt shot from 6 ft
2:10.0,Defensive rebound by Team,,51-57,,
1:50.0,K. Faried makes 2-pt shot from 10 ft (assist by J. Nelson),2,53-57,,
1:34.0,,,53-57,,Turnover by G. Dieng (bad pass; steal by K. Faried)
1:27.0,E. Mudiay misses 3-pt shot from 24 ft,,53-57,,
1:25.0,Offensive rebound by Team,,53-57,,
1:16.0,Turnover by W. Chandler (traveling),,53-57,,
1:16.0,J. Hernangomez enters the game for W. Chandler,,53-57,,
1:00.0,,,53-57,,K. Towns misses 2-pt shot from 9 ft
1:00.0,,,53-57,,Offensive rebound by K. Dunn
1:00.0,,,53-57,,K. Dunn misses 2-pt shot from 1 ft
0:58.0,Defensive rebound by J. Hernangomez,,53-57,,
0:53.0,Turnover by E. Mudiay (bad pass; steal by Z. LaVine),,53-57,,
0:50.0,,,53-59,2,Z. LaVine makes 2-pt shot at rim
0:40.0,Shooting foul by G. Dieng (drawn by E. Mudiay),,53-59,,
0:40.0,E. Mudiay makes free throw 1 of 2,1,54-59,,
0:40.0,E. Mudiay makes free throw 2 of 2,1,55-59,,
0:31.0,,,55-59,,K. Dunn misses 2-pt shot from 17 ft
0:30.0,,,55-59,,Offensive rebound by G. Dieng
0:10.0,,,55-59,,Z. LaVine misses 2-pt shot from 2 ft
0:09.0,,,55-59,,Offensive rebound by K. Towns
0:09.0,,,55-61,2,K. Towns makes 2-pt shot at rim
0:00.0,D. Gallinari misses 3-pt shot from 25 ft,,55-61,,
0:00.0,Offensive rebound by Team,,55-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,55-61,,Personal foul by Z. LaVine (drawn by J. Nurkic)
11:43.0,Turnover by J. Nurkic (bad pass),,55-61,,
11:28.0,,,55-63,2,K. Towns makes 2-pt shot from 7 ft (assist by K. Dunn)
11:08.0,Turnover by N. Jokic (traveling),,55-63,,
10:56.0,,,55-63,,A. Wiggins misses 2-pt shot from 15 ft
10:55.0,Defensive rebound by N. Jokic,,55-63,,
10:49.0,D. Gallinari makes 3-pt shot from 24 ft (assist by N. Jokic),3,58-63,,
10:49.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,58-63,,
10:49.0,D. Gallinari makes free throw 1 of 1,1,59-63,,
10:37.0,,,59-63,,G. Dieng misses 2-pt shot from 13 ft
10:35.0,,,59-63,,Offensive rebound by K. Towns
10:29.0,,,59-65,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
10:17.0,Shooting foul by G. Dieng (drawn by J. Nurkic),,59-65,,
10:17.0,J. Nurkic misses free throw 1 of 2,,59-65,,
10:17.0,Offensive rebound by Team,,59-65,,
10:17.0,J. Nurkic misses free throw 2 of 2,,59-65,,
10:17.0,,,59-65,,Defensive rebound by A. Wiggins
9:53.0,,,59-65,,A. Wiggins misses 2-pt shot from 17 ft
9:52.0,Defensive rebound by D. Gallinari,,59-65,,
9:41.0,N. Jokic makes 2-pt shot from 11 ft (assist by D. Gallinari),2,61-65,,
9:32.0,,,61-65,,K. Dunn misses 2-pt shot from 14 ft
9:31.0,Defensive rebound by E. Mudiay,,61-65,,
9:27.0,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,63-65,,
9:26.0,,,63-65,,Minnesota full timeout
9:15.0,,,63-65,,K. Towns misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by J. Murray,,63-65,,
9:04.0,E. Mudiay misses 2-pt shot from 10 ft,,63-65,,
9:02.0,,,63-65,,Defensive rebound by K. Towns
8:57.0,Personal foul by D. Gallinari (drawn by K. Towns),,63-65,,
8:44.0,,,63-65,,G. Dieng misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by E. Mudiay,,63-65,,
8:32.0,J. Nurkic makes 2-pt shot from 4 ft,2,65-65,,
8:16.0,,,65-65,,Shooting foul by N. Jokic (drawn by K. Towns)
8:16.0,,,65-66,1,K. Towns makes free throw 1 of 2
8:16.0,,,65-66,,Turnover by G. Dieng (lane violation.)
8:02.0,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic),2,67-66,,
7:45.0,,,67-66,,A. Wiggins misses 2-pt shot from 7 ft
7:43.0,Defensive rebound by E. Mudiay,,67-66,,
7:38.0,Offensive charge foul by E. Mudiay,,67-66,,
7:38.0,Turnover by E. Mudiay (offensive foul),,67-66,,
7:18.0,,,67-66,,A. Wiggins misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by E. Mudiay,,67-66,,
7:04.0,J. Nurkic misses 2-pt shot from 2 ft (block by K. Towns),,67-66,,
7:03.0,,,67-66,,Defensive rebound by G. Dieng
6:55.0,,,67-68,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Dunn)
6:37.0,E. Mudiay misses 3-pt shot from 25 ft,,67-68,,
6:36.0,,,67-68,,Defensive rebound by K. Towns
6:20.0,,,67-68,,G. Dieng misses 2-pt shot from 18 ft
6:19.0,Defensive rebound by E. Mudiay,,67-68,,
6:15.0,J. Nurkic makes 2-pt shot at rim (assist by J. Murray),2,69-68,,
6:15.0,,,69-68,,Minnesota full timeout
6:15.0,J. Nelson enters the game for J. Murray,,69-68,,
6:00.0,,,69-68,,K. Towns misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by N. Jokic,,69-68,,
5:49.0,Shooting foul by K. Dunn (drawn by J. Nurkic),,69-68,,
5:49.0,J. Nurkic makes free throw 1 of 2,1,70-68,,
5:49.0,J. Nurkic makes free throw 2 of 2,1,71-68,,
5:29.0,,,71-68,,Z. LaVine misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by Team,,71-68,,
5:28.0,,,71-68,,Loose ball foul by G. Dieng (drawn by N. Jokic)
5:28.0,N. Jokic misses free throw 1 of 2,,71-68,,
5:28.0,Offensive rebound by Team,,71-68,,
5:28.0,N. Jokic makes free throw 2 of 2,1,72-68,,
5:15.0,,,72-68,,Turnover by K. Dunn (bad pass; steal by E. Mudiay)
5:02.0,E. Mudiay misses 3-pt shot from 24 ft,,72-68,,
5:01.0,Offensive rebound by Team,,72-68,,
5:01.0,,,72-68,,Flagrant foul type 1 by G. Dieng (drawn by J. Nurkic)
5:01.0,J. Nurkic misses flagrant free throw 1 of 2,,72-68,,
5:01.0,Offensive rebound by Team,,72-68,,
5:01.0,J. Nurkic makes flagrant free throw 2 of 2,1,73-68,,
5:01.0,,,73-68,,N. Bjelica enters the game for G. Dieng
4:53.0,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nelson),3,76-68,,
4:34.0,,,76-68,,Shooting foul by J. Nurkic (drawn by K. Towns)
4:34.0,,,76-69,1,K. Towns makes free throw 1 of 2
4:34.0,,,76-70,1,K. Towns makes free throw 2 of 2
4:34.0,W. Chandler enters the game for J. Nurkic,,76-69,,
4:20.0,J. Nelson makes 2-pt shot from 20 ft (assist by N. Jokic),2,78-70,,
4:04.0,,,78-70,,A. Wiggins misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by D. Gallinari,,78-70,,
3:59.0,,,78-70,,Personal foul by K. Towns (drawn by N. Jokic)
3:59.0,N. Jokic misses free throw 1 of 2,,78-70,,
3:59.0,Offensive rebound by Team,,78-70,,
3:59.0,N. Jokic makes free throw 2 of 2,1,79-70,,
3:38.0,,,79-70,,Turnover by K. Dunn (bad pass; steal by E. Mudiay)
3:31.0,J. Nelson misses 2-pt shot from 22 ft,,79-70,,
3:29.0,,,79-70,,Defensive rebound by Z. LaVine
3:22.0,,,79-70,,K. Dunn misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by J. Nelson,,79-70,,
3:12.0,E. Mudiay misses 2-pt shot from 11 ft,,79-70,,
3:11.0,Offensive rebound by N. Jokic,,79-70,,
3:11.0,N. Jokic makes 2-pt shot at rim,2,81-70,,
2:50.0,,,81-70,,Z. LaVine misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by W. Chandler,,81-70,,
2:38.0,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic),2,83-70,,
2:37.0,,,83-70,,Minnesota full timeout
2:37.0,,,83-70,,T. Jones enters the game for K. Dunn
2:37.0,,,83-70,,S. Muhammad enters the game for A. Wiggins
2:37.0,J. Murray enters the game for E. Mudiay,,83-70,,
2:37.0,K. Faried enters the game for N. Jokic,,83-70,,
2:16.0,,,83-72,2,N. Bjelica makes 2-pt shot from 6 ft
1:51.0,Turnover by J. Nelson (bad pass; steal by S. Muhammad),,83-72,,
1:43.0,,,83-74,2,K. Towns makes 2-pt shot from 7 ft (assist by Z. LaVine)
1:25.0,J. Nelson makes 3-pt shot from 24 ft,3,86-74,,
1:05.0,,,86-74,,Z. LaVine misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by K. Faried,,86-74,,
0:54.0,Turnover by J. Nelson (bad pass),,86-74,,
0:34.0,,,86-74,,Turnover by N. Bjelica (discontinued dribble)
0:22.0,,,86-74,,Personal foul by Z. LaVine (drawn by J. Nelson)
0:22.0,J. Nelson makes free throw 1 of 2,1,87-74,,
0:22.0,J. Nelson makes free throw 2 of 2,1,88-74,,
0:22.0,J. Hernangomez enters the game for D. Gallinari,,87-74,,
0:05.0,,,88-74,,Shooting foul by J. Murray (drawn by Z. LaVine)
0:05.0,,,88-74,,Z. LaVine misses free throw 1 of 2
0:05.0,,,88-74,,Offensive rebound by Team
0:05.0,,,88-75,1,Z. LaVine makes free throw 2 of 2
0:00.0,W. Chandler misses 2-pt shot from 6 ft,,88-75,,
0:00.0,Offensive rebound by Team,,88-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,88-77,2,C. Aldrich makes 2-pt shot at rim (assist by N. Bjelica)
11:35.0,W. Chandler misses 3-pt shot from 25 ft,,88-77,,
11:35.0,,,88-77,,Defensive rebound by N. Bjelica
11:35.0,Personal foul by J. Hernangomez,,88-77,,
11:19.0,,,88-77,,N. Bjelica misses 2-pt shot at rim (block by K. Faried)
11:18.0,Defensive rebound by W. Chandler,,88-77,,
11:13.0,W. Chandler makes 2-pt shot from 1 ft,2,90-77,,
10:54.0,,,90-77,,T. Jones misses 3-pt shot from 25 ft
10:53.0,,,90-77,,Offensive rebound by Team
10:53.0,Loose ball foul by J. Hernangomez,,90-77,,
10:47.0,,,90-77,,S. Muhammad misses 2-pt shot from 5 ft
10:44.0,Defensive rebound by J. Nelson,,90-77,,
10:38.0,Turnover by J. Nelson (bad pass; steal by C. Aldrich),,90-77,,
10:27.0,,,90-77,,N. Bjelica misses 2-pt shot from 6 ft
10:26.0,Defensive rebound by K. Faried,,90-77,,
10:26.0,,,90-77,,Personal foul by C. Aldrich (drawn by K. Faried)
10:02.0,J. Murray misses 3-pt shot from 26 ft,,90-77,,
10:01.0,Offensive rebound by Team,,90-77,,
10:01.0,Turnover by Team (shot clock),,90-77,,
9:49.0,,,90-77,,Turnover by N. Bjelica (bad pass; steal by W. Chandler)
9:43.0,J. Murray misses 3-pt shot from 23 ft,,90-77,,
9:41.0,,,90-77,,Defensive rebound by N. Bjelica
9:36.0,Personal foul by J. Murray (drawn by N. Bjelica),,90-77,,
9:28.0,,,90-77,,N. Bjelica misses 3-pt shot from 23 ft
9:24.0,,,90-77,,Offensive rebound by N. Bjelica
9:18.0,,,90-77,,T. Jones misses 2-pt shot at rim
9:17.0,,,90-77,,Offensive rebound by S. Muhammad
9:16.0,,,90-79,2,S. Muhammad makes 2-pt shot from 1 ft
9:16.0,Denver full timeout,,90-79,,
8:59.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nelson),2,92-79,,
8:38.0,,,92-79,,C. Aldrich misses 2-pt shot from 11 ft
8:36.0,,,92-79,,Offensive rebound by N. Bjelica
8:36.0,,,92-79,,N. Bjelica misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by J. Nelson,,92-79,,
8:34.0,Turnover by J. Nelson (step out of bounds),,92-79,,
8:27.0,,,92-82,3,N. Bjelica makes 3-pt shot from 23 ft (assist by B. Rush)
8:14.0,Offensive foul by W. Chandler,,92-82,,
8:14.0,Turnover by W. Chandler (offensive foul),,92-82,,
8:14.0,D. Gallinari enters the game for J. Hernangomez,,92-82,,
8:14.0,J. Nurkic enters the game for K. Faried,,92-82,,
7:58.0,,,92-82,,Shooting foul by J. Nelson (drawn by N. Bjelica)
7:58.0,,,92-83,1,N. Bjelica makes free throw 1 of 2
7:58.0,,,92-84,1,N. Bjelica makes free throw 2 of 2
7:35.0,J. Nelson makes 3-pt shot from 24 ft,3,95-84,,
7:09.0,,,95-87,3,N. Bjelica makes 3-pt shot from 25 ft
6:47.0,J. Murray misses 2-pt shot from 11 ft,,95-87,,
6:46.0,,,95-87,,Defensive rebound by N. Bjelica
6:40.0,,,95-87,,Turnover by N. Bjelica (bad pass; steal by J. Nelson)
6:35.0,W. Chandler makes 2-pt shot at rim (assist by J. Murray),2,97-87,,
6:35.0,Shooting foul by N. Bjelica (drawn by W. Chandler),,97-87,,
6:35.0,W. Chandler misses free throw 1 of 1,,97-87,,
