time,Philadelphia,pts.away,score,pts.home,LA Clippers
1:57.0,,,25-26,3,C. Paul makes 3-pt shot from 25 ft (assist by A. Rivers)
1:38.0,Turnover by S. Rodriguez (bad pass; steal by A. Rivers),,25-26,,
1:32.0,,,25-28,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:16.0,R. Holmes makes 2-pt shot from 3 ft (assist by N. Stauskas),2,27-28,,
1:07.0,,,27-28,,R. Felton enters the game for C. Paul
1:07.0,,,27-28,,LA Clippers full timeout
1:07.0,,,27-28,,W. Johnson enters the game for J. Redick
1:07.0,D. Saric enters the game for R. Covington,,27-28,,
0:56.0,,,27-31,3,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers)
0:45.0,D. Saric makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,30-31,,
0:34.0,,,30-31,,Shooting foul by D. Saric (drawn by A. Rivers)
0:34.0,,,30-32,1,A. Rivers makes free throw 1 of 2
0:34.0,,,30-32,,A. Rivers misses free throw 2 of 2
0:33.0,Defensive rebound by J. Anderson,,30-32,,
0:24.0,Turnover by S. Rodriguez (bad pass; steal by D. Jordan),,30-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Saric misses 3-pt shot from 24 ft,,30-32,,
11:42.0,,,30-32,,Defensive rebound by Team
11:31.0,,,30-32,,Turnover by A. Rivers (lost ball; steal by N. Stauskas)
11:20.0,,,30-32,,Violation by R. Felton (kicked ball)
11:05.0,D. Saric misses 2-pt shot from 13 ft,,30-32,,
11:03.0,,,30-32,,Defensive rebound by M. Speights
10:56.0,,,30-34,2,J. Crawford makes 2-pt shot from 19 ft (assist by M. Speights)
10:40.0,J. Anderson makes 2-pt shot at rim (assist by S. Rodriguez),2,32-34,,
10:21.0,,,32-34,,J. Crawford misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by S. Rodriguez,,32-34,,
10:02.0,S. Rodriguez misses 2-pt shot from 15 ft,,32-34,,
10:02.0,Offensive rebound by Team,,32-34,,
10:02.0,,,32-34,,B. Griffin enters the game for W. Johnson
9:46.0,J. Okafor makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,34-34,,
9:32.0,,,34-37,3,M. Speights makes 3-pt shot from 24 ft (assist by J. Crawford)
9:18.0,S. Rodriguez makes 2-pt shot from 1 ft,2,36-37,,
9:05.0,,,36-39,2,M. Speights makes 2-pt shot from 21 ft (assist by B. Griffin)
8:50.0,D. Saric makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,38-39,,
8:39.0,,,38-39,,J. Crawford misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by N. Stauskas,,38-39,,
8:15.0,D. Saric misses 2-pt shot from 18 ft,,38-39,,
8:14.0,,,38-39,,Defensive rebound by B. Griffin
8:06.0,,,38-39,,Turnover by M. Speights (lost ball)
8:06.0,Official timeout,,38-39,,
8:06.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,38-39,,
8:06.0,Violation by Team (jump ball),,38-39,,
7:49.0,Shooting foul by M. Speights (drawn by J. Okafor),,38-39,,
7:49.0,J. Okafor makes free throw 1 of 2,1,39-39,,
7:49.0,J. Okafor makes free throw 2 of 2,1,40-39,,
7:25.0,,,40-41,2,A. Rivers makes 2-pt shot from 1 ft
7:19.0,,,40-41,,Personal foul by A. Rivers (drawn by T. Luwawu-Cabarrot)
7:19.0,R. Covington enters the game for D. Saric,,40-41,,
7:04.0,J. Okafor makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,42-41,,
6:59.0,Personal foul by R. Covington (drawn by B. Griffin),,42-41,,
6:59.0,,,42-41,,C. Paul enters the game for J. Crawford
6:49.0,Personal foul by R. Covington (drawn by A. Rivers),,42-41,,
6:49.0,,,42-41,,D. Jordan enters the game for M. Speights
6:49.0,D. Saric enters the game for R. Covington,,42-41,,
6:43.0,,,42-41,,A. Rivers misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by J. Anderson,,42-41,,
6:28.0,J. Okafor misses 2-pt shot from 17 ft,,42-41,,
6:26.0,,,42-41,,Defensive rebound by B. Griffin
6:19.0,,,42-41,,Turnover by A. Rivers (lost ball; steal by J. Okafor)
6:11.0,S. Rodriguez misses 3-pt shot from 25 ft,,42-41,,
6:08.0,Offensive rebound by J. Anderson,,42-41,,
6:08.0,J. Anderson misses 2-pt shot at rim,,42-41,,
6:06.0,,,42-41,,Defensive rebound by D. Jordan
5:58.0,,,42-43,2,D. Jordan makes 2-pt shot from 6 ft (assist by C. Paul)
5:58.0,Philadelphia full timeout,,42-43,,
5:58.0,,,42-43,,J. Redick enters the game for A. Rivers
5:58.0,T. McConnell enters the game for J. Anderson,,42-43,,
5:58.0,N. Stauskas enters the game for S. Rodriguez,,42-43,,
5:46.0,Shooting foul by C. Paul (drawn by T. Luwawu-Cabarrot),,42-43,,
5:46.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,43-43,,
5:46.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,44-43,,
5:34.0,,,44-45,2,B. Griffin makes 2-pt shot from 8 ft
5:20.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,44-45,,
5:19.0,,,44-45,,Defensive rebound by R. Felton
5:13.0,Flagrant foul type 1 by T. Luwawu-Cabarrot (drawn by B. Griffin),,44-45,,
5:13.0,,,44-46,1,B. Griffin makes flagrant free throw 1 of 2
5:13.0,,,44-47,1,B. Griffin makes flagrant free throw 2 of 2
5:13.0,R. Holmes enters the game for J. Okafor,,44-45,,
4:54.0,,,44-47,,J. Redick misses 3-pt shot from 25 ft
4:54.0,,,44-47,,Offensive rebound by D. Jordan
4:45.0,,,44-49,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
4:26.0,D. Saric misses 2-pt shot from 19 ft,,44-49,,
4:25.0,,,44-49,,Defensive rebound by B. Griffin
4:10.0,,,44-51,2,R. Felton makes 2-pt shot from 2 ft (assist by B. Griffin)
3:49.0,R. Holmes misses 2-pt shot from 13 ft,,44-51,,
3:48.0,,,44-51,,Defensive rebound by D. Jordan
3:37.0,,,44-51,,C. Paul misses 2-pt shot from 18 ft
3:37.0,Defensive rebound by D. Saric,,44-51,,
3:30.0,Shooting foul by D. Jordan (drawn by R. Holmes),,44-51,,
3:30.0,,,44-51,,LA Clippers full timeout
3:30.0,R. Holmes misses free throw 1 of 2,,44-51,,
3:30.0,Offensive rebound by Team,,44-51,,
3:30.0,R. Holmes misses free throw 2 of 2,,44-51,,
3:29.0,,,44-51,,Defensive rebound by D. Jordan
3:09.0,,,44-51,,B. Griffin misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by D. Saric,,44-51,,
3:05.0,Turnover by D. Saric (bad pass; steal by R. Felton),,44-51,,
2:51.0,,,44-51,,C. Paul misses 2-pt shot from 8 ft
2:48.0,Defensive rebound by R. Holmes,,44-51,,
2:39.0,N. Stauskas makes 3-pt shot from 25 ft,3,47-51,,
2:30.0,,,47-51,,Shooting foul by R. Holmes (drawn by D. Jordan)
2:30.0,,,47-51,,D. Jordan misses free throw 1 of 2
2:30.0,,,47-51,,Offensive rebound by Team
2:30.0,,,47-52,1,D. Jordan makes free throw 2 of 2
2:19.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,49-52,,
2:14.0,Personal take foul by T. McConnell,,49-52,,
2:14.0,,,49-53,1,D. Jordan makes free throw 1 of 2
2:14.0,,,49-54,1,D. Jordan makes free throw 2 of 2
2:14.0,,,49-53,,J. Crawford enters the game for R. Felton
2:00.0,N. Stauskas misses 2-pt shot from 13 ft,,49-54,,
2:00.0,,,49-54,,Defensive rebound by D. Jordan
1:36.0,,,49-54,,C. Paul misses 2-pt shot from 14 ft
1:35.0,Defensive rebound by R. Holmes,,49-54,,
1:29.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,52-54,,
1:03.0,,,52-56,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:55.0,Shooting foul by B. Griffin (drawn by D. Saric),,52-56,,
0:55.0,D. Saric makes free throw 1 of 2,1,53-56,,
0:55.0,D. Saric makes free throw 2 of 2,1,54-56,,
0:38.0,,,54-56,,J. Redick misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by R. Holmes,,54-56,,
0:34.0,Philadelphia full timeout,,54-56,,
0:29.0,R. Holmes makes 3-pt shot from 25 ft (assist by T. McConnell),3,57-56,,
0:06.0,,,57-56,,J. Crawford misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by R. Holmes,,57-56,,
0:01.0,D. Saric misses 3-pt shot from 24 ft,,57-56,,
0:00.0,Offensive rebound by Team,,57-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,57-56,,Personal foul by J. Redick (drawn by D. Saric)
11:27.0,Turnover by J. Okafor (bad pass; steal by J. Redick),,57-56,,
11:16.0,,,57-58,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by B. Griffin)
10:51.0,D. Saric makes 2-pt shot from 6 ft,2,59-58,,
10:37.0,,,59-58,,B. Griffin misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by J. Okafor,,59-58,,
10:29.0,R. Covington misses 3-pt shot from 25 ft,,59-58,,
10:27.0,,,59-58,,Defensive rebound by D. Jordan
10:17.0,,,59-58,,Shooting foul by D. Saric (drawn by B. Griffin)
10:17.0,,,59-59,1,B. Griffin makes free throw 1 of 2
10:17.0,,,59-60,1,B. Griffin makes free throw 2 of 2
10:06.0,Turnover by D. Saric (traveling),,59-60,,
9:47.0,,,59-62,2,C. Paul makes 2-pt shot from 17 ft (assist by D. Jordan)
9:28.0,T. McConnell makes 3-pt shot from 26 ft (assist by J. Okafor),3,62-62,,
9:14.0,,,62-64,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
9:02.0,D. Saric makes 2-pt shot from 2 ft (assist by J. Okafor),2,64-64,,
8:48.0,,,64-64,,B. Griffin misses 2-pt shot from 20 ft
8:47.0,Defensive rebound by R. Covington,,64-64,,
8:41.0,Turnover by J. Okafor (lost ball; steal by B. Griffin),,64-64,,
8:28.0,,,64-64,,Turnover by B. Griffin (lost ball; steal by R. Covington)
8:19.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell),2,66-64,,
7:50.0,,,66-64,,B. Griffin misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by R. Covington,,66-64,,
7:39.0,Turnover by J. Okafor (lost ball; steal by B. Griffin),,66-64,,
7:33.0,,,66-66,2,C. Paul makes 2-pt shot from 14 ft
7:21.0,T. McConnell makes 2-pt shot from 2 ft,2,68-66,,
7:00.0,,,68-66,,Turnover by L. Mbah a Moute (bad pass; steal by T. McConnell)
6:54.0,J. Okafor makes 2-pt shot at rim (assist by T. McConnell),2,70-66,,
6:54.0,,,70-66,,LA Clippers full timeout
6:54.0,R. Holmes enters the game for J. Okafor,,70-66,,
6:54.0,,,70-66,,J. Crawford enters the game for L. Mbah a Moute
6:38.0,,,70-66,,J. Crawford misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by R. Holmes,,70-66,,
6:22.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,72-66,,
6:07.0,,,72-66,,J. Crawford misses 2-pt shot from 13 ft
6:06.0,Defensive rebound by D. Saric,,72-66,,
6:06.0,,,72-66,,Personal foul by D. Jordan (drawn by D. Saric)
5:47.0,R. Holmes misses 2-pt shot from 1 ft,,72-66,,
5:46.0,,,72-66,,Defensive rebound by B. Griffin
5:36.0,,,72-66,,C. Paul misses 2-pt shot from 14 ft
5:34.0,Defensive rebound by T. Luwawu-Cabarrot,,72-66,,
5:25.0,T. McConnell misses 2-pt shot from 9 ft,,72-66,,
5:23.0,,,72-66,,Defensive rebound by J. Redick
5:17.0,,,72-66,,J. Crawford misses 3-pt shot from 24 ft
5:14.0,,,72-66,,Offensive rebound by B. Griffin
5:11.0,,,72-66,,Turnover by B. Griffin (lost ball; steal by R. Covington)
5:07.0,Turnover by R. Covington (lost ball; steal by C. Paul),,72-66,,
5:06.0,,,72-66,,LA Clippers full timeout
5:06.0,,,72-66,,W. Johnson enters the game for B. Griffin
5:06.0,,,72-66,,R. Felton enters the game for J. Redick
5:06.0,N. Stauskas enters the game for D. Saric,,72-66,,
4:59.0,,,72-68,2,C. Paul makes 2-pt shot from 7 ft
4:45.0,N. Stauskas misses 3-pt shot from 24 ft,,72-68,,
4:44.0,,,72-68,,Defensive rebound by C. Paul
4:34.0,,,72-70,2,R. Felton makes 2-pt shot from 1 ft
4:20.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,72-70,,
4:20.0,,,72-70,,Defensive rebound by Team
4:20.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,72-70,,
4:05.0,,,72-72,2,C. Paul makes 2-pt shot from 15 ft
3:38.0,N. Stauskas misses 3-pt shot from 24 ft,,72-72,,
3:37.0,,,72-72,,Defensive rebound by D. Jordan
3:23.0,,,72-72,,R. Felton misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by R. Holmes,,72-72,,
3:13.0,T. McConnell makes 2-pt shot from 19 ft,2,74-72,,
3:00.0,,,74-75,3,C. Paul makes 3-pt shot from 25 ft
2:59.0,Philadelphia full timeout,,74-75,,
2:47.0,R. Covington misses 3-pt shot from 24 ft,,74-75,,
2:46.0,,,74-75,,Defensive rebound by C. Paul
2:37.0,,,74-75,,Turnover by C. Paul (bad pass; steal by R. Covington)
2:32.0,R. Covington makes 2-pt shot at rim,2,76-75,,
2:12.0,,,76-75,,R. Felton misses 2-pt shot from 1 ft
2:11.0,Defensive rebound by R. Covington,,76-75,,
1:57.0,R. Covington makes 2-pt shot from 18 ft (assist by N. Stauskas),2,78-75,,
1:38.0,Personal foul by J. Anderson (drawn by D. Jordan),,78-75,,
1:38.0,S. Rodriguez enters the game for T. McConnell,,78-75,,
1:38.0,,,78-75,,A. Rivers enters the game for C. Paul
1:29.0,,,78-75,,J. Crawford misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by J. Anderson,,78-75,,
1:14.0,N. Stauskas misses 2-pt shot from 1 ft (block by D. Jordan),,78-75,,
1:13.0,Offensive rebound by R. Covington,,78-75,,
1:08.0,Turnover by J. Anderson (lost ball; steal by R. Felton),,78-75,,
1:03.0,,,78-75,,A. Rivers misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by J. Anderson,,78-75,,
0:53.0,,,78-75,,Personal take foul by D. Jordan (drawn by R. Holmes)
0:34.0,R. Holmes misses 3-pt shot from 26 ft,,78-75,,
0:34.0,,,78-75,,Defensive rebound by D. Jordan
0:28.0,,,78-75,,J. Crawford misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by N. Stauskas,,78-75,,
0:17.0,R. Holmes misses 2-pt shot from 6 ft,,78-75,,
0:17.0,,,78-75,,Defensive rebound by D. Jordan
0:14.0,,,78-75,,Technical foul by J. Crawford
0:14.0,N. Stauskas makes technical free throw,1,79-75,,
0:14.0,T. Luwawu-Cabarrot enters the game for S. Rodriguez,,79-75,,
0:02.0,,,79-75,,R. Felton misses 2-pt shot from 22 ft
0:00.0,,,79-75,,Offensive rebound by D. Jordan
0:00.0,,,79-75,,D. Jordan misses 2-pt shot from 2 ft
0:00.0,,,79-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,79-75,,M. Speights misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by S. Rodriguez,,79-75,,
11:16.0,J. Okafor misses 2-pt shot from 21 ft,,79-75,,
11:16.0,,,79-75,,Defensive rebound by Team
11:16.0,,,79-75,,B. Griffin enters the game for W. Johnson
11:04.0,,,79-75,,A. Rivers misses 2-pt shot from 1 ft (block by D. Saric)
11:04.0,,,79-75,,Offensive rebound by B. Griffin
11:04.0,,,79-77,2,B. Griffin makes 2-pt shot from 1 ft
11:04.0,,,79-77,,Shooting foul by N. Stauskas (drawn by B. Griffin)
11:04.0,,,79-78,1,B. Griffin makes free throw 1 of 1
10:47.0,Turnover by N. Stauskas (lost ball; steal by B. Griffin),,79-78,,
10:41.0,,,79-80,2,M. Speights makes 2-pt shot from 2 ft (assist by B. Griffin)
10:41.0,Philadelphia full timeout,,79-80,,
10:27.0,,,79-80,,Personal foul by M. Speights (drawn by J. Okafor)
10:16.0,Turnover by D. Saric (bad pass; steal by J. Crawford),,79-80,,
10:06.0,,,79-80,,A. Rivers misses 3-pt shot from 23 ft
10:06.0,,,79-80,,Offensive rebound by Team
10:04.0,,,79-80,,Turnover by A. Rivers (lost ball; steal by J. Anderson)
9:49.0,D. Saric misses 2-pt shot from 19 ft,,79-80,,
9:46.0,,,79-80,,Defensive rebound by M. Speights
9:40.0,,,79-82,2,A. Rivers makes 2-pt shot from 1 ft (assist by B. Griffin)
9:19.0,S. Rodriguez misses 3-pt shot from 25 ft,,79-82,,
9:19.0,,,79-82,,Defensive rebound by A. Rivers
9:04.0,,,79-84,2,R. Felton makes 2-pt shot from 1 ft
8:45.0,J. Okafor misses 2-pt shot from 2 ft,,79-84,,
8:43.0,Offensive rebound by J. Anderson,,79-84,,
8:41.0,Turnover by D. Saric (bad pass; steal by A. Rivers),,79-84,,
8:39.0,,,79-84,,Shooting foul by N. Stauskas (drawn by A. Rivers)
8:39.0,,,79-85,1,A. Rivers makes free throw 1 of 2
8:39.0,,,79-85,,A. Rivers misses free throw 2 of 2
8:39.0,R. Covington enters the game for D. Saric,,79-85,,
8:39.0,T. Luwawu-Cabarrot enters the game for J. Anderson,,79-85,,
8:38.0,Defensive rebound by J. Okafor,,79-85,,
8:23.0,R. Covington makes 2-pt shot from 9 ft (assist by J. Okafor),2,81-85,,
8:23.0,Shooting foul by M. Speights (drawn by R. Covington),,81-85,,
8:23.0,R. Covington makes free throw 1 of 1,1,82-85,,
8:11.0,,,82-85,,J. Crawford misses 2-pt shot from 16 ft
8:09.0,Defensive rebound by T. Luwawu-Cabarrot,,82-85,,
7:59.0,N. Stauskas misses 2-pt shot from 2 ft,,82-85,,
7:58.0,,,82-85,,Defensive rebound by B. Griffin
7:53.0,Personal foul by R. Covington (drawn by B. Griffin),,82-85,,
7:53.0,R. Holmes enters the game for J. Okafor,,82-85,,
7:44.0,,,82-87,2,M. Speights makes 2-pt shot from 2 ft (assist by B. Griffin)
7:29.0,N. Stauskas misses 3-pt shot from 24 ft,,82-87,,
7:27.0,Offensive rebound by T. Luwawu-Cabarrot,,82-87,,
7:21.0,N. Stauskas makes 2-pt shot from 1 ft,2,84-87,,
7:08.0,,,84-87,,B. Griffin misses 2-pt shot from 1 ft
7:07.0,Defensive rebound by T. Luwawu-Cabarrot,,84-87,,
7:03.0,S. Rodriguez makes 2-pt shot from 1 ft,2,86-87,,
7:03.0,,,86-87,,LA Clippers full timeout
6:45.0,,,86-89,2,M. Speights makes 2-pt shot from 3 ft (assist by A. Rivers)
6:45.0,,,86-89,,Violation by Team (jump ball)
6:32.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,88-89,,
6:18.0,,,88-89,,A. Rivers misses 2-pt shot from 2 ft
6:18.0,,,88-89,,Offensive rebound by B. Griffin
6:18.0,,,88-91,2,B. Griffin makes 2-pt shot at rim
6:00.0,,,88-91,,Personal foul by A. Rivers (drawn by S. Rodriguez)
6:00.0,,,88-91,,C. Paul enters the game for R. Felton
6:00.0,D. Saric enters the game for N. Stauskas,,88-91,,
6:00.0,T. McConnell enters the game for S. Rodriguez,,88-91,,
5:44.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,90-91,,
5:20.0,,,90-93,2,J. Crawford makes 2-pt shot from 18 ft
5:13.0,Shooting foul by B. Griffin (drawn by R. Holmes),,90-93,,
5:13.0,R. Holmes makes free throw 1 of 2,1,91-93,,
5:13.0,R. Holmes makes free throw 2 of 2,1,92-93,,
5:13.0,,,91-93,,D. Jordan enters the game for M. Speights
5:13.0,,,91-93,,J. Redick enters the game for A. Rivers
4:57.0,,,92-93,,J. Crawford misses 2-pt shot from 16 ft
4:56.0,,,92-93,,Offensive rebound by D. Jordan
4:48.0,,,92-95,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
4:28.0,D. Saric misses 2-pt shot from 20 ft,,92-95,,
4:28.0,,,92-95,,Defensive rebound by C. Paul
4:18.0,,,92-97,2,C. Paul makes 2-pt shot from 8 ft
4:18.0,Philadelphia full timeout,,92-97,,
4:07.0,Offensive foul by R. Holmes,,92-97,,
4:07.0,Turnover by R. Holmes (offensive foul),,92-97,,
3:49.0,,,92-97,,B. Griffin misses 2-pt shot from 2 ft
3:49.0,Jump ball: B. Griffin vs. D. Saric (R. Holmes gains possession),,,,Jump ball: B. Griffin vs. D. Saric (R. Holmes gains possession)
3:49.0,,,92-97,,Offensive rebound by Team
3:47.0,Loose ball foul by D. Saric (drawn by B. Griffin),,92-97,,
3:39.0,Personal foul by R. Holmes (drawn by J. Crawford),,92-97,,
3:39.0,,,92-98,1,J. Crawford makes free throw 1 of 2
3:39.0,,,92-99,1,J. Crawford makes free throw 2 of 2
3:23.0,R. Covington misses 2-pt shot from 11 ft,,92-99,,
3:20.0,,,92-99,,Defensive rebound by B. Griffin
3:17.0,Personal take foul by T. McConnell,,92-99,,
3:17.0,,,92-100,1,D. Jordan makes free throw 1 of 2
3:17.0,,,92-100,,D. Jordan misses free throw 2 of 2
3:16.0,Defensive rebound by T. McConnell,,92-100,,
3:04.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,94-100,,
2:50.0,,,94-103,3,C. Paul makes 3-pt shot from 25 ft
2:37.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,96-103,,
2:30.0,Personal take foul by T. McConnell,,96-103,,
2:30.0,,,96-104,1,D. Jordan makes free throw 1 of 2
2:30.0,,,96-105,1,D. Jordan makes free throw 2 of 2
2:18.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,96-105,,
