time,Toronto,pts.away,score,pts.home,Utah
3:15.0,C. Joseph makes 2-pt shot from 17 ft,2,16-16,,
2:55.0,,,16-18,2,G. Hayward makes 2-pt shot from 1 ft (assist by J. Ingles)
2:36.0,D. DeRozan makes 2-pt shot from 14 ft,2,18-18,,
2:24.0,,,18-20,2,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles)
2:24.0,,,18-20,,Shooting foul by L. Nogueira (drawn by G. Hayward)
2:24.0,,,18-21,1,G. Hayward makes free throw 1 of 1
2:24.0,N. Powell enters the game for T. Ross,,18-20,,
2:07.0,D. DeRozan makes 2-pt shot from 15 ft,2,20-21,,
1:49.0,,,20-24,3,J. Ingles makes 3-pt shot from 24 ft
1:39.0,,,20-24,,Personal foul by J. Ingles (drawn by D. DeRozan)
1:39.0,,,20-24,,J. Johnson enters the game for G. Hayward
1:26.0,L. Nogueira makes 2-pt shot at rim (assist by P. Patterson),2,22-24,,
1:11.0,,,22-24,,Shooting foul by D. DeRozan (drawn by J. Ingles)
1:11.0,,,22-25,1,J. Ingles makes free throw 1 of 3
1:11.0,,,22-26,1,J. Ingles makes free throw 2 of 3
1:11.0,,,22-27,1,J. Ingles makes free throw 3 of 3
1:11.0,T. Ross enters the game for D. DeRozan,,22-26,,
0:58.0,T. Ross misses 3-pt shot from 25 ft,,22-27,,
0:57.0,,,22-27,,Defensive rebound by J. Ingles
0:44.0,,,22-27,,J. Johnson misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by L. Nogueira,,22-27,,
0:34.0,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph),3,25-27,,
0:19.0,,,25-29,2,J. Johnson makes 2-pt shot from 8 ft
0:00.0,T. Ross makes 3-pt shot from 25 ft,3,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,28-29,,D. Favors misses 2-pt shot from 2 ft
11:38.0,,,28-29,,Offensive rebound by D. Favors
11:36.0,,,28-29,,D. Favors misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by C. Joseph,,28-29,,
11:29.0,C. Joseph makes 2-pt shot from 2 ft,2,30-29,,
11:16.0,,,30-31,2,D. Favors makes 2-pt shot from 2 ft
11:16.0,,,30-31,,Violation by Team (jump ball)
11:06.0,,,30-31,,Personal foul by J. Ingles (drawn by K. Lowry)
11:06.0,,,30-31,,R. Hood enters the game for J. Ingles
10:58.0,C. Joseph misses 2-pt shot from 14 ft,,30-31,,
10:58.0,,,30-31,,Defensive rebound by D. Favors
10:41.0,,,30-33,2,J. Johnson makes 2-pt shot from 21 ft
10:32.0,,,30-33,,Personal foul by R. Neto (drawn by C. Joseph)
10:22.0,Shooting foul by D. Favors (drawn by K. Lowry),,30-33,,
10:22.0,K. Lowry makes free throw 1 of 2,1,31-33,,
10:22.0,K. Lowry makes free throw 2 of 2,1,32-33,,
10:02.0,,,32-33,,T. Lyles misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by T. Ross,,32-33,,
9:50.0,T. Ross misses 2-pt shot from 8 ft,,32-33,,
9:50.0,,,32-33,,Defensive rebound by D. Favors
9:48.0,,,32-33,,Turnover by R. Hood (discontinued dribble)
9:39.0,L. Nogueira makes 2-pt shot from 1 ft (assist by C. Joseph),2,34-33,,
9:15.0,,,34-33,,D. Favors misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by L. Nogueira,,34-33,,
8:59.0,C. Joseph misses 2-pt shot from 12 ft,,34-33,,
8:58.0,,,34-33,,Defensive rebound by R. Neto
8:43.0,,,34-33,,D. Favors misses 2-pt shot from 14 ft
8:43.0,Defensive rebound by L. Nogueira,,34-33,,
8:39.0,Toronto full timeout,,34-33,,
8:39.0,J. Valanciunas enters the game for L. Nogueira,,34-33,,
8:39.0,,,34-33,,S. Mack enters the game for R. Neto
8:39.0,,,34-33,,B. Diaw enters the game for T. Lyles
8:39.0,,,34-33,,R. Gobert enters the game for D. Favors
8:30.0,K. Lowry misses 3-pt shot from 27 ft,,34-33,,
8:29.0,,,34-33,,Defensive rebound by R. Gobert
8:08.0,,,34-33,,J. Johnson misses 2-pt shot from 22 ft
8:08.0,Defensive rebound by J. Valanciunas,,34-33,,
7:57.0,Shooting foul by R. Gobert (drawn by J. Valanciunas),,34-33,,
7:57.0,J. Valanciunas makes free throw 1 of 2,1,35-33,,
7:57.0,J. Valanciunas makes free throw 2 of 2,1,36-33,,
7:40.0,,,36-33,,R. Hood misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by P. Patterson,,36-33,,
7:26.0,J. Valanciunas makes 2-pt shot from 2 ft,2,38-33,,
7:10.0,Violation by P. Patterson (kicked ball),,38-33,,
7:10.0,,,38-33,,G. Hayward enters the game for R. Hood
7:10.0,D. DeRozan enters the game for C. Joseph,,38-33,,
7:10.0,D. Carroll enters the game for P. Patterson,,38-33,,
7:00.0,,,38-35,2,R. Gobert makes 2-pt shot at rim (assist by S. Mack)
7:00.0,,,38-35,,Shooting foul by J. Valanciunas (drawn by R. Gobert)
7:00.0,,,38-36,1,R. Gobert makes free throw 1 of 1
6:47.0,K. Lowry makes 2-pt shot from 2 ft,2,40-36,,
6:34.0,,,40-38,2,B. Diaw makes 2-pt shot from 3 ft
6:24.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,42-38,,
6:15.0,,,42-38,,Utah full timeout
6:03.0,,,42-38,,B. Diaw misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by J. Valanciunas,,42-38,,
5:54.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,45-38,,
5:33.0,,,45-38,,Turnover by S. Mack (lost ball; steal by K. Lowry)
5:26.0,D. Carroll misses 3-pt shot from 25 ft,,45-38,,
5:26.0,,,45-38,,Defensive rebound by Team
5:24.0,,,45-38,,J. Ingles enters the game for J. Johnson
5:24.0,,,45-38,,T. Lyles enters the game for B. Diaw
5:17.0,Personal foul by J. Valanciunas (drawn by R. Gobert),,45-38,,
5:17.0,L. Nogueira enters the game for J. Valanciunas,,45-38,,
5:08.0,,,45-38,,S. Mack misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by K. Lowry,,45-38,,
5:00.0,K. Lowry misses 2-pt shot from 2 ft,,45-38,,
5:00.0,,,45-38,,Defensive rebound by R. Gobert
4:58.0,,,45-38,,Turnover by R. Gobert (lost ball; steal by L. Nogueira)
4:55.0,K. Lowry makes 2-pt shot from 2 ft (assist by L. Nogueira),2,47-38,,
4:53.0,,,47-38,,Utah full timeout
4:40.0,,,47-38,,T. Lyles misses 2-pt shot from 3 ft (block by L. Nogueira)
4:39.0,Defensive rebound by D. Carroll,,47-38,,
4:34.0,Turnover by D. Carroll (lost ball; steal by J. Ingles),,47-38,,
4:29.0,,,47-40,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
4:11.0,D. DeRozan makes 2-pt shot from 14 ft (assist by T. Ross),2,49-40,,
3:48.0,,,49-42,2,S. Mack makes 2-pt shot from 6 ft
3:29.0,Turnover by D. DeRozan (lost ball; steal by J. Ingles),,49-42,,
3:23.0,Violation by L. Nogueira (def goaltending),,49-42,,
3:23.0,,,49-44,2,G. Hayward makes 2-pt shot from 3 ft (assist by R. Gobert)
3:08.0,K. Lowry makes 3-pt shot from 26 ft,3,52-44,,
2:54.0,,,52-44,,Shooting foul by T. Ross (drawn by G. Hayward)
2:54.0,,,52-44,,Utah full timeout
2:54.0,,,52-44,,G. Hayward misses free throw 1 of 2
2:54.0,,,52-44,,Offensive rebound by Team
2:54.0,,,52-45,1,G. Hayward makes free throw 2 of 2
2:54.0,N. Powell enters the game for T. Ross,,52-44,,
2:54.0,P. Patterson enters the game for D. Carroll,,52-44,,
2:41.0,K. Lowry misses 3-pt shot from 26 ft,,52-45,,
2:40.0,,,52-45,,Defensive rebound by R. Gobert
2:30.0,,,52-45,,G. Hayward misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by D. DeRozan,,52-45,,
2:20.0,C. Joseph enters the game for K. Lowry,,52-45,,
2:15.0,Turnover by D. DeRozan (bad pass; steal by J. Ingles),,52-45,,
2:09.0,,,52-47,2,S. Mack makes 2-pt shot from 1 ft (assist by G. Hayward)
1:57.0,D. DeRozan misses 2-pt shot from 13 ft,,52-47,,
1:56.0,,,52-47,,Defensive rebound by T. Lyles
1:52.0,,,52-47,,Shooting foul by N. Powell (drawn by G. Hayward)
1:52.0,,,52-48,1,G. Hayward makes free throw 1 of 2
1:52.0,,,52-49,1,G. Hayward makes free throw 2 of 2
1:48.0,Toronto full timeout,,52-49,,
1:28.0,N. Powell makes 2-pt shot from 2 ft,2,54-49,,
1:15.0,,,54-49,,Turnover by G. Hayward (lost ball; steal by C. Joseph)
0:59.0,D. DeRozan makes 2-pt shot from 2 ft,2,56-49,,
0:39.0,,,56-49,,G. Hayward misses 3-pt shot from 23 ft
0:39.0,,,56-49,,Offensive rebound by R. Gobert
0:34.0,,,56-51,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
0:09.0,N. Powell misses 3-pt shot from 29 ft,,56-51,,
0:08.0,,,56-51,,Defensive rebound by T. Lyles
0:00.0,,,56-51,,S. Mack misses 2-pt shot from 13 ft
0:00.0,,,56-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,56-51,,Shooting foul by J. Valanciunas (drawn by G. Hayward)
11:47.0,,,56-52,1,G. Hayward makes free throw 1 of 2
11:47.0,,,56-53,1,G. Hayward makes free throw 2 of 2
11:47.0,L. Nogueira enters the game for J. Valanciunas,,56-52,,
11:27.0,D. DeRozan misses 2-pt shot from 12 ft,,56-53,,
11:26.0,,,56-53,,Defensive rebound by B. Diaw
11:17.0,,,56-53,,R. Hood misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by D. Carroll,,56-53,,
11:07.0,Turnover by K. Lowry (bad pass; steal by R. Gobert),,56-53,,
10:58.0,,,56-53,,Turnover by B. Diaw (traveling)
10:45.0,D. DeRozan misses 2-pt shot from 15 ft,,56-53,,
10:44.0,,,56-53,,Defensive rebound by S. Mack
10:21.0,,,56-53,,S. Mack misses 3-pt shot from 24 ft
10:20.0,,,56-53,,Offensive rebound by Team
10:20.0,,,56-53,,Turnover by Team (shot clock)
10:11.0,K. Lowry makes 3-pt shot from 26 ft,3,59-53,,
10:02.0,,,59-53,,S. Mack misses 3-pt shot from 24 ft
10:02.0,,,59-53,,Offensive rebound by B. Diaw
10:02.0,Personal foul by K. Lowry (drawn by B. Diaw),,59-53,,
9:51.0,,,59-53,,B. Diaw misses 2-pt shot from 8 ft
9:50.0,Defensive rebound by K. Lowry,,59-53,,
9:44.0,K. Lowry makes 2-pt shot from 3 ft,2,61-53,,
9:43.0,,,61-53,,Utah full timeout
9:26.0,,,61-53,,R. Hood misses 2-pt shot from 12 ft
9:25.0,Defensive rebound by K. Lowry,,61-53,,
9:12.0,D. Carroll misses 2-pt shot from 3 ft,,61-53,,
9:12.0,,,61-53,,Defensive rebound by S. Mack
9:00.0,,,61-53,,Turnover by G. Hayward (bad pass; steal by D. DeRozan)
8:41.0,D. DeRozan makes 2-pt shot from 16 ft,2,63-53,,
8:25.0,,,63-53,,Turnover by G. Hayward (lost ball; steal by L. Nogueira)
8:14.0,Shooting foul by G. Hayward (drawn by D. DeRozan),,63-53,,
8:14.0,D. DeRozan misses free throw 1 of 2,,63-53,,
8:14.0,Offensive rebound by Team,,63-53,,
8:14.0,D. DeRozan makes free throw 2 of 2,1,64-53,,
8:14.0,C. Joseph enters the game for K. Lowry,,63-53,,
8:14.0,,,63-53,,T. Lyles enters the game for B. Diaw
8:14.0,,,63-53,,J. Ingles enters the game for R. Hood
8:00.0,,,64-55,2,G. Hayward makes 2-pt shot from 10 ft
7:38.0,Turnover by P. Patterson (bad pass; steal by S. Mack),,64-55,,
7:29.0,,,64-55,,Shooting foul by D. Carroll (drawn by R. Gobert)
7:29.0,,,64-56,1,R. Gobert makes free throw 1 of 2
7:29.0,,,64-57,1,R. Gobert makes free throw 2 of 2
7:12.0,C. Joseph misses 2-pt shot from 12 ft,,64-57,,
7:11.0,,,64-57,,Defensive rebound by R. Gobert
7:01.0,Personal foul by C. Joseph (drawn by G. Hayward),,64-57,,
6:52.0,,,64-57,,S. Mack misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by D. Carroll,,64-57,,
6:45.0,D. Carroll misses 2-pt shot from 3 ft,,64-57,,
6:44.0,,,64-57,,Defensive rebound by Team
6:26.0,,,64-57,,J. Ingles misses 3-pt shot from 27 ft
6:25.0,,,64-57,,Offensive rebound by R. Gobert
6:18.0,,,64-57,,Offensive charge foul by J. Ingles
6:18.0,,,64-57,,Turnover by J. Ingles (offensive foul)
5:52.0,L. Nogueira makes 3-pt shot from 23 ft (assist by C. Joseph),3,67-57,,
5:35.0,,,67-59,2,G. Hayward makes 2-pt shot from 15 ft (assist by S. Mack)
5:20.0,D. DeRozan misses 2-pt shot from 14 ft,,67-59,,
5:19.0,Offensive rebound by P. Patterson,,67-59,,
5:14.0,Toronto full timeout,,67-59,,
5:14.0,,,67-59,,R. Neto enters the game for S. Mack
5:14.0,T. Ross enters the game for D. Carroll,,67-59,,
5:03.0,D. DeRozan misses 2-pt shot from 16 ft,,67-59,,
5:02.0,,,67-59,,Defensive rebound by T. Lyles
4:49.0,,,67-62,3,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward)
4:40.0,,,67-62,,Personal foul by R. Neto (drawn by L. Nogueira)
4:35.0,C. Joseph misses 2-pt shot from 20 ft,,67-62,,
4:33.0,,,67-62,,Defensive rebound by Team
4:11.0,,,67-62,,T. Lyles misses 2-pt shot from 2 ft
4:10.0,Defensive rebound by D. DeRozan,,67-62,,
4:07.0,Toronto full timeout,,67-62,,
3:50.0,D. DeRozan misses 2-pt shot from 11 ft,,67-62,,
3:49.0,,,67-62,,Defensive rebound by J. Ingles
3:28.0,,,67-62,,G. Hayward misses 2-pt shot from 10 ft
3:26.0,,,67-62,,Offensive rebound by T. Lyles
3:26.0,,,67-62,,T. Lyles misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by D. DeRozan,,67-62,,
3:03.0,C. Joseph misses 3-pt shot from 23 ft,,67-62,,
3:01.0,Offensive rebound by P. Patterson,,67-62,,
2:56.0,T. Ross makes 3-pt shot from 24 ft,3,70-62,,
2:31.0,,,70-65,3,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward)
2:07.0,Offensive foul by L. Nogueira,,70-65,,
2:07.0,Turnover by L. Nogueira (offensive foul),,70-65,,
2:07.0,,,70-65,,D. Favors enters the game for R. Gobert
2:07.0,,,70-65,,J. Johnson enters the game for G. Hayward
2:07.0,J. Valanciunas enters the game for L. Nogueira,,70-65,,
1:54.0,,,70-67,2,T. Lyles makes 2-pt shot at rim
1:43.0,C. Joseph misses 2-pt shot from 2 ft (block by D. Favors),,70-67,,
1:43.0,Offensive rebound by Team,,70-67,,
1:43.0,N. Powell enters the game for P. Patterson,,70-67,,
1:40.0,D. DeRozan misses 2-pt shot from 16 ft,,70-67,,
1:39.0,,,70-67,,Defensive rebound by D. Favors
1:30.0,,,70-67,,Offensive foul by J. Ingles
1:30.0,,,70-67,,Turnover by J. Ingles (offensive foul)
1:16.0,Shooting foul by D. Favors (drawn by J. Valanciunas),,70-67,,
1:16.0,J. Valanciunas misses free throw 1 of 2,,70-67,,
1:16.0,Offensive rebound by Team,,70-67,,
1:16.0,J. Valanciunas makes free throw 2 of 2,1,71-67,,
1:16.0,,,70-67,,S. Mack enters the game for J. Ingles
0:58.0,,,71-70,3,T. Lyles makes 3-pt shot from 25 ft (assist by S. Mack)
0:45.0,D. DeRozan misses 2-pt shot from 12 ft,,71-70,,
0:44.0,,,71-70,,Defensive rebound by S. Mack
0:39.0,Flagrant foul type 1 by D. DeRozan (drawn by T. Lyles),,71-70,,
0:39.0,,,71-70,,T. Lyles misses flagrant free throw 1 of 2
0:39.0,,,71-70,,Offensive rebound by Team
0:39.0,,,71-71,1,T. Lyles makes flagrant free throw 2 of 2
0:27.0,,,71-74,3,J. Johnson makes 3-pt shot from 25 ft (assist by T. Lyles)
0:07.0,,,71-74,,Personal foul by D. Favors (drawn by J. Valanciunas)
0:07.0,J. Valanciunas makes free throw 1 of 2,1,72-74,,
0:07.0,J. Valanciunas misses free throw 2 of 2,,72-74,,
0:07.0,,,72-74,,Defensive rebound by D. Favors
0:07.0,D. Carroll enters the game for D. DeRozan,,72-74,,
0:00.0,,,72-74,,D. Favors misses 2-pt shot from 16 ft
0:00.0,,,72-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Ross makes 2-pt shot from 12 ft (assist by K. Lowry),2,74-74,,
11:26.0,,,74-74,,J. Johnson misses 2-pt shot from 5 ft (block by N. Powell)
11:25.0,,,74-74,,Offensive rebound by D. Favors
11:24.0,,,74-76,2,D. Favors makes 2-pt shot from 2 ft
11:15.0,T. Ross misses 3-pt shot from 24 ft,,74-76,,
11:15.0,,,74-76,,Defensive rebound by T. Lyles
10:52.0,,,74-78,2,S. Mack makes 2-pt shot from 7 ft
10:30.0,K. Lowry makes 2-pt shot from 1 ft,2,76-78,,
10:18.0,,,76-78,,Shooting foul by K. Lowry (drawn by S. Mack)
10:18.0,,,76-79,1,S. Mack makes free throw 1 of 2
10:18.0,,,76-79,,S. Mack misses free throw 2 of 2
10:18.0,,,76-79,,G. Hayward enters the game for R. Neto
10:17.0,Defensive rebound by J. Valanciunas,,76-79,,
10:05.0,K. Lowry makes 2-pt shot from 4 ft,2,78-79,,
10:05.0,Shooting foul by D. Favors (drawn by K. Lowry),,78-79,,
10:05.0,K. Lowry misses free throw 1 of 1,,78-79,,
10:04.0,,,78-79,,Defensive rebound by T. Lyles
9:47.0,,,78-82,3,G. Hayward makes 3-pt shot from 25 ft (assist by S. Mack)
9:34.0,K. Lowry makes 3-pt shot from 28 ft,3,81-82,,
9:16.0,,,81-82,,Turnover by S. Mack (lost ball; steal by D. Carroll)
9:13.0,D. Carroll makes 2-pt shot from 2 ft,2,83-82,,
9:00.0,Personal foul by N. Powell (drawn by G. Hayward),,83-82,,
9:00.0,,,83-82,,J. Ingles enters the game for J. Johnson
8:51.0,,,83-82,,Shooting foul by D. Carroll (drawn by T. Lyles)
8:51.0,,,83-82,,Utah full timeout
8:51.0,,,83-83,1,T. Lyles makes free throw 1 of 2
8:51.0,,,83-84,1,T. Lyles makes free throw 2 of 2
8:51.0,P. Patterson enters the game for T. Ross,,83-82,,
8:51.0,,,83-82,,R. Gobert enters the game for D. Favors
8:36.0,K. Lowry makes 2-pt shot from 17 ft,2,85-84,,
8:14.0,,,85-84,,R. Gobert misses 2-pt shot from 1 ft (block by J. Valanciunas)
8:13.0,,,85-84,,Offensive rebound by R. Gobert
8:12.0,,,85-84,,R. Gobert misses 2-pt shot at rim
8:11.0,Defensive rebound by J. Valanciunas,,85-84,,
8:05.0,D. Carroll misses 3-pt shot from 25 ft,,85-84,,
8:03.0,,,85-84,,Defensive rebound by R. Gobert
7:45.0,,,85-84,,J. Ingles misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by J. Valanciunas,,85-84,,
7:34.0,K. Lowry makes 2-pt shot from 1 ft,2,87-84,,
7:25.0,,,87-84,,T. Lyles misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by D. Carroll,,87-84,,
7:15.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,89-84,,
7:15.0,,,89-84,,Utah full timeout
7:15.0,L. Nogueira enters the game for J. Valanciunas,,89-84,,
7:15.0,D. DeRozan enters the game for D. Carroll,,89-84,,
7:15.0,,,89-84,,R. Neto enters the game for S. Mack
7:15.0,,,89-84,,J. Johnson enters the game for T. Lyles
7:02.0,,,89-84,,J. Ingles misses 2-pt shot from 3 ft
7:02.0,,,89-84,,Offensive rebound by Team
6:51.0,,,89-84,,Turnover by Team (shot clock)
6:34.0,K. Lowry misses 3-pt shot from 24 ft,,89-84,,
6:34.0,Offensive rebound by L. Nogueira,,89-84,,
6:23.0,N. Powell misses 2-pt shot from 5 ft,,89-84,,
6:23.0,Offensive rebound by D. DeRozan,,89-84,,
6:23.0,Shooting foul by R. Neto (drawn by D. DeRozan),,89-84,,
6:23.0,D. DeRozan misses free throw 1 of 2,,89-84,,
6:23.0,Offensive rebound by Team,,89-84,,
6:23.0,D. DeRozan makes free throw 2 of 2,1,90-84,,
6:14.0,Personal foul by N. Powell (drawn by G. Hayward),,90-84,,
6:05.0,,,90-84,,Turnover by J. Johnson (bad pass; steal by D. DeRozan)
6:04.0,,,90-84,,Personal foul by G. Hayward (drawn by N. Powell)
5:49.0,D. DeRozan misses 2-pt shot from 16 ft,,90-84,,
5:48.0,Offensive rebound by L. Nogueira,,90-84,,
5:40.0,P. Patterson misses 3-pt shot from 24 ft,,90-84,,
5:39.0,,,90-84,,Defensive rebound by R. Gobert
5:23.0,,,90-86,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
5:02.0,K. Lowry makes 2-pt shot from 9 ft,2,92-86,,
4:48.0,,,92-86,,J. Johnson misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by D. DeRozan,,92-86,,
4:35.0,D. DeRozan makes 2-pt shot from 10 ft,2,94-86,,
4:35.0,,,94-86,,Utah full timeout
4:35.0,,,94-86,,T. Lyles enters the game for J. Johnson
4:35.0,,,94-86,,S. Mack enters the game for R. Neto
4:21.0,,,94-86,,T. Lyles misses 2-pt shot from 10 ft
4:21.0,Defensive rebound by K. Lowry,,94-86,,
4:16.0,Turnover by K. Lowry (lost ball; steal by J. Ingles),,94-86,,
4:11.0,,,94-86,,J. Ingles misses 2-pt shot from 3 ft (block by P. Patterson)
4:11.0,,,94-86,,Offensive rebound by Team
4:08.0,,,94-88,2,G. Hayward makes 2-pt shot from 18 ft (assist by J. Ingles)
3:54.0,K. Lowry makes 2-pt shot from 6 ft,2,96-88,,
3:35.0,,,96-88,,Turnover by S. Mack (bad pass; steal by D. DeRozan)
3:26.0,D. DeRozan misses 2-pt shot from 2 ft (block by G. Hayward),,96-88,,
3:25.0,,,96-88,,Defensive rebound by T. Lyles
3:12.0,,,96-91,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Ingles)
3:08.0,Toronto full timeout,,96-91,,
2:54.0,D. DeRozan makes 2-pt shot from 8 ft,2,98-91,,
2:39.0,,,98-93,2,T. Lyles makes 2-pt shot from 22 ft
2:16.0,K. Lowry makes 2-pt shot from 19 ft,2,100-93,,
1:58.0,,,100-93,,T. Lyles misses 2-pt shot from 2 ft
1:56.0,,,100-93,,Offensive rebound by S. Mack
1:50.0,,,100-96,3,S. Mack makes 3-pt shot from 25 ft (assist by J. Ingles)
1:32.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,102-96,,
1:16.0,,,102-96,,Turnover by T. Lyles (lost ball; steal by K. Lowry)
0:55.0,D. DeRozan misses 3-pt shot from 23 ft,,102-96,,
0:53.0,,,102-96,,Defensive rebound by R. Gobert
0:45.0,,,102-96,,G. Hayward misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by P. Patterson,,102-96,,
0:43.0,Toronto full timeout,,102-96,,
