time,Miami,pts.away,score,pts.home,Sacramento
2:47.0,,,23-17,,Defensive rebound by D. Cousins
2:37.0,,,23-17,,Turnover by D. Collison (bad pass; steal by W. Ellington)
2:23.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,26-17,,
2:08.0,Personal foul by J. Johnson (drawn by D. Cousins),,26-17,,
2:08.0,,,26-18,1,D. Cousins makes free throw 1 of 2
2:08.0,,,26-18,,D. Cousins misses free throw 2 of 2
2:08.0,D. Waiters enters the game for J. Johnson,,26-18,,
2:08.0,U. Haslem enters the game for R. McGruder,,26-18,,
2:08.0,,,26-18,,T. Lawson enters the game for D. Collison
2:06.0,Defensive rebound by J. Richardson,,26-18,,
1:58.0,,,26-18,,Personal foul by G. Temple (drawn by U. Haslem)
1:58.0,U. Haslem misses free throw 1 of 2,,26-18,,
1:58.0,Offensive rebound by Team,,26-18,,
1:58.0,U. Haslem makes free throw 2 of 2,1,27-18,,
1:58.0,,,26-18,,W. Cauley-Stein enters the game for D. Cousins
1:48.0,,,27-18,,G. Temple misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by D. Waiters,,27-18,,
1:42.0,Turnover by D. Waiters (bad pass),,27-18,,
1:28.0,,,27-20,2,A. Afflalo makes 2-pt shot from 14 ft
1:19.0,D. Waiters makes 2-pt shot from 3 ft,2,29-20,,
1:08.0,,,29-20,,Shooting foul by D. Waiters (drawn by A. Afflalo)
1:08.0,,,29-21,1,A. Afflalo makes free throw 1 of 2
1:08.0,,,29-22,1,A. Afflalo makes free throw 2 of 2
0:45.0,J. Richardson misses 3-pt shot from 25 ft,,29-22,,
0:45.0,Offensive rebound by T. Johnson,,29-22,,
0:45.0,,,29-22,,Personal foul by W. Cauley-Stein (drawn by T. Johnson)
0:45.0,T. Johnson misses free throw 1 of 2,,29-22,,
0:45.0,Offensive rebound by Team,,29-22,,
0:45.0,T. Johnson makes free throw 2 of 2,1,30-22,,
0:45.0,R. McGruder enters the game for J. Richardson,,29-22,,
0:35.0,,,30-22,,Turnover by A. Tolliver (bad pass; steal by T. Johnson)
0:28.0,D. Waiters misses 3-pt shot from 25 ft,,30-22,,
0:27.0,,,30-22,,Defensive rebound by W. Cauley-Stein
0:09.0,,,30-25,3,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson)
0:00.0,U. Haslem misses 2-pt shot from 4 ft,,30-25,,
0:00.0,Offensive rebound by Team,,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,W. Ellington misses 2-pt shot from 16 ft,,30-25,,
11:41.0,Offensive rebound by R. McGruder,,30-25,,
11:27.0,Turnover by D. Waiters (bad pass; steal by W. Cauley-Stein),,30-25,,
11:05.0,,,30-27,2,W. Cauley-Stein makes 2-pt shot from 18 ft
10:51.0,T. Johnson makes 2-pt shot from 2 ft,2,32-27,,
10:36.0,,,32-27,,G. Temple misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by U. Haslem,,32-27,,
10:30.0,W. Ellington misses 2-pt shot from 18 ft,,32-27,,
10:30.0,,,32-27,,Defensive rebound by A. Tolliver
10:15.0,,,32-29,2,G. Temple makes 2-pt shot from 3 ft (assist by T. Lawson)
10:15.0,Shooting block foul by U. Haslem (drawn by G. Temple),,32-29,,
10:15.0,,,32-30,1,G. Temple makes free throw 1 of 1
10:15.0,L. Babbitt enters the game for R. McGruder,,32-29,,
10:15.0,G. Dragic enters the game for T. Johnson,,32-29,,
10:09.0,,,32-30,,Personal foul by T. Lawson (drawn by G. Dragic)
9:59.0,D. Waiters makes 2-pt shot from 22 ft (assist by G. Dragic),2,34-30,,
9:49.0,,,34-30,,T. Lawson misses 2-pt shot from 2 ft
9:48.0,,,34-30,,Offensive rebound by W. Cauley-Stein
9:43.0,,,34-33,3,A. Afflalo makes 3-pt shot from 26 ft (assist by W. Cauley-Stein)
9:20.0,U. Haslem makes 2-pt shot from 1 ft (assist by D. Waiters),2,36-33,,
9:04.0,,,36-33,,G. Temple misses 3-pt shot from 23 ft
9:03.0,,,36-33,,Offensive rebound by W. Cauley-Stein
9:01.0,,,36-33,,W. Cauley-Stein misses 2-pt shot from 3 ft
9:00.0,,,36-33,,Offensive rebound by Team
9:00.0,Loose ball foul by L. Babbitt (drawn by G. Temple),,36-33,,
9:00.0,W. Reed enters the game for L. Babbitt,,36-33,,
9:00.0,J. Johnson enters the game for U. Haslem,,36-33,,
8:48.0,,,36-33,,Turnover by G. Temple (traveling)
8:48.0,Official timeout,,36-33,,
8:48.0,,,36-33,,M. Barnes enters the game for A. Tolliver
8:31.0,J. Johnson makes 2-pt shot from 10 ft,2,38-33,,
8:09.0,,,38-35,2,G. Temple makes 2-pt shot from 2 ft (assist by M. Barnes)
7:55.0,G. Dragic makes 2-pt shot from 2 ft,2,40-35,,
7:41.0,,,40-38,3,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson)
7:23.0,W. Reed makes 2-pt shot from 3 ft (assist by G. Dragic),2,42-38,,
7:13.0,J. Richardson enters the game for D. Waiters,,42-38,,
7:13.0,,,42-38,,D. Cousins enters the game for W. Cauley-Stein
7:06.0,,,42-38,,Shooting foul by W. Reed (drawn by D. Cousins)
7:06.0,,,42-39,1,D. Cousins makes free throw 1 of 2
7:06.0,,,42-39,,D. Cousins misses free throw 2 of 2
7:06.0,U. Haslem enters the game for W. Reed,,42-39,,
7:05.0,Defensive rebound by J. Johnson,,42-39,,
6:45.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Richardson),3,45-39,,
6:33.0,,,45-42,3,T. Lawson makes 3-pt shot from 24 ft
6:24.0,,,45-42,,Personal foul by G. Temple (drawn by G. Dragic)
6:24.0,G. Dragic makes free throw 1 of 2,1,46-42,,
6:24.0,G. Dragic makes free throw 2 of 2,1,47-42,,
6:10.0,,,47-45,3,M. Barnes makes 3-pt shot from 24 ft (assist by A. Afflalo)
6:07.0,Miami full timeout,,47-45,,
5:51.0,G. Dragic misses 3-pt shot from 25 ft,,47-45,,
5:49.0,Offensive rebound by U. Haslem,,47-45,,
5:47.0,U. Haslem makes 2-pt shot from 2 ft,2,49-45,,
5:30.0,T. Johnson enters the game for G. Dragic,,49-45,,
5:24.0,,,49-45,,Turnover by M. Barnes (bad pass)
5:24.0,,,49-45,,Loose ball foul by A. Afflalo (drawn by J. Richardson)
5:08.0,T. Johnson makes 2-pt shot from 22 ft (assist by U. Haslem),2,51-45,,
5:02.0,,,51-45,,Turnover by T. Lawson (bad pass; steal by J. Richardson)
4:56.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,54-45,,
4:33.0,,,54-47,2,A. Afflalo makes 2-pt shot from 14 ft (assist by D. Cousins)
4:17.0,W. Ellington makes 3-pt shot from 22 ft (assist by J. Richardson),3,57-47,,
3:54.0,,,57-47,,M. Barnes misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by J. Richardson,,57-47,,
3:37.0,Shooting foul by D. Cousins (drawn by U. Haslem),,57-47,,
3:37.0,U. Haslem makes free throw 1 of 2,1,58-47,,
3:37.0,U. Haslem makes free throw 2 of 2,1,59-47,,
3:37.0,,,58-47,,D. Collison enters the game for G. Temple
3:34.0,,,59-47,,Sacramento full timeout
3:34.0,,,59-47,,A. Tolliver enters the game for A. Afflalo
3:25.0,,,59-47,,Offensive foul by D. Cousins
3:25.0,,,59-47,,Turnover by D. Cousins (offensive foul)
3:16.0,Turnover by T. Johnson (step out of bounds),,59-47,,
3:06.0,,,59-49,2,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins)
2:56.0,Turnover by J. Johnson (lost ball),,59-49,,
2:36.0,,,59-51,2,D. Collison makes 2-pt shot from 4 ft (assist by M. Barnes)
2:11.0,W. Ellington makes 3-pt shot from 25 ft (assist by U. Haslem),3,62-51,,
1:53.0,,,62-51,,D. Cousins misses 2-pt shot from 6 ft (block by J. Johnson)
1:53.0,,,62-51,,Offensive rebound by Team
1:53.0,R. McGruder enters the game for J. Johnson,,62-51,,
1:47.0,,,62-53,2,A. Tolliver makes 2-pt shot from 9 ft (assist by M. Barnes)
1:32.0,J. Richardson misses 2-pt shot from 21 ft,,62-53,,
1:32.0,,,62-53,,Defensive rebound by Team
1:25.0,,,62-55,2,D. Cousins makes 2-pt shot from 3 ft (assist by T. Lawson)
1:10.0,Turnover by J. Richardson (lost ball),,62-55,,
1:10.0,G. Dragic enters the game for J. Richardson,,62-55,,
0:59.0,,,62-57,2,T. Lawson makes 2-pt shot from 3 ft
0:44.0,Turnover by U. Haslem (offensive goaltending),,62-57,,
0:28.0,,,62-59,2,T. Lawson makes 2-pt shot from 18 ft
0:06.0,G. Dragic makes 2-pt shot from 13 ft,2,64-59,,
0:02.0,,,64-59,,D. Collison misses 2-pt shot from 3 ft (block by W. Ellington)
0:02.0,Defensive rebound by Team,,64-59,,
0:02.0,Miami full timeout,,64-59,,
0:02.0,,,64-59,,K. Koufos enters the game for D. Cousins
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,W. Reed misses 2-pt shot from 13 ft,,64-59,,
11:33.0,,,64-59,,Defensive rebound by Team
11:20.0,,,64-59,,D. Collison misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by J. Richardson,,64-59,,
11:13.0,,,64-59,,Personal foul by A. Afflalo (drawn by J. Richardson)
11:09.0,,,64-59,,Personal foul by D. Collison (drawn by G. Dragic)
11:01.0,W. Reed makes 2-pt shot from 3 ft (assist by G. Dragic),2,66-59,,
10:46.0,,,66-59,,D. Cousins misses 2-pt shot from 3 ft
10:44.0,Defensive rebound by L. Babbitt,,66-59,,
10:35.0,L. Babbitt makes 3-pt shot from 25 ft (assist by R. McGruder),3,69-59,,
10:07.0,,,69-59,,D. Cousins misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by R. McGruder,,69-59,,
9:55.0,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic),3,72-59,,
9:55.0,,,72-59,,Sacramento full timeout
9:43.0,Shooting block foul by G. Dragic (drawn by D. Cousins),,72-59,,
9:43.0,,,72-60,1,D. Cousins makes free throw 1 of 2
9:43.0,,,72-61,1,D. Cousins makes free throw 2 of 2
9:28.0,Shooting foul by D. Cousins (drawn by R. McGruder),,72-61,,
9:28.0,R. McGruder misses free throw 1 of 2,,72-61,,
9:28.0,Offensive rebound by Team,,72-61,,
9:28.0,R. McGruder makes free throw 2 of 2,1,73-61,,
9:09.0,,,73-61,,D. Cousins misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by W. Reed,,73-61,,
8:46.0,G. Dragic misses 2-pt shot from 4 ft,,73-61,,
8:46.0,,,73-61,,Defensive rebound by D. Cousins
8:36.0,,,73-61,,D. Cousins misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by R. McGruder,,73-61,,
8:23.0,Shooting foul by D. Collison (drawn by G. Dragic),,73-61,,
8:23.0,G. Dragic makes free throw 1 of 2,1,74-61,,
8:23.0,G. Dragic makes free throw 2 of 2,1,75-61,,
8:13.0,Personal foul by J. Richardson (drawn by A. Afflalo),,75-61,,
8:05.0,,,75-61,,Turnover by A. Afflalo (lost ball)
7:43.0,J. Richardson misses 3-pt shot from 25 ft,,75-61,,
7:43.0,,,75-61,,Defensive rebound by D. Cousins
7:31.0,,,75-61,,D. Collison misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by G. Dragic,,75-61,,
7:22.0,G. Dragic misses 2-pt shot from 3 ft (block by D. Collison),,75-61,,
7:22.0,Offensive rebound by Team,,75-61,,
7:22.0,Technical foul by G. Dragic,,75-61,,
7:22.0,,,75-62,1,D. Collison makes technical free throw
7:12.0,G. Dragic misses 2-pt shot from 9 ft,,75-62,,
7:12.0,,,75-62,,Defensive rebound by A. Afflalo
6:51.0,,,75-62,,A. Afflalo misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by R. McGruder,,75-62,,
6:40.0,J. Richardson misses 3-pt shot from 24 ft,,75-62,,
6:40.0,,,75-62,,Defensive rebound by M. Barnes
6:30.0,,,75-62,,Turnover by M. Barnes (bad pass)
6:12.0,R. McGruder misses 2-pt shot from 19 ft,,75-62,,
6:11.0,,,75-62,,Defensive rebound by A. Tolliver
5:57.0,,,75-62,,Turnover by M. Barnes (bad pass; steal by G. Dragic)
5:55.0,Shooting foul by M. Barnes (drawn by G. Dragic),,75-62,,
5:55.0,G. Dragic makes free throw 1 of 2,1,76-62,,
5:55.0,G. Dragic makes free throw 2 of 2,1,77-62,,
5:55.0,T. Johnson enters the game for R. McGruder,,76-62,,
5:55.0,,,76-62,,K. Koufos enters the game for D. Cousins
5:41.0,,,77-62,,D. Collison misses 2-pt shot from 20 ft
5:41.0,Defensive rebound by W. Reed,,77-62,,
5:27.0,W. Reed misses 2-pt shot from 14 ft,,77-62,,
5:26.0,,,77-62,,Defensive rebound by M. Barnes
5:09.0,,,77-64,2,A. Tolliver makes 2-pt shot from 4 ft (assist by D. Collison)
4:57.0,,,77-64,,Personal foul by A. Tolliver (drawn by G. Dragic)
4:57.0,G. Dragic makes free throw 1 of 2,1,78-64,,
4:57.0,G. Dragic makes free throw 2 of 2,1,79-64,,
4:57.0,,,78-64,,G. Temple enters the game for A. Afflalo
4:57.0,J. Johnson enters the game for L. Babbitt,,78-64,,
4:45.0,,,79-64,,Offensive foul by K. Koufos
4:45.0,,,79-64,,Turnover by K. Koufos (offensive foul)
4:27.0,J. Johnson misses 2-pt shot from 7 ft,,79-64,,
4:27.0,,,79-64,,Defensive rebound by M. Barnes
4:13.0,,,79-66,2,D. Collison makes 2-pt shot from 4 ft
4:12.0,Miami full timeout,,79-66,,
4:12.0,W. Ellington enters the game for J. Richardson,,79-66,,
3:55.0,T. Johnson misses 2-pt shot from 5 ft,,79-66,,
3:55.0,,,79-66,,Defensive rebound by D. Collison
3:38.0,,,79-68,2,K. Koufos makes 2-pt shot from 6 ft (assist by A. Tolliver)
3:25.0,G. Dragic makes 2-pt shot from 6 ft (assist by J. Johnson),2,81-68,,
3:04.0,,,81-68,,M. Barnes misses 2-pt shot from 5 ft (block by W. Reed)
3:01.0,Defensive rebound by J. Johnson,,81-68,,
3:01.0,Shooting foul by A. Tolliver (drawn by T. Johnson),,81-68,,
3:01.0,T. Johnson misses free throw 1 of 2,,81-68,,
3:01.0,Offensive rebound by Team,,81-68,,
3:01.0,T. Johnson makes free throw 2 of 2,1,82-68,,
3:01.0,D. Waiters enters the game for W. Reed,,81-68,,
3:01.0,U. Haslem enters the game for G. Dragic,,81-68,,
3:01.0,,,81-68,,T. Lawson enters the game for M. Barnes
3:01.0,,,81-68,,A. Afflalo enters the game for D. Collison
2:49.0,,,82-68,,A. Tolliver misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by U. Haslem,,82-68,,
2:32.0,W. Ellington misses 2-pt shot from 19 ft,,82-68,,
2:32.0,Offensive rebound by T. Johnson,,82-68,,
2:30.0,Shooting foul by G. Temple (drawn by T. Johnson),,82-68,,
2:30.0,T. Johnson makes free throw 1 of 2,1,83-68,,
2:30.0,T. Johnson makes free throw 2 of 2,1,84-68,,
2:15.0,,,84-68,,A. Afflalo misses 2-pt shot from 4 ft (block by U. Haslem)
2:13.0,Defensive rebound by J. Johnson,,84-68,,
2:12.0,T. Johnson misses 2-pt shot from 1 ft,,84-68,,
2:11.0,Offensive rebound by Team,,84-68,,
2:11.0,,,84-68,,Loose ball foul by A. Afflalo (drawn by J. Johnson)
2:11.0,,,84-68,,Technical foul by Team
2:11.0,W. Ellington makes technical free throw,1,85-68,,
2:11.0,J. Johnson makes free throw 1 of 2,1,86-68,,
2:11.0,J. Johnson makes free throw 2 of 2,1,87-68,,
1:58.0,,,87-70,2,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson)
1:58.0,,,87-70,,Shooting foul by J. Johnson (drawn by A. Tolliver)
1:58.0,,,87-71,1,A. Tolliver makes free throw 1 of 1
1:46.0,Turnover by D. Waiters (traveling),,87-71,,
1:36.0,,,87-73,2,G. Temple makes 2-pt shot from 2 ft (assist by K. Koufos)
1:20.0,W. Ellington misses 3-pt shot from 25 ft,,87-73,,
1:19.0,,,87-73,,Defensive rebound by K. Koufos
1:10.0,,,87-75,2,T. Lawson makes 2-pt shot from 16 ft
0:54.0,Offensive foul by U. Haslem,,87-75,,
0:54.0,Turnover by U. Haslem (offensive foul),,87-75,,
0:38.0,,,87-75,,T. Lawson misses 2-pt shot from 2 ft
0:37.0,,,87-75,,Offensive rebound by K. Koufos
0:37.0,,,87-77,2,K. Koufos makes 2-pt shot from 1 ft
0:31.0,J. Johnson misses 3-pt shot from 25 ft,,87-77,,
0:30.0,,,87-77,,Defensive rebound by A. Tolliver
0:30.0,Personal foul by U. Haslem (drawn by A. Tolliver),,87-77,,
0:30.0,,,87-78,1,A. Tolliver makes free throw 1 of 2
0:30.0,,,87-79,1,A. Tolliver makes free throw 2 of 2
0:10.0,D. Waiters misses 2-pt shot from 20 ft,,87-79,,
0:09.0,,,87-79,,Defensive rebound by K. Koufos
0:01.0,,,87-81,2,T. Lawson makes 2-pt shot from 16 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,87-83,2,G. Temple makes 2-pt shot at rim (assist by A. Tolliver)
11:20.0,J. Richardson misses 3-pt shot from 24 ft,,87-83,,
11:20.0,,,87-83,,Defensive rebound by Team
11:20.0,W. Reed enters the game for U. Haslem,,87-83,,
11:09.0,,,87-85,2,T. Lawson makes 2-pt shot from 3 ft
10:57.0,J. Richardson misses 3-pt shot from 25 ft,,87-85,,
10:57.0,,,87-85,,Defensive rebound by Team
10:37.0,,,87-85,,A. Afflalo misses 2-pt shot from 3 ft (block by W. Reed)
10:37.0,Defensive rebound by T. Johnson,,87-85,,
10:37.0,,,87-85,,Personal foul by T. Lawson (drawn by T. Johnson)
10:27.0,Turnover by J. Richardson (step out of bounds),,87-85,,
10:11.0,,,87-87,2,G. Temple makes 2-pt shot from 14 ft (assist by K. Koufos)
9:54.0,W. Reed makes 2-pt shot from 8 ft (assist by T. Johnson),2,89-87,,
9:44.0,,,89-87,,Shooting foul by T. Johnson (drawn by K. Koufos)
9:44.0,,,89-88,1,K. Koufos makes free throw 1 of 2
9:44.0,,,89-89,1,K. Koufos makes free throw 2 of 2
9:44.0,L. Babbitt enters the game for J. Johnson,,89-88,,
9:32.0,Turnover by T. Johnson (bad pass; steal by G. Temple),,89-89,,
9:29.0,,,89-91,2,G. Temple makes 2-pt shot from 2 ft
9:28.0,Miami full timeout,,89-91,,
9:11.0,Turnover by J. Richardson (bad pass; steal by K. Koufos),,89-91,,
8:57.0,,,89-91,,Turnover by T. Lawson (bad pass; steal by W. Reed)
8:37.0,L. Babbitt misses 2-pt shot from 15 ft,,89-91,,
8:37.0,,,89-91,,Defensive rebound by K. Koufos
8:23.0,G. Dragic enters the game for W. Ellington,,89-91,,
8:23.0,,,89-91,,D. Cousins enters the game for K. Koufos
8:23.0,,,89-91,,M. Barnes enters the game for A. Tolliver
8:15.0,,,89-91,,Offensive foul by T. Lawson
8:15.0,,,89-91,,Turnover by T. Lawson (offensive foul)
8:04.0,Turnover by L. Babbitt (bad pass; steal by G. Temple),,89-91,,
7:59.0,,,89-91,,T. Lawson misses 2-pt shot from 4 ft (block by T. Johnson)
7:57.0,Defensive rebound by J. Richardson,,89-91,,
7:52.0,J. Richardson makes 2-pt shot from 9 ft,2,91-91,,
7:36.0,,,91-93,2,D. Cousins makes 2-pt shot from 4 ft (assist by T. Lawson)
7:24.0,T. Johnson misses 3-pt shot from 26 ft,,91-93,,
7:24.0,,,91-93,,Defensive rebound by M. Barnes
7:09.0,,,91-93,,G. Temple misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by L. Babbitt,,91-93,,
6:45.0,Turnover by Team (shot clock),,91-93,,
6:45.0,J. Johnson enters the game for W. Reed,,91-93,,
6:32.0,,,91-93,,Turnover by T. Lawson (bad pass; steal by J. Richardson)
6:32.0,,,91-93,,Personal foul by M. Barnes (drawn by L. Babbitt)
6:14.0,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,94-93,,
6:01.0,,,94-93,,D. Cousins misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by L. Babbitt,,94-93,,
5:44.0,Turnover by J. Johnson (bad pass; steal by T. Lawson),,94-93,,
5:34.0,,,94-93,,Turnover by A. Afflalo (offensive foul)
5:34.0,,,94-93,,Offensive foul by A. Afflalo
5:34.0,Official timeout,,94-93,,
5:15.0,J. Richardson misses 3-pt shot from 25 ft,,94-93,,
5:15.0,Offensive rebound by T. Johnson,,94-93,,
5:00.0,G. Dragic makes 2-pt shot from 2 ft,2,96-93,,
4:42.0,,,96-93,,M. Barnes misses 2-pt shot from 4 ft (block by J. Johnson)
4:40.0,Defensive rebound by T. Johnson,,96-93,,
4:36.0,T. Johnson makes 2-pt shot from 1 ft,2,98-93,,
4:13.0,,,98-95,2,M. Barnes makes 2-pt shot from 2 ft
4:12.0,,,98-95,,Technical foul by M. Barnes
4:12.0,G. Dragic makes technical free throw,1,99-95,,
4:12.0,R. McGruder enters the game for L. Babbitt,,99-95,,
4:12.0,,,99-95,,D. Collison enters the game for A. Afflalo
3:55.0,T. Johnson misses 3-pt shot from 25 ft,,99-95,,
3:54.0,,,99-95,,Defensive rebound by M. Barnes
3:43.0,Personal foul by J. Johnson (drawn by D. Cousins),,99-95,,
3:31.0,,,99-95,,T. Lawson misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by T. Johnson,,99-95,,
3:19.0,J. Johnson misses 2-pt shot from 4 ft (block by M. Barnes),,99-95,,
3:16.0,Offensive rebound by Team,,99-95,,
3:14.0,Offensive foul by J. Johnson,,99-95,,
3:14.0,Turnover by J. Johnson (offensive foul),,99-95,,
2:59.0,,,99-95,,D. Collison misses 2-pt shot from 2 ft
2:55.0,,,99-95,,Offensive rebound by M. Barnes
2:55.0,,,99-97,2,M. Barnes makes 2-pt shot from 1 ft
2:35.0,J. Johnson makes 3-pt shot from 24 ft (assist by R. McGruder),3,102-97,,
2:22.0,Personal foul by J. Johnson (drawn by D. Cousins),,102-97,,
2:22.0,,,102-97,,Sacramento full timeout
2:22.0,U. Haslem enters the game for J. Johnson,,102-97,,
2:18.0,,,102-99,2,T. Lawson makes 2-pt shot from 3 ft (assist by D. Cousins)
1:57.0,Turnover by G. Dragic (bad pass; steal by D. Cousins),,102-99,,
1:50.0,,,102-101,2,M. Barnes makes 2-pt shot from 2 ft (assist by D. Collison)
1:36.0,G. Dragic misses 2-pt shot from 4 ft,,102-101,,
