time,Chicago,pts.away,score,pts.home,Cleveland
1:39.0,,,15-23,,Defensive rebound by D. Liggins
1:33.0,,,15-23,,D. Liggins misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by C. Felicio,,15-23,,
1:20.0,J. Grant misses 3-pt shot from 26 ft,,15-23,,
1:19.0,Offensive rebound by C. Felicio,,15-23,,
1:19.0,,,15-23,,Personal foul by J. Jones (drawn by C. Felicio)
1:19.0,C. Felicio makes free throw 1 of 2,1,16-23,,
1:19.0,C. Felicio misses free throw 2 of 2,,16-23,,
1:19.0,,,16-23,,I. Shumpert enters the game for L. James
1:19.0,,,16-23,,K. Felder enters the game for D. Liggins
1:18.0,Offensive rebound by D. McDermott,,16-23,,
1:02.0,J. Butler misses 2-pt shot from 17 ft,,16-23,,
1:01.0,,,16-23,,Defensive rebound by K. Felder
0:45.0,,,16-23,,K. Felder misses 2-pt shot from 8 ft
0:44.0,,,16-23,,Offensive rebound by T. Thompson
0:40.0,,,16-23,,R. Jefferson misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by D. McDermott,,16-23,,
0:27.0,N. Mirotic misses 3-pt shot from 30 ft,,16-23,,
0:26.0,,,16-23,,Defensive rebound by K. Felder
0:05.0,,,16-23,,K. Felder misses 2-pt shot from 20 ft
0:04.0,,,16-23,,Offensive rebound by T. Thompson
0:00.0,,,16-23,,R. Jefferson misses 3-pt shot from 24 ft
0:00.0,,,16-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Wade misses 2-pt shot from 1 ft,,16-23,,
11:46.0,Offensive rebound by C. Felicio,,16-23,,
11:46.0,C. Felicio misses 2-pt shot from 1 ft,,16-23,,
11:43.0,,,16-23,,Defensive rebound by K. Felder
11:32.0,,,16-23,,C. Frye misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by N. Mirotic,,16-23,,
11:21.0,N. Mirotic makes 2-pt shot at rim,2,18-23,,
11:21.0,Shooting foul by J. Jones (drawn by N. Mirotic),,18-23,,
11:21.0,N. Mirotic makes free throw 1 of 1,1,19-23,,
11:08.0,,,19-23,,I. Shumpert misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by D. McDermott,,19-23,,
10:53.0,N. Mirotic misses 2-pt shot from 9 ft,,19-23,,
10:51.0,,,19-23,,Defensive rebound by J. Jones
10:38.0,,,19-23,,I. Shumpert misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by C. Felicio,,19-23,,
10:19.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Grant),3,22-23,,
10:04.0,,,22-23,,K. Felder misses 2-pt shot from 12 ft
10:04.0,Defensive rebound by Team,,22-23,,
9:50.0,D. Wade makes 3-pt shot from 25 ft (assist by N. Mirotic),3,25-23,,
9:50.0,,,25-23,,Cleveland full timeout
9:29.0,,,25-26,3,C. Frye makes 3-pt shot from 25 ft (assist by K. Felder)
9:22.0,,,25-26,,J. McRae enters the game for J. Jones
9:22.0,,,25-26,,L. James enters the game for R. Jefferson
9:14.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Grant),3,28-26,,
9:01.0,,,28-26,,C. Frye misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by D. McDermott,,28-26,,
8:53.0,D. Wade misses 2-pt shot from 18 ft,,28-26,,
8:51.0,,,28-26,,Defensive rebound by J. McRae
8:43.0,,,28-26,,K. Felder misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by C. Felicio,,28-26,,
8:18.0,N. Mirotic makes 2-pt shot from 14 ft,2,30-26,,
7:55.0,,,30-26,,I. Shumpert misses 2-pt shot from 22 ft
7:52.0,Defensive rebound by J. Grant,,30-26,,
7:41.0,N. Mirotic misses 2-pt shot from 3 ft,,30-26,,
7:40.0,,,30-26,,Defensive rebound by K. Felder
7:32.0,,,30-26,,Shooting foul by C. Felicio (drawn by K. Felder)
7:32.0,,,30-27,1,K. Felder makes free throw 1 of 2
7:32.0,,,30-28,1,K. Felder makes free throw 2 of 2
7:32.0,T. Gibson enters the game for C. Felicio,,30-27,,
7:17.0,D. McDermott makes 2-pt shot from 19 ft (assist by T. Gibson),2,32-28,,
6:57.0,,,32-30,2,L. James makes 2-pt shot from 1 ft (assist by I. Shumpert)
6:36.0,J. Grant misses 3-pt shot from 25 ft,,32-30,,
6:36.0,,,32-30,,Defensive rebound by J. McRae
6:27.0,,,32-30,,J. McRae misses 2-pt shot from 1 ft
6:26.0,,,32-30,,Offensive rebound by J. McRae
6:22.0,,,32-30,,K. Felder misses 3-pt shot from 26 ft
6:21.0,Defensive rebound by N. Mirotic,,32-30,,
6:17.0,J. Butler enters the game for N. Mirotic,,32-30,,
6:17.0,,,32-30,,R. Jefferson enters the game for K. Felder
6:17.0,Jump ball: C. Frye vs. D. Wade (R. Jefferson gains possession),,,,Jump ball: C. Frye vs. D. Wade (R. Jefferson gains possession)
6:17.0,Turnover by D. Wade (lost ball; steal by C. Frye),,32-30,,
6:02.0,,,32-32,2,C. Frye makes 2-pt shot from 15 ft
5:48.0,D. McDermott makes 3-pt shot from 23 ft (assist by D. Wade),3,35-32,,
5:35.0,,,35-32,,J. McRae misses 2-pt shot from 1 ft (block by T. Gibson)
5:31.0,Defensive rebound by J. Grant,,35-32,,
5:26.0,J. Butler misses 2-pt shot from 15 ft,,35-32,,
5:25.0,,,35-32,,Defensive rebound by L. James
5:21.0,,,35-34,2,L. James makes 2-pt shot from 2 ft
5:08.0,D. McDermott makes 2-pt shot from 6 ft,2,37-34,,
4:40.0,,,37-34,,J. McRae misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by T. Gibson,,37-34,,
4:27.0,D. McDermott makes 2-pt shot at rim (assist by T. Gibson),2,39-34,,
4:06.0,,,39-37,3,R. Jefferson makes 3-pt shot from 23 ft (assist by I. Shumpert)
4:06.0,Chicago full timeout,,39-37,,
4:06.0,R. Lopez enters the game for D. Wade,,39-37,,
4:06.0,,,39-37,,T. Thompson enters the game for C. Frye
3:46.0,T. Gibson makes 2-pt shot from 9 ft,2,41-37,,
3:25.0,,,41-37,,I. Shumpert misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by R. Lopez,,41-37,,
3:19.0,Turnover by J. Grant (bad pass; steal by L. James),,41-37,,
3:17.0,,,41-37,,Shooting foul by R. Lopez (drawn by I. Shumpert)
3:17.0,,,41-37,,I. Shumpert misses free throw 1 of 2
3:17.0,,,41-37,,Offensive rebound by Team
3:17.0,,,41-38,1,I. Shumpert makes free throw 2 of 2
2:53.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler),2,43-38,,
2:34.0,,,43-40,2,J. McRae makes 2-pt shot from 15 ft (assist by L. James)
2:11.0,J. Butler makes 3-pt shot from 25 ft,3,46-40,,
1:54.0,,,46-42,2,J. McRae makes 2-pt shot from 15 ft (assist by L. James)
1:34.0,D. McDermott makes 3-pt shot from 24 ft (assist by J. Butler),3,49-42,,
1:13.0,,,49-44,2,T. Thompson makes 2-pt shot from 1 ft (assist by J. McRae)
0:52.0,J. Grant makes 3-pt shot from 28 ft (assist by D. McDermott),3,52-44,,
0:37.0,,,52-44,,L. James misses 2-pt shot from 3 ft
0:36.0,,,52-44,,Offensive rebound by T. Thompson
0:36.0,,,52-44,,T. Thompson misses 2-pt shot from 1 ft
0:36.0,,,52-44,,Offensive rebound by L. James
0:36.0,,,52-46,2,L. James makes 2-pt shot from 3 ft
0:21.0,J. Grant misses 3-pt shot from 25 ft,,52-46,,
0:21.0,Offensive rebound by R. Lopez,,52-46,,
0:06.0,J. Butler misses 2-pt shot from 1 ft,,52-46,,
0:06.0,Offensive rebound by J. Butler,,52-46,,
0:06.0,J. Butler misses 2-pt shot from 1 ft,,52-46,,
0:03.0,Offensive rebound by T. Gibson,,52-46,,
0:00.0,T. Gibson misses 2-pt shot from 11 ft,,52-46,,
0:00.0,Offensive rebound by Team,,52-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. Lopez makes 2-pt shot from 9 ft (assist by D. Wade),2,54-46,,
11:16.0,,,54-46,,L. James misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by J. Butler,,54-46,,
11:01.0,R. Lopez makes 2-pt shot from 8 ft,2,56-46,,
10:38.0,,,56-46,,D. Liggins misses 2-pt shot from 1 ft
10:38.0,,,56-46,,Offensive rebound by T. Thompson
10:38.0,Personal foul by R. Lopez (drawn by T. Thompson),,56-46,,
10:35.0,,,56-46,,Shooting foul by D. Wade (drawn by L. James)
10:35.0,,,56-46,,L. James misses free throw 1 of 2
10:35.0,,,56-46,,Offensive rebound by Team
10:35.0,,,56-47,1,L. James makes free throw 2 of 2
10:22.0,J. Butler misses 3-pt shot from 23 ft,,56-47,,
10:21.0,,,56-47,,Defensive rebound by D. Liggins
10:05.0,,,56-50,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
9:39.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Butler),2,58-50,,
9:24.0,,,58-52,2,L. James makes 2-pt shot at rim
9:24.0,,,58-52,,Shooting foul by J. Butler (drawn by L. James)
9:24.0,,,58-53,1,L. James makes free throw 1 of 1
9:04.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Lopez),3,61-53,,
8:47.0,,,61-53,,J. McRae misses 2-pt shot from 7 ft (block by M. Carter-Williams)
8:47.0,,,61-53,,Offensive rebound by Team
8:42.0,,,61-53,,Turnover by D. Liggins (bad pass; steal by T. Gibson)
8:35.0,D. Wade makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,64-53,,
8:33.0,,,64-53,,Cleveland full timeout
8:18.0,,,64-53,,C. Frye misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by D. Wade,,64-53,,
8:06.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by D. Wade),2,66-53,,
7:50.0,,,66-53,,L. James misses 2-pt shot from 6 ft
7:47.0,,,66-53,,Offensive rebound by T. Thompson
7:36.0,,,66-55,2,D. Liggins makes 2-pt shot at rim (assist by L. James)
7:14.0,D. Wade makes 3-pt shot from 26 ft,3,69-55,,
6:58.0,,,69-57,2,L. James makes 2-pt shot from 10 ft
6:32.0,Turnover by D. Wade (lost ball; steal by D. Liggins),,69-57,,
6:28.0,,,69-57,,Shooting foul by J. Butler (drawn by J. McRae)
6:28.0,,,69-58,1,J. McRae makes free throw 1 of 2
6:28.0,,,69-59,1,J. McRae makes free throw 2 of 2
6:16.0,,,69-59,,Personal foul by D. Liggins (drawn by D. Wade)
6:08.0,M. Carter-Williams makes 2-pt shot at rim (assist by D. Wade),2,71-59,,
6:08.0,Shooting foul by J. McRae (drawn by M. Carter-Williams),,71-59,,
6:08.0,M. Carter-Williams makes free throw 1 of 1,1,72-59,,
6:08.0,D. McDermott enters the game for D. Wade,,71-59,,
5:50.0,,,72-59,,L. James misses 2-pt shot from 4 ft
5:48.0,Defensive rebound by M. Carter-Williams,,72-59,,
5:46.0,M. Carter-Williams makes 2-pt shot at rim,2,74-59,,
5:46.0,,,74-59,,Cleveland full timeout
5:22.0,,,74-59,,J. McRae misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by T. Gibson,,74-59,,
5:09.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,76-59,,
4:48.0,,,76-59,,C. Frye misses 2-pt shot from 5 ft
4:47.0,,,76-59,,Offensive rebound by T. Thompson
4:47.0,,,76-59,,C. Frye misses 2-pt shot from 1 ft
4:47.0,,,76-59,,Offensive rebound by C. Frye
4:47.0,,,76-59,,T. Thompson misses 2-pt shot from 2 ft
4:44.0,,,76-59,,Offensive rebound by C. Frye
4:35.0,,,76-61,2,C. Frye makes 2-pt shot from 11 ft
4:24.0,Offensive foul by R. Lopez,,76-61,,
4:24.0,Turnover by R. Lopez (offensive foul),,76-61,,
4:24.0,N. Mirotic enters the game for T. Gibson,,76-61,,
4:24.0,,,76-61,,J. Jones enters the game for T. Thompson
4:24.0,T. Gibson enters the game for R. Lopez,,76-61,,
4:15.0,,,76-61,,Turnover by L. James (bad pass; steal by N. Mirotic)
4:02.0,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler),2,78-61,,
3:55.0,,,78-63,2,L. James makes 2-pt shot from 2 ft
3:42.0,D. McDermott misses 2-pt shot from 14 ft,,78-63,,
3:42.0,,,78-63,,Defensive rebound by J. Jones
3:30.0,,,78-63,,L. James misses 2-pt shot from 4 ft (block by N. Mirotic)
3:29.0,,,78-63,,Offensive rebound by L. James
3:21.0,Personal foul by N. Mirotic (drawn by L. James),,78-63,,
3:21.0,,,78-64,1,L. James makes free throw 1 of 2
3:21.0,,,78-65,1,L. James makes free throw 2 of 2
3:05.0,M. Carter-Williams misses 2-pt shot from 18 ft,,78-65,,
3:04.0,,,78-65,,Defensive rebound by Team
3:03.0,,,78-65,,I. Shumpert enters the game for L. James
3:03.0,,,78-65,,R. Jefferson enters the game for D. Liggins
2:49.0,,,78-67,2,J. McRae makes 2-pt shot from 18 ft
2:49.0,Chicago full timeout,,78-67,,
2:49.0,J. Grant enters the game for M. Carter-Williams,,78-67,,
2:28.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Grant),3,81-67,,
2:03.0,,,81-67,,J. Jones misses 2-pt shot from 1 ft
2:02.0,Defensive rebound by D. McDermott,,81-67,,
1:48.0,Turnover by T. Gibson (bad pass),,81-67,,
1:48.0,,,81-67,,T. Thompson enters the game for C. Frye
1:48.0,C. Felicio enters the game for T. Gibson,,81-67,,
1:35.0,,,81-67,,Turnover by J. McRae (lost ball; steal by J. Grant)
1:33.0,Shooting foul by R. Jefferson (drawn by J. Grant),,81-67,,
1:33.0,J. Grant makes free throw 1 of 2,1,82-67,,
1:33.0,J. Grant makes free throw 2 of 2,1,83-67,,
1:33.0,D. Wade enters the game for J. Butler,,82-67,,
1:20.0,,,83-67,,J. Jones misses 3-pt shot from 25 ft
1:19.0,,,83-67,,Offensive rebound by I. Shumpert
1:14.0,,,83-70,3,R. Jefferson makes 3-pt shot from 26 ft (assist by J. McRae)
1:00.0,J. Grant misses 2-pt shot from 12 ft (block by J. McRae),,83-70,,
0:59.0,,,83-70,,Defensive rebound by Team
0:43.0,,,83-72,2,J. McRae makes 2-pt shot from 17 ft
0:36.0,D. Wade misses 2-pt shot from 18 ft,,83-72,,
0:35.0,,,83-72,,Defensive rebound by J. Jones
0:28.0,,,83-74,2,J. McRae makes 2-pt shot from 1 ft
0:28.0,,,83-74,,Shooting foul by C. Felicio (drawn by J. McRae)
0:28.0,,,83-74,,J. McRae misses free throw 1 of 1
0:27.0,Defensive rebound by D. McDermott,,83-74,,
0:07.0,Turnover by D. Wade (lost ball),,83-74,,
0:02.0,,,83-74,,Turnover by I. Shumpert (lost ball; steal by D. McDermott)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,83-76,2,K. Felder makes 2-pt shot at rim
11:45.0,,,83-76,,Shooting foul by J. Grant (drawn by K. Felder)
11:45.0,,,83-77,1,K. Felder makes free throw 1 of 1
11:28.0,Shooting foul by K. Felder (drawn by D. McDermott),,83-77,,
11:28.0,Technical foul by D. McDermott,,83-77,,
11:28.0,,,83-78,1,I. Shumpert makes technical free throw
11:28.0,D. McDermott makes free throw 1 of 2,1,84-78,,
11:28.0,D. McDermott makes free throw 2 of 2,1,85-78,,
11:17.0,,,85-78,,Offensive foul by T. Thompson
11:17.0,,,85-78,,Turnover by T. Thompson (offensive foul)
11:00.0,D. McDermott misses 2-pt shot from 14 ft,,85-78,,
11:00.0,,,85-78,,Defensive rebound by J. Jones
10:50.0,,,85-78,,K. Felder misses 2-pt shot from 1 ft
10:50.0,,,85-78,,Offensive rebound by T. Thompson
10:50.0,Personal foul by J. Grant (drawn by T. Thompson),,85-78,,
10:43.0,,,85-78,,Turnover by T. Thompson (lost ball; steal by D. Wade)
10:36.0,D. Wade misses 3-pt shot from 26 ft,,85-78,,
10:35.0,,,85-78,,Defensive rebound by J. Jones
10:27.0,,,85-78,,R. Jefferson misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by C. Felicio,,85-78,,
10:16.0,Shooting foul by T. Thompson (drawn by D. Wade),,85-78,,
10:16.0,D. Wade misses free throw 1 of 2,,85-78,,
10:16.0,Offensive rebound by Team,,85-78,,
10:16.0,D. Wade makes free throw 2 of 2,1,86-78,,
10:03.0,,,86-80,2,K. Felder makes 2-pt shot from 2 ft
9:52.0,Turnover by D. Wade (bad pass; steal by T. Thompson),,86-80,,
9:43.0,,,86-82,2,I. Shumpert makes 2-pt shot from 2 ft
9:43.0,Chicago full timeout,,86-82,,
9:43.0,R. Lopez enters the game for D. McDermott,,86-82,,
9:43.0,M. Carter-Williams enters the game for J. Grant,,86-82,,
9:43.0,J. Butler enters the game for C. Felicio,,86-82,,
9:29.0,N. Mirotic misses 3-pt shot from 23 ft,,86-82,,
9:28.0,,,86-82,,Defensive rebound by K. Felder
9:18.0,,,86-84,2,K. Felder makes 2-pt shot from 17 ft
8:58.0,J. Butler makes 2-pt shot from 17 ft,2,88-84,,
8:49.0,Personal foul by M. Carter-Williams (drawn by K. Felder),,88-84,,
8:49.0,,,88-84,,L. James enters the game for J. Jones
8:40.0,,,88-84,,Turnover by T. Thompson (lost ball; steal by D. Wade)
8:40.0,,,88-84,,Personal foul by L. James (drawn by D. Wade)
8:19.0,J. Butler misses 3-pt shot from 25 ft,,88-84,,
8:18.0,,,88-84,,Defensive rebound by L. James
7:56.0,,,88-84,,Turnover by L. James (lost ball)
7:44.0,Shooting foul by K. Felder (drawn by J. Butler),,88-84,,
7:44.0,J. Butler makes free throw 1 of 2,1,89-84,,
7:44.0,J. Butler misses free throw 2 of 2,,89-84,,
7:44.0,,,89-84,,C. Frye enters the game for T. Thompson
7:44.0,T. Gibson enters the game for R. Lopez,,89-84,,
7:42.0,,,89-84,,Defensive rebound by I. Shumpert
7:30.0,,,89-86,2,L. James makes 2-pt shot at rim
7:05.0,M. Carter-Williams misses 2-pt shot from 7 ft,,89-86,,
7:03.0,,,89-86,,Defensive rebound by I. Shumpert
6:48.0,,,89-88,2,L. James makes 2-pt shot from 1 ft
6:32.0,N. Mirotic misses 3-pt shot from 26 ft,,89-88,,
6:32.0,,,89-88,,Defensive rebound by C. Frye
6:25.0,,,89-88,,Offensive charge foul by L. James
6:25.0,,,89-88,,Turnover by L. James (offensive foul)
6:25.0,D. McDermott enters the game for D. Wade,,89-88,,
6:13.0,J. Butler makes 3-pt shot from 26 ft,3,92-88,,
5:48.0,,,92-88,,K. Felder misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by J. Butler,,92-88,,
5:32.0,J. Butler makes 2-pt shot from 15 ft,2,94-88,,
5:32.0,,,94-88,,Cleveland full timeout
5:32.0,,,94-88,,J. McRae enters the game for I. Shumpert
5:32.0,,,94-88,,D. Liggins enters the game for K. Felder
5:13.0,,,94-88,,Turnover by J. McRae (lost ball; steal by M. Carter-Williams)
5:03.0,Shooting foul by J. McRae (drawn by J. Butler),,94-88,,
5:03.0,J. Butler makes free throw 1 of 2,1,95-88,,
5:03.0,J. Butler makes free throw 2 of 2,1,96-88,,
4:45.0,,,96-88,,J. McRae misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by T. Gibson,,96-88,,
4:32.0,J. Butler misses 2-pt shot from 19 ft,,96-88,,
4:31.0,,,96-88,,Defensive rebound by L. James
4:26.0,,,96-88,,Shooting foul by M. Carter-Williams (drawn by R. Jefferson)
4:26.0,,,96-88,,R. Jefferson misses free throw 1 of 2
4:26.0,,,96-88,,Offensive rebound by Team
4:26.0,,,96-89,1,R. Jefferson makes free throw 2 of 2
4:26.0,,,96-88,,T. Thompson enters the game for C. Frye
4:03.0,T. Gibson makes 2-pt shot at rim (assist by M. Carter-Williams),2,98-89,,
3:44.0,,,98-89,,Shooting foul by N. Mirotic (drawn by L. James)
3:44.0,,,98-89,,L. James misses free throw 1 of 2
3:44.0,,,98-89,,Offensive rebound by Team
3:44.0,,,98-90,1,L. James makes free throw 2 of 2
3:30.0,M. Carter-Williams misses 3-pt shot from 25 ft,,98-90,,
3:29.0,Offensive rebound by J. Butler,,98-90,,
3:28.0,J. Butler makes 2-pt shot from 17 ft,2,100-90,,
3:01.0,,,100-90,,Turnover by D. Liggins (bad pass)
2:47.0,J. Butler misses 2-pt shot from 18 ft,,100-90,,
2:46.0,,,100-90,,Defensive rebound by L. James
2:44.0,,,100-90,,Shooting foul by D. McDermott (drawn by J. McRae)
2:44.0,Official timeout,,100-90,,
2:44.0,,,100-91,1,J. McRae makes free throw 1 of 2
2:44.0,,,100-92,1,J. McRae makes free throw 2 of 2
2:44.0,,,100-90,,K. Felder enters the game for D. Liggins
2:26.0,T. Gibson makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,102-92,,
2:11.0,,,102-92,,R. Jefferson misses 2-pt shot from 3 ft
2:10.0,,,102-92,,Offensive rebound by R. Jefferson
2:10.0,,,102-92,,R. Jefferson misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by Team,,102-92,,
1:56.0,J. Butler makes 2-pt shot at rim,2,104-92,,
1:42.0,,,104-92,,J. McRae misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by J. Butler,,104-92,,
1:25.0,Turnover by M. Carter-Williams (bad pass),,104-92,,
1:25.0,,,104-92,,C. Frye enters the game for T. Thompson
1:18.0,,,104-94,2,L. James makes 2-pt shot from 1 ft
0:59.0,D. McDermott misses 3-pt shot from 23 ft,,104-94,,
0:59.0,,,104-94,,Defensive rebound by C. Frye
