time,Oklahoma City,pts.away,score,pts.home,Houston
2:09.0,,,55-74,,J. Harden misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by A. Roberson,,55-74,,
1:48.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,57-74,,
1:48.0,Shooting foul by J. Harden (drawn by A. Roberson),,57-74,,
1:48.0,A. Roberson misses free throw 1 of 1,,57-74,,
1:48.0,,,57-74,,Defensive rebound by J. Harden
1:38.0,,,57-76,2,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden)
1:30.0,Oklahoma City full timeout,,57-76,,
1:30.0,V. Oladipo enters the game for D. McDermott,,57-76,,
1:21.0,S. Christon misses 3-pt shot from 26 ft,,57-76,,
1:20.0,,,57-76,,Defensive rebound by J. Harden
1:13.0,Personal foul by A. Roberson (drawn by N. Hilario),,57-76,,
1:13.0,,,57-76,,N. Hilario misses free throw 1 of 2
1:13.0,,,57-76,,Offensive rebound by Team
1:13.0,,,57-77,1,N. Hilario makes free throw 2 of 2
1:13.0,T. Gibson enters the game for A. Roberson,,57-76,,
0:59.0,R. Westbrook makes 2-pt shot at rim,2,59-77,,
0:46.0,,,59-79,2,N. Hilario makes 2-pt shot at rim (assist by T. Ariza)
0:32.0,R. Westbrook misses 3-pt shot from 25 ft,,59-79,,
0:31.0,,,59-79,,Defensive rebound by T. Ariza
0:08.0,,,59-79,,Turnover by T. Ariza (bad pass; steal by T. Gibson)
0:05.0,V. Oladipo misses 2-pt shot from 3 ft (block by T. Ariza),,59-79,,
0:03.0,,,59-79,,Defensive rebound by T. Ariza
0:00.0,,,59-79,,T. Ariza misses 3-pt shot from 43 ft
0:00.0,,,59-79,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Personal foul by T. Gibson (drawn by T. Ariza),,59-79,,
11:46.0,,,59-79,,Shooting foul by A. Roberson (drawn by J. Harden)
11:46.0,,,59-80,1,J. Harden makes free throw 1 of 2
11:46.0,,,59-80,,J. Harden misses free throw 2 of 2
11:45.0,Defensive rebound by R. Westbrook,,59-80,,
11:33.0,A. Roberson misses 3-pt shot from 24 ft,,59-80,,
11:32.0,Offensive rebound by S. Adams,,59-80,,
11:31.0,,,59-80,,Personal foul by C. Capela (drawn by S. Adams)
11:31.0,,,59-80,,N. Hilario enters the game for C. Capela
11:23.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,62-80,,
11:08.0,,,62-80,,E. Gordon misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by R. Westbrook,,62-80,,
11:02.0,,,62-80,,Personal foul by E. Gordon (drawn by S. Adams)
10:53.0,V. Oladipo misses 2-pt shot from 19 ft,,62-80,,
10:52.0,,,62-80,,Defensive rebound by J. Harden
10:47.0,,,62-80,,T. Ariza misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by A. Roberson,,62-80,,
10:34.0,A. Roberson misses 2-pt shot at rim,,62-80,,
10:33.0,Offensive rebound by S. Adams,,62-80,,
10:33.0,S. Adams misses 2-pt shot from 1 ft,,62-80,,
10:32.0,Offensive rebound by A. Roberson,,62-80,,
10:32.0,A. Roberson misses 2-pt shot from 2 ft,,62-80,,
10:31.0,,,62-80,,Defensive rebound by Team
10:20.0,,,62-82,2,J. Harden makes 2-pt shot from 3 ft
10:02.0,Shooting foul by J. Harden (drawn by S. Adams),,62-82,,
10:02.0,S. Adams makes 2-pt shot from 7 ft,2,64-82,,
10:02.0,S. Adams misses free throw 1 of 1,,64-82,,
10:02.0,,,64-82,,Defensive rebound by T. Ariza
9:46.0,,,64-82,,P. Beverley misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by R. Westbrook,,64-82,,
9:37.0,Shooting foul by P. Beverley (drawn by R. Westbrook),,64-82,,
9:37.0,R. Westbrook makes free throw 1 of 2,1,65-82,,
9:37.0,R. Westbrook makes free throw 2 of 2,1,66-82,,
9:25.0,,,66-82,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
9:18.0,R. Westbrook misses 3-pt shot from 24 ft,,66-82,,
9:16.0,Offensive rebound by T. Gibson,,66-82,,
9:13.0,T. Gibson makes 2-pt shot at rim,2,68-82,,
8:52.0,,,68-82,,E. Gordon misses 2-pt shot from 2 ft
8:51.0,Defensive rebound by T. Gibson,,68-82,,
8:47.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,70-82,,
8:47.0,,,70-82,,Houston full timeout
8:37.0,,,70-85,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
8:21.0,Turnover by A. Roberson (lost ball; steal by N. Hilario),,70-85,,
8:16.0,,,70-85,,J. Harden misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by R. Westbrook,,70-85,,
8:07.0,V. Oladipo makes 2-pt shot from 20 ft,2,72-85,,
7:47.0,,,72-87,2,N. Hilario makes 2-pt shot from 3 ft (assist by P. Beverley)
7:27.0,V. Oladipo misses 2-pt shot from 22 ft,,72-87,,
7:26.0,,,72-87,,Defensive rebound by N. Hilario
7:19.0,,,72-90,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
7:18.0,Oklahoma City full timeout,,72-90,,
7:07.0,Turnover by R. Westbrook (bad pass),,72-90,,
6:56.0,,,72-90,,Turnover by E. Gordon (bad pass; steal by A. Roberson)
6:56.0,,,72-90,,Personal foul by P. Beverley (drawn by R. Westbrook)
6:56.0,R. Westbrook makes free throw 1 of 2,1,73-90,,
6:56.0,R. Westbrook misses free throw 2 of 2,,73-90,,
6:55.0,Offensive rebound by S. Adams,,73-90,,
6:47.0,V. Oladipo misses 3-pt shot from 25 ft,,73-90,,
6:46.0,Offensive rebound by T. Gibson,,73-90,,
6:39.0,A. Roberson misses 2-pt shot from 1 ft,,73-90,,
6:36.0,Offensive rebound by T. Gibson,,73-90,,
6:30.0,T. Gibson makes 2-pt shot at rim,2,75-90,,
6:22.0,,,75-93,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
6:03.0,Turnover by T. Gibson (lost ball),,75-93,,
6:03.0,,,75-93,,L. Williams enters the game for P. Beverley
5:52.0,,,75-93,,Turnover by J. Harden (bad pass; steal by A. Roberson)
5:36.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,77-93,,
5:26.0,,,77-95,2,L. Williams makes 2-pt shot from 2 ft
5:12.0,Turnover by V. Oladipo (bad pass; steal by T. Ariza),,77-95,,
5:10.0,Personal foul by R. Westbrook (drawn by J. Harden),,77-95,,
5:10.0,A. Abrines enters the game for V. Oladipo,,77-95,,
4:53.0,,,77-95,,J. Harden misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by R. Westbrook,,77-95,,
4:46.0,R. Westbrook misses 3-pt shot from 27 ft,,77-95,,
4:45.0,Offensive rebound by A. Roberson,,77-95,,
4:44.0,A. Roberson makes 2-pt shot from 1 ft,2,79-95,,
4:27.0,,,79-95,,Turnover by T. Ariza (traveling)
4:27.0,,,79-95,,C. Capela enters the game for N. Hilario
4:27.0,,,79-95,,S. Dekker enters the game for E. Gordon
4:05.0,A. Roberson misses 2-pt shot from 7 ft,,79-95,,
4:04.0,,,79-95,,Defensive rebound by C. Capela
3:57.0,,,79-97,2,T. Ariza makes 2-pt shot from 1 ft (assist by L. Williams)
3:43.0,Turnover by A. Abrines (lost ball; steal by L. Williams),,79-97,,
3:36.0,,,79-100,3,L. Williams makes 3-pt shot from 29 ft (assist by J. Harden)
3:35.0,Oklahoma City full timeout,,79-100,,
3:35.0,E. Kanter enters the game for T. Gibson,,79-100,,
3:35.0,J. Grant enters the game for S. Adams,,79-100,,
3:22.0,A. Abrines misses 3-pt shot from 27 ft,,79-100,,
3:21.0,,,79-100,,Defensive rebound by S. Dekker
3:07.0,,,79-100,,Turnover by L. Williams (bad pass; steal by A. Abrines)
3:05.0,Turnover by R. Westbrook (bad pass; steal by T. Ariza),,79-100,,
3:05.0,,,79-103,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
2:52.0,J. Grant misses 3-pt shot from 26 ft,,79-103,,
2:51.0,,,79-103,,Defensive rebound by C. Capela
2:36.0,,,79-103,,J. Harden misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by E. Kanter,,79-103,,
2:27.0,A. Roberson makes 2-pt shot from 1 ft,2,81-103,,
2:03.0,,,81-106,3,L. Williams makes 3-pt shot from 27 ft (assist by S. Dekker)
1:45.0,A. Roberson makes 2-pt shot at rim (assist by E. Kanter),2,83-106,,
1:26.0,,,83-106,,C. Capela misses 2-pt shot from 4 ft
1:25.0,,,83-106,,Offensive rebound by S. Dekker
1:22.0,,,83-108,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
1:21.0,,,83-108,,Technical foul by C. Capela
1:21.0,R. Westbrook misses technical free throw,,83-108,,
1:21.0,Offensive rebound by Team,,83-108,,
1:19.0,,,83-108,,Technical foul by Team
1:19.0,R. Westbrook makes technical free throw,1,84-108,,
1:13.0,R. Westbrook misses 2-pt shot from 1 ft,,84-108,,
1:13.0,Offensive rebound by Team,,84-108,,
1:13.0,,,84-108,,Loose ball foul by J. Harden (drawn by E. Kanter)
1:13.0,E. Kanter makes free throw 1 of 2,1,85-108,,
1:13.0,E. Kanter makes free throw 2 of 2,1,86-108,,
1:13.0,S. Christon enters the game for R. Westbrook,,85-108,,
1:00.0,,,86-108,,Turnover by J. Harden (bad pass; steal by A. Abrines)
0:43.0,E. Kanter makes 2-pt shot from 1 ft,2,88-108,,
0:42.0,Personal foul by A. Roberson (drawn by J. Harden),,88-108,,
0:27.0,,,88-110,2,J. Harden makes 2-pt shot from 1 ft
0:04.0,A. Roberson misses 2-pt shot from 2 ft,,88-110,,
0:02.0,,,88-110,,Defensive rebound by J. Harden
0:00.0,,,88-113,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,E. Kanter makes 2-pt shot from 1 ft (assist by A. Abrines),2,90-113,,
11:29.0,,,90-113,,L. Williams misses 2-pt shot from 4 ft (block by J. Grant)
11:27.0,Defensive rebound by V. Oladipo,,90-113,,
11:20.0,E. Kanter makes 2-pt shot from 2 ft (assist by V. Oladipo),2,92-113,,
11:20.0,Shooting foul by E. Gordon (drawn by E. Kanter),,92-113,,
11:20.0,E. Kanter makes free throw 1 of 1,1,93-113,,
11:07.0,,,93-113,,Shooting foul by A. Abrines (drawn by E. Gordon)
11:07.0,,,93-114,1,E. Gordon makes free throw 1 of 2
11:07.0,,,93-115,1,E. Gordon makes free throw 2 of 2
10:50.0,Shooting foul by C. Capela (drawn by E. Kanter),,93-115,,
10:50.0,E. Kanter makes free throw 1 of 2,1,94-115,,
10:50.0,E. Kanter makes free throw 2 of 2,1,95-115,,
10:50.0,,,94-115,,N. Hilario enters the game for C. Capela
10:37.0,,,95-115,,Turnover by P. Beverley (lost ball; steal by S. Christon)
10:32.0,A. Abrines misses 3-pt shot from 27 ft,,95-115,,
10:30.0,,,95-115,,Defensive rebound by N. Hilario
10:25.0,,,95-115,,Offensive charge foul by L. Williams
10:25.0,,,95-115,,Turnover by L. Williams (offensive foul)
10:15.0,Turnover by S. Christon (lost ball; steal by P. Beverley),,95-115,,
10:04.0,,,95-115,,P. Beverley misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by V. Oladipo,,95-115,,
9:48.0,E. Kanter makes 2-pt shot from 20 ft,2,97-115,,
9:35.0,,,97-115,,L. Williams misses 2-pt shot at rim (block by J. Grant)
9:33.0,Defensive rebound by V. Oladipo,,97-115,,
9:27.0,Offensive foul by V. Oladipo,,97-115,,
9:27.0,Turnover by V. Oladipo (offensive foul),,97-115,,
9:20.0,,,97-115,,Turnover by P. Beverley (step out of bounds)
9:20.0,R. Westbrook enters the game for V. Oladipo,,97-115,,
9:00.0,R. Westbrook misses 2-pt shot from 3 ft,,97-115,,
8:59.0,Offensive rebound by E. Kanter,,97-115,,
8:59.0,,,97-115,,Loose ball foul by N. Hilario (drawn by E. Kanter)
8:59.0,Official timeout,,97-115,,
8:52.0,A. Abrines misses 3-pt shot from 26 ft,,97-115,,
8:51.0,Offensive rebound by J. Grant,,97-115,,
8:46.0,R. Westbrook makes 3-pt shot from 26 ft (assist by S. Christon),3,100-115,,
8:34.0,,,100-117,2,N. Hilario makes 2-pt shot at rim
8:16.0,R. Westbrook misses 3-pt shot from 25 ft,,100-117,,
8:15.0,Offensive rebound by S. Christon,,100-117,,
8:14.0,Turnover by S. Christon (back court),,100-117,,
7:52.0,,,100-119,2,E. Gordon makes 2-pt shot from 6 ft
7:37.0,Offensive charge foul by E. Kanter,,100-119,,
7:37.0,Turnover by E. Kanter (offensive foul),,100-119,,
7:26.0,,,100-119,,Turnover by L. Williams (bad pass; steal by J. Grant)
7:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,102-119,,
6:57.0,,,102-121,2,L. Williams makes 2-pt shot from 11 ft (assist by P. Beverley)
6:47.0,R. Westbrook misses 2-pt shot from 1 ft,,102-121,,
6:46.0,,,102-121,,Defensive rebound by P. Beverley
6:46.0,Personal foul by R. Westbrook (drawn by P. Beverley),,102-121,,
6:36.0,,,102-121,,Shooting foul by J. Grant (drawn by E. Gordon)
6:36.0,,,102-122,1,E. Gordon makes free throw 1 of 2
6:36.0,,,102-123,1,E. Gordon makes free throw 2 of 2
6:36.0,,,102-122,,J. Harden enters the game for P. Beverley
6:36.0,A. Roberson enters the game for S. Christon,,102-122,,
6:36.0,,,102-122,,T. Ariza enters the game for S. Dekker
6:18.0,A. Abrines makes 3-pt shot from 26 ft (assist by E. Kanter),3,105-123,,
6:01.0,,,105-123,,L. Williams misses 3-pt shot from 29 ft
6:00.0,Defensive rebound by R. Westbrook,,105-123,,
