time,Sacramento,pts.away,score,pts.home,Golden State
4:48.0,Shooting foul by A. Iguodala (drawn by A. Tolliver),,12-21,,
4:48.0,A. Tolliver makes free throw 1 of 2,1,13-21,,
4:48.0,A. Tolliver misses free throw 2 of 2,,13-21,,
4:47.0,,,13-21,,Defensive rebound by J. McGee
4:39.0,,,13-21,,K. Durant misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by B. McLemore,,13-21,,
4:30.0,D. Collison makes 2-pt shot from 2 ft (assist by A. Tolliver),2,15-21,,
4:11.0,,,15-24,3,K. Durant makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:52.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,17-24,,
3:43.0,,,17-24,,Turnover by S. Curry (lost ball)
3:43.0,,,17-24,,K. Looney enters the game for J. McGee
3:43.0,,,17-24,,I. Clark enters the game for K. Thompson
3:27.0,D. Cousins makes 3-pt shot from 27 ft (assist by D. Collison),3,20-24,,
3:13.0,Personal foul by M. Richardson (drawn by K. Durant),,20-24,,
3:13.0,M. Barnes enters the game for B. McLemore,,20-24,,
3:07.0,,,20-24,,S. Curry misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by D. Cousins,,20-24,,
2:54.0,D. Cousins misses 3-pt shot from 26 ft,,20-24,,
2:53.0,,,20-24,,Defensive rebound by S. Curry
2:44.0,,,20-26,2,K. Looney makes 2-pt shot at rim (assist by A. Iguodala)
2:26.0,A. Tolliver misses 3-pt shot from 25 ft (block by A. Iguodala),,20-26,,
2:25.0,,,20-26,,Defensive rebound by S. Curry
2:18.0,,,20-26,,S. Curry misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by M. Richardson,,20-26,,
2:11.0,Turnover by D. Cousins (lost ball; steal by K. Looney),,20-26,,
2:03.0,,,20-26,,S. Curry misses 2-pt shot from 3 ft
2:02.0,Defensive rebound by M. Richardson,,20-26,,
1:49.0,M. Richardson makes 2-pt shot from 22 ft (assist by D. Cousins),2,22-26,,
1:43.0,,,22-26,,Golden State full timeout
1:43.0,,,22-26,,D. Green enters the game for K. Durant
1:43.0,W. Cauley-Stein enters the game for D. Cousins,,22-26,,
1:33.0,,,22-26,,I. Clark misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by M. Barnes,,22-26,,
1:14.0,M. Richardson misses 2-pt shot from 2 ft,,22-26,,
1:13.0,,,22-26,,Defensive rebound by D. Green
1:04.0,,,22-26,,D. Green misses 3-pt shot from 27 ft
1:03.0,Defensive rebound by M. Barnes,,22-26,,
0:51.0,D. Collison misses 2-pt shot from 17 ft,,22-26,,
0:50.0,,,22-26,,Defensive rebound by A. Iguodala
0:47.0,Personal foul by M. Richardson (drawn by K. Looney),,22-26,,
0:39.0,,,22-26,,D. Green misses 3-pt shot from 23 ft
0:38.0,,,22-26,,Offensive rebound by Team
0:37.0,Loose ball foul by W. Cauley-Stein (drawn by S. Curry),,22-26,,
0:37.0,,,22-27,1,S. Curry makes free throw 1 of 2
0:37.0,,,22-28,1,S. Curry makes free throw 2 of 2
0:27.0,M. Barnes makes 3-pt shot from 27 ft (assist by A. Tolliver),3,25-28,,
0:09.0,,,25-28,,Turnover by S. Curry (bad pass)
0:03.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by S. Curry),,25-28,,
0:02.0,Offensive rebound by Team,,25-28,,
0:01.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,25-28,,
0:00.0,Offensive rebound by Team,,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-28,,D. Green misses 2-pt shot from 8 ft
11:42.0,Defensive rebound by M. Barnes,,25-28,,
11:36.0,A. Tolliver misses 3-pt shot from 27 ft,,25-28,,
11:35.0,,,25-28,,Defensive rebound by A. Iguodala
11:22.0,,,25-31,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
11:01.0,Turnover by W. Cauley-Stein (bad pass; steal by A. Iguodala),,25-31,,
10:55.0,,,25-31,,A. Iguodala misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by M. Barnes,,25-31,,
10:47.0,,,25-31,,Personal foul by D. Green (drawn by A. Tolliver)
10:38.0,M. Richardson makes 2-pt shot from 1 ft (assist by M. Barnes),2,27-31,,
10:18.0,,,27-33,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
10:06.0,,,27-33,,Def 3 sec tech foul by J. McAdoo
10:06.0,A. Afflalo makes technical free throw,1,28-33,,
9:54.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by M. Barnes),2,30-33,,
9:32.0,,,30-33,,K. Thompson misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by M. Richardson,,30-33,,
9:10.0,Turnover by M. Barnes (lost ball),,30-33,,
8:48.0,,,30-33,,A. Iguodala misses 3-pt shot from 26 ft
8:47.0,Defensive rebound by W. Cauley-Stein,,30-33,,
8:26.0,A. Afflalo misses 2-pt shot from 3 ft,,30-33,,
8:25.0,Offensive rebound by W. Cauley-Stein,,30-33,,
8:25.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,32-33,,
8:08.0,,,32-33,,S. Livingston misses 2-pt shot from 12 ft
8:07.0,Defensive rebound by M. Richardson,,32-33,,
7:57.0,Sacramento full timeout,,32-33,,
7:57.0,,,32-33,,K. Durant enters the game for D. Green
7:57.0,,,32-33,,I. Clark enters the game for A. Iguodala
7:45.0,M. Richardson misses 2-pt shot from 20 ft,,32-33,,
7:45.0,,,32-33,,Defensive rebound by J. McAdoo
7:25.0,,,32-35,2,K. Durant makes 2-pt shot from 18 ft
7:01.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,32-35,,
7:01.0,,,32-35,,Defensive rebound by K. Durant
6:48.0,,,32-35,,K. Thompson misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by M. Barnes,,32-35,,
6:36.0,A. Afflalo misses 2-pt shot from 8 ft (block by J. McAdoo),,32-35,,
6:35.0,Offensive rebound by W. Cauley-Stein,,32-35,,
6:28.0,M. Richardson misses 2-pt shot from 12 ft,,32-35,,
6:27.0,Offensive rebound by M. Richardson,,32-35,,
6:25.0,M. Richardson misses 2-pt shot from 4 ft,,32-35,,
6:23.0,,,32-35,,Defensive rebound by J. McAdoo
6:03.0,,,32-35,,Shooting foul by M. Barnes (drawn by J. McAdoo)
6:03.0,,,32-35,,J. McAdoo misses free throw 1 of 2
6:03.0,,,32-35,,Offensive rebound by Team
6:03.0,,,32-36,1,J. McAdoo makes free throw 2 of 2
6:03.0,,,32-35,,S. Curry enters the game for K. Thompson
6:03.0,D. Cousins enters the game for A. Tolliver,,32-35,,
5:42.0,D. Cousins makes 2-pt shot from 5 ft (assist by A. Afflalo),2,34-36,,
5:30.0,,,34-38,2,J. McAdoo makes 2-pt shot from 2 ft (assist by S. Curry)
5:06.0,M. Barnes makes 2-pt shot from 6 ft (assist by D. Cousins),2,36-38,,
4:51.0,,,36-40,2,I. Clark makes 2-pt shot from 7 ft (assist by S. Curry)
4:33.0,W. Cauley-Stein makes 2-pt shot from 2 ft,2,38-40,,
4:33.0,Shooting foul by K. Durant (drawn by W. Cauley-Stein),,38-40,,
4:33.0,Official timeout,,38-40,,
4:33.0,W. Cauley-Stein makes free throw 1 of 1,1,39-40,,
4:33.0,D. Collison enters the game for M. Richardson,,38-40,,
4:33.0,,,38-40,,J. McGee enters the game for I. Clark
4:33.0,,,38-40,,A. Iguodala enters the game for J. McAdoo
4:19.0,,,39-42,2,K. Durant makes 2-pt shot from 2 ft
3:57.0,D. Cousins makes 2-pt shot from 2 ft (assist by M. Barnes),2,41-42,,
3:44.0,,,41-45,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
3:24.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,41-45,,
3:24.0,,,41-45,,Defensive rebound by S. Curry
3:05.0,,,41-45,,K. Durant misses 3-pt shot from 28 ft
3:04.0,Defensive rebound by D. Cousins,,41-45,,
3:01.0,,,41-45,,D. Green enters the game for S. Livingston
3:01.0,B. McLemore enters the game for A. Afflalo,,41-45,,
3:01.0,A. Tolliver enters the game for W. Cauley-Stein,,41-45,,
2:54.0,B. McLemore misses 3-pt shot from 24 ft,,41-45,,
2:53.0,Offensive rebound by A. Tolliver,,41-45,,
2:51.0,A. Tolliver makes 2-pt shot from 1 ft,2,43-45,,
2:43.0,,,43-45,,S. Curry misses 3-pt shot from 29 ft
2:43.0,,,43-45,,Offensive rebound by Team
2:42.0,,,43-45,,Golden State full timeout
2:42.0,,,43-45,,K. Thompson enters the game for J. McGee
2:34.0,,,43-47,2,K. Durant makes 2-pt shot from 3 ft (assist by D. Green)
2:13.0,D. Cousins misses 2-pt shot from 3 ft,,43-47,,
2:13.0,,,43-47,,Defensive rebound by K. Thompson
2:12.0,Personal foul by D. Cousins (drawn by K. Thompson),,43-47,,
1:56.0,,,43-47,,K. Thompson misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by M. Barnes,,43-47,,
1:33.0,D. Cousins misses 2-pt shot from 5 ft (block by K. Durant),,43-47,,
1:32.0,,,43-47,,Defensive rebound by K. Durant
1:23.0,,,43-47,,K. Durant misses 3-pt shot from 27 ft
1:22.0,,,43-47,,Offensive rebound by K. Thompson
1:20.0,,,43-47,,K. Thompson misses 2-pt shot from 19 ft
1:16.0,Defensive rebound by A. Tolliver,,43-47,,
1:07.0,,,43-47,,Personal foul by S. Curry (drawn by A. Tolliver)
0:54.0,D. Cousins misses 2-pt shot from 14 ft,,43-47,,
0:53.0,Offensive rebound by A. Tolliver,,43-47,,
0:36.0,D. Cousins makes 2-pt shot from 6 ft,2,45-47,,
0:36.0,Shooting foul by D. Green (drawn by D. Cousins),,45-47,,
0:36.0,,,45-47,,Technical foul by D. Green (drawn by D. Cousins)
0:36.0,D. Collison makes technical free throw,1,46-47,,
0:36.0,,,46-47,,Technical foul by D. Green (drawn by D. Cousins)
0:36.0,D. Collison makes technical free throw,1,47-47,,
0:36.0,D. Cousins misses free throw 1 of 1,,47-47,,
0:36.0,,,46-47,,K. Looney enters the game for D. Green
0:35.0,,,47-47,,Defensive rebound by K. Durant
0:31.0,,,47-47,,Turnover by K. Durant (bad pass; steal by M. Barnes)
0:29.0,M. Barnes misses 3-pt shot from 27 ft,,47-47,,
0:27.0,,,47-47,,Defensive rebound by A. Iguodala
0:11.0,,,47-47,,Turnover by S. Curry (bad pass; steal by A. Tolliver)
0:06.0,D. Collison makes 3-pt shot from 27 ft,3,50-47,,
0:01.0,,,50-47,,S. Curry misses 3-pt shot from 29 ft
0:00.0,,,50-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-47,,K. Thompson misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by D. Collison,,50-47,,
11:30.0,,,50-47,,Personal foul by K. Thompson (drawn by B. McLemore)
11:26.0,,,50-47,,Personal foul by J. McGee (drawn by D. Cousins)
11:26.0,,,50-47,,Technical foul by J. McGee (drawn by D. Cousins)
11:26.0,D. Collison makes technical free throw,1,51-47,,
11:11.0,M. Barnes misses 3-pt shot from 25 ft,,51-47,,
11:10.0,,,51-47,,Defensive rebound by J. McGee
11:00.0,,,51-49,2,K. Durant makes 2-pt shot from 19 ft (assist by K. Thompson)
10:47.0,D. Collison makes 2-pt shot from 1 ft,2,53-49,,
10:47.0,Shooting foul by S. Curry (drawn by D. Collison),,53-49,,
10:47.0,D. Collison misses free throw 1 of 1,,53-49,,
10:46.0,,,53-49,,Defensive rebound by J. McGee
10:40.0,,,53-51,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
10:40.0,,,53-51,,Shooting foul by K. Koufos (drawn by K. Thompson)
10:40.0,,,53-52,1,K. Thompson makes free throw 1 of 1
10:23.0,,,53-52,,Violation by J. McGee (def goaltending)
10:23.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Collison),2,55-52,,
10:09.0,,,55-54,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
9:54.0,B. McLemore misses 3-pt shot from 23 ft,,55-54,,
9:53.0,,,55-54,,Defensive rebound by S. Curry
9:47.0,,,55-54,,S. Curry misses 2-pt shot from 1 ft (block by K. Koufos)
9:46.0,Defensive rebound by B. McLemore,,55-54,,
9:45.0,,,55-54,,Personal foul by P. McCaw (drawn by B. McLemore)
9:29.0,D. Collison makes 2-pt shot from 21 ft (assist by D. Cousins),2,57-54,,
9:18.0,,,57-54,,Shooting foul by M. Barnes (drawn by P. McCaw)
9:18.0,,,57-55,1,P. McCaw makes free throw 1 of 2
9:18.0,,,57-56,1,P. McCaw makes free throw 2 of 2
8:59.0,B. McLemore misses 2-pt shot from 2 ft,,57-56,,
8:57.0,,,57-56,,Defensive rebound by P. McCaw
8:56.0,Personal foul by K. Koufos (drawn by P. McCaw),,57-56,,
8:51.0,,,57-56,,P. McCaw misses 3-pt shot from 24 ft (block by D. Cousins)
8:50.0,,,57-56,,Offensive rebound by K. Thompson
8:49.0,Personal foul by B. McLemore (drawn by K. Durant),,57-56,,
8:45.0,,,57-56,,Shooting foul by B. McLemore (drawn by K. Thompson)
8:45.0,,,57-57,1,K. Thompson makes free throw 1 of 2
8:45.0,,,57-57,,K. Thompson misses free throw 2 of 2
8:44.0,Defensive rebound by K. Koufos,,57-57,,
8:32.0,D. Cousins misses 3-pt shot from 25 ft,,57-57,,
8:31.0,,,57-57,,Defensive rebound by S. Curry
8:24.0,,,57-60,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:01.0,M. Barnes makes 2-pt shot from 6 ft (assist by D. Cousins),2,59-60,,
7:58.0,,,59-60,,Shooting foul by K. Koufos (drawn by K. Thompson)
7:58.0,,,59-61,1,K. Thompson makes free throw 1 of 2
7:58.0,,,59-61,,K. Thompson misses free throw 2 of 2
7:58.0,A. Tolliver enters the game for K. Koufos,,59-61,,
7:56.0,Defensive rebound by M. Barnes,,59-61,,
7:41.0,D. Collison misses 3-pt shot from 26 ft,,59-61,,
7:40.0,,,59-61,,Defensive rebound by J. McGee
7:34.0,,,59-64,3,S. Curry makes 3-pt shot from 31 ft
7:26.0,Sacramento full timeout,,59-64,,
7:05.0,A. Tolliver misses 3-pt shot from 27 ft (block by K. Durant),,59-64,,
7:04.0,Offensive rebound by A. Tolliver,,59-64,,
7:03.0,Turnover by A. Tolliver (lost ball; steal by K. Thompson),,59-64,,
6:58.0,,,59-66,2,K. Durant makes 2-pt shot at rim (assist by P. McCaw)
6:37.0,D. Cousins misses 2-pt shot from 13 ft,,59-66,,
6:37.0,,,59-66,,Defensive rebound by J. McGee
6:28.0,,,59-68,2,K. Durant makes 2-pt shot from 2 ft (assist by K. Thompson)
6:04.0,A. Tolliver misses 3-pt shot from 24 ft,,59-68,,
6:04.0,,,59-68,,Defensive rebound by K. Durant
5:47.0,,,59-71,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
5:41.0,Sacramento full timeout,,59-71,,
5:41.0,W. Cauley-Stein enters the game for D. Cousins,,59-71,,
5:34.0,Turnover by D. Collison (bad pass; steal by P. McCaw),,59-71,,
5:25.0,,,59-73,2,K. Thompson makes 2-pt shot from 2 ft
5:16.0,Turnover by A. Tolliver (bad pass; steal by K. Thompson),,59-73,,
5:06.0,,,59-76,3,K. Thompson makes 3-pt shot from 30 ft (assist by K. Durant)
4:51.0,D. Collison misses 2-pt shot from 3 ft,,59-76,,
4:50.0,,,59-76,,Defensive rebound by J. McGee
4:44.0,,,59-78,2,P. McCaw makes 2-pt shot from 1 ft (assist by K. Thompson)
4:29.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by K. Durant),,59-78,,
4:27.0,,,59-78,,Defensive rebound by J. McGee
4:21.0,,,59-80,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
4:21.0,Sacramento full timeout,,59-80,,
4:21.0,,,59-80,,K. Looney enters the game for K. Durant
4:21.0,,,59-80,,A. Iguodala enters the game for J. McGee
3:59.0,B. McLemore misses 2-pt shot from 16 ft (block by S. Curry),,59-80,,
3:58.0,,,59-80,,Defensive rebound by P. McCaw
3:51.0,,,59-80,,S. Curry misses 3-pt shot from 27 ft
3:51.0,Defensive rebound by W. Cauley-Stein,,59-80,,
3:42.0,Turnover by B. McLemore (step out of bounds),,59-80,,
3:28.0,,,59-80,,Shooting foul by B. McLemore (drawn by K. Thompson)
3:28.0,,,59-81,1,K. Thompson makes free throw 1 of 2
3:28.0,,,59-81,,K. Thompson misses free throw 2 of 2
3:28.0,M. Richardson enters the game for B. McLemore,,59-81,,
3:27.0,Defensive rebound by M. Barnes,,59-81,,
3:13.0,Turnover by D. Collison (bad pass; steal by K. Looney),,59-81,,
3:07.0,,,59-81,,Turnover by A. Iguodala (bad pass; steal by W. Cauley-Stein)
2:45.0,M. Richardson misses 2-pt shot from 22 ft,,59-81,,
2:44.0,,,59-81,,Defensive rebound by K. Thompson
2:37.0,,,59-81,,Shooting foul by A. Tolliver (drawn by K. Looney)
2:37.0,,,59-81,,K. Looney misses free throw 1 of 2
2:37.0,,,59-81,,Offensive rebound by Team
2:37.0,,,59-82,1,K. Looney makes free throw 2 of 2
2:37.0,,,59-81,,I. Clark enters the game for K. Thompson
2:22.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,59-82,,
2:19.0,Offensive rebound by M. Barnes,,59-82,,
2:19.0,M. Barnes makes 2-pt shot at rim,2,61-82,,
2:01.0,,,61-85,3,I. Clark makes 3-pt shot from 26 ft (assist by K. Looney)
1:54.0,Turnover by D. Collison (lost ball),,61-85,,
1:48.0,,,61-85,,Shooting foul by W. Cauley-Stein (drawn by S. Curry)
1:48.0,,,61-86,1,S. Curry makes free throw 1 of 2
1:48.0,,,61-86,,S. Curry misses free throw 2 of 2
1:48.0,,,61-86,,K. Durant enters the game for P. McCaw
1:45.0,Defensive rebound by M. Barnes,,61-86,,
1:23.0,A. Tolliver misses 2-pt shot from 11 ft,,61-86,,
1:23.0,Offensive rebound by W. Cauley-Stein,,61-86,,
1:23.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,61-86,,
1:22.0,Offensive rebound by M. Barnes,,61-86,,
1:22.0,,,61-86,,Personal foul by A. Iguodala (drawn by M. Barnes)
1:22.0,M. Barnes makes free throw 1 of 2,1,62-86,,
1:22.0,M. Barnes makes free throw 2 of 2,1,63-86,,
1:03.0,,,63-89,3,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry)
0:45.0,M. Barnes misses 2-pt shot from 9 ft (block by K. Durant),,63-89,,
0:43.0,Offensive rebound by M. Barnes,,63-89,,
0:43.0,Shooting foul by K. Looney (drawn by M. Barnes),,63-89,,
0:43.0,M. Barnes makes free throw 1 of 2,1,64-89,,
0:43.0,M. Barnes makes free throw 2 of 2,1,65-89,,
0:43.0,B. McLemore enters the game for D. Collison,,64-89,,
0:33.0,,,65-89,,S. Curry misses 3-pt shot from 29 ft
0:32.0,Defensive rebound by M. Barnes,,65-89,,
0:24.0,M. Barnes misses 3-pt shot from 27 ft,,65-89,,
0:24.0,,,65-89,,Defensive rebound by S. Curry
0:04.0,,,65-89,,K. Looney misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by A. Tolliver,,65-89,,
0:01.0,M. Barnes misses 3-pt shot from 54 ft,,65-89,,
0:00.0,Offensive rebound by Team,,65-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,M. Barnes misses 2-pt shot from 8 ft (block by A. Iguodala),,65-89,,
11:36.0,,,65-89,,Defensive rebound by S. Livingston
11:33.0,,,65-92,3,K. Thompson makes 3-pt shot from 27 ft
11:13.0,,,65-92,,Violation by J. McAdoo (kicked ball)
11:02.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,65-92,,
11:01.0,,,65-92,,Defensive rebound by A. Iguodala
10:54.0,,,65-94,2,J. McAdoo makes 2-pt shot from 1 ft (assist by A. Iguodala)
10:47.0,M. Barnes misses 2-pt shot from 22 ft,,65-94,,
10:47.0,Offensive rebound by Team,,65-94,,
10:39.0,M. Barnes makes 2-pt shot at rim (assist by W. Cauley-Stein),2,67-94,,
10:18.0,,,67-94,,K. Durant misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by A. Tolliver,,67-94,,
9:53.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,67-94,,
9:52.0,,,67-94,,Defensive rebound by A. Iguodala
9:48.0,,,67-94,,J. McAdoo misses 2-pt shot at rim (block by W. Cauley-Stein)
9:46.0,,,67-94,,Offensive rebound by A. Iguodala
9:46.0,,,67-96,2,A. Iguodala makes 2-pt shot from 1 ft
9:34.0,Turnover by W. Cauley-Stein (lost ball),,67-96,,
9:34.0,S. Labissiere enters the game for W. Cauley-Stein,,67-96,,
9:18.0,,,67-99,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston)
9:00.0,M. Richardson makes 2-pt shot from 21 ft (assist by A. Tolliver),2,69-99,,
8:39.0,,,69-99,,K. Thompson misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by M. Barnes,,69-99,,
8:28.0,B. McLemore misses 2-pt shot from 19 ft,,69-99,,
8:27.0,,,69-99,,Defensive rebound by K. Durant
8:20.0,,,69-101,2,K. Durant makes 2-pt shot at rim
7:58.0,M. Richardson makes 2-pt shot from 22 ft,2,71-101,,
7:46.0,,,71-101,,J. McAdoo misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by B. McLemore,,71-101,,
7:36.0,A. Tolliver misses 3-pt shot from 24 ft,,71-101,,
7:35.0,,,71-101,,Defensive rebound by K. Durant
7:32.0,,,71-101,,Golden State full timeout
7:32.0,G. Papagiannis enters the game for M. Barnes,,71-101,,
7:32.0,,,71-101,,K. Looney enters the game for K. Durant
7:32.0,,,71-101,,P. McCaw enters the game for K. Thompson
7:32.0,,,71-101,,I. Clark enters the game for A. Iguodala
7:19.0,,,71-101,,S. Livingston misses 2-pt shot from 16 ft
7:18.0,Defensive rebound by G. Papagiannis,,71-101,,
7:08.0,Turnover by S. Labissiere (bad pass; steal by K. Looney),,71-101,,
7:02.0,,,71-101,,P. McCaw misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by M. Richardson,,71-101,,
6:48.0,S. Labissiere misses 2-pt shot from 4 ft,,71-101,,
6:47.0,Offensive rebound by A. Tolliver,,71-101,,
6:43.0,G. Papagiannis makes 2-pt shot at rim (assist by M. Richardson),2,73-101,,
6:23.0,,,73-103,2,J. McAdoo makes 2-pt shot from 20 ft (assist by I. Clark)
6:02.0,G. Papagiannis misses 2-pt shot from 9 ft,,73-103,,
6:01.0,,,73-103,,Defensive rebound by K. Looney
5:51.0,,,73-103,,J. McAdoo misses 2-pt shot from 18 ft
5:50.0,Defensive rebound by M. Richardson,,73-103,,
5:43.0,M. Richardson misses 3-pt shot from 27 ft,,73-103,,
5:42.0,,,73-103,,Defensive rebound by K. Looney
5:33.0,,,73-103,,K. Looney misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by G. Papagiannis,,73-103,,
5:30.0,,,73-103,,Personal take foul by S. Livingston (drawn by M. Richardson)
5:30.0,Official timeout,,73-103,,
5:30.0,,,73-103,,B. Weber enters the game for S. Livingston
5:30.0,W. Cauley-Stein enters the game for A. Tolliver,,73-103,,
5:30.0,,,73-103,,D. Jones enters the game for J. McAdoo
5:11.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by M. Richardson),2,75-103,,
4:47.0,,,75-103,,B. Weber misses 3-pt shot from 26 ft
4:46.0,,,75-103,,Offensive rebound by D. Jones
