time,Cleveland,pts.away,score,pts.home,LA Lakers
4:29.0,Offensive rebound by K. Love,,43-52,,
4:29.0,K. Love makes 2-pt shot from 1 ft,2,45-52,,
4:23.0,,,45-52,,I. Zubac misses 2-pt shot at rim (block by T. Thompson)
4:19.0,Defensive rebound by R. Jefferson,,45-52,,
4:15.0,Turnover by K. Love (bad pass; steal by D. Russell),,45-52,,
4:04.0,,,45-52,,J. Clarkson misses 3-pt shot from 23 ft
4:03.0,Defensive rebound by K. Love,,45-52,,
3:54.0,Shooting foul by D. Russell (drawn by K. Irving),,45-52,,
3:54.0,K. Irving makes free throw 1 of 2,1,46-52,,
3:54.0,K. Irving makes free throw 2 of 2,1,47-52,,
3:41.0,,,47-52,,Shooting foul by K. Love (drawn by I. Zubac)
3:41.0,,,47-53,1,I. Zubac makes free throw 1 of 2
3:41.0,,,47-54,1,I. Zubac makes free throw 2 of 2
3:32.0,K. Irving makes 2-pt shot from 12 ft,2,49-54,,
3:19.0,,,49-56,2,J. Randle makes 2-pt shot from 5 ft (assist by J. Clarkson)
3:00.0,I. Shumpert misses 2-pt shot from 23 ft,,49-56,,
2:59.0,Offensive rebound by T. Thompson,,49-56,,
2:53.0,K. Irving makes 3-pt shot from 26 ft (assist by I. Shumpert),3,52-56,,
2:36.0,,,52-56,,D. Russell misses 3-pt shot from 27 ft
2:35.0,Defensive rebound by K. Love,,52-56,,
2:28.0,K. Irving makes 3-pt shot from 27 ft,3,55-56,,
2:12.0,,,55-58,2,I. Zubac makes 2-pt shot from 2 ft (assist by J. Clarkson)
1:59.0,K. Irving misses 2-pt shot from 17 ft,,55-58,,
1:56.0,,,55-58,,Defensive rebound by D. Russell
1:48.0,,,55-58,,J. Clarkson misses 2-pt shot from 4 ft
1:48.0,,,55-58,,Offensive rebound by I. Zubac
1:48.0,Loose ball foul by T. Thompson (drawn by I. Zubac),,55-58,,
1:48.0,Cleveland full timeout,,55-58,,
1:41.0,,,55-58,,I. Zubac misses 2-pt shot from 8 ft
1:38.0,Defensive rebound by K. Love,,55-58,,
1:28.0,K. Love misses 3-pt shot from 25 ft,,55-58,,
1:26.0,,,55-58,,Defensive rebound by B. Ingram
1:19.0,,,55-58,,Turnover by B. Ingram (lost ball; steal by I. Shumpert)
1:04.0,I. Shumpert misses 3-pt shot from 24 ft,,55-58,,
1:03.0,,,55-58,,Defensive rebound by J. Randle
0:56.0,,,55-58,,Shooting foul by T. Thompson (drawn by J. Randle)
0:56.0,,,55-58,,J. Randle misses free throw 1 of 2
0:56.0,,,55-58,,Offensive rebound by Team
0:56.0,,,55-59,1,J. Randle makes free throw 2 of 2
0:56.0,J. Smith enters the game for K. Love,,55-58,,
0:56.0,C. Frye enters the game for T. Thompson,,55-58,,
0:56.0,L. James enters the game for I. Shumpert,,55-58,,
0:56.0,,,55-58,,C. Brewer enters the game for I. Zubac
0:34.0,C. Frye misses 3-pt shot from 25 ft,,55-59,,
0:33.0,,,55-59,,Defensive rebound by C. Brewer
0:25.0,,,55-59,,J. Clarkson misses 2-pt shot from 4 ft
0:21.0,,,55-59,,Offensive rebound by J. Randle
0:21.0,,,55-59,,J. Randle misses 2-pt shot from 1 ft
0:19.0,,,55-59,,Offensive rebound by J. Clarkson
0:04.0,,,55-59,,D. Russell misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by J. Smith,,55-59,,
0:01.0,J. Smith misses 3-pt shot from 40 ft,,55-59,,
0:00.0,Offensive rebound by Team,,55-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,55-61,2,B. Ingram makes 2-pt shot from 3 ft
11:20.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,57-61,,
10:55.0,,,57-61,,J. Clarkson misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by T. Thompson,,57-61,,
10:38.0,K. Love misses 3-pt shot from 25 ft,,57-61,,
10:38.0,Offensive rebound by Team,,57-61,,
10:38.0,,,57-61,,Loose ball foul by I. Zubac (drawn by T. Thompson)
10:28.0,K. Love misses 3-pt shot from 25 ft,,57-61,,
10:26.0,Offensive rebound by T. Thompson,,57-61,,
10:25.0,,,57-61,,Violation by J. Clarkson (kicked ball)
10:16.0,L. James makes 2-pt shot from 1 ft,2,59-61,,
10:00.0,,,59-61,,I. Zubac misses 2-pt shot from 4 ft
9:58.0,Defensive rebound by K. Love,,59-61,,
9:53.0,I. Shumpert misses 2-pt shot from 21 ft,,59-61,,
9:51.0,,,59-61,,Defensive rebound by J. Clarkson
9:44.0,,,59-63,2,D. Russell makes 2-pt shot from 7 ft
9:38.0,I. Shumpert makes 2-pt shot at rim (assist by L. James),2,61-63,,
9:16.0,,,61-65,2,I. Zubac makes 2-pt shot from 3 ft (assist by J. Clarkson)
8:51.0,I. Shumpert makes 2-pt shot from 17 ft,2,63-65,,
8:35.0,,,63-65,,D. Russell misses 2-pt shot from 12 ft
8:34.0,,,63-65,,Offensive rebound by I. Zubac
8:19.0,,,63-68,3,J. Randle makes 3-pt shot from 24 ft (assist by D. Russell)
8:01.0,L. James misses 3-pt shot from 25 ft,,63-68,,
8:00.0,,,63-68,,Defensive rebound by I. Zubac
7:47.0,,,63-70,2,I. Zubac makes 2-pt shot at rim (assist by J. Randle)
7:31.0,Turnover by L. James (bad pass),,63-70,,
7:14.0,,,63-70,,D. Russell misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by T. Thompson,,63-70,,
7:01.0,L. James misses 2-pt shot from 6 ft,,63-70,,
6:59.0,Offensive rebound by T. Thompson,,63-70,,
6:45.0,K. Irving misses 3-pt shot from 26 ft,,63-70,,
6:44.0,,,63-70,,Defensive rebound by B. Ingram
6:39.0,,,63-70,,J. Clarkson misses 2-pt shot from 5 ft
6:36.0,,,63-70,,Offensive rebound by J. Clarkson
6:33.0,,,63-73,3,D. Russell makes 3-pt shot from 25 ft (assist by I. Zubac)
6:33.0,Cleveland full timeout,,63-73,,
6:23.0,L. James makes 2-pt shot from 1 ft,2,65-73,,
6:06.0,,,65-73,,Shooting foul by L. James (drawn by D. Russell)
6:06.0,,,65-74,1,D. Russell makes free throw 1 of 2
6:06.0,,,65-75,1,D. Russell makes free throw 2 of 2
6:06.0,C. Frye enters the game for K. Love,,65-74,,
6:06.0,,,65-74,,C. Brewer enters the game for I. Zubac
5:51.0,L. James makes 3-pt shot from 25 ft,3,68-75,,
5:32.0,,,68-77,2,B. Ingram makes 2-pt shot from 20 ft
5:13.0,,,68-77,,Personal foul by D. Russell (drawn by I. Shumpert)
4:59.0,C. Frye misses 3-pt shot from 27 ft,,68-77,,
4:58.0,Offensive rebound by T. Thompson,,68-77,,
4:52.0,K. Irving misses 3-pt shot from 26 ft,,68-77,,
4:51.0,,,68-77,,Defensive rebound by C. Brewer
4:38.0,,,68-79,2,J. Randle makes 2-pt shot from 5 ft (assist by D. Russell)
4:22.0,K. Irving makes 2-pt shot from 2 ft,2,70-79,,
4:13.0,,,70-79,,D. Russell misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by L. James,,70-79,,
3:59.0,I. Shumpert makes 2-pt shot from 19 ft (assist by L. James),2,72-79,,
3:38.0,,,72-79,,C. Brewer misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by L. James,,72-79,,
3:29.0,I. Shumpert misses 3-pt shot from 25 ft,,72-79,,
3:28.0,,,72-79,,Defensive rebound by J. Randle
3:19.0,,,72-79,,J. Randle misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by C. Frye,,72-79,,
