time,Utah,pts.away,score,pts.home,Minnesota
2:10.0,,,45-45,,T. Jones enters the game for R. Rubio
1:57.0,Shooting foul by A. Wiggins (drawn by G. Hayward),,45-45,,
1:57.0,G. Hayward makes free throw 1 of 2,1,46-45,,
1:57.0,G. Hayward makes free throw 2 of 2,1,47-45,,
1:39.0,,,47-45,,K. Towns misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by R. Gobert,,47-45,,
1:32.0,Shooting foul by Z. LaVine (drawn by R. Gobert),,47-45,,
1:32.0,R. Gobert misses free throw 1 of 2,,47-45,,
1:32.0,Offensive rebound by Team,,47-45,,
1:32.0,R. Gobert makes free throw 2 of 2,1,48-45,,
1:23.0,,,48-45,,A. Wiggins misses 2-pt shot from 6 ft
1:21.0,Defensive rebound by Team,,48-45,,
0:59.0,J. Ingles misses 2-pt shot from 16 ft,,48-45,,
0:58.0,,,48-45,,Defensive rebound by Z. LaVine
0:41.0,,,48-45,,Turnover by T. Jones (bad pass; steal by B. Diaw)
0:34.0,J. Ingles misses 3-pt shot from 25 ft,,48-45,,
0:33.0,Offensive rebound by R. Gobert,,48-45,,
0:33.0,Shooting foul by T. Jones (drawn by R. Gobert),,48-45,,
0:33.0,R. Gobert makes free throw 1 of 2,1,49-45,,
0:33.0,R. Gobert makes free throw 2 of 2,1,50-45,,
0:19.0,,,50-45,,Turnover by Z. LaVine (lost ball)
0:01.0,J. Ingles misses 2-pt shot from 1 ft,,50-45,,
0:00.0,,,50-45,,Defensive rebound by K. Towns
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-45,,A. Wiggins misses 2-pt shot from 17 ft
11:38.0,,,50-45,,Offensive rebound by Team
11:38.0,Loose ball foul by R. Gobert (drawn by G. Dieng),,50-45,,
11:27.0,,,50-47,2,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio)
11:07.0,G. Hill makes 2-pt shot from 12 ft,2,52-47,,
10:49.0,,,52-47,,Turnover by Z. LaVine (bad pass)
10:30.0,R. Hood makes 2-pt shot from 11 ft,2,54-47,,
10:12.0,,,54-49,2,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio)
9:56.0,Offensive foul by B. Diaw,,54-49,,
9:56.0,Turnover by B. Diaw (offensive foul),,54-49,,
9:40.0,,,54-51,2,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine)
9:23.0,Shooting foul by R. Rubio (drawn by G. Hill),,54-51,,
9:23.0,G. Hill makes free throw 1 of 2,1,55-51,,
9:23.0,G. Hill misses free throw 2 of 2,,55-51,,
9:23.0,,,55-51,,Defensive rebound by K. Towns
9:14.0,,,55-51,,R. Rubio misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by Team,,55-51,,
8:54.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Hood),2,57-51,,
8:36.0,,,57-51,,K. Towns misses 2-pt shot from 7 ft (block by R. Gobert)
8:33.0,Defensive rebound by R. Hood,,57-51,,
8:21.0,,,57-51,,Violation by K. Towns (def goaltending)
8:21.0,G. Hill makes 2-pt shot from 2 ft (assist by B. Diaw),2,59-51,,
8:11.0,,,59-53,2,R. Rubio makes 2-pt shot from 1 ft
7:50.0,B. Diaw makes 2-pt shot at rim (assist by R. Hood),2,61-53,,
7:24.0,,,61-53,,G. Dieng misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by R. Gobert,,61-53,,
7:13.0,Shooting foul by K. Towns (drawn by G. Hayward),,61-53,,
7:13.0,G. Hayward makes free throw 1 of 2,1,62-53,,
7:13.0,G. Hayward makes free throw 2 of 2,1,63-53,,
6:56.0,,,63-53,,Shooting foul by R. Gobert (drawn by Z. LaVine)
6:56.0,,,63-54,1,Z. LaVine makes free throw 1 of 2
6:56.0,,,63-54,,Z. LaVine misses free throw 2 of 2
6:56.0,Defensive rebound by R. Gobert,,63-54,,
6:45.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,65-54,,
6:22.0,,,65-56,2,R. Rubio makes 2-pt shot from 18 ft (assist by G. Dieng)
6:02.0,R. Hood misses 3-pt shot from 24 ft,,65-56,,
6:01.0,,,65-56,,Defensive rebound by R. Rubio
5:58.0,,,65-56,,Turnover by R. Rubio (bad pass; steal by B. Diaw)
5:51.0,G. Hayward misses 2-pt shot from 6 ft,,65-56,,
5:50.0,Offensive rebound by B. Diaw,,65-56,,
5:44.0,G. Hill misses 3-pt shot from 24 ft,,65-56,,
5:43.0,,,65-56,,Defensive rebound by K. Towns
5:35.0,,,65-58,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
5:26.0,Shooting foul by K. Towns (drawn by R. Gobert),,65-58,,
5:26.0,,,65-58,,Minnesota full timeout
5:26.0,R. Gobert makes free throw 1 of 2,1,66-58,,
5:26.0,R. Gobert makes free throw 2 of 2,1,67-58,,
5:26.0,,,65-58,,N. Bjelica enters the game for K. Towns
5:26.0,J. Johnson enters the game for G. Hayward,,65-58,,
5:26.0,T. Lyles enters the game for B. Diaw,,65-58,,
5:01.0,,,67-60,2,Z. LaVine makes 2-pt shot from 11 ft (assist by G. Dieng)
4:37.0,Turnover by J. Johnson (bad pass),,67-60,,
4:23.0,,,67-60,,A. Wiggins misses 2-pt shot from 17 ft
4:21.0,,,67-60,,Offensive rebound by G. Dieng
4:19.0,,,67-60,,G. Dieng misses 2-pt shot from 1 ft
4:17.0,,,67-60,,Offensive rebound by G. Dieng
4:16.0,,,67-60,,Shooting foul by T. Lyles (drawn by G. Dieng)
4:16.0,,,67-61,1,G. Dieng makes free throw 1 of 2
4:16.0,,,67-62,1,G. Dieng makes free throw 2 of 2
4:09.0,G. Hill misses 2-pt shot from 2 ft,,67-62,,
4:08.0,Offensive rebound by R. Gobert,,67-62,,
4:07.0,Shooting foul by G. Dieng (drawn by R. Gobert),,67-62,,
4:07.0,R. Gobert makes free throw 1 of 2,1,68-62,,
4:07.0,R. Gobert misses free throw 2 of 2,,68-62,,
4:07.0,,,68-62,,Defensive rebound by N. Bjelica
3:57.0,,,68-62,,Shooting foul by R. Gobert (drawn by G. Dieng)
3:57.0,,,68-63,1,G. Dieng makes free throw 1 of 2
3:57.0,,,68-64,1,G. Dieng makes free throw 2 of 2
3:47.0,R. Hood misses 2-pt shot from 7 ft,,68-64,,
3:46.0,,,68-64,,Defensive rebound by R. Rubio
3:35.0,,,68-64,,A. Wiggins misses 2-pt shot from 10 ft
3:34.0,Defensive rebound by R. Gobert,,68-64,,
3:21.0,T. Lyles makes 2-pt shot from 9 ft,2,70-64,,
3:05.0,,,70-64,,A. Wiggins misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by Team,,70-64,,
3:05.0,,,70-64,,S. Muhammad enters the game for A. Wiggins
3:05.0,J. Ingles enters the game for R. Hood,,70-64,,
2:43.0,J. Johnson makes 2-pt shot from 8 ft,2,72-64,,
2:21.0,,,72-64,,S. Muhammad misses 2-pt shot from 11 ft
2:20.0,Defensive rebound by R. Gobert,,72-64,,
2:00.0,T. Lyles makes 2-pt shot at rim,2,74-64,,
1:42.0,,,74-66,2,Z. LaVine makes 2-pt shot from 2 ft
1:33.0,Turnover by G. Hill (lost ball; steal by R. Rubio),,74-66,,
1:31.0,,,74-66,,Turnover by N. Bjelica (bad pass)
1:31.0,Utah full timeout,,74-66,,
1:31.0,J. Withey enters the game for R. Gobert,,74-66,,
1:31.0,S. Mack enters the game for G. Hill,,74-66,,
1:16.0,J. Johnson misses 2-pt shot from 17 ft,,74-66,,
1:15.0,,,74-66,,Defensive rebound by N. Bjelica
1:00.0,,,74-66,,Z. LaVine misses 2-pt shot from 3 ft
0:59.0,,,74-66,,Offensive rebound by G. Dieng
0:59.0,,,74-66,,G. Dieng misses 2-pt shot from 3 ft
0:57.0,,,74-66,,Offensive rebound by Z. LaVine
0:52.0,,,74-66,,Turnover by Team (5 sec inbounds)
0:35.0,T. Lyles misses 3-pt shot from 25 ft,,74-66,,
0:33.0,,,74-66,,Defensive rebound by Z. LaVine
0:23.0,,,74-68,2,Z. LaVine makes 2-pt shot at rim
0:23.0,,,74-68,,Shooting foul by J. Withey (drawn by Z. LaVine)
0:23.0,,,74-69,1,Z. LaVine makes free throw 1 of 1
0:04.0,Turnover by S. Mack (bad pass; steal by R. Rubio),,74-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Johnson makes 2-pt shot from 1 ft (assist by T. Lyles),2,76-69,,
11:29.0,Violation by J. Withey (def goaltending),,76-69,,
11:29.0,,,76-71,2,S. Muhammad makes 2-pt shot from 3 ft (assist by T. Jones)
11:04.0,J. Ingles misses 2-pt shot from 18 ft,,76-71,,
11:03.0,,,76-71,,Defensive rebound by S. Muhammad
10:55.0,,,76-73,2,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica)
10:53.0,Utah full timeout,,76-73,,
10:53.0,B. Diaw enters the game for J. Withey,,76-73,,
10:53.0,G. Hayward enters the game for J. Johnson,,76-73,,
10:35.0,G. Hayward makes 2-pt shot from 23 ft,2,78-73,,
10:18.0,,,78-76,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Towns)
10:01.0,G. Hayward misses 2-pt shot from 1 ft,,78-76,,
10:00.0,,,78-76,,Defensive rebound by K. Towns
9:59.0,Personal foul by B. Diaw (drawn by K. Towns),,78-76,,
9:49.0,,,78-78,2,S. Muhammad makes 2-pt shot at rim (assist by T. Jones)
9:29.0,G. Hayward misses 2-pt shot from 7 ft,,78-78,,
9:28.0,,,78-78,,Defensive rebound by K. Towns
9:11.0,,,78-78,,Z. LaVine misses 2-pt shot from 19 ft
9:09.0,,,78-78,,Offensive rebound by K. Towns
9:08.0,,,78-78,,K. Towns misses 2-pt shot at rim
9:06.0,Defensive rebound by J. Ingles,,78-78,,
8:56.0,S. Mack makes 2-pt shot from 1 ft (assist by B. Diaw),2,80-78,,
8:43.0,Personal foul by B. Diaw (drawn by T. Jones),,80-78,,
8:43.0,R. Hood enters the game for J. Ingles,,80-78,,
8:43.0,R. Gobert enters the game for T. Lyles,,80-78,,
8:43.0,G. Hill enters the game for S. Mack,,80-78,,
8:42.0,,,80-78,,Shooting foul by G. Hayward (drawn by S. Muhammad)
8:42.0,,,80-79,1,S. Muhammad makes free throw 1 of 2
8:42.0,,,80-80,1,S. Muhammad makes free throw 2 of 2
8:28.0,G. Hill makes 2-pt shot from 3 ft,2,82-80,,
8:23.0,Personal foul by R. Hood (drawn by S. Muhammad),,82-80,,
8:11.0,,,82-80,,S. Muhammad misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by R. Hood,,82-80,,
7:57.0,G. Hill misses 2-pt shot from 1 ft (block by K. Towns),,82-80,,
7:55.0,,,82-80,,Defensive rebound by K. Towns
7:47.0,,,82-83,3,T. Jones makes 3-pt shot from 26 ft (assist by Z. LaVine)
7:19.0,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw),2,84-83,,
7:00.0,,,84-83,,K. Towns misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by R. Gobert,,84-83,,
6:52.0,G. Hayward makes 2-pt shot from 1 ft (assist by G. Hill),2,86-83,,
6:44.0,,,86-83,,Minnesota full timeout
6:44.0,,,86-83,,A. Wiggins enters the game for Z. LaVine
6:38.0,,,86-83,,Turnover by T. Jones (bad pass)
6:23.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hill),3,89-83,,
6:03.0,,,89-83,,K. Towns misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by G. Hill,,89-83,,
5:55.0,,,89-83,,Personal foul by A. Wiggins (drawn by R. Gobert)
5:47.0,R. Hood misses 3-pt shot from 24 ft,,89-83,,
5:46.0,,,89-83,,Defensive rebound by A. Wiggins
5:37.0,,,89-83,,A. Wiggins misses 2-pt shot from 4 ft
5:35.0,,,89-83,,Offensive rebound by K. Towns
5:35.0,,,89-83,,K. Towns misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by G. Hill,,89-83,,
5:23.0,G. Hill makes 2-pt shot from 1 ft,2,91-83,,
5:18.0,,,91-83,,Minnesota full timeout
5:18.0,,,91-83,,Z. LaVine enters the game for S. Muhammad
5:11.0,,,91-83,,T. Jones misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by G. Hayward,,91-83,,
4:58.0,,,91-83,,Personal foul by Z. LaVine (drawn by R. Hood)
4:47.0,,,91-83,,Violation by K. Towns (def goaltending)
4:47.0,R. Hood makes 2-pt shot from 3 ft,2,93-83,,
4:33.0,,,93-85,2,A. Wiggins makes 2-pt shot from 9 ft (assist by T. Jones)
4:18.0,Shooting foul by A. Wiggins (drawn by G. Hayward),,93-85,,
4:18.0,G. Hayward misses free throw 1 of 2,,93-85,,
4:18.0,Offensive rebound by Team,,93-85,,
4:18.0,G. Hayward makes free throw 2 of 2,1,94-85,,
4:03.0,,,94-85,,Z. LaVine misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by Team,,94-85,,
3:44.0,,,94-85,,Violation by K. Towns (kicked ball)
3:37.0,Turnover by B. Diaw (bad pass),,94-85,,
3:25.0,,,94-85,,A. Wiggins misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by R. Gobert,,94-85,,
3:13.0,Shooting foul by T. Jones (drawn by G. Hill),,94-85,,
3:13.0,G. Hill makes free throw 1 of 2,1,95-85,,
3:13.0,G. Hill makes free throw 2 of 2,1,96-85,,
3:01.0,,,96-87,2,Z. LaVine makes 2-pt shot from 8 ft
3:01.0,,,96-87,,Shooting foul by G. Hill (drawn by Z. LaVine)
3:01.0,,,96-88,1,Z. LaVine makes free throw 1 of 1
2:47.0,B. Diaw makes 3-pt shot from 24 ft (assist by G. Hill),3,99-88,,
2:32.0,Personal foul by G. Hill (drawn by N. Bjelica),,99-88,,
2:32.0,,,99-89,1,N. Bjelica makes free throw 1 of 2
2:32.0,,,99-90,1,N. Bjelica makes free throw 2 of 2
2:20.0,G. Hayward misses 3-pt shot from 26 ft,,99-90,,
2:18.0,Offensive rebound by G. Hill,,99-90,,
2:18.0,,,99-90,,Personal foul by A. Wiggins (drawn by G. Hill)
2:18.0,G. Hill makes free throw 1 of 2,1,100-90,,
2:18.0,G. Hill makes free throw 2 of 2,1,101-90,,
2:09.0,,,101-92,2,Z. LaVine makes 2-pt shot from 2 ft
1:54.0,G. Hill makes 2-pt shot from 1 ft,2,103-92,,
1:48.0,Personal foul by R. Hood (drawn by Z. LaVine),,103-92,,
1:48.0,,,103-93,1,Z. LaVine makes free throw 1 of 2
