time,New York,pts.away,score,pts.home,Dallas
2:41.0,,,19-24,,Turnover by A. Bogut (bad pass; steal by J. Holiday)
2:37.0,J. Holiday misses 2-pt shot from 2 ft,,19-24,,
2:33.0,Offensive rebound by W. Hernangomez,,19-24,,
2:33.0,W. Hernangomez makes 2-pt shot from 1 ft,2,21-24,,
2:12.0,,,21-26,2,S. Curry makes 2-pt shot from 2 ft
1:48.0,,,21-26,,Violation by D. Harris (kicked ball)
1:48.0,,,21-26,,J. Anderson enters the game for D. Finney-Smith
1:48.0,,,21-26,,D. Nowitzki enters the game for H. Barnes
1:34.0,C. Anthony makes 2-pt shot from 10 ft,2,23-26,,
1:19.0,,,23-28,2,S. Curry makes 2-pt shot from 21 ft
1:05.0,C. Anthony misses 2-pt shot from 18 ft,,23-28,,
1:03.0,,,23-28,,Defensive rebound by D. Harris
0:58.0,,,23-28,,Offensive foul by J. Anderson
0:58.0,,,23-28,,Turnover by J. Anderson (offensive foul)
0:58.0,,,23-28,,D. Williams enters the game for S. Curry
0:58.0,,,23-28,,D. Powell enters the game for A. Bogut
0:43.0,W. Hernangomez misses 2-pt shot from 16 ft,,23-28,,
0:42.0,,,23-28,,Defensive rebound by D. Harris
0:33.0,,,23-28,,D. Harris misses 2-pt shot from 20 ft
0:32.0,,,23-28,,Offensive rebound by D. Powell
0:22.0,,,23-30,2,D. Williams makes 2-pt shot from 5 ft
0:05.0,C. Anthony makes 2-pt shot from 18 ft,2,25-30,,
0:01.0,,,25-30,,D. Nowitzki misses 3-pt shot from 24 ft
0:00.0,,,25-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-32,2,J. Anderson makes 2-pt shot at rim (assist by D. Harris)
11:20.0,Turnover by D. Rose (bad pass),,25-32,,
11:20.0,,,25-32,,P. Jackson enters the game for D. Harris
11:01.0,,,25-32,,P. Jackson misses 3-pt shot from 25 ft
11:00.0,,,25-32,,Offensive rebound by D. Powell
10:56.0,,,25-32,,Shooting foul by K. Porzingis (drawn by J. Anderson)
10:56.0,,,25-32,,J. Anderson misses free throw 1 of 2
10:56.0,,,25-32,,Offensive rebound by Team
10:56.0,,,25-33,1,J. Anderson makes free throw 2 of 2
10:56.0,C. Lee enters the game for J. Holiday,,25-32,,
10:56.0,K. O'Quinn enters the game for K. Porzingis,,25-32,,
10:34.0,C. Lee makes 2-pt shot from 20 ft,2,27-33,,
10:17.0,,,27-35,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams)
10:02.0,B. Jennings misses 2-pt shot from 12 ft,,27-35,,
10:01.0,Offensive rebound by K. O'Quinn,,27-35,,
9:58.0,D. Rose makes 3-pt shot from 25 ft (assist by K. O'Quinn),3,30-35,,
9:43.0,,,30-35,,D. Williams misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by W. Hernangomez,,30-35,,
9:34.0,W. Hernangomez misses 2-pt shot from 18 ft,,30-35,,
9:33.0,,,30-35,,Defensive rebound by D. Nowitzki
9:24.0,,,30-35,,J. Anderson misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by W. Hernangomez,,30-35,,
9:15.0,D. Rose makes 2-pt shot from 20 ft,2,32-35,,
8:58.0,,,32-35,,P. Jackson misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by W. Hernangomez,,32-35,,
8:43.0,B. Jennings misses 3-pt shot from 26 ft,,32-35,,
8:41.0,,,32-35,,Defensive rebound by Team
8:41.0,Official timeout,,32-35,,
8:27.0,,,32-37,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by P. Jackson)
8:12.0,K. O'Quinn misses 2-pt shot from 15 ft,,32-37,,
8:10.0,,,32-37,,Defensive rebound by J. Anderson
8:00.0,Def 3 sec tech foul by K. O'Quinn,,32-37,,
8:00.0,,,32-38,1,D. Nowitzki makes technical free throw
8:00.0,,,32-38,,D. Harris enters the game for D. Williams
7:48.0,,,32-38,,D. Nowitzki misses 2-pt shot from 15 ft
7:46.0,Defensive rebound by W. Hernangomez,,32-38,,
7:29.0,,,32-38,,Def 3 sec tech foul by D. Nowitzki
7:29.0,C. Lee makes technical free throw,1,33-38,,
7:29.0,,,33-38,,A. Bogut enters the game for D. Powell
7:29.0,,,33-38,,H. Barnes enters the game for D. Nowitzki
7:24.0,D. Rose makes 2-pt shot from 2 ft,2,35-38,,
7:09.0,,,35-38,,H. Barnes misses 2-pt shot from 19 ft
7:08.0,Defensive rebound by D. Rose,,35-38,,
6:59.0,B. Jennings makes 3-pt shot from 23 ft,3,38-38,,
