time,Charlotte,pts.away,score,pts.home,Minnesota
8:20.0,Offensive rebound by R. Hibbert,,33-38,,
8:20.0,R. Hibbert makes 2-pt shot from 1 ft,2,35-38,,
8:08.0,,,35-38,,Offensive charge foul by A. Payne
8:08.0,,,35-38,,Turnover by A. Payne (offensive foul)
7:56.0,,,35-38,,Violation by K. Dunn (kicked ball)
7:49.0,R. Hibbert makes 2-pt shot from 6 ft (assist by R. Sessions),2,37-38,,
7:36.0,,,37-40,2,K. Dunn makes 2-pt shot from 9 ft
7:17.0,,,37-40,,G. Dieng enters the game for C. Aldrich
7:17.0,Jump ball: K. Dunn vs. R. Sessions (G. Dieng gains possession),,,,Jump ball: K. Dunn vs. R. Sessions (G. Dieng gains possession)
7:17.0,Turnover by R. Sessions (lost ball; steal by K. Dunn),,37-40,,
7:00.0,,,37-40,,Z. LaVine misses 3-pt shot from 24 ft
6:59.0,,,37-40,,Offensive rebound by K. Dunn
6:53.0,,,37-40,,Z. LaVine misses 2-pt shot from 13 ft
6:52.0,,,37-40,,Offensive rebound by A. Payne
6:45.0,,,37-40,,Z. LaVine misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by R. Sessions,,37-40,,
6:38.0,Offensive foul by R. Hibbert,,37-40,,
6:38.0,Turnover by R. Hibbert (offensive foul),,37-40,,
6:29.0,,,37-40,,Turnover by K. Dunn (lost ball; steal by R. Sessions)
6:27.0,,,37-40,,Personal foul by A. Payne (drawn by R. Sessions)
6:27.0,M. Williams enters the game for R. Hibbert,,37-40,,
6:27.0,,,37-40,,K. Towns enters the game for A. Payne
6:16.0,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Sessions),2,39-40,,
6:04.0,,,39-40,,Turnover by K. Towns (traveling)
5:52.0,R. Sessions misses 3-pt shot from 25 ft,,39-40,,
5:51.0,,,39-40,,Defensive rebound by K. Towns
5:38.0,,,39-40,,Turnover by K. Towns (bad pass; steal by F. Kaminsky)
5:21.0,F. Kaminsky misses 2-pt shot from 3 ft (block by K. Dunn),,39-40,,
5:19.0,,,39-40,,Defensive rebound by Z. LaVine
5:11.0,,,39-40,,K. Towns misses 2-pt shot from 1 ft
5:10.0,,,39-40,,Offensive rebound by K. Towns
5:05.0,,,39-43,3,N. Bjelica makes 3-pt shot from 26 ft (assist by K. Dunn)
4:57.0,Charlotte full timeout,,39-43,,
4:57.0,,,39-43,,A. Wiggins enters the game for N. Bjelica
4:57.0,K. Walker enters the game for R. Sessions,,39-43,,
4:57.0,N. Batum enters the game for M. Kidd-Gilchrist,,39-43,,
4:57.0,C. Zeller enters the game for F. Kaminsky,,39-43,,
4:51.0,M. Belinelli misses 2-pt shot from 19 ft,,39-43,,
4:50.0,,,39-43,,Defensive rebound by Team
4:37.0,,,39-45,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
4:37.0,,,39-45,,Shooting foul by C. Zeller (drawn by G. Dieng)
4:37.0,,,39-46,1,G. Dieng makes free throw 1 of 1
4:37.0,,,39-45,,R. Rubio enters the game for K. Dunn
4:26.0,C. Zeller misses 2-pt shot from 2 ft,,39-46,,
4:25.0,,,39-46,,Defensive rebound by K. Towns
4:14.0,,,39-46,,G. Dieng misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by K. Walker,,39-46,,
4:08.0,S. Hawes enters the game for C. Zeller,,39-46,,
4:03.0,K. Walker misses 2-pt shot from 2 ft (block by A. Wiggins),,39-46,,
4:02.0,,,39-46,,Defensive rebound by R. Rubio
3:59.0,,,39-46,,Turnover by A. Wiggins (traveling)
3:47.0,K. Walker misses 2-pt shot from 18 ft,,39-46,,
3:46.0,,,39-46,,Defensive rebound by K. Towns
