time,Utah,pts.away,score,pts.home,Oklahoma City
8:04.0,Jump ball: D. Favors vs. T. Gibson (R. Hood gains possession),,,,Jump ball: D. Favors vs. T. Gibson (R. Hood gains possession)
8:04.0,Offensive rebound by Team,,37-38,,
7:57.0,Turnover by R. Hood (bad pass; steal by E. Kanter),,37-38,,
7:50.0,,,37-41,3,D. McDermott makes 3-pt shot from 23 ft (assist by T. Gibson)
7:34.0,B. Diaw makes 2-pt shot from 2 ft,2,39-41,,
7:21.0,,,39-43,2,E. Kanter makes 2-pt shot from 16 ft (assist by R. Westbrook)
7:04.0,B. Diaw misses 3-pt shot from 25 ft,,39-43,,
7:04.0,,,39-43,,Defensive rebound by R. Westbrook
6:44.0,,,39-43,,R. Westbrook misses 2-pt shot from 17 ft
6:44.0,Defensive rebound by R. Hood,,39-43,,
6:33.0,D. Exum misses 2-pt shot from 1 ft (block by E. Kanter),,39-43,,
6:32.0,,,39-43,,Defensive rebound by D. McDermott
6:25.0,,,39-46,3,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook)
6:24.0,Utah full timeout,,39-46,,
6:24.0,,,39-46,,S. Adams enters the game for T. Gibson
6:24.0,R. Gobert enters the game for D. Favors,,39-46,,
6:24.0,G. Hayward enters the game for D. Exum,,39-46,,
6:24.0,G. Hill enters the game for J. Ingles,,39-46,,
6:16.0,,,39-46,,Personal foul by J. Grant (drawn by G. Hayward)
6:08.0,R. Hood misses 2-pt shot from 11 ft,,39-46,,
6:08.0,,,39-46,,Defensive rebound by S. Adams
6:02.0,,,39-46,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
5:42.0,G. Hill misses 2-pt shot from 23 ft,,39-46,,
5:42.0,,,39-46,,Defensive rebound by D. McDermott
5:27.0,,,39-49,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:09.0,G. Hayward makes 3-pt shot from 26 ft (assist by G. Hill),3,42-49,,
