time,Dallas,pts.away,score,pts.home,Toronto
6:41.0,S. Curry makes 3-pt shot from 25 ft,3,57-65,,
6:20.0,,,57-65,,D. DeRozan misses 2-pt shot from 15 ft
6:19.0,Defensive rebound by Team,,57-65,,
5:59.0,D. Finney-Smith misses 2-pt shot from 5 ft,,57-65,,
5:58.0,,,57-65,,Defensive rebound by J. Valanciunas
5:50.0,,,57-67,2,C. Joseph makes 2-pt shot from 9 ft
5:28.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,60-67,,
5:05.0,,,60-67,,C. Joseph misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by D. Nowitzki,,60-67,,
4:54.0,Y. Ferrell makes 2-pt shot from 1 ft,2,62-67,,
4:28.0,,,62-67,,C. Joseph misses 2-pt shot from 17 ft (block by H. Barnes)
4:27.0,Defensive rebound by H. Barnes,,62-67,,
4:17.0,Turnover by Y. Ferrell (bad pass; steal by D. DeRozan),,62-67,,
4:09.0,,,62-67,,Shooting foul by D. Finney-Smith (drawn by J. Valanciunas)
4:09.0,,,62-68,1,J. Valanciunas makes free throw 1 of 2
4:09.0,,,62-69,1,J. Valanciunas makes free throw 2 of 2
4:09.0,J. Barea enters the game for Y. Ferrell,,62-68,,
4:09.0,D. Powell enters the game for D. Nowitzki,,62-68,,
4:09.0,,,62-68,,D. Wright enters the game for N. Powell
4:09.0,,,62-68,,F. VanVleet enters the game for C. Joseph
3:50.0,D. Powell makes 2-pt shot from 14 ft (assist by J. Barea),2,64-69,,
3:32.0,,,64-71,2,D. DeRozan makes 2-pt shot from 20 ft
3:12.0,,,64-71,,Personal foul by F. VanVleet
3:12.0,,,64-71,,P. Patterson enters the game for J. Valanciunas
2:57.0,S. Curry misses 3-pt shot from 26 ft,,64-71,,
2:57.0,,,64-71,,Defensive rebound by S. Ibaka
2:45.0,Personal foul by S. Curry (drawn by D. Wright),,64-71,,
2:45.0,,,64-71,,Toronto full timeout
2:45.0,,,64-72,1,D. Wright makes free throw 1 of 2
2:45.0,,,64-73,1,D. Wright makes free throw 2 of 2
2:45.0,,,64-71,,P. Tucker enters the game for S. Ibaka
2:37.0,Turnover by S. Curry (bad pass; steal by F. VanVleet),,64-73,,
2:33.0,,,64-73,,Turnover by F. VanVleet (bad pass; steal by S. Curry)
2:20.0,D. Finney-Smith makes 2-pt shot at rim (assist by J. Barea),2,66-73,,
1:51.0,,,66-75,2,P. Patterson makes 2-pt shot from 3 ft (assist by D. Wright)
1:39.0,D. Powell misses 2-pt shot from 21 ft,,66-75,,
1:38.0,,,66-75,,Defensive rebound by D. Wright
1:22.0,,,66-75,,D. Wright misses 2-pt shot from 4 ft (block by D. Powell)
1:22.0,,,66-75,,Offensive rebound by Team
1:22.0,,,66-75,,J. Poeltl enters the game for D. DeRozan
1:22.0,,,66-75,,Turnover by Team (5 sec inbounds)
1:08.0,H. Barnes misses 2-pt shot from 14 ft,,66-75,,
1:08.0,,,66-75,,Defensive rebound by P. Tucker
1:02.0,,,66-75,,Offensive foul by J. Poeltl
1:02.0,,,66-75,,Turnover by J. Poeltl (offensive foul)
0:47.0,J. Barea misses 2-pt shot from 14 ft,,66-75,,
0:47.0,,,66-75,,Defensive rebound by D. Wright
0:39.0,,,66-77,2,D. Wright makes 2-pt shot from 2 ft
0:21.0,H. Barnes misses 2-pt shot from 21 ft,,66-77,,
0:20.0,,,66-77,,Defensive rebound by J. Poeltl
0:04.0,Shooting block foul by D. Powell (drawn by J. Poeltl),,66-77,,
0:04.0,,,66-78,1,J. Poeltl makes free throw 1 of 2
0:04.0,,,66-79,1,J. Poeltl makes free throw 2 of 2
0:04.0,N. Brussino enters the game for D. Finney-Smith,,66-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,66-79,,Turnover by J. Poeltl (3 sec)
11:30.0,D. Powell misses 2-pt shot from 4 ft (block by D. Wright),,66-79,,
11:29.0,,,66-79,,Defensive rebound by P. Tucker
11:18.0,,,66-81,2,F. VanVleet makes 2-pt shot from 22 ft
11:17.0,Dallas full timeout,,66-81,,
11:03.0,Turnover by D. Harris (bad pass; steal by P. Tucker),,66-81,,
10:51.0,,,66-81,,D. Wright misses 3-pt shot from 26 ft
10:51.0,Defensive rebound by D. Powell,,66-81,,
10:42.0,J. Barea misses 2-pt shot from 19 ft,,66-81,,
10:42.0,,,66-81,,Defensive rebound by P. Patterson
10:15.0,,,66-81,,P. Tucker misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by D. Powell,,66-81,,
10:02.0,D. Nowitzki misses 2-pt shot from 16 ft,,66-81,,
10:01.0,,,66-81,,Defensive rebound by Team
9:41.0,,,66-81,,D. Wright misses 2-pt shot from 6 ft (block by N. Brussino)
9:40.0,Defensive rebound by D. Powell,,66-81,,
9:31.0,N. Brussino misses 3-pt shot from 27 ft,,66-81,,
9:30.0,,,66-81,,Defensive rebound by P. Tucker
9:14.0,,,66-81,,F. VanVleet misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by D. Powell,,66-81,,
9:00.0,,,66-81,,Personal foul by F. VanVleet (drawn by D. Harris)
9:00.0,H. Barnes enters the game for D. Powell,,66-81,,
9:00.0,,,66-81,,S. Ibaka enters the game for J. Poeltl
9:00.0,Y. Ferrell enters the game for J. Barea,,66-81,,
8:44.0,N. Brussino misses 3-pt shot from 25 ft,,66-81,,
8:44.0,,,66-81,,Defensive rebound by P. Tucker
8:31.0,,,66-81,,P. Tucker misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by D. Harris,,66-81,,
8:06.0,D. Harris misses 2-pt shot from 5 ft,,66-81,,
8:05.0,,,66-81,,Defensive rebound by D. Wright
7:42.0,,,66-81,,P. Tucker misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by D. Nowitzki,,66-81,,
7:31.0,D. Nowitzki misses 2-pt shot from 2 ft,,66-81,,
7:31.0,,,66-81,,Defensive rebound by P. Patterson
7:19.0,,,66-84,3,P. Patterson makes 3-pt shot from 25 ft (assist by D. Wright)
7:19.0,Dallas full timeout,,66-84,,
7:19.0,,,66-84,,D. DeRozan enters the game for D. Wright
7:19.0,,,66-84,,N. Powell enters the game for P. Tucker
7:19.0,S. Curry enters the game for D. Harris,,66-84,,
7:06.0,D. Nowitzki misses 2-pt shot from 16 ft,,66-84,,
7:05.0,Offensive rebound by H. Barnes,,66-84,,
7:04.0,H. Barnes makes 2-pt shot at rim,2,68-84,,
6:46.0,,,68-84,,Shooting foul by N. Brussino (drawn by D. DeRozan)
6:46.0,,,68-85,1,D. DeRozan makes free throw 1 of 2
6:46.0,,,68-86,1,D. DeRozan makes free throw 2 of 2
6:26.0,D. Nowitzki misses 2-pt shot from 6 ft,,68-86,,
6:26.0,,,68-86,,Defensive rebound by S. Ibaka
6:10.0,,,68-89,3,P. Patterson makes 3-pt shot from 28 ft (assist by N. Powell)
5:56.0,Shooting foul by P. Patterson (drawn by H. Barnes),,68-89,,
5:56.0,Official timeout,,68-89,,
5:56.0,H. Barnes makes free throw 1 of 2,1,69-89,,
5:56.0,H. Barnes makes free throw 2 of 2,1,70-89,,
5:56.0,D. Powell enters the game for D. Nowitzki,,68-89,,
5:35.0,,,70-92,3,F. VanVleet makes 3-pt shot from 24 ft (assist by N. Powell)
5:14.0,Shooting foul by F. VanVleet (drawn by Y. Ferrell),,70-92,,
5:14.0,Y. Ferrell makes free throw 1 of 2,1,71-92,,
5:14.0,Y. Ferrell misses free throw 2 of 2,,71-92,,
5:13.0,,,71-92,,Defensive rebound by S. Ibaka
4:54.0,,,71-92,,D. DeRozan misses 2-pt shot from 4 ft
4:54.0,Defensive rebound by D. Powell,,71-92,,
4:41.0,H. Barnes misses 2-pt shot from 4 ft,,71-92,,
4:41.0,Offensive rebound by D. Powell,,71-92,,
4:33.0,N. Brussino misses 3-pt shot from 28 ft,,71-92,,
4:33.0,,,71-92,,Defensive rebound by S. Ibaka
4:21.0,,,71-92,,N. Powell misses 3-pt shot from 22 ft
4:20.0,,,71-92,,Offensive rebound by P. Patterson
4:18.0,Personal foul by Y. Ferrell (drawn by P. Patterson),,71-92,,
4:18.0,Dallas full timeout,,71-92,,
4:04.0,,,71-94,2,N. Powell makes 2-pt shot from 1 ft (assist by P. Patterson)
3:48.0,H. Barnes makes 2-pt shot from 16 ft,2,73-94,,
3:37.0,,,73-94,,Offensive foul by S. Ibaka
3:37.0,,,73-94,,Turnover by S. Ibaka (offensive foul)
3:37.0,,,73-94,,L. Nogueira enters the game for S. Ibaka
3:28.0,,,73-94,,Personal foul by P. Patterson (drawn by H. Barnes)
3:28.0,,,73-94,,D. Wright enters the game for D. DeRozan
3:16.0,H. Barnes misses 2-pt shot from 20 ft,,73-94,,
3:16.0,,,73-94,,Defensive rebound by L. Nogueira
3:09.0,Personal foul by N. Brussino (drawn by N. Powell),,73-94,,
3:09.0,J. Uthoff enters the game for H. Barnes,,73-94,,
3:09.0,M. Harris enters the game for S. Curry,,73-94,,
3:09.0,Dallas full timeout,,73-94,,
3:09.0,,,73-94,,P. Siakam enters the game for P. Patterson
2:57.0,,,73-94,,Turnover by F. VanVleet (lost ball)
2:39.0,Y. Ferrell misses 2-pt shot from 2 ft (block by L. Nogueira),,73-94,,
2:38.0,Offensive rebound by M. Harris,,73-94,,
2:38.0,Shooting foul by L. Nogueira (drawn by M. Harris),,73-94,,
2:38.0,M. Harris makes free throw 1 of 2,1,74-94,,
2:38.0,M. Harris misses free throw 2 of 2,,74-94,,
2:37.0,,,74-94,,Defensive rebound by N. Powell
2:29.0,,,74-94,,Shooting foul by D. Powell (drawn by N. Powell)
2:29.0,,,74-95,1,N. Powell makes free throw 1 of 2
2:29.0,,,74-96,1,N. Powell makes free throw 2 of 2
2:16.0,D. Powell makes 2-pt shot from 6 ft (assist by Y. Ferrell),2,76-96,,
1:51.0,,,76-96,,F. VanVleet misses 2-pt shot from 4 ft
1:49.0,Defensive rebound by D. Powell,,76-96,,
1:41.0,M. Harris misses 2-pt shot from 19 ft,,76-96,,
1:41.0,,,76-96,,Defensive rebound by N. Powell
1:32.0,,,76-96,,P. Siakam misses 2-pt shot from 12 ft
1:32.0,Defensive rebound by M. Harris,,76-96,,
1:21.0,N. Brussino misses 3-pt shot from 26 ft,,76-96,,
1:20.0,Offensive rebound by J. Uthoff,,76-96,,
1:10.0,N. Brussino makes 2-pt shot from 4 ft,2,78-96,,
1:01.0,,,78-98,2,D. Wright makes 2-pt shot from 8 ft
0:48.0,J. Uthoff misses 2-pt shot from 14 ft,,78-98,,
0:47.0,,,78-98,,Defensive rebound by L. Nogueira
0:43.0,,,78-98,,F. VanVleet misses 2-pt shot from 4 ft (block by J. Uthoff)
