time,Philadelphia,pts.away,score,pts.home,Boston
1:20.0,,,19-25,2,M. Smart makes 2-pt shot from 18 ft
1:07.0,Turnover by J. Embiid (lost ball; steal by J. Brown),,19-25,,
0:49.0,,,19-25,,M. Smart misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by D. Saric,,19-25,,
0:34.0,J. Embiid makes 2-pt shot from 8 ft,2,21-25,,
0:29.0,,,21-25,,A. Bradley misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by N. Noel,,21-25,,
0:06.0,N. Stauskas misses 3-pt shot from 26 ft (block by A. Horford),,21-25,,
0:05.0,Offensive rebound by D. Saric,,21-25,,
0:04.0,D. Saric makes 2-pt shot from 1 ft,2,23-25,,
0:00.0,,,23-25,,M. Smart misses 2-pt shot from 17 ft
0:00.0,,,23-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Embiid makes 2-pt shot at rim (assist by E. Ilyasova),2,25-25,,
11:35.0,,,25-27,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
11:28.0,,,25-27,,Personal foul by K. Olynyk (drawn by J. Embiid)
11:15.0,D. Saric misses 3-pt shot from 26 ft,,25-27,,
11:14.0,,,25-27,,Defensive rebound by I. Thomas
11:06.0,,,25-27,,Turnover by I. Thomas (bad pass)
10:52.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by M. Smart),,25-27,,
10:51.0,,,25-27,,Defensive rebound by J. Brown
10:48.0,,,25-27,,Turnover by J. Brown (lost ball)
10:28.0,D. Saric makes 2-pt shot from 3 ft,2,27-27,,
10:12.0,,,27-27,,K. Olynyk misses 3-pt shot from 28 ft
10:11.0,Defensive rebound by T. Luwawu-Cabarrot,,27-27,,
10:04.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. McConnell),3,30-27,,
10:02.0,,,30-27,,Boston full timeout
10:02.0,,,30-27,,G. Green enters the game for J. Brown
9:45.0,,,30-27,,K. Olynyk misses 2-pt shot from 11 ft (block by E. Ilyasova)
9:44.0,,,30-27,,Offensive rebound by K. Olynyk
9:38.0,,,30-30,3,M. Smart makes 3-pt shot from 29 ft (assist by K. Olynyk)
9:31.0,,,30-30,,Personal foul by G. Green (drawn by D. Saric)
9:20.0,Shooting foul by K. Olynyk (drawn by J. Embiid),,30-30,,
9:20.0,J. Embiid makes free throw 1 of 2,1,31-30,,
9:20.0,J. Embiid makes free throw 2 of 2,1,32-30,,
9:20.0,G. Henderson enters the game for D. Saric,,31-30,,
9:09.0,,,32-30,,Shooting foul by T. Luwawu-Cabarrot (drawn by I. Thomas)
9:09.0,,,32-31,1,I. Thomas makes free throw 1 of 2
9:09.0,,,32-32,1,I. Thomas makes free throw 2 of 2
9:09.0,N. Noel enters the game for J. Embiid,,32-31,,
9:00.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,34-32,,
8:44.0,,,34-32,,J. Jerebko misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by T. Luwawu-Cabarrot,,34-32,,
8:24.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Noel),3,37-32,,
8:11.0,,,37-35,3,G. Green makes 3-pt shot from 24 ft (assist by M. Smart)
7:52.0,T. Luwawu-Cabarrot makes 2-pt shot from 6 ft (assist by T. McConnell),2,39-35,,
7:43.0,,,39-35,,Turnover by I. Thomas (traveling)
7:43.0,,,39-35,,A. Johnson enters the game for J. Jerebko
7:29.0,E. Ilyasova misses 2-pt shot from 14 ft,,39-35,,
7:28.0,,,39-35,,Defensive rebound by A. Johnson
7:20.0,,,39-35,,M. Smart misses 2-pt shot from 6 ft
7:18.0,Defensive rebound by T. Luwawu-Cabarrot,,39-35,,
7:12.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell),2,41-35,,
7:01.0,,,41-35,,Shooting foul by T. Luwawu-Cabarrot (drawn by I. Thomas)
7:01.0,,,41-36,1,I. Thomas makes free throw 1 of 2
7:01.0,,,41-37,1,I. Thomas makes free throw 2 of 2
7:01.0,R. Covington enters the game for T. Luwawu-Cabarrot,,41-36,,
6:48.0,R. Covington makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,44-37,,
6:37.0,,,44-37,,I. Thomas misses 2-pt shot from 2 ft (block by N. Noel)
6:36.0,Defensive rebound by N. Noel,,44-37,,
6:31.0,Offensive charge foul by R. Covington,,44-37,,
6:31.0,Turnover by R. Covington (offensive foul),,44-37,,
6:31.0,,,44-37,,J. Crowder enters the game for G. Green
6:18.0,,,44-37,,Turnover by J. Crowder (bad pass; steal by T. McConnell)
6:08.0,T. McConnell misses 2-pt shot from 12 ft,,44-37,,
6:08.0,Offensive rebound by N. Noel,,44-37,,
6:05.0,N. Noel misses 2-pt shot from 5 ft (block by A. Johnson),,44-37,,
6:04.0,,,44-37,,Defensive rebound by K. Olynyk
5:47.0,,,44-40,3,A. Johnson makes 3-pt shot from 26 ft (assist by K. Olynyk)
5:45.0,Philadelphia full timeout,,44-40,,
5:45.0,,,44-40,,A. Bradley enters the game for I. Thomas
5:45.0,,,44-40,,A. Horford enters the game for K. Olynyk
5:32.0,G. Henderson makes 2-pt shot at rim (assist by T. McConnell),2,46-40,,
5:14.0,,,46-40,,Turnover by A. Johnson (lost ball; steal by T. McConnell)
5:09.0,G. Henderson makes 2-pt shot at rim (assist by T. McConnell),2,48-40,,
4:52.0,,,48-40,,J. Crowder misses 2-pt shot from 15 ft
4:51.0,,,48-40,,Offensive rebound by A. Horford
4:47.0,,,48-40,,Shooting foul by N. Noel (drawn by A. Johnson)
4:47.0,,,48-41,1,A. Johnson makes free throw 1 of 2
4:47.0,,,48-42,1,A. Johnson makes free throw 2 of 2
4:47.0,D. Saric enters the game for E. Ilyasova,,48-41,,
4:39.0,Shooting foul by J. Crowder (drawn by G. Henderson),,48-42,,
4:39.0,G. Henderson makes free throw 1 of 2,1,49-42,,
4:39.0,G. Henderson makes free throw 2 of 2,1,50-42,,
4:27.0,,,50-42,,A. Bradley misses 2-pt shot from 23 ft
4:26.0,Defensive rebound by G. Henderson,,50-42,,
4:17.0,G. Henderson misses 3-pt shot from 26 ft,,50-42,,
4:16.0,,,50-42,,Defensive rebound by A. Horford
4:04.0,,,50-42,,A. Horford misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by T. McConnell,,50-42,,
3:59.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,52-42,,
3:50.0,,,52-42,,M. Smart misses 2-pt shot from 3 ft (block by N. Noel)
3:48.0,Defensive rebound by D. Saric,,52-42,,
3:45.0,Turnover by D. Saric (lost ball; steal by A. Johnson),,52-42,,
3:39.0,,,52-42,,A. Bradley misses 2-pt shot from 20 ft
3:38.0,,,52-42,,Offensive rebound by J. Crowder
3:33.0,,,52-44,2,A. Horford makes 2-pt shot from 13 ft (assist by A. Bradley)
3:28.0,,,52-44,,Personal foul by J. Crowder (drawn by G. Henderson)
3:28.0,G. Henderson makes free throw 1 of 2,1,53-44,,
3:28.0,G. Henderson makes free throw 2 of 2,1,54-44,,
3:28.0,J. Embiid enters the game for N. Noel,,53-44,,
3:28.0,,,53-44,,I. Thomas enters the game for M. Smart
3:28.0,,,53-44,,T. Rozier enters the game for A. Johnson
3:13.0,,,54-44,,A. Bradley misses 2-pt shot from 18 ft
3:12.0,,,54-44,,Offensive rebound by A. Horford
3:01.0,,,54-44,,A. Horford misses 2-pt shot from 6 ft
3:00.0,Defensive rebound by D. Saric,,54-44,,
2:44.0,D. Saric misses 2-pt shot from 3 ft,,54-44,,
2:43.0,,,54-44,,Defensive rebound by A. Horford
2:39.0,Personal foul by R. Covington (drawn by I. Thomas),,54-44,,
2:39.0,Official timeout,,54-44,,
2:39.0,N. Stauskas enters the game for G. Henderson,,54-44,,
2:35.0,,,54-44,,Turnover by T. Rozier (bad pass; steal by R. Covington)
2:33.0,R. Covington misses 2-pt shot from 3 ft (block by T. Rozier),,54-44,,
2:31.0,Offensive rebound by D. Saric,,54-44,,
2:30.0,N. Stauskas makes 2-pt shot from 1 ft,2,56-44,,
2:16.0,,,56-46,2,I. Thomas makes 2-pt shot from 1 ft
2:16.0,,,56-46,,Shooting foul by J. Embiid (drawn by I. Thomas)
2:16.0,,,56-46,,I. Thomas misses free throw 1 of 1
2:14.0,Defensive rebound by J. Embiid,,56-46,,
2:02.0,Shooting foul by A. Horford (drawn by J. Embiid),,56-46,,
2:02.0,J. Embiid makes free throw 1 of 2,1,57-46,,
2:02.0,J. Embiid makes free throw 2 of 2,1,58-46,,
1:48.0,,,58-46,,J. Crowder misses 2-pt shot from 5 ft (block by J. Embiid)
1:47.0,Defensive rebound by J. Embiid,,58-46,,
1:36.0,D. Saric misses 2-pt shot from 2 ft (block by J. Crowder),,58-46,,
1:35.0,,,58-46,,Defensive rebound by A. Horford
1:29.0,,,58-46,,I. Thomas misses 3-pt shot from 23 ft (block by N. Stauskas)
1:28.0,Defensive rebound by D. Saric,,58-46,,
1:24.0,Philadelphia full timeout,,58-46,,
1:24.0,G. Henderson enters the game for T. McConnell,,58-46,,
1:12.0,Shooting foul by J. Crowder (drawn by N. Stauskas),,58-46,,
1:12.0,N. Stauskas makes free throw 1 of 2,1,59-46,,
1:12.0,N. Stauskas makes free throw 2 of 2,1,60-46,,
1:12.0,,,59-46,,J. Jerebko enters the game for J. Crowder
1:12.0,,,59-46,,M. Smart enters the game for T. Rozier
1:12.0,T. Luwawu-Cabarrot enters the game for R. Covington,,59-46,,
0:51.0,,,60-46,,I. Thomas misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by J. Embiid,,60-46,,
0:44.0,Turnover by J. Embiid (lost ball),,60-46,,
0:30.0,,,60-49,3,M. Smart makes 3-pt shot from 26 ft (assist by I. Thomas)
0:17.0,Shooting foul by A. Horford (drawn by J. Embiid),,60-49,,
0:17.0,J. Embiid makes free throw 1 of 2,1,61-49,,
0:17.0,J. Embiid makes free throw 2 of 2,1,62-49,,
0:02.0,Personal foul by G. Henderson (drawn by M. Smart),,62-49,,
0:02.0,,,62-50,1,M. Smart makes free throw 1 of 2
0:02.0,,,62-51,1,M. Smart makes free throw 2 of 2
0:02.0,R. Covington enters the game for T. Luwawu-Cabarrot,,62-50,,
0:00.0,J. Embiid misses 3-pt shot from 36 ft,,62-51,,
0:00.0,Offensive rebound by Team,,62-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Embiid misses 2-pt shot from 2 ft (block by A. Johnson),,62-51,,
11:45.0,Offensive rebound by Team,,62-51,,
11:41.0,E. Ilyasova makes 2-pt shot from 21 ft (assist by T. McConnell),2,64-51,,
11:20.0,,,64-53,2,A. Horford makes 2-pt shot from 11 ft
11:13.0,,,64-53,,Violation by A. Horford (def goaltending)
11:13.0,T. McConnell makes 2-pt shot from 2 ft (assist by J. Embiid),2,66-53,,
11:13.0,,,66-53,,Boston full timeout
10:55.0,,,66-55,2,I. Thomas makes 2-pt shot from 16 ft (assist by A. Bradley)
10:42.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,68-55,,
10:31.0,,,68-55,,J. Crowder misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by T. McConnell,,68-55,,
10:23.0,J. Embiid misses 2-pt shot from 11 ft (block by A. Johnson),,68-55,,
10:23.0,,,68-55,,Defensive rebound by Team
10:23.0,Loose ball foul by J. Embiid (drawn by A. Johnson),,68-55,,
10:10.0,,,68-55,,A. Bradley misses 2-pt shot from 2 ft (block by E. Ilyasova)
10:09.0,Defensive rebound by J. Embiid,,68-55,,
9:57.0,Turnover by E. Ilyasova (traveling),,68-55,,
9:42.0,,,68-58,3,A. Johnson makes 3-pt shot from 25 ft (assist by J. Crowder)
9:30.0,E. Ilyasova misses 3-pt shot from 27 ft (block by A. Horford),,68-58,,
9:29.0,,,68-58,,Defensive rebound by A. Bradley
9:12.0,,,68-58,,A. Bradley misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by E. Ilyasova,,68-58,,
8:57.0,N. Stauskas misses 2-pt shot from 13 ft,,68-58,,
8:56.0,,,68-58,,Defensive rebound by A. Johnson
8:45.0,,,68-58,,A. Bradley misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by J. Embiid,,68-58,,
8:38.0,T. McConnell makes 2-pt shot at rim (assist by J. Embiid),2,70-58,,
8:23.0,N. Noel enters the game for J. Embiid,,70-58,,
8:23.0,D. Saric enters the game for E. Ilyasova,,70-58,,
8:23.0,Jump ball: R. Covington vs. I. Thomas (N. Noel gains possession),,,,Jump ball: R. Covington vs. I. Thomas (N. Noel gains possession)
8:23.0,,,70-58,,Turnover by I. Thomas (lost ball; steal by R. Covington)
8:06.0,R. Covington misses 2-pt shot from 5 ft (block by J. Crowder),,70-58,,
8:05.0,,,70-58,,Defensive rebound by Team
7:48.0,,,70-58,,A. Horford misses 2-pt shot from 8 ft
7:47.0,,,70-58,,Offensive rebound by I. Thomas
7:42.0,,,70-58,,Shooting foul by N. Noel (drawn by I. Thomas)
7:42.0,,,70-59,1,I. Thomas makes free throw 1 of 2
7:42.0,,,70-60,1,I. Thomas makes free throw 2 of 2
7:42.0,,,70-59,,J. Jerebko enters the game for A. Johnson
7:33.0,D. Saric misses 3-pt shot from 26 ft,,70-60,,
7:31.0,,,70-60,,Defensive rebound by A. Bradley
7:15.0,,,70-60,,J. Jerebko misses 3-pt shot from 25 ft
7:14.0,,,70-60,,Offensive rebound by A. Bradley
7:14.0,,,70-62,2,A. Bradley makes 2-pt shot from 2 ft
6:58.0,Shooting foul by A. Horford (drawn by N. Noel),,70-62,,
6:58.0,N. Noel misses free throw 1 of 2,,70-62,,
6:58.0,Offensive rebound by Team,,70-62,,
6:58.0,N. Noel makes free throw 2 of 2,1,71-62,,
6:58.0,G. Henderson enters the game for N. Stauskas,,70-62,,
6:45.0,,,71-62,,Shooting foul by N. Noel (drawn by A. Horford)
6:45.0,,,71-63,1,A. Horford makes free throw 1 of 2
6:45.0,,,71-63,,A. Horford misses free throw 2 of 2
6:45.0,Defensive rebound by G. Henderson,,71-63,,
6:28.0,D. Saric misses 2-pt shot from 21 ft,,71-63,,
6:27.0,,,71-63,,Defensive rebound by A. Bradley
6:11.0,,,71-66,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
5:50.0,G. Henderson makes 3-pt shot from 22 ft (assist by D. Saric),3,74-66,,
5:39.0,,,74-66,,I. Thomas misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by N. Noel,,74-66,,
5:34.0,Turnover by T. McConnell (bad pass),,74-66,,
5:28.0,,,74-66,,Offensive foul by J. Jerebko
5:28.0,,,74-66,,Turnover by J. Jerebko (offensive foul)
5:16.0,D. Saric misses 3-pt shot from 26 ft,,74-66,,
5:15.0,Offensive rebound by Team,,74-66,,
5:15.0,,,74-66,,Loose ball foul by A. Horford (drawn by N. Noel)
5:15.0,,,74-66,,K. Olynyk enters the game for A. Horford
5:15.0,,,74-66,,M. Smart enters the game for I. Thomas
4:58.0,G. Henderson makes 2-pt shot from 8 ft,2,76-66,,
4:33.0,,,76-66,,A. Bradley misses 2-pt shot from 17 ft
4:32.0,,,76-66,,Offensive rebound by Team
4:32.0,E. Ilyasova enters the game for R. Covington,,76-66,,
4:30.0,,,76-66,,M. Smart misses 2-pt shot from 22 ft
4:30.0,,,76-66,,Offensive rebound by Team
4:30.0,,,76-66,,Turnover by Team (shot clock)
4:20.0,Offensive foul by E. Ilyasova,,76-66,,
4:20.0,Turnover by E. Ilyasova (offensive foul),,76-66,,
4:20.0,,,76-66,,A. Johnson enters the game for J. Jerebko
4:01.0,,,76-66,,A. Bradley misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by N. Noel,,76-66,,
3:52.0,Philadelphia full timeout,,76-66,,
3:52.0,N. Stauskas enters the game for T. McConnell,,76-66,,
3:52.0,R. Covington enters the game for D. Saric,,76-66,,
3:39.0,N. Noel misses 2-pt shot from 6 ft,,76-66,,
3:37.0,,,76-66,,Defensive rebound by K. Olynyk
3:16.0,Personal foul by N. Noel (drawn by A. Bradley),,76-66,,
3:16.0,T. Luwawu-Cabarrot enters the game for N. Noel,,76-66,,
3:16.0,J. Embiid enters the game for G. Henderson,,76-66,,
3:10.0,,,76-68,2,A. Bradley makes 2-pt shot from 21 ft (assist by A. Johnson)
2:55.0,Offensive foul by J. Embiid,,76-68,,
2:55.0,Turnover by J. Embiid (offensive foul),,76-68,,
2:55.0,,,76-68,,T. Rozier enters the game for J. Crowder
2:47.0,,,76-70,2,A. Bradley makes 2-pt shot at rim (assist by K. Olynyk)
2:40.0,Shooting foul by M. Smart (drawn by R. Covington),,76-70,,
2:40.0,R. Covington makes free throw 1 of 2,1,77-70,,
2:40.0,R. Covington makes free throw 2 of 2,1,78-70,,
2:26.0,,,78-70,,M. Smart misses 3-pt shot from 27 ft
2:25.0,Defensive rebound by N. Stauskas,,78-70,,
2:21.0,R. Covington misses 2-pt shot from 2 ft,,78-70,,
2:20.0,,,78-70,,Defensive rebound by A. Johnson
2:13.0,,,78-70,,Shooting foul by E. Ilyasova (drawn by K. Olynyk)
2:13.0,,,78-70,,K. Olynyk misses free throw 1 of 2
2:13.0,,,78-70,,Offensive rebound by Team
2:13.0,,,78-71,1,K. Olynyk makes free throw 2 of 2
2:04.0,,,78-71,,Personal foul by K. Olynyk (drawn by E. Ilyasova)
1:49.0,E. Ilyasova misses 3-pt shot from 27 ft,,78-71,,
1:48.0,,,78-71,,Defensive rebound by A. Bradley
1:34.0,,,78-74,3,A. Bradley makes 3-pt shot from 27 ft
1:20.0,E. Ilyasova misses 3-pt shot from 26 ft,,78-74,,
1:19.0,,,78-74,,Defensive rebound by A. Bradley
0:57.0,,,78-74,,Shooting foul by J. Embiid (drawn by K. Olynyk)
0:57.0,,,78-75,1,K. Olynyk makes free throw 1 of 2
0:57.0,,,78-76,1,K. Olynyk makes free throw 2 of 2
0:57.0,T. McConnell enters the game for T. Luwawu-Cabarrot,,78-75,,
0:41.0,Offensive charge foul by J. Embiid,,78-76,,
0:41.0,Turnover by J. Embiid (offensive foul),,78-76,,
0:41.0,N. Noel enters the game for J. Embiid,,78-76,,
0:30.0,,,78-76,,K. Olynyk misses 3-pt shot from 28 ft
0:29.0,Defensive rebound by E. Ilyasova,,78-76,,
0:10.0,T. McConnell makes 2-pt shot from 5 ft,2,80-76,,
0:04.0,,,80-76,,Shooting foul by R. Covington (drawn by M. Smart)
0:04.0,,,80-77,1,M. Smart makes free throw 1 of 2
0:04.0,,,80-78,1,M. Smart makes free throw 2 of 2
0:04.0,D. Saric enters the game for N. Noel,,80-77,,
0:02.0,E. Ilyasova misses 3-pt shot from 26 ft (block by A. Johnson),,80-78,,
0:00.0,,,80-78,,Defensive rebound by K. Olynyk
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,80-80,2,M. Smart makes 2-pt shot from 11 ft
11:15.0,E. Ilyasova misses 2-pt shot from 19 ft,,80-80,,
11:14.0,,,80-80,,Defensive rebound by T. Rozier
10:56.0,,,80-83,3,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Johnson)
10:55.0,Philadelphia full timeout,,80-83,,
10:55.0,G. Henderson enters the game for N. Stauskas,,80-83,,
10:42.0,G. Henderson makes 2-pt shot from 19 ft (assist by T. McConnell),2,82-83,,
10:18.0,,,82-83,,I. Thomas misses 2-pt shot from 1 ft (block by R. Covington)
10:18.0,,,82-83,,Offensive rebound by Team
10:16.0,,,82-85,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
9:55.0,N. Noel makes 2-pt shot from 20 ft (assist by T. McConnell),2,84-85,,
9:40.0,,,84-87,2,A. Johnson makes 2-pt shot from 8 ft (assist by K. Olynyk)
9:29.0,G. Henderson misses 2-pt shot from 18 ft (block by M. Smart),,84-87,,
9:28.0,,,84-87,,Defensive rebound by M. Smart
9:23.0,,,84-89,2,I. Thomas makes 2-pt shot at rim (assist by M. Smart)
9:09.0,E. Ilyasova misses 3-pt shot from 25 ft,,84-89,,
9:09.0,,,84-89,,Defensive rebound by Team
9:09.0,Loose ball foul by N. Noel (drawn by A. Johnson),,84-89,,
8:56.0,,,84-89,,Turnover by I. Thomas (lost ball; steal by E. Ilyasova)
8:49.0,R. Covington misses 3-pt shot from 27 ft,,84-89,,
8:48.0,,,84-89,,Defensive rebound by Team
8:33.0,,,84-89,,I. Thomas misses 2-pt shot from 23 ft
8:32.0,Defensive rebound by N. Noel,,84-89,,
8:22.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell),3,87-89,,
7:58.0,,,87-89,,M. Smart misses 3-pt shot from 28 ft
7:57.0,Defensive rebound by T. McConnell,,87-89,,
7:55.0,Shooting foul by I. Thomas (drawn by T. McConnell),,87-89,,
7:55.0,T. McConnell makes free throw 1 of 2,1,88-89,,
7:55.0,T. McConnell misses free throw 2 of 2,,88-89,,
7:55.0,,,88-89,,A. Horford enters the game for K. Olynyk
7:55.0,D. Saric enters the game for E. Ilyasova,,88-89,,
7:54.0,,,88-89,,Defensive rebound by I. Thomas
7:40.0,,,88-89,,Turnover by T. Rozier (bad pass; steal by N. Noel)
7:35.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,90-89,,
7:08.0,,,90-92,3,A. Horford makes 3-pt shot from 23 ft (assist by I. Thomas)
6:55.0,T. McConnell misses 2-pt shot from 4 ft,,90-92,,
6:54.0,Offensive rebound by N. Noel,,90-92,,
6:53.0,N. Noel makes 2-pt shot at rim,2,92-92,,
6:33.0,,,92-92,,A. Johnson misses 3-pt shot from 26 ft
6:32.0,,,92-92,,Offensive rebound by T. Rozier
6:31.0,,,92-92,,T. Rozier misses 2-pt shot from 1 ft (block by R. Covington)
6:30.0,,,92-92,,Offensive rebound by T. Rozier
6:17.0,,,92-94,2,A. Horford makes 2-pt shot from 18 ft (assist by M. Smart)
6:00.0,Shooting foul by I. Thomas (drawn by R. Covington),,92-94,,
6:00.0,R. Covington misses free throw 1 of 2,,92-94,,
6:00.0,Offensive rebound by Team,,92-94,,
6:00.0,R. Covington makes free throw 2 of 2,1,93-94,,
6:00.0,,,92-94,,A. Bradley enters the game for I. Thomas
