time,New York,pts.away,score,pts.home,Miami
8:37.0,,,29-35,,Defensive rebound by R. McGruder
8:29.0,,,29-35,,Turnover by D. Williams (lost ball; steal by J. Holiday)
8:23.0,M. Kuzminskas makes 2-pt shot from 1 ft (assist by B. Jennings),2,31-35,,
8:06.0,,,31-35,,T. Johnson misses 2-pt shot from 9 ft (block by K. Porzingis)
8:05.0,,,31-35,,Offensive rebound by W. Reed
8:04.0,,,31-35,,Shooting foul by K. Porzingis (drawn by W. Reed)
8:04.0,Official timeout,,31-35,,
8:04.0,,,31-35,,W. Reed misses free throw 1 of 2
8:04.0,,,31-35,,Offensive rebound by Team
8:04.0,,,31-35,,W. Reed misses free throw 2 of 2
8:03.0,Defensive rebound by J. Holiday,,31-35,,
7:54.0,M. Kuzminskas misses 3-pt shot from 25 ft,,31-35,,
7:53.0,Offensive rebound by K. Porzingis,,31-35,,
7:47.0,Turnover by B. Jennings (bad pass; steal by T. Johnson),,31-35,,
7:34.0,,,31-38,3,W. Ellington makes 3-pt shot from 25 ft (assist by R. McGruder)
7:14.0,K. Porzingis misses 2-pt shot from 8 ft,,31-38,,
7:13.0,,,31-38,,Defensive rebound by D. Williams
7:04.0,,,31-38,,W. Ellington misses 2-pt shot from 19 ft
7:03.0,Defensive rebound by L. Thomas,,31-38,,
6:56.0,J. Holiday misses 3-pt shot from 25 ft,,31-38,,
6:55.0,Offensive rebound by M. Kuzminskas,,31-38,,
6:54.0,Turnover by M. Kuzminskas (traveling),,31-38,,
6:54.0,W. Hernangomez enters the game for M. Kuzminskas,,31-38,,
6:54.0,D. Rose enters the game for L. Thomas,,31-38,,
6:41.0,,,31-38,,D. Williams misses 2-pt shot from 9 ft
6:40.0,Defensive rebound by W. Hernangomez,,31-38,,
6:35.0,Shooting foul by D. Williams (drawn by B. Jennings),,31-38,,
6:35.0,B. Jennings misses free throw 1 of 2,,31-38,,
6:35.0,Offensive rebound by Team,,31-38,,
6:35.0,B. Jennings makes free throw 2 of 2,1,32-38,,
6:35.0,,,31-38,,H. Whiteside enters the game for W. Reed
6:25.0,,,32-38,,T. Johnson misses 2-pt shot from 3 ft (block by W. Hernangomez)
6:24.0,,,32-38,,Offensive rebound by H. Whiteside
6:23.0,,,32-40,2,H. Whiteside makes 2-pt shot at rim
6:23.0,,,32-40,,Shooting foul by J. Holiday (drawn by H. Whiteside)
6:23.0,,,32-40,,H. Whiteside misses free throw 1 of 1
6:22.0,Defensive rebound by K. Porzingis,,32-40,,
6:06.0,K. Porzingis misses 2-pt shot from 12 ft,,32-40,,
6:05.0,,,32-40,,Defensive rebound by H. Whiteside
5:58.0,,,32-40,,Shooting foul by K. Porzingis (drawn by D. Williams)
5:58.0,,,32-40,,Miami full timeout
5:58.0,,,32-41,1,D. Williams makes free throw 1 of 2
5:58.0,,,32-41,,D. Williams misses free throw 2 of 2
5:58.0,C. Anthony enters the game for J. Holiday,,32-40,,
5:58.0,C. Lee enters the game for B. Jennings,,32-40,,
5:58.0,,,32-40,,G. Dragic enters the game for R. McGruder
5:57.0,Defensive rebound by W. Hernangomez,,32-41,,
5:36.0,K. Porzingis makes 2-pt shot from 11 ft (assist by C. Lee),2,34-41,,
5:22.0,,,34-43,2,D. Williams makes 2-pt shot from 2 ft (assist by G. Dragic)
5:12.0,Shooting foul by T. Johnson (drawn by C. Anthony),,34-43,,
5:12.0,C. Anthony makes free throw 1 of 2,1,35-43,,
5:12.0,C. Anthony makes free throw 2 of 2,1,36-43,,
4:54.0,,,36-43,,H. Whiteside misses 2-pt shot from 4 ft
4:53.0,Defensive rebound by D. Rose,,36-43,,
4:48.0,C. Anthony misses 3-pt shot from 24 ft,,36-43,,
4:47.0,Offensive rebound by Team,,36-43,,
4:46.0,,,36-43,,Loose ball foul by D. Williams (drawn by W. Hernangomez)
4:46.0,,,36-43,,R. McGruder enters the game for D. Williams
4:46.0,,,36-43,,J. McRoberts enters the game for W. Ellington
4:35.0,D. Rose makes 2-pt shot from 12 ft,2,38-43,,
4:12.0,,,38-45,2,H. Whiteside makes 2-pt shot from 4 ft
3:57.0,D. Rose misses 3-pt shot from 26 ft,,38-45,,
3:56.0,,,38-45,,Defensive rebound by H. Whiteside
3:44.0,,,38-47,2,H. Whiteside makes 2-pt shot from 8 ft (assist by J. McRoberts)
3:31.0,Shooting foul by R. McGruder (drawn by C. Anthony),,38-47,,
3:31.0,C. Anthony makes free throw 1 of 2,1,39-47,,
3:31.0,C. Anthony misses free throw 2 of 2,,39-47,,
3:31.0,J. Noah enters the game for W. Hernangomez,,39-47,,
3:30.0,Offensive rebound by J. Noah,,39-47,,
3:29.0,J. Noah makes 2-pt shot from 1 ft,2,41-47,,
3:29.0,Violation by Team (jump ball),,41-47,,
3:15.0,,,41-49,2,H. Whiteside makes 2-pt shot from 17 ft (assist by J. McRoberts)
2:54.0,New York full timeout,,41-49,,
2:53.0,Jump ball: T. Johnson vs. K. Porzingis (D. Rose gains possession),,,,Jump ball: T. Johnson vs. K. Porzingis (D. Rose gains possession)
2:46.0,C. Lee misses 2-pt shot from 6 ft,,41-49,,
2:45.0,Offensive rebound by J. Noah,,41-49,,
2:44.0,J. Noah makes 2-pt shot from 1 ft,2,43-49,,
2:23.0,,,43-49,,R. McGruder misses 2-pt shot from 18 ft
2:22.0,Defensive rebound by J. Noah,,43-49,,
2:12.0,D. Rose misses 2-pt shot from 7 ft,,43-49,,
2:11.0,Offensive rebound by J. Noah,,43-49,,
2:10.0,J. Noah makes 2-pt shot at rim,2,45-49,,
1:43.0,,,45-51,2,H. Whiteside makes 2-pt shot from 4 ft
1:27.0,,,45-51,,Personal foul by J. McRoberts (drawn by K. Porzingis)
1:27.0,K. Porzingis makes free throw 1 of 2,1,46-51,,
1:27.0,K. Porzingis misses free throw 2 of 2,,46-51,,
1:27.0,,,46-51,,U. Haslem enters the game for J. McRoberts
1:26.0,,,46-51,,Defensive rebound by H. Whiteside
1:09.0,,,46-51,,Shooting foul by J. Noah (drawn by U. Haslem)
1:09.0,,,46-52,1,U. Haslem makes free throw 1 of 2
1:09.0,,,46-52,,U. Haslem misses free throw 2 of 2
1:08.0,Defensive rebound by K. Porzingis,,46-52,,
0:54.0,C. Anthony makes 2-pt shot from 13 ft,2,48-52,,
0:37.0,,,48-52,,T. Johnson misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by C. Anthony,,48-52,,
0:31.0,C. Anthony makes 3-pt shot from 25 ft (assist by D. Rose),3,51-52,,
0:18.0,,,51-54,2,G. Dragic makes 2-pt shot from 16 ft
0:00.0,C. Anthony makes 2-pt shot from 16 ft,2,53-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,53-54,,J. McRoberts misses 2-pt shot from 18 ft
11:45.0,,,53-54,,Offensive rebound by Team
11:44.0,Loose ball foul by J. Noah (drawn by H. Whiteside),,53-54,,
11:34.0,,,53-54,,H. Whiteside misses 2-pt shot from 7 ft
11:33.0,Defensive rebound by J. Noah,,53-54,,
11:19.0,,,53-54,,Personal foul by W. Ellington (drawn by J. Noah)
11:19.0,,,53-54,,Personal foul by R. McGruder (drawn by C. Anthony)
11:03.0,C. Anthony misses 3-pt shot from 24 ft,,53-54,,
11:02.0,,,53-54,,Defensive rebound by G. Dragic
10:55.0,,,53-54,,G. Dragic misses 2-pt shot from 11 ft
10:54.0,,,53-54,,Offensive rebound by Team
10:54.0,Loose ball foul by J. Noah (drawn by H. Whiteside),,53-54,,
10:38.0,,,53-54,,W. Ellington misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by C. Lee,,53-54,,
10:29.0,Turnover by C. Lee (bad pass),,53-54,,
10:19.0,,,53-54,,R. McGruder misses 2-pt shot from 7 ft
10:18.0,,,53-54,,Offensive rebound by R. McGruder
10:17.0,,,53-54,,R. McGruder misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by Team,,53-54,,
10:04.0,D. Rose misses 2-pt shot from 2 ft,,53-54,,
10:03.0,Offensive rebound by J. Noah,,53-54,,
10:02.0,J. Noah makes 2-pt shot from 1 ft,2,55-54,,
9:44.0,,,55-54,,J. McRoberts misses 2-pt shot from 12 ft
9:43.0,Defensive rebound by C. Lee,,55-54,,
9:34.0,Turnover by C. Lee (lost ball; steal by H. Whiteside),,55-54,,
9:29.0,,,55-56,2,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside)
9:14.0,C. Anthony misses 2-pt shot from 20 ft,,55-56,,
9:13.0,Offensive rebound by J. Noah,,55-56,,
9:10.0,K. Porzingis makes 2-pt shot from 16 ft (assist by J. Noah),2,57-56,,
8:46.0,,,57-56,,H. Whiteside misses 2-pt shot from 16 ft
8:44.0,Defensive rebound by K. Porzingis,,57-56,,
8:30.0,K. Porzingis misses 2-pt shot from 21 ft,,57-56,,
8:29.0,,,57-56,,Defensive rebound by Team
8:28.0,Loose ball foul by J. Noah (drawn by H. Whiteside),,57-56,,
8:28.0,K. O'Quinn enters the game for J. Noah,,57-56,,
8:18.0,,,57-56,,Turnover by G. Dragic (lost ball; steal by D. Rose)
8:13.0,C. Lee makes 2-pt shot from 2 ft (assist by D. Rose),2,59-56,,
7:54.0,,,59-56,,Shooting foul by K. Porzingis (drawn by H. Whiteside)
7:54.0,,,59-56,,H. Whiteside misses free throw 1 of 2
7:54.0,,,59-56,,Offensive rebound by Team
7:54.0,,,59-56,,H. Whiteside misses free throw 2 of 2
7:53.0,Defensive rebound by K. Porzingis,,59-56,,
7:34.0,D. Rose misses 2-pt shot from 2 ft,,59-56,,
7:33.0,,,59-56,,Defensive rebound by H. Whiteside
7:20.0,,,59-59,3,G. Dragic makes 3-pt shot from 24 ft (assist by R. McGruder)
7:02.0,K. O'Quinn makes 2-pt shot from 18 ft,2,61-59,,
6:44.0,,,61-62,3,G. Dragic makes 3-pt shot from 26 ft (assist by J. McRoberts)
6:21.0,C. Anthony makes 2-pt shot from 12 ft,2,63-62,,
5:59.0,,,63-62,,Shooting foul by C. Anthony (drawn by J. McRoberts)
5:59.0,,,63-62,,Miami full timeout
5:59.0,,,63-63,1,J. McRoberts makes free throw 1 of 2
5:59.0,,,63-64,1,J. McRoberts makes free throw 2 of 2
5:59.0,B. Jennings enters the game for D. Rose,,63-62,,
5:59.0,,,63-62,,T. Johnson enters the game for W. Ellington
5:43.0,C. Anthony misses 2-pt shot from 14 ft,,63-64,,
5:42.0,,,63-64,,Defensive rebound by J. McRoberts
5:30.0,,,63-64,,G. Dragic misses 2-pt shot from 11 ft
5:29.0,Defensive rebound by Team,,63-64,,
5:28.0,,,63-64,,Loose ball foul by H. Whiteside (drawn by K. O'Quinn)
5:19.0,C. Lee misses 2-pt shot from 12 ft,,63-64,,
5:18.0,Offensive rebound by Team,,63-64,,
5:06.0,B. Jennings misses 2-pt shot from 19 ft,,63-64,,
5:05.0,,,63-64,,Defensive rebound by H. Whiteside
5:00.0,,,63-64,,Turnover by G. Dragic (lost ball; steal by B. Jennings)
4:55.0,K. Porzingis misses 2-pt shot from 1 ft,,63-64,,
4:54.0,Offensive rebound by C. Anthony,,63-64,,
4:52.0,C. Anthony makes 2-pt shot from 2 ft,2,65-64,,
4:26.0,,,65-64,,H. Whiteside misses 2-pt shot from 10 ft
4:25.0,Defensive rebound by C. Anthony,,65-64,,
4:22.0,Turnover by B. Jennings (lost ball; steal by G. Dragic),,65-64,,
4:21.0,Personal foul by K. Porzingis (drawn by G. Dragic),,65-64,,
4:21.0,,,65-65,1,G. Dragic makes free throw 1 of 2
4:21.0,,,65-65,,G. Dragic misses free throw 2 of 2
4:21.0,L. Thomas enters the game for K. Porzingis,,65-65,,
4:20.0,Defensive rebound by L. Thomas,,65-65,,
3:59.0,L. Thomas makes 3-pt shot from 25 ft (assist by B. Jennings),3,68-65,,
3:45.0,,,68-67,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
3:45.0,,,68-67,,Shooting foul by L. Thomas (drawn by H. Whiteside)
3:45.0,,,68-68,1,H. Whiteside makes free throw 1 of 1
3:45.0,,,68-67,,D. Williams enters the game for J. McRoberts
3:26.0,C. Lee makes 3-pt shot from 24 ft (assist by C. Anthony),3,71-68,,
3:09.0,Personal foul by C. Lee (drawn by H. Whiteside),,71-68,,
3:09.0,,,71-68,,H. Whiteside misses free throw 1 of 2
3:09.0,,,71-68,,Offensive rebound by Team
3:09.0,,,71-68,,H. Whiteside misses free throw 2 of 2
3:08.0,Defensive rebound by C. Lee,,71-68,,
2:52.0,C. Anthony misses 2-pt shot from 16 ft,,71-68,,
2:51.0,Offensive rebound by Team,,71-68,,
2:50.0,,,71-68,,Loose ball foul by H. Whiteside (drawn by K. O'Quinn)
2:50.0,New York full timeout,,71-68,,
2:38.0,C. Anthony makes 2-pt shot from 8 ft,2,73-68,,
2:38.0,,,73-68,,Shooting block foul by D. Williams (drawn by C. Anthony)
2:38.0,C. Anthony makes free throw 1 of 1,1,74-68,,
2:17.0,,,74-68,,D. Williams misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by Team,,74-68,,
2:05.0,C. Lee misses 2-pt shot from 1 ft,,74-68,,
2:03.0,Offensive rebound by K. O'Quinn,,74-68,,
2:02.0,K. O'Quinn makes 2-pt shot at rim,2,76-68,,
1:49.0,,,76-68,,G. Dragic misses 2-pt shot from 17 ft
1:48.0,,,76-68,,Offensive rebound by H. Whiteside
1:47.0,,,76-70,2,H. Whiteside makes 2-pt shot at rim
1:47.0,,,76-70,,Shooting foul by K. O'Quinn (drawn by H. Whiteside)
1:47.0,,,76-70,,H. Whiteside misses free throw 1 of 1
1:47.0,,,76-70,,W. Ellington enters the game for R. McGruder
1:47.0,J. Holiday enters the game for C. Lee,,76-70,,
1:46.0,Defensive rebound by K. O'Quinn,,76-70,,
1:35.0,C. Anthony makes 3-pt shot from 25 ft (assist by B. Jennings),3,79-70,,
1:08.0,,,79-72,2,H. Whiteside makes 2-pt shot from 16 ft
0:50.0,C. Anthony makes 3-pt shot from 25 ft,3,82-72,,
0:39.0,,,82-75,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
0:27.0,C. Anthony misses 3-pt shot from 24 ft,,82-75,,
0:26.0,,,82-75,,Defensive rebound by G. Dragic
0:07.0,,,82-75,,Shooting foul by K. O'Quinn (drawn by G. Dragic)
0:07.0,,,82-76,1,G. Dragic makes free throw 1 of 2
0:07.0,,,82-77,1,G. Dragic makes free throw 2 of 2
0:07.0,,,82-76,,U. Haslem enters the game for D. Williams
0:00.0,B. Jennings makes 2-pt shot from 1 ft,2,84-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,C. Anthony makes 2-pt shot from 20 ft,2,86-77,,
11:24.0,,,86-77,,R. McGruder misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by K. O'Quinn,,86-77,,
11:11.0,C. Anthony misses 2-pt shot from 19 ft,,86-77,,
11:10.0,Offensive rebound by Team,,86-77,,
10:58.0,L. Thomas makes 2-pt shot from 14 ft,2,88-77,,
10:41.0,,,88-77,,T. Johnson misses 2-pt shot from 9 ft
10:40.0,Defensive rebound by Team,,88-77,,
10:40.0,K. Porzingis enters the game for C. Anthony,,88-77,,
10:29.0,B. Jennings misses 3-pt shot from 25 ft,,88-77,,
10:28.0,,,88-77,,Defensive rebound by T. Johnson
10:19.0,,,88-77,,H. Whiteside misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by L. Thomas,,88-77,,
10:01.0,K. Porzingis makes 2-pt shot from 2 ft,2,90-77,,
10:01.0,,,90-77,,Miami full timeout
10:01.0,,,90-77,,G. Dragic enters the game for H. Whiteside
10:01.0,,,90-77,,W. Reed enters the game for R. McGruder
10:01.0,,,90-77,,D. Williams enters the game for U. Haslem
9:46.0,,,90-79,2,G. Dragic makes 2-pt shot from 16 ft
9:22.0,L. Thomas misses 2-pt shot from 8 ft,,90-79,,
9:21.0,Offensive rebound by K. O'Quinn,,90-79,,
9:07.0,Jump ball: B. Jennings vs. D. Williams (W. Ellington gains possession),,,,Jump ball: B. Jennings vs. D. Williams (W. Ellington gains possession)
9:07.0,Turnover by B. Jennings (lost ball; steal by D. Williams),,90-79,,
9:00.0,,,90-81,2,G. Dragic makes 2-pt shot from 18 ft (assist by W. Ellington)
8:47.0,J. Holiday makes 3-pt shot from 24 ft (assist by B. Jennings),3,93-81,,
8:30.0,,,93-81,,D. Williams misses 2-pt shot from 1 ft
8:29.0,,,93-81,,Offensive rebound by W. Reed
8:23.0,,,93-81,,W. Reed misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by B. Jennings,,93-81,,
8:17.0,K. Porzingis misses 3-pt shot from 24 ft,,93-81,,
8:16.0,,,93-81,,Defensive rebound by W. Ellington
8:05.0,,,93-81,,D. Williams misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by K. Porzingis,,93-81,,
7:50.0,L. Thomas makes 2-pt shot from 18 ft (assist by B. Jennings),2,95-81,,
7:28.0,,,95-81,,W. Ellington misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by K. Porzingis,,95-81,,
7:27.0,,,95-81,,Personal foul by T. Johnson (drawn by K. Porzingis)
7:27.0,,,95-81,,J. McRoberts enters the game for D. Williams
7:10.0,B. Jennings misses 2-pt shot from 20 ft,,95-81,,
7:09.0,,,95-81,,Defensive rebound by W. Reed
6:58.0,,,95-83,2,J. McRoberts makes 2-pt shot at rim
6:47.0,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings),2,97-83,,
6:31.0,,,97-86,3,G. Dragic makes 3-pt shot from 25 ft
6:21.0,J. Holiday makes 2-pt shot from 1 ft (assist by B. Jennings),2,99-86,,
6:02.0,,,99-88,2,T. Johnson makes 2-pt shot from 20 ft (assist by G. Dragic)
5:48.0,K. Porzingis misses 3-pt shot from 25 ft,,99-88,,
5:47.0,,,99-88,,Defensive rebound by T. Johnson
5:40.0,,,99-90,2,T. Johnson makes 2-pt shot from 2 ft
5:40.0,New York full timeout,,99-90,,
5:40.0,C. Anthony enters the game for K. Porzingis,,99-90,,
