time,Atlanta,pts.away,score,pts.home,Indiana
4:40.0,M. Muscala misses 2-pt shot from 19 ft,,59-74,,
4:39.0,,,59-74,,Defensive rebound by T. Young
4:25.0,Personal foul by M. Delaney (drawn by J. Teague),,59-74,,
4:25.0,,,59-75,1,J. Teague makes free throw 1 of 2
4:25.0,,,59-76,1,J. Teague makes free throw 2 of 2
4:25.0,,,59-75,,K. Seraphin enters the game for M. Turner
4:25.0,M. Dunleavy enters the game for D. Bembry,,59-75,,
4:07.0,Shooting foul by M. Ellis (drawn by M. Dunleavy),,59-76,,
4:07.0,M. Dunleavy makes free throw 1 of 3,1,60-76,,
4:07.0,M. Dunleavy makes free throw 2 of 3,1,61-76,,
4:07.0,M. Dunleavy makes free throw 3 of 3,1,62-76,,
4:07.0,R. Kelly enters the game for T. Waller-Prince,,61-76,,
3:52.0,,,62-76,,Shooting foul by M. Muscala (drawn by K. Seraphin)
3:52.0,,,62-77,1,K. Seraphin makes free throw 1 of 2
3:52.0,,,62-78,1,K. Seraphin makes free throw 2 of 2
3:52.0,,,62-77,,C. Miles enters the game for T. Young
3:41.0,Turnover by M. Delaney (bad pass),,62-78,,
3:28.0,,,62-80,2,K. Seraphin makes 2-pt shot at rim (assist by J. Teague)
3:16.0,Shooting foul by J. Teague (drawn by M. Delaney),,62-80,,
3:16.0,M. Delaney makes free throw 1 of 3,1,63-80,,
3:16.0,M. Delaney makes free throw 2 of 3,1,64-80,,
3:16.0,M. Delaney makes free throw 3 of 3,1,65-80,,
3:00.0,,,65-82,2,P. George makes 2-pt shot from 19 ft (assist by J. Teague)
2:44.0,M. Muscala makes 3-pt shot from 26 ft (assist by M. Delaney),3,68-82,,
2:26.0,,,68-82,,K. Seraphin misses 2-pt shot from 20 ft
2:26.0,Defensive rebound by T. Sefolosha,,68-82,,
2:16.0,M. Dunleavy misses 3-pt shot from 25 ft,,68-82,,
2:16.0,,,68-82,,Defensive rebound by P. George
2:04.0,,,68-82,,Turnover by K. Seraphin (3 sec)
2:04.0,,,68-82,,Indiana full timeout
2:04.0,,,68-82,,L. Stephenson enters the game for M. Ellis
1:51.0,,,68-82,,Personal foul by L. Stephenson (drawn by M. Muscala)
1:51.0,,,68-82,,A. Brooks enters the game for J. Teague
1:42.0,Turnover by T. Sefolosha (bad pass; steal by L. Stephenson),,68-82,,
1:29.0,,,68-84,2,K. Seraphin makes 2-pt shot at rim (assist by L. Stephenson)
1:11.0,T. Sefolosha misses 3-pt shot from 23 ft,,68-84,,
1:10.0,Offensive rebound by R. Kelly,,68-84,,
1:06.0,R. Kelly misses 2-pt shot from 7 ft,,68-84,,
1:06.0,,,68-84,,Defensive rebound by K. Seraphin
0:47.0,,,68-84,,C. Miles misses 2-pt shot from 13 ft
0:46.0,Defensive rebound by M. Muscala,,68-84,,
0:38.0,M. Muscala misses 3-pt shot from 28 ft,,68-84,,
0:38.0,,,68-84,,Defensive rebound by L. Stephenson
0:27.0,,,68-84,,Turnover by L. Stephenson (dbl dribble)
0:27.0,,,68-84,,T. Young enters the game for P. George
0:16.0,Turnover by T. Sefolosha (step out of bounds),,68-84,,
0:16.0,,,68-84,,P. George enters the game for T. Young
0:02.0,,,68-84,,P. George misses 2-pt shot from 6 ft
0:02.0,Defensive rebound by R. Kelly,,68-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Muscala makes 2-pt shot from 12 ft (assist by M. Dunleavy),2,70-84,,
11:15.0,,,70-84,,K. Seraphin misses 2-pt shot from 11 ft
11:15.0,Defensive rebound by M. Dunleavy,,70-84,,
11:07.0,J. Calderon misses 3-pt shot from 24 ft,,70-84,,
11:07.0,Offensive rebound by Team,,70-84,,
11:07.0,,,70-84,,Loose ball foul by K. Seraphin (drawn by M. Muscala)
11:05.0,Offensive foul by M. Delaney,,70-84,,
11:05.0,Turnover by M. Delaney (offensive foul),,70-84,,
10:52.0,,,70-84,,A. Brooks misses 3-pt shot from 28 ft
10:52.0,Defensive rebound by M. Dunleavy,,70-84,,
10:33.0,Turnover by J. Calderon (bad pass; steal by T. Young),,70-84,,
10:23.0,,,70-84,,C. Miles misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by M. Dunleavy,,70-84,,
10:08.0,M. Dunleavy misses 3-pt shot from 25 ft,,70-84,,
10:07.0,,,70-84,,Defensive rebound by L. Stephenson
9:59.0,,,70-86,2,K. Seraphin makes 2-pt shot from 1 ft (assist by L. Stephenson)
9:45.0,,,70-86,,Personal foul by L. Stephenson (drawn by M. Delaney)
9:45.0,K. Humphries enters the game for M. Muscala,,70-86,,
9:45.0,D. Bembry enters the game for M. Dunleavy,,70-86,,
9:38.0,M. Delaney makes 3-pt shot from 27 ft (assist by J. Calderon),3,73-86,,
9:18.0,,,73-86,,L. Stephenson misses 2-pt shot from 15 ft
9:17.0,Defensive rebound by D. Bembry,,73-86,,
9:11.0,Turnover by D. Bembry (bad pass),,73-86,,
8:56.0,,,73-86,,Turnover by L. Stephenson (bad pass; steal by M. Delaney)
8:51.0,Official timeout,,73-86,,
8:51.0,,,73-86,,M. Turner enters the game for K. Seraphin
8:51.0,,,73-86,,P. George enters the game for L. Stephenson
8:51.0,,,73-86,,J. Teague enters the game for T. Young
8:51.0,T. Waller-Prince enters the game for T. Sefolosha,,73-86,,
8:48.0,K. Humphries misses 3-pt shot from 27 ft,,73-86,,
8:47.0,,,73-86,,Defensive rebound by C. Miles
8:32.0,,,73-88,2,P. George makes 2-pt shot from 6 ft
8:16.0,D. Bembry misses 2-pt shot from 2 ft (block by M. Turner),,73-88,,
8:14.0,Offensive rebound by K. Humphries,,73-88,,
8:10.0,T. Waller-Prince misses 3-pt shot from 25 ft,,73-88,,
8:10.0,,,73-88,,Defensive rebound by C. Miles
7:59.0,,,73-90,2,M. Turner makes 2-pt shot from 1 ft (assist by C. Miles)
7:39.0,M. Delaney makes 2-pt shot from 17 ft,2,75-90,,
7:27.0,,,75-90,,Turnover by J. Teague (back court)
7:27.0,R. Kelly enters the game for M. Delaney,,75-90,,
7:27.0,,,75-90,,L. Stephenson enters the game for A. Brooks
7:13.0,R. Kelly makes 3-pt shot from 24 ft (assist by J. Calderon),3,78-90,,
6:49.0,,,78-90,,C. Miles misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by Team,,78-90,,
6:31.0,R. Kelly makes 3-pt shot from 25 ft (assist by J. Calderon),3,81-90,,
6:22.0,,,81-90,,Indiana full timeout
6:22.0,,,81-90,,T. Young enters the game for C. Miles
6:13.0,,,81-92,2,P. George makes 2-pt shot from 17 ft (assist by T. Young)
5:51.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,83-92,,
5:51.0,Shooting foul by M. Turner (drawn by T. Waller-Prince),,83-92,,
5:51.0,T. Waller-Prince misses free throw 1 of 1,,83-92,,
5:49.0,Offensive rebound by K. Humphries,,83-92,,
5:32.0,R. Kelly misses 2-pt shot from 1 ft (block by M. Turner),,83-92,,
5:32.0,Offensive rebound by K. Humphries,,83-92,,
5:32.0,Shooting foul by P. George (drawn by K. Humphries),,83-92,,
5:32.0,K. Humphries makes free throw 1 of 2,1,84-92,,
5:32.0,K. Humphries misses free throw 2 of 2,,84-92,,
5:32.0,,,84-92,,Defensive rebound by M. Turner
5:15.0,,,84-94,2,P. George makes 2-pt shot from 2 ft
5:15.0,,,84-94,,Shooting foul by T. Waller-Prince (drawn by P. George)
5:15.0,,,84-95,1,P. George makes free throw 1 of 1
4:51.0,Turnover by Team (shot clock),,84-95,,
4:32.0,,,84-97,2,P. George makes 2-pt shot from 19 ft
4:20.0,R. Kelly misses 2-pt shot from 6 ft (block by M. Turner),,84-97,,
4:20.0,Offensive rebound by Team,,84-97,,
4:20.0,T. Sefolosha enters the game for T. Waller-Prince,,84-97,,
4:05.0,J. Calderon misses 2-pt shot from 21 ft,,84-97,,
4:05.0,,,84-97,,Defensive rebound by T. Young
3:46.0,,,84-99,2,T. Young makes 2-pt shot at rim (assist by L. Stephenson)
3:33.0,J. Calderon makes 2-pt shot from 18 ft,2,86-99,,
3:17.0,,,86-102,3,P. George makes 3-pt shot from 25 ft
3:16.0,Atlanta full timeout,,86-102,,
3:16.0,M. Delaney enters the game for J. Calderon,,86-102,,
2:59.0,K. Humphries misses 2-pt shot from 15 ft,,86-102,,
2:59.0,,,86-102,,Defensive rebound by P. George
2:43.0,,,86-102,,M. Turner misses 2-pt shot from 18 ft
2:42.0,Defensive rebound by D. Bembry,,86-102,,
2:22.0,M. Delaney misses 3-pt shot from 25 ft,,86-102,,
2:20.0,Offensive rebound by T. Sefolosha,,86-102,,
2:17.0,T. Sefolosha misses 2-pt shot from 2 ft,,86-102,,
2:16.0,,,86-102,,Defensive rebound by L. Stephenson
2:09.0,,,86-102,,P. George misses 3-pt shot from 27 ft
2:08.0,,,86-102,,Offensive rebound by T. Young
2:08.0,,,86-102,,Indiana full timeout
2:08.0,,,86-102,,C. Miles enters the game for J. Teague
1:44.0,,,86-102,,L. Stephenson misses 2-pt shot from 21 ft
1:44.0,Defensive rebound by T. Sefolosha,,86-102,,
1:37.0,Turnover by M. Delaney (lost ball),,86-102,,
1:37.0,,,86-102,,A. Brooks enters the game for P. George
1:17.0,,,86-102,,L. Stephenson misses 2-pt shot at rim
1:15.0,,,86-102,,Offensive rebound by T. Young
1:15.0,,,86-102,,T. Young misses 2-pt shot at rim
1:15.0,,,86-102,,Offensive rebound by T. Young
1:15.0,,,86-102,,T. Young misses 2-pt shot at rim
1:14.0,Defensive rebound by M. Delaney,,86-102,,
1:02.0,K. Humphries misses 2-pt shot at rim,,86-102,,
1:02.0,,,86-102,,Defensive rebound by M. Turner
0:44.0,,,86-104,2,M. Turner makes 2-pt shot from 4 ft
0:24.0,M. Delaney misses 2-pt shot from 2 ft (block by M. Turner),,86-104,,
0:23.0,,,86-104,,Defensive rebound by L. Stephenson
0:00.0,End of 4th quarter,,,,End of 4th quarter
