time,Charlotte,pts.away,score,pts.home,Detroit
0:23.0,,,28-23,,I. Smith misses 2-pt shot at rim
0:22.0,Defensive rebound by B. Roberts,,28-23,,
0:02.0,M. Belinelli misses 3-pt shot from 25 ft,,28-23,,
0:01.0,,,28-23,,Defensive rebound by K. Caldwell-Pope
0:00.0,,,28-23,,K. Caldwell-Pope misses 3-pt shot from 39 ft
0:00.0,,,28-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,B. Roberts makes 2-pt shot from 7 ft,2,30-23,,
11:25.0,,,30-23,,M. Morris misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by M. Williams,,30-23,,
11:12.0,J. Lamb makes 2-pt shot from 6 ft,2,32-23,,
11:09.0,,,32-23,,Detroit full timeout
10:58.0,,,32-23,,S. Johnson misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by M. Williams,,32-23,,
10:41.0,J. Lamb misses 3-pt shot from 26 ft,,32-23,,
10:40.0,,,32-23,,Defensive rebound by I. Smith
10:31.0,,,32-26,3,T. Harris makes 3-pt shot from 27 ft (assist by I. Smith)
10:10.0,J. Lamb makes 2-pt shot from 16 ft,2,34-26,,
9:59.0,,,34-29,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
9:38.0,M. Belinelli makes 2-pt shot from 19 ft (assist by M. Tobey),2,36-29,,
9:23.0,,,36-29,,J. Leuer misses 2-pt shot from 3 ft (block by J. Lamb)
9:22.0,Defensive rebound by B. Roberts,,36-29,,
9:12.0,M. Belinelli makes 2-pt shot from 19 ft (assist by B. Roberts),2,38-29,,
8:54.0,,,38-29,,I. Smith misses 2-pt shot from 2 ft
8:52.0,Defensive rebound by J. Lamb,,38-29,,
8:38.0,M. Williams misses 2-pt shot from 11 ft (block by T. Harris),,38-29,,
8:36.0,,,38-29,,Defensive rebound by J. Leuer
8:30.0,,,38-32,3,M. Morris makes 3-pt shot from 27 ft (assist by I. Smith)
8:24.0,Charlotte full timeout,,38-32,,
8:24.0,F. Kaminsky enters the game for J. Lamb,,38-32,,
8:24.0,N. Batum enters the game for M. Tobey,,38-32,,
8:17.0,M. Belinelli misses 2-pt shot from 21 ft,,38-32,,
8:16.0,,,38-32,,Defensive rebound by I. Smith
8:09.0,,,38-34,2,M. Morris makes 2-pt shot from 1 ft (assist by I. Smith)
8:09.0,,,38-34,,Shooting foul by F. Kaminsky (drawn by M. Morris)
8:09.0,,,38-35,1,M. Morris makes free throw 1 of 1
7:47.0,B. Roberts misses 2-pt shot from 18 ft,,38-35,,
7:46.0,,,38-35,,Defensive rebound by M. Morris
7:39.0,,,38-35,,I. Smith misses 2-pt shot from 17 ft
7:38.0,Defensive rebound by M. Williams,,38-35,,
7:32.0,Turnover by M. Belinelli (bad pass; steal by I. Smith),,38-35,,
7:18.0,,,38-38,3,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith)
7:04.0,Turnover by N. Batum (bad pass; steal by S. Johnson),,38-38,,
6:58.0,,,38-40,2,T. Harris makes 2-pt shot from 1 ft
6:58.0,,,38-40,,Shooting foul by N. Batum (drawn by T. Harris)
6:58.0,,,38-41,1,T. Harris makes free throw 1 of 1
6:58.0,,,38-40,,R. Jackson enters the game for I. Smith
6:45.0,Shooting foul by M. Morris (drawn by N. Batum),,38-41,,
6:45.0,N. Batum makes free throw 1 of 3,1,39-41,,
6:45.0,N. Batum makes free throw 2 of 3,1,40-41,,
6:45.0,N. Batum makes free throw 3 of 3,1,41-41,,
6:45.0,M. Kidd-Gilchrist enters the game for M. Williams,,40-41,,
6:31.0,,,41-41,,T. Harris misses 2-pt shot from 10 ft
6:31.0,Defensive rebound by Team,,41-41,,
6:31.0,,,41-41,,Loose ball foul by M. Morris (drawn by N. Batum)
6:16.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,44-41,,
6:11.0,,,44-41,,Detroit full timeout
6:11.0,K. Walker enters the game for B. Roberts,,44-41,,
6:11.0,,,44-41,,K. Caldwell-Pope enters the game for S. Johnson
5:56.0,,,44-41,,M. Morris misses 2-pt shot from 18 ft
5:56.0,Defensive rebound by M. Belinelli,,44-41,,
5:44.0,K. Walker makes 2-pt shot from 14 ft,2,46-41,,
5:32.0,,,46-43,2,J. Leuer makes 2-pt shot from 20 ft (assist by K. Caldwell-Pope)
5:18.0,Shooting foul by J. Leuer (drawn by K. Walker),,46-43,,
5:18.0,K. Walker makes free throw 1 of 2,1,47-43,,
5:18.0,K. Walker makes free throw 2 of 2,1,48-43,,
5:18.0,,,47-43,,A. Drummond enters the game for T. Harris
5:05.0,,,48-45,2,J. Leuer makes 2-pt shot from 8 ft
4:49.0,N. Batum misses 3-pt shot from 27 ft,,48-45,,
4:48.0,,,48-45,,Defensive rebound by A. Drummond
4:39.0,,,48-45,,R. Jackson misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by M. Belinelli,,48-45,,
4:32.0,Shooting foul by A. Drummond (drawn by F. Kaminsky),,48-45,,
4:32.0,F. Kaminsky makes free throw 1 of 2,1,49-45,,
4:32.0,F. Kaminsky misses free throw 2 of 2,,49-45,,
4:31.0,,,49-45,,Defensive rebound by A. Drummond
4:12.0,,,49-45,,M. Morris misses 2-pt shot from 18 ft
4:11.0,,,49-45,,Offensive rebound by A. Drummond
4:08.0,,,49-45,,Turnover by A. Drummond (lost ball; steal by M. Kidd-Gilchrist)
3:58.0,F. Kaminsky misses 2-pt shot from 9 ft,,49-45,,
3:57.0,Offensive rebound by M. Kidd-Gilchrist,,49-45,,
3:50.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,51-45,,
3:39.0,,,51-45,,Turnover by R. Jackson (bad pass; steal by F. Kaminsky)
3:36.0,,,51-45,,Personal foul by R. Jackson (drawn by K. Walker)
3:36.0,K. Walker makes free throw 1 of 2,1,52-45,,
3:36.0,K. Walker makes free throw 2 of 2,1,53-45,,
3:36.0,M. Williams enters the game for M. Belinelli,,52-45,,
3:21.0,,,53-45,,M. Morris misses 2-pt shot from 6 ft
3:20.0,,,53-45,,Offensive rebound by A. Drummond
3:20.0,,,53-45,,A. Drummond misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by M. Kidd-Gilchrist,,53-45,,
3:02.0,F. Kaminsky misses 3-pt shot from 26 ft,,53-45,,
3:02.0,Offensive rebound by K. Walker,,53-45,,
2:53.0,N. Batum makes 2-pt shot at rim,2,55-45,,
2:48.0,,,55-45,,Technical foul by Team
2:48.0,K. Walker makes technical free throw,1,56-45,,
2:48.0,,,56-45,,T. Harris enters the game for M. Morris
2:48.0,,,56-45,,I. Smith enters the game for R. Jackson
2:36.0,,,56-45,,I. Smith misses 3-pt shot from 26 ft
2:35.0,,,56-45,,Offensive rebound by A. Drummond
2:34.0,,,56-45,,A. Drummond misses 2-pt shot from 1 ft (block by F. Kaminsky)
2:33.0,Defensive rebound by K. Walker,,56-45,,
2:27.0,Official timeout,,56-45,,
2:21.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,59-45,,
2:05.0,,,59-45,,K. Caldwell-Pope misses 2-pt shot from 8 ft (block by N. Batum)
2:04.0,,,59-45,,Offensive rebound by Team
2:04.0,,,59-45,,S. Johnson enters the game for A. Drummond
1:59.0,,,59-45,,J. Leuer misses 2-pt shot from 15 ft
1:58.0,Defensive rebound by M. Kidd-Gilchrist,,59-45,,
1:42.0,F. Kaminsky misses 2-pt shot from 4 ft,,59-45,,
1:41.0,,,59-45,,Defensive rebound by J. Leuer
1:34.0,,,59-48,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
1:14.0,F. Kaminsky misses 2-pt shot from 5 ft,,59-48,,
1:13.0,,,59-48,,Defensive rebound by S. Johnson
0:55.0,,,59-48,,T. Harris misses 2-pt shot from 5 ft
0:54.0,Defensive rebound by M. Kidd-Gilchrist,,59-48,,
0:36.0,K. Walker misses 2-pt shot from 5 ft,,59-48,,
0:35.0,,,59-48,,Defensive rebound by T. Harris
0:26.0,,,59-48,,I. Smith misses 2-pt shot from 18 ft
0:25.0,Defensive rebound by K. Walker,,59-48,,
0:05.0,Shooting foul by S. Johnson (drawn by M. Williams),,59-48,,
0:05.0,M. Williams makes free throw 1 of 3,1,60-48,,
0:05.0,M. Williams makes free throw 2 of 3,1,61-48,,
0:05.0,M. Williams makes free throw 3 of 3,1,62-48,,
0:01.0,,,62-50,2,I. Smith makes 2-pt shot from 17 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,F. Kaminsky misses 3-pt shot from 25 ft,,62-50,,
11:49.0,,,62-50,,Defensive rebound by A. Drummond
11:33.0,,,62-52,2,A. Drummond makes 2-pt shot from 8 ft
11:19.0,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,64-52,,
10:57.0,,,64-52,,R. Jackson misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by F. Kaminsky,,64-52,,
10:41.0,Shooting foul by M. Morris (drawn by M. Williams),,64-52,,
10:41.0,M. Williams makes free throw 1 of 2,1,65-52,,
10:41.0,M. Williams makes free throw 2 of 2,1,66-52,,
10:29.0,Personal foul by F. Kaminsky (drawn by A. Drummond),,66-52,,
10:22.0,,,66-52,,R. Jackson misses 2-pt shot from 6 ft
10:21.0,Defensive rebound by Team,,66-52,,
10:02.0,N. Batum misses 3-pt shot from 25 ft,,66-52,,
10:00.0,,,66-52,,Defensive rebound by K. Caldwell-Pope
9:54.0,,,66-54,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
9:42.0,F. Kaminsky misses 3-pt shot from 26 ft,,66-54,,
9:41.0,,,66-54,,Defensive rebound by M. Morris
9:32.0,,,66-54,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by M. Williams,,66-54,,
9:24.0,K. Walker makes 2-pt shot at rim,2,68-54,,
9:06.0,,,68-54,,M. Morris misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by M. Kidd-Gilchrist,,68-54,,
9:00.0,N. Batum makes 2-pt shot at rim (assist by M. Williams),2,70-54,,
9:00.0,,,70-54,,Detroit full timeout
8:40.0,,,70-54,,K. Caldwell-Pope misses 3-pt shot from 27 ft
8:39.0,Defensive rebound by K. Walker,,70-54,,
8:32.0,M. Williams misses 2-pt shot at rim,,70-54,,
8:31.0,,,70-54,,Defensive rebound by A. Drummond
8:18.0,,,70-54,,R. Jackson misses 2-pt shot from 1 ft (block by M. Williams)
8:17.0,,,70-54,,Offensive rebound by A. Drummond
8:15.0,,,70-56,2,A. Drummond makes 2-pt shot at rim
8:01.0,N. Batum misses 2-pt shot from 14 ft,,70-56,,
8:00.0,,,70-56,,Defensive rebound by M. Morris
7:49.0,,,70-56,,J. Leuer misses 2-pt shot from 3 ft (block by M. Williams)
7:48.0,Defensive rebound by M. Kidd-Gilchrist,,70-56,,
7:31.0,N. Batum makes 2-pt shot from 16 ft,2,72-56,,
7:12.0,,,72-58,2,K. Caldwell-Pope makes 2-pt shot from 22 ft
6:52.0,N. Batum misses 2-pt shot from 18 ft,,72-58,,
6:51.0,,,72-58,,Defensive rebound by A. Drummond
6:44.0,,,72-60,2,J. Leuer makes 2-pt shot from 18 ft (assist by R. Jackson)
6:20.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,74-60,,
6:02.0,,,74-60,,Turnover by M. Morris (lost ball; steal by M. Kidd-Gilchrist)
5:54.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,76-60,,
5:41.0,,,76-62,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:24.0,M. Williams misses 3-pt shot from 26 ft,,76-62,,
5:23.0,,,76-62,,Defensive rebound by A. Drummond
5:09.0,,,76-62,,K. Caldwell-Pope misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by M. Williams,,76-62,,
4:59.0,K. Walker misses 2-pt shot from 16 ft,,76-62,,
4:58.0,,,76-62,,Defensive rebound by M. Morris
4:44.0,,,76-64,2,J. Leuer makes 2-pt shot from 13 ft (assist by R. Jackson)
4:44.0,Charlotte full timeout,,76-64,,
4:44.0,,,76-64,,I. Smith enters the game for M. Morris
4:44.0,,,76-64,,T. Harris enters the game for R. Jackson
4:44.0,J. Lamb enters the game for M. Williams,,76-64,,
4:34.0,F. Kaminsky makes 2-pt shot from 10 ft,2,78-64,,
4:34.0,Shooting foul by J. Leuer (drawn by F. Kaminsky),,78-64,,
4:34.0,F. Kaminsky makes free throw 1 of 1,1,79-64,,
4:20.0,,,79-67,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith)
3:53.0,F. Kaminsky misses 2-pt shot from 4 ft,,79-67,,
3:52.0,,,79-67,,Defensive rebound by A. Drummond
3:38.0,,,79-67,,I. Smith misses 3-pt shot from 26 ft
3:37.0,,,79-67,,Offensive rebound by J. Leuer
3:31.0,,,79-67,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by K. Walker,,79-67,,
3:22.0,K. Walker makes 2-pt shot at rim,2,81-67,,
3:10.0,,,81-67,,K. Caldwell-Pope misses 2-pt shot from 17 ft
3:09.0,Defensive rebound by M. Kidd-Gilchrist,,81-67,,
2:49.0,N. Batum makes 2-pt shot from 9 ft (assist by M. Kidd-Gilchrist),2,83-67,,
2:40.0,Personal foul by J. Lamb (drawn by K. Caldwell-Pope),,83-67,,
2:40.0,M. Belinelli enters the game for F. Kaminsky,,83-67,,
2:40.0,M. Tobey enters the game for N. Batum,,83-67,,
2:40.0,,,83-67,,M. Morris enters the game for J. Leuer
2:31.0,,,83-67,,I. Smith misses 2-pt shot from 1 ft
2:30.0,,,83-67,,Offensive rebound by Team
2:30.0,Loose ball foul by M. Kidd-Gilchrist (drawn by A. Drummond),,83-67,,
2:16.0,,,83-67,,Turnover by Team (shot clock)
1:53.0,J. Lamb makes 2-pt shot from 17 ft,2,85-67,,
1:41.0,,,85-67,,Turnover by A. Drummond (3 sec)
1:41.0,B. Roberts enters the game for K. Walker,,85-67,,
1:41.0,,,85-67,,A. Baynes enters the game for A. Drummond
1:41.0,,,85-67,,Violation by Team (jump ball)
1:30.0,J. Lamb misses 2-pt shot from 1 ft,,85-67,,
1:29.0,,,85-67,,Defensive rebound by K. Caldwell-Pope
1:25.0,,,85-67,,Shooting foul by J. Lamb (drawn by K. Caldwell-Pope)
1:25.0,,,85-68,1,K. Caldwell-Pope makes free throw 1 of 2
1:25.0,,,85-69,1,K. Caldwell-Pope makes free throw 2 of 2
1:25.0,M. Williams enters the game for M. Kidd-Gilchrist,,85-68,,
1:02.0,B. Roberts misses 3-pt shot from 25 ft,,85-69,,
1:01.0,,,85-69,,Defensive rebound by I. Smith
0:58.0,Personal foul by J. Lamb (drawn by I. Smith),,85-69,,
0:58.0,,,85-69,,I. Smith misses free throw 1 of 2
0:58.0,,,85-69,,Offensive rebound by Team
0:58.0,,,85-70,1,I. Smith makes free throw 2 of 2
0:44.0,Turnover by M. Belinelli (lost ball; steal by A. Baynes),,85-70,,
0:37.0,,,85-70,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by M. Belinelli,,85-70,,
0:32.0,,,85-70,,Personal foul by K. Caldwell-Pope (drawn by M. Belinelli)
0:25.0,B. Roberts misses 2-pt shot from 9 ft (block by I. Smith),,85-70,,
0:23.0,,,85-70,,Defensive rebound by I. Smith
0:02.0,,,85-70,,T. Harris misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by B. Roberts,,85-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-72,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
11:23.0,J. Lamb misses 3-pt shot from 27 ft,,85-72,,
11:22.0,,,85-72,,Defensive rebound by I. Smith
11:15.0,,,85-72,,S. Johnson misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by M. Belinelli,,85-72,,
10:57.0,Shooting foul by S. Johnson (drawn by B. Roberts),,85-72,,
10:57.0,B. Roberts makes free throw 1 of 2,1,86-72,,
10:57.0,B. Roberts makes free throw 2 of 2,1,87-72,,
10:44.0,,,87-75,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
10:19.0,J. Lamb misses 2-pt shot from 12 ft,,87-75,,
10:18.0,,,87-75,,Defensive rebound by R. Bullock
10:10.0,Personal foul by J. Lamb (drawn by I. Smith),,87-75,,
10:01.0,,,87-75,,T. Harris misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by J. Lamb,,87-75,,
9:50.0,Turnover by M. Williams (bad pass),,87-75,,
9:30.0,Jump ball: T. Harris vs. M. Tobey,,,,Jump ball: T. Harris vs. M. Tobey
9:30.0,,,87-75,,Turnover by T. Harris (lost ball)
9:19.0,Turnover by M. Tobey (lost ball; steal by S. Johnson),,87-75,,
9:13.0,,,87-77,2,S. Johnson makes 2-pt shot from 1 ft
9:00.0,F. Kaminsky enters the game for M. Tobey,,87-77,,
9:00.0,N. Batum enters the game for J. Lamb,,87-77,,
9:00.0,,,87-77,,J. Leuer enters the game for A. Baynes
8:55.0,B. Roberts misses 2-pt shot from 6 ft,,87-77,,
8:54.0,Offensive rebound by Team,,87-77,,
8:54.0,Official timeout,,87-77,,
8:54.0,K. Walker enters the game for B. Roberts,,87-77,,
8:49.0,M. Belinelli misses 2-pt shot from 18 ft,,87-77,,
8:48.0,,,87-77,,Defensive rebound by J. Leuer
8:38.0,,,87-77,,I. Smith misses 2-pt shot from 16 ft
8:37.0,Defensive rebound by M. Belinelli,,87-77,,
8:23.0,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker),2,89-77,,
8:05.0,,,89-79,2,J. Leuer makes 2-pt shot from 6 ft (assist by S. Johnson)
7:49.0,,,89-79,,Personal foul by S. Johnson (drawn by F. Kaminsky)
7:38.0,F. Kaminsky misses 2-pt shot from 4 ft,,89-79,,
7:37.0,,,89-79,,Defensive rebound by T. Harris
7:33.0,,,89-79,,Shooting foul by M. Williams (drawn by T. Harris)
7:33.0,,,89-80,1,T. Harris makes free throw 1 of 2
7:33.0,,,89-81,1,T. Harris makes free throw 2 of 2
7:33.0,,,89-80,,K. Caldwell-Pope enters the game for S. Johnson
7:22.0,N. Batum misses 3-pt shot from 26 ft,,89-81,,
7:21.0,,,89-81,,Defensive rebound by J. Leuer
7:11.0,,,89-81,,J. Leuer misses 2-pt shot from 21 ft
7:10.0,,,89-81,,Offensive rebound by T. Harris
7:08.0,,,89-83,2,T. Harris makes 2-pt shot at rim
6:56.0,K. Walker misses 2-pt shot from 1 ft,,89-83,,
6:55.0,,,89-83,,Defensive rebound by J. Leuer
6:47.0,,,89-83,,Turnover by J. Leuer (lost ball; steal by K. Walker)
6:40.0,K. Walker misses 2-pt shot from 7 ft,,89-83,,
6:38.0,Offensive rebound by N. Batum,,89-83,,
6:36.0,N. Batum misses 2-pt shot at rim,,89-83,,
6:34.0,Offensive rebound by M. Belinelli,,89-83,,
6:23.0,M. Williams misses 3-pt shot from 26 ft,,89-83,,
6:22.0,,,89-83,,Defensive rebound by K. Caldwell-Pope
6:20.0,,,89-85,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
6:20.0,Charlotte full timeout,,89-85,,
6:20.0,M. Kidd-Gilchrist enters the game for M. Williams,,89-85,,
6:01.0,M. Belinelli misses 3-pt shot from 27 ft,,89-85,,
6:00.0,Offensive rebound by M. Kidd-Gilchrist,,89-85,,
5:49.0,N. Batum misses 2-pt shot from 17 ft,,89-85,,
5:48.0,,,89-85,,Defensive rebound by R. Bullock
5:39.0,,,89-85,,J. Leuer misses 3-pt shot from 27 ft
5:38.0,Defensive rebound by K. Walker,,89-85,,
5:26.0,K. Walker misses 3-pt shot from 25 ft,,89-85,,
5:25.0,,,89-85,,Defensive rebound by J. Leuer
5:18.0,,,89-85,,K. Caldwell-Pope misses 3-pt shot from 27 ft
5:17.0,Defensive rebound by M. Belinelli,,89-85,,
4:54.0,Turnover by Team (shot clock),,89-85,,
4:54.0,,,89-85,,M. Morris enters the game for R. Bullock
4:54.0,M. Williams enters the game for M. Belinelli,,89-85,,
4:41.0,,,89-87,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
4:21.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,89-87,,
4:20.0,,,89-87,,Defensive rebound by J. Leuer
4:05.0,,,89-87,,M. Morris misses 2-pt shot from 20 ft
4:04.0,Defensive rebound by M. Kidd-Gilchrist,,89-87,,
3:44.0,N. Batum makes 2-pt shot at rim (assist by K. Walker),2,91-87,,
3:32.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Morris),,91-87,,
3:25.0,,,91-87,,T. Harris misses 3-pt shot from 26 ft
3:24.0,Defensive rebound by M. Kidd-Gilchrist,,91-87,,
3:14.0,Shooting foul by I. Smith (drawn by K. Walker),,91-87,,
3:14.0,K. Walker makes free throw 1 of 2,1,92-87,,
3:14.0,K. Walker makes free throw 2 of 2,1,93-87,,
3:00.0,,,93-89,2,I. Smith makes 2-pt shot from 14 ft (assist by T. Harris)
2:47.0,F. Kaminsky misses 3-pt shot from 25 ft,,93-89,,
2:46.0,,,93-89,,Defensive rebound by I. Smith
2:26.0,,,93-89,,I. Smith misses 2-pt shot from 2 ft
