time,Orlando,pts.away,score,pts.home,Charlotte
4:57.0,A. Gordon makes 2-pt shot from 15 ft,2,13-17,,
4:27.0,,,13-20,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
4:14.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,15-20,,
3:59.0,,,15-22,2,M. Belinelli makes 2-pt shot from 18 ft
3:51.0,Turnover by E. Payton (palming),,15-22,,
3:51.0,,,15-22,,C. Wood enters the game for M. Kidd-Gilchrist
3:51.0,,,15-22,,B. Roberts enters the game for C. Zeller
3:51.0,,,15-22,,M. Williams enters the game for K. Walker
3:33.0,,,15-24,2,N. Batum makes 2-pt shot from 21 ft
3:18.0,Shooting foul by C. Wood (drawn by B. Biyombo),,15-24,,
3:18.0,B. Biyombo misses free throw 1 of 2,,15-24,,
3:18.0,Offensive rebound by Team,,15-24,,
3:18.0,B. Biyombo misses free throw 2 of 2,,15-24,,
3:18.0,M. Hezonja enters the game for T. Ross,,15-24,,
3:18.0,D. Augustin enters the game for E. Payton,,15-24,,
3:16.0,,,15-24,,Defensive rebound by M. Williams
3:05.0,Personal foul by M. Hezonja (drawn by N. Batum),,15-24,,
2:56.0,,,15-24,,Turnover by N. Batum (bad pass; steal by E. Fournier)
2:51.0,E. Fournier makes 2-pt shot from 1 ft,2,17-24,,
2:35.0,,,17-24,,M. Belinelli misses 3-pt shot from 25 ft
2:35.0,,,17-24,,Offensive rebound by Team
2:35.0,Loose ball foul by D. Augustin (drawn by M. Williams),,17-24,,
2:35.0,,,17-24,,Charlotte full timeout
2:35.0,,,17-25,1,M. Williams makes free throw 1 of 2
2:35.0,,,17-26,1,M. Williams makes free throw 2 of 2
2:35.0,S. Zimmerman enters the game for A. Gordon,,17-24,,
2:35.0,J. Green enters the game for B. Biyombo,,17-24,,
2:19.0,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin),2,19-26,,
2:06.0,,,19-29,3,B. Roberts makes 3-pt shot from 26 ft (assist by N. Batum)
1:52.0,,,19-29,,Violation by C. Wood (kicked ball)
1:52.0,,,19-29,,J. Lamb enters the game for N. Batum
1:52.0,,,19-29,,C. Zeller enters the game for C. Wood
1:45.0,E. Fournier makes 2-pt shot from 14 ft,2,21-29,,
1:32.0,,,21-29,,B. Roberts misses 2-pt shot from 20 ft
1:30.0,,,21-29,,Offensive rebound by M. Williams
1:14.0,,,21-32,3,J. Lamb makes 3-pt shot from 25 ft (assist by B. Roberts)
0:52.0,S. Zimmerman misses 2-pt shot from 13 ft,,21-32,,
0:51.0,,,21-32,,Defensive rebound by M. Williams
0:39.0,,,21-35,3,B. Roberts makes 3-pt shot from 25 ft (assist by J. Lamb)
0:29.0,,,21-35,,Personal foul by M. Belinelli (drawn by E. Fournier)
0:20.0,J. Green makes 3-pt shot from 25 ft (assist by E. Fournier),3,24-35,,
0:01.0,,,24-37,2,B. Roberts makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-37,,Shooting foul by C. Watson (drawn by M. Belinelli)
11:47.0,,,24-38,1,M. Belinelli makes free throw 1 of 2
11:47.0,,,24-39,1,M. Belinelli makes free throw 2 of 2
11:33.0,M. Hezonja misses 2-pt shot from 18 ft,,24-39,,
11:32.0,,,24-39,,Defensive rebound by J. Lamb
11:16.0,Personal foul by C. Watson (drawn by M. Belinelli),,24-39,,
11:07.0,,,24-39,,M. Williams misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by D. Augustin,,24-39,,
11:01.0,Turnover by J. Green (lost ball; steal by B. Roberts),,24-39,,
10:48.0,,,24-41,2,M. Belinelli makes 2-pt shot from 19 ft (assist by C. Zeller)
10:32.0,M. Hezonja misses 3-pt shot from 25 ft,,24-41,,
10:31.0,,,24-41,,Defensive rebound by M. Williams
10:10.0,,,24-43,2,M. Williams makes 2-pt shot from 1 ft (assist by M. Belinelli)
10:10.0,,,24-43,,Shooting foul by S. Zimmerman (drawn by M. Williams)
10:10.0,,,24-44,1,M. Williams makes free throw 1 of 1
10:10.0,,,24-43,,C. Wood enters the game for C. Zeller
10:10.0,T. Ross enters the game for M. Hezonja,,24-43,,
9:59.0,D. Augustin misses 2-pt shot from 19 ft,,24-44,,
9:58.0,,,24-44,,Defensive rebound by C. Wood
9:45.0,,,24-44,,M. Belinelli misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by C. Watson,,24-44,,
9:31.0,C. Watson makes 2-pt shot from 18 ft,2,26-44,,
9:11.0,,,26-46,2,B. Roberts makes 2-pt shot from 14 ft (assist by M. Williams)
9:11.0,Orlando full timeout,,26-46,,
9:11.0,B. Biyombo enters the game for J. Green,,26-46,,
9:11.0,A. Gordon enters the game for S. Zimmerman,,26-46,,
8:57.0,A. Gordon misses 2-pt shot from 18 ft,,26-46,,
8:56.0,,,26-46,,Defensive rebound by M. Williams
8:36.0,,,26-46,,M. Belinelli misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by Team,,26-46,,
8:13.0,Shooting foul by B. Roberts (drawn by D. Augustin),,26-46,,
8:13.0,D. Augustin makes free throw 1 of 3,1,27-46,,
8:13.0,D. Augustin makes free throw 2 of 3,1,28-46,,
8:13.0,D. Augustin makes free throw 3 of 3,1,29-46,,
8:13.0,,,28-46,,K. Walker enters the game for B. Roberts
8:13.0,,,28-46,,N. Batum enters the game for M. Belinelli
7:49.0,,,29-46,,J. Lamb misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by B. Biyombo,,29-46,,
7:39.0,C. Watson misses 2-pt shot from 15 ft,,29-46,,
7:37.0,,,29-46,,Defensive rebound by M. Williams
7:16.0,,,29-46,,C. Wood misses 2-pt shot from 1 ft
7:15.0,Defensive rebound by A. Gordon,,29-46,,
7:05.0,T. Ross misses 3-pt shot from 25 ft,,29-46,,
7:04.0,,,29-46,,Defensive rebound by N. Batum
6:53.0,Def 3 sec tech foul by B. Biyombo,,29-46,,
6:53.0,,,29-46,,N. Batum misses technical free throw
6:53.0,,,29-46,,Offensive rebound by Team
6:53.0,,,29-46,,M. Kidd-Gilchrist enters the game for M. Williams
6:53.0,,,29-46,,C. Zeller enters the game for C. Wood
6:53.0,E. Payton enters the game for D. Augustin,,29-46,,
6:36.0,,,29-46,,J. Lamb misses 2-pt shot from 16 ft
6:35.0,Defensive rebound by B. Biyombo,,29-46,,
6:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by B. Biyombo),,29-46,,
6:29.0,B. Biyombo misses free throw 1 of 2,,29-46,,
6:29.0,Offensive rebound by Team,,29-46,,
6:29.0,B. Biyombo misses free throw 2 of 2,,29-46,,
6:28.0,,,29-46,,Defensive rebound by M. Kidd-Gilchrist
6:04.0,,,29-46,,N. Batum misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by B. Biyombo,,29-46,,
5:55.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton),2,31-46,,
5:50.0,,,31-46,,Charlotte full timeout
5:30.0,,,31-46,,K. Walker misses 2-pt shot from 18 ft
5:28.0,,,31-46,,Offensive rebound by N. Batum
5:28.0,,,31-48,2,N. Batum makes 2-pt shot from 1 ft
5:02.0,E. Payton makes 2-pt shot from 20 ft,2,33-48,,
4:46.0,,,33-48,,Turnover by N. Batum (bad pass; steal by T. Ross)
4:30.0,T. Ross misses 3-pt shot from 24 ft,,33-48,,
4:29.0,,,33-48,,Defensive rebound by N. Batum
4:09.0,,,33-48,,Turnover by M. Kidd-Gilchrist (bad pass; steal by E. Payton)
3:59.0,A. Gordon misses 2-pt shot from 17 ft,,33-48,,
3:57.0,,,33-48,,Defensive rebound by C. Zeller
3:46.0,,,33-50,2,K. Walker makes 2-pt shot from 18 ft
3:41.0,Orlando full timeout,,33-50,,
3:41.0,E. Fournier enters the game for A. Gordon,,33-50,,
3:41.0,M. Hezonja enters the game for C. Watson,,33-50,,
3:41.0,,,33-50,,M. Williams enters the game for M. Kidd-Gilchrist
3:28.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,35-50,,
3:10.0,,,35-52,2,K. Walker makes 2-pt shot from 17 ft (assist by C. Zeller)
2:43.0,E. Payton misses 2-pt shot from 8 ft,,35-52,,
2:42.0,,,35-52,,Defensive rebound by M. Williams
2:26.0,,,35-52,,K. Walker misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by B. Biyombo,,35-52,,
2:08.0,T. Ross misses 3-pt shot from 24 ft,,35-52,,
2:07.0,Offensive rebound by B. Biyombo,,35-52,,
2:07.0,B. Biyombo makes 2-pt shot from 2 ft,2,37-52,,
1:48.0,,,37-54,2,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker)
1:37.0,E. Payton makes 2-pt shot from 18 ft,2,39-54,,
1:24.0,,,39-54,,N. Batum misses 2-pt shot from 9 ft
1:23.0,Defensive rebound by T. Ross,,39-54,,
1:18.0,Shooting foul by C. Zeller (drawn by B. Biyombo),,39-54,,
1:18.0,Official timeout,,39-54,,
1:18.0,B. Biyombo misses free throw 1 of 2,,39-54,,
1:18.0,Offensive rebound by Team,,39-54,,
1:18.0,B. Biyombo makes free throw 2 of 2,1,40-54,,
1:18.0,A. Gordon enters the game for M. Hezonja,,39-54,,
1:18.0,,,39-54,,C. Wood enters the game for C. Zeller
1:02.0,Violation by E. Fournier (kicked ball),,40-54,,
0:52.0,,,40-56,2,K. Walker makes 2-pt shot from 20 ft
0:38.0,Turnover by T. Ross (bad pass; steal by C. Wood),,40-56,,
0:33.0,,,40-56,,Shooting foul by B. Biyombo (drawn by M. Williams)
0:33.0,,,40-58,2,M. Williams makes 2-pt shot at rim (assist by N. Batum)
0:33.0,,,40-58,,M. Williams misses free throw 1 of 1
0:33.0,J. Green enters the game for B. Biyombo,,40-58,,
0:33.0,,,40-58,,M. Belinelli enters the game for C. Wood
0:31.0,Defensive rebound by E. Payton,,40-58,,
0:23.0,E. Payton misses 2-pt shot from 1 ft (block by K. Walker),,40-58,,
0:23.0,Offensive rebound by Team,,40-58,,
0:13.0,E. Fournier misses 2-pt shot from 2 ft (block by J. Lamb),,40-58,,
0:12.0,,,40-58,,Defensive rebound by M. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-60,2,M. Williams makes 2-pt shot from 11 ft (assist by N. Batum)
11:24.0,Turnover by E. Payton (bad pass; steal by N. Batum),,40-60,,
11:02.0,,,40-62,2,K. Walker makes 2-pt shot from 16 ft
10:46.0,E. Fournier misses 3-pt shot from 23 ft,,40-62,,
10:45.0,,,40-62,,Defensive rebound by C. Zeller
10:33.0,,,40-64,2,N. Batum makes 2-pt shot from 16 ft (assist by M. Williams)
10:33.0,Orlando full timeout,,40-64,,
10:14.0,A. Gordon misses 3-pt shot from 24 ft,,40-64,,
10:13.0,,,40-64,,Defensive rebound by C. Zeller
10:02.0,,,40-64,,N. Batum misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by A. Gordon,,40-64,,
9:55.0,A. Gordon misses 2-pt shot from 1 ft,,40-64,,
9:53.0,Offensive rebound by B. Biyombo,,40-64,,
9:44.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,42-64,,
9:18.0,,,42-67,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
9:08.0,Turnover by E. Payton (traveling),,42-67,,
8:52.0,Personal foul by E. Fournier (drawn by C. Zeller),,42-67,,
8:40.0,,,42-67,,Turnover by M. Williams (traveling)
8:25.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,45-67,,
7:55.0,,,45-67,,N. Batum misses 2-pt shot from 19 ft
7:54.0,Defensive rebound by B. Biyombo,,45-67,,
7:48.0,T. Ross misses 2-pt shot from 15 ft,,45-67,,
7:46.0,,,45-67,,Defensive rebound by C. Zeller
7:36.0,,,45-70,3,K. Walker makes 3-pt shot from 27 ft (assist by N. Batum)
7:19.0,E. Fournier misses 2-pt shot from 9 ft (block by M. Kidd-Gilchrist),,45-70,,
7:19.0,,,45-70,,Defensive rebound by Team
7:19.0,Jump ball: E. Fournier vs. M. Kidd-Gilchrist (N. Batum gains possession),,,,Jump ball: E. Fournier vs. M. Kidd-Gilchrist (N. Batum gains possession)
6:59.0,,,45-72,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by M. Williams)
6:47.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,47-72,,
6:47.0,Shooting foul by M. Williams (drawn by A. Gordon),,47-72,,
6:47.0,A. Gordon makes free throw 1 of 1,1,48-72,,
6:47.0,,,47-72,,M. Belinelli enters the game for M. Williams
6:26.0,,,48-72,,M. Belinelli misses 2-pt shot from 6 ft
6:25.0,Defensive rebound by B. Biyombo,,48-72,,
6:19.0,,,48-72,,Shooting block foul by K. Walker (drawn by B. Biyombo)
6:19.0,B. Biyombo misses free throw 1 of 2,,48-72,,
6:19.0,Offensive rebound by Team,,48-72,,
6:19.0,B. Biyombo misses free throw 2 of 2,,48-72,,
6:17.0,,,48-72,,Defensive rebound by C. Zeller
6:05.0,,,48-72,,Turnover by C. Zeller (bad pass; steal by T. Ross)
6:05.0,,,48-72,,Personal foul by C. Zeller (drawn by T. Ross)
5:53.0,E. Payton misses 2-pt shot from 17 ft,,48-72,,
5:52.0,,,48-72,,Defensive rebound by M. Kidd-Gilchrist
5:46.0,Personal foul by T. Ross (drawn by K. Walker),,48-72,,
5:37.0,,,48-74,2,M. Belinelli makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
5:12.0,E. Payton makes 2-pt shot from 2 ft (assist by E. Fournier),2,50-74,,
4:55.0,Personal foul by E. Fournier (drawn by M. Belinelli),,50-74,,
4:55.0,,,50-74,,C. Wood enters the game for C. Zeller
4:44.0,,,50-74,,K. Walker misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by T. Ross,,50-74,,
4:37.0,,,50-74,,Personal block foul by K. Walker (drawn by E. Payton)
4:27.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,53-74,,
4:03.0,,,53-74,,Shooting foul by B. Biyombo (drawn by C. Wood)
4:03.0,,,53-75,1,C. Wood makes free throw 1 of 2
4:03.0,,,53-75,,C. Wood misses free throw 2 of 2
4:03.0,,,53-75,,B. Roberts enters the game for K. Walker
4:03.0,,,53-75,,M. Williams enters the game for M. Kidd-Gilchrist
4:01.0,Defensive rebound by A. Gordon,,53-75,,
3:48.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,55-75,,
3:30.0,,,55-77,2,N. Batum makes 2-pt shot from 2 ft (assist by M. Belinelli)
3:11.0,E. Fournier misses 2-pt shot from 6 ft (block by C. Wood),,55-77,,
3:09.0,,,55-77,,Defensive rebound by C. Wood
3:06.0,Personal block foul by T. Ross (drawn by M. Belinelli),,55-77,,
3:06.0,,,55-78,1,M. Belinelli makes free throw 1 of 2
3:06.0,,,55-79,1,M. Belinelli makes free throw 2 of 2
2:58.0,Offensive foul by T. Ross,,55-79,,
2:58.0,Turnover by T. Ross (offensive foul),,55-79,,
2:58.0,,,55-79,,Charlotte full timeout
2:58.0,M. Hezonja enters the game for T. Ross,,55-79,,
2:58.0,C. Watson enters the game for E. Fournier,,55-79,,
2:43.0,,,55-79,,N. Batum misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by B. Biyombo,,55-79,,
2:25.0,E. Payton makes 2-pt shot from 16 ft,2,57-79,,
2:11.0,,,57-81,2,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum)
2:11.0,,,57-81,,Shooting foul by M. Hezonja (drawn by M. Williams)
2:11.0,,,57-82,1,M. Williams makes free throw 1 of 1
2:11.0,,,57-81,,J. Lamb enters the game for N. Batum
2:11.0,,,57-81,,C. Zeller enters the game for C. Wood
1:55.0,M. Hezonja misses 3-pt shot from 24 ft,,57-82,,
1:53.0,,,57-82,,Defensive rebound by M. Williams
1:39.0,,,57-84,2,M. Belinelli makes 2-pt shot at rim (assist by M. Williams)
1:28.0,C. Watson makes 3-pt shot from 25 ft (assist by E. Payton),3,60-84,,
1:13.0,,,60-86,2,M. Belinelli makes 2-pt shot from 19 ft (assist by B. Roberts)
0:55.0,E. Payton misses 2-pt shot from 19 ft,,60-86,,
0:54.0,,,60-86,,Defensive rebound by C. Zeller
0:46.0,,,60-86,,B. Roberts misses 2-pt shot from 2 ft (block by E. Payton)
0:46.0,Defensive rebound by Team,,60-86,,
0:39.0,Shooting foul by M. Williams (drawn by A. Gordon),,60-86,,
0:39.0,A. Gordon makes free throw 1 of 2,1,61-86,,
0:39.0,A. Gordon makes free throw 2 of 2,1,62-86,,
0:39.0,S. Zimmerman enters the game for B. Biyombo,,61-86,,
0:39.0,D. Augustin enters the game for E. Payton,,61-86,,
0:27.0,Personal foul by C. Watson (drawn by M. Belinelli),,62-86,,
0:27.0,,,62-87,1,M. Belinelli makes free throw 1 of 2
0:27.0,,,62-88,1,M. Belinelli makes free throw 2 of 2
0:05.0,C. Watson misses 3-pt shot from 28 ft,,62-88,,
0:02.0,,,62-88,,Defensive rebound by M. Williams
0:00.0,,,62-88,,B. Roberts misses 2-pt shot from 9 ft
0:00.0,,,62-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Watson misses 3-pt shot from 25 ft,,62-88,,
11:46.0,,,62-88,,Defensive rebound by M. Williams
11:36.0,,,62-90,2,J. Lamb makes 2-pt shot at rim
11:08.0,M. Hezonja misses 3-pt shot from 24 ft,,62-90,,
11:07.0,Offensive rebound by C. Watson,,62-90,,
11:03.0,D. Rudez misses 3-pt shot from 25 ft,,62-90,,
11:02.0,,,62-90,,Defensive rebound by M. Williams
10:47.0,,,62-93,3,J. Lamb makes 3-pt shot from 26 ft (assist by M. Williams)
10:20.0,Turnover by Team (shot clock),,62-93,,
10:09.0,Personal foul by M. Hezonja (drawn by M. Belinelli),,62-93,,
10:04.0,,,62-93,,Turnover by M. Belinelli (traveling)
9:42.0,S. Zimmerman makes 2-pt shot at rim (assist by C. Watson),2,64-93,,
9:27.0,,,64-93,,J. Lamb misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by S. Zimmerman,,64-93,,
9:09.0,D. Rudez misses 2-pt shot from 22 ft,,64-93,,
9:08.0,,,64-93,,Defensive rebound by C. Zeller
9:00.0,,,64-93,,Shooting foul by S. Zimmerman (drawn by B. Roberts)
9:00.0,,,64-94,1,B. Roberts makes free throw 1 of 2
9:00.0,,,64-95,1,B. Roberts makes free throw 2 of 2
8:40.0,D. Rudez misses 3-pt shot from 23 ft,,64-95,,
8:39.0,,,64-95,,Defensive rebound by M. Williams
8:32.0,Personal block foul by S. Zimmerman (drawn by C. Zeller),,64-95,,
8:32.0,Official timeout,,64-95,,
8:32.0,C. Wilcox enters the game for D. Augustin,,64-95,,
8:21.0,,,64-95,,C. Zeller misses 2-pt shot from 19 ft
8:18.0,,,64-95,,Offensive rebound by M. Williams
8:11.0,,,64-97,2,M. Belinelli makes 2-pt shot from 1 ft (assist by M. Williams)
7:51.0,S. Zimmerman misses 2-pt shot from 13 ft,,64-97,,
7:50.0,Offensive rebound by M. Hezonja,,64-97,,
7:50.0,Shooting foul by M. Belinelli (drawn by M. Hezonja),,64-97,,
7:50.0,M. Hezonja makes free throw 1 of 2,1,65-97,,
7:50.0,M. Hezonja makes free throw 2 of 2,1,66-97,,
7:35.0,,,66-99,2,C. Zeller makes 2-pt shot at rim (assist by M. Belinelli)
7:21.0,,,66-99,,C. Wood enters the game for C. Zeller
7:21.0,,,66-99,,T. Graham enters the game for M. Williams
7:17.0,M. Hezonja misses 3-pt shot from 25 ft,,66-99,,
7:16.0,,,66-99,,Defensive rebound by J. Lamb
7:05.0,,,66-101,2,C. Wood makes 2-pt shot from 1 ft (assist by J. Lamb)
6:49.0,Turnover by M. Hezonja (lost ball; steal by C. Wood),,66-101,,
6:43.0,,,66-103,2,C. Wood makes 2-pt shot from 1 ft
6:43.0,Orlando full timeout,,66-103,,
6:43.0,,,66-103,,B. Weber enters the game for M. Belinelli
6:23.0,D. Rudez makes 2-pt shot from 17 ft,2,68-103,,
6:11.0,,,68-103,,Offensive foul by C. Wood
6:11.0,,,68-103,,Turnover by C. Wood (offensive foul)
6:03.0,M. Hezonja makes 3-pt shot from 25 ft (assist by C. Watson),3,71-103,,
5:46.0,Personal foul by M. Hezonja (drawn by J. Lamb),,71-103,,
5:31.0,,,71-105,2,B. Weber makes 2-pt shot from 2 ft (assist by B. Roberts)
5:28.0,,,71-105,,Personal foul by T. Graham
5:11.0,C. Watson misses 3-pt shot from 25 ft,,71-105,,
5:09.0,Offensive rebound by M. Hezonja,,71-105,,
5:06.0,M. Hezonja makes 2-pt shot from 5 ft,2,73-105,,
4:46.0,,,73-105,,J. Lamb misses 2-pt shot from 8 ft
4:46.0,,,73-105,,Offensive rebound by C. Wood
4:46.0,,,73-105,,Shooting foul by S. Zimmerman (drawn by C. Wood)
4:46.0,,,73-106,1,C. Wood makes free throw 1 of 2
4:46.0,,,73-107,1,C. Wood makes free throw 2 of 2
4:21.0,D. Rudez misses 3-pt shot from 27 ft,,73-107,,
4:20.0,,,73-107,,Defensive rebound by J. Lamb
4:13.0,,,73-110,3,B. Roberts makes 3-pt shot from 26 ft (assist by J. Lamb)
4:01.0,S. Zimmerman misses 2-pt shot from 16 ft,,73-110,,
3:59.0,Offensive rebound by M. Hezonja,,73-110,,
3:59.0,M. Hezonja misses 2-pt shot from 1 ft (block by J. Lamb),,73-110,,
3:59.0,,,73-110,,Defensive rebound by Team
3:47.0,,,73-112,2,C. Wood makes 2-pt shot from 1 ft (assist by B. Weber)
3:47.0,,,73-112,,Shooting foul by S. Zimmerman (drawn by C. Wood)
3:47.0,,,73-113,1,C. Wood makes free throw 1 of 1
3:34.0,Shooting foul by C. Wood (drawn by S. Zimmerman),,73-113,,
3:34.0,S. Zimmerman makes free throw 1 of 2,1,74-113,,
3:34.0,S. Zimmerman makes free throw 2 of 2,1,75-113,,
3:21.0,,,75-113,,B. Weber misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by S. Zimmerman,,75-113,,
3:09.0,C. Watson misses 2-pt shot from 17 ft,,75-113,,
3:08.0,Offensive rebound by C. Wilcox,,75-113,,
3:01.0,C. Watson makes 2-pt shot from 22 ft (assist by C. Wilcox),2,77-113,,
2:46.0,,,77-115,2,J. Lamb makes 2-pt shot from 18 ft
2:29.0,D. Rudez misses 3-pt shot from 25 ft,,77-115,,
2:27.0,Offensive rebound by S. Zimmerman,,77-115,,
2:27.0,S. Zimmerman makes 2-pt shot from 1 ft,2,79-115,,
2:13.0,,,79-115,,Charlotte full timeout
1:58.0,,,79-117,2,T. Graham makes 2-pt shot from 2 ft (assist by B. Weber)
1:46.0,C. Wilcox misses 2-pt shot from 20 ft,,79-117,,
1:45.0,,,79-117,,Defensive rebound by J. Lamb
1:38.0,,,79-117,,B. Weber misses 2-pt shot from 16 ft
1:38.0,,,79-117,,Offensive rebound by C. Wood
1:38.0,,,79-119,2,C. Wood makes 2-pt shot at rim
1:18.0,D. Rudez misses 3-pt shot from 22 ft,,79-119,,
1:17.0,,,79-119,,Defensive rebound by J. Lamb
1:12.0,,,79-119,,B. Weber misses 2-pt shot at rim
1:11.0,Defensive rebound by C. Watson,,79-119,,
1:05.0,M. Hezonja misses 3-pt shot from 28 ft,,79-119,,
1:04.0,,,79-119,,Defensive rebound by B. Roberts
0:52.0,,,79-121,2,C. Wood makes 2-pt shot from 1 ft (assist by B. Roberts)
0:37.0,Shooting foul by J. Lamb (drawn by M. Hezonja),,79-121,,
0:37.0,M. Hezonja makes free throw 1 of 2,1,80-121,,
0:37.0,M. Hezonja makes free throw 2 of 2,1,81-121,,
0:22.0,,,81-121,,T. Graham misses 2-pt shot from 19 ft
