time,Washington,pts.away,score,pts.home,Memphis
4:38.0,,,67-69,,Personal foul by J. Ennis (drawn by B. Beal)
4:38.0,,,67-69,,A. Harrison enters the game for J. Ennis
4:38.0,T. Burke enters the game for J. Wall,,67-69,,
4:25.0,Turnover by M. Morris (bad pass; steal by V. Carter),,67-69,,
4:16.0,,,67-72,3,V. Carter makes 3-pt shot from 25 ft (assist by A. Harrison)
3:53.0,B. Beal misses 3-pt shot from 24 ft,,67-72,,
3:50.0,,,67-72,,Defensive rebound by Z. Randolph
3:44.0,,,67-72,,V. Carter misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by Team,,67-72,,
3:25.0,A. Nicholson misses 3-pt shot from 23 ft,,67-72,,
3:24.0,,,67-72,,Defensive rebound by Z. Randolph
3:19.0,,,67-72,,Turnover by M. Conley (bad pass)
3:00.0,Turnover by M. Morris (traveling),,67-72,,
3:00.0,,,67-72,,W. Baldwin enters the game for M. Conley
3:00.0,Violation by Team (jump ball),,67-72,,
2:44.0,,,67-72,,Turnover by Z. Randolph (lost ball; steal by A. Nicholson)
2:41.0,O. Porter makes 2-pt shot from 2 ft,2,69-72,,
2:41.0,Shooting foul by J. Green (drawn by O. Porter),,69-72,,
2:41.0,,,69-72,,Memphis full timeout
2:41.0,O. Porter makes free throw 1 of 1,1,70-72,,
2:41.0,,,69-72,,J. Martin enters the game for J. Green
2:19.0,,,70-74,2,Z. Randolph makes 2-pt shot from 6 ft
2:05.0,Shooting foul by A. Harrison (drawn by B. Beal),,70-74,,
2:05.0,B. Beal makes free throw 1 of 2,1,71-74,,
2:05.0,B. Beal makes free throw 2 of 2,1,72-74,,
2:05.0,K. Oubre enters the game for O. Porter,,71-74,,
1:45.0,,,72-76,2,Z. Randolph makes 2-pt shot from 12 ft (assist by W. Baldwin)
1:20.0,A. Nicholson makes 2-pt shot from 6 ft,2,74-76,,
1:01.0,,,74-76,,W. Baldwin misses 2-pt shot from 4 ft
1:00.0,,,74-76,,Offensive rebound by Z. Randolph
1:00.0,,,74-78,2,Z. Randolph makes 2-pt shot from 3 ft
0:52.0,,,74-78,,Personal foul by Z. Randolph (drawn by T. Burke)
0:52.0,T. Burke misses free throw 1 of 2,,74-78,,
0:52.0,Offensive rebound by Team,,74-78,,
0:52.0,T. Burke makes free throw 2 of 2,1,75-78,,
0:32.0,,,75-78,,A. Harrison misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by M. Morris,,75-78,,
0:25.0,T. Burke misses 2-pt shot from 3 ft,,75-78,,
0:24.0,Offensive rebound by A. Nicholson,,75-78,,
0:24.0,A. Nicholson makes 2-pt shot from 3 ft,2,77-78,,
0:01.0,,,77-78,,Z. Randolph misses 2-pt shot from 17 ft
0:00.0,,,77-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,M. Thornton makes 2-pt shot from 2 ft (assist by M. Morris),2,79-78,,
11:34.0,,,79-80,2,A. Harrison makes 2-pt shot from 3 ft (assist by W. Baldwin)
11:34.0,,,79-80,,Shooting foul by A. Nicholson (drawn by A. Harrison)
11:34.0,,,79-81,1,A. Harrison makes free throw 1 of 1
11:30.0,Offensive foul by M. Morris,,79-81,,
11:30.0,Turnover by M. Morris (offensive foul),,79-81,,
11:20.0,,,79-81,,W. Baldwin misses 2-pt shot from 1 ft (block by T. Burke)
11:19.0,Defensive rebound by T. Burke,,79-81,,
11:19.0,K. Oubre makes 2-pt shot from 3 ft (assist by T. Burke),2,81-81,,
11:19.0,Shooting foul by J. Martin (drawn by K. Oubre),,81-81,,
11:19.0,K. Oubre makes free throw 1 of 1,1,82-81,,
10:59.0,,,82-81,,Z. Randolph misses 2-pt shot from 6 ft
10:57.0,,,82-81,,Offensive rebound by J. Martin
10:57.0,,,82-81,,J. Martin misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by M. Thornton,,82-81,,
10:52.0,,,82-81,,Personal block foul by Z. Randolph (drawn by K. Oubre)
10:39.0,Turnover by A. Nicholson (lost ball; steal by W. Baldwin),,82-81,,
10:32.0,,,82-83,2,J. Martin makes 2-pt shot from 2 ft (assist by A. Harrison)
10:22.0,,,82-83,,Personal foul by A. Harrison (drawn by M. Thornton)
10:08.0,M. Thornton misses 2-pt shot from 5 ft,,82-83,,
10:08.0,Offensive rebound by M. Thornton,,82-83,,
10:08.0,,,82-83,,Personal foul by V. Carter (drawn by M. Thornton)
10:00.0,Shooting foul by A. Harrison (drawn by M. Thornton),,82-83,,
10:00.0,M. Thornton misses free throw 1 of 2,,82-83,,
10:00.0,Offensive rebound by Team,,82-83,,
10:00.0,M. Thornton makes free throw 2 of 2,1,83-83,,
9:42.0,,,83-83,,A. Harrison misses 2-pt shot from 3 ft
9:42.0,,,83-83,,Offensive rebound by Team
9:37.0,Personal foul by A. Nicholson (drawn by J. Martin),,83-83,,
9:31.0,,,83-83,,W. Baldwin misses 2-pt shot from 13 ft
9:28.0,Defensive rebound by K. Oubre,,83-83,,
9:23.0,Turnover by K. Oubre (lost ball),,83-83,,
9:04.0,,,83-83,,Shooting foul by M. Morris (drawn by Z. Randolph)
9:04.0,,,83-83,,Z. Randolph misses free throw 1 of 2
9:04.0,,,83-83,,Offensive rebound by Team
9:04.0,,,83-84,1,Z. Randolph makes free throw 2 of 2
9:04.0,,,83-83,,J. Green enters the game for J. Martin
9:04.0,M. Gortat enters the game for M. Morris,,83-83,,
9:04.0,J. Wall enters the game for T. Burke,,83-83,,
8:46.0,Turnover by J. Wall (bad pass; steal by Z. Randolph),,83-84,,
8:30.0,,,83-84,,Turnover by Z. Randolph (traveling)
8:30.0,Washington full timeout,,83-84,,
8:18.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,85-84,,
8:03.0,,,85-86,2,A. Harrison makes 2-pt shot from 2 ft
7:52.0,Washington full timeout,,85-86,,
7:42.0,J. Wall makes 2-pt shot from 16 ft,2,87-86,,
7:20.0,,,87-86,,A. Harrison misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by M. Gortat,,87-86,,
7:00.0,A. Nicholson misses 2-pt shot from 23 ft,,87-86,,
6:59.0,Offensive rebound by M. Gortat,,87-86,,
6:50.0,Turnover by J. Wall (lost ball; steal by W. Baldwin),,87-86,,
6:46.0,,,87-86,,W. Baldwin misses 2-pt shot from 2 ft (block by J. Wall)
6:42.0,,,87-86,,Offensive rebound by J. Green
6:42.0,,,87-88,2,J. Green makes 2-pt shot at rim
6:23.0,J. Wall misses 3-pt shot from 25 ft,,87-88,,
6:23.0,Offensive rebound by K. Oubre,,87-88,,
6:19.0,K. Oubre makes 2-pt shot from 2 ft,2,89-88,,
5:56.0,,,89-88,,Z. Randolph misses 2-pt shot from 16 ft
5:56.0,Defensive rebound by M. Thornton,,89-88,,
5:44.0,A. Nicholson makes 2-pt shot from 4 ft (assist by J. Wall),2,91-88,,
5:44.0,Shooting foul by J. Green (drawn by A. Nicholson),,91-88,,
5:44.0,,,91-88,,Memphis full timeout
5:44.0,A. Nicholson misses free throw 1 of 1,,91-88,,
5:44.0,O. Porter enters the game for M. Thornton,,91-88,,
5:44.0,B. Beal enters the game for K. Oubre,,91-88,,
5:44.0,,,91-88,,J. Ennis enters the game for J. Green
5:44.0,,,91-88,,M. Gasol enters the game for Z. Randolph
5:44.0,,,91-88,,M. Conley enters the game for W. Baldwin
5:42.0,,,91-88,,Defensive rebound by J. Ennis
5:17.0,,,91-88,,M. Gasol misses 2-pt shot from 21 ft
5:15.0,Defensive rebound by M. Gortat,,91-88,,
5:01.0,J. Wall makes 2-pt shot from 16 ft,2,93-88,,
5:01.0,Shooting foul by A. Harrison (drawn by J. Wall),,93-88,,
5:01.0,J. Wall makes free throw 1 of 1,1,94-88,,
5:01.0,M. Morris enters the game for A. Nicholson,,93-88,,
4:46.0,,,94-88,,Shooting foul by J. Wall (drawn by M. Gasol)
4:46.0,,,94-88,,M. Gasol misses free throw 1 of 2
4:46.0,,,94-88,,Offensive rebound by Team
4:46.0,,,94-88,,M. Gasol misses free throw 2 of 2
4:45.0,Defensive rebound by M. Gortat,,94-88,,
4:27.0,Turnover by J. Wall (step out of bounds),,94-88,,
4:08.0,,,94-88,,M. Conley misses 2-pt shot from 19 ft
4:05.0,Defensive rebound by B. Beal,,94-88,,
3:56.0,,,94-88,,Shooting block foul by V. Carter (drawn by M. Gortat)
3:56.0,M. Gortat makes free throw 1 of 2,1,95-88,,
3:56.0,M. Gortat makes free throw 2 of 2,1,96-88,,
3:38.0,,,96-88,,J. Ennis misses 2-pt shot from 3 ft (block by M. Morris)
3:33.0,Defensive rebound by M. Gortat,,96-88,,
3:22.0,J. Wall misses 2-pt shot from 14 ft,,96-88,,
3:19.0,,,96-88,,Defensive rebound by M. Conley
3:17.0,Flagrant foul type 1 by J. Wall (drawn by V. Carter),,96-88,,
