time,Dallas,pts.away,score,pts.home,Miami
3:41.0,,,15-20,,Miami full timeout
3:41.0,S. Mejri enters the game for H. Barnes,,15-20,,
3:41.0,D. Harris enters the game for S. Curry,,15-20,,
3:41.0,D. Nowitzki enters the game for D. Williams,,15-20,,
3:41.0,J. Barea enters the game for D. Powell,,15-20,,
3:41.0,,,15-20,,H. Whiteside enters the game for R. McGruder
3:41.0,,,15-20,,T. Johnson enters the game for L. Babbitt
3:41.0,,,15-20,,W. Ellington enters the game for G. Dragic
3:26.0,,,15-20,,J. Johnson misses 3-pt shot from 24 ft
3:25.0,Defensive rebound by S. Mejri,,15-20,,
3:07.0,D. Nowitzki makes 2-pt shot from 10 ft,2,17-20,,
2:51.0,,,17-22,2,T. Johnson makes 2-pt shot from 19 ft (assist by J. Johnson)
2:33.0,D. Nowitzki misses 2-pt shot from 15 ft,,17-22,,
2:32.0,,,17-22,,Defensive rebound by Team
2:14.0,,,17-24,2,H. Whiteside makes 2-pt shot from 2 ft (assist by T. Johnson)
1:50.0,S. Mejri makes 2-pt shot at rim,2,19-24,,
1:40.0,,,19-24,,Offensive foul by H. Whiteside
1:40.0,,,19-24,,Turnover by H. Whiteside (offensive foul)
1:40.0,,,19-24,,W. Reed enters the game for H. Whiteside
1:30.0,D. Harris misses 2-pt shot from 2 ft,,19-24,,
1:29.0,,,19-24,,Defensive rebound by T. Johnson
1:24.0,,,19-26,2,T. Johnson makes 2-pt shot from 1 ft
1:04.0,J. Barea misses 3-pt shot from 25 ft,,19-26,,
1:03.0,,,19-26,,Defensive rebound by W. Reed
0:52.0,,,19-28,2,W. Reed makes 2-pt shot from 1 ft (assist by J. Johnson)
0:52.0,Dallas full timeout,,19-28,,
0:52.0,,,19-28,,G. Dragic enters the game for D. Waiters
0:52.0,D. Powell enters the game for W. Matthews,,19-28,,
0:52.0,D. Finney-Smith enters the game for S. Mejri,,19-28,,
0:34.0,,,19-28,,Inbound foul by G. Dragic
0:34.0,D. Nowitzki makes free throw 1 of 1,1,20-28,,
0:34.0,,,19-28,,O. White enters the game for G. Dragic
0:23.0,D. Nowitzki makes 2-pt shot from 18 ft,2,22-28,,
0:23.0,Shooting foul by W. Ellington (drawn by D. Nowitzki),,22-28,,
0:23.0,D. Nowitzki misses free throw 1 of 1,,22-28,,
0:22.0,,,22-28,,Defensive rebound by J. Johnson
0:06.0,,,22-28,,Shooting foul by D. Nowitzki (drawn by W. Reed)
0:06.0,,,22-28,,W. Reed misses free throw 1 of 2
0:06.0,,,22-28,,Offensive rebound by Team
0:06.0,,,22-29,1,W. Reed makes free throw 2 of 2
0:06.0,H. Barnes enters the game for D. Nowitzki,,22-28,,
0:06.0,W. Matthews enters the game for D. Finney-Smith,,22-28,,
0:02.0,D. Harris misses 2-pt shot from 1 ft (block by W. Reed),,22-29,,
0:01.0,Offensive rebound by D. Powell,,22-29,,
0:01.0,D. Powell misses 2-pt shot from 2 ft,,22-29,,
0:00.0,,,22-29,,Defensive rebound by J. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Barea makes 3-pt shot from 24 ft,3,25-29,,
11:24.0,Personal foul by D. Finney-Smith (drawn by W. Reed),,25-29,,
11:14.0,,,25-29,,W. Ellington misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by D. Powell,,25-29,,
11:04.0,Turnover by J. Barea (bad pass; steal by W. Reed),,25-29,,
10:42.0,,,25-29,,W. Ellington misses 2-pt shot from 14 ft
10:41.0,,,25-29,,Offensive rebound by W. Ellington
10:37.0,,,25-29,,Turnover by T. Johnson (lost ball)
10:37.0,D. Nowitzki enters the game for D. Powell,,25-29,,
10:20.0,H. Barnes makes 2-pt shot from 1 ft,2,27-29,,
10:04.0,,,27-31,2,T. Johnson makes 2-pt shot from 3 ft
9:49.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Finney-Smith),2,29-31,,
9:38.0,,,29-31,,Turnover by J. Johnson (bad pass; steal by D. Nowitzki)
9:33.0,D. Harris misses 2-pt shot from 2 ft,,29-31,,
9:32.0,,,29-31,,Defensive rebound by W. Reed
9:24.0,,,29-31,,O. White misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by D. Finney-Smith,,29-31,,
9:07.0,H. Barnes makes 2-pt shot from 14 ft,2,31-31,,
9:05.0,,,31-31,,Miami full timeout
9:05.0,,,31-31,,G. Dragic enters the game for T. Johnson
8:45.0,,,31-31,,Turnover by J. Johnson (bad pass; steal by H. Barnes)
8:38.0,D. Nowitzki misses 2-pt shot from 19 ft,,31-31,,
8:37.0,Offensive rebound by Team,,31-31,,
8:37.0,,,31-31,,R. McGruder enters the game for J. Johnson
8:25.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris),3,34-31,,
8:05.0,,,34-34,3,G. Dragic makes 3-pt shot from 25 ft
7:50.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,36-34,,
7:34.0,,,36-34,,Offensive foul by O. White
7:34.0,,,36-34,,Turnover by O. White (offensive foul)
7:34.0,J. Anderson enters the game for H. Barnes,,36-34,,
7:34.0,,,36-34,,H. Whiteside enters the game for W. Reed
7:20.0,J. Barea misses 3-pt shot from 24 ft,,36-34,,
7:19.0,,,36-34,,Defensive rebound by H. Whiteside
7:07.0,,,36-34,,H. Whiteside misses 2-pt shot at rim
7:06.0,,,36-34,,Offensive rebound by Team
6:59.0,,,36-36,2,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder)
6:41.0,Turnover by D. Nowitzki (lost ball),,36-36,,
6:29.0,,,36-36,,W. Ellington misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by D. Nowitzki,,36-36,,
6:20.0,Dallas full timeout,,36-36,,
6:20.0,D. Williams enters the game for D. Nowitzki,,36-36,,
6:20.0,S. Curry enters the game for J. Barea,,36-36,,
6:20.0,S. Mejri enters the game for D. Harris,,36-36,,
6:20.0,W. Matthews enters the game for D. Finney-Smith,,36-36,,
6:20.0,,,36-36,,T. Johnson enters the game for W. Ellington
6:05.0,D. Williams misses 2-pt shot from 12 ft,,36-36,,
6:04.0,,,36-36,,Defensive rebound by O. White
5:45.0,,,36-36,,R. McGruder misses 2-pt shot from 5 ft
5:42.0,,,36-36,,Offensive rebound by H. Whiteside
5:39.0,,,36-36,,H. Whiteside misses 2-pt shot from 1 ft (block by W. Matthews)
5:38.0,Defensive rebound by D. Williams,,36-36,,
5:32.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,39-36,,
5:17.0,,,39-36,,T. Johnson misses 2-pt shot from 16 ft
5:16.0,Defensive rebound by W. Matthews,,39-36,,
5:01.0,Turnover by D. Williams (bad pass; steal by H. Whiteside),,39-36,,
4:45.0,,,39-38,2,G. Dragic makes 2-pt shot from 16 ft
4:22.0,S. Mejri makes 2-pt shot from 2 ft (assist by D. Williams),2,41-38,,
4:02.0,Personal foul by S. Curry (drawn by T. Johnson),,41-38,,
4:02.0,,,41-38,,D. Waiters enters the game for R. McGruder
4:02.0,,,41-38,,J. Johnson enters the game for O. White
3:54.0,,,41-38,,T. Johnson misses 2-pt shot from 1 ft
3:53.0,,,41-38,,Offensive rebound by Team
3:53.0,H. Barnes enters the game for J. Anderson,,41-38,,
3:40.0,,,41-38,,G. Dragic misses 2-pt shot from 20 ft
3:38.0,,,41-38,,Offensive rebound by G. Dragic
3:30.0,,,41-41,3,T. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic)
3:14.0,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes),3,44-41,,
2:50.0,,,44-41,,D. Waiters misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by W. Matthews,,44-41,,
2:43.0,Turnover by S. Mejri (lost ball; steal by T. Johnson),,44-41,,
2:39.0,,,44-41,,Shooting foul by D. Williams (drawn by D. Waiters)
2:39.0,Official timeout,,44-41,,
2:39.0,,,44-41,,D. Waiters misses free throw 1 of 2
2:39.0,,,44-41,,Offensive rebound by Team
2:39.0,,,44-42,1,D. Waiters makes free throw 2 of 2
2:39.0,D. Nowitzki enters the game for S. Mejri,,44-41,,
2:14.0,D. Williams misses 3-pt shot from 24 ft,,44-42,,
2:13.0,Offensive rebound by H. Barnes,,44-42,,
1:54.0,D. Nowitzki misses 3-pt shot from 25 ft,,44-42,,
1:53.0,,,44-42,,Defensive rebound by J. Johnson
1:41.0,,,44-42,,D. Waiters misses 2-pt shot from 14 ft
1:40.0,Defensive rebound by W. Matthews,,44-42,,
1:29.0,Shooting foul by D. Waiters (drawn by H. Barnes),,44-42,,
1:29.0,H. Barnes makes 2-pt shot from 4 ft,2,46-42,,
1:29.0,H. Barnes makes free throw 1 of 1,1,47-42,,
1:12.0,,,47-42,,T. Johnson misses 2-pt shot from 6 ft
1:11.0,Defensive rebound by Team,,47-42,,
0:55.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,50-42,,
0:49.0,,,50-42,,Miami full timeout
0:49.0,S. Mejri enters the game for D. Nowitzki,,50-42,,
0:49.0,,,50-42,,L. Babbitt enters the game for H. Whiteside
0:39.0,,,50-44,2,T. Johnson makes 2-pt shot from 9 ft
0:26.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,53-44,,
0:02.0,,,53-44,,D. Waiters misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by D. Williams,,53-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,S. Curry misses 3-pt shot from 26 ft,,53-44,,
11:37.0,,,53-44,,Defensive rebound by D. Waiters
11:16.0,,,53-47,3,R. McGruder makes 3-pt shot from 25 ft (assist by H. Whiteside)
10:55.0,W. Matthews makes 2-pt shot from 12 ft,2,55-47,,
10:38.0,,,55-49,2,G. Dragic makes 2-pt shot from 14 ft
10:27.0,D. Williams makes 2-pt shot from 1 ft,2,57-49,,
10:11.0,,,57-49,,H. Whiteside misses 2-pt shot from 4 ft
10:10.0,Defensive rebound by H. Barnes,,57-49,,
9:54.0,S. Curry misses 2-pt shot from 1 ft,,57-49,,
9:53.0,,,57-49,,Defensive rebound by D. Waiters
9:46.0,,,57-49,,L. Babbitt misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by Team,,57-49,,
9:31.0,D. Nowitzki makes 2-pt shot from 22 ft (assist by D. Williams),2,59-49,,
9:17.0,,,59-52,3,G. Dragic makes 3-pt shot from 25 ft
9:09.0,Turnover by D. Williams (bad pass),,59-52,,
8:57.0,,,59-52,,G. Dragic misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by D. Nowitzki,,59-52,,
8:42.0,W. Matthews makes 2-pt shot from 2 ft (assist by D. Williams),2,61-52,,
8:24.0,,,61-52,,Turnover by D. Waiters (bad pass)
8:13.0,S. Curry misses 2-pt shot from 5 ft,,61-52,,
8:12.0,Offensive rebound by S. Curry,,61-52,,
8:11.0,Turnover by S. Curry (traveling),,61-52,,
8:00.0,,,61-52,,Turnover by G. Dragic (bad pass)
8:00.0,S. Mejri enters the game for D. Nowitzki,,61-52,,
7:47.0,W. Matthews misses 3-pt shot from 24 ft,,61-52,,
7:46.0,,,61-52,,Defensive rebound by R. McGruder
7:41.0,,,61-54,2,G. Dragic makes 2-pt shot from 1 ft (assist by R. McGruder)
7:22.0,H. Barnes misses 2-pt shot from 12 ft,,61-54,,
7:21.0,,,61-54,,Defensive rebound by Team
7:02.0,,,61-54,,R. McGruder misses 3-pt shot from 25 ft
7:01.0,,,61-54,,Offensive rebound by Team
6:49.0,,,61-56,2,D. Waiters makes 2-pt shot from 3 ft
6:37.0,,,61-56,,Personal foul by L. Babbitt (drawn by S. Mejri)
6:24.0,W. Matthews misses 3-pt shot from 26 ft,,61-56,,
6:23.0,Offensive rebound by Team,,61-56,,
6:23.0,Turnover by Team (shot clock),,61-56,,
6:16.0,,,61-56,,Shooting foul by S. Curry (drawn by G. Dragic)
6:16.0,,,61-57,1,G. Dragic makes free throw 1 of 2
6:16.0,,,61-58,1,G. Dragic makes free throw 2 of 2
6:08.0,,,61-58,,Personal foul by D. Waiters (drawn by D. Williams)
6:01.0,Turnover by H. Barnes (lost ball),,61-58,,
5:48.0,,,61-60,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
5:28.0,S. Curry misses 3-pt shot from 25 ft,,61-60,,
5:27.0,,,61-60,,Defensive rebound by H. Whiteside
5:13.0,,,61-63,3,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Waiters)
5:12.0,Dallas full timeout,,61-63,,
5:12.0,,,61-63,,T. Johnson enters the game for G. Dragic
4:57.0,D. Williams misses 3-pt shot from 24 ft,,61-63,,
4:56.0,,,61-63,,Defensive rebound by R. McGruder
4:47.0,,,61-63,,D. Waiters misses 2-pt shot from 2 ft
4:46.0,,,61-63,,Offensive rebound by Team
4:42.0,,,61-63,,Turnover by H. Whiteside (traveling)
4:23.0,Shooting foul by L. Babbitt (drawn by S. Curry),,61-63,,
4:23.0,S. Curry makes 2-pt shot from 17 ft,2,63-63,,
4:23.0,S. Curry misses free throw 1 of 1,,63-63,,
4:22.0,,,63-63,,Defensive rebound by D. Waiters
4:14.0,,,63-63,,Miami full timeout
4:14.0,,,63-63,,J. Johnson enters the game for L. Babbitt
4:06.0,Personal foul by S. Curry (drawn by H. Whiteside),,63-63,,
4:06.0,D. Harris enters the game for S. Curry,,63-63,,
4:06.0,J. Barea enters the game for D. Williams,,63-63,,
3:51.0,,,63-66,3,D. Waiters makes 3-pt shot from 24 ft (assist by H. Whiteside)
3:34.0,Offensive foul by S. Mejri,,63-66,,
3:34.0,Turnover by S. Mejri (offensive foul),,63-66,,
3:34.0,D. Nowitzki enters the game for H. Barnes,,63-66,,
3:34.0,,,63-66,,W. Ellington enters the game for R. McGruder
3:19.0,,,63-66,,Turnover by J. Johnson (traveling)
3:05.0,W. Matthews misses 2-pt shot from 18 ft,,63-66,,
3:04.0,,,63-66,,Defensive rebound by J. Johnson
2:51.0,,,63-66,,Turnover by D. Waiters (bad pass; steal by S. Mejri)
2:40.0,,,63-66,,G. Dragic enters the game for D. Waiters
2:30.0,J. Barea misses 2-pt shot from 7 ft,,63-66,,
2:29.0,,,63-66,,Defensive rebound by G. Dragic
2:16.0,,,63-66,,J. Johnson misses 2-pt shot from 4 ft
2:15.0,Defensive rebound by S. Mejri,,63-66,,
2:06.0,W. Matthews misses 3-pt shot from 24 ft,,63-66,,
2:05.0,,,63-66,,Defensive rebound by G. Dragic
2:02.0,,,63-66,,W. Reed enters the game for H. Whiteside
2:02.0,D. Finney-Smith enters the game for W. Matthews,,63-66,,
1:53.0,,,63-66,,T. Johnson misses 2-pt shot from 6 ft (block by S. Mejri)
1:52.0,Defensive rebound by S. Mejri,,63-66,,
1:41.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by D. Harris),3,66-66,,
1:17.0,,,66-66,,J. Johnson misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by J. Barea,,66-66,,
1:02.0,J. Barea makes 3-pt shot from 25 ft,3,69-66,,
0:44.0,,,69-68,2,T. Johnson makes 2-pt shot from 20 ft (assist by J. Johnson)
0:35.0,J. Barea makes 2-pt shot from 17 ft,2,71-68,,
0:21.0,,,71-70,2,G. Dragic makes 2-pt shot from 1 ft
0:21.0,,,71-70,,Shooting foul by D. Finney-Smith (drawn by G. Dragic)
0:21.0,,,71-70,,G. Dragic misses free throw 1 of 1
0:21.0,D. Powell enters the game for S. Mejri,,71-70,,
0:20.0,Defensive rebound by D. Powell,,71-70,,
0:02.0,J. Barea makes 2-pt shot from 15 ft,2,73-70,,
0:01.0,,,73-70,,J. Johnson misses 3-pt shot from 29 ft
0:00.0,,,73-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-70,,Shooting foul by D. Powell (drawn by J. Johnson)
11:44.0,,,73-71,1,J. Johnson makes free throw 1 of 2
11:44.0,,,73-72,1,J. Johnson makes free throw 2 of 2
11:26.0,D. Powell misses 3-pt shot from 23 ft,,73-72,,
11:25.0,,,73-72,,Defensive rebound by J. Johnson
11:05.0,,,73-72,,Shooting foul by D. Finney-Smith (drawn by G. Dragic)
11:05.0,,,73-72,,G. Dragic misses free throw 1 of 2
11:05.0,,,73-72,,Offensive rebound by Team
11:05.0,,,73-73,1,G. Dragic makes free throw 2 of 2
10:47.0,J. Barea misses 3-pt shot from 25 ft,,73-73,,
10:46.0,,,73-73,,Defensive rebound by J. Johnson
10:37.0,,,73-73,,J. Johnson misses 2-pt shot from 15 ft
10:36.0,,,73-73,,Offensive rebound by W. Reed
10:36.0,,,73-73,,Turnover by W. Reed (step out of bounds)
10:23.0,Shooting foul by J. Johnson (drawn by D. Powell),,73-73,,
10:23.0,D. Powell makes free throw 1 of 2,1,74-73,,
10:23.0,D. Powell makes free throw 2 of 2,1,75-73,,
10:14.0,,,75-76,3,G. Dragic makes 3-pt shot from 24 ft
10:00.0,Turnover by J. Barea (bad pass; steal by W. Ellington),,75-76,,
9:57.0,,,75-76,,Shooting foul by D. Harris (drawn by J. Johnson)
9:57.0,,,75-77,1,J. Johnson makes free throw 1 of 2
9:57.0,,,75-77,,J. Johnson misses free throw 2 of 2
9:56.0,Defensive rebound by D. Finney-Smith,,75-77,,
9:43.0,,,75-77,,Personal foul by T. Johnson (drawn by D. Nowitzki)
9:35.0,D. Powell misses 2-pt shot from 3 ft,,75-77,,
9:34.0,,,75-77,,Defensive rebound by W. Ellington
9:26.0,,,75-79,2,W. Reed makes 2-pt shot from 2 ft
9:26.0,,,75-79,,Shooting foul by D. Harris (drawn by W. Reed)
9:26.0,,,75-80,1,W. Reed makes free throw 1 of 1
9:09.0,J. Barea misses 2-pt shot from 13 ft,,75-80,,
9:04.0,,,75-80,,Defensive rebound by J. Johnson
9:02.0,,,75-82,2,W. Reed makes 2-pt shot at rim (assist by T. Johnson)
9:02.0,Dallas full timeout,,75-82,,
9:02.0,S. Mejri enters the game for D. Nowitzki,,75-82,,
9:02.0,H. Barnes enters the game for D. Powell,,75-82,,
9:02.0,S. Curry enters the game for J. Barea,,75-82,,
9:02.0,W. Matthews enters the game for D. Harris,,75-82,,
9:02.0,D. Williams enters the game for D. Finney-Smith,,75-82,,
8:37.0,S. Curry makes 2-pt shot from 8 ft,2,77-82,,
8:14.0,,,77-82,,W. Ellington misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by S. Curry,,77-82,,
7:51.0,W. Matthews misses 3-pt shot from 25 ft,,77-82,,
7:50.0,,,77-82,,Defensive rebound by Team
7:30.0,,,77-82,,G. Dragic misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by H. Barnes,,77-82,,
7:13.0,H. Barnes makes 2-pt shot from 15 ft,2,79-82,,
7:13.0,,,79-82,,Miami full timeout
7:13.0,,,79-82,,H. Whiteside enters the game for G. Dragic
7:13.0,,,79-82,,D. Waiters enters the game for W. Reed
6:54.0,,,79-82,,T. Johnson misses 2-pt shot from 16 ft
6:53.0,Defensive rebound by H. Barnes,,79-82,,
6:34.0,W. Matthews makes 3-pt shot from 25 ft (assist by H. Barnes),3,82-82,,
6:14.0,Personal foul by S. Curry (drawn by T. Johnson),,82-82,,
6:14.0,,,82-82,,T. Johnson misses free throw 1 of 3
6:14.0,,,82-82,,Offensive rebound by Team
6:14.0,,,82-82,,T. Johnson misses free throw 2 of 3
6:14.0,,,82-82,,Offensive rebound by Team
6:14.0,,,82-83,1,T. Johnson makes free throw 3 of 3
5:55.0,H. Barnes misses 2-pt shot from 11 ft,,82-83,,
5:49.0,Offensive rebound by H. Barnes,,82-83,,
5:35.0,W. Matthews misses 3-pt shot from 25 ft,,82-83,,
5:33.0,,,82-83,,Defensive rebound by Team
5:33.0,Loose ball foul by S. Mejri (drawn by T. Johnson),,82-83,,
5:33.0,,,82-84,1,T. Johnson makes free throw 1 of 2
5:33.0,,,82-85,1,T. Johnson makes free throw 2 of 2
5:33.0,,,82-84,,G. Dragic enters the game for W. Ellington
5:33.0,D. Nowitzki enters the game for S. Mejri,,82-84,,
5:17.0,H. Barnes misses 2-pt shot from 19 ft,,82-85,,
5:16.0,,,82-85,,Defensive rebound by H. Whiteside
5:02.0,,,82-85,,T. Johnson misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by S. Curry,,82-85,,
4:52.0,D. Nowitzki misses 3-pt shot from 25 ft,,82-85,,
4:51.0,,,82-85,,Defensive rebound by Team
4:51.0,,,82-85,,R. McGruder enters the game for T. Johnson
4:40.0,,,82-85,,Turnover by D. Waiters (lost ball)
4:15.0,D. Nowitzki misses 3-pt shot from 25 ft,,82-85,,
4:14.0,Offensive rebound by S. Curry,,82-85,,
4:05.0,,,82-85,,Personal foul by G. Dragic (drawn by D. Nowitzki)
3:53.0,H. Barnes misses 2-pt shot from 19 ft,,82-85,,
3:52.0,,,82-85,,Defensive rebound by H. Whiteside
3:38.0,,,82-87,2,G. Dragic makes 2-pt shot from 15 ft
3:21.0,D. Williams makes 3-pt shot from 25 ft,3,85-87,,
2:55.0,,,85-87,,H. Whiteside misses 2-pt shot from 18 ft
2:54.0,Defensive rebound by D. Nowitzki,,85-87,,
2:41.0,D. Williams misses 3-pt shot from 25 ft,,85-87,,
2:40.0,,,85-87,,Defensive rebound by R. McGruder
2:18.0,,,85-90,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
2:18.0,Dallas full timeout,,85-90,,
2:18.0,,,85-90,,T. Johnson enters the game for R. McGruder
2:06.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,87-90,,
1:41.0,,,87-93,3,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
1:33.0,D. Nowitzki misses 3-pt shot from 25 ft,,87-93,,
1:32.0,,,87-93,,Defensive rebound by H. Whiteside
1:09.0,,,87-93,,D. Waiters misses 2-pt shot from 12 ft
1:07.0,Defensive rebound by D. Williams,,87-93,,
0:59.0,D. Williams misses 2-pt shot from 20 ft,,87-93,,
0:58.0,,,87-93,,Defensive rebound by H. Whiteside
0:40.0,,,87-93,,H. Whiteside misses 2-pt shot from 12 ft
0:38.0,,,87-93,,Offensive rebound by G. Dragic
0:30.0,Personal foul by W. Matthews (drawn by T. Johnson),,87-93,,
0:30.0,,,87-94,1,T. Johnson makes free throw 1 of 2
0:30.0,,,87-95,1,T. Johnson makes free throw 2 of 2
0:30.0,Dallas full timeout,,87-95,,
0:30.0,,,87-95,,R. McGruder enters the game for H. Whiteside
0:26.0,S. Curry makes 3-pt shot from 25 ft,3,90-95,,
0:26.0,Personal foul by S. Curry (drawn by G. Dragic),,90-95,,
0:26.0,,,90-95,,G. Dragic misses free throw 1 of 2
0:26.0,,,90-95,,Offensive rebound by Team
0:26.0,,,90-95,,G. Dragic misses free throw 2 of 2
0:25.0,Defensive rebound by D. Nowitzki,,90-95,,
0:19.0,,,90-95,,Personal foul by R. McGruder (drawn by D. Nowitzki)
0:19.0,D. Nowitzki makes free throw 1 of 3,1,91-95,,
0:19.0,D. Nowitzki misses free throw 2 of 3,,91-95,,
0:19.0,Offensive rebound by Team,,91-95,,
0:19.0,D. Nowitzki makes free throw 3 of 3,1,92-95,,
0:19.0,,,92-95,,Miami full timeout
0:19.0,,,92-95,,Miami full timeout
0:19.0,,,91-95,,H. Whiteside enters the game for R. McGruder
0:19.0,P. Jackson enters the game for S. Curry,,91-95,,
