time,Chicago,pts.away,score,pts.home,Sacramento
6:02.0,,,20-5,,A. Tolliver enters the game for D. Collison
6:02.0,,,20-5,,Violation by Team (jump ball)
5:45.0,,,20-5,,D. Cousins misses 2-pt shot from 12 ft
5:44.0,Defensive rebound by T. Gibson,,20-5,,
5:33.0,D. Wade misses 2-pt shot from 19 ft,,20-5,,
5:32.0,,,20-5,,Defensive rebound by D. Cousins
5:20.0,,,20-5,,B. McLemore misses 2-pt shot from 20 ft
5:17.0,,,20-5,,Offensive rebound by A. Tolliver
5:08.0,,,20-5,,T. Lawson misses 3-pt shot from 24 ft (block by D. Wade)
5:06.0,,,20-5,,Offensive rebound by T. Lawson
5:04.0,,,20-7,2,T. Lawson makes 2-pt shot from 13 ft
4:42.0,M. Carter-Williams misses 3-pt shot from 25 ft,,20-7,,
4:41.0,,,20-7,,Defensive rebound by M. Barnes
4:36.0,,,20-7,,B. McLemore misses 2-pt shot from 6 ft (block by D. Wade)
4:36.0,,,20-7,,Offensive rebound by Team
4:36.0,P. Zipser enters the game for D. Wade,,20-7,,
4:36.0,N. Mirotic enters the game for T. Gibson,,20-7,,
4:21.0,,,20-7,,D. Cousins misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by P. Zipser,,20-7,,
4:16.0,Shooting foul by B. McLemore (drawn by M. Carter-Williams),,20-7,,
4:16.0,M. Carter-Williams makes free throw 1 of 2,1,21-7,,
4:16.0,M. Carter-Williams makes free throw 2 of 2,1,22-7,,
3:57.0,,,22-7,,M. Barnes misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by M. Carter-Williams,,22-7,,
3:47.0,R. Lopez misses 2-pt shot from 18 ft,,22-7,,
3:46.0,,,22-7,,Defensive rebound by T. Lawson
3:38.0,,,22-7,,Turnover by T. Lawson (bad pass)
3:38.0,R. Rondo enters the game for M. Carter-Williams,,22-7,,
3:38.0,,,22-7,,W. Cauley-Stein enters the game for B. McLemore
3:38.0,,,22-7,,M. Richardson enters the game for D. Cousins
3:19.0,Turnover by P. Zipser (bad pass; steal by A. Tolliver),,22-7,,
3:14.0,,,22-7,,Turnover by M. Richardson (step out of bounds)
3:03.0,P. Zipser misses 3-pt shot from 24 ft,,22-7,,
3:02.0,,,22-7,,Defensive rebound by W. Cauley-Stein
2:47.0,,,22-9,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by T. Lawson)
2:27.0,J. Grant makes 2-pt shot from 13 ft,2,24-9,,
2:27.0,Shooting foul by M. Richardson (drawn by J. Grant),,24-9,,
2:27.0,J. Grant misses free throw 1 of 1,,24-9,,
2:23.0,Offensive rebound by R. Lopez,,24-9,,
2:23.0,R. Lopez makes 2-pt shot from 1 ft,2,26-9,,
2:05.0,Personal foul by R. Rondo (drawn by T. Lawson),,26-9,,
2:05.0,B. Portis enters the game for J. Grant,,26-9,,
2:05.0,D. McDermott enters the game for R. Lopez,,26-9,,
1:59.0,,,26-9,,T. Lawson misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by N. Mirotic,,26-9,,
1:44.0,B. Portis misses 2-pt shot from 16 ft,,26-9,,
1:41.0,,,26-9,,Defensive rebound by M. Barnes
1:28.0,,,26-9,,Turnover by M. Richardson (bad pass)
1:19.0,,,26-9,,Personal foul by M. Richardson (drawn by D. McDermott)
1:19.0,D. McDermott misses free throw 1 of 2,,26-9,,
1:19.0,Offensive rebound by Team,,26-9,,
1:19.0,D. McDermott makes free throw 2 of 2,1,27-9,,
0:59.0,,,27-9,,M. Richardson misses 2-pt shot from 19 ft
0:57.0,Defensive rebound by R. Rondo,,27-9,,
0:50.0,R. Rondo misses 2-pt shot from 11 ft,,27-9,,
0:49.0,,,27-9,,Defensive rebound by M. Barnes
0:46.0,,,27-9,,Turnover by M. Barnes (bad pass; steal by P. Zipser)
0:41.0,Turnover by D. McDermott (step out of bounds),,27-9,,
0:28.0,,,27-11,2,W. Cauley-Stein makes 2-pt shot from 11 ft
0:28.0,,,27-11,,Shooting foul by B. Portis (drawn by W. Cauley-Stein)
0:28.0,,,27-11,,W. Cauley-Stein misses free throw 1 of 1
0:28.0,Defensive rebound by N. Mirotic,,27-11,,
0:03.0,R. Rondo misses 3-pt shot from 26 ft,,27-11,,
0:02.0,,,27-11,,Defensive rebound by W. Cauley-Stein
0:00.0,,,27-11,,M. Richardson misses 3-pt shot from 65 ft
0:00.0,,,27-11,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-13,2,M. Barnes makes 2-pt shot from 3 ft
11:32.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,30-13,,
11:12.0,,,30-15,2,A. Tolliver makes 2-pt shot from 3 ft (assist by T. Lawson)
11:02.0,R. Rondo makes 2-pt shot from 3 ft,2,32-15,,
10:44.0,,,32-15,,Shooting foul by B. Portis (drawn by M. Richardson)
10:44.0,,,32-17,2,M. Richardson makes 2-pt shot from 8 ft (assist by W. Cauley-Stein)
10:44.0,,,32-18,1,M. Richardson makes free throw 1 of 1
10:26.0,R. Rondo makes 2-pt shot from 3 ft (assist by B. Portis),2,34-18,,
10:11.0,,,34-20,2,M. Richardson makes 2-pt shot at rim (assist by T. Lawson)
9:50.0,N. Mirotic misses 3-pt shot from 25 ft,,34-20,,
9:48.0,Offensive rebound by D. McDermott,,34-20,,
9:43.0,P. Zipser misses 3-pt shot from 24 ft,,34-20,,
9:42.0,,,34-20,,Defensive rebound by M. Barnes
9:37.0,,,34-20,,Turnover by M. Barnes (bad pass; steal by R. Rondo)
9:31.0,Turnover by D. McDermott (back court),,34-20,,
9:20.0,,,34-20,,Turnover by A. Tolliver (bad pass; steal by R. Rondo)
9:17.0,,,34-20,,Personal foul by T. Lawson (drawn by R. Rondo)
9:07.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,37-20,,
8:53.0,,,37-20,,Shooting foul by D. McDermott (drawn by M. Richardson)
8:53.0,Official timeout,,37-20,,
8:53.0,,,37-21,1,M. Richardson makes free throw 1 of 2
8:53.0,,,37-22,1,M. Richardson makes free throw 2 of 2
8:53.0,,,37-20,,K. Koufos enters the game for W. Cauley-Stein
8:41.0,N. Mirotic misses 3-pt shot from 24 ft,,37-22,,
8:40.0,,,37-22,,Defensive rebound by M. Barnes
8:21.0,,,37-24,2,K. Koufos makes 2-pt shot from 9 ft
8:11.0,Shooting foul by M. Richardson (drawn by D. McDermott),,37-24,,
8:11.0,D. McDermott makes 2-pt shot from 18 ft (assist by R. Rondo),2,39-24,,
8:11.0,D. McDermott misses free throw 1 of 1,,39-24,,
8:11.0,D. Wade enters the game for P. Zipser,,39-24,,
8:11.0,T. Gibson enters the game for B. Portis,,39-24,,
8:08.0,,,39-24,,Defensive rebound by M. Barnes
7:45.0,,,39-24,,M. Richardson misses 3-pt shot from 25 ft
7:44.0,,,39-24,,Offensive rebound by A. Tolliver
7:41.0,,,39-27,3,M. Barnes makes 3-pt shot from 25 ft (assist by A. Tolliver)
7:27.0,Shooting foul by K. Koufos (drawn by D. Wade),,39-27,,
7:27.0,D. Wade misses free throw 1 of 2,,39-27,,
7:27.0,Offensive rebound by Team,,39-27,,
7:27.0,D. Wade makes free throw 2 of 2,1,40-27,,
7:27.0,M. Carter-Williams enters the game for D. McDermott,,39-27,,
7:27.0,,,39-27,,A. Afflalo enters the game for M. Richardson
7:12.0,,,40-29,2,T. Lawson makes 2-pt shot from 3 ft
7:12.0,,,40-29,,Shooting foul by D. Wade (drawn by T. Lawson)
7:12.0,,,40-30,1,T. Lawson makes free throw 1 of 1
6:54.0,M. Carter-Williams misses 2-pt shot from 7 ft,,40-30,,
6:53.0,,,40-30,,Defensive rebound by T. Lawson
6:46.0,,,40-30,,Turnover by T. Lawson (lost ball; steal by R. Rondo)
6:41.0,M. Carter-Williams makes 2-pt shot at rim (assist by R. Rondo),2,42-30,,
6:16.0,,,42-32,2,K. Koufos makes 2-pt shot from 7 ft
6:02.0,T. Gibson makes 2-pt shot from 8 ft (assist by R. Rondo),2,44-32,,
5:55.0,,,44-32,,Shooting foul by M. Carter-Williams (drawn by T. Lawson)
5:55.0,,,44-32,,Sacramento full timeout
5:55.0,,,44-33,1,T. Lawson makes free throw 1 of 2
5:55.0,,,44-34,1,T. Lawson makes free throw 2 of 2
5:55.0,,,44-32,,D. Cousins enters the game for M. Barnes
5:55.0,,,44-32,,D. Collison enters the game for A. Tolliver
5:39.0,D. Wade makes 2-pt shot from 15 ft,2,46-34,,
5:20.0,,,46-36,2,K. Koufos makes 2-pt shot from 3 ft (assist by D. Collison)
4:59.0,T. Gibson misses 2-pt shot from 5 ft (block by K. Koufos),,46-36,,
4:58.0,,,46-36,,Defensive rebound by D. Cousins
4:52.0,,,46-36,,T. Lawson misses 2-pt shot at rim (block by M. Carter-Williams)
4:50.0,Defensive rebound by R. Rondo,,46-36,,
4:44.0,N. Mirotic misses 3-pt shot from 25 ft,,46-36,,
4:44.0,,,46-36,,Defensive rebound by K. Koufos
4:33.0,,,46-38,2,K. Koufos makes 2-pt shot from 9 ft (assist by T. Lawson)
4:33.0,Chicago full timeout,,46-38,,
4:33.0,R. Lopez enters the game for N. Mirotic,,46-38,,
4:33.0,J. Grant enters the game for R. Rondo,,46-38,,
4:13.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by J. Grant),3,49-38,,
3:47.0,,,49-38,,Turnover by Team (shot clock)
3:30.0,D. Wade makes 2-pt shot from 14 ft (assist by J. Grant),2,51-38,,
3:14.0,,,51-40,2,A. Afflalo makes 2-pt shot from 3 ft (assist by D. Cousins)
2:58.0,,,51-40,,Personal foul by A. Afflalo (drawn by D. Wade)
2:48.0,T. Gibson makes 2-pt shot at rim (assist by R. Lopez),2,53-40,,
2:30.0,,,53-40,,T. Lawson misses 2-pt shot from 5 ft
2:30.0,,,53-40,,Offensive rebound by D. Cousins
2:30.0,,,53-40,,Shooting foul by T. Gibson (drawn by D. Cousins)
2:30.0,,,53-41,1,D. Cousins makes free throw 1 of 2
2:30.0,,,53-42,1,D. Cousins makes free throw 2 of 2
2:30.0,,,53-41,,M. Barnes enters the game for A. Afflalo
2:15.0,T. Gibson makes 2-pt shot at rim (assist by D. Wade),2,55-42,,
2:01.0,,,55-42,,D. Collison misses 2-pt shot from 17 ft
2:00.0,Defensive rebound by T. Gibson,,55-42,,
1:48.0,D. Wade misses 2-pt shot from 14 ft,,55-42,,
1:47.0,,,55-42,,Defensive rebound by D. Cousins
1:36.0,,,55-45,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Cousins)
1:11.0,M. Carter-Williams makes 2-pt shot from 8 ft (assist by R. Lopez),2,57-45,,
0:56.0,,,57-45,,M. Barnes misses 2-pt shot from 7 ft
0:55.0,Defensive rebound by D. Wade,,57-45,,
0:45.0,Shooting foul by D. Collison (drawn by J. Grant),,57-45,,
0:45.0,J. Grant makes free throw 1 of 3,1,58-45,,
0:45.0,J. Grant makes free throw 2 of 3,1,59-45,,
0:45.0,J. Grant makes free throw 3 of 3,1,60-45,,
0:45.0,P. Zipser enters the game for D. Wade,,59-45,,
0:26.0,,,60-45,,M. Barnes misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by R. Lopez,,60-45,,
0:04.0,T. Gibson misses 3-pt shot from 23 ft,,60-45,,
0:02.0,Offensive rebound by R. Lopez,,60-45,,
0:02.0,R. Lopez misses 2-pt shot from 2 ft,,60-45,,
0:01.0,,,60-45,,Defensive rebound by M. Barnes
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,60-45,,D. Cousins misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by M. Carter-Williams,,60-45,,
11:29.0,D. Wade makes 2-pt shot from 13 ft,2,62-45,,
11:29.0,Shooting foul by A. Afflalo (drawn by D. Wade),,62-45,,
11:29.0,D. Wade misses free throw 1 of 1,,62-45,,
11:28.0,,,62-45,,Defensive rebound by D. Cousins
11:14.0,,,62-45,,Turnover by K. Koufos (bad pass)
10:59.0,R. Lopez makes 2-pt shot from 7 ft,2,64-45,,
10:51.0,,,64-45,,Turnover by B. McLemore (bad pass; steal by T. Gibson)
10:48.0,T. Gibson makes 2-pt shot at rim,2,66-45,,
10:30.0,Def 3 sec tech foul by R. Lopez,,66-45,,
10:30.0,,,66-46,1,D. Cousins makes technical free throw
10:16.0,,,66-46,,Turnover by Team (shot clock)
10:07.0,M. Carter-Williams misses 2-pt shot from 10 ft (block by K. Koufos),,66-46,,
10:07.0,Offensive rebound by Team,,66-46,,
10:06.0,Turnover by J. Grant (bad pass; steal by D. Cousins),,66-46,,
10:01.0,,,66-48,2,B. McLemore makes 2-pt shot at rim (assist by D. Cousins)
9:40.0,R. Lopez misses 2-pt shot from 10 ft,,66-48,,
9:39.0,,,66-48,,Defensive rebound by D. Cousins
9:21.0,,,66-48,,A. Afflalo misses 3-pt shot from 23 ft
9:21.0,,,66-48,,Offensive rebound by D. Cousins
9:21.0,,,66-48,,D. Cousins misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by Team,,66-48,,
9:19.0,,,66-48,,Loose ball foul by D. Cousins (drawn by T. Gibson)
9:05.0,Shooting foul by D. Collison (drawn by J. Grant),,66-48,,
9:05.0,J. Grant makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,69-48,,
9:05.0,J. Grant misses free throw 1 of 1,,69-48,,
9:04.0,,,69-48,,Defensive rebound by K. Koufos
8:49.0,,,69-48,,A. Afflalo misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by D. Wade,,69-48,,
8:39.0,D. Wade makes 2-pt shot from 17 ft,2,71-48,,
8:23.0,,,71-48,,D. Collison misses 2-pt shot from 11 ft
8:22.0,Defensive rebound by R. Lopez,,71-48,,
8:04.0,T. Gibson misses 2-pt shot from 21 ft,,71-48,,
8:03.0,Offensive rebound by R. Lopez,,71-48,,
8:01.0,R. Lopez makes 2-pt shot from 8 ft,2,73-48,,
7:53.0,,,73-48,,Sacramento full timeout
7:46.0,Personal foul by T. Gibson (drawn by D. Cousins),,73-48,,
7:37.0,,,73-51,3,A. Afflalo makes 3-pt shot from 25 ft
7:24.0,Shooting foul by K. Koufos (drawn by R. Lopez),,73-51,,
7:24.0,R. Lopez makes free throw 1 of 2,1,74-51,,
7:24.0,R. Lopez misses free throw 2 of 2,,74-51,,
7:22.0,,,74-51,,Defensive rebound by D. Cousins
7:06.0,,,74-53,2,D. Cousins makes 2-pt shot at rim
6:47.0,D. Wade makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,76-53,,
6:33.0,,,76-55,2,K. Koufos makes 2-pt shot from 10 ft (assist by B. McLemore)
6:11.0,R. Lopez misses 2-pt shot from 11 ft,,76-55,,
6:10.0,,,76-55,,Defensive rebound by D. Cousins
6:01.0,,,76-55,,B. McLemore misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by M. Carter-Williams,,76-55,,
5:53.0,,,76-55,,Personal foul by K. Koufos (drawn by D. Wade)
5:53.0,D. Wade misses free throw 1 of 2,,76-55,,
5:53.0,Offensive rebound by Team,,76-55,,
5:53.0,D. Wade makes free throw 2 of 2,1,77-55,,
5:53.0,,,76-55,,M. Barnes enters the game for A. Afflalo
5:53.0,,,76-55,,A. Tolliver enters the game for K. Koufos
5:53.0,N. Mirotic enters the game for T. Gibson,,76-55,,
5:36.0,,,77-55,,D. Cousins misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by J. Grant,,77-55,,
5:25.0,D. Wade misses 2-pt shot from 12 ft,,77-55,,
5:24.0,,,77-55,,Defensive rebound by B. McLemore
5:13.0,,,77-55,,D. Collison misses 2-pt shot from 15 ft
5:12.0,Defensive rebound by M. Carter-Williams,,77-55,,
4:57.0,D. Wade makes 2-pt shot from 2 ft (assist by J. Grant),2,79-55,,
4:36.0,,,79-55,,Offensive foul by D. Cousins
4:36.0,,,79-55,,Turnover by D. Cousins (offensive foul)
4:36.0,P. Zipser enters the game for D. Wade,,79-55,,
4:36.0,,,79-55,,T. Lawson enters the game for B. McLemore
4:13.0,J. Grant makes 3-pt shot from 24 ft,3,82-55,,
3:49.0,,,82-58,3,D. Cousins makes 3-pt shot from 26 ft (assist by M. Barnes)
3:26.0,N. Mirotic misses 2-pt shot from 20 ft,,82-58,,
3:25.0,Offensive rebound by J. Grant,,82-58,,
3:21.0,N. Mirotic misses 2-pt shot from 3 ft (block by D. Cousins),,82-58,,
3:20.0,,,82-58,,Defensive rebound by T. Lawson
3:16.0,,,82-60,2,D. Collison makes 2-pt shot from 2 ft (assist by M. Barnes)
3:16.0,Chicago full timeout,,82-60,,
3:16.0,T. Gibson enters the game for R. Lopez,,82-60,,
3:16.0,R. Rondo enters the game for M. Carter-Williams,,82-60,,
2:58.0,T. Gibson misses 2-pt shot from 18 ft,,82-60,,
2:57.0,,,82-60,,Defensive rebound by D. Collison
2:36.0,,,82-62,2,T. Lawson makes 2-pt shot from 1 ft (assist by A. Tolliver)
2:19.0,P. Zipser misses 2-pt shot from 19 ft,,82-62,,
2:19.0,,,82-62,,Defensive rebound by D. Cousins
2:07.0,,,82-62,,Shooting foul by P. Zipser (drawn by T. Lawson)
2:07.0,,,82-64,2,T. Lawson makes 2-pt shot from 3 ft
2:07.0,,,82-65,1,T. Lawson makes free throw 1 of 1
1:56.0,,,82-65,,Personal foul by T. Lawson (drawn by R. Rondo)
1:56.0,R. Rondo makes free throw 1 of 2,1,83-65,,
1:56.0,R. Rondo misses free throw 2 of 2,,83-65,,
1:55.0,,,83-65,,Defensive rebound by D. Cousins
1:39.0,,,83-67,2,D. Collison makes 2-pt shot from 1 ft
1:12.0,R. Rondo misses 2-pt shot from 10 ft,,83-67,,
1:08.0,,,83-67,,Defensive rebound by D. Cousins
0:59.0,,,83-67,,T. Lawson misses 2-pt shot from 14 ft
0:58.0,Defensive rebound by T. Gibson,,83-67,,
0:34.0,R. Rondo misses 3-pt shot from 25 ft,,83-67,,
0:33.0,,,83-67,,Defensive rebound by D. Cousins
0:28.0,,,83-69,2,M. Barnes makes 2-pt shot from 1 ft (assist by T. Lawson)
0:03.0,N. Mirotic misses 3-pt shot from 26 ft,,83-69,,
0:02.0,Offensive rebound by P. Zipser,,83-69,,
0:01.0,T. Gibson makes 2-pt shot from 3 ft (assist by P. Zipser),2,85-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by T. Gibson,,85-69,,
12:00.0,D. McDermott misses technical free throw,,85-69,,
12:00.0,Defensive rebound by Team,,85-69,,
12:00.0,,,85-69,,Technical foul by M. Barnes
12:00.0,,,85-69,,Technical foul by D. Cousins
11:43.0,Turnover by N. Mirotic (lost ball; steal by D. Collison),,85-69,,
11:37.0,,,85-69,,D. Collison misses 2-pt shot from 3 ft
11:34.0,,,85-69,,Offensive rebound by A. Tolliver
11:34.0,,,85-71,2,A. Tolliver makes 2-pt shot from 1 ft
11:28.0,,,85-71,,Personal foul by D. Cousins (drawn by D. McDermott)
11:19.0,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo),3,88-71,,
10:57.0,,,88-74,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
10:40.0,Shooting foul by M. Barnes (drawn by T. Gibson),,88-74,,
10:40.0,T. Gibson misses free throw 1 of 2,,88-74,,
10:40.0,Offensive rebound by Team,,88-74,,
10:40.0,T. Gibson makes free throw 2 of 2,1,89-74,,
10:31.0,,,89-74,,Turnover by T. Lawson (bad pass; steal by R. Rondo)
10:25.0,N. Mirotic misses 3-pt shot from 25 ft,,89-74,,
10:25.0,Offensive rebound by Team,,89-74,,
10:25.0,,,89-74,,Loose ball foul by D. Cousins (drawn by T. Gibson)
10:06.0,T. Gibson misses 2-pt shot from 6 ft,,89-74,,
10:06.0,,,89-74,,Defensive rebound by Team
10:06.0,Loose ball foul by T. Gibson (drawn by D. Cousins),,89-74,,
9:53.0,Personal block foul by T. Gibson (drawn by D. Cousins),,89-74,,
9:53.0,J. Grant enters the game for D. McDermott,,89-74,,
9:48.0,Personal foul by T. Gibson (drawn by D. Cousins),,89-74,,
9:48.0,R. Lopez enters the game for T. Gibson,,89-74,,
9:38.0,,,89-74,,Shooting foul by R. Lopez (drawn by D. Cousins)
9:38.0,,,89-75,1,D. Cousins makes free throw 1 of 2
9:38.0,,,89-76,1,D. Cousins makes free throw 2 of 2
9:20.0,R. Lopez misses 2-pt shot from 16 ft,,89-76,,
9:18.0,Offensive rebound by R. Lopez,,89-76,,
9:15.0,R. Lopez makes 2-pt shot from 2 ft,2,91-76,,
9:01.0,,,91-76,,D. Cousins misses 3-pt shot from 26 ft
9:00.0,,,91-76,,Offensive rebound by A. Tolliver
8:54.0,,,91-79,3,T. Lawson makes 3-pt shot from 26 ft (assist by M. Barnes)
8:28.0,Turnover by R. Lopez (3 sec),,91-79,,
8:28.0,Official timeout,,91-79,,
8:17.0,,,91-79,,A. Tolliver misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by N. Mirotic,,91-79,,
8:09.0,,,91-79,,Personal foul by M. Barnes (drawn by P. Zipser)
8:09.0,D. Wade enters the game for J. Grant,,91-79,,
7:57.0,Shooting foul by D. Cousins (drawn by R. Lopez),,91-79,,
7:57.0,R. Lopez makes free throw 1 of 2,1,92-79,,
7:57.0,R. Lopez makes free throw 2 of 2,1,93-79,,
7:46.0,,,93-81,2,D. Collison makes 2-pt shot from 17 ft
7:30.0,D. Wade misses 2-pt shot from 22 ft,,93-81,,
7:29.0,,,93-81,,Defensive rebound by D. Cousins
7:11.0,,,93-83,2,A. Tolliver makes 2-pt shot from 3 ft
6:53.0,Turnover by R. Rondo (bad pass; steal by D. Collison),,93-83,,
6:50.0,,,93-85,2,M. Barnes makes 2-pt shot from 1 ft (assist by D. Collison)
6:50.0,Chicago full timeout,,93-85,,
6:50.0,J. Grant enters the game for P. Zipser,,93-85,,
6:50.0,M. Carter-Williams enters the game for R. Rondo,,93-85,,
6:33.0,N. Mirotic misses 3-pt shot from 23 ft,,93-85,,
6:32.0,,,93-85,,Defensive rebound by M. Barnes
6:18.0,,,93-85,,D. Cousins misses 3-pt shot from 25 ft
6:16.0,,,93-85,,Offensive rebound by M. Barnes
6:11.0,,,93-87,2,T. Lawson makes 2-pt shot from 17 ft (assist by M. Barnes)
5:51.0,D. Wade misses 2-pt shot from 16 ft,,93-87,,
5:50.0,,,93-87,,Defensive rebound by A. Tolliver
5:41.0,,,93-90,3,T. Lawson makes 3-pt shot from 23 ft (assist by M. Barnes)
5:16.0,M. Carter-Williams makes 2-pt shot from 12 ft,2,95-90,,
5:01.0,Personal foul by D. Wade (drawn by M. Barnes),,95-90,,
5:01.0,,,95-91,1,M. Barnes makes free throw 1 of 2
5:01.0,,,95-92,1,M. Barnes makes free throw 2 of 2
4:51.0,Shooting foul by M. Barnes (drawn by D. Wade),,95-92,,
4:51.0,D. Wade makes free throw 1 of 2,1,96-92,,
4:51.0,D. Wade makes free throw 2 of 2,1,97-92,,
4:51.0,P. Zipser enters the game for N. Mirotic,,96-92,,
4:29.0,,,97-92,,D. Cousins misses 2-pt shot from 4 ft
4:28.0,Defensive rebound by D. Wade,,97-92,,
4:18.0,D. Wade misses 2-pt shot from 11 ft,,97-92,,
4:17.0,,,97-92,,Defensive rebound by Team
4:14.0,,,97-92,,Sacramento full timeout
4:05.0,,,97-95,3,D. Collison makes 3-pt shot from 26 ft (assist by T. Lawson)
3:42.0,M. Carter-Williams makes 2-pt shot from 13 ft,2,99-95,,
3:26.0,,,99-95,,D. Cousins misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by M. Carter-Williams,,99-95,,
3:09.0,D. Wade makes 2-pt shot from 3 ft,2,101-95,,
2:50.0,,,101-97,2,M. Barnes makes 2-pt shot from 4 ft (assist by D. Cousins)
2:31.0,Offensive foul by R. Lopez,,101-97,,
2:31.0,Turnover by R. Lopez (offensive foul),,101-97,,
2:19.0,,,101-97,,D. Collison misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by M. Carter-Williams,,101-97,,
2:01.0,R. Lopez makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,103-97,,
1:51.0,,,103-99,2,T. Lawson makes 2-pt shot from 18 ft
1:39.0,,,103-99,,Personal foul by D. Collison (drawn by M. Carter-Williams)
1:39.0,M. Carter-Williams makes free throw 1 of 2,1,104-99,,
1:39.0,M. Carter-Williams makes free throw 2 of 2,1,105-99,,
1:39.0,T. Gibson enters the game for R. Lopez,,104-99,,
1:19.0,,,105-102,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. Collison)
1:05.0,D. Wade makes 2-pt shot from 20 ft,2,107-102,,
