time,Houston,pts.away,score,pts.home,Brooklyn
7:48.0,,,17-12,,Brooklyn full timeout
7:34.0,,,17-12,,Turnover by Team (back court)
7:26.0,,,17-12,,Personal foul by S. Dinwiddie (drawn by M. Harrell)
7:22.0,J. Harden misses 3-pt shot from 24 ft,,17-12,,
7:21.0,Offensive rebound by T. Ariza,,17-12,,
7:14.0,T. Ariza makes 2-pt shot from 9 ft,2,19-12,,
6:59.0,,,19-14,2,T. Booker makes 2-pt shot from 8 ft
6:45.0,J. Harden misses 2-pt shot from 2 ft (block by J. Hamilton),,19-14,,
6:44.0,,,19-14,,Defensive rebound by S. Dinwiddie
6:38.0,,,19-14,,J. Harris misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by T. Ariza,,19-14,,
6:33.0,T. Ariza misses 3-pt shot from 25 ft,,19-14,,
6:29.0,,,19-14,,Defensive rebound by J. Hamilton
6:16.0,,,19-17,3,T. Booker makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
5:57.0,Shooting foul by B. Bogdanovic (drawn by T. Ariza),,19-17,,
5:57.0,T. Ariza makes free throw 1 of 3,1,20-17,,
5:57.0,T. Ariza makes free throw 2 of 3,1,21-17,,
5:57.0,T. Ariza makes free throw 3 of 3,1,22-17,,
5:57.0,E. Gordon enters the game for P. Beverley,,21-17,,
5:57.0,,,21-17,,R. Foye enters the game for J. Harris
5:57.0,,,21-17,,S. Kilpatrick enters the game for B. Bogdanovic
5:37.0,,,22-17,,R. Foye misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by T. Ariza,,22-17,,
5:30.0,,,22-17,,Personal foul by J. Hamilton (drawn by M. Harrell)
5:30.0,M. Harrell makes free throw 1 of 2,1,23-17,,
5:30.0,M. Harrell makes free throw 2 of 2,1,24-17,,
5:17.0,,,24-17,,S. Kilpatrick misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by R. Anderson,,24-17,,
5:11.0,E. Gordon misses 2-pt shot from 3 ft (block by J. Hamilton),,24-17,,
5:10.0,Offensive rebound by Team,,24-17,,
5:04.0,Shooting foul by J. Hamilton (drawn by R. Anderson),,24-17,,
5:04.0,R. Anderson makes free throw 1 of 2,1,25-17,,
5:04.0,R. Anderson makes free throw 2 of 2,1,26-17,,
4:53.0,,,26-20,3,J. Hamilton makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
4:25.0,T. Ariza misses 3-pt shot from 25 ft,,26-20,,
4:24.0,Offensive rebound by Team,,26-20,,
4:24.0,,,26-20,,Loose ball foul by R. Foye (drawn by R. Anderson)
4:24.0,R. Anderson makes free throw 1 of 2,1,27-20,,
4:24.0,R. Anderson makes free throw 2 of 2,1,28-20,,
4:24.0,,,27-20,,R. Hollis-Jefferson enters the game for J. Hamilton
4:24.0,N. Hilario enters the game for M. Harrell,,27-20,,
4:08.0,,,28-23,3,R. Foye makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
3:56.0,Turnover by N. Hilario (bad pass),,28-23,,
3:56.0,S. Dekker enters the game for R. Anderson,,28-23,,
3:56.0,,,28-23,,Q. Acy enters the game for T. Booker
3:38.0,,,28-23,,S. Kilpatrick misses 3-pt shot from 25 ft
3:37.0,,,28-23,,Offensive rebound by Q. Acy
3:36.0,,,28-23,,Q. Acy misses 2-pt shot from 1 ft
3:35.0,,,28-23,,Offensive rebound by Q. Acy
3:33.0,,,28-23,,Q. Acy misses 2-pt shot from 3 ft
3:31.0,Defensive rebound by T. Ariza,,28-23,,
3:25.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,31-23,,
3:09.0,,,31-23,,S. Dinwiddie misses 2-pt shot from 10 ft
3:08.0,,,31-23,,Offensive rebound by Q. Acy
3:06.0,,,31-23,,Q. Acy misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by E. Gordon,,31-23,,
2:54.0,J. Harden misses 3-pt shot from 23 ft,,31-23,,
2:53.0,,,31-23,,Defensive rebound by S. Kilpatrick
2:36.0,,,31-23,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
2:35.0,,,31-23,,Offensive rebound by Team
2:34.0,Houston full timeout,,31-23,,
2:34.0,,,31-23,,C. LeVert enters the game for S. Dinwiddie
2:31.0,,,31-25,2,R. Foye makes 2-pt shot from 2 ft (assist by C. LeVert)
2:18.0,N. Hilario makes 2-pt shot at rim (assist by E. Gordon),2,33-25,,
2:02.0,,,33-25,,S. Kilpatrick misses 2-pt shot from 9 ft
2:00.0,,,33-25,,Offensive rebound by R. Hollis-Jefferson
1:59.0,,,33-27,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
1:42.0,N. Hilario misses 2-pt shot from 3 ft,,33-27,,
1:40.0,,,33-27,,Defensive rebound by C. LeVert
1:26.0,,,33-30,3,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert)
1:10.0,Turnover by J. Harden (lost ball; steal by R. Hollis-Jefferson),,33-30,,
1:06.0,,,33-32,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by R. Foye)
0:58.0,S. Dekker makes 2-pt shot at rim (assist by E. Gordon),2,35-32,,
0:47.0,Personal foul by S. Dekker (drawn by R. Hollis-Jefferson),,35-32,,
0:47.0,,,35-33,1,R. Hollis-Jefferson makes free throw 1 of 2
0:47.0,,,35-34,1,R. Hollis-Jefferson makes free throw 2 of 2
0:42.0,Shooting foul by S. Kilpatrick (drawn by E. Gordon),,35-34,,
0:42.0,E. Gordon misses free throw 1 of 2,,35-34,,
0:42.0,Offensive rebound by Team,,35-34,,
0:42.0,E. Gordon makes free throw 2 of 2,1,36-34,,
0:36.0,Personal foul by E. Gordon (drawn by R. Foye),,36-34,,
0:36.0,,,36-35,1,R. Foye makes free throw 1 of 2
0:36.0,,,36-36,1,R. Foye makes free throw 2 of 2
0:30.0,Shooting foul by Q. Acy (drawn by J. Harden),,36-36,,
0:30.0,J. Harden misses free throw 1 of 2,,36-36,,
0:30.0,Offensive rebound by Team,,36-36,,
0:30.0,J. Harden makes free throw 2 of 2,1,37-36,,
0:09.0,,,37-36,,S. Kilpatrick misses 2-pt shot from 2 ft (block by N. Hilario)
0:09.0,,,37-36,,Offensive rebound by Team
0:06.0,,,37-36,,R. Hollis-Jefferson misses 2-pt shot from 20 ft
0:04.0,Defensive rebound by E. Gordon,,37-36,,
0:01.0,Turnover by J. Harden (bad pass),,37-36,,
0:00.0,,,37-36,,S. Kilpatrick misses 3-pt shot from 39 ft
0:00.0,,,37-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by C. Brewer (drawn by R. Hollis-Jefferson),,37-36,,
11:42.0,,,37-36,,Turnover by R. Hollis-Jefferson (lost ball; steal by P. Beverley)
11:22.0,E. Gordon makes 2-pt shot from 1 ft,2,39-36,,
11:05.0,,,39-36,,Turnover by R. Hollis-Jefferson (bad pass; steal by N. Hilario)
11:00.0,C. Brewer misses 2-pt shot from 1 ft (block by Q. Acy),,39-36,,
10:58.0,Offensive rebound by N. Hilario,,39-36,,
10:50.0,N. Hilario makes 2-pt shot from 17 ft (assist by S. Dekker),2,41-36,,
10:40.0,,,41-36,,B. Bogdanovic misses 3-pt shot from 27 ft
10:38.0,Defensive rebound by P. Beverley,,41-36,,
10:25.0,,,41-36,,Personal foul by R. Foye (drawn by N. Hilario)
10:19.0,P. Beverley makes 2-pt shot from 2 ft,2,43-36,,
10:10.0,,,43-38,2,B. Bogdanovic makes 2-pt shot from 3 ft
10:10.0,,,43-38,,Shooting foul by N. Hilario (drawn by B. Bogdanovic)
10:10.0,,,43-38,,B. Bogdanovic misses free throw 1 of 1
10:09.0,Defensive rebound by S. Dekker,,43-38,,
10:03.0,,,43-38,,Personal foul by R. Foye (drawn by P. Beverley)
10:03.0,,,43-38,,I. Whitehead enters the game for R. Foye
9:58.0,N. Hilario makes 2-pt shot from 1 ft,2,45-38,,
9:38.0,Personal foul by N. Hilario (drawn by Q. Acy),,45-38,,
9:32.0,,,45-41,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
9:22.0,E. Gordon makes 3-pt shot from 25 ft (assist by P. Beverley),3,48-41,,
9:05.0,,,48-41,,S. Kilpatrick misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by P. Beverley,,48-41,,
8:58.0,S. Dekker misses 3-pt shot from 24 ft,,48-41,,
8:57.0,,,48-41,,Defensive rebound by R. Hollis-Jefferson
8:45.0,,,48-41,,S. Kilpatrick misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by N. Hilario,,48-41,,
8:38.0,E. Gordon misses 3-pt shot from 25 ft,,48-41,,
8:37.0,,,48-41,,Defensive rebound by R. Hollis-Jefferson
8:33.0,,,48-41,,Offensive charge foul by R. Hollis-Jefferson
8:33.0,,,48-41,,Turnover by R. Hollis-Jefferson (offensive foul)
8:33.0,Official timeout,,48-41,,
8:33.0,,,48-41,,J. Hamilton enters the game for Q. Acy
8:33.0,M. Harrell enters the game for N. Hilario,,48-41,,
8:15.0,P. Beverley misses 3-pt shot from 26 ft,,48-41,,
8:14.0,,,48-41,,Defensive rebound by R. Hollis-Jefferson
8:09.0,,,48-43,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
8:09.0,,,48-43,,Shooting foul by S. Dekker (drawn by R. Hollis-Jefferson)
8:09.0,,,48-44,1,R. Hollis-Jefferson makes free throw 1 of 1
7:59.0,,,48-44,,Personal foul by I. Whitehead (drawn by P. Beverley)
7:49.0,P. Beverley makes 3-pt shot from 26 ft (assist by M. Harrell),3,51-44,,
7:34.0,,,51-46,2,J. Hamilton makes 2-pt shot from 9 ft
7:18.0,P. Beverley misses 2-pt shot from 7 ft,,51-46,,
7:16.0,Offensive rebound by M. Harrell,,51-46,,
7:16.0,,,51-46,,Personal foul by J. Hamilton (drawn by M. Harrell)
7:16.0,M. Harrell misses free throw 1 of 2,,51-46,,
7:16.0,Offensive rebound by Team,,51-46,,
7:16.0,M. Harrell makes free throw 2 of 2,1,52-46,,
7:06.0,,,52-46,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by P. Beverley,,52-46,,
6:59.0,E. Gordon makes 2-pt shot from 2 ft,2,54-46,,
6:53.0,,,54-46,,Brooklyn full timeout
6:53.0,,,54-46,,T. Booker enters the game for J. Hamilton
6:53.0,R. Anderson enters the game for S. Dekker,,54-46,,
6:47.0,,,54-46,,B. Bogdanovic misses 2-pt shot from 18 ft
6:46.0,Defensive rebound by R. Anderson,,54-46,,
6:32.0,E. Gordon makes 2-pt shot from 2 ft (assist by R. Anderson),2,56-46,,
6:17.0,,,56-46,,T. Booker misses 3-pt shot from 24 ft
6:16.0,,,56-46,,Offensive rebound by R. Hollis-Jefferson
6:03.0,,,56-49,3,I. Whitehead makes 3-pt shot from 25 ft (assist by T. Booker)
5:50.0,R. Anderson misses 2-pt shot from 12 ft,,56-49,,
5:49.0,,,56-49,,Defensive rebound by S. Kilpatrick
5:37.0,,,56-49,,B. Bogdanovic misses 3-pt shot from 28 ft
5:36.0,Defensive rebound by R. Anderson,,56-49,,
5:33.0,,,56-49,,C. LeVert enters the game for B. Bogdanovic
5:33.0,,,56-49,,J. Harris enters the game for S. Kilpatrick
5:33.0,T. Ariza enters the game for P. Beverley,,56-49,,
5:33.0,J. Harden enters the game for C. Brewer,,56-49,,
5:31.0,Jump ball: R. Anderson vs. T. Booker (R. Hollis-Jefferson gains possession),,,,Jump ball: R. Anderson vs. T. Booker (R. Hollis-Jefferson gains possession)
5:31.0,Turnover by R. Anderson (lost ball; steal by T. Booker),,56-49,,
5:21.0,,,56-49,,I. Whitehead misses 2-pt shot from 22 ft
5:18.0,Defensive rebound by J. Harden,,56-49,,
5:15.0,Turnover by J. Harden (lost ball),,56-49,,
5:07.0,,,56-51,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by I. Whitehead)
5:07.0,,,56-51,,Shooting foul by E. Gordon (drawn by R. Hollis-Jefferson)
5:07.0,,,56-52,1,R. Hollis-Jefferson makes free throw 1 of 1
5:00.0,E. Gordon makes 2-pt shot from 2 ft,2,58-52,,
5:00.0,,,58-52,,Shooting block foul by I. Whitehead (drawn by E. Gordon)
5:00.0,E. Gordon makes free throw 1 of 1,1,59-52,,
4:46.0,,,59-52,,T. Booker misses 2-pt shot from 11 ft
4:45.0,Defensive rebound by R. Anderson,,59-52,,
4:38.0,Shooting foul by J. Harris (drawn by M. Harrell),,59-52,,
4:38.0,M. Harrell misses free throw 1 of 2,,59-52,,
4:38.0,Offensive rebound by Team,,59-52,,
4:38.0,M. Harrell makes free throw 2 of 2,1,60-52,,
4:38.0,,,59-52,,S. Dinwiddie enters the game for I. Whitehead
4:25.0,,,60-52,,C. LeVert misses 2-pt shot from 13 ft
4:24.0,,,60-52,,Offensive rebound by J. Harris
4:18.0,,,60-54,2,T. Booker makes 2-pt shot from 1 ft
4:01.0,M. Harrell makes 2-pt shot from 3 ft (assist by E. Gordon),2,62-54,,
3:40.0,,,62-54,,J. Harris misses 3-pt shot from 26 ft
3:39.0,,,62-54,,Offensive rebound by Team
3:39.0,Loose ball foul by J. Harden (drawn by T. Booker),,62-54,,
3:39.0,,,62-55,1,T. Booker makes free throw 1 of 2
3:39.0,,,62-55,,T. Booker misses free throw 2 of 2
3:39.0,,,62-55,,Q. Acy enters the game for R. Hollis-Jefferson
3:38.0,Defensive rebound by J. Harden,,62-55,,
3:32.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,65-55,,
3:05.0,,,65-57,2,J. Harris makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
2:40.0,E. Gordon misses 3-pt shot from 24 ft,,65-57,,
2:39.0,Offensive rebound by E. Gordon,,65-57,,
2:39.0,Turnover by Team (shot clock),,65-57,,
2:39.0,Houston full timeout,,65-57,,
2:21.0,,,65-59,2,T. Booker makes 2-pt shot from 7 ft
2:05.0,Turnover by J. Harden (bad pass; steal by T. Booker),,65-59,,
2:00.0,,,65-61,2,T. Booker makes 2-pt shot from 2 ft
1:49.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,68-61,,
1:34.0,,,68-61,,C. LeVert misses 2-pt shot from 8 ft
1:33.0,Defensive rebound by M. Harrell,,68-61,,
1:20.0,E. Gordon misses 3-pt shot from 26 ft,,68-61,,
1:19.0,,,68-61,,Defensive rebound by T. Booker
1:08.0,,,68-61,,C. LeVert misses 3-pt shot from 26 ft
1:07.0,,,68-61,,Offensive rebound by S. Dinwiddie
1:02.0,,,68-63,2,J. Harris makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
0:50.0,J. Harden makes 3-pt shot from 25 ft,3,71-63,,
0:40.0,,,71-66,3,C. LeVert makes 3-pt shot from 23 ft (assist by J. Harris)
0:29.0,J. Harden makes 3-pt shot from 25 ft,3,74-66,,
0:06.0,,,74-66,,S. Dinwiddie misses 3-pt shot from 26 ft (block by M. Harrell)
0:05.0,,,74-66,,Offensive rebound by Team
0:05.0,,,74-66,,Turnover by Team (shot clock)
0:02.0,J. Harden misses 3-pt shot from 26 ft,,74-66,,
0:00.0,Offensive rebound by Team,,74-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,74-68,2,J. Hamilton makes 2-pt shot from 5 ft (assist by J. Harris)
11:21.0,Turnover by J. Harden (bad pass; steal by T. Booker),,74-68,,
11:17.0,,,74-68,,Turnover by T. Booker (bad pass)
11:08.0,R. Anderson misses 2-pt shot from 20 ft,,74-68,,
11:07.0,,,74-68,,Defensive rebound by B. Bogdanovic
10:57.0,,,74-68,,T. Booker misses 2-pt shot from 2 ft
10:56.0,Defensive rebound by T. Ariza,,74-68,,
10:50.0,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden),3,77-68,,
10:43.0,,,77-68,,J. Harris misses 3-pt shot from 25 ft
10:42.0,,,77-68,,Offensive rebound by J. Hamilton
10:37.0,Personal foul by T. Ariza (drawn by T. Booker),,77-68,,
10:37.0,,,77-68,,Offensive foul by S. Dinwiddie
10:37.0,,,77-68,,Turnover by S. Dinwiddie (offensive foul)
10:27.0,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden),2,79-68,,
10:12.0,,,79-68,,J. Harris misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by J. Harden,,79-68,,
9:55.0,Shooting foul by S. Dinwiddie (drawn by J. Harden),,79-68,,
9:55.0,J. Harden makes free throw 1 of 2,1,80-68,,
9:55.0,J. Harden makes free throw 2 of 2,1,81-68,,
9:41.0,,,81-68,,T. Booker misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by J. Harden,,81-68,,
9:31.0,J. Harden makes 3-pt shot from 25 ft,3,84-68,,
9:21.0,,,84-68,,J. Harris misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by P. Beverley,,84-68,,
9:12.0,J. Harden misses 3-pt shot from 25 ft,,84-68,,
9:12.0,,,84-68,,Defensive rebound by B. Bogdanovic
9:00.0,,,84-68,,J. Hamilton misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by T. Ariza,,84-68,,
8:49.0,R. Anderson makes 3-pt shot from 26 ft (assist by P. Beverley),3,87-68,,
8:47.0,,,87-68,,Brooklyn full timeout
8:27.0,,,87-71,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
8:05.0,M. Harrell misses 2-pt shot from 3 ft,,87-71,,
8:04.0,Offensive rebound by R. Anderson,,87-71,,
8:01.0,R. Anderson misses 2-pt shot from 1 ft,,87-71,,
8:00.0,Offensive rebound by R. Anderson,,87-71,,
7:54.0,T. Ariza misses 3-pt shot from 25 ft,,87-71,,
7:53.0,,,87-71,,Defensive rebound by J. Harris
7:38.0,,,87-71,,T. Booker misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by J. Harden,,87-71,,
7:32.0,M. Harrell misses 2-pt shot from 2 ft,,87-71,,
7:31.0,,,87-71,,Defensive rebound by J. Hamilton
7:25.0,Violation by T. Ariza (def goaltending),,87-71,,
7:25.0,,,87-73,2,J. Hamilton makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
7:18.0,Shooting foul by S. Dinwiddie (drawn by J. Harden),,87-73,,
7:18.0,J. Harden makes free throw 1 of 3,1,88-73,,
7:18.0,J. Harden makes free throw 2 of 3,1,89-73,,
7:18.0,J. Harden makes free throw 3 of 3,1,90-73,,
7:18.0,,,89-73,,R. Foye enters the game for S. Dinwiddie
7:18.0,,,89-73,,R. Hollis-Jefferson enters the game for T. Booker
7:09.0,,,90-73,,B. Bogdanovic misses 3-pt shot from 27 ft
7:08.0,Defensive rebound by J. Harden,,90-73,,
7:00.0,R. Anderson misses 2-pt shot from 2 ft,,90-73,,
6:59.0,Offensive rebound by R. Anderson,,90-73,,
6:58.0,R. Anderson misses 2-pt shot from 2 ft,,90-73,,
6:57.0,,,90-73,,Defensive rebound by R. Hollis-Jefferson
6:50.0,,,90-73,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Ariza)
6:38.0,P. Beverley misses 2-pt shot from 2 ft,,90-73,,
6:37.0,,,90-73,,Defensive rebound by J. Harris
6:24.0,,,90-73,,B. Bogdanovic misses 2-pt shot from 14 ft
6:23.0,Defensive rebound by J. Harden,,90-73,,
6:20.0,,,90-73,,S. Kilpatrick enters the game for B. Bogdanovic
6:20.0,N. Hilario enters the game for M. Harrell,,90-73,,
6:08.0,R. Anderson misses 3-pt shot from 26 ft,,90-73,,
6:07.0,Offensive rebound by N. Hilario,,90-73,,
6:00.0,J. Harden misses 2-pt shot from 6 ft,,90-73,,
5:59.0,,,90-73,,Defensive rebound by Team
5:59.0,Loose ball foul by J. Harden (drawn by J. Hamilton),,90-73,,
5:59.0,,,90-73,,Q. Acy enters the game for J. Hamilton
5:59.0,,,90-73,,C. LeVert enters the game for J. Harris
5:50.0,Personal foul by N. Hilario (drawn by S. Kilpatrick),,90-73,,
5:50.0,E. Gordon enters the game for P. Beverley,,90-73,,
5:39.0,,,90-73,,Q. Acy misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by T. Ariza,,90-73,,
5:25.0,Shooting foul by S. Kilpatrick (drawn by N. Hilario),,90-73,,
5:25.0,N. Hilario misses free throw 1 of 2,,90-73,,
5:25.0,Offensive rebound by Team,,90-73,,
5:25.0,N. Hilario misses free throw 2 of 2,,90-73,,
5:24.0,,,90-73,,Defensive rebound by R. Hollis-Jefferson
5:09.0,,,90-73,,C. LeVert misses 3-pt shot from 26 ft
5:09.0,,,90-73,,Offensive rebound by Team
5:09.0,Loose ball foul by J. Harden (drawn by Q. Acy),,90-73,,
5:04.0,,,90-73,,Turnover by S. Kilpatrick (bad pass)
4:49.0,Turnover by E. Gordon (lost ball; steal by C. LeVert),,90-73,,
4:49.0,,,90-73,,Brooklyn full timeout
4:41.0,,,90-73,,C. LeVert misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by J. Harden,,90-73,,
4:37.0,,,90-73,,Shooting block foul by Q. Acy (drawn by R. Anderson)
4:37.0,R. Anderson makes free throw 1 of 2,1,91-73,,
4:37.0,R. Anderson makes free throw 2 of 2,1,92-73,,
4:13.0,,,92-76,3,R. Foye makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
3:57.0,Turnover by R. Anderson (lost ball; steal by R. Hollis-Jefferson),,92-76,,
3:53.0,,,92-76,,Turnover by R. Hollis-Jefferson (lost ball)
3:53.0,S. Dekker enters the game for R. Anderson,,92-76,,
3:38.0,N. Hilario makes 2-pt shot at rim (assist by S. Dekker),2,94-76,,
3:24.0,,,94-78,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
3:08.0,Turnover by J. Harden (bad pass; steal by S. Kilpatrick),,94-78,,
3:02.0,,,94-80,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by R. Foye)
2:56.0,Turnover by J. Harden (bad pass; steal by R. Hollis-Jefferson),,94-80,,
2:51.0,Houston full timeout,,94-80,,
2:51.0,,,94-80,,L. Scola enters the game for R. Hollis-Jefferson
2:40.0,,,94-80,,Turnover by L. Scola (lost ball; steal by J. Harden)
2:35.0,,,94-80,,Shooting block foul by L. Scola (drawn by N. Hilario)
2:35.0,N. Hilario misses free throw 1 of 2,,94-80,,
2:35.0,Offensive rebound by Team,,94-80,,
2:35.0,N. Hilario makes free throw 2 of 2,1,95-80,,
2:16.0,,,95-82,2,Q. Acy makes 2-pt shot from 16 ft (assist by R. Foye)
2:07.0,E. Gordon makes 3-pt shot from 26 ft,3,98-82,,
1:52.0,,,98-82,,S. Kilpatrick misses 2-pt shot from 11 ft
1:50.0,Defensive rebound by J. Harden,,98-82,,
1:42.0,S. Dekker makes 2-pt shot at rim (assist by N. Hilario),2,100-82,,
1:23.0,,,100-82,,Turnover by R. Foye (bad pass; steal by T. Ariza)
1:19.0,S. Dekker makes 2-pt shot at rim (assist by J. Harden),2,102-82,,
1:00.0,,,102-85,3,L. Scola makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
0:48.0,N. Hilario misses 2-pt shot from 3 ft,,102-85,,
0:46.0,,,102-85,,Defensive rebound by L. Scola
0:39.0,,,102-88,3,R. Foye makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
0:28.0,J. Harden misses 3-pt shot from 27 ft,,102-88,,
0:27.0,,,102-88,,Defensive rebound by Q. Acy
0:20.0,Personal foul by J. Harden (drawn by C. LeVert),,102-88,,
0:20.0,,,102-89,1,C. LeVert makes free throw 1 of 2
0:20.0,,,102-90,1,C. LeVert makes free throw 2 of 2
0:20.0,,,102-89,,T. Booker enters the game for L. Scola
0:01.0,J. Harden makes 2-pt shot from 19 ft,2,104-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,P. Beverley makes 2-pt shot from 3 ft,2,106-90,,
11:24.0,,,106-90,,Shooting foul by S. Dekker (drawn by Q. Acy)
11:24.0,,,106-91,1,Q. Acy makes free throw 1 of 2
11:24.0,,,106-92,1,Q. Acy makes free throw 2 of 2
11:12.0,E. Gordon makes 3-pt shot from 27 ft (assist by P. Beverley),3,109-92,,
11:01.0,,,109-92,,Offensive foul by R. Foye
11:01.0,,,109-92,,Turnover by R. Foye (offensive foul)
10:52.0,S. Dekker makes 2-pt shot from 2 ft,2,111-92,,
10:52.0,Shooting foul by Q. Acy (drawn by S. Dekker),,111-92,,
10:52.0,S. Dekker misses free throw 1 of 1,,111-92,,
10:51.0,,,111-92,,Defensive rebound by T. Booker
10:36.0,,,111-92,,R. Foye misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by M. Harrell,,111-92,,
10:30.0,M. Harrell makes 2-pt shot from 1 ft (assist by P. Beverley),2,113-92,,
10:00.0,,,113-92,,S. Kilpatrick misses 3-pt shot from 25 ft
9:59.0,,,113-92,,Offensive rebound by T. Booker
9:58.0,,,113-92,,T. Booker misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by M. Harrell,,113-92,,
9:51.0,C. Brewer misses 3-pt shot from 25 ft,,113-92,,
9:50.0,,,113-92,,Defensive rebound by Team
9:50.0,Loose ball foul by S. Dekker (drawn by R. Foye),,113-92,,
9:50.0,,,113-92,,I. Whitehead enters the game for R. Foye
9:35.0,,,113-95,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by I. Whitehead)
9:23.0,E. Gordon makes 2-pt shot from 3 ft (assist by P. Beverley),2,115-95,,
9:09.0,Personal foul by C. Brewer (drawn by C. LeVert),,115-95,,
9:09.0,,,115-95,,B. Bogdanovic enters the game for C. LeVert
