time,Chicago,pts.away,score,pts.home,New Orleans
5:34.0,,,17-10,2,D. Cousins makes 2-pt shot from 4 ft (assist by E. Moore)
5:12.0,R. Lopez misses 2-pt shot from 3 ft,,17-10,,
5:10.0,,,17-10,,Defensive rebound by D. Cousins
5:03.0,,,17-10,,A. Davis misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by R. Rondo,,17-10,,
4:55.0,Shooting foul by J. Holiday (drawn by J. Butler),,17-10,,
4:55.0,J. Butler makes free throw 1 of 2,1,18-10,,
4:55.0,J. Butler makes free throw 2 of 2,1,19-10,,
4:55.0,,,18-10,,T. Frazier enters the game for J. Holiday
4:38.0,,,19-12,2,A. Davis makes 2-pt shot from 6 ft (assist by E. Moore)
4:21.0,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo),2,21-12,,
4:09.0,,,21-14,2,D. Cousins makes 2-pt shot from 1 ft
3:59.0,N. Mirotic misses 2-pt shot from 2 ft,,21-14,,
3:58.0,,,21-14,,Defensive rebound by D. Cousins
3:50.0,,,21-16,2,A. Davis makes 2-pt shot from 1 ft (assist by S. Hill)
3:50.0,Chicago full timeout,,21-16,,
3:50.0,B. Portis enters the game for N. Mirotic,,21-16,,
3:34.0,Turnover by D. Valentine (lost ball; steal by A. Davis),,21-16,,
3:33.0,Personal foul by D. Valentine (drawn by A. Davis),,21-16,,
3:16.0,,,21-16,,S. Hill misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by B. Portis,,21-16,,
3:10.0,R. Rondo misses 2-pt shot from 2 ft,,21-16,,
3:08.0,,,21-16,,Defensive rebound by D. Cousins
3:02.0,,,21-16,,D. Cousins misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by B. Portis,,21-16,,
2:54.0,J. Butler makes 2-pt shot from 7 ft,2,23-16,,
2:41.0,,,23-19,3,D. Cousins makes 3-pt shot from 25 ft (assist by A. Davis)
2:19.0,R. Rondo misses 3-pt shot from 22 ft,,23-19,,
2:18.0,,,23-19,,Defensive rebound by A. Davis
2:10.0,,,23-21,2,S. Hill makes 2-pt shot from 1 ft (assist by T. Frazier)
1:59.0,R. Rondo misses 2-pt shot from 2 ft (block by E. Moore),,23-21,,
1:57.0,,,23-21,,Defensive rebound by T. Frazier
1:51.0,,,23-21,,E. Moore misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by B. Portis,,23-21,,
1:43.0,J. Butler makes 2-pt shot from 2 ft,2,25-21,,
1:29.0,,,25-21,,D. Cousins misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by D. Valentine,,25-21,,
1:21.0,R. Lopez misses 2-pt shot from 3 ft (block by A. Davis),,25-21,,
1:21.0,Offensive rebound by Team,,25-21,,
1:21.0,,,25-21,,D. Cunningham enters the game for D. Cousins
1:21.0,M. Carter-Williams enters the game for R. Rondo,,25-21,,
1:12.0,B. Portis makes 2-pt shot from 21 ft (assist by J. Butler),2,27-21,,
1:00.0,,,27-21,,T. Frazier misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by B. Portis,,27-21,,
0:50.0,Shooting foul by D. Cunningham (drawn by R. Lopez),,27-21,,
0:50.0,R. Lopez misses free throw 1 of 2,,27-21,,
0:50.0,Offensive rebound by Team,,27-21,,
0:50.0,R. Lopez makes free throw 2 of 2,1,28-21,,
0:37.0,,,28-21,,A. Davis misses 2-pt shot from 22 ft
0:37.0,Defensive rebound by B. Portis,,28-21,,
0:20.0,B. Portis misses 2-pt shot from 8 ft,,28-21,,
0:19.0,Offensive rebound by D. Valentine,,28-21,,
0:00.0,M. Carter-Williams misses 3-pt shot from 25 ft,,28-21,,
0:00.0,Offensive rebound by Team,,28-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-21,,A. Davis misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by B. Portis,,28-21,,
11:28.0,D. Valentine makes 2-pt shot from 2 ft,2,30-21,,
11:06.0,,,30-21,,J. Crawford misses 2-pt shot from 19 ft
11:04.0,,,30-21,,Offensive rebound by A. Davis
11:01.0,,,30-21,,Turnover by A. Davis (bad pass; steal by P. Zipser)
10:53.0,J. Lauvergne makes 2-pt shot at rim (assist by M. Carter-Williams),2,32-21,,
10:34.0,,,32-21,,E. Moore misses 2-pt shot from 3 ft (block by D. Valentine)
10:33.0,Defensive rebound by B. Portis,,32-21,,
10:26.0,D. Valentine makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,35-21,,
10:24.0,,,35-21,,New Orleans full timeout
10:24.0,,,35-21,,J. Holiday enters the game for Q. Cook
10:24.0,,,35-21,,D. Cousins enters the game for A. Davis
10:07.0,,,35-23,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Crawford)
9:50.0,D. Valentine misses 3-pt shot from 26 ft,,35-23,,
9:50.0,,,35-23,,Defensive rebound by D. Cousins
9:37.0,,,35-23,,Turnover by D. Cousins (bad pass; steal by M. Carter-Williams)
9:32.0,Turnover by M. Carter-Williams (bad pass; steal by E. Moore),,35-23,,
9:29.0,Personal foul by J. Lauvergne (drawn by D. Cousins),,35-23,,
9:16.0,,,35-23,,Shooting foul by M. Carter-Williams (drawn by J. Holiday)
9:16.0,,,35-24,1,J. Holiday makes free throw 1 of 2
9:16.0,,,35-25,1,J. Holiday makes free throw 2 of 2
9:00.0,B. Portis makes 2-pt shot from 23 ft (assist by J. Lauvergne),2,37-25,,
8:50.0,Def 3 sec tech foul by D. Valentine,,37-25,,
8:50.0,,,37-26,1,J. Holiday makes technical free throw
8:37.0,,,37-29,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
8:19.0,B. Portis makes 3-pt shot from 26 ft (assist by M. Carter-Williams),3,40-29,,
8:05.0,,,40-32,3,D. Cunningham makes 3-pt shot from 26 ft (assist by J. Holiday)
7:50.0,P. Zipser misses 2-pt shot from 21 ft,,40-32,,
7:49.0,,,40-32,,Defensive rebound by D. Cousins
7:37.0,,,40-32,,D. Cunningham misses 2-pt shot from 6 ft
7:37.0,,,40-32,,Offensive rebound by E. Moore
7:32.0,,,40-32,,J. Crawford misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by M. Carter-Williams,,40-32,,
7:29.0,Shooting foul by D. Cousins (drawn by J. Lauvergne),,40-32,,
7:29.0,J. Lauvergne makes free throw 1 of 2,1,41-32,,
7:29.0,J. Lauvergne makes free throw 2 of 2,1,42-32,,
7:11.0,,,42-32,,J. Holiday misses 2-pt shot from 16 ft
7:10.0,Defensive rebound by P. Zipser,,42-32,,
6:54.0,Turnover by P. Zipser (lost ball; steal by J. Crawford),,42-32,,
6:49.0,,,42-34,2,J. Crawford makes 2-pt shot from 1 ft (assist by J. Holiday)
6:49.0,Chicago full timeout,,42-34,,
6:49.0,J. Butler enters the game for P. Zipser,,42-34,,
6:49.0,R. Rondo enters the game for M. Carter-Williams,,42-34,,
6:49.0,,,42-34,,A. Davis enters the game for D. Cunningham
6:31.0,Turnover by J. Lauvergne (lost ball; steal by A. Davis),,42-34,,
6:24.0,,,42-36,2,J. Crawford makes 2-pt shot from 10 ft
6:05.0,B. Portis makes 2-pt shot from 16 ft (assist by J. Lauvergne),2,44-36,,
5:44.0,R. Lopez enters the game for J. Lauvergne,,44-36,,
5:39.0,,,44-38,2,A. Davis makes 2-pt shot from 13 ft (assist by E. Moore)
5:20.0,R. Lopez misses 2-pt shot from 20 ft,,44-38,,
5:19.0,Offensive rebound by J. Butler,,44-38,,
5:17.0,Shooting foul by A. Davis (drawn by J. Butler),,44-38,,
5:17.0,J. Butler misses free throw 1 of 2,,44-38,,
5:17.0,Offensive rebound by Team,,44-38,,
5:17.0,J. Butler makes free throw 2 of 2,1,45-38,,
5:05.0,,,45-38,,Shooting foul by B. Portis (drawn by A. Davis)
5:05.0,,,45-39,1,A. Davis makes free throw 1 of 2
5:05.0,,,45-40,1,A. Davis makes free throw 2 of 2
4:52.0,R. Lopez makes 2-pt shot from 3 ft (assist by J. Butler),2,47-40,,
4:37.0,,,47-40,,Turnover by A. Davis (lost ball; steal by J. Butler)
4:28.0,J. Butler makes 2-pt shot from 21 ft (assist by R. Rondo),2,49-40,,
4:18.0,,,49-40,,A. Davis misses 2-pt shot from 2 ft
4:17.0,Defensive rebound by B. Portis,,49-40,,
4:12.0,B. Portis makes 2-pt shot from 8 ft (assist by R. Rondo),2,51-40,,
4:10.0,,,51-40,,New Orleans full timeout
4:10.0,,,51-40,,S. Hill enters the game for E. Moore
3:56.0,,,51-40,,D. Cousins misses 2-pt shot from 13 ft
3:55.0,Defensive rebound by R. Rondo,,51-40,,
3:50.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo),3,54-40,,
3:33.0,,,54-40,,J. Holiday misses 2-pt shot from 3 ft
3:32.0,Defensive rebound by R. Lopez,,54-40,,
3:25.0,Turnover by R. Rondo (back court),,54-40,,
3:14.0,,,54-40,,J. Holiday misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by J. Butler,,54-40,,
3:03.0,R. Rondo misses 3-pt shot from 25 ft,,54-40,,
3:02.0,,,54-40,,Defensive rebound by A. Davis
2:48.0,,,54-40,,A. Davis misses 2-pt shot from 2 ft
2:48.0,,,54-40,,Offensive rebound by Team
2:37.0,,,54-40,,J. Crawford misses 3-pt shot from 25 ft
2:36.0,,,54-40,,Offensive rebound by A. Davis
2:33.0,,,54-40,,A. Davis misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by Team,,54-40,,
2:15.0,J. Butler makes 2-pt shot from 15 ft,2,56-40,,
1:55.0,,,56-40,,Shooting foul by R. Rondo (drawn by A. Davis)
1:55.0,,,56-41,1,A. Davis makes free throw 1 of 2
1:55.0,,,56-42,1,A. Davis makes free throw 2 of 2
1:38.0,J. Butler makes 2-pt shot from 16 ft,2,58-42,,
1:24.0,,,58-44,2,D. Cousins makes 2-pt shot from 2 ft
1:10.0,D. Valentine misses 3-pt shot from 25 ft,,58-44,,
1:09.0,,,58-44,,Defensive rebound by D. Cousins
1:00.0,,,58-44,,Turnover by D. Cousins (bad pass; steal by D. Valentine)
0:55.0,D. Valentine misses 2-pt shot from 2 ft,,58-44,,
0:55.0,Offensive rebound by B. Portis,,58-44,,
0:55.0,B. Portis makes 2-pt shot from 2 ft,2,60-44,,
0:47.0,,,60-44,,New Orleans full timeout
0:47.0,,,60-44,,D. Cunningham enters the game for A. Davis
0:40.0,,,60-44,,D. Cousins misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by J. Butler,,60-44,,
0:27.0,J. Butler makes 3-pt shot from 26 ft (assist by R. Rondo),3,63-44,,
0:13.0,,,63-47,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Crawford)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,63-50,3,J. Holiday makes 3-pt shot from 26 ft (assist by T. Frazier)
11:23.0,R. Rondo misses 2-pt shot from 3 ft,,63-50,,
11:23.0,,,63-50,,Defensive rebound by D. Cousins
11:11.0,,,63-53,3,A. Davis makes 3-pt shot from 25 ft (assist by T. Frazier)
10:56.0,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler),3,66-53,,
10:47.0,,,66-53,,T. Frazier misses 2-pt shot from 2 ft (block by N. Mirotic)
10:44.0,,,66-53,,Offensive rebound by T. Frazier
10:40.0,,,66-53,,S. Hill misses 2-pt shot from 2 ft (block by N. Mirotic)
10:37.0,Defensive rebound by P. Zipser,,66-53,,
10:23.0,P. Zipser misses 3-pt shot from 25 ft,,66-53,,
10:22.0,,,66-53,,Defensive rebound by A. Davis
10:00.0,,,66-53,,Turnover by D. Cousins (lost ball; steal by R. Rondo)
9:55.0,R. Rondo makes 2-pt shot from 3 ft,2,68-53,,
9:42.0,Personal foul by R. Rondo (drawn by A. Davis),,68-53,,
9:34.0,,,68-53,,S. Hill misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by N. Mirotic,,68-53,,
9:13.0,R. Rondo makes 2-pt shot at rim,2,70-53,,
8:51.0,,,70-53,,Turnover by J. Holiday (bad pass; steal by R. Rondo)
8:44.0,J. Butler misses 2-pt shot from 2 ft,,70-53,,
8:39.0,Offensive rebound by J. Butler,,70-53,,
8:39.0,J. Butler makes 2-pt shot from 2 ft,2,72-53,,
8:29.0,,,72-55,2,D. Cousins makes 2-pt shot at rim (assist by T. Frazier)
8:07.0,P. Zipser makes 2-pt shot from 8 ft,2,74-55,,
7:48.0,Def 3 sec tech foul by R. Lopez,,74-55,,
7:48.0,,,74-56,1,A. Davis makes technical free throw
7:39.0,,,74-58,2,A. Davis makes 2-pt shot from 1 ft (assist by S. Hill)
7:27.0,N. Mirotic misses 3-pt shot from 25 ft,,74-58,,
7:26.0,Offensive rebound by R. Lopez,,74-58,,
7:15.0,R. Lopez misses 2-pt shot from 16 ft,,74-58,,
7:14.0,,,74-58,,Defensive rebound by A. Davis
7:11.0,,,74-58,,Turnover by A. Davis (bad pass; steal by R. Rondo)
7:11.0,N. Mirotic misses 2-pt shot from 2 ft,,74-58,,
7:11.0,,,74-58,,Defensive rebound by T. Frazier
7:11.0,Personal foul by R. Rondo (drawn by T. Frazier),,74-58,,
6:56.0,,,74-60,2,J. Holiday makes 2-pt shot from 2 ft
6:44.0,N. Mirotic misses 3-pt shot from 26 ft,,74-60,,
6:44.0,,,74-60,,Defensive rebound by D. Cousins
6:44.0,Personal foul by P. Zipser (drawn by D. Cousins),,74-60,,
6:36.0,Shooting block foul by N. Mirotic (drawn by A. Davis),,74-60,,
6:36.0,,,74-61,1,A. Davis makes free throw 1 of 2
6:36.0,,,74-61,,A. Davis misses free throw 2 of 2
6:34.0,Defensive rebound by N. Mirotic,,74-61,,
6:19.0,R. Rondo misses 2-pt shot from 2 ft (block by D. Cousins),,74-61,,
6:18.0,,,74-61,,Defensive rebound by D. Cousins
6:04.0,,,74-61,,J. Holiday misses 2-pt shot from 2 ft (block by J. Butler)
6:04.0,Defensive rebound by R. Lopez,,74-61,,
6:04.0,Jump ball: J. Holiday vs. R. Lopez (R. Rondo gains possession),,,,Jump ball: J. Holiday vs. R. Lopez (R. Rondo gains possession)
5:57.0,J. Butler makes 2-pt shot from 2 ft (assist by R. Rondo),2,76-61,,
5:41.0,,,76-63,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Frazier)
5:17.0,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Rondo),3,79-63,,
5:01.0,,,79-66,3,T. Frazier makes 3-pt shot from 23 ft (assist by D. Cousins)
4:52.0,Turnover by N. Mirotic (bad pass; steal by S. Hill),,79-66,,
4:46.0,,,79-66,,T. Frazier misses 3-pt shot from 26 ft
4:44.0,Defensive rebound by R. Rondo,,79-66,,
4:19.0,P. Zipser misses 2-pt shot from 19 ft,,79-66,,
4:18.0,,,79-66,,Defensive rebound by D. Cousins
4:06.0,,,79-69,3,D. Cousins makes 3-pt shot from 25 ft
4:06.0,Chicago full timeout,,79-69,,
4:06.0,D. Valentine enters the game for P. Zipser,,79-69,,
4:06.0,,,79-69,,D. Cunningham enters the game for D. Cousins
4:06.0,,,79-69,,E. Moore enters the game for T. Frazier
4:06.0,Violation by Team (jump ball),,79-69,,
3:52.0,J. Butler misses 2-pt shot from 16 ft,,79-69,,
3:52.0,,,79-69,,Defensive rebound by D. Cunningham
3:35.0,Personal foul by D. Valentine (drawn by E. Moore),,79-69,,
3:35.0,,,79-70,1,E. Moore makes free throw 1 of 2
3:35.0,,,79-71,1,E. Moore makes free throw 2 of 2
3:24.0,,,79-71,,Shooting block foul by A. Davis (drawn by J. Butler)
3:24.0,J. Butler makes free throw 1 of 2,1,80-71,,
3:24.0,J. Butler makes free throw 2 of 2,1,81-71,,
3:24.0,J. Lauvergne enters the game for N. Mirotic,,80-71,,
3:24.0,B. Portis enters the game for R. Lopez,,80-71,,
3:16.0,Shooting block foul by J. Lauvergne (drawn by A. Davis),,81-71,,
3:16.0,,,81-72,1,A. Davis makes free throw 1 of 2
3:16.0,,,81-73,1,A. Davis makes free throw 2 of 2
2:58.0,J. Butler misses 2-pt shot from 16 ft,,81-73,,
2:58.0,,,81-73,,Defensive rebound by E. Moore
2:49.0,,,81-73,,E. Moore misses 2-pt shot from 12 ft
2:48.0,,,81-73,,Offensive rebound by S. Hill
2:45.0,,,81-73,,S. Hill misses 2-pt shot from 2 ft
2:44.0,Defensive rebound by B. Portis,,81-73,,
2:32.0,J. Lauvergne misses 2-pt shot from 2 ft,,81-73,,
2:29.0,Offensive rebound by J. Lauvergne,,81-73,,
2:29.0,Turnover by J. Lauvergne (offensive goaltending),,81-73,,
2:29.0,,,81-73,,New Orleans full timeout
2:29.0,M. Carter-Williams enters the game for R. Rondo,,81-73,,
2:15.0,,,81-73,,E. Moore misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by J. Lauvergne,,81-73,,
1:58.0,Turnover by D. Valentine (bad pass; steal by D. Cunningham),,81-73,,
1:56.0,Personal foul by M. Carter-Williams (drawn by J. Holiday),,81-73,,
1:56.0,,,81-74,1,J. Holiday makes free throw 1 of 2
1:56.0,,,81-75,1,J. Holiday makes free throw 2 of 2
1:31.0,J. Butler makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,84-75,,
1:19.0,,,84-75,,A. Davis misses 2-pt shot from 4 ft
1:17.0,Defensive rebound by M. Carter-Williams,,84-75,,
1:13.0,Turnover by J. Butler (traveling),,84-75,,
1:13.0,,,84-75,,D. Cousins enters the game for A. Davis
0:57.0,,,84-77,2,S. Hill makes 2-pt shot at rim (assist by J. Holiday)
0:47.0,J. Butler makes 2-pt shot from 1 ft,2,86-77,,
0:47.0,Shooting foul by D. Cousins (drawn by J. Butler),,86-77,,
0:47.0,J. Butler makes free throw 1 of 1,1,87-77,,
0:39.0,,,87-77,,J. Holiday misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by M. Carter-Williams,,87-77,,
0:29.0,J. Butler misses 2-pt shot from 22 ft,,87-77,,
0:28.0,,,87-77,,Defensive rebound by S. Hill
0:15.0,Personal foul by J. Lauvergne (drawn by D. Cousins),,87-77,,
0:15.0,,,87-78,1,D. Cousins makes free throw 1 of 2
0:15.0,,,87-79,1,D. Cousins makes free throw 2 of 2
0:00.0,B. Portis misses 3-pt shot from 25 ft,,87-79,,
0:00.0,,,87-79,,Defensive rebound by D. Cousins
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,87-79,,Personal foul by D. Cousins (drawn by M. Carter-Williams)
11:41.0,B. Portis misses 2-pt shot from 11 ft,,87-79,,
11:40.0,,,87-79,,Defensive rebound by D. Cousins
11:15.0,,,87-79,,D. Cousins misses 2-pt shot from 12 ft
11:14.0,Defensive rebound by J. Lauvergne,,87-79,,
11:06.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,89-79,,
10:45.0,,,89-79,,Turnover by T. Frazier (bad pass)
10:26.0,B. Portis makes 2-pt shot from 8 ft,2,91-79,,
10:13.0,,,91-79,,Shooting foul by D. Valentine (drawn by E. Moore)
10:13.0,,,91-80,1,E. Moore makes free throw 1 of 2
10:13.0,,,91-81,1,E. Moore makes free throw 2 of 2
10:01.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,94-81,,
9:48.0,,,94-81,,E. Moore misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by J. Lauvergne,,94-81,,
9:40.0,D. Valentine makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,97-81,,
9:36.0,,,97-81,,New Orleans full timeout
9:36.0,,,97-81,,A. Davis enters the game for D. Cunningham
9:36.0,,,97-81,,J. Holiday enters the game for T. Frazier
9:29.0,Personal foul by P. Zipser (drawn by A. Davis),,97-81,,
9:15.0,,,97-81,,J. Crawford misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by P. Zipser,,97-81,,
9:00.0,M. Carter-Williams misses 2-pt shot from 7 ft,,97-81,,
8:59.0,,,97-81,,Defensive rebound by D. Cousins
8:58.0,,,97-81,,Turnover by D. Cousins (offensive foul)
8:58.0,,,97-81,,Offensive charge foul by D. Cousins
8:36.0,B. Portis makes 3-pt shot from 23 ft (assist by D. Valentine),3,100-81,,
8:30.0,,,100-81,,Shooting foul by M. Carter-Williams (drawn by J. Crawford)
8:30.0,Technical foul by M. Carter-Williams (drawn by J. Crawford),,100-81,,
8:30.0,,,100-82,1,J. Crawford makes technical free throw
8:30.0,,,100-83,1,J. Crawford makes free throw 1 of 2
8:30.0,,,100-84,1,J. Crawford makes free throw 2 of 2
8:16.0,B. Portis misses 2-pt shot from 13 ft,,100-84,,
8:16.0,,,100-84,,Defensive rebound by A. Davis
7:59.0,,,100-84,,Shooting foul by B. Portis (drawn by A. Davis)
7:59.0,,,100-85,1,A. Davis makes free throw 1 of 2
7:59.0,,,100-86,1,A. Davis makes free throw 2 of 2
7:59.0,J. Butler enters the game for D. Valentine,,100-85,,
7:59.0,,,100-85,,S. Hill enters the game for E. Moore
7:34.0,J. Butler misses 2-pt shot from 20 ft,,100-86,,
7:34.0,,,100-86,,Defensive rebound by D. Cousins
7:20.0,,,100-88,2,J. Crawford makes 2-pt shot from 5 ft (assist by A. Davis)
7:20.0,,,100-88,,Shooting foul by M. Carter-Williams (drawn by J. Crawford)
7:20.0,,,100-89,1,J. Crawford makes free throw 1 of 1
7:20.0,R. Rondo enters the game for M. Carter-Williams,,100-88,,
7:00.0,R. Rondo makes 2-pt shot from 2 ft (assist by P. Zipser),2,102-89,,
6:52.0,,,102-91,2,J. Crawford makes 2-pt shot from 3 ft
6:42.0,J. Lauvergne makes 3-pt shot from 26 ft (assist by P. Zipser),3,105-91,,
6:21.0,,,105-91,,J. Crawford misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by J. Butler,,105-91,,
5:57.0,R. Rondo misses 2-pt shot from 13 ft,,105-91,,
5:56.0,,,105-91,,Defensive rebound by Team
5:56.0,Official timeout,,105-91,,
5:46.0,,,105-93,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Crawford)
5:46.0,,,105-93,,Shooting foul by B. Portis (drawn by A. Davis)
5:46.0,,,105-94,1,A. Davis makes free throw 1 of 1
5:26.0,J. Butler misses 2-pt shot from 4 ft,,105-94,,
5:26.0,,,105-94,,Defensive rebound by A. Davis
5:18.0,,,105-94,,J. Crawford misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by B. Portis,,105-94,,
5:12.0,J. Butler misses 2-pt shot from 5 ft,,105-94,,
5:09.0,,,105-94,,Defensive rebound by D. Cousins
5:00.0,,,105-94,,Offensive foul by D. Cousins
5:00.0,,,105-94,,Turnover by D. Cousins (offensive foul)
4:43.0,B. Portis makes 3-pt shot from 24 ft (assist by J. Butler),3,108-94,,
4:29.0,,,108-94,,Shooting foul by R. Rondo (drawn by D. Cousins)
4:29.0,,,108-95,1,D. Cousins makes free throw 1 of 2
4:29.0,,,108-96,1,D. Cousins makes free throw 2 of 2
4:14.0,B. Portis misses 3-pt shot from 27 ft,,108-96,,
4:13.0,,,108-96,,Defensive rebound by S. Hill
4:08.0,,,108-96,,Shooting foul by B. Portis (drawn by D. Cousins)
4:08.0,,,108-97,1,D. Cousins makes free throw 1 of 2
4:08.0,,,108-98,1,D. Cousins makes free throw 2 of 2
3:46.0,J. Butler misses 2-pt shot from 2 ft,,108-98,,
3:45.0,Offensive rebound by J. Lauvergne,,108-98,,
3:45.0,J. Lauvergne makes 2-pt shot from 2 ft,2,110-98,,
3:39.0,,,110-98,,A. Davis misses 3-pt shot from 24 ft
3:37.0,,,110-98,,Offensive rebound by D. Cousins
3:36.0,,,110-100,2,D. Cousins makes 2-pt shot at rim
3:36.0,Chicago full timeout,,110-100,,
3:16.0,B. Portis misses 2-pt shot from 17 ft,,110-100,,
3:15.0,,,110-100,,Defensive rebound by D. Cousins
