time,Sacramento,pts.away,score,pts.home,Indiana
0:00.0,,,64-55,3,P. George makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,64-55,,Turnover by C. Miles (dbl dribble)
11:15.0,D. Cousins makes 2-pt shot from 6 ft (assist by D. Collison),2,66-55,,
11:06.0,,,66-55,,Turnover by P. George (bad pass)
10:43.0,,,66-55,,Violation by M. Turner (kicked ball)
10:34.0,A. Afflalo makes 2-pt shot from 16 ft,2,68-55,,
10:18.0,,,68-55,,P. George misses 2-pt shot from 21 ft
10:17.0,Defensive rebound by K. Koufos,,68-55,,
10:08.0,,,68-55,,Personal foul by P. George (drawn by A. Afflalo)
10:00.0,Shooting foul by M. Turner (drawn by D. Cousins),,68-55,,
10:00.0,D. Cousins makes free throw 1 of 2,1,69-55,,
10:00.0,D. Cousins misses free throw 2 of 2,,69-55,,
10:00.0,,,69-55,,Defensive rebound by T. Young
9:43.0,,,69-58,3,C. Miles makes 3-pt shot from 26 ft (assist by T. Young)
9:24.0,G. Temple misses 2-pt shot from 21 ft,,69-58,,
9:23.0,Offensive rebound by K. Koufos,,69-58,,
9:05.0,Shooting foul by T. Young (drawn by K. Koufos),,69-58,,
9:05.0,K. Koufos misses free throw 1 of 2,,69-58,,
9:05.0,Offensive rebound by Team,,69-58,,
9:05.0,K. Koufos misses free throw 2 of 2,,69-58,,
9:05.0,,,69-58,,Defensive rebound by T. Young
8:52.0,Personal foul by D. Cousins (drawn by T. Young),,69-58,,
8:43.0,,,69-58,,C. Miles misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by D. Cousins,,69-58,,
8:29.0,Turnover by D. Cousins (lost ball; steal by T. Young),,69-58,,
8:18.0,,,69-58,,C. Miles misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by D. Cousins,,69-58,,
8:12.0,D. Collison makes 2-pt shot from 4 ft (assist by G. Temple),2,71-58,,
8:12.0,,,71-58,,Indiana full timeout
8:12.0,W. Cauley-Stein enters the game for K. Koufos,,71-58,,
8:00.0,,,71-58,,T. Young misses 2-pt shot from 4 ft
7:59.0,,,71-58,,Offensive rebound by J. Teague
7:54.0,,,71-58,,Shooting foul by D. Collison (drawn by J. Teague)
7:54.0,,,71-59,1,J. Teague makes free throw 1 of 2
7:54.0,,,71-60,1,J. Teague makes free throw 2 of 2
7:34.0,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison),2,73-60,,
7:34.0,Shooting foul by M. Turner (drawn by D. Cousins),,73-60,,
7:34.0,D. Cousins makes free throw 1 of 1,1,74-60,,
7:24.0,,,74-60,,J. Teague misses 2-pt shot from 4 ft
7:23.0,Defensive rebound by D. Cousins,,74-60,,
7:09.0,Shooting foul by C. Miles (drawn by W. Cauley-Stein),,74-60,,
7:09.0,W. Cauley-Stein makes free throw 1 of 2,1,75-60,,
7:09.0,W. Cauley-Stein makes free throw 2 of 2,1,76-60,,
6:48.0,Personal foul by W. Cauley-Stein (drawn by P. George),,76-60,,
6:35.0,,,76-60,,P. George misses 3-pt shot from 26 ft
6:35.0,,,76-60,,Offensive rebound by Team
6:35.0,Loose ball foul by G. Temple (drawn by C. Miles),,76-60,,
6:27.0,,,76-62,2,T. Young makes 2-pt shot from 3 ft
6:08.0,Shooting foul by M. Turner (drawn by D. Cousins),,76-62,,
6:08.0,D. Cousins makes free throw 1 of 2,1,77-62,,
6:08.0,D. Cousins makes free throw 2 of 2,1,78-62,,
5:55.0,,,78-62,,P. George misses 2-pt shot from 21 ft
5:55.0,,,78-62,,Offensive rebound by M. Turner
5:39.0,,,78-62,,Shooting foul by A. Afflalo (drawn by P. George)
5:39.0,,,78-63,1,P. George makes free throw 1 of 2
5:39.0,,,78-64,1,P. George makes free throw 2 of 2
5:39.0,,,78-63,,L. Allen enters the game for T. Young
5:14.0,D. Cousins misses 3-pt shot from 26 ft,,78-64,,
5:14.0,,,78-64,,Defensive rebound by J. Teague
5:05.0,,,78-66,2,J. Teague makes 2-pt shot from 10 ft
4:52.0,Turnover by D. Collison (bad pass; steal by L. Allen),,78-66,,
4:46.0,,,78-68,2,L. Allen makes 2-pt shot from 4 ft (assist by J. Teague)
4:37.0,Sacramento full timeout,,78-68,,
4:37.0,T. Lawson enters the game for D. Collison,,78-68,,
4:29.0,Turnover by D. Cousins (bad pass; steal by M. Turner),,78-68,,
4:05.0,,,78-71,3,C. Miles makes 3-pt shot from 23 ft
3:47.0,,,78-71,,Shooting block foul by L. Allen (drawn by G. Temple)
3:47.0,G. Temple makes free throw 1 of 2,1,79-71,,
3:47.0,G. Temple makes free throw 2 of 2,1,80-71,,
3:33.0,,,80-73,2,L. Allen makes 2-pt shot from 3 ft (assist by J. Teague)
3:14.0,Turnover by T. Lawson (bad pass; steal by M. Turner),,80-73,,
3:09.0,,,80-73,,Turnover by J. Teague (lost ball; steal by G. Temple)
2:58.0,Offensive foul by D. Cousins,,80-73,,
2:58.0,Turnover by D. Cousins (offensive foul),,80-73,,
2:58.0,M. Barnes enters the game for A. Afflalo,,80-73,,
2:39.0,Personal foul by G. Temple (drawn by P. George),,80-73,,
2:39.0,,,80-74,1,P. George makes free throw 1 of 2
2:39.0,,,80-75,1,P. George makes free throw 2 of 2
2:39.0,,,80-74,,A. Jefferson enters the game for M. Turner
2:39.0,,,80-74,,M. Ellis enters the game for C. Miles
2:29.0,Shooting foul by J. Teague (drawn by T. Lawson),,80-75,,
2:29.0,T. Lawson makes free throw 1 of 2,1,81-75,,
2:29.0,T. Lawson makes free throw 2 of 2,1,82-75,,
2:29.0,,,81-75,,A. Brooks enters the game for J. Teague
2:29.0,K. Koufos enters the game for W. Cauley-Stein,,81-75,,
2:21.0,,,82-75,,Offensive foul by A. Jefferson
2:21.0,,,82-75,,Turnover by A. Jefferson (offensive foul)
2:02.0,,,82-75,,Personal foul by A. Brooks (drawn by T. Lawson)
2:02.0,T. Lawson makes free throw 1 of 2,1,83-75,,
2:02.0,T. Lawson makes free throw 2 of 2,1,84-75,,
1:48.0,,,84-75,,Shooting foul by M. Barnes (drawn by P. George)
1:48.0,,,84-76,1,P. George makes free throw 1 of 2
1:48.0,,,84-77,1,P. George makes free throw 2 of 2
1:48.0,D. Collison enters the game for G. Temple,,84-76,,
1:26.0,D. Cousins misses 2-pt shot from 15 ft,,84-77,,
1:25.0,,,84-77,,Defensive rebound by L. Allen
1:07.0,,,84-80,3,M. Ellis makes 3-pt shot from 25 ft (assist by A. Jefferson)
0:55.0,,,84-80,,Personal foul by L. Allen (drawn by D. Cousins)
0:55.0,D. Cousins misses free throw 1 of 2,,84-80,,
0:55.0,Offensive rebound by Team,,84-80,,
0:55.0,D. Cousins makes free throw 2 of 2,1,85-80,,
0:55.0,,,84-80,,G. Robinson enters the game for P. George
0:37.0,,,85-80,,Shooting foul by K. Koufos (drawn by G. Robinson)
0:37.0,,,85-81,1,G. Robinson makes free throw 1 of 2
0:37.0,,,85-81,,G. Robinson misses free throw 2 of 2
0:37.0,A. Tolliver enters the game for D. Cousins,,85-81,,
0:37.0,,,85-81,,C. Miles enters the game for L. Allen
0:36.0,Defensive rebound by T. Lawson,,85-81,,
0:29.0,,,85-81,,Personal foul by A. Jefferson (drawn by T. Lawson)
0:29.0,T. Lawson makes free throw 1 of 2,1,86-81,,
0:29.0,T. Lawson makes free throw 2 of 2,1,87-81,,
0:10.0,,,87-81,,A. Brooks misses 3-pt shot from 26 ft
0:09.0,,,87-81,,Offensive rebound by G. Robinson
0:03.0,,,87-81,,Turnover by M. Ellis (lost ball; steal by D. Collison)
0:00.0,D. Collison misses 3-pt shot from 40 ft,,87-81,,
0:00.0,Offensive rebound by Team,,87-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Tolliver makes 2-pt shot from 20 ft (assist by T. Lawson),2,89-81,,
11:24.0,,,89-81,,A. Jefferson misses 2-pt shot from 8 ft
11:24.0,Defensive rebound by K. Koufos,,89-81,,
11:06.0,K. Koufos makes 2-pt shot from 2 ft (assist by M. Barnes),2,91-81,,
10:48.0,,,91-83,2,A. Jefferson makes 2-pt shot from 2 ft
10:48.0,,,91-83,,Shooting foul by K. Koufos (drawn by A. Jefferson)
10:48.0,,,91-84,1,A. Jefferson makes free throw 1 of 1
10:48.0,,,91-83,,P. George enters the game for G. Robinson
10:48.0,,,91-83,,J. Teague enters the game for A. Brooks
10:34.0,T. Lawson makes 2-pt shot from 2 ft,2,93-84,,
10:09.0,,,93-84,,Turnover by A. Jefferson (lost ball; steal by M. Barnes)
10:03.0,D. Collison makes 2-pt shot from 3 ft (assist by T. Lawson),2,95-84,,
9:56.0,,,95-84,,Indiana full timeout
9:56.0,,,95-84,,G. Robinson enters the game for M. Ellis
9:56.0,,,95-84,,M. Turner enters the game for A. Jefferson
9:37.0,,,95-84,,J. Teague misses 3-pt shot from 28 ft
9:36.0,Defensive rebound by A. Tolliver,,95-84,,
9:17.0,D. Collison misses 2-pt shot from 16 ft,,95-84,,
9:17.0,,,95-84,,Defensive rebound by J. Teague
9:10.0,,,95-84,,G. Robinson misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by K. Koufos,,95-84,,
9:03.0,T. Lawson misses 2-pt shot from 22 ft,,95-84,,
9:03.0,Offensive rebound by T. Lawson,,95-84,,
8:44.0,T. Lawson misses 3-pt shot from 25 ft,,95-84,,
8:44.0,,,95-84,,Defensive rebound by P. George
8:30.0,,,95-84,,Shooting foul by M. Barnes (drawn by P. George)
8:30.0,,,95-84,,P. George misses free throw 1 of 2
8:30.0,,,95-84,,Offensive rebound by Team
8:30.0,,,95-85,1,P. George makes free throw 2 of 2
8:18.0,D. Collison misses 2-pt shot from 9 ft (block by G. Robinson),,95-85,,
8:17.0,,,95-85,,Defensive rebound by C. Miles
8:12.0,,,95-85,,J. Teague misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by M. Barnes,,95-85,,
8:00.0,Shooting foul by C. Miles (drawn by K. Koufos),,95-85,,
8:00.0,K. Koufos misses free throw 1 of 2,,95-85,,
8:00.0,Offensive rebound by Team,,95-85,,
8:00.0,K. Koufos makes free throw 2 of 2,1,96-85,,
7:46.0,,,96-85,,M. Turner misses 2-pt shot from 21 ft
7:46.0,Defensive rebound by K. Koufos,,96-85,,
7:32.0,K. Koufos misses 2-pt shot from 4 ft,,96-85,,
7:31.0,,,96-85,,Defensive rebound by M. Turner
7:30.0,Personal take foul by T. Lawson (drawn by J. Teague),,96-85,,
7:18.0,,,96-87,2,J. Teague makes 2-pt shot from 16 ft
7:00.0,A. Tolliver misses 3-pt shot from 23 ft,,96-87,,
6:59.0,,,96-87,,Defensive rebound by P. George
6:36.0,,,96-87,,Turnover by P. George (lost ball; steal by T. Lawson)
6:30.0,D. Collison makes 2-pt shot from 1 ft,2,98-87,,
6:14.0,,,98-87,,Shooting foul by D. Collison (drawn by J. Teague)
6:14.0,,,98-88,1,J. Teague makes free throw 1 of 2
6:14.0,,,98-89,1,J. Teague makes free throw 2 of 2
6:14.0,D. Cousins enters the game for K. Koufos,,98-88,,
5:48.0,M. Barnes misses 3-pt shot from 25 ft,,98-89,,
5:47.0,Offensive rebound by A. Tolliver,,98-89,,
5:35.0,T. Lawson misses 2-pt shot from 18 ft,,98-89,,
5:35.0,,,98-89,,Defensive rebound by C. Miles
5:28.0,Personal foul by M. Barnes (drawn by G. Robinson),,98-89,,
5:28.0,Official timeout,,98-89,,
5:28.0,,,98-90,1,G. Robinson makes free throw 1 of 2
5:28.0,,,98-90,,G. Robinson misses free throw 2 of 2
5:28.0,A. Afflalo enters the game for M. Barnes,,98-89,,
5:28.0,G. Temple enters the game for T. Lawson,,98-89,,
5:25.0,Defensive rebound by D. Cousins,,98-90,,
5:06.0,Turnover by A. Tolliver (bad pass; steal by G. Robinson),,98-90,,
4:59.0,,,98-92,2,M. Turner makes 2-pt shot from 1 ft (assist by C. Miles)
4:28.0,D. Collison misses 2-pt shot from 18 ft,,98-92,,
4:27.0,,,98-92,,Defensive rebound by G. Robinson
4:20.0,,,98-94,2,P. George makes 2-pt shot from 15 ft
4:20.0,,,98-94,,Shooting foul by A. Afflalo (drawn by P. George)
4:20.0,,,98-95,1,P. George makes free throw 1 of 1
4:06.0,,,98-95,,Personal foul by M. Turner (drawn by D. Cousins)
4:06.0,M. Barnes enters the game for A. Tolliver,,98-95,,
3:55.0,D. Cousins makes 2-pt shot from 1 ft,2,100-95,,
3:39.0,,,100-95,,J. Teague misses 2-pt shot from 11 ft
3:39.0,,,100-95,,Offensive rebound by Team
3:39.0,Flagrant foul type 1 by M. Barnes (drawn by M. Turner),,100-95,,
3:39.0,,,100-96,1,M. Turner makes flagrant free throw 1 of 2
3:39.0,,,100-96,,M. Turner misses flagrant free throw 2 of 2
3:39.0,,,100-96,,Offensive rebound by Team
3:39.0,A. Tolliver enters the game for M. Barnes,,100-96,,
3:24.0,,,100-98,2,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague)
3:02.0,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Cousins),3,103-98,,
2:44.0,Personal foul by A. Afflalo (drawn by P. George),,103-98,,
2:44.0,Sacramento full timeout,,103-98,,
2:44.0,,,103-99,1,P. George makes free throw 1 of 2
2:44.0,,,103-100,1,P. George makes free throw 2 of 2
2:28.0,Turnover by D. Cousins (lost ball; steal by J. Teague),,103-100,,
2:21.0,,,103-100,,P. George misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by A. Tolliver,,103-100,,
1:58.0,A. Afflalo misses 3-pt shot from 24 ft,,103-100,,
1:58.0,,,103-100,,Defensive rebound by Team
1:58.0,Loose ball foul by D. Cousins (drawn by P. George),,103-100,,
1:58.0,,,103-101,1,P. George makes free throw 1 of 2
1:58.0,,,103-102,1,P. George makes free throw 2 of 2
1:38.0,Shooting foul by M. Turner (drawn by D. Cousins),,103-102,,
1:38.0,D. Cousins misses free throw 1 of 2,,103-102,,
1:38.0,Offensive rebound by Team,,103-102,,
1:38.0,D. Cousins makes free throw 2 of 2,1,104-102,,
1:17.0,,,104-102,,Shooting foul by G. Temple (drawn by P. George)
1:17.0,,,104-103,1,P. George makes free throw 1 of 2
1:17.0,,,104-104,1,P. George makes free throw 2 of 2
