time,Sacramento,pts.away,score,pts.home,Milwaukee
4:18.0,,,15-17,,Turnover by T. Snell (lost ball; steal by G. Temple)
4:15.0,Turnover by O. Casspi (lost ball),,15-17,,
4:15.0,B. McLemore enters the game for A. Afflalo,,15-17,,
4:02.0,,,15-20,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Monroe)
3:42.0,M. Barnes makes 2-pt shot from 4 ft (assist by B. McLemore),2,17-20,,
3:25.0,,,17-22,2,J. Parker makes 2-pt shot at rim (assist by M. Teletovic)
2:55.0,D. Cousins misses 2-pt shot from 11 ft (block by M. Teletovic),,17-22,,
2:53.0,,,17-22,,Defensive rebound by M. Dellavedova
2:49.0,,,17-25,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova)
2:43.0,Sacramento full timeout,,17-25,,
2:43.0,,,17-25,,M. Brogdon enters the game for J. Parker
2:43.0,,,17-25,,R. Vaughn enters the game for T. Snell
2:43.0,,,17-25,,G. Antetokounmpo enters the game for M. Dellavedova
2:43.0,J. Farmar enters the game for O. Casspi,,17-25,,
2:38.0,,,17-25,,Personal foul by G. Monroe (drawn by D. Cousins)
2:28.0,D. Cousins makes 2-pt shot at rim (assist by B. McLemore),2,19-25,,
2:12.0,,,19-25,,Turnover by G. Monroe (lost ball)
1:59.0,M. Barnes makes 2-pt shot from 19 ft (assist by G. Temple),2,21-25,,
1:42.0,,,21-28,3,M. Teletovic makes 3-pt shot from 26 ft (assist by R. Vaughn)
1:26.0,J. Farmar misses 2-pt shot from 2 ft,,21-28,,
1:23.0,,,21-28,,Defensive rebound by G. Monroe
1:14.0,,,21-31,3,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
0:55.0,M. Barnes misses 2-pt shot from 19 ft,,21-31,,
0:54.0,,,21-31,,Defensive rebound by G. Antetokounmpo
0:46.0,,,21-34,3,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:32.0,G. Temple makes 3-pt shot from 25 ft (assist by J. Farmar),3,24-34,,
0:09.0,,,24-34,,R. Vaughn misses 3-pt shot from 23 ft
0:07.0,,,24-34,,Offensive rebound by G. Antetokounmpo
0:05.0,,,24-34,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by D. Cousins)
0:02.0,Defensive rebound by M. Barnes,,24-34,,
0:00.0,M. Barnes misses 2-pt shot from 1 ft,,24-34,,
0:00.0,,,24-34,,Defensive rebound by G. Monroe
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,24-36,2,G. Monroe makes 2-pt shot from 2 ft
11:22.0,G. Temple makes 3-pt shot from 26 ft (assist by T. Lawson),3,27-36,,
11:01.0,,,27-36,,Shooting foul by B. McLemore (drawn by G. Antetokounmpo)
11:01.0,,,27-37,1,G. Antetokounmpo makes free throw 1 of 2
11:01.0,,,27-37,,G. Antetokounmpo misses free throw 2 of 2
10:58.0,Defensive rebound by W. Cauley-Stein,,27-37,,
10:40.0,T. Lawson misses 2-pt shot from 4 ft (block by G. Monroe),,27-37,,
10:37.0,,,27-37,,Defensive rebound by R. Vaughn
10:32.0,,,27-40,3,M. Teletovic makes 3-pt shot from 25 ft (assist by G. Monroe)
10:14.0,M. Barnes misses 3-pt shot from 24 ft,,27-40,,
10:13.0,,,27-40,,Defensive rebound by R. Vaughn
10:05.0,,,27-42,2,G. Monroe makes 2-pt shot at rim (assist by R. Vaughn)
9:58.0,Sacramento full timeout,,27-42,,
9:51.0,Shooting foul by G. Monroe (drawn by M. Barnes),,27-42,,
9:51.0,M. Barnes makes free throw 1 of 2,1,28-42,,
9:51.0,M. Barnes makes free throw 2 of 2,1,29-42,,
9:51.0,,,28-42,,J. Henson enters the game for G. Monroe
9:41.0,,,29-42,,M. Brogdon misses 2-pt shot at rim
9:39.0,,,29-42,,Offensive rebound by M. Brogdon
9:32.0,,,29-42,,Offensive foul by G. Antetokounmpo
9:32.0,,,29-42,,Turnover by G. Antetokounmpo (offensive foul)
9:19.0,B. McLemore misses 3-pt shot from 25 ft,,29-42,,
9:18.0,,,29-42,,Defensive rebound by M. Brogdon
8:57.0,,,29-44,2,G. Antetokounmpo makes 2-pt shot from 2 ft
8:39.0,G. Temple misses 3-pt shot from 26 ft,,29-44,,
8:38.0,,,29-44,,Defensive rebound by M. Brogdon
8:27.0,,,29-44,,R. Vaughn misses 3-pt shot from 25 ft
8:26.0,,,29-44,,Offensive rebound by G. Antetokounmpo
8:22.0,,,29-44,,M. Teletovic misses 3-pt shot from 28 ft
8:20.0,Defensive rebound by M. Barnes,,29-44,,
8:03.0,Turnover by G. Temple (bad pass; steal by G. Antetokounmpo),,29-44,,
7:57.0,,,29-44,,Turnover by G. Antetokounmpo (lost ball; steal by B. McLemore)
7:54.0,Shooting foul by M. Brogdon (drawn by B. McLemore),,29-44,,
7:54.0,B. McLemore misses free throw 1 of 2,,29-44,,
7:54.0,Offensive rebound by Team,,29-44,,
7:54.0,B. McLemore makes free throw 2 of 2,1,30-44,,
7:54.0,A. Afflalo enters the game for G. Temple,,29-44,,
7:42.0,,,30-44,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo)
7:42.0,,,30-45,1,G. Antetokounmpo makes free throw 1 of 2
7:42.0,,,30-46,1,G. Antetokounmpo makes free throw 2 of 2
7:42.0,,,30-45,,T. Snell enters the game for R. Vaughn
7:18.0,M. Barnes misses 2-pt shot from 6 ft (block by J. Henson),,30-46,,
7:17.0,,,30-46,,Defensive rebound by M. Brogdon
6:56.0,Personal foul by A. Afflalo (drawn by M. Teletovic),,30-46,,
6:56.0,O. Casspi enters the game for M. Barnes,,30-46,,
6:56.0,D. Cousins enters the game for W. Cauley-Stein,,30-46,,
6:42.0,,,30-46,,G. Antetokounmpo misses 2-pt shot from 12 ft
6:41.0,,,30-46,,Offensive rebound by J. Henson
6:41.0,Personal foul by D. Cousins (drawn by J. Henson),,30-46,,
6:41.0,,,30-46,,M. Beasley enters the game for G. Antetokounmpo
6:41.0,,,30-46,,J. Parker enters the game for M. Teletovic
6:31.0,,,30-48,2,M. Brogdon makes 2-pt shot from 8 ft
6:11.0,B. McLemore misses 2-pt shot from 17 ft,,30-48,,
6:10.0,,,30-48,,Defensive rebound by M. Beasley
6:05.0,,,30-48,,M. Beasley misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by Team,,30-48,,
5:50.0,O. Casspi makes 2-pt shot at rim (assist by T. Lawson),2,32-48,,
5:33.0,,,32-48,,J. Henson misses 2-pt shot from 15 ft
5:32.0,Defensive rebound by D. Cousins,,32-48,,
5:26.0,,,32-48,,Personal foul by J. Parker (drawn by O. Casspi)
5:26.0,Official timeout,,32-48,,
5:26.0,J. Farmar enters the game for T. Lawson,,32-48,,
5:23.0,,,32-48,,Personal foul by J. Henson (drawn by D. Cousins)
5:10.0,J. Farmar makes 3-pt shot from 26 ft (assist by O. Casspi),3,35-48,,
4:48.0,,,35-50,2,M. Beasley makes 2-pt shot from 7 ft (assist by T. Snell)
4:40.0,B. McLemore makes 2-pt shot at rim (assist by J. Farmar),2,37-50,,
4:22.0,,,37-50,,Turnover by J. Henson (offensive goaltending)
4:11.0,,,37-50,,Personal foul by T. Snell (drawn by A. Afflalo)
4:11.0,A. Afflalo makes free throw 1 of 2,1,38-50,,
4:11.0,A. Afflalo makes free throw 2 of 2,1,39-50,,
4:11.0,,,38-50,,M. Dellavedova enters the game for M. Brogdon
4:11.0,M. Barnes enters the game for B. McLemore,,38-50,,
3:58.0,,,39-50,,M. Beasley misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by O. Casspi,,39-50,,
3:40.0,O. Casspi makes 2-pt shot from 6 ft (assist by M. Barnes),2,41-50,,
3:28.0,,,41-50,,M. Dellavedova misses 3-pt shot from 25 ft
3:27.0,,,41-50,,Offensive rebound by J. Henson
3:20.0,,,41-50,,Turnover by T. Snell (bad pass; steal by D. Cousins)
3:14.0,A. Afflalo misses 2-pt shot from 22 ft,,41-50,,
3:12.0,,,41-50,,Defensive rebound by T. Snell
2:56.0,,,41-53,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova)
2:35.0,J. Farmar misses 3-pt shot from 26 ft,,41-53,,
2:35.0,Offensive rebound by Team,,41-53,,
2:35.0,,,41-53,,Loose ball foul by J. Henson (drawn by D. Cousins)
2:35.0,,,41-53,,Milwaukee full timeout
2:35.0,D. Cousins makes free throw 1 of 2,1,42-53,,
2:35.0,D. Cousins makes free throw 2 of 2,1,43-53,,
2:35.0,,,41-53,,G. Antetokounmpo enters the game for J. Henson
2:35.0,,,41-53,,M. Plumlee enters the game for M. Beasley
2:13.0,,,43-55,2,M. Plumlee makes 2-pt shot from 4 ft (assist by M. Dellavedova)
1:55.0,,,43-55,,Personal foul by M. Plumlee (drawn by D. Cousins)
1:55.0,D. Cousins makes free throw 1 of 2,1,44-55,,
1:55.0,D. Cousins misses free throw 2 of 2,,44-55,,
1:54.0,,,44-55,,Defensive rebound by M. Dellavedova
1:44.0,Personal foul by A. Afflalo (drawn by M. Plumlee),,44-55,,
1:44.0,,,44-56,1,M. Plumlee makes free throw 1 of 2
1:44.0,,,44-57,1,M. Plumlee makes free throw 2 of 2
1:31.0,A. Afflalo misses 2-pt shot from 20 ft,,44-57,,
1:30.0,,,44-57,,Defensive rebound by J. Parker
1:24.0,,,44-57,,J. Parker misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by O. Casspi,,44-57,,
1:16.0,Turnover by D. Cousins (lost ball; steal by J. Parker),,44-57,,
1:12.0,,,44-59,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:50.0,Turnover by J. Farmar (lost ball; steal by J. Parker),,44-59,,
0:46.0,,,44-61,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:42.0,,,44-61,,Personal foul by G. Antetokounmpo (drawn by D. Cousins)
0:42.0,D. Cousins makes free throw 1 of 2,1,45-61,,
0:42.0,D. Cousins makes free throw 2 of 2,1,46-61,,
0:42.0,,,45-61,,M. Teletovic enters the game for G. Antetokounmpo
0:42.0,T. Lawson enters the game for A. Afflalo,,45-61,,
0:33.0,,,46-61,,M. Dellavedova misses 2-pt shot from 22 ft
0:31.0,,,46-61,,Offensive rebound by M. Plumlee
0:09.0,,,46-61,,Turnover by Team (shot clock)
0:03.0,M. Barnes misses 2-pt shot from 2 ft (block by M. Plumlee),,46-61,,
0:03.0,Offensive rebound by Team,,46-61,,
0:03.0,Sacramento full timeout,,46-61,,
0:00.0,D. Cousins makes 2-pt shot from 16 ft (assist by M. Barnes),2,48-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-61,,M. Dellavedova misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by K. Koufos,,48-61,,
11:20.0,O. Casspi misses 3-pt shot from 26 ft,,48-61,,
11:19.0,Offensive rebound by A. Afflalo,,48-61,,
11:11.0,D. Cousins misses 2-pt shot from 7 ft,,48-61,,
11:11.0,Offensive rebound by O. Casspi,,48-61,,
11:11.0,,,48-61,,Loose ball foul by T. Snell (drawn by O. Casspi)
11:05.0,Shooting foul by M. Plumlee (drawn by T. Lawson),,48-61,,
11:05.0,T. Lawson makes free throw 1 of 2,1,49-61,,
11:05.0,T. Lawson misses free throw 2 of 2,,49-61,,
11:04.0,,,49-61,,Defensive rebound by T. Snell
10:49.0,,,49-61,,J. Parker misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by D. Cousins,,49-61,,
10:24.0,Turnover by O. Casspi (lost ball; steal by G. Antetokounmpo),,49-61,,
10:23.0,,,49-61,,Turnover by G. Antetokounmpo (lost ball)
10:05.0,D. Cousins misses 3-pt shot from 27 ft,,49-61,,
10:03.0,Offensive rebound by K. Koufos,,49-61,,
9:59.0,D. Cousins misses 2-pt shot from 1 ft,,49-61,,
9:55.0,,,49-61,,Defensive rebound by M. Dellavedova
9:47.0,Personal foul by K. Koufos (drawn by M. Plumlee),,49-61,,
9:36.0,,,49-61,,Turnover by M. Dellavedova (palming)
9:16.0,K. Koufos misses 2-pt shot from 8 ft,,49-61,,
9:13.0,,,49-61,,Defensive rebound by G. Antetokounmpo
8:53.0,,,49-64,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Parker)
8:36.0,Turnover by O. Casspi (lost ball; steal by M. Dellavedova),,49-64,,
8:32.0,,,49-66,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
8:32.0,Sacramento full timeout,,49-66,,
8:17.0,A. Afflalo makes 2-pt shot from 15 ft (assist by T. Lawson),2,51-66,,
8:00.0,,,51-66,,J. Parker misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by T. Lawson,,51-66,,
7:43.0,Turnover by T. Lawson (lost ball; steal by J. Parker),,51-66,,
7:42.0,,,51-66,,Shooting foul by T. Lawson (drawn by J. Parker)
7:42.0,,,51-67,1,J. Parker makes free throw 1 of 2
7:42.0,,,51-68,1,J. Parker makes free throw 2 of 2
7:15.0,A. Afflalo misses 2-pt shot from 9 ft,,51-68,,
7:14.0,Offensive rebound by K. Koufos,,51-68,,
7:09.0,T. Lawson misses 2-pt shot from 3 ft,,51-68,,
7:07.0,,,51-68,,Defensive rebound by M. Plumlee
6:52.0,,,51-68,,T. Snell misses 2-pt shot at rim
6:50.0,Defensive rebound by K. Koufos,,51-68,,
6:44.0,O. Casspi misses 2-pt shot from 11 ft,,51-68,,
6:41.0,,,51-68,,Defensive rebound by M. Plumlee
6:31.0,,,51-68,,T. Snell misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by K. Koufos,,51-68,,
6:19.0,Turnover by D. Cousins (lost ball; steal by G. Antetokounmpo),,51-68,,
6:15.0,,,51-70,2,G. Antetokounmpo makes 2-pt shot at rim
5:56.0,A. Afflalo misses 3-pt shot from 23 ft,,51-70,,
5:55.0,,,51-70,,Defensive rebound by G. Antetokounmpo
5:44.0,,,51-70,,Shooting foul by D. Cousins (drawn by J. Parker)
5:44.0,,,51-71,1,J. Parker makes free throw 1 of 2
5:44.0,,,51-72,1,J. Parker makes free throw 2 of 2
5:44.0,,,51-71,,G. Monroe enters the game for G. Antetokounmpo
5:44.0,,,51-71,,M. Teletovic enters the game for M. Plumlee
5:44.0,,,51-71,,R. Vaughn enters the game for T. Snell
5:44.0,G. Temple enters the game for K. Koufos,,51-71,,
5:44.0,W. Cauley-Stein enters the game for T. Lawson,,51-71,,
5:36.0,,,51-72,,Personal foul by R. Vaughn (drawn by A. Afflalo)
5:19.0,G. Temple misses 2-pt shot from 13 ft,,51-72,,
5:17.0,,,51-72,,Defensive rebound by J. Parker
5:03.0,,,51-72,,G. Monroe misses 2-pt shot from 8 ft
5:01.0,,,51-72,,Offensive rebound by J. Parker
4:57.0,,,51-75,3,M. Teletovic makes 3-pt shot from 27 ft (assist by J. Parker)
4:46.0,,,51-75,,Personal foul by G. Monroe (drawn by G. Temple)
4:35.0,A. Afflalo misses 2-pt shot from 4 ft (block by R. Vaughn),,51-75,,
4:33.0,Offensive rebound by O. Casspi,,51-75,,
4:31.0,O. Casspi misses 3-pt shot from 26 ft,,51-75,,
4:29.0,,,51-75,,Defensive rebound by J. Parker
4:26.0,,,51-75,,Shooting foul by G. Temple (drawn by J. Parker)
4:26.0,,,51-76,1,J. Parker makes free throw 1 of 2
4:26.0,,,51-77,1,J. Parker makes free throw 2 of 2
4:26.0,B. McLemore enters the game for A. Afflalo,,51-76,,
4:26.0,,,51-76,,M. Brogdon enters the game for M. Dellavedova
4:26.0,J. Farmar enters the game for O. Casspi,,51-76,,
4:11.0,Turnover by B. McLemore (bad pass; steal by J. Parker),,51-77,,
4:04.0,,,51-77,,J. Parker misses 2-pt shot at rim
4:01.0,,,51-77,,Offensive rebound by J. Parker
4:00.0,,,51-77,,J. Parker misses 2-pt shot at rim (block by D. Cousins)
4:00.0,,,51-77,,Offensive rebound by J. Parker
4:00.0,,,51-79,2,J. Parker makes 2-pt shot at rim
4:00.0,,,51-79,,Shooting foul by W. Cauley-Stein (drawn by J. Parker)
4:00.0,,,51-80,1,J. Parker makes free throw 1 of 1
3:36.0,J. Farmar misses 2-pt shot from 7 ft,,51-80,,
3:34.0,,,51-80,,Defensive rebound by M. Brogdon
3:23.0,,,51-80,,Shooting foul by D. Cousins (drawn by G. Monroe)
3:23.0,,,51-81,1,G. Monroe makes free throw 1 of 2
3:23.0,,,51-82,1,G. Monroe makes free throw 2 of 2
3:23.0,S. Labissiere enters the game for D. Cousins,,51-81,,
3:03.0,G. Temple makes 3-pt shot from 26 ft (assist by B. McLemore),3,54-82,,
2:55.0,,,54-82,,Turnover by M. Brogdon (lost ball; steal by J. Farmar)
2:51.0,G. Temple makes 2-pt shot at rim (assist by J. Farmar),2,56-82,,
2:51.0,,,56-82,,Milwaukee full timeout
2:51.0,,,56-82,,G. Antetokounmpo enters the game for J. Parker
2:41.0,,,56-82,,Turnover by G. Antetokounmpo (bad pass; steal by J. Farmar)
2:18.0,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple),2,58-82,,
1:55.0,,,58-82,,G. Monroe misses 2-pt shot from 4 ft
1:54.0,Defensive rebound by B. McLemore,,58-82,,
1:44.0,B. McLemore misses 2-pt shot from 4 ft,,58-82,,
1:43.0,,,58-82,,Defensive rebound by G. Monroe
1:35.0,,,58-85,3,R. Vaughn makes 3-pt shot from 25 ft (assist by M. Brogdon)
1:23.0,Turnover by J. Farmar (bad pass; steal by G. Monroe),,58-85,,
1:14.0,,,58-88,3,R. Vaughn makes 3-pt shot from 25 ft (assist by M. Brogdon)
0:51.0,B. McLemore misses 2-pt shot from 1 ft (block by R. Vaughn),,58-88,,
0:49.0,Offensive rebound by S. Labissiere,,58-88,,
0:49.0,S. Labissiere makes 2-pt shot at rim,2,60-88,,
0:49.0,Shooting foul by M. Teletovic (drawn by S. Labissiere),,60-88,,
0:49.0,S. Labissiere makes free throw 1 of 1,1,61-88,,
0:39.0,,,61-90,2,G. Antetokounmpo makes 2-pt shot at rim
0:31.0,B. McLemore makes 2-pt shot from 9 ft (assist by J. Farmar),2,63-90,,
0:18.0,,,63-90,,Turnover by M. Brogdon (bad pass; steal by G. Temple)
0:11.0,B. McLemore misses 3-pt shot from 23 ft,,63-90,,
0:10.0,Offensive rebound by S. Labissiere,,63-90,,
0:07.0,S. Labissiere misses 2-pt shot from 8 ft,,63-90,,
0:07.0,,,63-90,,Defensive rebound by Team
0:03.0,,,63-90,,M. Teletovic misses 3-pt shot from 29 ft
0:01.0,Defensive rebound by W. Cauley-Stein,,63-90,,
0:00.0,J. Farmar misses 3-pt shot from 41 ft,,63-90,,
0:00.0,Offensive rebound by Team,,63-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,G. Temple makes 3-pt shot from 25 ft (assist by J. Farmar),3,66-90,,
11:33.0,,,66-92,2,M. Beasley makes 2-pt shot from 7 ft (assist by M. Brogdon)
11:18.0,G. Temple misses 2-pt shot from 18 ft,,66-92,,
11:16.0,Offensive rebound by J. Farmar,,66-92,,
11:00.0,B. McLemore misses 2-pt shot from 20 ft,,66-92,,
10:59.0,,,66-92,,Defensive rebound by R. Vaughn
10:48.0,,,66-92,,M. Beasley misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
10:48.0,,,66-92,,Offensive rebound by Team
10:40.0,,,66-95,3,R. Vaughn makes 3-pt shot from 25 ft (assist by J. Henson)
10:20.0,W. Cauley-Stein makes 2-pt shot at rim,2,68-95,,
10:04.0,,,68-95,,R. Vaughn misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by G. Temple,,68-95,,
9:53.0,J. Farmar makes 3-pt shot from 27 ft (assist by G. Temple),3,71-95,,
9:37.0,Def 3 sec tech foul by S. Labissiere,,71-95,,
9:37.0,,,71-96,1,M. Brogdon makes technical free throw
9:27.0,,,71-99,3,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon)
9:18.0,Turnover by W. Cauley-Stein (offensive foul),,71-99,,
9:18.0,Offensive foul by W. Cauley-Stein,,71-99,,
9:04.0,,,71-99,,M. Brogdon misses 3-pt shot from 24 ft
9:02.0,,,71-99,,Offensive rebound by M. Beasley
8:58.0,,,71-101,2,M. Beasley makes 2-pt shot from 10 ft
8:47.0,Shooting foul by J. Henson (drawn by W. Cauley-Stein),,71-101,,
8:47.0,Official timeout,,71-101,,
8:47.0,W. Cauley-Stein makes free throw 1 of 2,1,72-101,,
8:47.0,W. Cauley-Stein makes free throw 2 of 2,1,73-101,,
8:47.0,,,71-101,,T. Maker enters the game for M. Teletovic
8:25.0,,,73-101,,M. Beasley misses 2-pt shot from 5 ft
8:24.0,,,73-101,,Offensive rebound by J. Henson
8:11.0,,,73-101,,M. Beasley misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by G. Temple,,73-101,,
8:02.0,G. Temple makes 3-pt shot from 26 ft (assist by B. McLemore),3,76-101,,
7:48.0,,,76-101,,T. Maker misses 3-pt shot from 27 ft
7:47.0,Defensive rebound by W. Cauley-Stein,,76-101,,
7:34.0,,,76-101,,Personal foul by T. Maker (drawn by S. Labissiere)
7:25.0,G. Temple makes 2-pt shot from 19 ft,2,78-101,,
7:09.0,,,78-103,2,R. Vaughn makes 2-pt shot at rim (assist by J. Henson)
7:03.0,,,78-103,,Personal foul by J. Henson (drawn by G. Temple)
6:51.0,J. Farmar makes 3-pt shot from 27 ft (assist by G. Temple),3,81-103,,
6:39.0,,,81-103,,Turnover by M. Brogdon (bad pass; steal by W. Cauley-Stein)
6:33.0,J. Farmar misses 3-pt shot from 26 ft,,81-103,,
6:32.0,,,81-103,,Defensive rebound by T. Maker
6:19.0,,,81-103,,M. Brogdon misses 2-pt shot from 1 ft
6:17.0,,,81-103,,Offensive rebound by J. Henson
6:17.0,,,81-105,2,J. Henson makes 2-pt shot at rim
6:11.0,Sacramento full timeout,,81-105,,
5:58.0,S. Labissiere makes 2-pt shot from 14 ft (assist by W. Cauley-Stein),2,83-105,,
5:47.0,Violation by W. Cauley-Stein (kicked ball),,83-105,,
5:47.0,M. Richardson enters the game for B. McLemore,,83-105,,
5:47.0,G. Papagiannis enters the game for W. Cauley-Stein,,83-105,,
