time,Oklahoma City,pts.away,score,pts.home,Charlotte
4:56.0,R. Westbrook makes free throw 1 of 2,1,15-11,,
4:56.0,R. Westbrook makes free throw 2 of 2,1,16-11,,
4:56.0,,,15-11,,F. Kaminsky enters the game for R. Hibbert
4:56.0,,,15-11,,S. Hawes enters the game for M. Williams
4:47.0,,,16-11,,Shooting foul by A. Roberson (drawn by J. Lamb)
4:47.0,,,16-12,1,J. Lamb makes free throw 1 of 2
4:47.0,,,16-12,,J. Lamb misses free throw 2 of 2
4:46.0,Defensive rebound by R. Westbrook,,16-12,,
4:37.0,D. Sabonis misses 2-pt shot from 18 ft,,16-12,,
4:35.0,,,16-12,,Defensive rebound by K. Walker
4:29.0,,,16-12,,K. Walker misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by D. Sabonis,,16-12,,
4:23.0,R. Westbrook misses 2-pt shot from 1 ft (block by J. Lamb),,16-12,,
4:21.0,Offensive rebound by S. Adams,,16-12,,
4:18.0,A. Abrines misses 3-pt shot from 25 ft,,16-12,,
4:16.0,,,16-12,,Defensive rebound by S. Hawes
3:58.0,,,16-12,,J. Lamb misses 2-pt shot from 16 ft
3:57.0,Defensive rebound by S. Adams,,16-12,,
3:51.0,R. Westbrook misses 2-pt shot from 1 ft (block by F. Kaminsky),,16-12,,
3:49.0,,,16-12,,Defensive rebound by F. Kaminsky
3:42.0,,,16-14,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by S. Hawes)
3:25.0,Turnover by R. Westbrook (bad pass; steal by J. Lamb),,16-14,,
3:21.0,,,16-16,2,J. Lamb makes 2-pt shot at rim
3:13.0,Oklahoma City full timeout,,16-16,,
3:13.0,Technical foul by R. Westbrook,,16-16,,
3:13.0,,,16-17,1,J. Lamb makes technical free throw
3:13.0,,,16-16,,R. Sessions enters the game for K. Walker
3:13.0,A. Morrow enters the game for A. Roberson,,16-16,,
2:56.0,A. Abrines misses 3-pt shot from 24 ft,,16-17,,
2:56.0,,,16-17,,Defensive rebound by F. Kaminsky
2:56.0,,,16-17,,Shooting foul by A. Morrow (drawn by F. Kaminsky)
2:56.0,,,16-17,,Charlotte full timeout
2:56.0,,,16-18,1,F. Kaminsky makes free throw 1 of 2
2:56.0,,,16-19,1,F. Kaminsky makes free throw 2 of 2
2:56.0,S. Christon enters the game for R. Westbrook,,16-18,,
2:56.0,,,16-18,,M. Belinelli enters the game for M. Kidd-Gilchrist
2:56.0,E. Kanter enters the game for D. Sabonis,,16-18,,
2:43.0,Turnover by S. Christon (bad pass; steal by F. Kaminsky),,16-19,,
2:35.0,,,16-21,2,F. Kaminsky makes 2-pt shot from 1 ft
2:21.0,A. Morrow makes 2-pt shot from 18 ft,2,18-21,,
2:15.0,,,18-21,,Turnover by S. Hawes (bad pass)
1:56.0,S. Christon makes 2-pt shot from 9 ft,2,20-21,,
1:42.0,,,20-24,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb)
1:20.0,E. Kanter misses 2-pt shot from 1 ft (block by S. Hawes),,20-24,,
1:18.0,Offensive rebound by E. Kanter,,20-24,,
1:18.0,E. Kanter makes 2-pt shot from 1 ft,2,22-24,,
1:11.0,Personal foul by S. Christon (drawn by R. Sessions),,22-24,,
0:56.0,,,22-24,,F. Kaminsky misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by S. Christon,,22-24,,
0:38.0,A. Morrow misses 2-pt shot from 12 ft,,22-24,,
0:37.0,,,22-24,,Defensive rebound by J. Lamb
0:28.0,,,22-27,3,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lamb)
0:07.0,E. Kanter misses 3-pt shot from 25 ft,,22-27,,
0:06.0,,,22-27,,Defensive rebound by M. Belinelli
0:00.0,,,22-27,,F. Kaminsky misses 3-pt shot from 25 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by A. Abrines (drawn by M. Belinelli),,22-27,,
11:50.0,V. Oladipo enters the game for A. Morrow,,22-27,,
11:45.0,,,22-29,2,R. Sessions makes 2-pt shot from 2 ft (assist by F. Kaminsky)
11:45.0,,,22-29,,Shooting foul by E. Kanter (drawn by R. Sessions)
11:45.0,,,22-30,1,R. Sessions makes free throw 1 of 1
11:34.0,E. Kanter makes 2-pt shot at rim (assist by S. Christon),2,24-30,,
11:25.0,,,24-30,,Shooting foul by S. Christon (drawn by R. Sessions)
11:25.0,,,24-31,1,R. Sessions makes free throw 1 of 2
11:25.0,,,24-31,,R. Sessions misses free throw 2 of 2
11:24.0,Defensive rebound by E. Kanter,,24-31,,
11:03.0,D. Sabonis misses 2-pt shot from 18 ft,,24-31,,
11:02.0,,,24-31,,Defensive rebound by R. Sessions
10:51.0,,,24-31,,Turnover by F. Kaminsky (traveling)
10:51.0,,,24-31,,N. Batum enters the game for J. Lamb
10:36.0,V. Oladipo makes 2-pt shot at rim,2,26-31,,
10:22.0,,,26-31,,S. Hawes misses 2-pt shot from 13 ft
10:21.0,Defensive rebound by E. Kanter,,26-31,,
10:13.0,V. Oladipo makes 3-pt shot from 26 ft (assist by S. Christon),3,29-31,,
9:58.0,,,29-31,,Turnover by R. Sessions (bad pass; steal by A. Abrines)
9:51.0,E. Kanter makes 2-pt shot from 1 ft (assist by V. Oladipo),2,31-31,,
9:50.0,,,31-31,,Charlotte full timeout
9:34.0,,,31-34,3,R. Sessions makes 3-pt shot from 23 ft (assist by F. Kaminsky)
9:08.0,E. Kanter makes 2-pt shot from 8 ft,2,33-34,,
8:47.0,,,33-34,,N. Batum misses 2-pt shot from 17 ft
8:45.0,Defensive rebound by A. Abrines,,33-34,,
8:34.0,S. Christon makes 2-pt shot from 10 ft (assist by V. Oladipo),2,35-34,,
8:19.0,,,35-36,2,F. Kaminsky makes 2-pt shot at rim (assist by R. Sessions)
8:08.0,,,35-36,,Personal foul by N. Batum (drawn by V. Oladipo)
8:08.0,R. Westbrook enters the game for S. Christon,,35-36,,
8:08.0,,,35-36,,M. Kidd-Gilchrist enters the game for R. Sessions
8:08.0,,,35-36,,K. Walker enters the game for M. Belinelli
7:59.0,A. Abrines misses 3-pt shot from 23 ft,,35-36,,
7:57.0,,,35-36,,Defensive rebound by S. Hawes
7:42.0,,,35-36,,Shooting foul by V. Oladipo (drawn by N. Batum)
7:42.0,,,35-37,1,N. Batum makes free throw 1 of 2
7:42.0,,,35-38,1,N. Batum makes free throw 2 of 2
7:42.0,J. Grant enters the game for A. Abrines,,35-37,,
7:34.0,R. Westbrook misses 2-pt shot from 13 ft,,35-38,,
7:33.0,Offensive rebound by Team,,35-38,,
7:26.0,Turnover by R. Westbrook (bad pass; steal by K. Walker),,35-38,,
7:23.0,Personal foul by R. Westbrook (drawn by K. Walker),,35-38,,
7:23.0,,,35-39,1,K. Walker makes free throw 1 of 2
7:23.0,,,35-40,1,K. Walker makes free throw 2 of 2
7:23.0,S. Adams enters the game for D. Sabonis,,35-39,,
7:23.0,A. Roberson enters the game for E. Kanter,,35-39,,
7:14.0,V. Oladipo misses 2-pt shot from 21 ft,,35-40,,
7:13.0,,,35-40,,Defensive rebound by M. Kidd-Gilchrist
7:03.0,,,35-40,,Shooting foul by A. Roberson (drawn by N. Batum)
7:03.0,,,35-41,1,N. Batum makes free throw 1 of 3
7:03.0,,,35-42,1,N. Batum makes free throw 2 of 3
7:03.0,,,35-43,1,N. Batum makes free throw 3 of 3
6:43.0,R. Westbrook misses 3-pt shot from 25 ft,,35-43,,
6:42.0,,,35-43,,Defensive rebound by M. Kidd-Gilchrist
6:34.0,,,35-43,,K. Walker misses 3-pt shot from 24 ft
6:33.0,,,35-43,,Offensive rebound by F. Kaminsky
6:33.0,,,35-45,2,F. Kaminsky makes 2-pt shot from 1 ft
6:15.0,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook),3,38-45,,
6:03.0,,,38-45,,Shooting foul by R. Westbrook (drawn by F. Kaminsky)
6:03.0,,,38-46,1,F. Kaminsky makes free throw 1 of 2
6:03.0,,,38-46,,F. Kaminsky misses free throw 2 of 2
6:03.0,E. Kanter enters the game for A. Roberson,,38-46,,
6:02.0,Defensive rebound by S. Adams,,38-46,,
5:50.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,40-46,,
5:28.0,,,40-46,,S. Hawes misses 2-pt shot from 3 ft (block by R. Westbrook)
5:26.0,,,40-46,,Offensive rebound by K. Walker
5:19.0,,,40-48,2,K. Walker makes 2-pt shot from 12 ft
5:07.0,Turnover by E. Kanter (lost ball; steal by F. Kaminsky),,40-48,,
5:03.0,,,40-48,,Offensive charge foul by F. Kaminsky
5:03.0,,,40-48,,Turnover by F. Kaminsky (offensive foul)
5:03.0,Official timeout,,40-48,,
5:03.0,,,40-48,,M. Williams enters the game for F. Kaminsky
4:43.0,V. Oladipo misses 3-pt shot from 24 ft,,40-48,,
4:42.0,,,40-48,,Defensive rebound by M. Kidd-Gilchrist
4:33.0,,,40-48,,M. Williams misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by R. Westbrook,,40-48,,
4:29.0,,,40-48,,Personal foul by M. Kidd-Gilchrist (drawn by S. Adams)
4:23.0,Shooting foul by S. Hawes (drawn by V. Oladipo),,40-48,,
4:23.0,V. Oladipo makes free throw 1 of 2,1,41-48,,
4:23.0,V. Oladipo misses free throw 2 of 2,,41-48,,
4:23.0,,,41-48,,R. Hibbert enters the game for S. Hawes
4:21.0,,,41-48,,Defensive rebound by Team
4:02.0,,,41-48,,N. Batum misses 2-pt shot from 15 ft
4:00.0,,,41-48,,Offensive rebound by R. Hibbert
3:48.0,,,41-48,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
3:46.0,Defensive rebound by V. Oladipo,,41-48,,
3:41.0,R. Westbrook misses 3-pt shot from 27 ft,,41-48,,
3:37.0,Offensive rebound by S. Adams,,41-48,,
3:34.0,S. Adams makes 2-pt shot from 1 ft,2,43-48,,
3:11.0,,,43-48,,K. Walker misses 2-pt shot from 19 ft
3:10.0,Defensive rebound by E. Kanter,,43-48,,
3:06.0,Shooting foul by R. Hibbert (drawn by S. Adams),,43-48,,
3:06.0,S. Adams makes free throw 1 of 2,1,44-48,,
3:06.0,S. Adams makes free throw 2 of 2,1,45-48,,
3:06.0,,,44-48,,S. Hawes enters the game for R. Hibbert
2:50.0,,,45-48,,Shooting foul by V. Oladipo (drawn by N. Batum)
2:50.0,Oklahoma City full timeout,,45-48,,
2:50.0,,,45-49,1,N. Batum makes free throw 1 of 3
2:50.0,,,45-50,1,N. Batum makes free throw 2 of 3
2:50.0,,,45-50,,N. Batum misses free throw 3 of 3
2:49.0,Defensive rebound by R. Westbrook,,45-50,,
2:30.0,Shooting foul by S. Hawes (drawn by E. Kanter),,45-50,,
2:30.0,E. Kanter makes free throw 1 of 2,1,46-50,,
2:30.0,E. Kanter makes free throw 2 of 2,1,47-50,,
2:30.0,,,46-50,,F. Kaminsky enters the game for S. Hawes
2:18.0,,,47-53,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker)
1:54.0,S. Adams makes 2-pt shot at rim (assist by V. Oladipo),2,49-53,,
1:38.0,,,49-55,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
1:26.0,,,49-55,,Personal foul by M. Kidd-Gilchrist (drawn by R. Westbrook)
1:26.0,R. Westbrook misses free throw 1 of 2,,49-55,,
1:26.0,Offensive rebound by Team,,49-55,,
1:26.0,R. Westbrook makes free throw 2 of 2,1,50-55,,
1:26.0,,,49-55,,T. Graham enters the game for M. Kidd-Gilchrist
1:11.0,,,50-57,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by K. Walker)
1:00.0,Turnover by R. Westbrook (bad pass),,50-57,,
1:00.0,A. Roberson enters the game for E. Kanter,,50-57,,
0:35.0,,,50-57,,K. Walker misses 2-pt shot from 19 ft
0:31.0,Defensive rebound by R. Westbrook,,50-57,,
0:27.0,R. Westbrook misses 3-pt shot from 24 ft,,50-57,,
0:27.0,Offensive rebound by R. Westbrook,,50-57,,
0:27.0,R. Westbrook makes 2-pt shot from 24 ft,2,52-57,,
0:27.0,Shooting foul by K. Walker (drawn by R. Westbrook),,52-57,,
0:27.0,R. Westbrook makes free throw 1 of 1,1,53-57,,
0:27.0,S. Christon enters the game for V. Oladipo,,52-57,,
0:05.0,,,53-60,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
0:00.0,R. Westbrook makes 2-pt shot from 2 ft,2,55-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,55-62,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
11:48.0,,,55-62,,Shooting foul by D. Sabonis (drawn by M. Williams)
11:48.0,,,55-63,1,M. Williams makes free throw 1 of 1
11:28.0,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Adams),3,58-63,,
11:15.0,,,58-65,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum)
10:57.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,60-65,,
10:35.0,,,60-67,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker)
10:21.0,Offensive foul by V. Oladipo,,60-67,,
10:21.0,Turnover by V. Oladipo (offensive foul),,60-67,,
10:07.0,,,60-67,,Shooting foul by S. Adams (drawn by N. Batum)
10:07.0,,,60-68,1,N. Batum makes free throw 1 of 2
10:07.0,,,60-68,,N. Batum misses free throw 2 of 2
10:06.0,Defensive rebound by R. Westbrook,,60-68,,
9:54.0,D. Sabonis misses 2-pt shot from 18 ft,,60-68,,
9:52.0,Offensive rebound by V. Oladipo,,60-68,,
9:47.0,V. Oladipo makes 2-pt shot from 18 ft,2,62-68,,
9:44.0,,,62-68,,Technical foul by R. Hibbert
9:44.0,R. Westbrook misses technical free throw,,62-68,,
9:44.0,,,62-68,,Offensive rebound by Team
9:23.0,,,62-70,2,M. Williams makes 2-pt shot from 11 ft (assist by N. Batum)
9:12.0,Turnover by V. Oladipo (bad pass),,62-70,,
9:01.0,,,62-70,,N. Batum misses 2-pt shot from 2 ft
8:59.0,,,62-70,,Offensive rebound by M. Kidd-Gilchrist
8:59.0,,,62-72,2,M. Kidd-Gilchrist makes 2-pt shot at rim
8:44.0,R. Westbrook misses 2-pt shot from 18 ft,,62-72,,
8:43.0,,,62-72,,Defensive rebound by M. Kidd-Gilchrist
8:30.0,,,62-72,,Shooting foul by D. Sabonis (drawn by M. Kidd-Gilchrist)
8:30.0,,,62-72,,M. Kidd-Gilchrist misses free throw 1 of 2
8:30.0,,,62-72,,Offensive rebound by Team
8:30.0,,,62-72,,M. Kidd-Gilchrist misses free throw 2 of 2
8:30.0,J. Grant enters the game for D. Sabonis,,62-72,,
8:28.0,Defensive rebound by R. Westbrook,,62-72,,
8:12.0,V. Oladipo misses 3-pt shot from 25 ft,,62-72,,
8:09.0,Offensive rebound by J. Grant,,62-72,,
7:46.0,V. Oladipo misses 2-pt shot from 1 ft,,62-72,,
7:44.0,,,62-72,,Defensive rebound by M. Kidd-Gilchrist
7:42.0,,,62-72,,Turnover by M. Kidd-Gilchrist (bad pass; steal by R. Westbrook)
7:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,62-72,,
7:40.0,R. Westbrook makes free throw 1 of 2,1,63-72,,
7:40.0,R. Westbrook makes free throw 2 of 2,1,64-72,,
7:29.0,,,64-72,,Turnover by N. Batum (bad pass; steal by S. Adams)
7:24.0,S. Adams makes 2-pt shot at rim (assist by V. Oladipo),2,66-72,,
7:24.0,,,66-72,,Charlotte full timeout
7:09.0,,,66-72,,N. Batum misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by S. Adams,,66-72,,
6:50.0,R. Westbrook misses 3-pt shot from 25 ft,,66-72,,
6:49.0,,,66-72,,Defensive rebound by M. Williams
6:38.0,,,66-72,,K. Walker misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by R. Westbrook,,66-72,,
6:28.0,S. Adams makes 2-pt shot from 11 ft (assist by V. Oladipo),2,68-72,,
6:03.0,,,68-74,2,N. Batum makes 2-pt shot from 15 ft
5:45.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,70-74,,
5:19.0,,,70-76,2,K. Walker makes 2-pt shot from 2 ft
5:15.0,Shooting foul by R. Hibbert (drawn by R. Westbrook),,70-76,,
5:15.0,R. Westbrook makes free throw 1 of 2,1,71-76,,
5:15.0,R. Westbrook makes free throw 2 of 2,1,72-76,,
5:15.0,,,71-76,,S. Hawes enters the game for R. Hibbert
5:15.0,,,71-76,,J. Lamb enters the game for N. Batum
5:15.0,A. Abrines enters the game for V. Oladipo,,71-76,,
5:03.0,,,72-76,,K. Walker misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by R. Westbrook,,72-76,,
4:48.0,A. Roberson misses 3-pt shot from 23 ft,,72-76,,
4:47.0,,,72-76,,Defensive rebound by M. Kidd-Gilchrist
4:38.0,,,72-76,,Turnover by K. Walker (lost ball; steal by A. Abrines)
4:32.0,A. Abrines misses 2-pt shot from 2 ft,,72-76,,
4:30.0,Offensive rebound by R. Westbrook,,72-76,,
4:30.0,R. Westbrook makes 2-pt shot at rim,2,74-76,,
4:09.0,,,74-78,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by J. Lamb)
3:58.0,Turnover by A. Roberson (traveling),,74-78,,
3:58.0,,,74-78,,F. Kaminsky enters the game for M. Williams
3:44.0,Personal foul by A. Abrines (drawn by J. Lamb),,74-78,,
3:31.0,,,74-78,,S. Hawes misses 2-pt shot from 11 ft
3:30.0,Defensive rebound by J. Grant,,74-78,,
3:20.0,A. Abrines makes 3-pt shot from 25 ft (assist by S. Adams),3,77-78,,
3:01.0,,,77-78,,F. Kaminsky misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by A. Roberson,,77-78,,
2:48.0,A. Abrines makes 3-pt shot from 24 ft (assist by A. Roberson),3,80-78,,
2:33.0,,,80-78,,F. Kaminsky misses 2-pt shot from 11 ft
2:33.0,,,80-78,,Offensive rebound by Team
2:33.0,Loose ball foul by R. Westbrook (drawn by S. Hawes),,80-78,,
2:33.0,Oklahoma City full timeout,,80-78,,
2:33.0,,,80-79,1,S. Hawes makes free throw 1 of 2
2:33.0,,,80-80,1,S. Hawes makes free throw 2 of 2
2:33.0,,,80-78,,R. Sessions enters the game for K. Walker
2:22.0,R. Westbrook makes 2-pt shot from 1 ft,2,82-80,,
2:22.0,Shooting foul by S. Hawes (drawn by R. Westbrook),,82-80,,
2:22.0,R. Westbrook makes free throw 1 of 1,1,83-80,,
2:10.0,,,83-80,,F. Kaminsky misses 2-pt shot from 3 ft (block by J. Grant)
2:09.0,Defensive rebound by S. Adams,,83-80,,
2:04.0,R. Westbrook misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,83-80,,
2:02.0,Offensive rebound by S. Adams,,83-80,,
2:01.0,V. Oladipo enters the game for A. Roberson,,83-80,,
2:01.0,S. Christon enters the game for R. Westbrook,,83-80,,
2:01.0,,,83-80,,M. Belinelli enters the game for M. Kidd-Gilchrist
2:01.0,Jump ball: S. Adams vs. S. Hawes (M. Belinelli gains possession),,,,Jump ball: S. Adams vs. S. Hawes (M. Belinelli gains possession)
2:01.0,Turnover by S. Adams (lost ball; steal by S. Hawes),,83-80,,
1:46.0,,,83-80,,R. Sessions misses 2-pt shot from 2 ft
1:45.0,Defensive rebound by J. Grant,,83-80,,
1:39.0,S. Adams misses 2-pt shot from 7 ft,,83-80,,
1:37.0,,,83-80,,Defensive rebound by F. Kaminsky
1:31.0,,,83-80,,Shooting foul by A. Abrines (drawn by M. Belinelli)
1:31.0,,,83-81,1,M. Belinelli makes free throw 1 of 2
1:31.0,,,83-82,1,M. Belinelli makes free throw 2 of 2
1:31.0,E. Kanter enters the game for S. Adams,,83-81,,
1:17.0,V. Oladipo misses 2-pt shot from 2 ft,,83-82,,
1:17.0,Offensive rebound by Team,,83-82,,
1:17.0,,,83-82,,Loose ball foul by M. Belinelli (drawn by E. Kanter)
1:05.0,V. Oladipo misses 2-pt shot from 2 ft,,83-82,,
1:04.0,,,83-82,,Defensive rebound by R. Sessions
0:52.0,,,83-85,3,J. Lamb makes 3-pt shot from 24 ft (assist by M. Belinelli)
0:35.0,E. Kanter makes 2-pt shot from 2 ft,2,85-85,,
0:35.0,Shooting foul by J. Lamb (drawn by E. Kanter),,85-85,,
0:35.0,E. Kanter misses free throw 1 of 1,,85-85,,
0:32.0,,,85-85,,Defensive rebound by S. Hawes
0:13.0,,,85-87,2,J. Lamb makes 2-pt shot at rim (assist by R. Sessions)
0:00.0,E. Kanter makes 3-pt shot from 25 ft (assist by S. Christon),3,88-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Grant misses 2-pt shot from 1 ft,,88-87,,
11:46.0,Offensive rebound by E. Kanter,,88-87,,
11:46.0,Shooting foul by F. Kaminsky (drawn by E. Kanter),,88-87,,
11:46.0,E. Kanter makes free throw 1 of 2,1,89-87,,
11:46.0,E. Kanter makes free throw 2 of 2,1,90-87,,
11:33.0,,,90-87,,M. Belinelli misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by S. Christon,,90-87,,
11:21.0,Turnover by J. Grant (traveling),,90-87,,
11:11.0,,,90-89,2,N. Batum makes 2-pt shot from 10 ft (assist by S. Hawes)
11:11.0,,,90-89,,Shooting foul by V. Oladipo (drawn by N. Batum)
11:11.0,,,90-90,1,N. Batum makes free throw 1 of 1
10:57.0,V. Oladipo misses 2-pt shot from 11 ft (block by N. Batum),,90-90,,
10:57.0,,,90-90,,Defensive rebound by Team
10:43.0,,,90-90,,N. Batum misses 2-pt shot from 15 ft
10:42.0,Defensive rebound by E. Kanter,,90-90,,
10:33.0,Turnover by S. Christon (bad pass; steal by S. Hawes),,90-90,,
10:26.0,,,90-90,,M. Belinelli misses 3-pt shot from 25 ft
10:24.0,,,90-90,,Offensive rebound by F. Kaminsky
10:16.0,,,90-90,,M. Belinelli misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by E. Kanter,,90-90,,
10:11.0,Oklahoma City full timeout,,90-90,,
10:02.0,E. Kanter makes 2-pt shot from 1 ft,2,92-90,,
10:02.0,Shooting foul by S. Hawes (drawn by E. Kanter),,92-90,,
10:02.0,E. Kanter makes free throw 1 of 1,1,93-90,,
9:53.0,,,93-90,,Shooting foul by E. Kanter (drawn by N. Batum)
9:53.0,,,93-91,1,N. Batum makes free throw 1 of 2
9:53.0,,,93-92,1,N. Batum makes free throw 2 of 2
9:53.0,A. Roberson enters the game for V. Oladipo,,93-91,,
9:37.0,E. Kanter misses 2-pt shot from 1 ft (block by S. Hawes),,93-92,,
9:35.0,,,93-92,,Defensive rebound by F. Kaminsky
9:25.0,,,93-92,,N. Batum misses 2-pt shot from 11 ft
9:24.0,Defensive rebound by E. Kanter,,93-92,,
9:15.0,S. Christon misses 2-pt shot from 13 ft,,93-92,,
9:15.0,,,93-92,,Defensive rebound by Team
9:15.0,Loose ball foul by E. Kanter (drawn by S. Hawes),,93-92,,
9:00.0,,,93-92,,S. Hawes misses 3-pt shot from 22 ft
8:59.0,Defensive rebound by S. Christon,,93-92,,
