time,New York,pts.away,score,pts.home,Minnesota
9:14.0,Turnover by B. Jennings (lost ball; steal by K. Dunn),,35-33,,
9:14.0,Personal foul by B. Jennings (drawn by C. Aldrich),,35-33,,
9:14.0,,,35-33,,Z. LaVine enters the game for A. Wiggins
9:10.0,,,35-33,,Turnover by K. Dunn (lost ball; steal by B. Jennings)
9:07.0,Shooting foul by K. Dunn (drawn by M. Plumlee),,35-33,,
9:07.0,M. Plumlee makes free throw 1 of 2,1,36-33,,
9:07.0,M. Plumlee misses free throw 2 of 2,,36-33,,
9:07.0,,,36-33,,Defensive rebound by C. Aldrich
8:49.0,,,36-35,2,S. Muhammad makes 2-pt shot from 18 ft
8:39.0,B. Jennings makes 2-pt shot from 2 ft,2,38-35,,
8:26.0,,,38-35,,N. Bjelica misses 3-pt shot from 23 ft
8:25.0,,,38-35,,Offensive rebound by S. Muhammad
8:23.0,,,38-35,,S. Muhammad misses 2-pt shot from 4 ft (block by J. Holiday)
8:22.0,Defensive rebound by Team,,38-35,,
8:22.0,New York full timeout,,38-35,,
8:08.0,Turnover by B. Jennings (lost ball; steal by N. Bjelica),,38-35,,
8:05.0,,,38-37,2,Z. LaVine makes 2-pt shot at rim
7:59.0,B. Jennings misses 3-pt shot from 23 ft,,38-37,,
7:58.0,Offensive rebound by M. Kuzminskas,,38-37,,
7:50.0,M. Kuzminskas misses 2-pt shot from 4 ft (block by C. Aldrich),,38-37,,
7:49.0,,,38-37,,Defensive rebound by C. Aldrich
7:44.0,,,38-37,,Shooting foul by K. Porzingis (drawn by S. Muhammad)
7:44.0,,,38-37,,S. Muhammad misses free throw 1 of 2
7:44.0,,,38-37,,Offensive rebound by Team
7:44.0,,,38-38,1,S. Muhammad makes free throw 2 of 2
7:34.0,M. Kuzminskas makes 3-pt shot from 25 ft (assist by B. Jennings),3,41-38,,
7:10.0,,,41-40,2,C. Aldrich makes 2-pt shot from 5 ft (assist by N. Bjelica)
6:50.0,K. Porzingis makes 2-pt shot from 17 ft,2,43-40,,
6:43.0,,,43-40,,Turnover by K. Dunn (back court)
6:43.0,,,43-40,,R. Rubio enters the game for K. Dunn
6:43.0,,,43-40,,K. Towns enters the game for C. Aldrich
6:43.0,,,43-40,,G. Dieng enters the game for N. Bjelica
6:43.0,D. Rose enters the game for J. Holiday,,43-40,,
6:31.0,,,43-40,,Personal foul by S. Muhammad (drawn by M. Kuzminskas)
6:23.0,B. Jennings misses 2-pt shot from 15 ft,,43-40,,
6:21.0,Offensive rebound by K. Porzingis,,43-40,,
6:21.0,K. Porzingis makes 2-pt shot from 1 ft,2,45-40,,
6:04.0,,,45-40,,S. Muhammad misses 2-pt shot from 2 ft (block by K. Porzingis)
6:02.0,Defensive rebound by M. Plumlee,,45-40,,
5:51.0,M. Kuzminskas makes 3-pt shot from 26 ft (assist by D. Rose),3,48-40,,
5:45.0,,,48-40,,Minnesota full timeout
5:32.0,,,48-40,,G. Dieng misses 2-pt shot from 17 ft
5:30.0,Defensive rebound by M. Plumlee,,48-40,,
5:17.0,K. Porzingis misses 3-pt shot from 23 ft,,48-40,,
5:16.0,,,48-40,,Defensive rebound by R. Rubio
5:10.0,,,48-40,,Turnover by K. Towns (traveling)
4:45.0,K. Porzingis makes 2-pt shot from 21 ft (assist by M. Kuzminskas),2,50-40,,
4:44.0,Violation by Team (jump ball),,50-40,,
4:25.0,,,50-40,,Turnover by K. Towns (bad pass; steal by M. Plumlee)
4:16.0,Turnover by B. Jennings (bad pass),,50-40,,
4:16.0,,,50-40,,A. Wiggins enters the game for S. Muhammad
4:16.0,C. Anthony enters the game for K. Porzingis,,50-40,,
4:06.0,,,50-40,,Turnover by R. Rubio (bad pass; steal by D. Rose)
3:54.0,D. Rose misses 2-pt shot from 10 ft (block by K. Towns),,50-40,,
3:52.0,Offensive rebound by C. Anthony,,50-40,,
3:50.0,D. Rose misses 2-pt shot from 1 ft,,50-40,,
3:48.0,,,50-40,,Defensive rebound by G. Dieng
3:43.0,,,50-40,,Z. LaVine misses 2-pt shot from 1 ft
3:37.0,,,50-40,,Offensive rebound by K. Towns
3:37.0,,,50-42,2,K. Towns makes 2-pt shot at rim
3:24.0,B. Jennings misses 2-pt shot from 21 ft,,50-42,,
3:21.0,,,50-42,,Defensive rebound by A. Wiggins
3:15.0,,,50-44,2,A. Wiggins makes 2-pt shot from 1 ft
3:14.0,New York full timeout,,50-44,,
3:14.0,K. Porzingis enters the game for M. Plumlee,,50-44,,
3:14.0,K. O'Quinn enters the game for M. Kuzminskas,,50-44,,
2:53.0,,,50-44,,Violation by K. Towns (def goaltending)
2:53.0,C. Anthony makes 2-pt shot from 3 ft,2,52-44,,
2:33.0,,,52-47,3,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns)
2:18.0,Shooting foul by A. Wiggins (drawn by C. Anthony),,52-47,,
2:18.0,C. Anthony makes free throw 1 of 2,1,53-47,,
2:18.0,C. Anthony makes free throw 2 of 2,1,54-47,,
2:00.0,,,54-47,,R. Rubio misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by C. Anthony,,54-47,,
1:45.0,Turnover by K. Porzingis (lost ball; steal by R. Rubio),,54-47,,
1:40.0,,,54-49,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
1:16.0,C. Anthony misses 3-pt shot from 26 ft,,54-49,,
1:14.0,,,54-49,,Defensive rebound by K. Towns
0:55.0,,,54-49,,Z. LaVine misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by K. O'Quinn,,54-49,,
0:41.0,D. Rose makes 2-pt shot from 9 ft (assist by B. Jennings),2,56-49,,
0:30.0,,,56-49,,K. Towns misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by K. O'Quinn,,56-49,,
0:24.0,D. Rose makes 2-pt shot from 1 ft,2,58-49,,
0:03.0,,,58-49,,R. Rubio misses 3-pt shot from 25 ft
0:02.0,,,58-49,,Offensive rebound by Z. LaVine
0:01.0,,,58-49,,Z. LaVine misses 2-pt shot from 12 ft
0:00.0,,,58-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by D. Rose (bad pass; steal by R. Rubio),,58-49,,
11:37.0,,,58-49,,A. Wiggins misses 2-pt shot at rim
11:35.0,Defensive rebound by K. O'Quinn,,58-49,,
11:34.0,Turnover by K. O'Quinn (lost ball; steal by A. Wiggins),,58-49,,
11:29.0,,,58-52,3,A. Wiggins makes 3-pt shot from 26 ft
11:11.0,C. Anthony misses 3-pt shot from 23 ft,,58-52,,
11:10.0,,,58-52,,Defensive rebound by A. Wiggins
11:01.0,,,58-52,,Shooting foul by D. Rose (drawn by G. Dieng)
11:01.0,,,58-53,1,G. Dieng makes free throw 1 of 2
11:01.0,,,58-54,1,G. Dieng makes free throw 2 of 2
10:40.0,D. Rose misses 2-pt shot from 20 ft,,58-54,,
10:38.0,,,58-54,,Defensive rebound by K. Towns
10:29.0,,,58-56,2,G. Dieng makes 2-pt shot from 2 ft (assist by R. Rubio)
10:05.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,61-56,,
9:44.0,,,61-56,,Turnover by Z. LaVine (step out of bounds)
9:20.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,64-56,,
9:10.0,,,64-56,,Offensive foul by K. Towns
9:10.0,,,64-56,,Turnover by K. Towns (offensive foul)
8:56.0,K. O'Quinn misses 2-pt shot from 2 ft,,64-56,,
8:55.0,,,64-56,,Defensive rebound by G. Dieng
8:48.0,,,64-56,,Shooting foul by D. Rose (drawn by R. Rubio)
8:48.0,,,64-57,1,R. Rubio makes free throw 1 of 2
8:48.0,,,64-58,1,R. Rubio makes free throw 2 of 2
8:27.0,D. Rose makes 3-pt shot from 23 ft (assist by K. Porzingis),3,67-58,,
8:12.0,,,67-58,,Shooting foul by D. Rose (drawn by R. Rubio)
8:12.0,,,67-59,1,R. Rubio makes free throw 1 of 2
8:12.0,,,67-60,1,R. Rubio makes free throw 2 of 2
7:59.0,Turnover by C. Anthony (bad pass; steal by Z. LaVine),,67-60,,
7:54.0,,,67-60,,Shooting foul by D. Rose (drawn by Z. LaVine)
7:54.0,,,67-61,1,Z. LaVine makes free throw 1 of 2
7:54.0,,,67-62,1,Z. LaVine makes free throw 2 of 2
7:54.0,B. Jennings enters the game for D. Rose,,67-61,,
7:38.0,C. Anthony misses 3-pt shot from 25 ft,,67-62,,
7:37.0,,,67-62,,Defensive rebound by K. Towns
7:29.0,,,67-62,,A. Wiggins misses 2-pt shot from 13 ft
7:28.0,Defensive rebound by B. Jennings,,67-62,,
7:12.0,C. Anthony misses 2-pt shot from 18 ft,,67-62,,
7:11.0,,,67-62,,Defensive rebound by K. Towns
7:11.0,Personal foul by B. Jennings (drawn by K. Towns),,67-62,,
7:11.0,,,67-63,1,K. Towns makes free throw 1 of 2
7:11.0,,,67-64,1,K. Towns makes free throw 2 of 2
6:52.0,J. Holiday misses 2-pt shot from 12 ft,,67-64,,
6:51.0,Offensive rebound by K. O'Quinn,,67-64,,
6:49.0,J. Holiday makes 2-pt shot from 13 ft (assist by K. O'Quinn),2,69-64,,
6:41.0,,,69-64,,R. Rubio misses 2-pt shot from 17 ft
6:39.0,Defensive rebound by K. O'Quinn,,69-64,,
6:31.0,,,69-64,,Violation by R. Rubio (kicked ball)
6:20.0,B. Jennings misses 2-pt shot from 14 ft,,69-64,,
6:18.0,Offensive rebound by B. Jennings,,69-64,,
6:14.0,K. Porzingis misses 2-pt shot from 3 ft,,69-64,,
6:13.0,Offensive rebound by Team,,69-64,,
6:13.0,,,69-64,,Loose ball foul by G. Dieng (drawn by K. O'Quinn)
6:04.0,Turnover by C. Anthony (traveling),,69-64,,
5:52.0,,,69-64,,K. Towns misses 2-pt shot from 15 ft
5:51.0,Defensive rebound by K. Porzingis,,69-64,,
5:43.0,J. Holiday misses 3-pt shot from 24 ft,,69-64,,
5:42.0,,,69-64,,Defensive rebound by Z. LaVine
5:41.0,Personal foul by K. O'Quinn (drawn by Z. LaVine),,69-64,,
5:41.0,,,69-64,,Minnesota full timeout
5:41.0,,,69-65,1,Z. LaVine makes free throw 1 of 2
5:41.0,,,69-66,1,Z. LaVine makes free throw 2 of 2
5:41.0,S. Vujacic enters the game for J. Holiday,,69-64,,
5:41.0,M. Plumlee enters the game for K. O'Quinn,,69-64,,
5:19.0,C. Anthony misses 2-pt shot from 14 ft,,69-66,,
5:18.0,,,69-66,,Defensive rebound by K. Towns
5:04.0,,,69-68,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
4:47.0,K. Porzingis misses 2-pt shot from 24 ft,,69-68,,
4:45.0,Offensive rebound by Team,,69-68,,
4:32.0,B. Jennings misses 2-pt shot from 6 ft,,69-68,,
4:32.0,Offensive rebound by Team,,69-68,,
4:32.0,,,69-68,,Loose ball foul by R. Rubio (drawn by M. Plumlee)
4:10.0,C. Anthony makes 2-pt shot from 21 ft,2,71-68,,
3:57.0,,,71-68,,K. Towns misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by Team,,71-68,,
3:55.0,,,71-68,,Loose ball foul by G. Dieng (drawn by K. Porzingis)
3:55.0,,,71-68,,C. Aldrich enters the game for G. Dieng
3:55.0,M. Kuzminskas enters the game for K. Porzingis,,71-68,,
3:39.0,M. Kuzminskas misses 2-pt shot from 3 ft (block by K. Towns),,71-68,,
3:38.0,Offensive rebound by M. Kuzminskas,,71-68,,
3:37.0,,,71-68,,Violation by K. Towns (def goaltending)
3:37.0,M. Kuzminskas makes 2-pt shot from 5 ft,2,73-68,,
3:17.0,,,73-68,,A. Wiggins misses 2-pt shot from 21 ft
3:17.0,,,73-68,,Offensive rebound by Team
3:17.0,Loose ball foul by C. Anthony (drawn by K. Towns),,73-68,,
3:17.0,,,73-69,1,K. Towns makes free throw 1 of 2
3:17.0,,,73-70,1,K. Towns makes free throw 2 of 2
3:17.0,,,73-69,,N. Bjelica enters the game for C. Aldrich
2:57.0,,,73-70,,Personal foul by R. Rubio (drawn by B. Jennings)
2:57.0,New York full timeout,,73-70,,
2:57.0,,,73-70,,T. Jones enters the game for Z. LaVine
2:42.0,C. Anthony misses 2-pt shot from 17 ft,,73-70,,
2:41.0,,,73-70,,Defensive rebound by K. Towns
2:25.0,,,73-70,,A. Wiggins misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by M. Plumlee,,73-70,,
2:08.0,B. Jennings makes 3-pt shot from 24 ft,3,76-70,,
1:50.0,,,76-70,,Turnover by K. Towns (bad pass; steal by C. Anthony)
1:41.0,S. Vujacic makes 2-pt shot from 17 ft (assist by B. Jennings),2,78-70,,
1:18.0,,,78-70,,A. Wiggins misses 2-pt shot from 2 ft
1:17.0,,,78-70,,Offensive rebound by Team
1:17.0,Personal foul by C. Anthony (drawn by K. Towns),,78-70,,
1:17.0,,,78-71,1,K. Towns makes free throw 1 of 2
1:17.0,,,78-72,1,K. Towns makes free throw 2 of 2
0:55.0,M. Kuzminskas misses 2-pt shot from 21 ft,,78-72,,
0:54.0,,,78-72,,Defensive rebound by K. Towns
0:44.0,,,78-74,2,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins)
0:38.0,B. Jennings makes 3-pt shot from 24 ft,3,81-74,,
0:27.0,,,81-74,,N. Bjelica misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by C. Anthony,,81-74,,
0:02.0,C. Anthony misses 2-pt shot from 19 ft,,81-74,,
0:01.0,Offensive rebound by S. Vujacic,,81-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,81-74,,N. Bjelica misses 3-pt shot from 24 ft
11:48.0,Defensive rebound by S. Vujacic,,81-74,,
11:42.0,M. Plumlee makes 2-pt shot from 2 ft (assist by B. Jennings),2,83-74,,
11:42.0,Shooting foul by Z. LaVine (drawn by M. Plumlee),,83-74,,
11:42.0,M. Plumlee makes free throw 1 of 1,1,84-74,,
11:31.0,Personal foul by K. Porzingis (drawn by K. Towns),,84-74,,
11:18.0,,,84-76,2,K. Towns makes 2-pt shot from 6 ft
10:54.0,S. Vujacic makes 3-pt shot from 25 ft (assist by K. Porzingis),3,87-76,,
10:45.0,,,87-76,,K. Towns misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by S. Vujacic,,87-76,,
10:37.0,B. Jennings misses 3-pt shot from 25 ft,,87-76,,
10:36.0,,,87-76,,Defensive rebound by Team
10:21.0,,,87-78,2,Z. LaVine makes 2-pt shot from 19 ft
9:56.0,Shooting foul by N. Bjelica (drawn by K. Porzingis),,87-78,,
9:56.0,K. Porzingis misses free throw 1 of 2,,87-78,,
9:56.0,Offensive rebound by Team,,87-78,,
9:56.0,K. Porzingis makes free throw 2 of 2,1,88-78,,
9:56.0,,,87-78,,G. Dieng enters the game for K. Towns
9:42.0,,,88-78,,Z. LaVine misses 2-pt shot at rim
9:41.0,,,88-78,,Offensive rebound by G. Dieng
9:41.0,,,88-78,,Turnover by G. Dieng (lost ball)
9:25.0,S. Vujacic misses 3-pt shot from 25 ft,,88-78,,
9:24.0,Offensive rebound by M. Plumlee,,88-78,,
9:20.0,M. Kuzminskas makes 3-pt shot from 24 ft (assist by M. Plumlee),3,91-78,,
9:19.0,,,91-78,,Minnesota full timeout
9:19.0,,,91-78,,R. Rubio enters the game for K. Dunn
9:02.0,,,91-78,,Z. LaVine misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by M. Plumlee,,91-78,,
8:49.0,K. Porzingis makes 2-pt shot from 3 ft (assist by S. Vujacic),2,93-78,,
8:45.0,,,93-78,,Shooting foul by M. Plumlee (drawn by Z. LaVine)
8:45.0,,,93-79,1,Z. LaVine makes free throw 1 of 2
8:45.0,,,93-80,1,Z. LaVine makes free throw 2 of 2
8:45.0,,,93-79,,K. Towns enters the game for N. Bjelica
8:45.0,,,93-79,,A. Wiggins enters the game for T. Jones
8:31.0,K. Porzingis makes 3-pt shot from 23 ft (assist by B. Jennings),3,96-80,,
8:19.0,Personal foul by S. Vujacic (drawn by A. Wiggins),,96-80,,
8:07.0,,,96-80,,K. Towns misses 2-pt shot from 16 ft
8:05.0,,,96-80,,Offensive rebound by G. Dieng
8:00.0,,,96-82,2,R. Rubio makes 2-pt shot from 16 ft (assist by G. Dieng)
7:42.0,M. Kuzminskas makes 3-pt shot from 25 ft (assist by B. Jennings),3,99-82,,
7:33.0,Personal foul by M. Kuzminskas (drawn by A. Wiggins),,99-82,,
7:26.0,,,99-84,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
7:11.0,S. Vujacic misses 2-pt shot from 19 ft,,99-84,,
7:09.0,,,99-84,,Defensive rebound by K. Towns
7:04.0,,,99-84,,A. Wiggins misses 2-pt shot from 2 ft
7:03.0,,,99-84,,Offensive rebound by A. Wiggins
7:03.0,,,99-86,2,A. Wiggins makes 2-pt shot from 1 ft
7:03.0,New York full timeout,,99-86,,
7:03.0,D. Rose enters the game for S. Vujacic,,99-86,,
7:03.0,C. Anthony enters the game for M. Plumlee,,99-86,,
6:52.0,Turnover by B. Jennings (discontinued dribble),,99-86,,
6:41.0,,,99-88,2,K. Towns makes 2-pt shot from 1 ft
6:27.0,Turnover by D. Rose (lost ball; steal by G. Dieng),,99-88,,
6:23.0,,,99-90,2,Z. LaVine makes 2-pt shot at rim
6:23.0,New York full timeout,,99-90,,
6:04.0,Shooting foul by K. Towns (drawn by K. Porzingis),,99-90,,
6:04.0,K. Porzingis makes free throw 1 of 2,1,100-90,,
6:04.0,K. Porzingis makes free throw 2 of 2,1,101-90,,
5:52.0,,,101-90,,Turnover by Z. LaVine (bad pass; steal by B. Jennings)
5:48.0,Turnover by M. Kuzminskas (lost ball; steal by R. Rubio),,101-90,,
5:37.0,,,101-92,2,A. Wiggins makes 2-pt shot from 16 ft (assist by K. Towns)
5:13.0,D. Rose misses 2-pt shot from 3 ft (block by K. Towns),,101-92,,
5:13.0,Offensive rebound by Team,,101-92,,
5:13.0,M. Plumlee enters the game for M. Kuzminskas,,101-92,,
5:09.0,D. Rose misses 3-pt shot from 28 ft,,101-92,,
5:08.0,,,101-92,,Defensive rebound by G. Dieng
4:59.0,,,101-92,,Shooting foul by K. Porzingis (drawn by K. Towns)
4:59.0,,,101-93,1,K. Towns makes free throw 1 of 2
4:59.0,,,101-93,,K. Towns misses free throw 2 of 2
4:58.0,,,101-93,,Offensive rebound by G. Dieng
4:36.0,,,101-95,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
