time,Charlotte,pts.away,score,pts.home,New York
7:57.0,,,39-40,,J. Noah enters the game for W. Hernangomez
7:35.0,M. Belinelli makes 2-pt shot from 20 ft,2,41-41,,
7:20.0,,,41-41,,B. Jennings misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by M. Belinelli,,41-41,,
7:07.0,Turnover by N. Batum (bad pass; steal by J. Noah),,41-41,,
6:57.0,,,41-41,,K. Porzingis misses 2-pt shot from 3 ft
6:57.0,Defensive rebound by F. Kaminsky,,41-41,,
6:48.0,Shooting foul by M. Kuzminskas (drawn by N. Batum),,41-41,,
6:48.0,N. Batum makes free throw 1 of 2,1,42-41,,
6:48.0,N. Batum makes free throw 2 of 2,1,43-41,,
6:48.0,K. Walker enters the game for R. Hibbert,,42-41,,
6:48.0,M. Williams enters the game for M. Belinelli,,42-41,,
6:31.0,,,43-41,,M. Kuzminskas misses 3-pt shot from 26 ft
6:31.0,,,43-41,,Offensive rebound by K. Porzingis
6:20.0,,,43-41,,M. Kuzminskas misses 2-pt shot from 2 ft
6:20.0,,,43-41,,Offensive rebound by J. Noah
6:18.0,,,43-43,2,J. Noah makes 2-pt shot from 2 ft
5:54.0,K. Walker makes 2-pt shot from 19 ft,2,45-43,,
5:46.0,,,45-43,,Offensive foul by K. Porzingis
5:46.0,,,45-43,,Turnover by K. Porzingis (offensive foul)
5:46.0,,,45-43,,New York full timeout
5:46.0,,,45-43,,C. Anthony enters the game for J. Holiday
5:46.0,,,45-43,,D. Rose enters the game for M. Kuzminskas
5:46.0,C. Zeller enters the game for F. Kaminsky,,45-43,,
5:36.0,Shooting foul by K. Porzingis (drawn by C. Zeller),,45-43,,
5:36.0,C. Zeller misses free throw 1 of 2,,45-43,,
5:36.0,Offensive rebound by Team,,45-43,,
5:36.0,C. Zeller misses free throw 2 of 2,,45-43,,
5:35.0,,,45-43,,Defensive rebound by C. Anthony
5:25.0,,,45-43,,Turnover by D. Rose (bad pass; steal by K. Walker)
5:21.0,K. Walker makes 2-pt shot from 1 ft,2,47-43,,
5:21.0,Shooting foul by B. Jennings (drawn by K. Walker),,47-43,,
5:21.0,K. Walker misses free throw 1 of 1,,47-43,,
5:20.0,,,47-43,,Defensive rebound by K. Porzingis
5:04.0,,,47-43,,C. Anthony misses 2-pt shot from 22 ft
5:04.0,Defensive rebound by C. Zeller,,47-43,,
4:57.0,,,47-43,,Personal foul by K. Porzingis (drawn by C. Zeller)
4:57.0,C. Zeller makes free throw 1 of 2,1,48-43,,
4:57.0,C. Zeller misses free throw 2 of 2,,48-43,,
4:57.0,,,48-43,,C. Lee enters the game for K. Porzingis
4:57.0,,,48-43,,J. Holiday enters the game for B. Jennings
4:56.0,,,48-43,,Defensive rebound by C. Anthony
4:32.0,,,48-43,,C. Anthony misses 2-pt shot from 20 ft
4:30.0,,,48-43,,Offensive rebound by C. Lee
4:20.0,,,48-43,,D. Rose misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by K. Walker,,48-43,,
4:10.0,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum),2,50-43,,
4:10.0,Shooting foul by J. Noah (drawn by M. Williams),,50-43,,
4:10.0,M. Williams makes free throw 1 of 1,1,51-43,,
3:59.0,,,51-46,3,J. Holiday makes 3-pt shot from 25 ft
3:45.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,54-46,,
3:39.0,,,54-46,,New York full timeout
3:39.0,,,54-46,,S. Vujacic enters the game for J. Holiday
3:30.0,,,54-48,2,C. Anthony makes 2-pt shot from 16 ft (assist by D. Rose)
3:17.0,N. Batum misses 3-pt shot from 25 ft,,54-48,,
3:16.0,,,54-48,,Defensive rebound by D. Rose
2:59.0,,,54-50,2,D. Rose makes 2-pt shot from 1 ft
2:45.0,R. Sessions misses 2-pt shot from 1 ft,,54-50,,
2:43.0,,,54-50,,Defensive rebound by J. Noah
2:39.0,Personal foul by M. Williams (drawn by C. Anthony),,54-50,,
2:39.0,Charlotte full timeout,,54-50,,
2:39.0,M. Belinelli enters the game for C. Zeller,,54-50,,
2:39.0,F. Kaminsky enters the game for K. Walker,,54-50,,
2:29.0,,,54-50,,Turnover by C. Anthony (traveling)
2:12.0,N. Batum misses 3-pt shot from 25 ft,,54-50,,
2:10.0,Offensive rebound by M. Belinelli,,54-50,,
2:10.0,M. Belinelli misses 2-pt shot from 1 ft,,54-50,,
2:08.0,,,54-50,,Defensive rebound by J. Noah
2:01.0,,,54-50,,C. Lee misses 2-pt shot from 20 ft
2:00.0,Defensive rebound by R. Sessions,,54-50,,
1:49.0,F. Kaminsky misses 3-pt shot from 25 ft,,54-50,,
1:48.0,,,54-50,,Defensive rebound by C. Anthony
1:36.0,,,54-50,,C. Anthony misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by R. Sessions,,54-50,,
1:29.0,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum),2,56-50,,
1:11.0,,,56-52,2,J. Noah makes 2-pt shot at rim (assist by C. Anthony)
0:47.0,R. Sessions misses 3-pt shot from 26 ft,,56-52,,
0:46.0,,,56-52,,Defensive rebound by J. Noah
0:37.0,,,56-52,,C. Lee misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by R. Sessions,,56-52,,
0:11.0,N. Batum misses 2-pt shot from 17 ft,,56-52,,
0:10.0,,,56-52,,Defensive rebound by C. Anthony
0:02.0,,,56-52,,C. Anthony misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by N. Batum,,56-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum),2,58-52,,
11:23.0,,,58-52,,Turnover by C. Lee (bad pass; steal by K. Walker)
11:11.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,58-52,,
11:10.0,Offensive rebound by C. Zeller,,58-52,,
11:04.0,,,58-52,,Def 3 sec tech foul by J. Noah
11:04.0,N. Batum misses technical free throw,,58-52,,
11:04.0,Offensive rebound by Team,,58-52,,
10:46.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,60-52,,
10:34.0,,,60-54,2,J. Noah makes 2-pt shot from 1 ft (assist by K. Porzingis)
10:15.0,M. Williams makes 2-pt shot at rim (assist by K. Walker),2,62-54,,
9:52.0,,,62-54,,C. Anthony misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by C. Zeller,,62-54,,
9:39.0,K. Walker misses 2-pt shot from 1 ft,,62-54,,
9:38.0,,,62-54,,Defensive rebound by K. Porzingis
9:28.0,,,62-54,,Shooting foul by K. Walker (drawn by D. Rose)
9:28.0,,,62-55,1,D. Rose makes free throw 1 of 2
9:28.0,,,62-56,1,D. Rose makes free throw 2 of 2
9:28.0,F. Kaminsky enters the game for M. Williams,,62-54,,
9:20.0,Shooting foul by J. Noah (drawn by K. Walker),,62-56,,
9:20.0,K. Walker makes free throw 1 of 2,1,63-56,,
9:20.0,K. Walker makes free throw 2 of 2,1,64-56,,
9:07.0,,,64-56,,Turnover by K. Porzingis (lost ball; steal by K. Walker)
9:04.0,K. Walker makes 2-pt shot at rim,2,66-56,,
9:04.0,,,66-56,,New York full timeout
8:56.0,Personal foul by M. Kidd-Gilchrist (drawn by C. Anthony),,66-56,,
8:53.0,Technical foul by Team,,66-56,,
8:53.0,,,66-57,1,C. Anthony makes technical free throw
8:40.0,,,66-57,,Turnover by Team (shot clock)
8:21.0,,,66-57,,Personal foul by K. Porzingis (drawn by F. Kaminsky)
8:21.0,,,66-57,,W. Hernangomez enters the game for K. Porzingis
8:07.0,N. Batum misses 2-pt shot from 12 ft,,66-57,,
8:07.0,,,66-57,,Defensive rebound by C. Lee
7:43.0,,,66-57,,W. Hernangomez misses 2-pt shot from 15 ft
7:42.0,Defensive rebound by N. Batum,,66-57,,
7:29.0,K. Walker makes 2-pt shot from 1 ft (assist by C. Zeller),2,68-57,,
7:19.0,Violation by K. Walker (kicked ball),,68-57,,
7:19.0,,,68-57,,M. Kuzminskas enters the game for J. Noah
7:19.0,R. Sessions enters the game for K. Walker,,68-57,,
7:12.0,,,68-57,,D. Rose misses 2-pt shot from 17 ft
7:12.0,Defensive rebound by M. Kidd-Gilchrist,,68-57,,
7:00.0,Shooting foul by C. Anthony (drawn by M. Kidd-Gilchrist),,68-57,,
7:00.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller),2,70-57,,
7:00.0,M. Kidd-Gilchrist misses free throw 1 of 1,,70-57,,
6:59.0,,,70-57,,Defensive rebound by W. Hernangomez
6:43.0,,,70-59,2,D. Rose makes 2-pt shot from 2 ft (assist by W. Hernangomez)
6:43.0,,,70-59,,Shooting foul by C. Zeller (drawn by D. Rose)
6:43.0,,,70-60,1,D. Rose makes free throw 1 of 1
6:43.0,K. Walker enters the game for R. Sessions,,70-59,,
6:27.0,Turnover by K. Walker (bad pass; steal by C. Lee),,70-60,,
6:15.0,,,70-60,,D. Rose misses 2-pt shot from 1 ft
6:15.0,,,70-60,,Offensive rebound by W. Hernangomez
6:15.0,,,70-60,,Turnover by W. Hernangomez (offensive goaltending)
6:15.0,,,70-60,,Technical foul by Team
6:15.0,K. Walker misses technical free throw,,70-60,,
6:15.0,Offensive rebound by Team,,70-60,,
6:05.0,Turnover by K. Walker (bad pass; steal by M. Kuzminskas),,70-60,,
5:55.0,,,70-62,2,C. Anthony makes 2-pt shot at rim
5:55.0,,,70-62,,Shooting foul by F. Kaminsky (drawn by C. Anthony)
5:55.0,,,70-63,1,C. Anthony makes free throw 1 of 1
5:36.0,C. Zeller misses 2-pt shot from 3 ft,,70-63,,
5:36.0,,,70-63,,Defensive rebound by W. Hernangomez
5:28.0,,,70-63,,C. Lee misses 3-pt shot from 24 ft
5:27.0,,,70-63,,Offensive rebound by M. Kuzminskas
5:24.0,,,70-66,3,C. Anthony makes 3-pt shot from 25 ft (assist by M. Kuzminskas)
5:24.0,Charlotte full timeout,,70-66,,
5:11.0,Turnover by N. Batum (bad pass; steal by C. Anthony),,70-66,,
5:04.0,,,70-66,,C. Lee misses 2-pt shot from 11 ft
5:03.0,Defensive rebound by M. Kidd-Gilchrist,,70-66,,
4:48.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,72-66,,
4:32.0,,,72-68,2,C. Anthony makes 2-pt shot from 14 ft (assist by C. Lee)
4:18.0,K. Walker misses 2-pt shot from 11 ft,,72-68,,
4:18.0,,,72-68,,Defensive rebound by W. Hernangomez
4:00.0,,,72-70,2,W. Hernangomez makes 2-pt shot from 4 ft (assist by C. Anthony)
3:45.0,N. Batum misses 3-pt shot from 25 ft,,72-70,,
3:45.0,,,72-70,,Defensive rebound by C. Anthony
3:34.0,,,72-70,,Turnover by W. Hernangomez (bad pass; steal by K. Walker)
3:26.0,Turnover by C. Zeller (bad pass; steal by D. Rose),,72-70,,
3:20.0,,,72-72,2,D. Rose makes 2-pt shot at rim
3:05.0,Charlotte full timeout,,72-72,,
3:05.0,M. Belinelli enters the game for N. Batum,,72-72,,
3:05.0,R. Hibbert enters the game for C. Zeller,,72-72,,
2:58.0,K. Walker misses 3-pt shot from 25 ft,,72-72,,
2:57.0,,,72-72,,Defensive rebound by W. Hernangomez
2:41.0,,,72-75,3,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose)
2:26.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by C. Anthony),,72-75,,
2:15.0,,,72-75,,M. Kuzminskas misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by F. Kaminsky,,72-75,,
2:05.0,Shooting foul by W. Hernangomez (drawn by F. Kaminsky),,72-75,,
2:05.0,F. Kaminsky makes free throw 1 of 2,1,73-75,,
2:05.0,F. Kaminsky makes free throw 2 of 2,1,74-75,,
2:05.0,,,73-75,,B. Jennings enters the game for D. Rose
2:05.0,R. Sessions enters the game for K. Walker,,73-75,,
1:49.0,,,74-77,2,C. Anthony makes 2-pt shot from 9 ft
1:22.0,F. Kaminsky misses 3-pt shot from 24 ft,,74-77,,
1:21.0,,,74-77,,Defensive rebound by B. Jennings
1:17.0,,,74-77,,C. Anthony misses 2-pt shot from 21 ft
1:16.0,Defensive rebound by F. Kaminsky,,74-77,,
1:03.0,Turnover by F. Kaminsky (traveling),,74-77,,
0:49.0,,,74-77,,M. Kuzminskas misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by F. Kaminsky,,74-77,,
0:42.0,M. Belinelli misses 3-pt shot from 25 ft,,74-77,,
0:41.0,,,74-77,,Defensive rebound by C. Anthony
0:25.0,,,74-79,2,C. Lee makes 2-pt shot from 1 ft (assist by B. Jennings)
0:08.0,R. Sessions misses 2-pt shot from 1 ft (block by W. Hernangomez),,74-79,,
0:07.0,,,74-79,,Defensive rebound by M. Kuzminskas
0:02.0,,,74-79,,Offensive foul by C. Anthony
0:02.0,,,74-79,,Turnover by C. Anthony (offensive foul)
0:00.0,R. Sessions misses 2-pt shot from 20 ft,,74-79,,
0:00.0,Offensive rebound by Team,,74-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-79,,Turnover by B. Jennings (lost ball; steal by R. Sessions)
11:22.0,R. Hibbert misses 2-pt shot from 19 ft,,74-79,,
11:21.0,,,74-79,,Defensive rebound by B. Jennings
11:13.0,,,74-79,,K. Porzingis misses 3-pt shot from 27 ft
11:12.0,Defensive rebound by R. Hibbert,,74-79,,
10:59.0,N. Batum misses 2-pt shot from 1 ft (block by K. Porzingis),,74-79,,
10:58.0,Offensive rebound by Team,,74-79,,
10:55.0,Shooting foul by M. Kuzminskas (drawn by N. Batum),,74-79,,
10:55.0,N. Batum misses free throw 1 of 2,,74-79,,
10:55.0,Offensive rebound by Team,,74-79,,
10:55.0,N. Batum misses free throw 2 of 2,,74-79,,
10:54.0,,,74-79,,Defensive rebound by K. Porzingis
10:40.0,,,74-79,,K. Porzingis misses 2-pt shot from 4 ft
10:39.0,Defensive rebound by F. Kaminsky,,74-79,,
10:26.0,F. Kaminsky makes 2-pt shot from 4 ft,2,76-79,,
10:10.0,,,76-82,3,B. Jennings makes 3-pt shot from 25 ft (assist by M. Kuzminskas)
9:55.0,R. Sessions makes 2-pt shot from 12 ft,2,78-82,,
9:46.0,Personal foul by R. Sessions (drawn by B. Jennings),,78-82,,
