time,Atlanta,pts.away,score,pts.home,Cleveland
3:26.0,,,42-40,,Defensive rebound by K. Irving
3:21.0,,,42-43,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
3:05.0,M. Muscala makes 2-pt shot from 1 ft (assist by D. Bembry),2,44-43,,
2:49.0,,,44-45,2,K. Irving makes 2-pt shot from 5 ft
2:30.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by M. Muscala),2,46-45,,
2:10.0,,,46-45,,K. Irving misses 2-pt shot from 17 ft
2:09.0,,,46-45,,Offensive rebound by J. Smith
2:00.0,,,46-45,,J. Smith misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by E. Ilyasova,,46-45,,
1:41.0,M. Muscala makes 2-pt shot at rim (assist by M. Delaney),2,48-45,,
1:41.0,,,48-45,,Cleveland full timeout
1:41.0,Official timeout,,48-45,,
1:41.0,R. Kelly enters the game for E. Ilyasova,,48-45,,
1:41.0,,,48-45,,C. Frye enters the game for L. James
1:26.0,,,48-48,3,C. Frye makes 3-pt shot from 24 ft (assist by K. Korver)
1:06.0,D. Bembry makes 2-pt shot from 7 ft (assist by M. Muscala),2,50-48,,
0:52.0,,,50-48,,K. Love misses 2-pt shot from 1 ft (block by R. Kelly)
0:50.0,Defensive rebound by D. Bembry,,50-48,,
0:43.0,Shooting foul by K. Love (drawn by M. Dunleavy),,50-48,,
0:43.0,M. Dunleavy makes free throw 1 of 2,1,51-48,,
0:43.0,M. Dunleavy makes free throw 2 of 2,1,52-48,,
0:43.0,,,51-48,,R. Jefferson enters the game for K. Love
0:25.0,,,52-50,2,K. Irving makes 2-pt shot from 5 ft
0:02.0,M. Dunleavy misses 2-pt shot from 20 ft,,52-50,,
0:01.0,,,52-50,,Defensive rebound by C. Frye
0:00.0,,,52-50,,J. Smith misses 3-pt shot from 54 ft
0:00.0,,,52-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Waller-Prince misses 3-pt shot from 25 ft,,52-50,,
11:38.0,,,52-50,,Defensive rebound by C. Frye
11:30.0,,,52-52,2,L. James makes 2-pt shot from 1 ft
11:13.0,J. Calderon misses 2-pt shot from 16 ft,,52-52,,
11:12.0,,,52-52,,Defensive rebound by K. Love
11:05.0,,,52-54,2,L. James makes 2-pt shot from 1 ft
11:05.0,Atlanta full timeout,,52-54,,
10:44.0,J. Calderon misses 3-pt shot from 26 ft,,52-54,,
10:44.0,,,52-54,,Defensive rebound by K. Love
10:37.0,,,52-56,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
10:22.0,T. Waller-Prince makes 2-pt shot from 17 ft (assist by K. Humphries),2,54-56,,
10:06.0,,,54-56,,Shooting foul by E. Ilyasova (drawn by C. Frye)
10:06.0,,,54-57,1,C. Frye makes free throw 1 of 2
10:06.0,,,54-58,1,C. Frye makes free throw 2 of 2
9:48.0,K. Humphries misses 2-pt shot from 14 ft (block by C. Frye),,54-58,,
9:46.0,,,54-58,,Defensive rebound by K. Love
9:35.0,,,54-60,2,K. Love makes 2-pt shot from 2 ft (assist by K. Irving)
9:10.0,J. Calderon misses 3-pt shot from 24 ft,,54-60,,
9:09.0,Offensive rebound by K. Humphries,,54-60,,
9:01.0,J. Calderon misses 2-pt shot at rim,,54-60,,
9:00.0,Offensive rebound by E. Ilyasova,,54-60,,
8:59.0,E. Ilyasova misses 2-pt shot from 2 ft,,54-60,,
8:57.0,,,54-60,,Defensive rebound by L. James
8:48.0,,,54-60,,Turnover by L. James (lost ball)
8:37.0,T. Waller-Prince misses 2-pt shot from 1 ft,,54-60,,
8:36.0,,,54-60,,Defensive rebound by K. Love
8:26.0,,,54-60,,C. Frye misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by K. Humphries,,54-60,,
8:12.0,E. Ilyasova misses 2-pt shot from 1 ft,,54-60,,
8:11.0,Offensive rebound by E. Ilyasova,,54-60,,
8:11.0,E. Ilyasova makes 2-pt shot from 1 ft,2,56-60,,
8:00.0,,,56-62,2,K. Irving makes 2-pt shot from 5 ft
7:49.0,K. Humphries makes 2-pt shot at rim (assist by T. Hardaway),2,58-62,,
7:29.0,,,58-65,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
7:16.0,Offensive charge foul by T. Waller-Prince,,58-65,,
7:16.0,Turnover by T. Waller-Prince (offensive foul),,58-65,,
7:04.0,Personal foul by J. Calderon (drawn by K. Love),,58-65,,
7:04.0,R. Kelly enters the game for E. Ilyasova,,58-65,,
6:54.0,,,58-67,2,L. James makes 2-pt shot at rim (assist by K. Irving)
6:33.0,J. Calderon makes 3-pt shot from 26 ft (assist by T. Hardaway),3,61-67,,
6:21.0,,,61-67,,K. Love misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by J. Calderon,,61-67,,
6:16.0,K. Humphries makes 2-pt shot at rim (assist by J. Calderon),2,63-67,,
6:02.0,,,63-67,,Turnover by L. James (lost ball; steal by K. Humphries)
5:57.0,T. Hardaway makes 2-pt shot at rim (assist by J. Calderon),2,65-67,,
5:57.0,,,65-67,,Cleveland full timeout
5:57.0,D. Bembry enters the game for T. Waller-Prince,,65-67,,
5:57.0,M. Dunleavy enters the game for K. Humphries,,65-67,,
5:57.0,M. Muscala enters the game for T. Hardaway,,65-67,,
5:57.0,M. Delaney enters the game for J. Calderon,,65-67,,
5:45.0,,,65-67,,K. Irving misses 2-pt shot from 20 ft
5:40.0,Defensive rebound by M. Muscala,,65-67,,
5:33.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by M. Delaney),3,68-67,,
5:16.0,,,68-69,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
5:01.0,M. Muscala misses 2-pt shot from 21 ft,,68-69,,
4:59.0,,,68-69,,Defensive rebound by C. Frye
4:50.0,,,68-71,2,K. Irving makes 2-pt shot from 8 ft
4:29.0,D. Bembry misses 3-pt shot from 24 ft,,68-71,,
4:28.0,,,68-71,,Defensive rebound by K. Love
4:18.0,,,68-71,,K. Love misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by Team,,68-71,,
4:18.0,,,68-71,,R. Jefferson enters the game for C. Frye
4:03.0,M. Delaney misses 3-pt shot from 24 ft,,68-71,,
4:02.0,,,68-71,,Defensive rebound by K. Love
3:55.0,,,68-71,,Shooting foul by M. Dunleavy (drawn by L. James)
3:55.0,,,68-72,1,L. James makes free throw 1 of 2
3:55.0,,,68-72,,L. James misses free throw 2 of 2
3:53.0,Defensive rebound by D. Bembry,,68-72,,
3:39.0,M. Dunleavy misses 2-pt shot from 18 ft,,68-72,,
3:38.0,,,68-72,,Defensive rebound by L. James
3:32.0,,,68-72,,Shooting foul by M. Dunleavy (drawn by L. James)
3:32.0,,,68-72,,L. James misses free throw 1 of 2
3:32.0,,,68-72,,Offensive rebound by Team
3:32.0,,,68-72,,L. James misses free throw 2 of 2
3:31.0,Defensive rebound by R. Kelly,,68-72,,
3:18.0,M. Dunleavy makes 3-pt shot from 27 ft (assist by M. Delaney),3,71-72,,
3:01.0,,,71-72,,K. Love misses 3-pt shot from 26 ft
3:01.0,Defensive rebound by M. Muscala,,71-72,,
2:53.0,D. Bembry makes 2-pt shot from 1 ft (assist by R. Kelly),2,73-72,,
2:25.0,,,73-74,2,L. James makes 2-pt shot at rim
2:08.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by M. Muscala),3,76-74,,
1:55.0,,,76-74,,K. Irving misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by D. Bembry,,76-74,,
1:47.0,M. Muscala makes 2-pt shot from 2 ft (assist by D. Bembry),2,78-74,,
1:47.0,,,78-74,,Cleveland full timeout
1:47.0,,,78-74,,D. Williams enters the game for K. Love
1:47.0,,,78-74,,C. Frye enters the game for J. Smith
1:47.0,,,78-74,,K. Korver enters the game for K. Irving
1:30.0,,,78-74,,C. Frye misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by M. Delaney,,78-74,,
1:22.0,Shooting foul by C. Frye (drawn by R. Kelly),,78-74,,
1:22.0,R. Kelly makes free throw 1 of 2,1,79-74,,
1:22.0,R. Kelly makes free throw 2 of 2,1,80-74,,
1:07.0,Personal foul by D. Bembry (drawn by R. Jefferson),,80-74,,
1:07.0,,,80-75,1,R. Jefferson makes free throw 1 of 2
1:07.0,,,80-76,1,R. Jefferson makes free throw 2 of 2
0:55.0,M. Muscala makes 3-pt shot from 24 ft (assist by M. Delaney),3,83-76,,
0:43.0,,,83-76,,Turnover by L. James (bad pass; steal by D. Bembry)
0:32.0,R. Kelly misses 3-pt shot from 25 ft,,83-76,,
0:31.0,,,83-76,,Defensive rebound by L. James
0:10.0,,,83-78,2,C. Frye makes 2-pt shot at rim (assist by L. James)
0:01.0,M. Delaney misses 2-pt shot from 2 ft,,83-78,,
0:00.0,Offensive rebound by Team,,83-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,83-78,,R. Jefferson misses 2-pt shot from 4 ft (block by R. Kelly)
11:34.0,Defensive rebound by M. Delaney,,83-78,,
11:31.0,Turnover by D. Bembry (bad pass; steal by L. James),,83-78,,
11:21.0,,,83-78,,D. Williams misses 3-pt shot from 23 ft
11:20.0,,,83-78,,Offensive rebound by L. James
11:18.0,,,83-78,,Offensive foul by R. Jefferson
11:18.0,,,83-78,,Turnover by R. Jefferson (offensive foul)
11:18.0,K. Humphries enters the game for M. Muscala,,83-78,,
10:59.0,M. Dunleavy misses 3-pt shot from 24 ft,,83-78,,
10:57.0,,,83-78,,Defensive rebound by D. Williams
10:52.0,,,83-80,2,D. Williams makes 2-pt shot at rim
10:33.0,Shooting foul by D. Williams (drawn by M. Delaney),,83-80,,
10:33.0,M. Delaney makes free throw 1 of 2,1,84-80,,
10:33.0,M. Delaney makes free throw 2 of 2,1,85-80,,
10:33.0,J. Calderon enters the game for M. Dunleavy,,84-80,,
10:33.0,T. Waller-Prince enters the game for D. Bembry,,84-80,,
10:22.0,,,85-82,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
9:55.0,K. Humphries misses 2-pt shot from 13 ft,,85-82,,
9:54.0,,,85-82,,Defensive rebound by L. James
9:49.0,,,85-82,,L. James misses 2-pt shot at rim
9:48.0,Defensive rebound by T. Waller-Prince,,85-82,,
9:42.0,T. Waller-Prince misses 2-pt shot from 12 ft,,85-82,,
9:41.0,,,85-82,,Defensive rebound by L. James
9:33.0,,,85-84,2,L. James makes 2-pt shot at rim
9:24.0,Atlanta full timeout,,85-84,,
9:24.0,E. Ilyasova enters the game for M. Delaney,,85-84,,
9:24.0,T. Hardaway enters the game for R. Kelly,,85-84,,
9:13.0,Turnover by E. Ilyasova (bad pass; steal by R. Jefferson),,85-84,,
9:04.0,,,85-87,3,K. Korver makes 3-pt shot from 26 ft (assist by L. James)
8:49.0,J. Calderon makes 2-pt shot from 1 ft (assist by K. Humphries),2,87-87,,
8:39.0,Personal foul by E. Ilyasova (drawn by R. Jefferson),,87-87,,
8:25.0,,,87-87,,D. Williams misses 2-pt shot from 9 ft
8:23.0,Defensive rebound by K. Humphries,,87-87,,
8:04.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by T. Hardaway),2,89-87,,
7:46.0,,,89-87,,D. Williams misses 2-pt shot from 13 ft
7:45.0,Defensive rebound by K. Humphries,,89-87,,
7:30.0,E. Ilyasova misses 2-pt shot at rim (block by C. Frye),,89-87,,
7:28.0,,,89-87,,Defensive rebound by L. James
7:19.0,,,89-87,,K. Korver misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by K. Humphries,,89-87,,
7:12.0,T. Hardaway makes 2-pt shot from 1 ft,2,91-87,,
7:11.0,,,91-87,,Cleveland full timeout
7:11.0,M. Muscala enters the game for K. Humphries,,91-87,,
7:11.0,,,91-87,,K. Irving enters the game for L. James
7:11.0,,,91-87,,K. Love enters the game for C. Frye
7:11.0,,,91-87,,J. Smith enters the game for D. Williams
6:55.0,,,91-87,,K. Love misses 2-pt shot from 5 ft
6:50.0,Defensive rebound by T. Waller-Prince,,91-87,,
6:36.0,T. Hardaway misses 3-pt shot from 25 ft,,91-87,,
6:35.0,,,91-87,,Defensive rebound by K. Love
6:24.0,,,91-87,,K. Love misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by E. Ilyasova,,91-87,,
6:12.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Calderon),3,94-87,,
6:03.0,,,94-87,,Shooting foul by T. Waller-Prince (drawn by K. Irving)
6:03.0,,,94-88,1,K. Irving makes free throw 1 of 2
6:03.0,,,94-89,1,K. Irving makes free throw 2 of 2
6:03.0,,,94-88,,L. James enters the game for R. Jefferson
6:03.0,D. Bembry enters the game for T. Waller-Prince,,94-88,,
5:52.0,J. Calderon makes 2-pt shot from 1 ft (assist by M. Muscala),2,96-89,,
5:41.0,,,96-89,,Turnover by K. Love (offensive foul)
5:41.0,,,96-89,,Offensive foul by K. Love
5:26.0,E. Ilyasova misses 3-pt shot from 25 ft,,96-89,,
5:26.0,,,96-89,,Defensive rebound by J. Smith
5:17.0,,,96-89,,K. Irving misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by E. Ilyasova,,96-89,,
5:07.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Calderon),3,99-89,,
4:44.0,,,99-89,,K. Love misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by M. Muscala,,99-89,,
4:35.0,T. Hardaway makes 2-pt shot at rim (assist by E. Ilyasova),2,101-89,,
4:19.0,,,101-89,,J. Smith misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by T. Hardaway,,101-89,,
4:15.0,M. Muscala makes 2-pt shot at rim (assist by T. Hardaway),2,103-89,,
4:15.0,,,103-89,,Cleveland full timeout
4:15.0,M. Delaney enters the game for J. Calderon,,103-89,,
3:59.0,,,103-89,,K. Korver misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by D. Bembry,,103-89,,
3:47.0,,,103-89,,Personal foul by K. Love (drawn by M. Delaney)
3:32.0,T. Hardaway makes 3-pt shot from 27 ft (assist by M. Delaney),3,106-89,,
3:18.0,,,106-89,,L. James misses 2-pt shot from 6 ft
3:16.0,,,106-89,,Offensive rebound by Team
3:16.0,,,106-89,,C. Frye enters the game for K. Korver
3:04.0,,,106-92,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
2:39.0,M. Delaney makes 3-pt shot from 25 ft (assist by T. Hardaway),3,109-92,,
2:31.0,,,109-94,2,L. James makes 2-pt shot from 1 ft
2:12.0,T. Hardaway makes 2-pt shot from 14 ft,2,111-94,,
2:00.0,,,111-94,,Turnover by K. Love (bad pass; steal by T. Hardaway)
1:56.0,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Bembry),3,114-94,,
1:56.0,,,114-94,,Cleveland full timeout
1:56.0,,,114-94,,J. Jones enters the game for L. James
1:56.0,,,114-94,,D. Williams enters the game for K. Love
1:56.0,,,114-94,,L. Sanders enters the game for C. Frye
1:56.0,,,114-94,,D. Liggins enters the game for J. Smith
1:56.0,,,114-94,,D. Williams enters the game for K. Irving
1:56.0,J. Calderon enters the game for E. Ilyasova,,114-94,,
1:56.0,M. Dunleavy enters the game for T. Hardaway,,114-94,,
1:56.0,K. Humphries enters the game for M. Muscala,,114-94,,
1:46.0,,,114-96,2,D. Williams makes 2-pt shot from 19 ft
1:24.0,M. Delaney misses 2-pt shot from 3 ft (block by L. Sanders),,114-96,,
1:23.0,,,114-96,,Defensive rebound by D. Williams
1:17.0,,,114-96,,Offensive charge foul by D. Williams
1:17.0,,,114-96,,Turnover by D. Williams (offensive foul)
0:58.0,K. Humphries misses 2-pt shot from 20 ft,,114-96,,
0:57.0,,,114-96,,Defensive rebound by Team
0:47.0,,,114-96,,Shooting foul by K. Humphries (drawn by L. Sanders)
0:47.0,,,114-97,1,L. Sanders makes free throw 1 of 2
0:47.0,,,114-98,1,L. Sanders makes free throw 2 of 2
0:24.0,Turnover by D. Bembry (bad pass; steal by L. Sanders),,114-98,,
