time,Washington,pts.away,score,pts.home,San Antonio
8:05.0,J. Wall misses 2-pt shot from 2 ft,,9-5,,
8:04.0,Offensive rebound by M. Gortat,,9-5,,
7:55.0,O. Porter misses 3-pt shot from 22 ft,,9-5,,
7:53.0,,,9-5,,Defensive rebound by K. Leonard
7:48.0,,,9-5,,K. Leonard misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by M. Morris,,9-5,,
7:41.0,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris),3,12-5,,
7:21.0,,,12-5,,K. Leonard misses 2-pt shot from 21 ft
7:19.0,Defensive rebound by O. Porter,,12-5,,
7:05.0,M. Morris makes 2-pt shot from 4 ft (assist by J. Wall),2,14-5,,
6:45.0,,,14-7,2,P. Gasol makes 2-pt shot from 14 ft
6:37.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,16-7,,
6:19.0,,,16-7,,Shooting foul by M. Gortat (drawn by P. Gasol)
6:19.0,,,16-7,,P. Gasol misses free throw 1 of 2
6:19.0,,,16-7,,Offensive rebound by Team
6:19.0,,,16-7,,P. Gasol misses free throw 2 of 2
6:19.0,Defensive rebound by M. Gortat,,16-7,,
6:19.0,,,16-7,,M. Ginobili enters the game for D. Green
6:19.0,,,16-7,,P. Mills enters the game for N. Laprovittola
6:03.0,M. Morris makes 2-pt shot from 12 ft (assist by M. Gortat),2,18-7,,
5:50.0,,,18-7,,L. Aldridge misses 2-pt shot from 17 ft
5:49.0,,,18-7,,Offensive rebound by P. Gasol
5:46.0,,,18-7,,P. Gasol misses 2-pt shot from 15 ft
5:45.0,,,18-7,,Offensive rebound by P. Mills
5:42.0,,,18-9,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
5:25.0,M. Morris misses 2-pt shot from 20 ft,,18-9,,
5:23.0,,,18-9,,Defensive rebound by P. Gasol
5:13.0,,,18-9,,Shooting foul by M. Morris (drawn by L. Aldridge)
5:13.0,,,18-9,,San Antonio full timeout
5:13.0,,,18-9,,L. Aldridge misses free throw 1 of 2
5:13.0,,,18-9,,Offensive rebound by Team
5:13.0,,,18-10,1,L. Aldridge makes free throw 2 of 2
5:13.0,,,18-9,,D. Dedmon enters the game for P. Gasol
5:13.0,M. Thornton enters the game for B. Beal,,18-9,,
4:55.0,M. Morris makes 2-pt shot from 16 ft,2,20-10,,
4:41.0,,,20-10,,L. Aldridge misses 2-pt shot from 4 ft (block by M. Morris)
4:39.0,Defensive rebound by M. Gortat,,20-10,,
4:37.0,,,20-10,,Personal foul by M. Ginobili (drawn by J. Wall)
4:26.0,M. Morris misses 2-pt shot from 3 ft,,20-10,,
4:25.0,,,20-10,,Defensive rebound by L. Aldridge
4:09.0,,,20-12,2,M. Ginobili makes 2-pt shot from 15 ft (assist by P. Mills)
4:02.0,M. Morris misses 2-pt shot from 1 ft,,20-12,,
4:01.0,,,20-12,,Defensive rebound by K. Leonard
3:54.0,Personal foul by O. Porter (drawn by K. Leonard),,20-12,,
3:54.0,J. Smith enters the game for M. Morris,,20-12,,
3:54.0,,,20-12,,D. Lee enters the game for L. Aldridge
3:47.0,,,20-14,2,K. Leonard makes 2-pt shot from 15 ft (assist by P. Mills)
3:32.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,22-14,,
3:14.0,,,22-14,,K. Leonard misses 2-pt shot from 14 ft
3:12.0,Defensive rebound by M. Gortat,,22-14,,
3:04.0,M. Thornton misses 2-pt shot from 8 ft,,22-14,,
3:03.0,,,22-14,,Defensive rebound by D. Dedmon
2:57.0,,,22-14,,M. Ginobili misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by M. Gortat,,22-14,,
2:48.0,Shooting foul by D. Dedmon (drawn by M. Gortat),,22-14,,
2:48.0,Washington full timeout,,22-14,,
2:48.0,M. Gortat makes free throw 1 of 2,1,23-14,,
2:48.0,M. Gortat makes free throw 2 of 2,1,24-14,,
2:48.0,K. Oubre enters the game for O. Porter,,22-14,,
2:36.0,Personal foul by M. Thornton (drawn by M. Ginobili),,24-14,,
2:36.0,,,24-15,1,M. Ginobili makes free throw 1 of 2
2:36.0,,,24-16,1,M. Ginobili makes free throw 2 of 2
2:36.0,,,24-15,,J. Simmons enters the game for K. Leonard
2:22.0,M. Thornton misses 3-pt shot from 25 ft,,24-16,,
2:21.0,,,24-16,,Defensive rebound by D. Lee
2:17.0,,,24-16,,Offensive foul by D. Dedmon
2:17.0,,,24-16,,Turnover by D. Dedmon (offensive foul)
2:17.0,T. Burke enters the game for J. Wall,,24-16,,
2:01.0,K. Oubre makes 2-pt shot from 19 ft,2,26-16,,
1:51.0,Personal foul by J. Smith (drawn by J. Simmons),,26-16,,
1:51.0,,,26-16,,J. Simmons misses free throw 1 of 2
1:51.0,,,26-16,,Offensive rebound by Team
1:51.0,,,26-17,1,J. Simmons makes free throw 2 of 2
1:39.0,M. Gortat misses 2-pt shot from 2 ft,,26-17,,
1:37.0,Offensive rebound by J. Smith,,26-17,,
1:37.0,M. Gortat misses 2-pt shot from 1 ft,,26-17,,
1:37.0,,,26-17,,Defensive rebound by D. Dedmon
1:27.0,,,26-19,2,P. Mills makes 2-pt shot from 21 ft (assist by M. Ginobili)
1:12.0,J. Smith misses 2-pt shot from 19 ft,,26-19,,
1:11.0,,,26-19,,Defensive rebound by D. Dedmon
1:02.0,,,26-19,,D. Dedmon misses 2-pt shot from 8 ft (block by M. Gortat)
1:00.0,Defensive rebound by M. Gortat,,26-19,,
0:58.0,T. Burke misses 2-pt shot from 1 ft (block by J. Simmons),,26-19,,
0:58.0,Offensive rebound by Team,,26-19,,
0:47.0,M. Gortat misses 2-pt shot from 14 ft,,26-19,,
0:47.0,Offensive rebound by M. Thornton,,26-19,,
0:47.0,M. Thornton makes 2-pt shot from 1 ft,2,28-19,,
0:29.0,,,28-22,3,P. Mills makes 3-pt shot from 23 ft (assist by D. Lee)
0:04.0,T. Burke misses 2-pt shot from 19 ft,,28-22,,
0:02.0,,,28-22,,Defensive rebound by Team
0:00.0,,,28-24,2,M. Ginobili makes 2-pt shot from 14 ft (assist by J. Simmons)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-24,,Personal foul by D. Lee (drawn by M. Gortat)
11:43.0,M. Morris enters the game for M. Gortat,,28-24,,
11:36.0,J. Smith misses 2-pt shot from 19 ft,,28-24,,
11:35.0,,,28-24,,Defensive rebound by D. Lee
11:33.0,,,28-24,,Turnover by D. Lee (lost ball; steal by M. Thornton)
11:20.0,Turnover by M. Morris (bad pass; steal by M. Ginobili),,28-24,,
11:20.0,Personal take foul by M. Thornton (drawn by M. Ginobili),,28-24,,
11:09.0,,,28-26,2,P. Gasol makes 2-pt shot from 2 ft (assist by M. Ginobili)
10:47.0,J. Smith makes 2-pt shot from 15 ft (assist by K. Oubre),2,30-26,,
10:33.0,,,30-26,,P. Gasol misses 2-pt shot from 8 ft
10:33.0,Defensive rebound by Team,,30-26,,
10:10.0,J. Smith makes 2-pt shot from 9 ft (assist by K. Oubre),2,32-26,,
10:10.0,,,32-26,,San Antonio full timeout
10:10.0,,,32-26,,N. Laprovittola enters the game for P. Mills
10:10.0,,,32-26,,D. Green enters the game for M. Ginobili
9:46.0,,,32-28,2,P. Gasol makes 2-pt shot from 11 ft
9:29.0,J. Smith makes 2-pt shot from 10 ft (assist by T. Burke),2,34-28,,
9:12.0,,,34-30,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Lee)
9:02.0,,,34-30,,Personal foul by D. Green (drawn by K. Oubre)
9:02.0,,,34-30,,L. Aldridge enters the game for D. Lee
8:49.0,M. Thornton makes 2-pt shot from 5 ft,2,36-30,,
8:49.0,Shooting foul by L. Aldridge (drawn by M. Thornton),,36-30,,
8:49.0,M. Thornton makes free throw 1 of 1,1,37-30,,
8:35.0,,,37-30,,P. Gasol misses 2-pt shot from 7 ft
8:34.0,,,37-30,,Offensive rebound by P. Gasol
8:34.0,,,37-30,,P. Gasol misses 2-pt shot from 3 ft
8:32.0,,,37-30,,Offensive rebound by P. Gasol
8:32.0,,,37-30,,P. Gasol misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by M. Thornton,,37-30,,
8:25.0,M. Thornton misses 2-pt shot from 2 ft,,37-30,,
8:24.0,,,37-30,,Defensive rebound by P. Gasol
8:05.0,,,37-30,,Turnover by D. Green (bad pass; steal by M. Thornton)
7:46.0,T. Burke makes 2-pt shot from 13 ft,2,39-30,,
7:30.0,,,39-30,,Shooting foul by T. Burke (drawn by J. Simmons)
7:30.0,,,39-31,1,J. Simmons makes free throw 1 of 2
7:30.0,,,39-32,1,J. Simmons makes free throw 2 of 2
7:30.0,M. Gortat enters the game for J. Smith,,39-31,,
7:30.0,J. Wall enters the game for T. Burke,,39-31,,
7:14.0,Turnover by M. Morris (bad pass),,39-32,,
7:14.0,,,39-32,,K. Leonard enters the game for J. Simmons
7:03.0,Def 3 sec tech foul by M. Morris,,39-32,,
7:03.0,,,39-33,1,K. Leonard makes technical free throw
7:03.0,O. Porter enters the game for K. Oubre,,39-33,,
6:51.0,,,39-36,3,N. Laprovittola makes 3-pt shot from 25 ft (assist by K. Leonard)
6:38.0,J. Wall makes 2-pt shot from 9 ft,2,41-36,,
6:22.0,,,41-36,,D. Green misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by Team,,41-36,,
6:21.0,B. Beal enters the game for M. Thornton,,41-36,,
6:10.0,Turnover by J. Wall (bad pass; steal by N. Laprovittola),,41-36,,
6:05.0,,,41-38,2,P. Gasol makes 2-pt shot at rim (assist by N. Laprovittola)
5:59.0,Washington full timeout,,41-38,,
5:44.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Morris),3,44-38,,
5:28.0,,,44-38,,N. Laprovittola misses 2-pt shot from 24 ft
5:28.0,Defensive rebound by O. Porter,,44-38,,
5:19.0,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter),3,47-38,,
5:05.0,,,47-40,2,K. Leonard makes 2-pt shot from 17 ft
4:46.0,M. Gortat makes 2-pt shot at rim (assist by M. Morris),2,49-40,,
4:32.0,,,49-40,,K. Leonard misses 2-pt shot from 16 ft
4:31.0,,,49-40,,Offensive rebound by L. Aldridge
4:23.0,,,49-43,3,K. Leonard makes 3-pt shot from 23 ft (assist by N. Laprovittola)
4:09.0,B. Beal misses 2-pt shot from 20 ft,,49-43,,
4:08.0,,,49-43,,Defensive rebound by Team
4:08.0,,,49-43,,P. Mills enters the game for N. Laprovittola
4:08.0,,,49-43,,M. Ginobili enters the game for D. Green
3:58.0,,,49-45,2,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Mills)
3:45.0,Turnover by B. Beal (lost ball; steal by K. Leonard),,49-45,,
3:39.0,,,49-45,,Turnover by M. Ginobili (bad pass; steal by J. Wall)
3:33.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,51-45,,
3:18.0,Shooting block foul by B. Beal (drawn by P. Gasol),,51-45,,
3:18.0,,,51-46,1,P. Gasol makes free throw 1 of 2
3:18.0,,,51-46,,P. Gasol misses free throw 2 of 2
3:17.0,Defensive rebound by O. Porter,,51-46,,
3:04.0,J. Wall makes 2-pt shot from 20 ft,2,53-46,,
2:35.0,,,53-48,2,P. Gasol makes 2-pt shot from 4 ft
2:26.0,J. Wall misses 2-pt shot from 7 ft,,53-48,,
2:25.0,Offensive rebound by M. Gortat,,53-48,,
2:25.0,M. Gortat misses 2-pt shot from 2 ft,,53-48,,
2:24.0,,,53-48,,Defensive rebound by P. Mills
2:14.0,,,53-50,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Leonard)
2:08.0,Washington full timeout,,53-50,,
2:08.0,Official timeout,,53-50,,
2:08.0,,,53-50,,D. Lee enters the game for P. Gasol
1:57.0,M. Gortat misses 2-pt shot from 1 ft,,53-50,,
1:56.0,,,53-50,,Defensive rebound by M. Ginobili
1:47.0,,,53-52,2,L. Aldridge makes 2-pt shot from 6 ft (assist by M. Ginobili)
1:22.0,J. Wall makes 2-pt shot from 15 ft,2,55-52,,
1:10.0,,,55-52,,P. Mills misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by O. Porter,,55-52,,
0:59.0,J. Wall misses 2-pt shot from 18 ft,,55-52,,
0:59.0,Offensive rebound by M. Gortat,,55-52,,
0:59.0,M. Gortat makes 2-pt shot from 2 ft,2,57-52,,
0:39.0,,,57-54,2,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili)
0:29.0,Shooting foul by L. Aldridge (drawn by B. Beal),,57-54,,
0:29.0,B. Beal makes 2-pt shot from 2 ft,2,59-54,,
0:29.0,B. Beal makes free throw 1 of 1,1,60-54,,
0:06.0,,,60-54,,D. Lee misses 2-pt shot from 1 ft
0:05.0,,,60-54,,Offensive rebound by D. Lee
0:05.0,,,60-54,,D. Lee misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by O. Porter,,60-54,,
0:02.0,Turnover by O. Porter (bad pass; steal by M. Ginobili),,60-54,,
0:00.0,,,60-57,3,M. Ginobili makes 3-pt shot from 33 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Gortat makes 2-pt shot from 10 ft (assist by J. Wall),2,62-57,,
11:26.0,,,62-57,,N. Laprovittola misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by M. Morris,,62-57,,
11:07.0,O. Porter misses 3-pt shot from 22 ft,,62-57,,
11:06.0,,,62-57,,Defensive rebound by P. Gasol
10:50.0,,,62-57,,K. Leonard misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by J. Wall,,62-57,,
10:37.0,J. Wall misses 2-pt shot from 19 ft,,62-57,,
10:35.0,,,62-57,,Defensive rebound by K. Leonard
10:23.0,,,62-57,,L. Aldridge misses 2-pt shot from 9 ft
10:21.0,Defensive rebound by M. Gortat,,62-57,,
10:11.0,M. Morris makes 2-pt shot from 17 ft,2,64-57,,
9:47.0,,,64-57,,Turnover by N. Laprovittola (bad pass; steal by O. Porter)
9:45.0,Turnover by O. Porter (bad pass; steal by D. Green),,64-57,,
9:22.0,,,64-57,,K. Leonard misses 2-pt shot from 6 ft
9:21.0,,,64-57,,Offensive rebound by P. Gasol
9:18.0,,,64-57,,P. Gasol misses 2-pt shot at rim
9:15.0,Defensive rebound by M. Gortat,,64-57,,
9:09.0,J. Wall misses 2-pt shot from 13 ft,,64-57,,
9:08.0,,,64-57,,Defensive rebound by Team
8:59.0,,,64-60,3,P. Gasol makes 3-pt shot from 25 ft (assist by N. Laprovittola)
8:37.0,B. Beal misses 2-pt shot from 8 ft,,64-60,,
8:35.0,,,64-60,,Defensive rebound by K. Leonard
8:29.0,,,64-60,,D. Green misses 3-pt shot from 25 ft
8:27.0,,,64-60,,Offensive rebound by K. Leonard
8:21.0,,,64-60,,L. Aldridge misses 2-pt shot from 21 ft
8:21.0,Defensive rebound by O. Porter,,64-60,,
8:17.0,Turnover by J. Wall (bad pass; steal by N. Laprovittola),,64-60,,
8:14.0,,,64-60,,Shooting foul by M. Morris (drawn by N. Laprovittola)
8:14.0,,,64-61,1,N. Laprovittola makes free throw 1 of 2
8:14.0,,,64-62,1,N. Laprovittola makes free throw 2 of 2
8:00.0,M. Gortat misses 2-pt shot from 4 ft (block by P. Gasol),,64-62,,
7:59.0,,,64-62,,Defensive rebound by P. Gasol
7:56.0,,,64-62,,Turnover by D. Green (bad pass; steal by O. Porter)
7:49.0,,,64-62,,Personal foul by N. Laprovittola (drawn by B. Beal)
7:39.0,J. Wall misses 2-pt shot from 17 ft,,64-62,,
7:37.0,,,64-62,,Defensive rebound by N. Laprovittola
7:22.0,,,64-62,,K. Leonard misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by O. Porter,,64-62,,
7:04.0,B. Beal misses 2-pt shot from 2 ft (block by L. Aldridge),,64-62,,
7:04.0,,,64-62,,Defensive rebound by Team
7:04.0,Loose ball foul by B. Beal (drawn by P. Gasol),,64-62,,
6:44.0,,,64-64,2,L. Aldridge makes 2-pt shot from 12 ft
6:27.0,Shooting foul by N. Laprovittola (drawn by M. Morris),,64-64,,
6:27.0,M. Morris makes free throw 1 of 2,1,65-64,,
6:27.0,M. Morris makes free throw 2 of 2,1,66-64,,
6:27.0,,,65-64,,P. Mills enters the game for N. Laprovittola
6:09.0,,,66-64,,Turnover by L. Aldridge (bad pass; steal by J. Wall)
6:01.0,O. Porter makes 2-pt shot from 11 ft (assist by J. Wall),2,68-64,,
5:52.0,,,68-64,,Shooting foul by M. Morris (drawn by P. Gasol)
5:52.0,,,68-64,,San Antonio full timeout
5:52.0,,,68-65,1,P. Gasol makes free throw 1 of 2
5:52.0,,,68-65,,P. Gasol misses free throw 2 of 2
5:52.0,,,68-64,,M. Ginobili enters the game for D. Green
5:50.0,Defensive rebound by M. Gortat,,68-65,,
5:39.0,Offensive foul by M. Gortat,,68-65,,
5:39.0,Turnover by M. Gortat (offensive foul),,68-65,,
5:19.0,,,68-67,2,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Mills)
4:54.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,71-67,,
4:41.0,,,71-69,2,P. Gasol makes 2-pt shot from 22 ft (assist by P. Mills)
4:22.0,M. Gortat misses 2-pt shot from 1 ft (block by P. Gasol),,71-69,,
4:21.0,,,71-69,,Defensive rebound by P. Gasol
4:09.0,,,71-71,2,M. Ginobili makes 2-pt shot from 5 ft
4:09.0,Washington full timeout,,71-71,,
4:09.0,M. Thornton enters the game for B. Beal,,71-71,,
4:09.0,J. Smith enters the game for M. Morris,,71-71,,
4:09.0,,,71-71,,D. Lee enters the game for L. Aldridge
4:02.0,,,71-71,,Personal foul by M. Ginobili (drawn by M. Thornton)
3:42.0,Turnover by Team (shot clock),,71-71,,
3:26.0,,,71-71,,D. Lee misses 2-pt shot at rim (block by M. Gortat)
3:25.0,Defensive rebound by J. Wall,,71-71,,
3:18.0,M. Thornton misses 2-pt shot from 21 ft,,71-71,,
3:17.0,,,71-71,,Defensive rebound by P. Gasol
3:07.0,,,71-71,,Turnover by P. Gasol (bad pass; steal by M. Gortat)
3:00.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,73-71,,
2:37.0,,,73-71,,P. Gasol misses 3-pt shot from 24 ft
2:37.0,Defensive rebound by M. Thornton,,73-71,,
2:24.0,J. Smith misses 2-pt shot from 19 ft,,73-71,,
2:24.0,,,73-71,,Defensive rebound by D. Lee
2:14.0,,,73-71,,Shooting foul by M. Gortat (drawn by D. Lee)
2:14.0,,,73-72,1,D. Lee makes free throw 1 of 2
2:14.0,,,73-73,1,D. Lee makes free throw 2 of 2
2:14.0,,,73-72,,D. Dedmon enters the game for P. Gasol
2:14.0,T. Burke enters the game for J. Wall,,73-72,,
2:14.0,K. Oubre enters the game for O. Porter,,73-72,,
2:14.0,,,73-72,,J. Simmons enters the game for K. Leonard
2:02.0,Offensive foul by J. Smith,,73-73,,
2:02.0,Turnover by J. Smith (offensive foul),,73-73,,
1:38.0,,,73-73,,M. Ginobili misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by M. Gortat,,73-73,,
1:27.0,T. Burke misses 2-pt shot from 18 ft,,73-73,,
1:27.0,Offensive rebound by Team,,73-73,,
1:15.0,Shooting foul by D. Dedmon (drawn by M. Gortat),,73-73,,
1:15.0,M. Gortat misses free throw 1 of 2,,73-73,,
1:15.0,Offensive rebound by Team,,73-73,,
1:15.0,M. Gortat makes free throw 2 of 2,1,74-73,,
1:00.0,,,74-76,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:51.0,Turnover by K. Oubre (bad pass; steal by M. Ginobili),,74-76,,
0:51.0,Personal foul by M. Thornton (drawn by M. Ginobili),,74-76,,
0:51.0,,,74-77,1,M. Ginobili makes free throw 1 of 2
0:51.0,,,74-78,1,M. Ginobili makes free throw 2 of 2
0:34.0,Turnover by K. Oubre (lost ball; steal by J. Simmons),,74-78,,
0:31.0,,,74-78,,Turnover by M. Ginobili (lost ball; steal by M. Thornton)
0:25.0,M. Thornton misses 2-pt shot from 9 ft,,74-78,,
0:24.0,Offensive rebound by M. Gortat,,74-78,,
0:20.0,K. Oubre misses 3-pt shot from 24 ft,,74-78,,
0:19.0,,,74-78,,Defensive rebound by P. Mills
0:03.0,Shooting block foul by J. Smith (drawn by D. Lee),,74-78,,
0:03.0,,,74-80,2,D. Lee makes 2-pt shot from 2 ft (assist by M. Ginobili)
0:03.0,,,74-80,,D. Lee misses free throw 1 of 1
0:01.0,,,74-80,,Offensive rebound by D. Dedmon
0:00.0,,,74-80,,D. Dedmon misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by K. Oubre,,74-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Personal foul by K. Oubre (drawn by J. Simmons),,74-80,,
11:45.0,,,74-82,2,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills)
11:45.0,,,74-82,,Shooting foul by J. Smith (drawn by D. Lee)
11:45.0,,,74-82,,D. Lee misses free throw 1 of 1
11:45.0,Defensive rebound by J. Smith,,74-82,,
11:45.0,,,74-82,,L. Aldridge enters the game for D. Dedmon
11:26.0,O. Porter makes 2-pt shot from 19 ft,2,76-82,,
11:14.0,,,76-82,,Turnover by P. Mills (bad pass; steal by T. Burke)
11:10.0,K. Oubre makes 2-pt shot from 2 ft (assist by O. Porter),2,78-82,,
10:52.0,,,78-82,,Shooting foul by J. Smith (drawn by L. Aldridge)
10:52.0,,,78-83,1,L. Aldridge makes free throw 1 of 2
10:52.0,,,78-84,1,L. Aldridge makes free throw 2 of 2
10:52.0,,,78-83,,N. Laprovittola enters the game for P. Mills
10:52.0,,,78-83,,P. Gasol enters the game for D. Lee
10:34.0,K. Oubre misses 2-pt shot from 4 ft,,78-84,,
10:34.0,Offensive rebound by Team,,78-84,,
10:34.0,M. Gortat enters the game for J. Smith,,78-84,,
10:34.0,M. Morris enters the game for O. Porter,,78-84,,
10:31.0,Turnover by M. Morris (bad pass; steal by P. Gasol),,78-84,,
10:31.0,Personal foul by M. Thornton (drawn by J. Simmons),,78-84,,
10:10.0,,,78-84,,Shooting foul by K. Oubre (drawn by J. Simmons)
10:10.0,,,78-85,1,J. Simmons makes free throw 1 of 2
10:10.0,,,78-86,1,J. Simmons makes free throw 2 of 2
10:10.0,,,78-84,,D. Green enters the game for M. Ginobili
10:10.0,J. Wall enters the game for T. Burke,,78-85,,
9:58.0,Offensive foul by M. Thornton,,78-86,,
9:58.0,Turnover by M. Thornton (offensive foul),,78-86,,
9:47.0,,,78-86,,Turnover by N. Laprovittola (bad pass; steal by M. Gortat)
9:47.0,Turnover by M. Morris (bad pass; steal by J. Simmons),,78-86,,
9:24.0,,,78-88,2,N. Laprovittola makes 2-pt shot from 2 ft
9:24.0,Washington full timeout,,78-88,,
9:24.0,O. Porter enters the game for K. Oubre,,78-88,,
9:24.0,B. Beal enters the game for M. Thornton,,78-88,,
9:10.0,J. Wall makes 2-pt shot from 7 ft,2,80-88,,
8:51.0,,,80-88,,Turnover by J. Simmons (lost ball; steal by J. Wall)
8:41.0,J. Wall misses 2-pt shot from 11 ft,,80-88,,
8:40.0,Offensive rebound by M. Gortat,,80-88,,
8:25.0,Turnover by Team (back court),,80-88,,
8:10.0,,,80-88,,L. Aldridge misses 2-pt shot from 13 ft
8:08.0,Defensive rebound by O. Porter,,80-88,,
7:54.0,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat),3,83-88,,
7:54.0,,,83-88,,San Antonio full timeout
7:54.0,,,83-88,,K. Leonard enters the game for J. Simmons
7:54.0,,,83-88,,P. Mills enters the game for N. Laprovittola
7:31.0,,,83-88,,P. Gasol misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by O. Porter,,83-88,,
7:16.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,85-88,,
6:59.0,,,85-90,2,K. Leonard makes 2-pt shot from 18 ft (assist by P. Gasol)
6:45.0,Turnover by J. Wall (bad pass; steal by K. Leonard),,85-90,,
6:27.0,,,85-92,2,L. Aldridge makes 2-pt shot at rim
6:16.0,,,85-92,,Personal foul by P. Mills
6:07.0,Offensive foul by M. Gortat,,85-92,,
6:07.0,Turnover by M. Gortat (offensive foul),,85-92,,
5:55.0,Personal foul by M. Gortat (drawn by K. Leonard),,85-92,,
5:55.0,,,85-93,1,K. Leonard makes free throw 1 of 2
5:55.0,,,85-94,1,K. Leonard makes free throw 2 of 2
5:40.0,J. Wall makes 2-pt shot at rim,2,87-94,,
5:20.0,,,87-96,2,K. Leonard makes 2-pt shot at rim (assist by L. Aldridge)
5:02.0,O. Porter makes 2-pt shot from 10 ft (assist by J. Wall),2,89-96,,
4:41.0,,,89-96,,K. Leonard misses 2-pt shot from 12 ft
4:41.0,Defensive rebound by M. Gortat,,89-96,,
4:29.0,J. Wall makes 2-pt shot from 8 ft,2,91-96,,
4:15.0,,,91-96,,P. Mills misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by M. Gortat,,91-96,,
4:11.0,Shooting foul by D. Green (drawn by M. Morris),,91-96,,
4:11.0,M. Morris makes free throw 1 of 2,1,92-96,,
4:11.0,M. Morris makes free throw 2 of 2,1,93-96,,
4:11.0,,,92-96,,M. Ginobili enters the game for D. Green
3:53.0,,,93-96,,L. Aldridge misses 2-pt shot from 12 ft
3:51.0,Defensive rebound by O. Porter,,93-96,,
3:35.0,Shooting foul by L. Aldridge (drawn by M. Gortat),,93-96,,
3:35.0,M. Gortat makes free throw 1 of 2,1,94-96,,
