time,LA Lakers,pts.away,score,pts.home,Brooklyn
6:09.0,L. Deng makes 2-pt shot from 2 ft,2,15-13,,
5:46.0,,,15-15,2,I. Whitehead makes 2-pt shot from 6 ft
5:22.0,Shooting foul by B. Lopez (drawn by T. Mozgov),,15-15,,
5:22.0,T. Mozgov misses free throw 1 of 2,,15-15,,
5:22.0,Offensive rebound by Team,,15-15,,
5:22.0,T. Mozgov makes free throw 2 of 2,1,16-15,,
5:22.0,,,15-15,,J. Harris enters the game for I. Whitehead
5:22.0,,,15-15,,A. Bennett enters the game for B. Lopez
5:22.0,J. Clarkson enters the game for N. Young,,15-15,,
5:22.0,B. Ingram enters the game for L. Deng,,15-15,,
5:13.0,,,16-15,,Shooting foul by D. Russell (drawn by S. Kilpatrick)
5:13.0,,,16-16,1,S. Kilpatrick makes free throw 1 of 2
5:13.0,,,16-17,1,S. Kilpatrick makes free throw 2 of 2
5:13.0,L. Nance enters the game for T. Mozgov,,16-16,,
5:13.0,L. Williams enters the game for D. Russell,,16-16,,
4:58.0,J. Clarkson misses 2-pt shot from 19 ft,,16-17,,
4:56.0,,,16-17,,Defensive rebound by A. Bennett
4:39.0,,,16-17,,A. Bennett misses 2-pt shot from 1 ft (block by L. Nance)
4:36.0,Defensive rebound by B. Ingram,,16-17,,
4:32.0,B. Ingram misses 3-pt shot from 26 ft,,16-17,,
4:31.0,,,16-17,,Defensive rebound by T. Booker
4:26.0,,,16-17,,Shooting foul by L. Williams (drawn by A. Bennett)
4:26.0,,,16-18,1,A. Bennett makes free throw 1 of 2
4:26.0,,,16-19,1,A. Bennett makes free throw 2 of 2
4:26.0,,,16-18,,S. Dinwiddie enters the game for S. Kilpatrick
4:06.0,J. Randle makes 2-pt shot from 6 ft,2,18-19,,
4:06.0,Shooting foul by T. Booker (drawn by J. Randle),,18-19,,
4:06.0,J. Randle makes free throw 1 of 1,1,19-19,,
3:42.0,,,19-19,,S. Dinwiddie misses 3-pt shot from 27 ft
3:41.0,Defensive rebound by Team,,19-19,,
3:26.0,L. Williams makes 2-pt shot from 1 ft,2,21-19,,
3:01.0,,,21-21,2,B. Bogdanovic makes 2-pt shot from 2 ft
2:48.0,Turnover by J. Clarkson (lost ball; steal by B. Bogdanovic),,21-21,,
2:47.0,Clear path foul by J. Randle,,21-21,,
2:47.0,LA Lakers full timeout,,21-21,,
2:47.0,,,21-22,1,B. Bogdanovic makes clear path free throw 1 of 2
2:47.0,,,21-23,1,B. Bogdanovic makes clear path free throw 2 of 2
2:47.0,L. Deng enters the game for J. Randle,,21-21,,
2:39.0,,,21-23,,S. Dinwiddie misses 2-pt shot from 2 ft (block by L. Deng)
2:37.0,,,21-23,,Offensive rebound by A. Bennett
2:36.0,,,21-25,2,A. Bennett makes 2-pt shot from 2 ft
2:19.0,,,21-25,,Personal foul by S. Dinwiddie
2:19.0,,,21-25,,B. Lopez enters the game for T. Booker
2:19.0,,,21-25,,R. Hollis-Jefferson enters the game for B. Bogdanovic
2:19.0,T. Mozgov enters the game for L. Deng,,21-25,,
2:14.0,J. Clarkson misses 2-pt shot from 7 ft,,21-25,,
2:13.0,,,21-25,,Defensive rebound by J. Harris
1:53.0,,,21-27,2,B. Lopez makes 2-pt shot from 1 ft
1:36.0,Shooting foul by J. Harris (drawn by T. Mozgov),,21-27,,
1:36.0,T. Mozgov misses free throw 1 of 2,,21-27,,
1:36.0,Offensive rebound by Team,,21-27,,
1:36.0,T. Mozgov makes free throw 2 of 2,1,22-27,,
1:27.0,,,22-27,,J. Harris misses 3-pt shot from 24 ft
1:26.0,,,22-27,,Offensive rebound by S. Dinwiddie
1:16.0,,,22-27,,Turnover by B. Lopez (bad pass; steal by J. Clarkson)
1:12.0,J. Clarkson makes 2-pt shot from 2 ft,2,24-27,,
0:57.0,,,24-27,,B. Lopez misses 2-pt shot from 4 ft
0:55.0,,,24-27,,Offensive rebound by B. Lopez
0:55.0,,,24-27,,B. Lopez misses 2-pt shot from 4 ft
0:54.0,Defensive rebound by T. Mozgov,,24-27,,
0:47.0,T. Mozgov makes 2-pt shot from 2 ft (assist by L. Nance),2,26-27,,
0:38.0,,,26-27,,A. Bennett misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by L. Williams,,26-27,,
0:32.0,J. Clarkson makes 2-pt shot from 5 ft,2,28-27,,
0:05.0,,,28-27,,B. Lopez misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by J. Clarkson,,28-27,,
0:00.0,J. Clarkson makes 2-pt shot from 8 ft,2,30-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Ingram misses 2-pt shot from 14 ft,,30-27,,
11:41.0,,,30-27,,Defensive rebound by R. Hollis-Jefferson
11:37.0,,,30-27,,B. Bogdanovic misses 2-pt shot from 14 ft
11:35.0,,,30-27,,Offensive rebound by L. Scola
11:32.0,,,30-27,,L. Scola misses 2-pt shot from 1 ft
11:31.0,,,30-27,,Offensive rebound by L. Scola
11:29.0,,,30-27,,L. Scola misses 2-pt shot from 2 ft
11:28.0,Defensive rebound by L. Nance,,30-27,,
11:20.0,,,30-27,,Personal block foul by B. Bogdanovic (drawn by B. Ingram)
11:13.0,B. Ingram makes 2-pt shot from 2 ft,2,32-27,,
10:53.0,,,32-27,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
10:52.0,Defensive rebound by L. Nance,,32-27,,
10:43.0,Shooting foul by R. Hollis-Jefferson (drawn by B. Ingram),,32-27,,
10:43.0,B. Ingram makes free throw 1 of 2,1,33-27,,
10:43.0,B. Ingram misses free throw 2 of 2,,33-27,,
10:42.0,,,33-27,,Defensive rebound by R. Hollis-Jefferson
10:38.0,,,33-27,,Shooting foul by L. Nance (drawn by C. LeVert)
10:38.0,,,33-27,,C. LeVert misses free throw 1 of 2
10:38.0,,,33-27,,Offensive rebound by Team
10:38.0,,,33-28,1,C. LeVert makes free throw 2 of 2
10:24.0,Turnover by L. Williams (bad pass; steal by S. Dinwiddie),,33-28,,
10:05.0,,,33-28,,R. Hollis-Jefferson misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by J. Clarkson,,33-28,,
10:00.0,Turnover by J. Clarkson (lost ball; steal by C. LeVert),,33-28,,
9:56.0,,,33-30,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
9:37.0,B. Ingram makes 2-pt shot from 16 ft,2,35-30,,
9:21.0,,,35-30,,Brooklyn full timeout
9:17.0,,,35-30,,Shooting foul by J. Clarkson (drawn by R. Hollis-Jefferson)
9:17.0,,,35-31,1,R. Hollis-Jefferson makes free throw 1 of 2
9:17.0,,,35-32,1,R. Hollis-Jefferson makes free throw 2 of 2
8:58.0,J. Clarkson makes 2-pt shot from 16 ft,2,37-32,,
8:40.0,,,37-32,,B. Bogdanovic misses 3-pt shot from 23 ft
8:39.0,,,37-32,,Offensive rebound by R. Hollis-Jefferson
8:34.0,,,37-32,,B. Bogdanovic misses 2-pt shot from 2 ft (block by L. Nance)
8:33.0,Defensive rebound by L. Nance,,37-32,,
8:17.0,B. Ingram misses 3-pt shot from 23 ft,,37-32,,
8:16.0,,,37-32,,Defensive rebound by L. Scola
8:03.0,,,37-32,,C. LeVert misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by Team,,37-32,,
8:03.0,,,37-32,,B. Lopez enters the game for B. Bogdanovic
8:03.0,,,37-32,,I. Whitehead enters the game for S. Dinwiddie
8:03.0,,,37-32,,J. Harris enters the game for R. Hollis-Jefferson
8:03.0,N. Young enters the game for L. Williams,,37-32,,
7:41.0,N. Young misses 2-pt shot from 7 ft,,37-32,,
7:39.0,,,37-32,,Defensive rebound by C. LeVert
7:34.0,,,37-35,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
7:34.0,LA Lakers full timeout,,37-35,,
7:34.0,D. Russell enters the game for J. Clarkson,,37-35,,
7:34.0,T. Mozgov enters the game for B. Ingram,,37-35,,
7:34.0,J. Randle enters the game for L. Nance,,37-35,,
7:08.0,T. Mozgov misses 2-pt shot from 17 ft,,37-35,,
7:07.0,,,37-35,,Defensive rebound by C. LeVert
6:58.0,,,37-35,,J. Harris misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by L. Deng,,37-35,,
6:37.0,L. Deng misses 2-pt shot from 22 ft,,37-35,,
6:36.0,,,37-35,,Defensive rebound by C. LeVert
6:29.0,,,37-35,,C. LeVert misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Randle,,37-35,,
6:25.0,Turnover by D. Russell (dbl dribble),,37-35,,
6:25.0,,,37-35,,S. Kilpatrick enters the game for C. LeVert
6:20.0,Violation by D. Russell (kicked ball),,37-35,,
6:06.0,,,37-38,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by L. Scola)
5:50.0,Shooting foul by I. Whitehead (drawn by D. Russell),,37-38,,
5:50.0,D. Russell makes free throw 1 of 2,1,38-38,,
5:50.0,D. Russell misses free throw 2 of 2,,38-38,,
5:48.0,,,38-38,,Defensive rebound by L. Scola
5:37.0,,,38-38,,S. Kilpatrick misses 2-pt shot from 2 ft (block by T. Mozgov)
5:36.0,Defensive rebound by T. Mozgov,,38-38,,
5:30.0,N. Young misses 3-pt shot from 23 ft,,38-38,,
5:29.0,,,38-38,,Defensive rebound by J. Harris
5:15.0,,,38-38,,Shooting foul by N. Young (drawn by B. Lopez)
5:15.0,,,38-38,,B. Lopez misses free throw 1 of 2
5:15.0,,,38-38,,Offensive rebound by Team
5:15.0,,,38-39,1,B. Lopez makes free throw 2 of 2
5:15.0,,,38-38,,T. Booker enters the game for L. Scola
4:55.0,J. Randle misses 2-pt shot from 6 ft,,38-39,,
4:54.0,Offensive rebound by Team,,38-39,,
4:54.0,,,38-39,,Loose ball foul by T. Booker (drawn by T. Mozgov)
4:46.0,D. Russell misses 2-pt shot from 13 ft,,38-39,,
4:45.0,,,38-39,,Defensive rebound by T. Booker
4:36.0,,,38-39,,B. Lopez misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by D. Russell,,38-39,,
4:25.0,T. Mozgov misses 2-pt shot from 9 ft,,38-39,,
4:24.0,,,38-39,,Defensive rebound by B. Lopez
4:20.0,,,38-39,,Turnover by T. Booker (bad pass)
4:20.0,B. Ingram enters the game for L. Deng,,38-39,,
4:02.0,,,38-39,,Personal foul by I. Whitehead (drawn by N. Young)
4:02.0,N. Young makes free throw 1 of 2,1,39-39,,
4:02.0,Violation by Team (double lane),,39-39,,
3:53.0,Jump ball: B. Lopez vs. T. Mozgov (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (I. Whitehead gains possession)
3:42.0,,,39-42,3,T. Booker makes 3-pt shot from 24 ft (assist by B. Lopez)
3:31.0,T. Mozgov misses 2-pt shot from 18 ft,,39-42,,
3:30.0,,,39-42,,Defensive rebound by S. Kilpatrick
3:23.0,,,39-44,2,B. Lopez makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
3:16.0,LA Lakers full timeout,,39-44,,
3:16.0,,,39-44,,R. Hollis-Jefferson enters the game for I. Whitehead
3:01.0,B. Ingram misses 2-pt shot from 21 ft,,39-44,,
3:00.0,,,39-44,,Defensive rebound by T. Booker
2:52.0,,,39-44,,B. Lopez misses 3-pt shot from 26 ft
2:51.0,,,39-44,,Offensive rebound by R. Hollis-Jefferson
2:41.0,,,39-44,,Turnover by T. Booker (bad pass)
2:41.0,Official timeout,,39-44,,
2:41.0,L. Williams enters the game for D. Russell,,39-44,,
2:29.0,Turnover by L. Williams (bad pass; steal by J. Harris),,39-44,,
2:22.0,,,39-44,,Turnover by J. Harris (bad pass; steal by L. Williams)
2:13.0,J. Randle misses 2-pt shot from 8 ft,,39-44,,
2:12.0,,,39-44,,Defensive rebound by T. Booker
2:08.0,,,39-44,,Shooting foul by T. Mozgov (drawn by T. Booker)
2:08.0,,,39-44,,T. Booker misses free throw 1 of 2
2:08.0,,,39-44,,Offensive rebound by Team
2:08.0,,,39-44,,T. Booker misses free throw 2 of 2
2:07.0,Defensive rebound by J. Randle,,39-44,,
1:49.0,Shooting foul by J. Harris (drawn by B. Ingram),,39-44,,
1:49.0,B. Ingram misses free throw 1 of 2,,39-44,,
1:49.0,Offensive rebound by Team,,39-44,,
1:49.0,B. Ingram misses free throw 2 of 2,,39-44,,
1:47.0,Offensive rebound by T. Mozgov,,39-44,,
1:33.0,B. Ingram misses 2-pt shot from 10 ft,,39-44,,
1:32.0,,,39-44,,Defensive rebound by T. Booker
1:24.0,,,39-44,,Offensive charge foul by T. Booker
1:24.0,,,39-44,,Turnover by T. Booker (offensive foul)
1:24.0,,,39-44,,A. Bennett enters the game for T. Booker
1:13.0,L. Williams misses 3-pt shot from 24 ft,,39-44,,
1:12.0,Offensive rebound by T. Mozgov,,39-44,,
1:08.0,Shooting foul by S. Kilpatrick (drawn by B. Ingram),,39-44,,
1:08.0,B. Ingram makes free throw 1 of 2,1,40-44,,
1:08.0,B. Ingram makes free throw 2 of 2,1,41-44,,
0:53.0,,,41-44,,A. Bennett misses 3-pt shot from 26 ft
0:52.0,,,41-44,,Offensive rebound by R. Hollis-Jefferson
0:51.0,,,41-46,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
0:40.0,T. Mozgov misses 2-pt shot from 16 ft,,41-46,,
0:39.0,,,41-46,,Defensive rebound by A. Bennett
0:30.0,,,41-49,3,J. Harris makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
0:09.0,L. Williams makes 2-pt shot from 11 ft,2,43-49,,
0:01.0,,,43-52,3,S. Kilpatrick makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,J. Randle misses 2-pt shot from 5 ft,,43-52,,
11:33.0,Offensive rebound by N. Young,,43-52,,
11:25.0,D. Russell makes 3-pt shot from 25 ft,3,46-52,,
11:07.0,,,46-52,,B. Lopez misses 2-pt shot from 10 ft
11:06.0,Defensive rebound by J. Randle,,46-52,,
10:54.0,J. Randle misses 2-pt shot from 3 ft (block by B. Lopez),,46-52,,
10:53.0,,,46-52,,Defensive rebound by T. Booker
10:52.0,Clear path foul by L. Deng,,46-52,,
10:52.0,,,46-52,,B. Bogdanovic misses clear path free throw 1 of 2
10:52.0,,,46-52,,Offensive rebound by Team
10:52.0,,,46-53,1,B. Bogdanovic makes clear path free throw 2 of 2
10:49.0,,,46-53,,Turnover by B. Lopez (dbl dribble)
10:42.0,,,46-53,,Personal foul by B. Bogdanovic (drawn by L. Deng)
10:35.0,L. Deng makes 2-pt shot from 2 ft,2,48-53,,
10:24.0,,,48-53,,Turnover by S. Kilpatrick (traveling)
10:15.0,D. Russell misses 3-pt shot from 24 ft,,48-53,,
10:14.0,,,48-53,,Defensive rebound by B. Bogdanovic
10:08.0,,,48-53,,Turnover by S. Kilpatrick (lost ball; steal by N. Young)
10:02.0,N. Young misses 3-pt shot from 25 ft,,48-53,,
10:01.0,Offensive rebound by L. Deng,,48-53,,
10:00.0,L. Deng misses 2-pt shot from 1 ft,,48-53,,
9:59.0,Offensive rebound by T. Mozgov,,48-53,,
9:58.0,Shooting foul by I. Whitehead (drawn by T. Mozgov),,48-53,,
9:58.0,T. Mozgov makes free throw 1 of 2,1,49-53,,
9:58.0,T. Mozgov makes free throw 2 of 2,1,50-53,,
9:33.0,,,50-53,,Turnover by Team (shot clock)
9:22.0,Turnover by N. Young (lost ball; steal by I. Whitehead),,50-53,,
9:13.0,,,50-53,,Brooklyn full timeout
9:00.0,,,50-53,,T. Booker misses 2-pt shot from 8 ft
8:59.0,,,50-53,,Offensive rebound by B. Lopez
8:58.0,,,50-53,,B. Lopez misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by L. Deng,,50-53,,
8:47.0,J. Randle misses 2-pt shot from 3 ft,,50-53,,
8:46.0,Offensive rebound by N. Young,,50-53,,
8:43.0,D. Russell misses 3-pt shot from 25 ft,,50-53,,
8:42.0,,,50-53,,Defensive rebound by B. Bogdanovic
8:37.0,,,50-53,,Shooting foul by N. Young (drawn by S. Kilpatrick)
8:37.0,,,50-55,2,S. Kilpatrick makes 2-pt shot from 1 ft
8:37.0,,,50-56,1,S. Kilpatrick makes free throw 1 of 1
8:18.0,D. Russell makes 3-pt shot from 24 ft (assist by L. Deng),3,53-56,,
7:54.0,,,53-56,,Shooting foul by J. Randle (drawn by B. Bogdanovic)
7:54.0,,,53-57,1,B. Bogdanovic makes free throw 1 of 2
7:54.0,,,53-58,1,B. Bogdanovic makes free throw 2 of 2
7:35.0,Shooting foul by I. Whitehead (drawn by D. Russell),,53-58,,
7:35.0,D. Russell makes free throw 1 of 2,1,54-58,,
7:35.0,D. Russell misses free throw 2 of 2,,54-58,,
7:35.0,,,54-58,,S. Dinwiddie enters the game for I. Whitehead
7:34.0,,,54-58,,Defensive rebound by T. Booker
7:22.0,,,54-58,,S. Kilpatrick misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by J. Randle,,54-58,,
7:15.0,Shooting foul by S. Dinwiddie (drawn by D. Russell),,54-58,,
7:15.0,D. Russell misses free throw 1 of 2,,54-58,,
7:15.0,Offensive rebound by Team,,54-58,,
7:15.0,D. Russell makes free throw 2 of 2,1,55-58,,
7:02.0,,,55-58,,B. Lopez misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by J. Randle,,55-58,,
6:45.0,D. Russell misses 2-pt shot from 19 ft,,55-58,,
6:43.0,,,55-58,,Defensive rebound by T. Booker
6:27.0,,,55-60,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
6:27.0,,,55-60,,Shooting foul by J. Randle (drawn by T. Booker)
6:27.0,,,55-60,,T. Booker misses free throw 1 of 1
6:27.0,,,55-60,,A. Bennett enters the game for B. Lopez
6:26.0,Defensive rebound by T. Mozgov,,55-60,,
6:14.0,D. Russell misses 2-pt shot from 1 ft,,55-60,,
6:13.0,Offensive rebound by D. Russell,,55-60,,
6:10.0,Turnover by D. Russell (bad pass; steal by S. Kilpatrick),,55-60,,
6:10.0,Personal foul by J. Randle (drawn by S. Kilpatrick),,55-60,,
6:10.0,,,55-61,1,S. Kilpatrick makes free throw 1 of 2
6:10.0,,,55-62,1,S. Kilpatrick makes free throw 2 of 2
6:10.0,L. Nance enters the game for T. Mozgov,,55-61,,
5:51.0,L. Deng makes 3-pt shot from 23 ft (assist by D. Russell),3,58-62,,
5:44.0,,,58-62,,Turnover by B. Bogdanovic (lost ball; steal by L. Deng)
5:41.0,L. Deng makes 2-pt shot from 2 ft,2,60-62,,
5:22.0,,,60-62,,S. Dinwiddie misses 2-pt shot from 12 ft
5:21.0,Defensive rebound by D. Russell,,60-62,,
5:12.0,Shooting foul by A. Bennett (drawn by L. Deng),,60-62,,
5:12.0,L. Deng misses free throw 1 of 2,,60-62,,
5:12.0,Offensive rebound by Team,,60-62,,
5:12.0,L. Deng misses free throw 2 of 2,,60-62,,
5:12.0,L. Williams enters the game for D. Russell,,60-62,,
5:10.0,Offensive rebound by N. Young,,60-62,,
5:06.0,N. Young makes 3-pt shot from 24 ft,3,63-62,,
4:51.0,,,63-62,,Turnover by S. Dinwiddie (bad pass; steal by L. Nance)
4:47.0,N. Young makes 2-pt shot at rim (assist by L. Nance),2,65-62,,
4:47.0,,,65-62,,Brooklyn full timeout
4:33.0,,,65-65,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
4:15.0,,,65-65,,Personal foul by A. Bennett
4:15.0,L. Williams makes free throw 1 of 2,1,66-65,,
4:15.0,L. Williams makes free throw 2 of 2,1,67-65,,
4:15.0,,,66-65,,J. Harris enters the game for S. Kilpatrick
4:15.0,B. Ingram enters the game for L. Deng,,66-65,,
4:02.0,,,67-65,,B. Bogdanovic misses 2-pt shot from 3 ft
4:01.0,,,67-65,,Offensive rebound by T. Booker
4:00.0,,,67-65,,T. Booker misses 2-pt shot from 2 ft
3:59.0,Defensive rebound by Team,,67-65,,
3:38.0,N. Young makes 3-pt shot from 23 ft (assist by J. Randle),3,70-65,,
3:25.0,,,70-65,,J. Harris misses 2-pt shot from 8 ft
3:24.0,Defensive rebound by J. Randle,,70-65,,
3:19.0,L. Williams misses 3-pt shot from 26 ft,,70-65,,
3:17.0,,,70-65,,Defensive rebound by A. Bennett
3:10.0,,,70-65,,Shooting foul by L. Williams (drawn by B. Bogdanovic)
3:10.0,,,70-65,,B. Bogdanovic misses free throw 1 of 2
3:10.0,,,70-65,,Offensive rebound by Team
3:10.0,,,70-66,1,B. Bogdanovic makes free throw 2 of 2
3:10.0,T. Mozgov enters the game for J. Randle,,70-65,,
3:10.0,,,70-65,,B. Lopez enters the game for T. Booker
2:57.0,N. Young misses 2-pt shot from 17 ft,,70-66,,
2:56.0,,,70-66,,Defensive rebound by A. Bennett
2:42.0,,,70-66,,A. Bennett misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by N. Young,,70-66,,
2:36.0,Offensive charge foul by L. Williams,,70-66,,
2:36.0,Turnover by L. Williams (offensive foul),,70-66,,
2:36.0,LA Lakers full timeout,,70-66,,
2:36.0,J. Clarkson enters the game for N. Young,,70-66,,
2:36.0,,,70-66,,R. Hollis-Jefferson enters the game for B. Bogdanovic
2:36.0,,,70-66,,S. Kilpatrick enters the game for S. Dinwiddie
2:24.0,,,70-68,2,B. Lopez makes 2-pt shot from 5 ft (assist by R. Hollis-Jefferson)
2:05.0,J. Clarkson misses 3-pt shot from 24 ft,,70-68,,
2:04.0,Offensive rebound by L. Nance,,70-68,,
1:55.0,T. Mozgov makes 2-pt shot at rim (assist by L. Williams),2,72-68,,
1:35.0,,,72-71,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by B. Lopez)
1:26.0,L. Williams misses 2-pt shot from 15 ft,,72-71,,
1:24.0,Offensive rebound by L. Williams,,72-71,,
1:20.0,L. Williams misses 3-pt shot from 22 ft,,72-71,,
1:19.0,,,72-71,,Defensive rebound by R. Hollis-Jefferson
1:07.0,,,72-71,,B. Lopez misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Clarkson,,72-71,,
0:55.0,J. Clarkson misses 3-pt shot from 24 ft,,72-71,,
0:53.0,,,72-71,,Defensive rebound by J. Harris
0:45.0,Shooting block foul by L. Nance (drawn by S. Kilpatrick),,72-71,,
0:45.0,,,72-72,1,S. Kilpatrick makes free throw 1 of 2
0:45.0,,,72-73,1,S. Kilpatrick makes free throw 2 of 2
0:37.0,L. Nance makes 2-pt shot at rim,2,74-73,,
0:16.0,,,74-75,2,S. Kilpatrick makes 2-pt shot from 9 ft
0:04.0,L. Williams makes 2-pt shot from 14 ft,2,76-75,,
0:01.0,,,76-75,,J. Harris misses 3-pt shot from 31 ft
0:00.0,,,76-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-78,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by L. Scola)
11:20.0,B. Ingram makes 2-pt shot from 12 ft,2,78-78,,
11:03.0,,,78-80,2,B. Bogdanovic makes 2-pt shot from 8 ft
10:55.0,,,78-80,,Personal foul by B. Bogdanovic
10:55.0,L. Williams makes free throw 1 of 2,1,79-80,,
10:55.0,L. Williams makes free throw 2 of 2,1,80-80,,
10:37.0,,,80-82,2,C. LeVert makes 2-pt shot from 12 ft
10:29.0,L. Williams makes 2-pt shot from 2 ft,2,82-82,,
10:20.0,,,82-82,,Shooting foul by J. Clarkson (drawn by I. Whitehead)
10:20.0,,,82-83,1,I. Whitehead makes free throw 1 of 2
10:20.0,,,82-84,1,I. Whitehead makes free throw 2 of 2
