time,Brooklyn,pts.away,score,pts.home,Indiana
4:57.0,,,12-21,,J. Teague misses 2-pt shot from 10 ft (block by S. Dinwiddie)
4:54.0,Defensive rebound by T. Booker,,12-21,,
4:51.0,Turnover by T. Booker (lost ball; steal by J. Teague),,12-21,,
4:48.0,,,12-21,,Turnover by J. Teague (bad pass; steal by C. LeVert)
4:31.0,C. LeVert misses 3-pt shot from 23 ft,,12-21,,
4:30.0,,,12-21,,Defensive rebound by M. Turner
4:18.0,,,12-23,2,P. George makes 2-pt shot from 7 ft
4:02.0,S. Kilpatrick misses 3-pt shot from 28 ft,,12-23,,
4:01.0,,,12-23,,Defensive rebound by T. Young
3:56.0,,,12-23,,Indiana full timeout
3:56.0,,,12-23,,C. Miles enters the game for P. George
3:56.0,,,12-23,,K. Seraphin enters the game for T. Young
3:56.0,,,12-23,,M. Ellis enters the game for G. Robinson
3:56.0,J. Hamilton enters the game for T. Booker,,12-23,,
3:47.0,,,12-23,,A. Jefferson enters the game for M. Turner
3:39.0,,,12-23,,J. Teague misses 2-pt shot from 19 ft
3:38.0,Defensive rebound by S. Kilpatrick,,12-23,,
3:32.0,Shooting foul by M. Ellis (drawn by S. Dinwiddie),,12-23,,
3:32.0,S. Dinwiddie makes free throw 1 of 2,1,13-23,,
3:32.0,S. Dinwiddie makes free throw 2 of 2,1,14-23,,
3:10.0,,,14-25,2,K. Seraphin makes 2-pt shot from 11 ft
2:54.0,Offensive charge foul by L. Scola,,14-25,,
2:54.0,Turnover by L. Scola (offensive foul),,14-25,,
2:54.0,,,14-25,,A. Brooks enters the game for J. Teague
2:36.0,,,14-27,2,A. Jefferson makes 2-pt shot from 2 ft
2:25.0,L. Scola makes 2-pt shot from 11 ft,2,16-27,,
2:06.0,,,16-27,,A. Jefferson misses 2-pt shot from 7 ft
2:06.0,Defensive rebound by S. Kilpatrick,,16-27,,
1:55.0,J. Hamilton makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,19-27,,
1:36.0,,,19-29,2,A. Brooks makes 2-pt shot from 16 ft
1:25.0,S. Dinwiddie misses 2-pt shot from 1 ft,,19-29,,
1:24.0,Offensive rebound by J. Hamilton,,19-29,,
1:24.0,J. Hamilton makes 2-pt shot from 2 ft,2,21-29,,
1:10.0,,,21-29,,Turnover by M. Ellis (bad pass; steal by J. Hamilton)
1:04.0,S. Kilpatrick misses 2-pt shot from 6 ft,,21-29,,
1:03.0,Offensive rebound by L. Scola,,21-29,,
0:53.0,S. Dinwiddie makes 2-pt shot from 20 ft,2,23-29,,
0:41.0,,,23-31,2,C. Miles makes 2-pt shot from 18 ft
0:32.0,J. Hamilton makes 3-pt shot from 23 ft (assist by S. Kilpatrick),3,26-31,,
0:14.0,,,26-31,,A. Brooks misses 3-pt shot from 26 ft
0:14.0,Defensive rebound by L. Scola,,26-31,,
0:04.0,Shooting foul by K. Seraphin (drawn by S. Kilpatrick),,26-31,,
0:04.0,S. Kilpatrick misses free throw 1 of 2,,26-31,,
0:04.0,Offensive rebound by Team,,26-31,,
0:04.0,S. Kilpatrick makes free throw 2 of 2,1,27-31,,
0:00.0,,,27-34,3,A. Brooks makes 3-pt shot from 37 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-34,,M. Ellis misses 2-pt shot from 10 ft (block by S. Kilpatrick)
11:44.0,Defensive rebound by J. Hamilton,,27-34,,
11:33.0,B. Lopez misses 2-pt shot from 8 ft,,27-34,,
11:30.0,,,27-34,,Defensive rebound by C. Miles
11:26.0,,,27-34,,Offensive charge foul by C. Miles
11:26.0,,,27-34,,Turnover by C. Miles (offensive foul)
11:05.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez),2,29-34,,
10:39.0,,,29-34,,A. Jefferson misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by S. Dinwiddie,,29-34,,
10:25.0,S. Kilpatrick misses 3-pt shot from 27 ft,,29-34,,
10:23.0,,,29-34,,Defensive rebound by A. Jefferson
10:08.0,,,29-34,,K. Seraphin misses 2-pt shot from 11 ft
10:07.0,Defensive rebound by S. Kilpatrick,,29-34,,
10:04.0,Shooting foul by M. Ellis (drawn by S. Kilpatrick),,29-34,,
10:04.0,S. Kilpatrick makes free throw 1 of 2,1,30-34,,
10:04.0,S. Kilpatrick makes free throw 2 of 2,1,31-34,,
10:04.0,,,30-34,,T. Young enters the game for K. Seraphin
9:51.0,,,31-36,2,M. Ellis makes 2-pt shot from 2 ft
9:34.0,B. Lopez makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,34-36,,
9:18.0,,,34-38,2,A. Brooks makes 2-pt shot from 14 ft
9:08.0,S. Kilpatrick misses 2-pt shot from 18 ft,,34-38,,
9:08.0,,,34-38,,Defensive rebound by A. Jefferson
8:47.0,,,34-38,,A. Brooks misses 3-pt shot from 27 ft
8:46.0,Defensive rebound by J. Hamilton,,34-38,,
8:29.0,C. LeVert makes 3-pt shot from 27 ft (assist by B. Lopez),3,37-38,,
8:10.0,,,37-38,,A. Jefferson misses 2-pt shot from 10 ft
8:10.0,Defensive rebound by J. Hamilton,,37-38,,
7:53.0,Shooting foul by A. Brooks (drawn by B. Lopez),,37-38,,
7:53.0,Official timeout,,37-38,,
7:53.0,B. Lopez misses free throw 1 of 2,,37-38,,
7:53.0,Offensive rebound by Team,,37-38,,
7:53.0,B. Lopez makes free throw 2 of 2,1,38-38,,
7:53.0,L. Scola enters the game for C. LeVert,,37-38,,
7:53.0,J. Harris enters the game for S. Kilpatrick,,37-38,,
7:53.0,R. Foye enters the game for J. Hamilton,,37-38,,
7:53.0,,,37-38,,M. Turner enters the game for C. Miles
7:53.0,,,37-38,,P. George enters the game for A. Jefferson
7:40.0,,,38-40,2,M. Turner makes 2-pt shot from 20 ft
7:14.0,R. Foye misses 3-pt shot from 26 ft,,38-40,,
7:13.0,Offensive rebound by S. Dinwiddie,,38-40,,
7:11.0,S. Dinwiddie makes 2-pt shot from 18 ft,2,40-40,,
6:49.0,,,40-42,2,P. George makes 2-pt shot from 20 ft
6:35.0,Offensive charge foul by S. Dinwiddie,,40-42,,
6:35.0,Turnover by S. Dinwiddie (offensive foul),,40-42,,
6:35.0,,,40-42,,J. Teague enters the game for A. Brooks
6:35.0,S. Kilpatrick enters the game for S. Dinwiddie,,40-42,,
6:24.0,Personal foul by L. Scola (drawn by T. Young),,40-42,,
6:24.0,,,40-42,,G. Robinson enters the game for M. Ellis
6:19.0,,,40-44,2,P. George makes 2-pt shot at rim (assist by T. Young)
6:04.0,R. Foye misses 3-pt shot from 25 ft,,40-44,,
6:04.0,,,40-44,,Defensive rebound by M. Turner
5:52.0,,,40-46,2,J. Teague makes 2-pt shot from 2 ft
5:31.0,J. Harris makes 3-pt shot from 23 ft,3,43-46,,
5:24.0,,,43-46,,Indiana full timeout
5:24.0,T. Booker enters the game for B. Lopez,,43-46,,
5:11.0,,,43-46,,P. George misses 2-pt shot from 5 ft
5:10.0,Defensive rebound by Team,,43-46,,
4:57.0,T. Booker makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,45-46,,
4:42.0,,,45-46,,P. George misses 3-pt shot from 27 ft
4:41.0,Defensive rebound by S. Kilpatrick,,45-46,,
4:31.0,T. Booker makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,48-46,,
4:19.0,,,48-48,2,J. Teague makes 2-pt shot from 19 ft
4:19.0,,,48-48,,Shooting foul by S. Kilpatrick (drawn by J. Teague)
4:19.0,,,48-49,1,J. Teague makes free throw 1 of 1
4:07.0,S. Kilpatrick misses 3-pt shot from 24 ft,,48-49,,
4:06.0,,,48-49,,Defensive rebound by M. Turner
3:55.0,,,48-51,2,J. Teague makes 2-pt shot from 2 ft
3:53.0,Brooklyn full timeout,,48-51,,
3:53.0,S. Dinwiddie enters the game for J. Harris,,48-51,,
3:53.0,B. Lopez enters the game for L. Scola,,48-51,,
3:53.0,C. LeVert enters the game for R. Foye,,48-51,,
3:41.0,B. Lopez misses 2-pt shot from 2 ft (block by T. Young),,48-51,,
3:40.0,,,48-51,,Defensive rebound by M. Turner
3:29.0,,,48-51,,M. Turner misses 2-pt shot from 17 ft
3:28.0,Defensive rebound by B. Lopez,,48-51,,
3:15.0,T. Booker makes 2-pt shot from 8 ft,2,50-51,,
2:59.0,,,50-51,,T. Young misses 2-pt shot from 7 ft (block by B. Lopez)
2:58.0,Defensive rebound by T. Booker,,50-51,,
2:45.0,Turnover by S. Kilpatrick (bad pass),,50-51,,
2:31.0,,,50-51,,P. George misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by C. LeVert,,50-51,,
2:18.0,,,50-51,,Personal block foul by T. Young (drawn by S. Dinwiddie)
2:18.0,J. Harris enters the game for S. Kilpatrick,,50-51,,
2:03.0,T. Booker misses 2-pt shot from 17 ft,,50-51,,
2:02.0,Offensive rebound by C. LeVert,,50-51,,
1:49.0,,,50-51,,Personal block foul by T. Young (drawn by S. Dinwiddie)
1:38.0,B. Lopez makes 2-pt shot at rim,2,52-51,,
1:26.0,,,52-54,3,M. Turner makes 3-pt shot from 24 ft (assist by J. Teague)
1:16.0,B. Lopez misses 2-pt shot from 7 ft,,52-54,,
1:14.0,,,52-54,,Defensive rebound by T. Young
1:04.0,,,52-54,,T. Young misses 3-pt shot from 28 ft
1:04.0,Defensive rebound by Team,,52-54,,
0:50.0,S. Dinwiddie misses 2-pt shot from 4 ft (block by J. Teague),,52-54,,
0:50.0,,,52-54,,Defensive rebound by Team
0:35.0,,,52-56,2,M. Turner makes 2-pt shot from 3 ft
0:35.0,,,52-56,,Shooting foul by C. LeVert (drawn by M. Turner)
0:35.0,,,52-57,1,M. Turner makes free throw 1 of 1
0:28.0,J. Harris misses 3-pt shot from 29 ft,,52-57,,
0:28.0,,,52-57,,Defensive rebound by T. Young
0:26.0,,,52-57,,Indiana full timeout
0:26.0,,,52-57,,C. Miles enters the game for T. Young
0:09.0,,,52-59,2,P. George makes 2-pt shot from 15 ft (assist by J. Teague)
0:00.0,B. Lopez misses 3-pt shot from 28 ft,,52-59,,
0:00.0,Offensive rebound by Team,,52-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by I. Whitehead (drawn by J. Teague),,52-59,,
11:39.0,,,52-62,3,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague)
11:25.0,I. Whitehead misses 2-pt shot from 2 ft,,52-62,,
11:24.0,,,52-62,,Defensive rebound by J. Teague
11:18.0,,,52-64,2,J. Teague makes 2-pt shot from 1 ft
10:58.0,B. Lopez makes 2-pt shot from 12 ft,2,54-64,,
10:46.0,,,54-64,,J. Teague misses 2-pt shot from 3 ft (block by I. Whitehead)
10:45.0,Defensive rebound by T. Booker,,54-64,,
10:40.0,T. Booker misses 2-pt shot from 2 ft (block by M. Turner),,54-64,,
10:39.0,Offensive rebound by T. Booker,,54-64,,
10:35.0,B. Bogdanovic misses 3-pt shot from 25 ft,,54-64,,
10:35.0,,,54-64,,Defensive rebound by J. Teague
10:27.0,,,54-64,,P. George misses 2-pt shot from 3 ft (block by J. Harris)
10:26.0,Defensive rebound by J. Harris,,54-64,,
10:19.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by J. Harris),3,57-64,,
10:06.0,,,57-64,,J. Teague misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by B. Lopez,,57-64,,
10:00.0,Turnover by I. Whitehead (bad pass; steal by P. George),,57-64,,
9:55.0,,,57-64,,Shooting foul by B. Lopez (drawn by T. Young)
9:55.0,,,57-65,1,T. Young makes free throw 1 of 2
9:55.0,,,57-66,1,T. Young makes free throw 2 of 2
9:43.0,I. Whitehead makes 2-pt shot from 17 ft,2,59-66,,
9:33.0,,,59-66,,Shooting foul by J. Harris (drawn by M. Turner)
9:33.0,,,59-67,1,M. Turner makes free throw 1 of 2
9:33.0,,,59-68,1,M. Turner makes free throw 2 of 2
9:26.0,Turnover by J. Harris (bad pass; steal by G. Robinson),,59-68,,
9:21.0,Shooting block foul by I. Whitehead (drawn by T. Young),,59-68,,
9:21.0,,,59-69,1,T. Young makes free throw 1 of 2
9:21.0,,,59-69,,T. Young misses free throw 2 of 2
9:21.0,Defensive rebound by B. Lopez,,59-69,,
9:09.0,I. Whitehead misses 3-pt shot from 26 ft,,59-69,,
9:09.0,,,59-69,,Defensive rebound by T. Young
9:03.0,,,59-72,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
9:03.0,Brooklyn full timeout,,59-72,,
8:51.0,I. Whitehead misses 2-pt shot from 2 ft,,59-72,,
8:50.0,,,59-72,,Defensive rebound by J. Teague
8:36.0,,,59-72,,M. Turner misses 2-pt shot from 8 ft
8:35.0,,,59-72,,Offensive rebound by G. Robinson
8:35.0,,,59-72,,Shooting foul by B. Lopez (drawn by G. Robinson)
8:35.0,,,59-73,1,G. Robinson makes free throw 1 of 2
8:35.0,,,59-74,1,G. Robinson makes free throw 2 of 2
8:35.0,S. Dinwiddie enters the game for I. Whitehead,,59-73,,
8:11.0,T. Booker makes 2-pt shot from 10 ft,2,61-74,,
7:58.0,,,61-76,2,G. Robinson makes 2-pt shot at rim (assist by J. Teague)
7:44.0,B. Lopez makes 2-pt shot from 4 ft,2,63-76,,
7:35.0,,,63-76,,M. Turner misses 2-pt shot from 2 ft
7:34.0,,,63-76,,Offensive rebound by M. Turner
7:32.0,,,63-78,2,M. Turner makes 2-pt shot from 1 ft
7:23.0,Turnover by T. Booker (bad pass; steal by M. Turner),,63-78,,
7:17.0,,,63-80,2,T. Young makes 2-pt shot at rim (assist by J. Teague)
7:16.0,Brooklyn full timeout,,63-80,,
7:16.0,L. Scola enters the game for B. Lopez,,63-80,,
7:16.0,S. Kilpatrick enters the game for J. Harris,,63-80,,
7:03.0,S. Dinwiddie misses 2-pt shot from 7 ft,,63-80,,
7:02.0,,,63-80,,Defensive rebound by G. Robinson
6:59.0,,,63-80,,Turnover by G. Robinson (bad pass; steal by S. Kilpatrick)
6:44.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by M. Turner),,63-80,,
6:43.0,,,63-80,,Defensive rebound by T. Young
6:36.0,,,63-82,2,P. George makes 2-pt shot from 7 ft
6:36.0,,,63-82,,Shooting foul by S. Dinwiddie (drawn by P. George)
6:36.0,,,63-82,,P. George misses free throw 1 of 1
6:36.0,,,63-82,,K. Seraphin enters the game for T. Young
6:34.0,,,63-82,,Offensive rebound by K. Seraphin
6:27.0,,,63-84,2,J. Teague makes 2-pt shot from 6 ft
6:07.0,B. Bogdanovic misses 3-pt shot from 28 ft,,63-84,,
6:06.0,,,63-84,,Defensive rebound by M. Turner
6:02.0,Violation by B. Bogdanovic (kicked ball),,63-84,,
6:02.0,,,63-84,,A. Jefferson enters the game for M. Turner
5:49.0,,,63-84,,P. George misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by S. Kilpatrick,,63-84,,
5:40.0,,,63-84,,Personal foul by G. Robinson (drawn by S. Kilpatrick)
5:40.0,J. Hamilton enters the game for B. Bogdanovic,,63-84,,
5:40.0,C. LeVert enters the game for T. Booker,,63-84,,
5:32.0,S. Kilpatrick makes 3-pt shot from 23 ft (assist by C. LeVert),3,66-84,,
5:19.0,,,66-86,2,P. George makes 2-pt shot from 17 ft
5:05.0,L. Scola misses 2-pt shot from 20 ft,,66-86,,
5:03.0,,,66-86,,Defensive rebound by G. Robinson
4:55.0,,,66-88,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Teague)
4:40.0,Shooting foul by A. Jefferson (drawn by S. Kilpatrick),,66-88,,
4:40.0,S. Kilpatrick misses free throw 1 of 2,,66-88,,
4:40.0,Offensive rebound by Team,,66-88,,
4:40.0,S. Kilpatrick makes free throw 2 of 2,1,67-88,,
4:28.0,,,67-88,,K. Seraphin misses 2-pt shot from 7 ft
4:27.0,Defensive rebound by S. Kilpatrick,,67-88,,
4:18.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,69-88,,
4:10.0,,,69-88,,Indiana full timeout
4:10.0,,,69-88,,M. Ellis enters the game for G. Robinson
3:56.0,,,69-90,2,K. Seraphin makes 2-pt shot from 14 ft (assist by J. Teague)
3:30.0,L. Scola misses 3-pt shot from 26 ft,,69-90,,
3:28.0,,,69-90,,Defensive rebound by K. Seraphin
3:18.0,,,69-90,,Turnover by J. Teague (bad pass; steal by S. Dinwiddie)
3:08.0,S. Dinwiddie makes 3-pt shot from 27 ft (assist by S. Kilpatrick),3,72-90,,
2:46.0,,,72-93,3,P. George makes 3-pt shot from 23 ft (assist by J. Teague)
2:39.0,C. LeVert makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,75-93,,
2:21.0,,,75-95,2,A. Jefferson makes 2-pt shot from 2 ft (assist by J. Teague)
2:06.0,S. Kilpatrick makes 2-pt shot from 19 ft,2,77-95,,
1:45.0,,,77-97,2,K. Seraphin makes 2-pt shot from 20 ft (assist by J. Teague)
1:35.0,,,77-97,,Shooting block foul by A. Jefferson (drawn by S. Dinwiddie)
1:35.0,S. Dinwiddie makes free throw 1 of 2,1,78-97,,
1:35.0,S. Dinwiddie makes free throw 2 of 2,1,79-97,,
1:35.0,,,78-97,,A. Brooks enters the game for J. Teague
1:35.0,B. Lopez enters the game for L. Scola,,78-97,,
1:35.0,,,78-97,,C. Miles enters the game for P. George
1:11.0,,,79-97,,K. Seraphin misses 2-pt shot from 17 ft
1:10.0,Defensive rebound by J. Hamilton,,79-97,,
1:03.0,B. Lopez misses 3-pt shot from 26 ft,,79-97,,
1:01.0,,,79-97,,Defensive rebound by M. Ellis
0:52.0,,,79-97,,K. Seraphin misses 2-pt shot from 7 ft
0:51.0,Defensive rebound by S. Kilpatrick,,79-97,,
0:46.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by A. Brooks),,79-97,,
0:46.0,Offensive rebound by Team,,79-97,,
0:40.0,B. Lopez makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,81-97,,
0:27.0,,,81-97,,A. Brooks misses 2-pt shot from 15 ft
0:27.0,Defensive rebound by S. Kilpatrick,,81-97,,
0:06.0,S. Kilpatrick misses 2-pt shot from 2 ft,,81-97,,
0:05.0,Offensive rebound by J. Hamilton,,81-97,,
0:02.0,J. Hamilton makes 3-pt shot from 29 ft,3,84-97,,
0:00.0,,,84-97,,C. Miles misses 3-pt shot from 37 ft
0:00.0,,,84-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Hamilton misses 3-pt shot from 25 ft,,84-97,,
11:47.0,,,84-97,,Defensive rebound by C. Miles
11:32.0,,,84-100,3,C. Miles makes 3-pt shot from 25 ft (assist by A. Brooks)
11:25.0,,,84-100,,Personal foul by M. Turner (drawn by B. Lopez)
11:18.0,J. Hamilton misses 2-pt shot from 10 ft,,84-100,,
11:17.0,,,84-100,,Defensive rebound by M. Turner
11:09.0,,,84-102,2,A. Brooks makes 2-pt shot from 2 ft
10:59.0,S. Kilpatrick misses 2-pt shot from 16 ft,,84-102,,
10:58.0,,,84-102,,Defensive rebound by M. Turner
10:47.0,,,84-105,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Ellis)
10:46.0,Brooklyn full timeout,,84-105,,
10:46.0,R. Foye enters the game for C. LeVert,,84-105,,
10:46.0,J. Harris enters the game for S. Kilpatrick,,84-105,,
10:28.0,B. Lopez misses 2-pt shot from 3 ft,,84-105,,
10:27.0,,,84-105,,Defensive rebound by M. Turner
10:12.0,,,84-105,,T. Young misses 2-pt shot from 1 ft (block by J. Hamilton)
10:11.0,Defensive rebound by J. Hamilton,,84-105,,
10:00.0,J. Harris makes 3-pt shot from 29 ft (assist by B. Lopez),3,87-105,,
9:40.0,,,87-105,,C. Miles misses 2-pt shot from 19 ft
9:39.0,Defensive rebound by B. Lopez,,87-105,,
9:26.0,Offensive charge foul by J. Harris,,87-105,,
9:26.0,Turnover by J. Harris (offensive foul),,87-105,,
9:26.0,L. Scola enters the game for B. Lopez,,87-105,,
9:16.0,,,87-105,,M. Ellis misses 2-pt shot from 19 ft
9:15.0,Defensive rebound by R. Foye,,87-105,,
8:55.0,S. Dinwiddie makes 2-pt shot from 17 ft,2,89-105,,
8:35.0,,,89-107,2,M. Turner makes 2-pt shot from 19 ft
8:19.0,J. Hamilton makes 2-pt shot from 4 ft (assist by L. Scola),2,91-107,,
8:03.0,,,91-107,,T. Young misses 2-pt shot from 2 ft (block by S. Dinwiddie)
8:03.0,Defensive rebound by Team,,91-107,,
8:03.0,I. Whitehead enters the game for S. Dinwiddie,,91-107,,
7:44.0,L. Scola makes 2-pt shot from 2 ft,2,93-107,,
7:30.0,,,93-107,,T. Young misses 3-pt shot from 27 ft
7:29.0,Defensive rebound by R. Foye,,93-107,,
7:22.0,,,93-107,,Personal block foul by T. Young (drawn by J. Hamilton)
7:15.0,L. Scola makes 3-pt shot from 26 ft (assist by I. Whitehead),3,96-107,,
7:08.0,,,96-107,,Indiana full timeout
7:08.0,,,96-107,,P. George enters the game for C. Miles
7:08.0,,,96-107,,J. Teague enters the game for A. Brooks
6:56.0,,,96-107,,M. Turner misses 2-pt shot from 19 ft
6:55.0,Defensive rebound by J. Hamilton,,96-107,,
6:45.0,J. Harris misses 3-pt shot from 26 ft,,96-107,,
6:44.0,,,96-107,,Defensive rebound by M. Turner
6:31.0,,,96-107,,P. George misses 2-pt shot from 3 ft
6:29.0,,,96-107,,Offensive rebound by M. Turner
6:29.0,,,96-107,,M. Turner misses 2-pt shot from 2 ft
6:28.0,,,96-107,,Offensive rebound by M. Turner
6:28.0,,,96-109,2,M. Turner makes 2-pt shot from 1 ft
6:12.0,J. Harris makes 2-pt shot from 1 ft (assist by R. Foye),2,98-109,,
5:59.0,,,98-111,2,M. Turner makes 2-pt shot at rim (assist by J. Teague)
5:42.0,I. Whitehead makes 2-pt shot from 13 ft,2,100-111,,
5:23.0,,,100-111,,Turnover by J. Teague (bad pass; steal by R. Foye)
5:11.0,J. Hamilton makes 3-pt shot from 25 ft (assist by R. Foye),3,103-111,,
4:51.0,,,103-111,,Shooting foul by I. Whitehead (drawn by P. George)
4:51.0,,,103-112,1,P. George makes free throw 1 of 2
4:51.0,,,103-113,1,P. George makes free throw 2 of 2
4:51.0,,,103-112,,G. Robinson enters the game for M. Ellis
4:51.0,S. Dinwiddie enters the game for I. Whitehead,,103-112,,
4:30.0,J. Hamilton misses 2-pt shot at rim,,103-113,,
4:30.0,,,103-113,,Defensive rebound by M. Turner
4:16.0,,,103-115,2,P. George makes 2-pt shot from 15 ft (assist by J. Teague)
4:00.0,J. Harris misses 2-pt shot from 2 ft (block by T. Young),,103-115,,
3:59.0,,,103-115,,Defensive rebound by M. Turner
3:41.0,,,103-115,,P. George misses 2-pt shot from 19 ft
3:41.0,Defensive rebound by S. Dinwiddie,,103-115,,
3:34.0,R. Foye misses 3-pt shot from 28 ft,,103-115,,
3:33.0,,,103-115,,Defensive rebound by P. George
3:25.0,Personal take foul by S. Dinwiddie (drawn by J. Teague),,103-115,,
3:25.0,A. Bennett enters the game for J. Hamilton,,103-115,,
3:13.0,,,103-117,2,J. Teague makes 2-pt shot from 4 ft
