time,Milwaukee,pts.away,score,pts.home,Phoenix
5:22.0,,,60-43,,E. Bledsoe misses 2-pt shot from 6 ft
5:19.0,Defensive rebound by J. Parker,,60-43,,
5:15.0,Turnover by T. Snell (bad pass; steal by E. Bledsoe),,60-43,,
5:09.0,,,60-45,2,D. Booker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
4:49.0,J. Henson makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,62-45,,
4:31.0,,,62-47,2,P. Tucker makes 2-pt shot from 10 ft (assist by T. Warren)
4:15.0,Shooting foul by T. Chandler (drawn by J. Parker),,62-47,,
4:15.0,J. Parker makes free throw 1 of 2,1,63-47,,
4:15.0,J. Parker makes free throw 2 of 2,1,64-47,,
4:09.0,Personal foul by M. Dellavedova (drawn by T. Chandler),,64-47,,
3:57.0,,,64-47,,Turnover by T. Chandler (3 sec)
3:42.0,Turnover by J. Henson (lost ball; steal by T. Warren),,64-47,,
3:35.0,,,64-47,,D. Booker misses 2-pt shot from 1 ft (block by J. Parker)
3:34.0,Defensive rebound by J. Parker,,64-47,,
3:30.0,T. Snell misses 2-pt shot from 2 ft,,64-47,,
3:28.0,Offensive rebound by G. Antetokounmpo,,64-47,,
3:28.0,G. Antetokounmpo makes 2-pt shot at rim,2,66-47,,
3:26.0,,,66-47,,Shooting foul by M. Dellavedova (drawn by E. Bledsoe)
3:26.0,,,66-48,1,E. Bledsoe makes free throw 1 of 2
3:26.0,,,66-49,1,E. Bledsoe makes free throw 2 of 2
3:08.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,66-49,,
3:08.0,,,66-49,,Defensive rebound by D. Booker
2:58.0,,,66-49,,T. Warren misses 3-pt shot from 24 ft
2:57.0,,,66-49,,Offensive rebound by D. Booker
2:53.0,,,66-52,3,D. Booker makes 3-pt shot from 26 ft
2:32.0,M. Dellavedova makes 2-pt shot from 5 ft,2,68-52,,
2:25.0,,,68-55,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Chandler)
2:03.0,J. Parker misses 2-pt shot from 6 ft,,68-55,,
2:03.0,,,68-55,,Defensive rebound by T. Warren
1:57.0,,,68-58,3,D. Booker makes 3-pt shot from 26 ft
1:42.0,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,70-58,,
1:42.0,Shooting foul by D. Booker (drawn by J. Henson),,70-58,,
1:42.0,Official timeout,,70-58,,
1:42.0,J. Henson misses free throw 1 of 1,,70-58,,
1:41.0,,,70-58,,Defensive rebound by T. Chandler
1:27.0,,,70-58,,D. Booker misses 2-pt shot from 1 ft (block by T. Snell)
1:26.0,Defensive rebound by T. Snell,,70-58,,
1:15.0,T. Snell misses 3-pt shot from 25 ft,,70-58,,
1:15.0,,,70-58,,Defensive rebound by T. Chandler
1:05.0,,,70-58,,Turnover by E. Bledsoe (bad pass; steal by J. Henson)
1:00.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,72-58,,
0:57.0,,,72-60,2,D. Booker makes 2-pt shot from 2 ft
0:57.0,,,72-60,,Shooting foul by T. Snell (drawn by D. Booker)
0:57.0,,,72-61,1,D. Booker makes free throw 1 of 1
0:44.0,G. Antetokounmpo makes 2-pt shot from 22 ft,2,74-61,,
0:39.0,,,74-63,2,D. Booker makes 2-pt shot from 2 ft
0:39.0,,,74-63,,Shooting foul by J. Henson (drawn by D. Booker)
0:39.0,,,74-64,1,D. Booker makes free throw 1 of 1
0:26.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,74-64,,
0:25.0,,,74-64,,Defensive rebound by T. Chandler
0:05.0,Personal foul by T. Snell (drawn by D. Booker),,74-64,,
