time,Chicago,pts.away,score,pts.home,Portland
8:57.0,Offensive rebound by D. Wade,,10-0,,
8:57.0,D. Wade misses 2-pt shot from 1 ft,,10-0,,
8:56.0,Offensive rebound by D. Wade,,10-0,,
8:49.0,J. Butler misses 2-pt shot from 7 ft,,10-0,,
8:48.0,,,10-0,,Defensive rebound by D. Lillard
8:45.0,Personal foul by J. Grant (drawn by M. Plumlee),,10-0,,
8:36.0,,,10-0,,Shooting foul by R. Lopez (drawn by M. Plumlee)
8:36.0,,,10-1,1,M. Plumlee makes free throw 1 of 2
8:36.0,,,10-2,1,M. Plumlee makes free throw 2 of 2
8:21.0,J. Grant makes 3-pt shot from 25 ft (assist by D. Wade),3,13-2,,
8:20.0,Violation by Team (jump ball),,13-2,,
8:06.0,,,13-2,,M. Harkless misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by J. Grant,,13-2,,
7:49.0,R. Lopez misses 2-pt shot from 7 ft,,13-2,,
7:48.0,,,13-2,,Defensive rebound by D. Lillard
7:37.0,,,13-2,,C. McCollum misses 2-pt shot from 7 ft
7:36.0,Defensive rebound by R. Lopez,,13-2,,
7:24.0,T. Gibson misses 2-pt shot from 7 ft,,13-2,,
7:23.0,,,13-2,,Defensive rebound by M. Leonard
7:14.0,,,13-2,,D. Lillard misses 2-pt shot from 2 ft
7:13.0,,,13-2,,Offensive rebound by M. Harkless
7:13.0,,,13-2,,M. Harkless misses 2-pt shot from 1 ft
7:11.0,,,13-2,,Offensive rebound by C. McCollum
7:08.0,,,13-2,,D. Lillard misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by D. Wade,,13-2,,
6:58.0,D. Wade misses 2-pt shot from 21 ft,,13-2,,
6:57.0,Offensive rebound by J. Butler,,13-2,,
6:54.0,J. Butler misses 2-pt shot from 2 ft (block by M. Leonard),,13-2,,
6:53.0,,,13-2,,Defensive rebound by C. McCollum
6:48.0,,,13-4,2,C. McCollum makes 2-pt shot from 2 ft
6:40.0,J. Butler makes 2-pt shot from 8 ft,2,15-4,,
6:28.0,,,15-4,,M. Leonard misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by J. Grant,,15-4,,
6:14.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Grant),2,17-4,,
5:53.0,,,17-7,3,C. McCollum makes 3-pt shot from 27 ft (assist by M. Plumlee)
5:33.0,J. Butler makes 3-pt shot from 23 ft,3,20-7,,
5:16.0,,,20-7,,D. Lillard misses 2-pt shot from 14 ft
5:15.0,Defensive rebound by D. Wade,,20-7,,
5:04.0,D. Wade makes 2-pt shot from 3 ft (assist by J. Butler),2,22-7,,
5:03.0,,,22-7,,Portland full timeout
5:03.0,I. Canaan enters the game for D. Wade,,22-7,,
5:03.0,,,22-7,,E. Turner enters the game for C. McCollum
5:03.0,,,22-7,,A. Crabbe enters the game for M. Plumlee
4:42.0,,,22-7,,M. Leonard misses 2-pt shot from 4 ft
4:42.0,Defensive rebound by J. Butler,,22-7,,
4:33.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,24-7,,
4:15.0,,,24-9,2,A. Crabbe makes 2-pt shot from 18 ft (assist by D. Lillard)
3:52.0,I. Canaan misses 3-pt shot from 23 ft,,24-9,,
3:51.0,,,24-9,,Defensive rebound by D. Lillard
3:40.0,,,24-9,,M. Leonard misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by T. Gibson,,24-9,,
3:29.0,J. Butler makes 2-pt shot from 15 ft,2,26-9,,
3:11.0,,,26-9,,Turnover by M. Leonard (lost ball; steal by J. Grant)
3:06.0,J. Grant makes 2-pt shot at rim,2,28-9,,
2:49.0,,,28-9,,A. Crabbe misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by J. Butler,,28-9,,
2:34.0,T. Gibson makes 2-pt shot from 2 ft,2,30-9,,
2:18.0,,,30-9,,D. Lillard misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by R. Lopez,,30-9,,
2:06.0,T. Gibson misses 2-pt shot from 6 ft,,30-9,,
2:05.0,,,30-9,,Defensive rebound by M. Leonard
1:53.0,,,30-12,3,A. Crabbe makes 3-pt shot from 22 ft (assist by M. Harkless)
1:44.0,Chicago full timeout,,30-12,,
1:44.0,,,30-12,,C. McCollum enters the game for D. Lillard
1:44.0,,,30-12,,N. Vonleh enters the game for M. Leonard
1:44.0,,,30-12,,E. Davis enters the game for M. Harkless
1:44.0,N. Mirotic enters the game for T. Gibson,,30-12,,
1:37.0,J. Butler misses 2-pt shot from 18 ft,,30-12,,
1:36.0,Offensive rebound by J. Butler,,30-12,,
1:26.0,J. Grant misses 2-pt shot from 2 ft,,30-12,,
1:26.0,Offensive rebound by R. Lopez,,30-12,,
1:26.0,,,30-12,,Loose ball foul by N. Vonleh (drawn by R. Lopez)
1:26.0,R. Lopez makes 2-pt shot from 1 ft,2,32-12,,
1:26.0,R. Lopez makes free throw 1 of 1,1,33-12,,
1:11.0,,,33-14,2,A. Crabbe makes 2-pt shot from 17 ft (assist by C. McCollum)
0:57.0,R. Lopez misses 2-pt shot from 4 ft,,33-14,,
0:56.0,,,33-14,,Defensive rebound by N. Vonleh
0:44.0,,,33-14,,E. Turner misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by J. Butler,,33-14,,
0:36.0,Shooting foul by E. Turner (drawn by J. Butler),,33-14,,
0:36.0,J. Butler makes free throw 1 of 2,1,34-14,,
0:36.0,J. Butler makes free throw 2 of 2,1,35-14,,
0:36.0,D. Valentine enters the game for J. Grant,,34-14,,
0:21.0,,,35-14,,A. Crabbe misses 3-pt shot from 23 ft
0:21.0,,,35-14,,Offensive rebound by N. Vonleh
0:05.0,Personal take foul by I. Canaan (drawn by C. McCollum),,35-14,,
0:03.0,,,35-14,,Turnover by N. Vonleh (bad pass)
0:01.0,J. Butler misses 2-pt shot from 21 ft,,35-14,,
0:00.0,Offensive rebound by Team,,35-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,35-14,,N. Vonleh misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by I. Canaan,,35-14,,
11:30.0,D. Wade misses 2-pt shot from 16 ft,,35-14,,
11:29.0,,,35-14,,Defensive rebound by E. Turner
11:21.0,,,35-14,,E. Turner misses 2-pt shot from 6 ft
11:20.0,Defensive rebound by N. Mirotic,,35-14,,
11:06.0,I. Canaan makes 2-pt shot from 6 ft (assist by D. Valentine),2,37-14,,
10:49.0,,,37-14,,A. Crabbe misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by D. Valentine,,37-14,,
10:48.0,,,37-14,,Loose ball foul by E. Davis (drawn by N. Mirotic)
10:37.0,D. Wade makes 2-pt shot from 7 ft,2,39-14,,
10:19.0,,,39-16,2,E. Turner makes 2-pt shot from 15 ft
10:04.0,N. Mirotic misses 3-pt shot from 27 ft,,39-16,,
10:03.0,,,39-16,,Defensive rebound by E. Davis
9:50.0,,,39-18,2,E. Turner makes 2-pt shot from 8 ft
9:33.0,B. Portis misses 2-pt shot from 2 ft,,39-18,,
9:32.0,,,39-18,,Defensive rebound by E. Turner
9:24.0,,,39-20,2,E. Davis makes 2-pt shot from 5 ft (assist by E. Turner)
9:07.0,D. Wade misses 2-pt shot from 3 ft,,39-20,,
9:07.0,,,39-20,,Defensive rebound by Team
9:07.0,Loose ball foul by B. Portis (drawn by E. Turner),,39-20,,
8:53.0,,,39-20,,A. Crabbe misses 2-pt shot from 4 ft
8:51.0,Defensive rebound by N. Mirotic,,39-20,,
8:50.0,,,39-20,,Technical foul by Team
8:50.0,Official timeout,,39-20,,
8:50.0,D. Wade misses technical free throw,,39-20,,
8:50.0,Offensive rebound by Team,,39-20,,
8:38.0,D. Wade makes 2-pt shot from 15 ft,2,41-20,,
8:22.0,,,41-20,,C. McCollum misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by Team,,41-20,,
8:22.0,,,41-20,,Loose ball foul by E. Davis (drawn by B. Portis)
8:22.0,,,41-20,,D. Lillard enters the game for N. Vonleh
8:12.0,Shooting foul by A. Crabbe (drawn by D. Wade),,41-20,,
8:12.0,D. Wade makes free throw 1 of 2,1,42-20,,
8:12.0,D. Wade misses free throw 2 of 2,,42-20,,
8:10.0,,,42-20,,Defensive rebound by E. Turner
8:00.0,,,42-20,,E. Turner misses 3-pt shot from 24 ft
7:59.0,,,42-20,,Offensive rebound by E. Davis
7:58.0,,,42-22,2,E. Davis makes 2-pt shot at rim
7:31.0,I. Canaan misses 2-pt shot from 20 ft,,42-22,,
7:31.0,Offensive rebound by B. Portis,,42-22,,
7:29.0,Turnover by B. Portis (lost ball; steal by C. McCollum),,42-22,,
7:23.0,,,42-22,,C. McCollum misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by B. Portis,,42-22,,
7:14.0,D. Wade misses 2-pt shot from 13 ft,,42-22,,
7:13.0,,,42-22,,Defensive rebound by D. Lillard
7:04.0,,,42-22,,D. Lillard misses 2-pt shot from 2 ft
7:04.0,,,42-22,,Offensive rebound by E. Davis
7:04.0,,,42-24,2,E. Davis makes 2-pt shot at rim
7:04.0,,,42-24,,Shooting foul by D. Valentine (drawn by E. Davis)
7:04.0,,,42-24,,E. Davis misses free throw 1 of 1
7:04.0,J. Butler enters the game for D. Wade,,42-24,,
7:04.0,T. Gibson enters the game for B. Portis,,42-24,,
7:03.0,Defensive rebound by N. Mirotic,,42-24,,
6:47.0,J. Butler misses 2-pt shot from 20 ft,,42-24,,
6:46.0,,,42-24,,Defensive rebound by E. Davis
6:40.0,,,42-26,2,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard)
6:39.0,Chicago full timeout,,42-26,,
6:39.0,J. Grant enters the game for I. Canaan,,42-26,,
6:39.0,R. Lopez enters the game for N. Mirotic,,42-26,,
6:39.0,,,42-26,,M. Harkless enters the game for C. McCollum
6:23.0,J. Butler makes 2-pt shot at rim (assist by R. Lopez),2,44-26,,
6:08.0,Personal foul by D. Valentine (drawn by E. Turner),,44-26,,
6:01.0,,,44-28,2,D. Lillard makes 2-pt shot from 2 ft
5:39.0,J. Butler makes 2-pt shot from 10 ft,2,46-28,,
5:21.0,,,46-28,,E. Turner misses 2-pt shot from 14 ft
5:20.0,,,46-28,,Offensive rebound by E. Davis
5:20.0,,,46-28,,M. Plumlee enters the game for E. Davis
5:07.0,,,46-28,,M. Plumlee misses 2-pt shot from 19 ft
5:06.0,Defensive rebound by T. Gibson,,46-28,,
4:56.0,Shooting foul by M. Plumlee (drawn by J. Grant),,46-28,,
4:56.0,J. Grant makes free throw 1 of 2,1,47-28,,
4:56.0,J. Grant makes free throw 2 of 2,1,48-28,,
4:41.0,,,48-28,,D. Lillard misses 3-pt shot from 25 ft
4:39.0,,,48-28,,Offensive rebound by M. Plumlee
4:30.0,,,48-28,,Turnover by M. Plumlee (bad pass; steal by J. Grant)
4:21.0,T. Gibson misses 2-pt shot from 3 ft,,48-28,,
4:21.0,Offensive rebound by T. Gibson,,48-28,,
4:21.0,T. Gibson misses 2-pt shot from 3 ft,,48-28,,
4:19.0,,,48-28,,Defensive rebound by E. Turner
4:09.0,,,48-28,,E. Turner misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by D. Valentine,,48-28,,
3:49.0,R. Lopez misses 2-pt shot from 4 ft,,48-28,,
3:49.0,,,48-28,,Defensive rebound by Team
3:49.0,Loose ball foul by R. Lopez (drawn by M. Plumlee),,48-28,,
3:49.0,,,48-28,,C. McCollum enters the game for E. Turner
3:49.0,D. Wade enters the game for D. Valentine,,48-28,,
3:40.0,,,48-30,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
3:25.0,D. Wade misses 2-pt shot from 4 ft,,48-30,,
3:24.0,,,48-30,,Defensive rebound by M. Plumlee
3:15.0,,,48-30,,A. Crabbe misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by Team,,48-30,,
2:58.0,Turnover by D. Wade (bad pass; steal by M. Plumlee),,48-30,,
2:49.0,,,48-30,,M. Harkless misses 2-pt shot from 3 ft (block by R. Lopez)
2:48.0,,,48-30,,Offensive rebound by M. Plumlee
2:41.0,Personal foul by D. Wade (drawn by M. Plumlee),,48-30,,
2:41.0,,,48-30,,Portland full timeout
2:41.0,,,48-31,1,M. Plumlee makes free throw 1 of 2
2:41.0,,,48-31,,M. Plumlee misses free throw 2 of 2
2:39.0,Defensive rebound by T. Gibson,,48-31,,
2:24.0,Shooting foul by M. Harkless (drawn by T. Gibson),,48-31,,
2:24.0,T. Gibson makes free throw 1 of 2,1,49-31,,
2:24.0,T. Gibson misses free throw 2 of 2,,49-31,,
2:23.0,,,49-31,,Defensive rebound by M. Harkless
2:14.0,,,49-31,,C. McCollum misses 2-pt shot from 5 ft
2:14.0,,,49-31,,Offensive rebound by M. Plumlee
2:14.0,,,49-33,2,M. Plumlee makes 2-pt shot at rim
1:52.0,J. Grant misses 2-pt shot from 12 ft (block by A. Crabbe),,49-33,,
1:52.0,Offensive rebound by Team,,49-33,,
1:48.0,J. Butler makes 2-pt shot from 6 ft (assist by J. Grant),2,51-33,,
1:23.0,,,51-33,,D. Lillard misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by R. Lopez,,51-33,,
1:17.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,53-33,,
1:17.0,Shooting foul by M. Harkless (drawn by T. Gibson),,53-33,,
1:17.0,T. Gibson makes free throw 1 of 1,1,54-33,,
1:17.0,,,53-33,,M. Leonard enters the game for M. Harkless
1:17.0,N. Mirotic enters the game for R. Lopez,,53-33,,
1:08.0,Violation by T. Gibson (kicked ball),,54-33,,
1:00.0,,,54-35,2,C. McCollum makes 2-pt shot from 3 ft
0:44.0,Shooting foul by M. Leonard (drawn by J. Grant),,54-35,,
0:44.0,J. Grant makes free throw 1 of 2,1,55-35,,
0:44.0,J. Grant makes free throw 2 of 2,1,56-35,,
0:35.0,,,56-35,,M. Leonard misses 3-pt shot from 25 ft
0:34.0,,,56-35,,Offensive rebound by Team
0:34.0,Loose ball foul by T. Gibson (drawn by M. Plumlee),,56-35,,
0:34.0,,,56-35,,M. Plumlee misses free throw 1 of 2
0:34.0,,,56-35,,Offensive rebound by Team
0:34.0,,,56-35,,M. Plumlee misses free throw 2 of 2
0:33.0,Defensive rebound by N. Mirotic,,56-35,,
0:16.0,J. Butler misses 2-pt shot from 5 ft,,56-35,,
0:14.0,Offensive rebound by T. Gibson,,56-35,,
0:14.0,Turnover by T. Gibson (lost ball),,56-35,,
0:05.0,,,56-37,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
0:00.0,J. Grant misses 3-pt shot from 26 ft,,56-37,,
0:00.0,Offensive rebound by Team,,56-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,56-37,,M. Plumlee misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by T. Gibson,,56-37,,
11:24.0,R. Lopez misses 2-pt shot at rim (block by M. Plumlee),,56-37,,
11:24.0,,,56-37,,Defensive rebound by M. Harkless
11:13.0,,,56-37,,Turnover by C. McCollum (bad pass; steal by J. Grant)
11:08.0,J. Grant makes 2-pt shot at rim,2,58-37,,
10:49.0,,,58-37,,M. Harkless misses 2-pt shot from 2 ft
10:48.0,,,58-37,,Offensive rebound by M. Plumlee
10:43.0,,,58-37,,M. Leonard misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by J. Grant,,58-37,,
10:28.0,R. Lopez makes 2-pt shot from 5 ft,2,60-37,,
10:14.0,,,60-37,,D. Lillard misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by T. Gibson,,60-37,,
10:00.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler),2,62-37,,
9:46.0,,,62-40,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:32.0,J. Grant misses 2-pt shot from 10 ft,,62-40,,
9:31.0,Offensive rebound by R. Lopez,,62-40,,
9:31.0,R. Lopez misses 2-pt shot from 1 ft,,62-40,,
9:30.0,,,62-40,,Defensive rebound by M. Harkless
9:21.0,Personal foul by J. Grant (drawn by D. Lillard),,62-40,,
9:10.0,,,62-40,,M. Harkless misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by D. Wade,,62-40,,
8:58.0,Turnover by T. Gibson (lost ball; steal by M. Harkless),,62-40,,
8:51.0,,,62-42,2,D. Lillard makes 2-pt shot from 10 ft
8:38.0,Shooting foul by M. Harkless (drawn by J. Butler),,62-42,,
8:38.0,J. Butler makes free throw 1 of 2,1,63-42,,
8:38.0,J. Butler makes free throw 2 of 2,1,64-42,,
8:26.0,,,64-42,,Turnover by D. Lillard (lost ball; steal by J. Grant)
8:21.0,D. Wade makes 2-pt shot at rim (assist by J. Butler),2,66-42,,
8:21.0,,,66-42,,Portland full timeout
8:21.0,,,66-42,,A. Crabbe enters the game for M. Leonard
8:08.0,Personal foul by J. Butler (drawn by C. McCollum),,66-42,,
8:00.0,,,66-42,,D. Lillard misses 2-pt shot from 16 ft
7:59.0,,,66-42,,Offensive rebound by M. Harkless
7:58.0,,,66-42,,M. Harkless misses 2-pt shot from 3 ft (block by T. Gibson)
7:57.0,,,66-42,,Offensive rebound by M. Harkless
7:54.0,,,66-45,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum)
7:28.0,R. Lopez misses 3-pt shot from 23 ft,,66-45,,
7:28.0,,,66-45,,Defensive rebound by M. Plumlee
7:21.0,,,66-45,,C. McCollum misses 2-pt shot from 7 ft
7:20.0,Defensive rebound by R. Lopez,,66-45,,
7:15.0,Shooting foul by C. McCollum (drawn by J. Butler),,66-45,,
7:15.0,J. Butler makes free throw 1 of 2,1,67-45,,
7:15.0,J. Butler makes free throw 2 of 2,1,68-45,,
7:02.0,,,68-45,,M. Plumlee misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by J. Butler,,68-45,,
6:52.0,Turnover by J. Butler (bad pass; steal by D. Lillard),,68-45,,
6:51.0,,,68-45,,Shooting foul by D. Wade (drawn by D. Lillard)
6:51.0,,,68-46,1,D. Lillard makes free throw 1 of 2
6:51.0,,,68-47,1,D. Lillard makes free throw 2 of 2
6:38.0,D. Wade makes 2-pt shot from 14 ft,2,70-47,,
6:23.0,,,70-49,2,C. McCollum makes 2-pt shot from 13 ft (assist by M. Plumlee)
6:02.0,J. Grant misses 3-pt shot from 26 ft,,70-49,,
6:00.0,,,70-49,,Defensive rebound by A. Crabbe
5:54.0,,,70-51,2,D. Lillard makes 2-pt shot from 2 ft
5:54.0,Chicago full timeout,,70-51,,
5:54.0,I. Canaan enters the game for D. Wade,,70-51,,
5:33.0,R. Lopez misses 2-pt shot at rim (block by M. Harkless),,70-51,,
5:31.0,Offensive rebound by T. Gibson,,70-51,,
5:31.0,T. Gibson makes 2-pt shot from 1 ft,2,72-51,,
5:14.0,,,72-53,2,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Lillard)
4:50.0,J. Grant makes 2-pt shot from 2 ft,2,74-53,,
4:39.0,Personal block foul by I. Canaan (drawn by C. McCollum),,74-53,,
4:32.0,,,74-56,3,C. McCollum makes 3-pt shot from 24 ft
4:10.0,Turnover by J. Butler (lost ball; steal by M. Harkless),,74-56,,
3:57.0,,,74-56,,C. McCollum misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by J. Butler,,74-56,,
3:50.0,Offensive charge foul by J. Butler,,74-56,,
3:50.0,Turnover by J. Butler (offensive foul),,74-56,,
3:50.0,,,74-56,,E. Turner enters the game for M. Harkless
3:37.0,,,74-56,,A. Crabbe misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by J. Butler,,74-56,,
3:26.0,J. Butler makes 2-pt shot from 20 ft,2,76-56,,
2:52.0,,,76-56,,M. Plumlee misses 2-pt shot at rim
2:50.0,Defensive rebound by J. Butler,,76-56,,
2:39.0,N. Mirotic enters the game for T. Gibson,,76-56,,
2:39.0,,,76-56,,E. Davis enters the game for M. Plumlee
2:36.0,R. Lopez misses 2-pt shot from 20 ft,,76-56,,
2:36.0,,,76-56,,Defensive rebound by E. Davis
2:18.0,,,76-56,,E. Turner misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by N. Mirotic,,76-56,,
2:06.0,J. Grant misses 2-pt shot from 10 ft,,76-56,,
2:05.0,,,76-56,,Defensive rebound by A. Crabbe
1:59.0,,,76-58,2,D. Lillard makes 2-pt shot from 1 ft
1:42.0,R. Lopez misses 2-pt shot from 19 ft,,76-58,,
1:41.0,Offensive rebound by J. Butler,,76-58,,
1:34.0,J. Grant misses 3-pt shot from 23 ft,,76-58,,
1:31.0,,,76-58,,Defensive rebound by C. McCollum
1:27.0,,,76-58,,Offensive charge foul by C. McCollum
1:27.0,,,76-58,,Turnover by C. McCollum (offensive foul)
1:27.0,,,76-58,,P. Connaughton enters the game for C. McCollum
1:27.0,D. Wade enters the game for J. Butler,,76-58,,
1:16.0,D. Wade misses 2-pt shot from 14 ft,,76-58,,
1:15.0,Offensive rebound by R. Lopez,,76-58,,
1:07.0,N. Mirotic makes 2-pt shot from 21 ft,2,78-58,,
0:54.0,,,78-61,3,D. Lillard makes 3-pt shot from 24 ft
0:39.0,J. Grant makes 3-pt shot from 22 ft (assist by D. Wade),3,81-61,,
0:30.0,,,81-61,,Turnover by D. Lillard (bad pass; steal by J. Grant)
0:27.0,J. Grant makes 2-pt shot at rim,2,83-61,,
0:06.0,,,83-63,2,E. Davis makes 2-pt shot from 7 ft (assist by P. Connaughton)
0:00.0,D. Wade misses 2-pt shot from 20 ft,,83-63,,
0:00.0,,,83-63,,Defensive rebound by A. Crabbe
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,N. Mirotic makes 3-pt shot from 24 ft (assist by D. Wade),3,86-63,,
11:22.0,,,86-63,,Shooting foul by D. Valentine (drawn by E. Turner)
11:22.0,,,86-64,1,E. Turner makes free throw 1 of 2
11:22.0,,,86-65,1,E. Turner makes free throw 2 of 2
11:07.0,N. Mirotic misses 3-pt shot from 23 ft,,86-65,,
11:05.0,Offensive rebound by B. Portis,,86-65,,
11:02.0,I. Canaan makes 3-pt shot from 25 ft (assist by B. Portis),3,89-65,,
10:49.0,,,89-65,,E. Davis misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by D. Valentine,,89-65,,
10:37.0,B. Portis misses 2-pt shot from 17 ft,,89-65,,
10:36.0,,,89-65,,Defensive rebound by E. Davis
10:28.0,,,89-67,2,E. Turner makes 2-pt shot from 2 ft
10:12.0,N. Mirotic makes 3-pt shot from 28 ft (assist by D. Wade),3,92-67,,
9:53.0,,,92-67,,D. Lillard misses 2-pt shot from 9 ft
9:52.0,,,92-67,,Offensive rebound by A. Crabbe
9:49.0,,,92-70,3,A. Crabbe makes 3-pt shot from 25 ft
9:33.0,B. Portis misses 2-pt shot from 1 ft,,92-70,,
9:33.0,,,92-70,,Defensive rebound by P. Connaughton
9:22.0,,,92-72,2,A. Crabbe makes 2-pt shot from 21 ft
9:07.0,Shooting foul by E. Davis (drawn by D. Wade),,92-72,,
9:07.0,D. Wade makes free throw 1 of 2,1,93-72,,
9:07.0,D. Wade makes free throw 2 of 2,1,94-72,,
9:07.0,,,93-72,,C. McCollum enters the game for P. Connaughton
8:58.0,,,94-72,,Offensive foul by E. Davis
8:58.0,,,94-72,,Turnover by E. Davis (offensive foul)
8:58.0,Official timeout,,94-72,,
8:58.0,,,94-72,,M. Harkless enters the game for E. Turner
8:58.0,J. Butler enters the game for D. Valentine,,94-72,,
8:40.0,B. Portis makes 2-pt shot at rim (assist by D. Wade),2,96-72,,
8:24.0,,,96-72,,Turnover by E. Davis (bad pass)
8:08.0,,,96-72,,Violation by E. Davis (kicked ball)
7:59.0,J. Butler makes 2-pt shot from 1 ft,2,98-72,,
7:51.0,,,98-72,,Shooting foul by B. Portis (drawn by D. Lillard)
7:51.0,,,98-73,1,D. Lillard makes free throw 1 of 2
7:51.0,,,98-74,1,D. Lillard makes free throw 2 of 2
7:32.0,I. Canaan misses 3-pt shot from 23 ft,,98-74,,
7:31.0,,,98-74,,Defensive rebound by M. Harkless
7:23.0,,,98-74,,Turnover by D. Lillard (lost ball; steal by D. Wade)
7:19.0,Shooting foul by C. McCollum (drawn by B. Portis),,98-74,,
7:19.0,B. Portis misses free throw 1 of 2,,98-74,,
7:19.0,Offensive rebound by Team,,98-74,,
7:19.0,B. Portis makes free throw 2 of 2,1,99-74,,
7:06.0,,,99-77,3,M. Harkless makes 3-pt shot from 24 ft (assist by C. McCollum)
6:54.0,Turnover by N. Mirotic (bad pass; steal by A. Crabbe),,99-77,,
6:46.0,,,99-79,2,D. Lillard makes 2-pt shot from 6 ft
6:46.0,Chicago full timeout,,99-79,,
6:46.0,T. Gibson enters the game for B. Portis,,99-79,,
6:36.0,N. Mirotic misses 3-pt shot from 25 ft,,99-79,,
6:35.0,,,99-79,,Defensive rebound by E. Davis
6:27.0,,,99-79,,D. Lillard misses 2-pt shot from 15 ft
6:26.0,Defensive rebound by J. Butler,,99-79,,
6:16.0,D. Wade makes 2-pt shot from 2 ft,2,101-79,,
6:04.0,,,101-79,,M. Harkless misses 3-pt shot from 23 ft
6:03.0,,,101-79,,Offensive rebound by E. Davis
6:00.0,,,101-79,,D. Lillard misses 2-pt shot from 2 ft (block by D. Wade)
5:58.0,,,101-79,,Offensive rebound by D. Lillard
5:56.0,,,101-79,,Shooting foul by I. Canaan (drawn by E. Davis)
5:56.0,,,101-80,1,E. Davis makes free throw 1 of 2
5:56.0,,,101-80,,E. Davis misses free throw 2 of 2
