time,Dallas,pts.away,score,pts.home,Sacramento
1:09.0,,,14-21,2,S. Labissiere makes 2-pt shot from 13 ft
0:52.0,H. Barnes misses 2-pt shot from 15 ft,,14-21,,
0:50.0,,,14-21,,Defensive rebound by S. Labissiere
0:46.0,J. Uthoff enters the game for H. Barnes,,14-21,,
0:33.0,,,14-21,,Shooting foul by D. Finney-Smith (drawn by G. Papagiannis)
0:33.0,,,14-21,,G. Papagiannis misses free throw 1 of 2
0:33.0,,,14-21,,Offensive rebound by Team
0:33.0,,,14-22,1,G. Papagiannis makes free throw 2 of 2
0:16.0,J. Barea makes 3-pt shot from 25 ft,3,17-22,,
0:00.0,,,17-22,,B. McLemore misses 2-pt shot from 22 ft
0:00.0,,,17-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,17-22,,B. McLemore misses 2-pt shot from 5 ft (block by A. Hammons)
11:44.0,Defensive rebound by A. Hammons,,17-22,,
11:32.0,Turnover by A. Hammons (lost ball),,17-22,,
11:21.0,,,17-22,,Turnover by L. Galloway (bad pass; steal by J. Uthoff)
11:05.0,J. Uthoff misses 2-pt shot from 15 ft,,17-22,,
11:03.0,,,17-22,,Defensive rebound by S. Labissiere
10:55.0,,,17-22,,Turnover by L. Galloway (lost ball)
10:46.0,J. Barea misses 3-pt shot from 26 ft,,17-22,,
10:46.0,,,17-22,,Defensive rebound by B. McLemore
10:32.0,,,17-24,2,G. Papagiannis makes 2-pt shot from 8 ft
10:21.0,A. Hammons misses 3-pt shot from 25 ft,,17-24,,
10:21.0,Offensive rebound by J. Uthoff,,17-24,,
10:18.0,J. Uthoff makes 2-pt shot from 4 ft,2,19-24,,
9:57.0,,,19-26,2,G. Papagiannis makes 2-pt shot from 13 ft (assist by G. Temple)
9:48.0,D. Harris makes 2-pt shot from 4 ft (assist by J. Barea),2,21-26,,
9:36.0,,,21-26,,Turnover by G. Papagiannis (lost ball; steal by D. Finney-Smith)
9:32.0,D. Finney-Smith makes 2-pt shot at rim,2,23-26,,
9:14.0,,,23-26,,Turnover by G. Temple (bad pass)
8:58.0,Turnover by J. Uthoff (lost ball; steal by G. Temple),,23-26,,
8:56.0,,,23-26,,Shooting foul by D. Harris (drawn by B. McLemore)
8:56.0,Official timeout,,23-26,,
8:56.0,,,23-27,1,B. McLemore makes free throw 1 of 2
8:56.0,,,23-27,,B. McLemore misses free throw 2 of 2
8:56.0,N. Brussino enters the game for J. Barea,,23-26,,
8:56.0,Y. Ferrell enters the game for D. Harris,,23-26,,
8:56.0,,,23-26,,W. Cauley-Stein enters the game for G. Papagiannis
8:55.0,Defensive rebound by A. Hammons,,23-27,,
8:42.0,J. Uthoff misses 2-pt shot from 19 ft,,23-27,,
8:40.0,,,23-27,,Defensive rebound by L. Galloway
8:19.0,,,23-27,,G. Temple misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by A. Hammons,,23-27,,
8:11.0,J. Uthoff misses 2-pt shot from 18 ft,,23-27,,
8:10.0,,,23-27,,Defensive rebound by G. Temple
7:56.0,,,23-27,,G. Temple misses 2-pt shot from 2 ft (block by A. Hammons)
7:55.0,Defensive rebound by A. Hammons,,23-27,,
7:53.0,Turnover by N. Brussino (lost ball; steal by B. McLemore),,23-27,,
7:42.0,,,23-27,,Shooting foul by N. Brussino (drawn by S. Labissiere)
7:42.0,,,23-28,1,S. Labissiere makes free throw 1 of 2
7:42.0,,,23-29,1,S. Labissiere makes free throw 2 of 2
7:42.0,,,23-28,,T. Evans enters the game for G. Temple
7:42.0,H. Barnes enters the game for A. Hammons,,23-28,,
7:42.0,N. Noel enters the game for J. Uthoff,,23-28,,
7:25.0,N. Brussino misses 3-pt shot from 26 ft,,23-29,,
7:24.0,,,23-29,,Defensive rebound by W. Cauley-Stein
7:08.0,,,23-29,,S. Labissiere misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by N. Noel,,23-29,,
6:54.0,H. Barnes misses 2-pt shot from 18 ft,,23-29,,
6:53.0,,,23-29,,Defensive rebound by S. Labissiere
6:30.0,,,23-29,,B. McLemore misses 2-pt shot from 6 ft (block by D. Finney-Smith)
6:29.0,Defensive rebound by N. Noel,,23-29,,
6:17.0,Y. Ferrell misses 3-pt shot from 23 ft,,23-29,,
6:16.0,Offensive rebound by N. Brussino,,23-29,,
6:00.0,Turnover by D. Finney-Smith (bad pass; steal by S. Labissiere),,23-29,,
5:54.0,,,23-29,,Turnover by T. Evans (bad pass)
5:54.0,,,23-29,,Sacramento full timeout
5:54.0,D. Powell enters the game for D. Finney-Smith,,23-29,,
5:45.0,H. Barnes misses 3-pt shot from 23 ft,,23-29,,
5:44.0,Offensive rebound by N. Noel,,23-29,,
5:38.0,H. Barnes makes 2-pt shot at rim (assist by N. Brussino),2,25-29,,
5:18.0,,,25-29,,B. McLemore misses 2-pt shot from 5 ft (block by D. Powell)
5:17.0,,,25-29,,Offensive rebound by S. Labissiere
5:11.0,,,25-31,2,S. Labissiere makes 2-pt shot from 10 ft
5:01.0,Turnover by D. Powell (bad pass; steal by B. McLemore),,25-31,,
4:56.0,,,25-31,,L. Galloway misses 2-pt shot from 8 ft (block by N. Noel)
4:56.0,,,25-31,,Offensive rebound by Team
4:56.0,,,25-31,,B. Hield enters the game for B. McLemore
4:44.0,Personal foul by D. Powell (drawn by B. Hield),,25-31,,
4:36.0,,,25-31,,T. Evans misses 2-pt shot from 3 ft
4:36.0,Defensive rebound by H. Barnes,,25-31,,
4:30.0,Shooting foul by S. Labissiere (drawn by D. Powell),,25-31,,
4:30.0,D. Powell makes free throw 1 of 2,1,26-31,,
4:30.0,D. Powell misses free throw 2 of 2,,26-31,,
4:30.0,,,26-31,,G. Papagiannis enters the game for S. Labissiere
4:29.0,,,26-31,,Defensive rebound by W. Cauley-Stein
4:09.0,,,26-31,,B. Hield misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by N. Noel,,26-31,,
4:01.0,,,26-31,,Personal foul by T. Evans (drawn by H. Barnes)
3:53.0,Shooting foul by W. Cauley-Stein (drawn by H. Barnes),,26-31,,
3:53.0,H. Barnes makes free throw 1 of 2,1,27-31,,
3:53.0,H. Barnes makes free throw 2 of 2,1,28-31,,
3:31.0,,,28-31,,W. Cauley-Stein misses 2-pt shot from 6 ft (block by N. Noel)
3:30.0,,,28-31,,Offensive rebound by B. Hield
3:29.0,,,28-31,,B. Hield misses 2-pt shot from 6 ft
3:29.0,,,28-31,,Offensive rebound by Team
3:29.0,,,28-31,,Turnover by Team (shot clock)
3:10.0,D. Powell misses 3-pt shot from 25 ft,,28-31,,
3:10.0,Offensive rebound by N. Brussino,,28-31,,
3:09.0,Shooting foul by W. Cauley-Stein (drawn by N. Brussino),,28-31,,
3:09.0,N. Brussino makes free throw 1 of 2,1,29-31,,
3:09.0,N. Brussino misses free throw 2 of 2,,29-31,,
3:09.0,,,29-31,,G. Temple enters the game for L. Galloway
3:08.0,,,29-31,,Defensive rebound by W. Cauley-Stein
2:46.0,,,29-31,,Turnover by G. Papagiannis (lost ball; steal by N. Noel)
2:40.0,N. Noel makes 2-pt shot at rim (assist by N. Brussino),2,31-31,,
2:27.0,,,31-34,3,B. Hield makes 3-pt shot from 25 ft
2:12.0,Turnover by Y. Ferrell (bad pass; steal by W. Cauley-Stein),,31-34,,
2:10.0,,,31-34,,Turnover by G. Papagiannis (bad pass; steal by N. Brussino)
2:07.0,,,31-34,,Personal foul by G. Papagiannis (drawn by N. Noel)
2:07.0,Dallas full timeout,,31-34,,
2:07.0,N. Noel makes free throw 1 of 2,1,32-34,,
2:07.0,N. Noel makes free throw 2 of 2,1,33-34,,
2:07.0,,,31-34,,S. Labissiere enters the game for W. Cauley-Stein
1:51.0,,,33-34,,Turnover by B. Hield (traveling)
1:51.0,A. Hammons enters the game for N. Noel,,33-34,,
1:37.0,N. Brussino makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,36-34,,
1:11.0,,,36-34,,B. Hield misses 2-pt shot from 22 ft
1:10.0,Defensive rebound by D. Powell,,36-34,,
1:00.0,Y. Ferrell makes 2-pt shot from 16 ft,2,38-34,,
0:36.0,,,38-34,,S. Labissiere misses 2-pt shot from 12 ft
0:35.0,Defensive rebound by D. Powell,,38-34,,
0:14.0,D. Powell misses 3-pt shot from 25 ft,,38-34,,
0:13.0,,,38-34,,Defensive rebound by G. Temple
0:03.0,,,38-34,,Shooting foul by A. Hammons (drawn by T. Evans)
0:03.0,,,38-35,1,T. Evans makes free throw 1 of 2
0:03.0,,,38-36,1,T. Evans makes free throw 2 of 2
0:03.0,,,38-35,,L. Galloway enters the game for G. Papagiannis
0:00.0,Y. Ferrell misses 3-pt shot from 49 ft,,38-36,,
0:00.0,Offensive rebound by Team,,38-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,38-39,3,L. Galloway makes 3-pt shot from 25 ft (assist by B. Hield)
11:23.0,H. Barnes misses 2-pt shot from 6 ft,,38-39,,
11:22.0,,,38-39,,Defensive rebound by S. Labissiere
11:11.0,,,38-39,,S. Labissiere misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by D. Powell,,38-39,,
10:57.0,D. Powell makes 3-pt shot from 25 ft (assist by N. Brussino),3,41-39,,
10:44.0,,,41-41,2,B. Hield makes 2-pt shot from 14 ft
10:25.0,Y. Ferrell makes 3-pt shot from 26 ft (assist by H. Barnes),3,44-41,,
10:07.0,,,44-44,3,B. Hield makes 3-pt shot from 24 ft (assist by T. Evans)
9:46.0,D. Powell misses 3-pt shot from 25 ft,,44-44,,
9:45.0,,,44-44,,Defensive rebound by B. Hield
9:41.0,,,44-44,,Turnover by S. Labissiere (lost ball; steal by N. Noel)
9:31.0,Turnover by N. Brussino (bad pass; steal by W. Cauley-Stein),,44-44,,
9:26.0,,,44-46,2,W. Cauley-Stein makes 2-pt shot at rim (assist by S. Labissiere)
9:06.0,N. Brussino misses 2-pt shot from 5 ft,,44-46,,
9:05.0,,,44-46,,Defensive rebound by T. Evans
8:59.0,,,44-48,2,T. Evans makes 2-pt shot from 3 ft
8:45.0,Y. Ferrell makes 2-pt shot from 4 ft,2,46-48,,
8:23.0,,,46-50,2,W. Cauley-Stein makes 2-pt shot from 5 ft
8:03.0,Y. Ferrell misses 3-pt shot from 25 ft,,46-50,,
8:02.0,Offensive rebound by N. Noel,,46-50,,
7:59.0,N. Brussino makes 2-pt shot from 3 ft (assist by N. Noel),2,48-50,,
7:43.0,,,48-50,,W. Cauley-Stein misses 2-pt shot from 5 ft
7:41.0,Defensive rebound by D. Powell,,48-50,,
7:26.0,D. Powell misses 3-pt shot from 25 ft,,48-50,,
7:25.0,,,48-50,,Defensive rebound by B. Hield
7:12.0,,,48-50,,W. Cauley-Stein misses 2-pt shot from 4 ft
7:11.0,Defensive rebound by N. Noel,,48-50,,
6:55.0,H. Barnes misses 2-pt shot from 17 ft,,48-50,,
6:55.0,,,48-50,,Defensive rebound by W. Cauley-Stein
6:34.0,,,48-50,,B. Hield misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by H. Barnes,,48-50,,
6:18.0,N. Brussino makes 2-pt shot at rim (assist by N. Noel),2,50-50,,
6:06.0,,,50-50,,T. Evans misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by N. Noel,,50-50,,
5:56.0,N. Noel makes 2-pt shot at rim (assist by Y. Ferrell),2,52-50,,
5:56.0,,,52-50,,Sacramento full timeout
5:56.0,A. Hammons enters the game for N. Noel,,52-50,,
5:38.0,,,52-50,,Shooting foul by Y. Ferrell (drawn by L. Galloway)
5:38.0,,,52-51,1,L. Galloway makes free throw 1 of 2
5:38.0,,,52-52,1,L. Galloway makes free throw 2 of 2
5:23.0,A. Hammons makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,55-52,,
5:02.0,,,55-54,2,L. Galloway makes 2-pt shot from 10 ft
4:37.0,Y. Ferrell misses 2-pt shot from 21 ft,,55-54,,
4:36.0,,,55-54,,Defensive rebound by T. Evans
4:28.0,,,55-54,,T. Evans misses 2-pt shot from 2 ft (block by A. Hammons)
4:25.0,Defensive rebound by D. Powell,,55-54,,
4:21.0,N. Brussino makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,58-54,,
4:07.0,,,58-54,,L. Galloway misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by N. Brussino,,58-54,,
4:02.0,Turnover by Y. Ferrell (traveling),,58-54,,
4:02.0,D. Finney-Smith enters the game for Y. Ferrell,,58-54,,
4:02.0,,,58-54,,B. McLemore enters the game for S. Labissiere
4:02.0,,,58-54,,G. Papagiannis enters the game for B. Hield
3:53.0,,,58-54,,Turnover by B. McLemore (bad pass; steal by A. Hammons)
3:45.0,,,58-54,,G. Temple enters the game for L. Galloway
3:45.0,Dallas full timeout,,58-54,,
3:45.0,D. Harris enters the game for N. Brussino,,58-54,,
3:45.0,J. Uthoff enters the game for D. Finney-Smith,,58-54,,
3:45.0,J. Barea enters the game for A. Hammons,,58-54,,
3:33.0,H. Barnes misses 2-pt shot from 19 ft,,58-54,,
3:32.0,,,58-54,,Defensive rebound by W. Cauley-Stein
3:13.0,,,58-54,,G. Papagiannis misses 2-pt shot from 9 ft
3:12.0,Defensive rebound by J. Uthoff,,58-54,,
3:01.0,H. Barnes makes 3-pt shot from 24 ft (assist by D. Harris),3,61-54,,
2:50.0,,,61-56,2,G. Temple makes 2-pt shot from 3 ft (assist by T. Evans)
2:50.0,,,61-56,,Shooting foul by D. Powell (drawn by G. Temple)
2:50.0,,,61-57,1,G. Temple makes free throw 1 of 1
2:50.0,A. Hammons enters the game for H. Barnes,,61-56,,
2:32.0,D. Harris makes 3-pt shot from 23 ft (assist by J. Barea),3,64-57,,
2:18.0,,,64-60,3,B. McLemore makes 3-pt shot from 24 ft
2:01.0,A. Hammons misses 2-pt shot from 22 ft,,64-60,,
2:01.0,,,64-60,,Defensive rebound by B. McLemore
1:52.0,,,64-60,,B. McLemore misses 2-pt shot from 20 ft
1:52.0,Defensive rebound by J. Barea,,64-60,,
1:42.0,A. Hammons makes 2-pt shot at rim (assist by J. Barea),2,66-60,,
1:31.0,,,66-62,2,B. McLemore makes 2-pt shot at rim
1:09.0,D. Powell misses 2-pt shot from 7 ft (block by G. Papagiannis),,66-62,,
1:07.0,,,66-62,,Defensive rebound by G. Temple
1:00.0,,,66-65,3,B. McLemore makes 3-pt shot from 24 ft (assist by G. Temple)
0:47.0,J. Uthoff misses 3-pt shot from 23 ft,,66-65,,
0:47.0,,,66-65,,Defensive rebound by W. Cauley-Stein
0:43.0,,,66-65,,Turnover by G. Temple (lost ball)
0:43.0,,,66-65,,S. Labissiere enters the game for W. Cauley-Stein
0:33.0,J. Barea makes 3-pt shot from 26 ft,3,69-65,,
0:16.0,,,69-68,3,B. McLemore makes 3-pt shot from 24 ft (assist by T. Evans)
0:00.0,J. Barea misses 3-pt shot from 25 ft,,69-68,,
0:00.0,Offensive rebound by Team,,69-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Uthoff makes 2-pt shot from 11 ft (assist by D. Harris),2,71-68,,
11:18.0,,,71-71,3,S. Labissiere makes 3-pt shot from 25 ft (assist by G. Temple)
11:10.0,Turnover by J. Barea (bad pass; steal by G. Temple),,71-71,,
10:54.0,,,71-71,,G. Papagiannis misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by J. Barea,,71-71,,
10:40.0,J. Barea misses 3-pt shot from 24 ft,,71-71,,
10:39.0,,,71-71,,Defensive rebound by S. Labissiere
10:37.0,,,71-71,,Turnover by S. Labissiere (traveling)
10:37.0,D. Finney-Smith enters the game for D. Powell,,71-71,,
10:23.0,J. Uthoff misses 3-pt shot from 26 ft,,71-71,,
10:23.0,,,71-71,,Defensive rebound by L. Galloway
10:09.0,,,71-73,2,G. Papagiannis makes 2-pt shot at rim (assist by G. Temple)
9:55.0,N. Brussino enters the game for J. Barea,,71-73,,
9:55.0,Y. Ferrell enters the game for D. Harris,,71-73,,
9:42.0,A. Hammons misses 3-pt shot from 23 ft,,71-73,,
9:40.0,Offensive rebound by D. Finney-Smith,,71-73,,
9:40.0,D. Finney-Smith makes 2-pt shot from 1 ft,2,73-73,,
9:23.0,,,73-73,,Turnover by G. Papagiannis (lost ball; steal by N. Brussino)
9:08.0,N. Brussino misses 3-pt shot from 25 ft,,73-73,,
9:07.0,,,73-73,,Defensive rebound by G. Papagiannis
8:55.0,,,73-73,,L. Galloway misses 2-pt shot from 7 ft (block by Y. Ferrell)
8:54.0,Defensive rebound by N. Brussino,,73-73,,
8:38.0,J. Uthoff misses 3-pt shot from 26 ft,,73-73,,
8:38.0,Offensive rebound by N. Brussino,,73-73,,
8:38.0,Shooting foul by G. Temple (drawn by N. Brussino),,73-73,,
8:38.0,Official timeout,,73-73,,
8:38.0,N. Brussino makes free throw 1 of 2,1,74-73,,
8:38.0,N. Brussino makes free throw 2 of 2,1,75-73,,
8:19.0,,,75-73,,Shooting foul by J. Uthoff (drawn by S. Labissiere)
8:19.0,,,75-74,1,S. Labissiere makes free throw 1 of 2
8:19.0,,,75-75,1,S. Labissiere makes free throw 2 of 2
8:19.0,D. Powell enters the game for Y. Ferrell,,75-74,,
8:03.0,Turnover by D. Powell (lost ball; steal by S. Labissiere),,75-75,,
7:48.0,,,75-75,,G. Papagiannis misses 2-pt shot from 10 ft
7:47.0,Defensive rebound by D. Powell,,75-75,,
7:40.0,D. Finney-Smith misses 2-pt shot from 2 ft (block by G. Temple),,75-75,,
7:38.0,,,75-75,,Defensive rebound by G. Papagiannis
7:31.0,,,75-75,,G. Temple misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by N. Brussino,,75-75,,
7:13.0,Shooting foul by G. Papagiannis,,75-75,,
7:13.0,A. Hammons makes free throw 1 of 2,1,76-75,,
7:13.0,A. Hammons makes free throw 2 of 2,1,77-75,,
7:13.0,,,76-75,,B. Hield enters the game for G. Temple
6:58.0,,,77-77,2,B. McLemore makes 2-pt shot from 1 ft
6:39.0,N. Brussino misses 3-pt shot from 26 ft,,77-77,,
6:39.0,,,77-77,,Defensive rebound by L. Galloway
6:37.0,Personal foul by A. Hammons,,77-77,,
6:37.0,,,77-77,,W. Cauley-Stein enters the game for S. Labissiere
6:24.0,,,77-77,,Shooting foul by A. Hammons (drawn by B. Hield)
6:24.0,,,77-78,1,B. Hield makes free throw 1 of 2
6:24.0,,,77-79,1,B. Hield makes free throw 2 of 2
6:10.0,D. Powell misses 3-pt shot from 26 ft,,77-79,,
6:08.0,,,77-79,,Defensive rebound by W. Cauley-Stein
5:48.0,,,77-81,2,L. Galloway makes 2-pt shot from 20 ft (assist by G. Papagiannis)
5:47.0,Dallas full timeout,,77-81,,
5:36.0,Turnover by A. Hammons (offensive foul),,77-81,,
5:36.0,Offensive foul by A. Hammons,,77-81,,
5:15.0,,,77-81,,Turnover by B. Hield (bad pass; steal by D. Finney-Smith)
4:59.0,A. Hammons makes 2-pt shot from 16 ft (assist by D. Powell),2,79-81,,
4:40.0,,,79-84,3,B. Hield makes 3-pt shot from 24 ft
4:21.0,D. Finney-Smith misses 2-pt shot from 17 ft,,79-84,,
4:20.0,,,79-84,,Defensive rebound by G. Papagiannis
4:06.0,,,79-86,2,B. McLemore makes 2-pt shot from 3 ft
3:40.0,D. Powell makes 2-pt shot at rim (assist by N. Brussino),2,81-86,,
3:23.0,,,81-86,,B. Hield misses 2-pt shot from 18 ft
3:23.0,Defensive rebound by A. Hammons,,81-86,,
3:03.0,N. Brussino misses 3-pt shot from 24 ft,,81-86,,
3:03.0,,,81-86,,Defensive rebound by L. Galloway
2:48.0,,,81-88,2,G. Papagiannis makes 2-pt shot from 6 ft (assist by W. Cauley-Stein)
2:42.0,Dallas full timeout,,81-88,,
2:42.0,,,81-88,,Sacramento full timeout
2:42.0,,,81-88,,S. Labissiere enters the game for G. Papagiannis
2:36.0,Turnover by N. Brussino (step out of bounds),,81-88,,
2:21.0,,,81-88,,B. Hield misses 3-pt shot from 25 ft
2:20.0,,,81-88,,Offensive rebound by W. Cauley-Stein
1:57.0,,,81-88,,L. Galloway misses 2-pt shot from 20 ft
1:57.0,,,81-88,,Offensive rebound by W. Cauley-Stein
1:56.0,,,81-90,2,W. Cauley-Stein makes 2-pt shot from 2 ft
1:44.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by J. Uthoff),3,84-90,,
1:33.0,,,84-93,3,B. McLemore makes 3-pt shot from 26 ft (assist by B. Hield)
1:22.0,D. Finney-Smith misses 3-pt shot from 24 ft,,84-93,,
1:22.0,,,84-93,,Defensive rebound by W. Cauley-Stein
1:02.0,,,84-96,3,B. McLemore makes 3-pt shot from 25 ft (assist by L. Galloway)
1:02.0,Dallas full timeout,,84-96,,
0:57.0,D. Powell makes 3-pt shot from 25 ft (assist by N. Brussino),3,87-96,,
0:51.0,,,87-96,,Turnover by L. Galloway (bad pass)
0:44.0,Turnover by N. Brussino (lost ball; steal by W. Cauley-Stein),,87-96,,
0:39.0,,,87-96,,W. Cauley-Stein misses 2-pt shot from 2 ft
0:39.0,,,87-96,,Offensive rebound by W. Cauley-Stein
0:39.0,,,87-98,2,W. Cauley-Stein makes 2-pt shot from 2 ft
