time,Memphis,pts.away,score,pts.home,LA Lakers
5:22.0,J. Ennis misses 2-pt shot from 1 ft,,17-10,,
5:18.0,,,17-10,,Defensive rebound by L. Nance
5:11.0,T. Daniels enters the game for J. Ennis,,17-10,,
5:11.0,Z. Randolph enters the game for T. Allen,,17-10,,
5:03.0,,,17-12,2,B. Ingram makes 2-pt shot from 4 ft
4:43.0,B. Wright misses 2-pt shot from 6 ft,,17-12,,
4:40.0,,,17-12,,Defensive rebound by J. Randle
4:26.0,,,17-14,2,J. Randle makes 2-pt shot from 2 ft
4:26.0,Memphis full timeout,,17-14,,
4:26.0,,,17-14,,T. Robinson enters the game for L. Nance
4:13.0,Turnover by W. Baldwin (bad pass),,17-14,,
3:59.0,,,17-16,2,B. Ingram makes 2-pt shot from 1 ft (assist by T. Robinson)
3:38.0,Z. Randolph misses 2-pt shot from 18 ft,,17-16,,
3:36.0,,,17-16,,Defensive rebound by T. Robinson
3:32.0,,,17-18,2,T. Robinson makes 2-pt shot from 3 ft
3:19.0,Shooting foul by T. Robinson (drawn by W. Selden),,17-18,,
3:19.0,W. Selden makes free throw 1 of 2,1,18-18,,
3:19.0,W. Selden misses free throw 2 of 2,,18-18,,
3:19.0,J. Ennis enters the game for B. Wright,,18-18,,
3:17.0,,,18-18,,Defensive rebound by J. Randle
3:05.0,,,18-18,,Turnover by D. Russell (traveling)
3:05.0,M. Conley enters the game for W. Selden,,18-18,,
2:49.0,T. Daniels makes 2-pt shot from 20 ft,2,20-18,,
2:43.0,,,20-20,2,T. Robinson makes 2-pt shot from 1 ft (assist by D. Russell)
2:23.0,M. Conley makes 2-pt shot from 3 ft (assist by Z. Randolph),2,22-20,,
2:11.0,,,22-20,,B. Ingram misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by Z. Randolph,,22-20,,
2:01.0,Z. Randolph misses 3-pt shot from 25 ft,,22-20,,
2:00.0,,,22-20,,Defensive rebound by B. Ingram
1:48.0,,,22-20,,J. Randle misses 2-pt shot from 3 ft
1:46.0,Defensive rebound by Z. Randolph,,22-20,,
1:41.0,M. Conley misses 3-pt shot from 23 ft,,22-20,,
1:37.0,,,22-20,,Defensive rebound by J. Randle
1:20.0,,,22-22,2,D. Russell makes 2-pt shot from 1 ft
0:56.0,T. Daniels makes 3-pt shot from 28 ft (assist by M. Conley),3,25-22,,
0:45.0,,,25-22,,D. Nwaba enters the game for B. Ingram
0:45.0,,,25-22,,T. Ennis enters the game for J. Clarkson
0:37.0,,,25-22,,Turnover by D. Russell (bad pass; steal by Z. Randolph)
0:34.0,W. Baldwin makes 2-pt shot at rim (assist by M. Conley),2,27-22,,
0:11.0,,,27-22,,Turnover by J. Randle (lost ball; steal by W. Baldwin)
0:11.0,,,27-22,,Violation by J. Randle (kicked ball)
0:00.0,T. Daniels misses 3-pt shot from 25 ft,,27-22,,
0:00.0,Offensive rebound by Team,,27-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by Z. Randolph (lost ball; steal by D. Nwaba),,27-22,,
11:19.0,,,27-22,,L. Nance misses 2-pt shot from 20 ft
11:18.0,Defensive rebound by T. Daniels,,27-22,,
11:03.0,T. Daniels misses 3-pt shot from 28 ft,,27-22,,
11:01.0,,,27-22,,Defensive rebound by T. Robinson
10:55.0,,,27-22,,T. Robinson misses 2-pt shot from 1 ft
10:49.0,,,27-22,,Offensive rebound by D. Nwaba
10:48.0,,,27-24,2,D. Nwaba makes 2-pt shot from 2 ft
10:37.0,Turnover by W. Baldwin (bad pass; steal by C. Brewer),,27-24,,
10:34.0,,,27-24,,T. Ennis misses 2-pt shot from 3 ft (block by W. Baldwin)
10:34.0,Defensive rebound by Team,,27-24,,
10:16.0,J. Ennis misses 3-pt shot from 25 ft,,27-24,,
10:15.0,,,27-24,,Defensive rebound by T. Ennis
10:07.0,,,27-26,2,L. Nance makes 2-pt shot from 12 ft (assist by T. Ennis)
9:46.0,J. Ennis makes 2-pt shot from 3 ft (assist by W. Baldwin),2,29-26,,
9:30.0,,,29-26,,Turnover by D. Nwaba (bad pass; steal by J. Ennis)
9:24.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley),3,32-26,,
9:02.0,,,32-26,,T. Ennis misses 2-pt shot from 13 ft
8:59.0,,,32-26,,Offensive rebound by T. Robinson
8:58.0,,,32-28,2,T. Robinson makes 2-pt shot from 2 ft
8:42.0,Turnover by Z. Randolph (lost ball; steal by T. Robinson),,32-28,,
8:37.0,,,32-30,2,C. Brewer makes 2-pt shot from 2 ft (assist by L. Nance)
8:27.0,Memphis full timeout,,32-30,,
8:27.0,T. Allen enters the game for W. Baldwin,,32-30,,
8:17.0,,,32-30,,Violation by T. Robinson (kicked ball)
8:09.0,Shooting foul by L. Nance (drawn by Z. Randolph),,32-30,,
8:09.0,Z. Randolph misses free throw 1 of 2,,32-30,,
8:09.0,Offensive rebound by Team,,32-30,,
8:09.0,Z. Randolph makes free throw 2 of 2,1,33-30,,
7:56.0,,,33-30,,Turnover by T. Robinson (bad pass)
7:34.0,Z. Randolph misses 2-pt shot from 4 ft,,33-30,,
7:32.0,,,33-30,,Defensive rebound by T. Robinson
7:24.0,,,33-33,3,T. Ennis makes 3-pt shot from 28 ft
7:06.0,M. Conley makes 2-pt shot from 3 ft (assist by J. Ennis),2,35-33,,
6:43.0,,,35-33,,C. Brewer misses 2-pt shot from 17 ft
6:43.0,,,35-33,,Offensive rebound by T. Robinson
6:43.0,,,35-35,2,T. Robinson makes 2-pt shot from 3 ft
6:43.0,,,35-35,,Shooting foul by Z. Randolph (drawn by T. Robinson)
6:43.0,,,35-36,1,T. Robinson makes free throw 1 of 1
6:43.0,B. Wright enters the game for Z. Randolph,,35-35,,
6:43.0,W. Selden enters the game for T. Daniels,,35-35,,
6:43.0,,,35-35,,J. Clarkson enters the game for D. Nwaba
6:27.0,T. Allen misses 2-pt shot from 4 ft,,35-36,,
6:24.0,,,35-36,,Defensive rebound by T. Robinson
6:20.0,,,35-36,,T. Ennis misses 2-pt shot from 14 ft
6:16.0,,,35-36,,Offensive rebound by L. Nance
6:11.0,,,35-36,,T. Robinson misses 2-pt shot from 1 ft (block by J. Ennis)
6:10.0,,,35-36,,Offensive rebound by L. Nance
6:06.0,,,35-36,,Shooting foul by W. Selden (drawn by L. Nance)
6:06.0,,,35-37,1,L. Nance makes free throw 1 of 2
6:06.0,,,35-38,1,L. Nance makes free throw 2 of 2
6:06.0,Z. Randolph enters the game for J. Ennis,,35-37,,
6:06.0,,,35-37,,J. Randle enters the game for T. Robinson
5:54.0,W. Selden misses 3-pt shot from 26 ft,,35-38,,
5:52.0,,,35-38,,Defensive rebound by L. Nance
5:41.0,,,35-40,2,J. Clarkson makes 2-pt shot from 1 ft
5:30.0,Memphis full timeout,,35-40,,
5:30.0,Official timeout,,35-40,,
5:30.0,,,35-40,,D. Russell enters the game for C. Brewer
5:30.0,T. Daniels enters the game for M. Conley,,35-40,,
5:12.0,B. Wright makes 2-pt shot at rim (assist by T. Daniels),2,37-40,,
4:45.0,,,37-42,2,J. Clarkson makes 2-pt shot from 16 ft
4:30.0,T. Daniels makes 3-pt shot from 27 ft,3,40-42,,
4:16.0,,,40-42,,J. Clarkson misses 2-pt shot from 8 ft
4:14.0,Defensive rebound by T. Allen,,40-42,,
4:10.0,Shooting foul by T. Ennis (drawn by Z. Randolph),,40-42,,
4:10.0,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen),2,42-42,,
4:10.0,Z. Randolph misses free throw 1 of 1,,42-42,,
4:06.0,,,42-42,,Defensive rebound by J. Randle
3:53.0,,,42-42,,J. Clarkson misses 2-pt shot at rim (block by T. Allen)
3:49.0,,,42-42,,Offensive rebound by J. Clarkson
3:43.0,,,42-44,2,T. Ennis makes 2-pt shot from 2 ft
3:22.0,Z. Randolph misses 2-pt shot from 18 ft,,42-44,,
3:21.0,,,42-44,,Defensive rebound by L. Nance
3:07.0,,,42-46,2,D. Russell makes 2-pt shot from 5 ft
3:07.0,,,42-46,,Shooting foul by T. Daniels (drawn by D. Russell)
3:07.0,,,42-47,1,D. Russell makes free throw 1 of 1
2:43.0,T. Allen makes 2-pt shot at rim (assist by W. Selden),2,44-47,,
2:23.0,,,44-47,,Turnover by J. Clarkson (lost ball)
2:23.0,,,44-47,,LA Lakers full timeout
2:23.0,,,44-47,,D. Nwaba enters the game for T. Ennis
2:23.0,M. Conley enters the game for W. Selden,,44-47,,
2:07.0,T. Daniels makes 3-pt shot from 23 ft (assist by M. Conley),3,47-47,,
1:42.0,,,47-47,,D. Russell misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by B. Wright,,47-47,,
1:34.0,Z. Randolph makes 2-pt shot from 5 ft (assist by T. Allen),2,49-47,,
1:22.0,,,49-47,,Shooting foul by Z. Randolph (drawn by L. Nance)
1:22.0,,,49-48,1,L. Nance makes free throw 1 of 2
1:22.0,,,49-48,,L. Nance misses free throw 2 of 2
1:19.0,Defensive rebound by Z. Randolph,,49-48,,
1:00.0,Z. Randolph misses 2-pt shot from 7 ft,,49-48,,
0:57.0,,,49-48,,Defensive rebound by L. Nance
0:51.0,,,49-50,2,D. Russell makes 2-pt shot from 2 ft
0:31.0,Turnover by B. Wright (3 sec),,49-50,,
0:31.0,J. Ennis enters the game for Z. Randolph,,49-50,,
0:31.0,W. Baldwin enters the game for T. Daniels,,49-50,,
0:16.0,,,49-50,,J. Clarkson misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by T. Allen,,49-50,,
0:03.0,M. Conley misses 3-pt shot from 25 ft,,49-50,,
0:00.0,,,49-50,,Defensive rebound by D. Russell
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Conley misses 2-pt shot from 10 ft,,49-50,,
11:42.0,,,49-50,,Defensive rebound by B. Ingram
11:30.0,,,49-50,,D. Russell misses 2-pt shot from 2 ft
11:27.0,,,49-50,,Offensive rebound by J. Randle
11:26.0,,,49-52,2,J. Randle makes 2-pt shot from 1 ft
11:09.0,Shooting foul by J. Clarkson (drawn by B. Wright),,49-52,,
11:09.0,B. Wright makes free throw 1 of 2,1,50-52,,
11:09.0,B. Wright makes free throw 2 of 2,1,51-52,,
10:59.0,,,51-54,2,B. Ingram makes 2-pt shot from 3 ft (assist by D. Russell)
10:59.0,,,51-54,,Shooting foul by B. Wright (drawn by B. Ingram)
10:59.0,,,51-55,1,B. Ingram makes free throw 1 of 1
10:39.0,T. Allen makes 2-pt shot from 4 ft,2,53-55,,
10:27.0,Personal foul by W. Selden (drawn by B. Ingram),,53-55,,
10:13.0,,,53-55,,J. Randle misses 2-pt shot from 18 ft
10:11.0,,,53-55,,Offensive rebound by L. Nance
10:11.0,,,53-55,,L. Nance misses 2-pt shot at rim
10:08.0,Defensive rebound by T. Allen,,53-55,,
10:00.0,B. Wright makes 2-pt shot at rim (assist by J. Ennis),2,55-55,,
9:30.0,,,55-55,,D. Russell misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by M. Conley,,55-55,,
9:15.0,B. Wright makes 2-pt shot from 4 ft (assist by M. Conley),2,57-55,,
9:15.0,Shooting foul by B. Ingram (drawn by B. Wright),,57-55,,
9:15.0,B. Wright misses free throw 1 of 1,,57-55,,
9:14.0,,,57-55,,Defensive rebound by J. Randle
8:52.0,,,57-57,2,B. Ingram makes 2-pt shot from 2 ft
8:39.0,,,57-57,,Personal foul by D. Russell (drawn by M. Conley)
8:30.0,J. Ennis misses 2-pt shot from 17 ft,,57-57,,
8:28.0,,,57-57,,Defensive rebound by B. Ingram
8:20.0,,,57-57,,L. Nance misses 2-pt shot from 15 ft
8:17.0,Defensive rebound by M. Conley,,57-57,,
8:08.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley),3,60-57,,
7:54.0,,,60-60,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson)
7:32.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,62-60,,
7:08.0,,,62-60,,J. Clarkson misses 2-pt shot from 2 ft
7:05.0,,,62-60,,Offensive rebound by J. Randle
7:04.0,,,62-62,2,J. Randle makes 2-pt shot at rim
6:44.0,T. Allen makes 2-pt shot from 2 ft (assist by B. Wright),2,64-62,,
6:30.0,,,64-64,2,D. Russell makes 2-pt shot from 17 ft
6:09.0,M. Conley misses 2-pt shot from 6 ft,,64-64,,
6:09.0,Offensive rebound by J. Ennis,,64-64,,
6:09.0,Shooting foul by L. Nance (drawn by J. Ennis),,64-64,,
6:09.0,J. Ennis makes free throw 1 of 2,1,65-64,,
6:09.0,J. Ennis makes free throw 2 of 2,1,66-64,,
6:09.0,W. Baldwin enters the game for M. Conley,,65-64,,
6:09.0,Z. Randolph enters the game for W. Selden,,65-64,,
5:52.0,,,66-66,2,B. Ingram makes 2-pt shot from 15 ft
5:34.0,J. Ennis misses 3-pt shot from 28 ft,,66-66,,
5:33.0,,,66-66,,Defensive rebound by D. Russell
5:25.0,,,66-66,,D. Russell misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by Z. Randolph,,66-66,,
5:09.0,Turnover by Z. Randolph (bad pass; steal by L. Nance),,66-66,,
5:05.0,,,66-66,,Turnover by D. Russell (bad pass; steal by T. Allen)
5:02.0,B. Wright makes 2-pt shot from 1 ft (assist by J. Ennis),2,68-66,,
5:02.0,,,68-66,,LA Lakers full timeout
5:02.0,T. Daniels enters the game for J. Ennis,,68-66,,
4:43.0,,,68-68,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
4:29.0,Turnover by B. Wright (bad pass; steal by J. Randle),,68-68,,
4:25.0,,,68-68,,Turnover by J. Clarkson (bad pass; steal by T. Daniels)
4:12.0,,,68-68,,Violation by D. Russell (kicked ball)
4:00.0,Turnover by T. Daniels (lost ball; steal by B. Ingram),,68-68,,
3:57.0,,,68-70,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
3:39.0,T. Daniels misses 2-pt shot from 19 ft,,68-70,,
3:36.0,,,68-70,,Defensive rebound by J. Clarkson
3:23.0,,,68-72,2,D. Russell makes 2-pt shot from 2 ft (assist by J. Clarkson)
3:22.0,Memphis full timeout,,68-72,,
3:22.0,J. Ennis enters the game for B. Wright,,68-72,,
3:22.0,,,68-72,,T. Robinson enters the game for L. Nance
3:04.0,Z. Randolph makes 2-pt shot from 4 ft (assist by T. Daniels),2,70-72,,
2:34.0,,,70-72,,B. Ingram misses 2-pt shot from 11 ft
2:29.0,Defensive rebound by J. Ennis,,70-72,,
2:21.0,Z. Randolph misses 2-pt shot from 18 ft,,70-72,,
2:19.0,,,70-72,,Defensive rebound by J. Randle
2:06.0,,,70-72,,J. Randle misses 3-pt shot from 24 ft
2:05.0,,,70-72,,Offensive rebound by T. Robinson
1:58.0,,,70-74,2,T. Robinson makes 2-pt shot from 10 ft
1:32.0,T. Daniels misses 3-pt shot from 27 ft,,70-74,,
1:30.0,Offensive rebound by Z. Randolph,,70-74,,
1:27.0,Z. Randolph makes 2-pt shot from 2 ft,2,72-74,,
1:10.0,,,72-74,,Shooting foul by Z. Randolph (drawn by J. Randle)
1:10.0,,,72-75,1,J. Randle makes free throw 1 of 2
1:10.0,,,72-76,1,J. Randle makes free throw 2 of 2
1:10.0,W. Selden enters the game for T. Allen,,72-75,,
1:10.0,M. Conley enters the game for W. Baldwin,,72-75,,
1:10.0,,,72-75,,D. Nwaba enters the game for J. Clarkson
0:58.0,T. Daniels misses 3-pt shot from 26 ft,,72-76,,
0:57.0,Offensive rebound by Z. Randolph,,72-76,,
0:56.0,Z. Randolph makes 2-pt shot from 2 ft,2,74-76,,
0:39.0,,,74-76,,Turnover by B. Ingram (lost ball; steal by W. Selden)
0:35.0,T. Daniels makes 3-pt shot from 29 ft (assist by W. Selden),3,77-76,,
0:28.0,,,77-79,3,D. Russell makes 3-pt shot from 24 ft
0:04.0,J. Ennis makes 3-pt shot from 25 ft (assist by M. Conley),3,80-79,,
0:01.0,,,80-79,,J. Randle misses 3-pt shot from 27 ft
0:00.0,,,80-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,80-82,3,L. Nance makes 3-pt shot from 26 ft (assist by C. Brewer)
11:18.0,Z. Randolph misses 2-pt shot from 4 ft,,80-82,,
11:16.0,,,80-82,,Defensive rebound by L. Nance
11:09.0,,,80-82,,T. Ennis misses 2-pt shot from 1 ft
11:07.0,,,80-82,,Offensive rebound by L. Nance
11:07.0,,,80-84,2,L. Nance makes 2-pt shot from 3 ft
10:51.0,J. Ennis makes 2-pt shot from 18 ft,2,82-84,,
10:37.0,,,82-84,,Offensive foul by T. Robinson
10:37.0,,,82-84,,Turnover by T. Robinson (offensive foul)
10:21.0,M. Conley misses 2-pt shot from 1 ft,,82-84,,
10:21.0,Offensive rebound by Team,,82-84,,
10:17.0,J. Ennis misses 2-pt shot from 2 ft,,82-84,,
10:15.0,,,82-84,,Defensive rebound by T. Robinson
10:00.0,,,82-84,,Shooting foul by M. Conley (drawn by D. Nwaba)
10:00.0,,,82-84,,D. Nwaba misses free throw 1 of 2
10:00.0,,,82-84,,Offensive rebound by Team
10:00.0,,,82-85,1,D. Nwaba makes free throw 2 of 2
9:48.0,Turnover by W. Selden (bad pass),,82-85,,
9:31.0,,,82-87,2,T. Ennis makes 2-pt shot from 5 ft
9:15.0,Z. Randolph misses 2-pt shot from 1 ft,,82-87,,
9:12.0,,,82-87,,Defensive rebound by T. Ennis
9:10.0,Personal foul by W. Selden (drawn by T. Robinson),,82-87,,
9:10.0,B. Wright enters the game for Z. Randolph,,82-87,,
9:02.0,,,82-87,,C. Brewer misses 2-pt shot from 3 ft
8:56.0,Defensive rebound by B. Wright,,82-87,,
8:46.0,Shooting foul by L. Nance (drawn by M. Conley),,82-87,,
8:46.0,Official timeout,,82-87,,
8:46.0,M. Conley makes free throw 1 of 2,1,83-87,,
8:46.0,M. Conley makes free throw 2 of 2,1,84-87,,
8:46.0,T. Allen enters the game for J. Ennis,,82-87,,
8:37.0,Personal foul by T. Allen (drawn by L. Nance),,84-87,,
8:27.0,,,84-87,,T. Ennis misses 2-pt shot from 3 ft
8:24.0,Defensive rebound by T. Allen,,84-87,,
8:16.0,W. Selden misses 3-pt shot from 22 ft,,84-87,,
8:14.0,,,84-87,,Defensive rebound by L. Nance
7:59.0,Shooting block foul by T. Daniels (drawn by T. Robinson),,84-87,,
7:59.0,,,84-87,,T. Robinson misses free throw 1 of 2
7:59.0,,,84-87,,Offensive rebound by Team
7:59.0,,,84-87,,T. Robinson misses free throw 2 of 2
7:56.0,Defensive rebound by T. Allen,,84-87,,
7:50.0,M. Conley makes 3-pt shot from 26 ft (assist by T. Allen),3,87-87,,
7:32.0,,,87-87,,D. Nwaba misses 2-pt shot from 4 ft (block by M. Conley)
7:28.0,Defensive rebound by T. Allen,,87-87,,
7:10.0,Turnover by W. Selden (lost ball; steal by T. Robinson),,87-87,,
7:04.0,,,87-87,,D. Nwaba misses 2-pt shot from 1 ft
7:00.0,,,87-87,,Offensive rebound by C. Brewer
7:00.0,,,87-89,2,C. Brewer makes 2-pt shot from 1 ft
6:40.0,Turnover by T. Allen (bad pass; steal by L. Nance),,87-89,,
6:32.0,,,87-89,,T. Robinson misses 2-pt shot from 4 ft
6:32.0,,,87-89,,Offensive rebound by T. Robinson
6:32.0,,,87-89,,Shooting foul by W. Selden (drawn by T. Robinson)
6:32.0,,,87-89,,T. Robinson misses free throw 1 of 2
6:32.0,,,87-89,,Offensive rebound by Team
6:32.0,,,87-90,1,T. Robinson makes free throw 2 of 2
6:32.0,J. Ennis enters the game for W. Selden,,87-89,,
6:32.0,,,87-89,,D. Russell enters the game for D. Nwaba
6:11.0,Turnover by B. Wright (lost ball; steal by C. Brewer),,87-90,,
6:03.0,,,87-90,,L. Nance misses 2-pt shot from 3 ft
6:01.0,,,87-90,,Offensive rebound by T. Robinson
6:01.0,,,87-90,,T. Robinson misses 2-pt shot at rim
5:58.0,Defensive rebound by T. Allen,,87-90,,
5:44.0,T. Daniels makes 3-pt shot from 26 ft (assist by B. Wright),3,90-90,,
5:43.0,,,90-90,,LA Lakers full timeout
5:43.0,,,90-90,,J. Randle enters the game for T. Robinson
5:43.0,,,90-90,,J. Clarkson enters the game for C. Brewer
5:20.0,,,90-93,3,D. Russell makes 3-pt shot from 26 ft
5:19.0,,,90-93,,Violation by Team (jump ball)
5:05.0,T. Daniels misses 3-pt shot from 26 ft,,90-93,,
5:04.0,,,90-93,,Defensive rebound by D. Russell
5:04.0,Personal foul by T. Allen (drawn by D. Russell),,90-93,,
5:04.0,,,90-94,1,D. Russell makes free throw 1 of 2
5:04.0,,,90-95,1,D. Russell makes free throw 2 of 2
5:04.0,W. Selden enters the game for T. Daniels,,90-94,,
5:04.0,Z. Randolph enters the game for M. Conley,,90-94,,
4:47.0,Z. Randolph makes 2-pt shot from 4 ft,2,92-95,,
4:22.0,,,92-95,,J. Clarkson misses 3-pt shot from 27 ft
4:20.0,Defensive rebound by T. Allen,,92-95,,
3:56.0,Z. Randolph misses 2-pt shot from 18 ft,,92-95,,
3:55.0,,,92-95,,Defensive rebound by J. Clarkson
3:38.0,,,92-95,,J. Clarkson misses 2-pt shot from 6 ft (block by B. Wright)
3:36.0,Defensive rebound by J. Ennis,,92-95,,
3:28.0,Memphis full timeout,,92-95,,
3:28.0,M. Conley enters the game for W. Selden,,92-95,,
3:28.0,T. Daniels enters the game for B. Wright,,92-95,,
3:12.0,Z. Randolph misses 2-pt shot from 3 ft,,92-95,,
3:10.0,,,92-95,,Defensive rebound by L. Nance
3:05.0,,,92-95,,Turnover by Team (turnover)
2:53.0,M. Conley misses 3-pt shot from 27 ft,,92-95,,
2:52.0,,,92-95,,Defensive rebound by D. Russell
2:34.0,,,92-95,,Shooting foul by T. Allen (drawn by D. Russell)
2:34.0,,,92-96,1,D. Russell makes free throw 1 of 2
2:34.0,,,92-97,1,D. Russell makes free throw 2 of 2
2:34.0,B. Wright enters the game for T. Allen,,92-96,,
2:19.0,M. Conley makes 3-pt shot from 27 ft (assist by T. Daniels),3,95-97,,
2:00.0,,,95-97,,D. Russell misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by T. Daniels,,95-97,,
1:51.0,B. Wright makes 2-pt shot from 4 ft (assist by M. Conley),2,97-97,,
1:51.0,,,97-97,,LA Lakers full timeout
1:39.0,,,97-99,2,T. Ennis makes 2-pt shot from 11 ft (assist by D. Russell)
1:26.0,Turnover by J. Ennis (lost ball; steal by T. Ennis),,97-99,,
1:08.0,,,97-99,,J. Randle misses 2-pt shot from 1 ft
1:07.0,,,97-99,,Offensive rebound by L. Nance
1:07.0,,,97-101,2,L. Nance makes 2-pt shot at rim
0:59.0,,,97-101,,Personal foul by L. Nance (drawn by M. Conley)
0:58.0,Turnover by J. Ennis (bad pass; steal by L. Nance),,97-101,,
0:56.0,Loose ball foul by B. Wright (drawn by D. Russell),,97-101,,
0:56.0,,,97-102,1,D. Russell makes free throw 1 of 2
0:56.0,,,97-103,1,D. Russell makes free throw 2 of 2
0:56.0,Memphis full timeout,,97-103,,
0:49.0,M. Conley makes 3-pt shot from 25 ft,3,100-103,,
0:30.0,,,100-103,,D. Russell misses 2-pt shot from 2 ft
0:29.0,,,100-103,,Offensive rebound by J. Randle
0:29.0,,,100-103,,Shooting foul by B. Wright (drawn by J. Randle)
0:29.0,,,100-104,1,J. Randle makes free throw 1 of 2
0:29.0,,,100-104,,J. Randle misses free throw 2 of 2
0:29.0,Defensive rebound by J. Ennis,,100-104,,
0:29.0,Memphis full timeout,,100-104,,
0:29.0,T. Allen enters the game for B. Wright,,100-104,,
0:16.0,M. Conley makes 3-pt shot from 26 ft,3,103-104,,
0:12.0,Personal block foul by M. Conley (drawn by T. Ennis),,103-104,,
0:12.0,,,103-105,1,T. Ennis makes free throw 1 of 2
