time,Toronto,pts.away,score,pts.home,Oklahoma City
4:36.0,Turnover by K. Lowry (bad pass; steal by V. Oladipo),,99-95,,
4:30.0,,,99-95,,Turnover by R. Westbrook (lost ball)
4:09.0,K. Lowry makes 2-pt shot from 1 ft,2,101-95,,
3:55.0,,,101-95,,Turnover by R. Westbrook (lost ball; steal by C. Joseph)
3:52.0,Shooting foul by V. Oladipo (drawn by D. DeRozan),,101-95,,
3:52.0,D. DeRozan misses free throw 1 of 2,,101-95,,
3:52.0,Offensive rebound by Team,,101-95,,
3:52.0,D. DeRozan makes free throw 2 of 2,1,102-95,,
3:52.0,,,101-95,,A. Roberson enters the game for S. Christon
3:46.0,,,102-95,,R. Westbrook misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by D. DeRozan,,102-95,,
3:32.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan),3,105-95,,
3:13.0,,,105-95,,R. Westbrook misses 3-pt shot from 27 ft
3:11.0,Defensive rebound by K. Lowry,,105-95,,
2:59.0,K. Lowry misses 3-pt shot from 24 ft,,105-95,,
2:59.0,,,105-95,,Defensive rebound by V. Oladipo
2:53.0,,,105-95,,V. Oladipo misses 2-pt shot from 1 ft
2:53.0,Defensive rebound by D. DeRozan,,105-95,,
2:46.0,D. DeRozan makes 2-pt shot from 2 ft,2,107-95,,
2:44.0,Personal foul by K. Lowry (drawn by R. Westbrook),,107-95,,
2:44.0,Official timeout,,107-95,,
2:44.0,,,107-96,1,R. Westbrook makes free throw 1 of 2
2:44.0,,,107-97,1,R. Westbrook makes free throw 2 of 2
2:44.0,,,107-95,,J. Grant enters the game for E. Kanter
2:21.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,109-97,,
2:06.0,,,109-97,,Offensive foul by R. Westbrook
2:06.0,,,109-97,,Turnover by R. Westbrook (offensive foul)
1:43.0,D. DeRozan makes 2-pt shot from 19 ft,2,111-97,,
1:35.0,,,111-97,,J. Grant misses 3-pt shot from 25 ft
1:34.0,,,111-97,,Offensive rebound by Team
1:34.0,Loose ball foul by C. Joseph (drawn by S. Adams),,111-97,,
1:34.0,,,111-98,1,S. Adams makes free throw 1 of 2
1:34.0,,,111-99,1,S. Adams makes free throw 2 of 2
1:34.0,,,111-98,,S. Christon enters the game for R. Westbrook
1:13.0,Turnover by D. DeRozan (bad pass; steal by S. Adams),,111-99,,
1:04.0,,,111-99,,V. Oladipo misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by L. Nogueira,,111-99,,
0:55.0,,,111-99,,Personal take foul by S. Adams (drawn by C. Joseph)
0:55.0,C. Joseph makes free throw 1 of 2,1,112-99,,
0:55.0,C. Joseph misses free throw 2 of 2,,112-99,,
0:55.0,N. Powell enters the game for D. DeRozan,,112-99,,
0:55.0,,,112-99,,J. Lauvergne enters the game for S. Adams
0:55.0,,,112-99,,K. Singler enters the game for V. Oladipo
0:54.0,,,112-99,,Defensive rebound by J. Lauvergne
0:47.0,,,112-102,3,A. Roberson makes 3-pt shot from 25 ft (assist by S. Christon)
0:27.0,K. Lowry misses 3-pt shot from 25 ft,,112-102,,
0:26.0,Offensive rebound by Team,,112-102,,
0:26.0,F. VanVleet enters the game for C. Joseph,,112-102,,
0:04.0,N. Powell misses 2-pt shot from 2 ft,,112-102,,
0:03.0,,,112-102,,Defensive rebound by K. Singler
0:00.0,End of 4th quarter,,,,End of 4th quarter
