time,Milwaukee,pts.away,score,pts.home,Washington
0:43.0,,,25-28,,Defensive rebound by J. Smith
0:33.0,,,25-28,,J. Wall misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by G. Antetokounmpo,,25-28,,
0:23.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,27-28,,
0:02.0,,,27-28,,K. Oubre misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by M. Beasley,,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by G. Monroe (bad pass),,27-28,,
11:19.0,,,27-28,,K. Oubre misses 2-pt shot from 16 ft
11:16.0,,,27-28,,Offensive rebound by K. Oubre
11:11.0,,,27-30,2,J. Smith makes 2-pt shot from 17 ft (assist by K. Oubre)
10:45.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,27-30,,
10:44.0,Offensive rebound by G. Antetokounmpo,,27-30,,
10:32.0,G. Monroe misses 2-pt shot from 6 ft,,27-30,,
10:30.0,,,27-30,,Defensive rebound by K. Oubre
10:14.0,,,27-30,,K. Oubre misses 3-pt shot from 27 ft
10:14.0,Defensive rebound by G. Antetokounmpo,,27-30,,
10:14.0,,,27-30,,Personal foul by M. Thornton (drawn by M. Brogdon)
10:14.0,M. Dellavedova enters the game for M. Brogdon,,27-30,,
9:58.0,M. Beasley misses 3-pt shot from 24 ft,,27-30,,
9:57.0,Offensive rebound by G. Antetokounmpo,,27-30,,
9:54.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,29-30,,
9:33.0,,,29-33,3,M. Thornton makes 3-pt shot from 26 ft (assist by K. Oubre)
9:18.0,M. Beasley misses 2-pt shot from 19 ft,,29-33,,
9:17.0,,,29-33,,Defensive rebound by M. Thornton
9:03.0,,,29-35,2,M. Morris makes 2-pt shot from 18 ft (assist by M. Thornton)
8:52.0,J. Terry misses 2-pt shot from 20 ft,,29-35,,
8:50.0,Offensive rebound by G. Monroe,,29-35,,
8:49.0,Shooting foul by J. Smith (drawn by G. Monroe),,29-35,,
8:49.0,Official timeout,,29-35,,
8:49.0,G. Monroe misses free throw 1 of 2,,29-35,,
8:49.0,Offensive rebound by Team,,29-35,,
8:49.0,G. Monroe makes free throw 2 of 2,1,30-35,,
8:38.0,,,30-35,,T. Burke misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by J. Terry,,30-35,,
8:34.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,30-35,,
8:34.0,G. Antetokounmpo makes free throw 1 of 2,1,31-35,,
8:34.0,G. Antetokounmpo makes free throw 2 of 2,1,32-35,,
8:34.0,J. Henson enters the game for G. Monroe,,31-35,,
8:17.0,,,32-35,,M. Morris misses 2-pt shot from 12 ft
8:15.0,Defensive rebound by J. Terry,,32-35,,
8:09.0,M. Dellavedova misses 3-pt shot from 25 ft,,32-35,,
8:09.0,Offensive rebound by Team,,32-35,,
8:02.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,34-35,,
8:02.0,Shooting foul by K. Oubre (drawn by G. Antetokounmpo),,34-35,,
8:02.0,G. Antetokounmpo makes free throw 1 of 1,1,35-35,,
7:51.0,,,35-35,,Turnover by K. Oubre (lost ball)
7:51.0,,,35-35,,M. Gortat enters the game for K. Oubre
7:51.0,,,35-35,,O. Porter enters the game for J. Smith
7:51.0,J. Parker enters the game for M. Beasley,,35-35,,
7:38.0,,,35-35,,Personal foul by T. Burke (drawn by M. Dellavedova)
7:38.0,M. Dellavedova makes free throw 1 of 2,1,36-35,,
7:38.0,M. Dellavedova makes free throw 2 of 2,1,37-35,,
7:38.0,,,36-35,,B. Beal enters the game for M. Thornton
7:38.0,,,36-35,,J. Wall enters the game for T. Burke
7:38.0,T. Snell enters the game for J. Terry,,36-35,,
7:21.0,,,37-35,,Shooting foul by J. Henson (drawn by M. Morris)
7:21.0,,,37-35,,M. Morris misses free throw 1 of 2
7:21.0,,,37-35,,Offensive rebound by Team
7:21.0,,,37-36,1,M. Morris makes free throw 2 of 2
7:07.0,Turnover by J. Parker (palming),,37-36,,
6:51.0,,,37-36,,B. Beal misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by J. Parker,,37-36,,
6:44.0,M. Dellavedova misses 3-pt shot from 25 ft,,37-36,,
6:43.0,,,37-36,,Defensive rebound by O. Porter
6:40.0,Personal foul by M. Dellavedova (drawn by M. Morris),,37-36,,
6:28.0,,,37-36,,Shooting foul by G. Antetokounmpo (drawn by M. Morris)
6:28.0,,,37-37,1,M. Morris makes free throw 1 of 2
6:28.0,,,37-38,1,M. Morris makes free throw 2 of 2
6:16.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,40-38,,
6:05.0,,,40-38,,O. Porter misses 3-pt shot from 24 ft
6:04.0,,,40-38,,Offensive rebound by M. Gortat
5:55.0,,,40-40,2,O. Porter makes 2-pt shot from 13 ft (assist by B. Beal)
5:34.0,J. Parker misses 2-pt shot from 2 ft (block by J. Wall),,40-40,,
5:32.0,,,40-40,,Defensive rebound by B. Beal
5:24.0,,,40-42,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:09.0,M. Dellavedova misses 2-pt shot from 5 ft,,40-42,,
5:09.0,Offensive rebound by M. Dellavedova,,40-42,,
5:09.0,,,40-42,,Personal foul by J. Wall (drawn by M. Dellavedova)
5:09.0,,,40-42,,Washington full timeout
5:09.0,M. Dellavedova makes free throw 1 of 2,1,41-42,,
5:09.0,M. Dellavedova makes free throw 2 of 2,1,42-42,,
4:53.0,,,42-44,2,O. Porter makes 2-pt shot from 6 ft
4:28.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,45-44,,
4:17.0,,,45-44,,B. Beal misses 2-pt shot from 18 ft
4:16.0,,,45-44,,Offensive rebound by Team
4:08.0,,,45-44,,Shooting foul by J. Parker (drawn by B. Beal)
4:08.0,,,45-44,,B. Beal misses free throw 1 of 2
4:08.0,,,45-44,,Offensive rebound by Team
4:08.0,,,45-45,1,B. Beal makes free throw 2 of 2
3:55.0,,,45-45,,Personal foul by O. Porter (drawn by G. Antetokounmpo)
3:55.0,G. Antetokounmpo makes free throw 1 of 2,1,46-45,,
3:55.0,G. Antetokounmpo misses free throw 2 of 2,,46-45,,
3:52.0,,,46-45,,Defensive rebound by O. Porter
3:37.0,,,46-45,,O. Porter misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by T. Snell,,46-45,,
3:31.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,49-45,,
3:04.0,,,49-45,,J. Wall misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by G. Antetokounmpo,,49-45,,
2:47.0,T. Snell misses 3-pt shot from 24 ft,,49-45,,
2:46.0,Offensive rebound by T. Snell,,49-45,,
2:32.0,M. Dellavedova misses 3-pt shot from 25 ft,,49-45,,
2:30.0,,,49-45,,Defensive rebound by M. Gortat
2:17.0,,,49-47,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
1:57.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,51-47,,
1:41.0,,,51-47,,Turnover by M. Morris (lost ball)
1:41.0,Milwaukee full timeout,,51-47,,
1:28.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,53-47,,
1:15.0,,,53-49,2,J. Wall makes 2-pt shot from 2 ft
0:57.0,M. Dellavedova makes 2-pt shot from 12 ft,2,55-49,,
0:36.0,,,55-51,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
0:25.0,J. Henson misses 2-pt shot from 6 ft,,55-51,,
0:23.0,Offensive rebound by G. Antetokounmpo,,55-51,,
0:23.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,57-51,,
0:01.0,,,57-51,,Shooting foul by G. Antetokounmpo (drawn by B. Beal)
0:01.0,,,57-52,1,B. Beal makes free throw 1 of 2
0:01.0,,,57-53,1,B. Beal makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,M. Dellavedova misses 3-pt shot from 26 ft,,57-53,,
11:47.0,,,57-53,,Defensive rebound by M. Gortat
11:29.0,,,57-55,2,M. Morris makes 2-pt shot from 1 ft
11:15.0,T. Snell misses 3-pt shot from 24 ft,,57-55,,
11:14.0,,,57-55,,Defensive rebound by O. Porter
11:05.0,,,57-58,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
10:37.0,J. Parker makes 2-pt shot from 16 ft (assist by T. Snell),2,59-58,,
10:23.0,,,59-60,2,J. Wall makes 2-pt shot from 1 ft
9:58.0,Turnover by J. Parker (offensive foul),,59-60,,
9:58.0,Offensive charge foul by J. Parker,,59-60,,
9:53.0,Personal foul by M. Dellavedova (drawn by J. Wall),,59-60,,
9:44.0,,,59-63,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
9:30.0,T. Snell makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,62-63,,
9:17.0,,,62-66,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
9:00.0,J. Parker misses 3-pt shot from 27 ft,,62-66,,
8:59.0,,,62-66,,Defensive rebound by B. Beal
8:49.0,,,62-66,,Turnover by B. Beal (lost ball; steal by T. Snell)
8:43.0,T. Snell makes 2-pt shot from 1 ft,2,64-66,,
8:26.0,,,64-68,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
8:12.0,Shooting foul by O. Porter (drawn by G. Antetokounmpo),,64-68,,
8:12.0,G. Antetokounmpo misses free throw 1 of 2,,64-68,,
8:12.0,Offensive rebound by Team,,64-68,,
8:12.0,G. Antetokounmpo makes free throw 2 of 2,1,65-68,,
7:58.0,,,65-68,,B. Beal misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by T. Snell,,65-68,,
7:47.0,T. Snell misses 3-pt shot from 23 ft,,65-68,,
7:46.0,,,65-68,,Defensive rebound by O. Porter
7:40.0,,,65-68,,J. Wall misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by J. Henson,,65-68,,
7:22.0,J. Henson misses 2-pt shot from 6 ft,,65-68,,
7:22.0,Offensive rebound by G. Antetokounmpo,,65-68,,
7:17.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,67-68,,
7:13.0,,,67-68,,Shooting foul by T. Snell (drawn by B. Beal)
7:13.0,,,67-69,1,B. Beal makes free throw 1 of 2
7:13.0,,,67-70,1,B. Beal makes free throw 2 of 2
7:13.0,M. Brogdon enters the game for T. Snell,,67-69,,
7:06.0,Shooting foul by B. Beal (drawn by M. Dellavedova),,67-70,,
7:06.0,M. Dellavedova makes free throw 1 of 2,1,68-70,,
7:06.0,M. Dellavedova makes free throw 2 of 2,1,69-70,,
6:49.0,,,69-70,,J. Wall misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by J. Henson,,69-70,,
6:43.0,Turnover by J. Henson (offensive foul),,69-70,,
6:43.0,Offensive charge foul by J. Henson,,69-70,,
6:28.0,,,69-72,2,B. Beal makes 2-pt shot from 3 ft
6:05.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,71-72,,
5:51.0,,,71-72,,O. Porter misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by M. Brogdon,,71-72,,
5:46.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,71-72,,
5:46.0,,,71-72,,Washington full timeout
5:46.0,G. Antetokounmpo makes free throw 1 of 2,1,72-72,,
5:46.0,G. Antetokounmpo makes free throw 2 of 2,1,73-72,,
5:29.0,,,73-72,,M. Gortat misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by J. Henson,,73-72,,
5:13.0,Turnover by M. Dellavedova (bad pass; steal by B. Beal),,73-72,,
5:08.0,,,73-74,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
4:46.0,J. Parker makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,75-74,,
4:24.0,,,75-74,,J. Wall misses 2-pt shot from 19 ft
4:22.0,,,75-74,,Offensive rebound by M. Morris
4:16.0,,,75-74,,M. Morris misses 3-pt shot from 24 ft
4:16.0,,,75-74,,Offensive rebound by B. Beal
4:16.0,,,75-76,2,B. Beal makes 2-pt shot from 1 ft
4:15.0,,,75-76,,Violation by Team (delay of game)
3:52.0,J. Henson makes 2-pt shot from 20 ft (assist by J. Parker),2,77-76,,
3:41.0,,,77-76,,B. Beal misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by M. Dellavedova,,77-76,,
3:38.0,,,77-76,,Violation by B. Beal (def goaltending)
3:38.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,79-76,,
3:18.0,,,79-76,,M. Morris misses 2-pt shot from 12 ft
3:17.0,Defensive rebound by J. Parker,,79-76,,
3:14.0,Offensive charge foul by J. Parker,,79-76,,
3:14.0,Turnover by J. Parker (offensive foul),,79-76,,
3:14.0,,,79-76,,K. Oubre enters the game for M. Morris
3:14.0,G. Monroe enters the game for J. Parker,,79-76,,
3:14.0,M. Beasley enters the game for J. Henson,,79-76,,
3:05.0,,,79-76,,Turnover by J. Wall (bad pass)
2:50.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,79-76,,
2:50.0,Offensive rebound by G. Antetokounmpo,,79-76,,
2:48.0,Milwaukee full timeout,,79-76,,
2:44.0,M. Beasley misses 2-pt shot from 3 ft,,79-76,,
2:43.0,Offensive rebound by M. Beasley,,79-76,,
2:32.0,Turnover by G. Monroe (lost ball; steal by J. Wall),,79-76,,
2:24.0,,,79-76,,B. Beal misses 2-pt shot from 3 ft
2:23.0,Defensive rebound by M. Beasley,,79-76,,
2:18.0,Shooting foul by M. Gortat (drawn by G. Antetokounmpo),,79-76,,
2:18.0,G. Antetokounmpo makes free throw 1 of 2,1,80-76,,
2:18.0,G. Antetokounmpo misses free throw 2 of 2,,80-76,,
2:18.0,,,80-76,,M. Thornton enters the game for B. Beal
2:18.0,J. Terry enters the game for M. Dellavedova,,80-76,,
2:17.0,,,80-76,,Defensive rebound by M. Gortat
2:03.0,,,80-76,,M. Thornton misses 2-pt shot from 13 ft
2:02.0,Defensive rebound by G. Antetokounmpo,,80-76,,
1:51.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,80-76,,
1:50.0,,,80-76,,Defensive rebound by O. Porter
1:35.0,,,80-78,2,J. Wall makes 2-pt shot from 2 ft
1:08.0,G. Monroe makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,82-78,,
0:47.0,,,82-80,2,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall)
0:26.0,G. Monroe makes 2-pt shot from 18 ft,2,84-80,,
0:02.0,,,84-80,,J. Wall misses 2-pt shot from 3 ft
0:02.0,,,84-80,,Offensive rebound by J. Wall
0:01.0,,,84-82,2,J. Wall makes 2-pt shot from 3 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,84-84,2,J. Wall makes 2-pt shot from 2 ft
11:23.0,M. Beasley makes 2-pt shot from 5 ft (assist by J. Parker),2,86-84,,
10:57.0,,,86-84,,K. Oubre misses 3-pt shot from 23 ft
10:57.0,,,86-84,,Offensive rebound by Team
10:57.0,,,86-84,,Turnover by Team (shot clock)
10:42.0,M. Beasley makes 2-pt shot from 7 ft,2,88-84,,
10:24.0,,,88-84,,Turnover by M. Thornton (lost ball)
10:24.0,,,88-84,,M. Morris enters the game for O. Porter
10:09.0,M. Beasley makes 2-pt shot from 9 ft (assist by J. Parker),2,90-84,,
9:52.0,Personal foul by M. Beasley (drawn by M. Morris),,90-84,,
9:38.0,,,90-84,,J. Wall misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by G. Monroe,,90-84,,
9:26.0,G. Monroe makes 2-pt shot from 2 ft,2,92-84,,
9:25.0,,,92-84,,Washington full timeout
9:25.0,,,92-84,,B. Beal enters the game for J. Wall
9:07.0,,,92-84,,M. Gortat misses 2-pt shot from 1 ft (block by J. Parker)
9:05.0,Defensive rebound by G. Monroe,,92-84,,
8:58.0,M. Beasley misses 2-pt shot at rim,,92-84,,
8:57.0,,,92-84,,Defensive rebound by M. Gortat
8:50.0,,,92-86,2,M. Thornton makes 2-pt shot from 1 ft
8:30.0,,,92-86,,Personal foul by B. Beal (drawn by M. Brogdon)
8:25.0,G. Monroe makes 2-pt shot from 5 ft,2,94-86,,
8:14.0,Personal foul by M. Beasley (drawn by M. Morris),,94-86,,
8:04.0,,,94-86,,M. Thornton misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by M. Beasley,,94-86,,
7:51.0,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe),2,96-86,,
7:49.0,,,96-86,,Washington full timeout
7:49.0,,,96-86,,J. Wall enters the game for K. Oubre
7:49.0,,,96-86,,O. Porter enters the game for M. Thornton
7:34.0,,,96-86,,M. Gortat misses 2-pt shot from 5 ft
7:34.0,,,96-86,,Offensive rebound by J. Wall
7:34.0,,,96-86,,J. Wall misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by J. Parker,,96-86,,
7:24.0,G. Monroe misses 2-pt shot from 3 ft,,96-86,,
7:23.0,,,96-86,,Defensive rebound by O. Porter
7:13.0,,,96-89,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
6:56.0,M. Beasley misses 2-pt shot from 16 ft,,96-89,,
6:56.0,,,96-89,,Defensive rebound by O. Porter
6:47.0,,,96-92,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
6:46.0,Milwaukee full timeout,,96-92,,
6:46.0,T. Snell enters the game for M. Beasley,,96-92,,
6:46.0,G. Antetokounmpo enters the game for J. Terry,,96-92,,
6:36.0,J. Parker misses 2-pt shot from 3 ft (block by O. Porter),,96-92,,
6:36.0,Offensive rebound by Team,,96-92,,
6:31.0,T. Snell misses 2-pt shot from 20 ft,,96-92,,
6:30.0,,,96-92,,Defensive rebound by M. Morris
6:20.0,,,96-92,,Turnover by J. Wall (lost ball)
6:05.0,Turnover by G. Antetokounmpo (dbl dribble),,96-92,,
5:50.0,,,96-92,,B. Beal misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by G. Antetokounmpo,,96-92,,
5:38.0,J. Parker misses 2-pt shot from 19 ft,,96-92,,
5:38.0,,,96-92,,Defensive rebound by Team
5:19.0,,,96-92,,Turnover by M. Morris (bad pass; steal by G. Monroe)
5:05.0,Turnover by M. Brogdon (bad pass; steal by M. Morris),,96-92,,
4:59.0,,,96-92,,Turnover by B. Beal (bad pass; steal by M. Brogdon)
4:59.0,,,96-92,,Personal foul by O. Porter (drawn by J. Parker)
4:59.0,M. Dellavedova enters the game for M. Brogdon,,96-92,,
4:36.0,G. Monroe misses 2-pt shot from 6 ft (block by M. Morris),,96-92,,
4:36.0,Offensive rebound by Team,,96-92,,
4:36.0,Turnover by Team (shot clock),,96-92,,
4:22.0,,,96-94,2,J. Wall makes 2-pt shot from 18 ft
4:01.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,98-94,,
4:01.0,Shooting foul by J. Wall (drawn by G. Monroe),,98-94,,
4:01.0,G. Monroe misses free throw 1 of 1,,98-94,,
3:59.0,,,98-94,,Defensive rebound by M. Gortat
3:45.0,,,98-97,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:23.0,M. Dellavedova misses 3-pt shot from 26 ft,,98-97,,
3:21.0,,,98-97,,Defensive rebound by Team
3:21.0,Loose ball foul by G. Antetokounmpo (drawn by M. Gortat),,98-97,,
3:21.0,J. Henson enters the game for G. Monroe,,98-97,,
3:10.0,,,98-99,2,M. Morris makes 2-pt shot from 16 ft (assist by J. Wall)
3:08.0,Milwaukee full timeout,,98-99,,
2:50.0,M. Dellavedova misses 2-pt shot from 12 ft,,98-99,,
2:48.0,,,98-99,,Defensive rebound by M. Gortat
2:34.0,,,98-99,,Shooting foul by T. Snell (drawn by B. Beal)
2:34.0,,,98-100,1,B. Beal makes free throw 1 of 2
2:34.0,,,98-101,1,B. Beal makes free throw 2 of 2
2:16.0,J. Parker misses 3-pt shot from 24 ft,,98-101,,
2:14.0,,,98-101,,Defensive rebound by O. Porter
2:00.0,,,98-101,,Turnover by J. Wall (palming)
1:53.0,Shooting foul by O. Porter (drawn by M. Dellavedova),,98-101,,
1:53.0,M. Dellavedova misses free throw 1 of 2,,98-101,,
1:53.0,Offensive rebound by Team,,98-101,,
1:53.0,M. Dellavedova misses free throw 2 of 2,,98-101,,
1:51.0,,,98-101,,Defensive rebound by O. Porter
1:32.0,,,98-101,,J. Wall misses 2-pt shot from 13 ft
1:30.0,Defensive rebound by G. Antetokounmpo,,98-101,,
1:10.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,100-101,,
0:49.0,,,100-104,3,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal)
0:49.0,Milwaukee full timeout,,100-104,,
0:44.0,J. Parker misses 2-pt shot from 3 ft,,100-104,,
0:43.0,Offensive rebound by J. Parker,,100-104,,
0:42.0,J. Parker misses 2-pt shot from 1 ft,,100-104,,
0:42.0,,,100-104,,Defensive rebound by M. Morris
