time,Charlotte,pts.away,score,pts.home,Washington
3:35.0,,,77-77,,M. Gortat misses 2-pt shot from 5 ft
3:33.0,Defensive rebound by F. Kaminsky,,77-77,,
3:24.0,K. Walker misses 2-pt shot from 2 ft,,77-77,,
3:24.0,,,77-77,,Defensive rebound by M. Morris
3:12.0,,,77-77,,J. Wall misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by F. Kaminsky,,77-77,,
3:04.0,K. Walker misses 2-pt shot from 4 ft,,77-77,,
3:03.0,,,77-77,,Defensive rebound by O. Porter
2:56.0,,,77-79,2,B. Beal makes 2-pt shot at rim
2:43.0,,,77-79,,Personal foul by J. Wall (drawn by K. Walker)
2:43.0,,,77-79,,Washington full timeout
2:43.0,M. Plumlee enters the game for C. Zeller,,77-79,,
2:43.0,,,77-79,,J. Smith enters the game for M. Morris
2:43.0,,,77-79,,K. Oubre enters the game for O. Porter
2:33.0,M. Belinelli makes 2-pt shot from 16 ft,2,79-79,,
2:13.0,,,79-81,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:54.0,M. Belinelli makes 2-pt shot from 17 ft (assist by F. Kaminsky),2,81-81,,
1:31.0,,,81-84,3,J. Wall makes 3-pt shot from 26 ft (assist by M. Gortat)
1:10.0,M. Belinelli misses 3-pt shot from 26 ft,,81-84,,
1:09.0,Offensive rebound by M. Kidd-Gilchrist,,81-84,,
1:02.0,K. Walker misses 3-pt shot from 27 ft,,81-84,,
1:00.0,,,81-84,,Defensive rebound by Team
1:00.0,,,81-84,,B. Jennings enters the game for B. Beal
1:00.0,J. Lamb enters the game for M. Kidd-Gilchrist,,81-84,,
0:50.0,,,81-84,,Shooting foul by M. Plumlee (drawn by J. Wall)
0:50.0,,,81-84,,J. Wall misses free throw 1 of 2
0:50.0,,,81-84,,Offensive rebound by Team
0:50.0,,,81-84,,Turnover by J. Smith (lane violation.)
0:41.0,K. Walker misses 3-pt shot from 29 ft,,81-84,,
0:40.0,,,81-84,,Defensive rebound by M. Gortat
0:30.0,,,81-87,3,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall)
0:10.0,Offensive foul by M. Plumlee,,81-87,,
0:10.0,Turnover by M. Plumlee (offensive foul),,81-87,,
0:01.0,,,81-87,,J. Smith misses 3-pt shot from 28 ft
0:00.0,,,81-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,81-89,2,B. Bogdanovic makes 2-pt shot from 1 ft
11:20.0,Turnover by F. Kaminsky (bad pass),,81-89,,
11:13.0,,,81-92,3,J. Smith makes 3-pt shot from 27 ft (assist by B. Jennings)
11:13.0,Charlotte full timeout,,81-92,,
10:54.0,J. Lamb misses 3-pt shot from 26 ft,,81-92,,
10:53.0,,,81-92,,Defensive rebound by K. Oubre
10:42.0,,,81-92,,I. Mahinmi misses 2-pt shot from 8 ft
10:41.0,Defensive rebound by J. Lamb,,81-92,,
10:32.0,Shooting foul by K. Oubre (drawn by J. Lamb),,81-92,,
10:32.0,J. Lamb makes free throw 1 of 2,1,82-92,,
10:32.0,J. Lamb misses free throw 2 of 2,,82-92,,
10:31.0,,,82-92,,Defensive rebound by J. Smith
10:23.0,Personal foul by M. Williams (drawn by K. Oubre),,82-92,,
10:19.0,,,82-92,,Turnover by B. Bogdanovic (bad pass)
9:57.0,Shooting foul by I. Mahinmi (drawn by J. Lamb),,82-92,,
9:57.0,J. Lamb makes free throw 1 of 2,1,83-92,,
9:57.0,J. Lamb makes free throw 2 of 2,1,84-92,,
9:36.0,,,84-92,,Shooting foul by J. Lamb (drawn by K. Oubre)
9:36.0,,,84-93,1,K. Oubre makes free throw 1 of 2
9:36.0,,,84-94,1,K. Oubre makes free throw 2 of 2
9:18.0,Shooting foul by I. Mahinmi (drawn by F. Kaminsky),,84-94,,
9:18.0,F. Kaminsky makes free throw 1 of 2,1,85-94,,
9:18.0,F. Kaminsky makes free throw 2 of 2,1,86-94,,
9:08.0,,,86-94,,B. Bogdanovic misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by B. Roberts,,86-94,,
8:56.0,B. Roberts misses 2-pt shot from 20 ft,,86-94,,
8:55.0,,,86-94,,Defensive rebound by J. Smith
8:42.0,,,86-97,3,B. Jennings makes 3-pt shot from 28 ft (assist by B. Bogdanovic)
8:23.0,F. Kaminsky misses 3-pt shot from 28 ft,,86-97,,
8:22.0,,,86-97,,Defensive rebound by K. Oubre
8:13.0,,,86-97,,K. Oubre misses 2-pt shot at rim
8:11.0,Defensive rebound by M. Belinelli,,86-97,,
8:01.0,M. Williams misses 3-pt shot from 27 ft,,86-97,,
8:00.0,Offensive rebound by J. Lamb,,86-97,,
