time,Dallas,pts.away,score,pts.home,Orlando
3:12.0,Defensive rebound by J. Gibson,,9-13,,
3:02.0,J. Anderson misses 2-pt shot from 12 ft,,9-13,,
3:02.0,Offensive rebound by A. Bogut,,9-13,,
3:02.0,A. Bogut makes 2-pt shot from 2 ft,2,11-13,,
2:45.0,,,11-15,2,E. Fournier makes 2-pt shot from 4 ft
2:28.0,Shooting foul by S. Ibaka (drawn by D. Powell),,11-15,,
2:28.0,D. Powell makes free throw 1 of 3,1,12-15,,
2:28.0,D. Powell makes free throw 2 of 3,1,13-15,,
2:28.0,D. Powell makes free throw 3 of 3,1,14-15,,
2:28.0,,,13-15,,D. Augustin enters the game for E. Payton
2:28.0,,,13-15,,D. Rudez enters the game for S. Ibaka
2:28.0,H. Barnes enters the game for A. Bogut,,13-15,,
2:10.0,,,14-15,,D. Augustin misses 2-pt shot from 21 ft
2:07.0,,,14-15,,Offensive rebound by E. Fournier
2:01.0,,,14-15,,E. Fournier misses 2-pt shot from 16 ft
2:01.0,Defensive rebound by J. Gibson,,14-15,,
1:45.0,J. Gibson misses 3-pt shot from 24 ft,,14-15,,
1:45.0,,,14-15,,Defensive rebound by E. Fournier
1:36.0,,,14-15,,A. Gordon misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by H. Barnes,,14-15,,
1:20.0,H. Barnes misses 2-pt shot from 19 ft,,14-15,,
1:20.0,,,14-15,,Defensive rebound by B. Biyombo
1:09.0,Personal foul by J. Gibson (drawn by B. Biyombo),,14-15,,
1:00.0,,,14-15,,E. Fournier misses 2-pt shot from 2 ft
1:00.0,,,14-15,,Offensive rebound by B. Biyombo
1:00.0,,,14-17,2,B. Biyombo makes 2-pt shot at rim
0:56.0,Dallas full timeout,,14-17,,
0:56.0,W. Matthews enters the game for J. Gibson,,14-17,,
0:49.0,S. Curry makes 2-pt shot from 12 ft,2,16-17,,
0:36.0,,,16-17,,B. Biyombo misses 2-pt shot from 5 ft (block by J. Anderson)
0:35.0,,,16-17,,Offensive rebound by B. Biyombo
0:31.0,,,16-17,,A. Gordon misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by H. Barnes,,16-17,,
0:10.0,J. Anderson misses 3-pt shot from 25 ft,,16-17,,
0:07.0,,,16-17,,Defensive rebound by Team
0:00.0,,,16-17,,E. Fournier misses 3-pt shot from 27 ft
0:00.0,,,16-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by J. Anderson (drawn by A. Gordon),,16-17,,
11:33.0,,,16-17,,Shooting foul by H. Barnes (drawn by D. Augustin)
11:33.0,,,16-18,1,D. Augustin makes free throw 1 of 2
11:33.0,,,16-19,1,D. Augustin makes free throw 2 of 2
11:23.0,H. Barnes misses 2-pt shot from 2 ft,,16-19,,
11:22.0,Offensive rebound by D. Powell,,16-19,,
11:21.0,Shooting foul by A. Gordon (drawn by D. Powell),,16-19,,
11:21.0,D. Powell makes free throw 1 of 2,1,17-19,,
11:21.0,D. Powell misses free throw 2 of 2,,17-19,,
11:20.0,,,17-19,,Defensive rebound by Team
11:17.0,Loose ball foul by J. Anderson (drawn by A. Gordon),,17-19,,
11:08.0,,,17-19,,D. Rudez misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by N. Brussino,,17-19,,
10:57.0,,,17-19,,Personal block foul by D. Rudez (drawn by D. Powell)
10:51.0,D. Powell misses 2-pt shot from 19 ft,,17-19,,
10:49.0,,,17-19,,Defensive rebound by A. Gordon
10:25.0,,,17-21,2,C. Watson makes 2-pt shot from 15 ft
10:19.0,N. Brussino makes 3-pt shot from 26 ft (assist by S. Curry),3,20-21,,
10:08.0,,,20-21,,Shooting foul by D. Powell (drawn by B. Biyombo)
10:08.0,,,20-22,1,B. Biyombo makes free throw 1 of 2
10:08.0,,,20-23,1,B. Biyombo makes free throw 2 of 2
10:08.0,A. Bogut enters the game for D. Powell,,20-22,,
9:57.0,N. Brussino makes 2-pt shot from 19 ft (assist by S. Curry),2,22-23,,
9:42.0,,,22-23,,C. Watson misses 2-pt shot from 2 ft (block by A. Bogut)
9:42.0,,,22-23,,Offensive rebound by Team
9:29.0,,,22-25,2,D. Augustin makes 2-pt shot from 20 ft
9:10.0,Turnover by N. Brussino (step out of bounds),,22-25,,
9:02.0,Personal foul by N. Brussino (drawn by C. Watson),,22-25,,
9:02.0,,,22-26,1,C. Watson makes free throw 1 of 2
9:02.0,,,22-27,1,C. Watson makes free throw 2 of 2
9:02.0,J. Gibson enters the game for S. Curry,,22-26,,
8:42.0,J. Anderson makes 2-pt shot from 7 ft,2,24-27,,
8:42.0,Shooting foul by D. Rudez (drawn by J. Anderson),,24-27,,
8:42.0,Official timeout,,24-27,,
8:42.0,J. Anderson makes free throw 1 of 1,1,25-27,,
8:42.0,D. Powell enters the game for H. Barnes,,24-27,,
8:20.0,,,25-29,2,D. Augustin makes 2-pt shot from 21 ft
8:03.0,N. Brussino misses 2-pt shot at rim (block by B. Biyombo),,25-29,,
8:02.0,,,25-29,,Defensive rebound by D. Augustin
7:55.0,,,25-29,,D. Augustin misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by D. Powell,,25-29,,
7:50.0,,,25-29,,N. Vucevic enters the game for D. Rudez
7:36.0,J. Anderson misses 3-pt shot from 27 ft,,25-29,,
7:36.0,,,25-29,,Defensive rebound by B. Biyombo
7:29.0,,,25-29,,Shooting foul by A. Bogut (drawn by B. Biyombo)
7:29.0,,,25-30,1,B. Biyombo makes free throw 1 of 2
7:29.0,,,25-31,1,B. Biyombo makes free throw 2 of 2
7:29.0,W. Matthews enters the game for J. Anderson,,25-30,,
7:12.0,J. Gibson misses 3-pt shot from 27 ft,,25-31,,
7:12.0,,,25-31,,Defensive rebound by B. Biyombo
7:04.0,,,25-31,,Turnover by D. Augustin (bad pass; steal by D. Powell)
6:46.0,D. Powell misses 2-pt shot from 1 ft (block by B. Biyombo),,25-31,,
6:45.0,,,25-31,,Defensive rebound by N. Vucevic
6:37.0,,,25-34,3,C. Watson makes 3-pt shot from 25 ft
6:37.0,Dallas full timeout,,25-34,,
6:37.0,,,25-34,,J. Green enters the game for A. Gordon
6:37.0,S. Curry enters the game for D. Powell,,25-34,,
6:37.0,H. Barnes enters the game for N. Brussino,,25-34,,
6:12.0,W. Matthews makes 2-pt shot from 20 ft,2,27-34,,
5:51.0,,,27-34,,J. Green misses 3-pt shot from 25 ft
5:50.0,,,27-34,,Offensive rebound by N. Vucevic
5:50.0,,,27-36,2,B. Biyombo makes 2-pt shot from 1 ft
5:50.0,,,27-36,,Shooting foul by J. Gibson (drawn by B. Biyombo)
5:50.0,,,27-36,,B. Biyombo misses free throw 1 of 1
5:49.0,Defensive rebound by A. Bogut,,27-36,,
5:34.0,W. Matthews makes 3-pt shot from 24 ft,3,30-36,,
5:10.0,,,30-36,,C. Watson misses 3-pt shot from 23 ft
5:08.0,,,30-36,,Offensive rebound by B. Biyombo
4:55.0,,,30-36,,N. Vucevic misses 2-pt shot from 10 ft
4:55.0,,,30-36,,Offensive rebound by Team
4:55.0,,,30-36,,E. Fournier enters the game for C. Watson
4:49.0,,,30-36,,N. Vucevic misses 2-pt shot from 9 ft
4:48.0,Defensive rebound by W. Matthews,,30-36,,
4:30.0,J. Gibson makes 3-pt shot from 24 ft (assist by H. Barnes),3,33-36,,
4:30.0,,,33-36,,Orlando full timeout
4:30.0,,,33-36,,S. Ibaka enters the game for B. Biyombo
4:30.0,,,33-36,,E. Payton enters the game for D. Augustin
4:09.0,,,33-38,2,S. Ibaka makes 2-pt shot from 4 ft
3:45.0,Turnover by J. Gibson (lost ball; steal by E. Payton),,33-38,,
3:40.0,,,33-38,,Turnover by S. Ibaka (bad pass)
3:17.0,W. Matthews misses 2-pt shot from 23 ft,,33-38,,
3:17.0,,,33-38,,Defensive rebound by E. Fournier
3:07.0,,,33-40,2,N. Vucevic makes 2-pt shot from 4 ft (assist by J. Green)
2:55.0,J. Gibson makes 3-pt shot from 26 ft (assist by A. Bogut),3,36-40,,
2:43.0,,,36-40,,Turnover by N. Vucevic (bad pass; steal by H. Barnes)
2:27.0,W. Matthews misses 3-pt shot from 25 ft,,36-40,,
2:26.0,,,36-40,,Defensive rebound by S. Ibaka
2:18.0,,,36-40,,J. Green misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by A. Bogut,,36-40,,
2:11.0,J. Gibson makes 3-pt shot from 24 ft (assist by H. Barnes),3,39-40,,
2:11.0,,,39-40,,Orlando full timeout
2:11.0,,,39-40,,D. Augustin enters the game for N. Vucevic
2:11.0,D. Finney-Smith enters the game for S. Curry,,39-40,,
1:49.0,,,39-42,2,J. Green makes 2-pt shot from 3 ft
1:37.0,Turnover by J. Gibson (bad pass),,39-42,,
1:24.0,Personal block foul by J. Gibson (drawn by D. Augustin),,39-42,,
1:24.0,,,39-43,1,D. Augustin makes free throw 1 of 2
1:24.0,,,39-44,1,D. Augustin makes free throw 2 of 2
1:24.0,S. Curry enters the game for J. Gibson,,39-43,,
1:24.0,,,39-43,,C. Watson enters the game for J. Green
1:13.0,A. Bogut makes 2-pt shot from 9 ft (assist by S. Curry),2,41-44,,
1:00.0,,,41-44,,Turnover by E. Payton (dbl dribble)
0:46.0,H. Barnes makes 2-pt shot from 6 ft,2,43-44,,
0:38.0,Violation by D. Finney-Smith (kicked ball),,43-44,,
0:31.0,,,43-44,,E. Fournier misses 2-pt shot from 3 ft
0:31.0,Defensive rebound by S. Curry,,43-44,,
0:13.0,Shooting foul by E. Fournier (drawn by H. Barnes),,43-44,,
0:13.0,H. Barnes makes free throw 1 of 2,1,44-44,,
0:13.0,H. Barnes makes free throw 2 of 2,1,45-44,,
0:13.0,,,44-44,,J. Green enters the game for E. Payton
0:00.0,,,45-44,,E. Fournier misses 2-pt shot from 1 ft
0:00.0,,,45-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,45-44,,N. Vucevic misses 2-pt shot from 13 ft
11:35.0,,,45-44,,Offensive rebound by S. Ibaka
11:33.0,,,45-44,,Shooting foul by H. Barnes (drawn by S. Ibaka)
11:33.0,,,45-44,,S. Ibaka misses free throw 1 of 2
11:33.0,,,45-44,,Offensive rebound by Team
11:33.0,,,45-45,1,S. Ibaka makes free throw 2 of 2
11:23.0,H. Barnes makes 3-pt shot from 26 ft (assist by S. Curry),3,48-45,,
11:03.0,,,48-45,,N. Vucevic misses 2-pt shot from 2 ft (block by A. Bogut)
11:03.0,Defensive rebound by A. Bogut,,48-45,,
10:55.0,S. Curry makes 2-pt shot from 23 ft,2,50-45,,
10:47.0,,,50-47,2,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton)
10:28.0,S. Curry misses 3-pt shot from 25 ft,,50-47,,
10:27.0,,,50-47,,Defensive rebound by E. Payton
10:19.0,,,50-50,3,S. Ibaka makes 3-pt shot from 25 ft (assist by N. Vucevic)
9:55.0,,,50-50,,Personal foul by E. Fournier (drawn by H. Barnes)
9:41.0,S. Curry misses 2-pt shot from 19 ft (block by E. Payton),,50-50,,
9:41.0,Offensive rebound by Team,,50-50,,
9:40.0,Turnover by Team (shot clock),,50-50,,
9:25.0,,,50-50,,S. Ibaka misses 2-pt shot from 17 ft
9:24.0,Defensive rebound by W. Matthews,,50-50,,
9:18.0,W. Matthews misses 2-pt shot from 8 ft,,50-50,,
9:18.0,,,50-50,,Defensive rebound by N. Vucevic
9:08.0,,,50-50,,N. Vucevic misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by Team,,50-50,,
9:08.0,,,50-50,,Loose ball foul by S. Ibaka (drawn by D. Finney-Smith)
8:48.0,S. Curry makes 3-pt shot from 26 ft,3,53-50,,
8:31.0,,,53-52,2,S. Ibaka makes 2-pt shot from 15 ft
8:21.0,Turnover by A. Bogut (bad pass; steal by E. Fournier),,53-52,,
8:09.0,,,53-54,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
7:55.0,H. Barnes misses 2-pt shot from 17 ft,,53-54,,
7:54.0,,,53-54,,Defensive rebound by S. Ibaka
7:46.0,,,53-54,,J. Green misses 2-pt shot from 10 ft
7:43.0,Defensive rebound by H. Barnes,,53-54,,
7:34.0,S. Curry misses 2-pt shot at rim (block by E. Payton),,53-54,,
7:34.0,Offensive rebound by Team,,53-54,,
7:34.0,D. Powell enters the game for A. Bogut,,53-54,,
7:30.0,H. Barnes misses 2-pt shot from 18 ft,,53-54,,
7:29.0,,,53-54,,Defensive rebound by N. Vucevic
7:12.0,,,53-57,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Green)
7:05.0,Dallas full timeout,,53-57,,
7:05.0,J. Gibson enters the game for D. Finney-Smith,,53-57,,
6:55.0,Turnover by W. Matthews (bad pass; steal by J. Green),,53-57,,
6:47.0,,,53-59,2,J. Green makes 2-pt shot from 1 ft
6:31.0,Turnover by J. Gibson (bad pass; steal by E. Fournier),,53-59,,
6:28.0,,,53-59,,Turnover by E. Fournier (lost ball; steal by J. Gibson)
6:20.0,J. Gibson misses 2-pt shot from 13 ft,,53-59,,
6:14.0,,,53-59,,Defensive rebound by E. Fournier
6:07.0,,,53-59,,Turnover by E. Payton (bad pass; steal by J. Gibson)
6:01.0,J. Gibson makes 2-pt shot from 1 ft,2,55-59,,
5:40.0,,,55-59,,E. Fournier misses 3-pt shot from 25 ft
5:38.0,,,55-59,,Offensive rebound by Team
5:38.0,,,55-59,,D. Augustin enters the game for E. Payton
5:38.0,J. Anderson enters the game for S. Curry,,55-59,,
5:25.0,Personal foul by J. Gibson (drawn by D. Augustin),,55-59,,
5:14.0,,,55-59,,E. Fournier misses 3-pt shot from 25 ft
5:13.0,,,55-59,,Offensive rebound by S. Ibaka
5:01.0,,,55-59,,N. Vucevic misses 2-pt shot from 14 ft
5:01.0,Defensive rebound by W. Matthews,,55-59,,
4:46.0,D. Powell misses 2-pt shot from 19 ft,,55-59,,
4:46.0,,,55-59,,Defensive rebound by N. Vucevic
4:35.0,,,55-59,,Offensive foul by J. Green
4:35.0,,,55-59,,Turnover by J. Green (offensive foul)
4:35.0,,,55-59,,A. Gordon enters the game for J. Green
4:35.0,,,55-59,,B. Biyombo enters the game for N. Vucevic
4:24.0,J. Anderson makes 3-pt shot from 25 ft (assist by J. Gibson),3,58-59,,
4:00.0,,,58-61,2,B. Biyombo makes 2-pt shot from 5 ft (assist by D. Augustin)
3:45.0,Turnover by J. Anderson (discontinued dribble),,58-61,,
3:30.0,,,58-61,,S. Ibaka misses 2-pt shot from 9 ft
3:30.0,Defensive rebound by J. Gibson,,58-61,,
3:24.0,H. Barnes misses 3-pt shot from 25 ft,,58-61,,
3:23.0,,,58-61,,Defensive rebound by E. Fournier
3:15.0,,,58-61,,Turnover by E. Fournier (bad pass; steal by H. Barnes)
3:08.0,W. Matthews makes 3-pt shot from 25 ft (assist by J. Gibson),3,61-61,,
3:08.0,,,61-61,,Orlando full timeout
3:08.0,A. Bogut enters the game for H. Barnes,,61-61,,
2:49.0,,,61-63,2,S. Ibaka makes 2-pt shot from 18 ft (assist by A. Gordon)
2:29.0,J. Gibson misses 2-pt shot from 8 ft (block by B. Biyombo),,61-63,,
2:29.0,Offensive rebound by Team,,61-63,,
2:29.0,,,61-63,,Loose ball foul by D. Augustin (drawn by A. Bogut)
2:15.0,J. Anderson misses 2-pt shot from 13 ft,,61-63,,
2:14.0,,,61-63,,Defensive rebound by B. Biyombo
2:00.0,,,61-65,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. Augustin)
1:44.0,J. Gibson makes 3-pt shot from 25 ft,3,64-65,,
1:25.0,,,64-65,,Turnover by S. Ibaka (lost ball; steal by J. Anderson)
1:12.0,W. Matthews misses 3-pt shot from 25 ft,,64-65,,
1:11.0,,,64-65,,Defensive rebound by A. Gordon
1:07.0,Technical foul by W. Matthews,,64-65,,
1:07.0,,,64-66,1,E. Fournier makes technical free throw
1:07.0,,,64-65,,D. Rudez enters the game for S. Ibaka
1:07.0,S. Curry enters the game for W. Matthews,,64-66,,
0:54.0,,,64-66,,D. Augustin misses 3-pt shot from 24 ft
0:53.0,Defensive rebound by D. Powell,,64-66,,
0:42.0,Shooting foul by A. Gordon (drawn by J. Anderson),,64-66,,
0:42.0,J. Anderson misses free throw 1 of 2,,64-66,,
0:42.0,Offensive rebound by Team,,64-66,,
0:42.0,J. Anderson makes free throw 2 of 2,1,65-66,,
0:29.0,,,65-66,,Turnover by E. Fournier (lost ball; steal by S. Curry)
0:28.0,,,65-66,,Personal foul by B. Biyombo (drawn by S. Curry)
0:28.0,S. Curry makes free throw 1 of 2,1,66-66,,
0:28.0,S. Curry makes free throw 2 of 2,1,67-66,,
0:10.0,,,67-66,,E. Fournier misses 2-pt shot from 18 ft
0:09.0,Defensive rebound by D. Powell,,67-66,,
0:01.0,J. Gibson makes 2-pt shot from 20 ft,2,69-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by J. Gibson (bad pass; steal by D. Rudez),,69-66,,
11:29.0,,,69-66,,D. Augustin misses 2-pt shot from 6 ft
11:28.0,Defensive rebound by D. Powell,,69-66,,
11:14.0,D. Powell misses 2-pt shot from 18 ft,,69-66,,
11:13.0,,,69-66,,Defensive rebound by B. Biyombo
11:03.0,,,69-69,3,A. Gordon makes 3-pt shot from 25 ft (assist by B. Biyombo)
10:35.0,S. Curry misses 3-pt shot from 25 ft,,69-69,,
10:32.0,,,69-69,,Defensive rebound by D. Augustin
10:24.0,,,69-71,2,D. Augustin makes 2-pt shot from 17 ft
10:24.0,Dallas full timeout,,69-71,,
10:24.0,H. Barnes enters the game for D. Powell,,69-71,,
10:04.0,H. Barnes makes 2-pt shot from 7 ft,2,71-71,,
9:51.0,,,71-71,,Shooting foul by J. Anderson (drawn by B. Biyombo)
9:51.0,,,71-71,,B. Biyombo misses free throw 1 of 2
9:51.0,,,71-71,,Offensive rebound by Team
9:51.0,,,71-72,1,B. Biyombo makes free throw 2 of 2
9:37.0,H. Barnes misses 2-pt shot from 6 ft,,71-72,,
9:36.0,,,71-72,,Defensive rebound by B. Biyombo
9:28.0,,,71-72,,Turnover by D. Augustin (bad pass)
9:06.0,H. Barnes misses 2-pt shot from 10 ft,,71-72,,
9:06.0,,,71-72,,Defensive rebound by A. Gordon
8:53.0,,,71-74,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
8:37.0,J. Anderson makes 2-pt shot from 22 ft (assist by J. Gibson),2,73-74,,
8:23.0,,,73-76,2,D. Augustin makes 2-pt shot from 17 ft
8:13.0,Shooting foul by B. Biyombo (drawn by J. Gibson),,73-76,,
8:13.0,J. Gibson makes free throw 1 of 2,1,74-76,,
8:13.0,J. Gibson makes free throw 2 of 2,1,75-76,,
8:13.0,W. Matthews enters the game for S. Curry,,74-76,,
7:59.0,,,75-76,,Offensive charge foul by A. Gordon
7:59.0,,,75-76,,Turnover by A. Gordon (offensive foul)
7:42.0,J. Gibson misses 3-pt shot from 23 ft,,75-76,,
7:40.0,,,75-76,,Defensive rebound by B. Biyombo
7:27.0,,,75-76,,B. Biyombo misses 2-pt shot from 1 ft (block by A. Bogut)
7:26.0,Defensive rebound by H. Barnes,,75-76,,
7:23.0,Shooting foul by D. Rudez (drawn by J. Gibson),,75-76,,
7:23.0,J. Gibson makes free throw 1 of 2,1,76-76,,
7:23.0,J. Gibson makes free throw 2 of 2,1,77-76,,
7:23.0,,,76-76,,S. Ibaka enters the game for D. Rudez
7:23.0,S. Mejri enters the game for A. Bogut,,76-76,,
7:03.0,,,77-79,3,D. Augustin makes 3-pt shot from 27 ft (assist by B. Biyombo)
6:40.0,W. Matthews misses 2-pt shot from 17 ft,,77-79,,
6:39.0,,,77-79,,Defensive rebound by S. Ibaka
6:29.0,,,77-82,3,D. Augustin makes 3-pt shot from 25 ft (assist by S. Ibaka)
6:29.0,Dallas full timeout,,77-82,,
6:11.0,Shooting foul by B. Biyombo (drawn by W. Matthews),,77-82,,
6:11.0,W. Matthews makes free throw 1 of 2,1,78-82,,
6:11.0,W. Matthews makes free throw 2 of 2,1,79-82,,
5:57.0,Official timeout,,79-82,,
5:57.0,S. Curry enters the game for J. Gibson,,79-82,,
5:52.0,,,79-82,,D. Augustin misses 3-pt shot from 24 ft
5:52.0,,,79-82,,Offensive rebound by S. Ibaka
5:44.0,Shooting block foul by S. Mejri (drawn by C. Watson),,79-82,,
5:44.0,,,79-83,1,C. Watson makes free throw 1 of 2
5:44.0,,,79-84,1,C. Watson makes free throw 2 of 2
5:44.0,A. Bogut enters the game for S. Mejri,,79-83,,
5:44.0,J. Gibson enters the game for J. Anderson,,79-83,,
5:21.0,Shooting foul by B. Biyombo (drawn by J. Gibson),,79-84,,
5:21.0,J. Gibson makes free throw 1 of 2,1,80-84,,
5:21.0,J. Gibson misses free throw 2 of 2,,80-84,,
5:21.0,,,80-84,,N. Vucevic enters the game for B. Biyombo
5:21.0,,,80-84,,J. Green enters the game for A. Gordon
5:19.0,,,80-84,,Defensive rebound by N. Vucevic
5:01.0,,,80-84,,S. Ibaka misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by A. Bogut,,80-84,,
4:47.0,S. Curry misses 2-pt shot from 19 ft,,80-84,,
4:47.0,,,80-84,,Defensive rebound by J. Green
4:38.0,,,80-86,2,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin)
4:20.0,H. Barnes misses 2-pt shot from 16 ft,,80-86,,
4:19.0,,,80-86,,Defensive rebound by S. Ibaka
4:12.0,,,80-88,2,J. Green makes 2-pt shot from 1 ft (assist by D. Augustin)
4:12.0,Dallas full timeout,,80-88,,
3:57.0,,,80-88,,Loose ball foul by C. Watson (drawn by S. Curry)
3:57.0,S. Curry misses free throw 1 of 2,,80-88,,
3:57.0,Offensive rebound by Team,,80-88,,
3:57.0,S. Curry makes free throw 2 of 2,1,81-88,,
3:32.0,,,81-88,,N. Vucevic misses 2-pt shot from 15 ft
3:32.0,Defensive rebound by J. Gibson,,81-88,,
3:27.0,Turnover by W. Matthews (lost ball),,81-88,,
3:09.0,,,81-88,,N. Vucevic misses 2-pt shot from 1 ft
