time,Indiana,pts.away,score,pts.home,LA Clippers
6:46.0,,,4-10,,Turnover by D. Jordan (bad pass; steal by P. George)
6:43.0,M. Ellis makes 2-pt shot from 1 ft,2,6-10,,
6:26.0,,,6-10,,Turnover by C. Paul (bad pass)
6:15.0,P. George misses 2-pt shot from 15 ft,,6-10,,
6:11.0,,,6-10,,Defensive rebound by B. Griffin
5:56.0,,,6-13,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
5:41.0,M. Turner makes 2-pt shot from 20 ft (assist by M. Ellis),2,8-13,,
5:30.0,,,8-16,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by B. Griffin)
5:23.0,Indiana full timeout,,8-16,,
5:23.0,A. Jefferson enters the game for M. Turner,,8-16,,
5:09.0,T. Young misses 2-pt shot from 2 ft,,8-16,,
5:08.0,,,8-16,,Defensive rebound by D. Jordan
5:02.0,,,8-16,,L. Mbah a Moute misses 2-pt shot from 1 ft
5:02.0,,,8-16,,Offensive rebound by L. Mbah a Moute
5:00.0,,,8-18,2,L. Mbah a Moute makes 2-pt shot from 1 ft
4:52.0,P. George misses 2-pt shot from 16 ft,,8-18,,
4:50.0,,,8-18,,Defensive rebound by B. Griffin
4:28.0,,,8-18,,C. Paul misses 3-pt shot from 27 ft
4:27.0,Defensive rebound by A. Jefferson,,8-18,,
4:10.0,A. Jefferson misses 2-pt shot from 13 ft,,8-18,,
4:07.0,,,8-18,,Defensive rebound by D. Jordan
4:05.0,,,8-18,,Shooting foul by J. Teague (drawn by C. Paul)
4:05.0,,,8-19,1,C. Paul makes free throw 1 of 2
4:05.0,,,8-19,,C. Paul misses free throw 2 of 2
4:05.0,R. Stuckey enters the game for M. Ellis,,8-19,,
4:05.0,,,8-19,,J. Crawford enters the game for J. Redick
4:04.0,Defensive rebound by P. George,,8-19,,
3:39.0,J. Teague misses 2-pt shot from 16 ft,,8-19,,
3:37.0,,,8-19,,Defensive rebound by B. Griffin
3:27.0,,,8-21,2,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by C. Paul)
3:12.0,J. Teague misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,8-21,,
3:12.0,,,8-21,,Defensive rebound by Team
3:12.0,G. Robinson enters the game for P. George,,8-21,,
3:02.0,,,8-21,,Turnover by C. Paul (lost ball)
3:02.0,,,8-21,,R. Felton enters the game for L. Mbah a Moute
2:50.0,T. Young misses 2-pt shot from 20 ft,,8-21,,
2:49.0,,,8-21,,Defensive rebound by B. Griffin
2:42.0,,,8-23,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
2:20.0,R. Stuckey makes 2-pt shot from 5 ft,2,10-23,,
2:15.0,,,10-23,,LA Clippers full timeout
2:15.0,,,10-23,,A. Rivers enters the game for B. Griffin
2:15.0,,,10-23,,P. Pierce enters the game for C. Paul
2:15.0,C. Miles enters the game for T. Young,,10-23,,
2:15.0,A. Brooks enters the game for J. Teague,,10-23,,
1:59.0,,,10-23,,J. Crawford misses 2-pt shot from 17 ft
1:58.0,Defensive rebound by A. Jefferson,,10-23,,
1:42.0,Turnover by A. Brooks (bad pass; steal by D. Jordan),,10-23,,
1:37.0,,,10-25,2,A. Rivers makes 2-pt shot from 3 ft
1:22.0,R. Stuckey makes 2-pt shot from 2 ft (assist by A. Jefferson),2,12-25,,
1:04.0,Personal foul by A. Jefferson (drawn by D. Jordan),,12-25,,
1:04.0,,,12-25,,M. Speights enters the game for D. Jordan
0:53.0,,,12-25,,Turnover by J. Crawford (bad pass)
0:34.0,Offensive foul by R. Stuckey,,12-25,,
0:34.0,Turnover by R. Stuckey (offensive foul),,12-25,,
0:31.0,,,12-27,2,J. Crawford makes 2-pt shot from 20 ft
0:24.0,C. Miles makes 2-pt shot from 2 ft,2,14-27,,
0:05.0,,,14-27,,Shooting foul by G. Robinson (drawn by J. Crawford)
0:05.0,,,14-28,1,J. Crawford makes free throw 1 of 2
0:05.0,,,14-28,,J. Crawford misses free throw 2 of 2
0:03.0,Defensive rebound by A. Jefferson,,14-28,,
0:01.0,,,14-28,,Personal take foul by R. Felton (drawn by A. Brooks)
0:01.0,Shooting foul by R. Felton (drawn by A. Brooks),,14-28,,
0:01.0,A. Brooks makes free throw 1 of 3,1,15-28,,
0:01.0,A. Brooks makes free throw 2 of 3,1,16-28,,
0:01.0,A. Brooks makes free throw 3 of 3,1,17-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,R. Stuckey makes 2-pt shot from 1 ft,2,19-28,,
11:22.0,,,19-30,2,R. Felton makes 2-pt shot from 6 ft
11:02.0,G. Robinson misses 2-pt shot from 20 ft,,19-30,,
10:59.0,,,19-30,,Defensive rebound by A. Rivers
10:42.0,,,19-32,2,R. Felton makes 2-pt shot from 19 ft
10:29.0,C. Miles misses 3-pt shot from 26 ft,,19-32,,
10:27.0,Offensive rebound by A. Brooks,,19-32,,
10:25.0,Offensive charge foul by C. Miles,,19-32,,
10:25.0,Turnover by C. Miles (offensive foul),,19-32,,
10:09.0,,,19-32,,R. Felton misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by C. Miles,,19-32,,
10:04.0,A. Brooks misses 2-pt shot from 2 ft (block by P. Pierce),,19-32,,
10:01.0,,,19-32,,Defensive rebound by J. Crawford
9:55.0,,,19-32,,A. Rivers misses 3-pt shot from 28 ft
9:54.0,,,19-32,,Offensive rebound by M. Speights
9:49.0,,,19-32,,P. Pierce misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by R. Stuckey,,19-32,,
9:34.0,A. Jefferson makes 2-pt shot from 2 ft,2,21-32,,
9:13.0,,,21-32,,M. Speights misses 2-pt shot from 7 ft
9:11.0,,,21-32,,Offensive rebound by R. Felton
8:59.0,,,21-32,,R. Felton misses 3-pt shot from 28 ft
8:58.0,Defensive rebound by R. Stuckey,,21-32,,
8:54.0,Shooting foul by P. Pierce (drawn by R. Stuckey),,21-32,,
8:54.0,Official timeout,,21-32,,
8:54.0,R. Stuckey makes free throw 1 of 2,1,22-32,,
8:54.0,R. Stuckey makes free throw 2 of 2,1,23-32,,
8:54.0,M. Ellis enters the game for A. Brooks,,21-32,,
8:54.0,M. Turner enters the game for A. Jefferson,,21-32,,
8:31.0,,,23-32,,J. Crawford misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by Team,,23-32,,
8:22.0,,,23-32,,Violation by M. Speights (def goaltending)
8:22.0,R. Stuckey makes 2-pt shot from 2 ft,2,25-32,,
8:00.0,,,25-32,,Turnover by A. Rivers (bad pass; steal by G. Robinson)
7:54.0,R. Stuckey misses 3-pt shot from 25 ft,,25-32,,
7:52.0,,,25-32,,Defensive rebound by P. Pierce
7:42.0,,,25-32,,P. Pierce misses 2-pt shot from 20 ft
7:41.0,Defensive rebound by M. Turner,,25-32,,
7:32.0,C. Miles makes 2-pt shot from 23 ft (assist by R. Stuckey),2,27-32,,
7:12.0,,,27-32,,M. Speights misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by M. Ellis,,27-32,,
7:03.0,M. Ellis misses 2-pt shot from 16 ft,,27-32,,
7:00.0,,,27-32,,Defensive rebound by M. Speights
6:54.0,,,27-32,,J. Crawford misses 2-pt shot from 5 ft
6:53.0,,,27-32,,Offensive rebound by A. Rivers
6:53.0,,,27-34,2,A. Rivers makes 2-pt shot from 4 ft
6:38.0,Shooting foul by M. Speights (drawn by M. Turner),,27-34,,
6:38.0,M. Turner makes free throw 1 of 2,1,28-34,,
6:38.0,M. Turner misses free throw 2 of 2,,28-34,,
6:38.0,,,28-34,,B. Griffin enters the game for J. Crawford
6:38.0,,,28-34,,J. Redick enters the game for R. Felton
6:38.0,,,28-34,,C. Paul enters the game for P. Pierce
6:38.0,,,28-34,,L. Mbah a Moute enters the game for A. Rivers
6:38.0,,,28-34,,D. Jordan enters the game for M. Speights
6:38.0,P. George enters the game for G. Robinson,,28-34,,
6:38.0,T. Young enters the game for C. Miles,,28-34,,
6:36.0,,,28-34,,Defensive rebound by D. Jordan
6:23.0,,,28-34,,B. Griffin misses 2-pt shot from 4 ft (block by T. Young)
6:21.0,,,28-34,,Offensive rebound by L. Mbah a Moute
6:10.0,,,28-36,2,B. Griffin makes 2-pt shot from 12 ft
5:57.0,P. George makes 2-pt shot from 2 ft (assist by M. Turner),2,30-36,,
5:57.0,Shooting foul by C. Paul (drawn by P. George),,30-36,,
5:57.0,,,30-36,,LA Clippers full timeout
5:57.0,P. George makes free throw 1 of 1,1,31-36,,
5:57.0,J. Teague enters the game for R. Stuckey,,30-36,,
5:48.0,,,31-36,,Turnover by J. Redick (traveling)
5:38.0,M. Ellis misses 2-pt shot from 13 ft,,31-36,,
5:35.0,,,31-36,,Defensive rebound by B. Griffin
5:28.0,,,31-36,,J. Redick misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by T. Young,,31-36,,
5:14.0,P. George makes 3-pt shot from 26 ft (assist by J. Teague),3,34-36,,
5:01.0,,,34-38,2,B. Griffin makes 2-pt shot from 9 ft
4:56.0,M. Ellis makes 2-pt shot from 4 ft (assist by J. Teague),2,36-38,,
4:56.0,Shooting foul by J. Redick (drawn by M. Ellis),,36-38,,
4:56.0,M. Ellis makes free throw 1 of 1,1,37-38,,
4:40.0,Personal foul by T. Young (drawn by B. Griffin),,37-38,,
4:32.0,,,37-38,,B. Griffin misses 2-pt shot from 19 ft
4:31.0,Defensive rebound by J. Teague,,37-38,,
4:21.0,J. Teague misses 2-pt shot from 6 ft,,37-38,,
4:18.0,,,37-38,,Defensive rebound by D. Jordan
4:01.0,,,37-40,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
3:49.0,,,37-40,,Personal foul by C. Paul (drawn by M. Turner)
3:49.0,M. Turner misses free throw 1 of 2,,37-40,,
3:49.0,Offensive rebound by Team,,37-40,,
3:49.0,M. Turner makes free throw 2 of 2,1,38-40,,
3:49.0,L. Allen enters the game for T. Young,,37-40,,
3:37.0,,,38-40,,Turnover by D. Jordan (3 sec)
3:21.0,J. Teague makes 3-pt shot from 26 ft (assist by L. Allen),3,41-40,,
2:59.0,,,41-40,,J. Redick misses 2-pt shot from 18 ft
2:58.0,Defensive rebound by M. Ellis,,41-40,,
2:45.0,Shooting foul by J. Redick (drawn by M. Turner),,41-40,,
2:45.0,Indiana full timeout,,41-40,,
2:45.0,M. Turner misses free throw 1 of 2,,41-40,,
2:45.0,Offensive rebound by Team,,41-40,,
2:45.0,M. Turner makes free throw 2 of 2,1,42-40,,
2:30.0,,,42-42,2,B. Griffin makes 2-pt shot from 14 ft
2:08.0,Turnover by P. George (lost ball; steal by C. Paul),,42-42,,
2:08.0,,,42-42,,LA Clippers full timeout
1:48.0,,,42-42,,J. Redick misses 3-pt shot from 27 ft
1:47.0,,,42-42,,Offensive rebound by L. Mbah a Moute
1:43.0,,,42-45,3,J. Redick makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
1:26.0,J. Teague misses 2-pt shot from 2 ft (block by B. Griffin),,42-45,,
1:24.0,,,42-45,,Defensive rebound by B. Griffin
1:19.0,,,42-47,2,B. Griffin makes 2-pt shot from 2 ft
1:00.0,Jump ball: L. Mbah a Moute vs. M. Turner (J. Teague gains possession),,,,Jump ball: L. Mbah a Moute vs. M. Turner (J. Teague gains possession)
0:53.0,J. Teague makes 2-pt shot from 3 ft (assist by L. Allen),2,44-47,,
0:49.0,Personal foul by L. Allen (drawn by C. Paul),,44-47,,
0:42.0,,,44-50,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
0:34.0,Shooting foul by J. Redick (drawn by J. Teague),,44-50,,
0:34.0,J. Teague makes free throw 1 of 2,1,45-50,,
0:34.0,J. Teague makes free throw 2 of 2,1,46-50,,
0:28.0,,,46-52,2,C. Paul makes 2-pt shot from 15 ft
0:24.0,Indiana full timeout,,46-52,,
0:24.0,,,46-52,,R. Felton enters the game for C. Paul
0:24.0,,,46-52,,A. Rivers enters the game for J. Redick
0:24.0,C. Miles enters the game for L. Allen,,46-52,,
0:05.0,P. George misses 3-pt shot from 27 ft,,46-52,,
0:05.0,Offensive rebound by C. Miles,,46-52,,
0:05.0,C. Miles makes 2-pt shot from 2 ft,2,48-52,,
0:01.0,,,48-52,,Turnover by R. Felton (lost ball)
0:00.0,M. Turner misses 3-pt shot from 60 ft,,48-52,,
0:00.0,Offensive rebound by Team,,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,P. George makes 2-pt shot from 19 ft,2,50-52,,
11:16.0,,,50-52,,J. Redick misses 2-pt shot from 21 ft
11:15.0,Defensive rebound by P. George,,50-52,,
11:06.0,M. Turner misses 3-pt shot from 27 ft,,50-52,,
11:05.0,,,50-52,,Defensive rebound by D. Jordan
10:45.0,,,50-52,,B. Griffin misses 2-pt shot from 5 ft
10:42.0,,,50-52,,Offensive rebound by B. Griffin
10:41.0,,,50-52,,B. Griffin misses 2-pt shot from 4 ft
10:38.0,Defensive rebound by M. Turner,,50-52,,
10:34.0,P. George makes 3-pt shot from 27 ft (assist by T. Young),3,53-52,,
10:34.0,,,53-52,,LA Clippers full timeout
10:16.0,,,53-52,,C. Paul misses 3-pt shot from 27 ft
10:15.0,,,53-52,,Offensive rebound by B. Griffin
10:15.0,Personal foul by J. Teague (drawn by B. Griffin),,53-52,,
10:10.0,,,53-52,,B. Griffin misses 2-pt shot from 20 ft
10:09.0,Defensive rebound by P. George,,53-52,,
10:04.0,,,53-52,,Personal foul by C. Paul (drawn by P. George)
9:52.0,T. Young makes 2-pt shot at rim (assist by P. George),2,55-52,,
9:39.0,,,55-52,,C. Paul misses 2-pt shot from 10 ft
9:38.0,,,55-52,,Offensive rebound by D. Jordan
9:35.0,,,55-52,,Turnover by D. Jordan (lost ball; steal by J. Teague)
9:20.0,M. Ellis misses 2-pt shot from 10 ft,,55-52,,
9:17.0,,,55-52,,Defensive rebound by B. Griffin
9:10.0,,,55-52,,J. Redick misses 2-pt shot from 2 ft
9:08.0,Defensive rebound by T. Young,,55-52,,
9:06.0,,,55-52,,Violation by D. Jordan (def goaltending)
9:06.0,M. Ellis makes 2-pt shot from 3 ft,2,57-52,,
8:47.0,,,57-52,,Turnover by B. Griffin (bad pass; steal by M. Turner)
8:43.0,Shooting foul by B. Griffin (drawn by T. Young),,57-52,,
8:43.0,T. Young makes free throw 1 of 2,1,58-52,,
8:43.0,T. Young makes free throw 2 of 2,1,59-52,,
8:37.0,,,59-52,,Shooting foul by T. Young (drawn by B. Griffin)
8:37.0,,,59-53,1,B. Griffin makes free throw 1 of 2
8:37.0,,,59-54,1,B. Griffin makes free throw 2 of 2
8:30.0,Turnover by M. Turner (bad pass),,59-54,,
8:17.0,,,59-54,,B. Griffin misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by M. Ellis,,59-54,,
7:55.0,J. Teague makes 2-pt shot from 2 ft,2,61-54,,
7:40.0,,,61-54,,Turnover by C. Paul (bad pass; steal by M. Ellis)
7:36.0,M. Ellis makes 2-pt shot from 2 ft,2,63-54,,
7:36.0,,,63-54,,LA Clippers full timeout
7:21.0,,,63-54,,Turnover by B. Griffin (bad pass)
6:58.0,J. Teague misses 2-pt shot from 9 ft (block by D. Jordan),,63-54,,
6:58.0,Offensive rebound by Team,,63-54,,
6:58.0,,,63-54,,J. Crawford enters the game for J. Redick
6:54.0,P. George misses 3-pt shot from 27 ft,,63-54,,
6:53.0,Offensive rebound by T. Young,,63-54,,
6:52.0,T. Young makes 2-pt shot from 8 ft,2,65-54,,
6:39.0,,,65-54,,B. Griffin misses 2-pt shot from 6 ft
6:36.0,,,65-54,,Offensive rebound by B. Griffin
6:34.0,,,65-54,,B. Griffin misses 2-pt shot from 6 ft
6:32.0,Defensive rebound by P. George,,65-54,,
6:27.0,T. Young makes 2-pt shot from 1 ft (assist by P. George),2,67-54,,
6:08.0,,,67-56,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
6:04.0,,,67-56,,Violation by C. Paul (kicked ball)
5:52.0,P. George misses 3-pt shot from 26 ft,,67-56,,
5:50.0,,,67-56,,Defensive rebound by B. Griffin
5:33.0,,,67-56,,Turnover by L. Mbah a Moute (bad pass; steal by J. Teague)
5:27.0,T. Young misses 2-pt shot from 6 ft,,67-56,,
5:26.0,,,67-56,,Defensive rebound by Team
5:10.0,,,67-58,2,B. Griffin makes 2-pt shot from 4 ft (assist by J. Crawford)
5:10.0,Indiana full timeout,,67-58,,
4:59.0,M. Turner makes 2-pt shot from 2 ft (assist by T. Young),2,69-58,,
4:39.0,,,69-58,,J. Crawford misses 3-pt shot from 27 ft
4:38.0,,,69-58,,Offensive rebound by D. Jordan
4:29.0,,,69-58,,Shooting foul by P. George (drawn by B. Griffin)
4:29.0,,,69-58,,B. Griffin misses free throw 1 of 2
4:29.0,,,69-58,,Offensive rebound by Team
4:29.0,,,69-58,,B. Griffin misses free throw 2 of 2
4:29.0,R. Stuckey enters the game for M. Ellis,,69-58,,
4:29.0,A. Jefferson enters the game for M. Turner,,69-58,,
4:29.0,,,69-58,,M. Speights enters the game for D. Jordan
4:27.0,Defensive rebound by T. Young,,69-58,,
4:14.0,A. Jefferson misses 2-pt shot from 3 ft (block by B. Griffin),,69-58,,
4:11.0,,,69-58,,Defensive rebound by L. Mbah a Moute
3:57.0,,,69-61,3,M. Speights makes 3-pt shot from 25 ft (assist by C. Paul)
3:35.0,P. George makes 2-pt shot from 20 ft (assist by A. Jefferson),2,71-61,,
3:22.0,,,71-64,3,M. Speights makes 3-pt shot from 26 ft (assist by C. Paul)
3:10.0,,,71-64,,Personal foul by J. Crawford (drawn by J. Teague)
3:10.0,,,71-64,,W. Johnson enters the game for B. Griffin
3:10.0,C. Miles enters the game for T. Young,,71-64,,
2:59.0,J. Teague makes 2-pt shot from 4 ft,2,73-64,,
2:40.0,,,73-64,,Turnover by L. Mbah a Moute (bad pass; steal by P. George)
2:25.0,Shooting foul by M. Speights (drawn by A. Jefferson),,73-64,,
2:25.0,A. Jefferson makes free throw 1 of 2,1,74-64,,
2:25.0,A. Jefferson misses free throw 2 of 2,,74-64,,
2:25.0,,,74-64,,A. Rivers enters the game for L. Mbah a Moute
2:25.0,,,74-64,,R. Felton enters the game for C. Paul
2:24.0,,,74-64,,Defensive rebound by A. Rivers
2:17.0,Personal foul by P. George (drawn by A. Rivers),,74-64,,
2:05.0,,,74-64,,Shooting foul by C. Miles (drawn by J. Crawford)
2:05.0,,,74-65,1,J. Crawford makes free throw 1 of 2
2:05.0,,,74-66,1,J. Crawford makes free throw 2 of 2
2:05.0,G. Robinson enters the game for P. George,,74-65,,
1:46.0,Shooting foul by M. Speights (drawn by C. Miles),,74-66,,
1:46.0,C. Miles makes free throw 1 of 3,1,75-66,,
1:46.0,C. Miles makes free throw 2 of 3,1,76-66,,
1:46.0,C. Miles makes free throw 3 of 3,1,77-66,,
1:46.0,M. Ellis enters the game for J. Teague,,76-66,,
1:38.0,Personal foul by R. Stuckey (drawn by A. Rivers),,77-66,,
1:38.0,,,77-66,,A. Rivers misses free throw 1 of 2
1:38.0,,,77-66,,Offensive rebound by Team
1:38.0,,,77-67,1,A. Rivers makes free throw 2 of 2
1:16.0,C. Miles misses 2-pt shot from 2 ft,,77-67,,
1:14.0,Offensive rebound by C. Miles,,77-67,,
1:13.0,Turnover by C. Miles (lost ball; steal by J. Crawford),,77-67,,
1:08.0,,,77-69,2,J. Crawford makes 2-pt shot from 2 ft
0:53.0,Shooting foul by M. Speights (drawn by M. Ellis),,77-69,,
0:53.0,M. Ellis makes free throw 1 of 2,1,78-69,,
0:53.0,M. Ellis makes free throw 2 of 2,1,79-69,,
0:40.0,,,79-69,,A. Rivers misses 2-pt shot from 2 ft
0:38.0,Defensive rebound by C. Miles,,79-69,,
0:32.0,R. Stuckey makes 2-pt shot from 15 ft,2,81-69,,
0:12.0,,,81-69,,R. Felton misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by C. Miles,,81-69,,
0:01.0,R. Stuckey makes 2-pt shot from 7 ft,2,83-69,,
0:01.0,,,83-69,,M. Speights misses 3-pt shot from 70 ft
0:00.0,,,83-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Personal foul by A. Jefferson (drawn by M. Speights),,83-69,,
11:38.0,,,83-69,,J. Redick misses 2-pt shot from 3 ft
11:37.0,,,83-69,,Offensive rebound by M. Speights
11:37.0,,,83-69,,M. Speights misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by R. Stuckey,,83-69,,
11:29.0,R. Stuckey makes 2-pt shot from 2 ft,2,85-69,,
11:13.0,,,85-69,,M. Speights misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by G. Robinson,,85-69,,
10:56.0,A. Jefferson makes 2-pt shot from 5 ft,2,87-69,,
10:56.0,Shooting foul by M. Speights (drawn by A. Jefferson),,87-69,,
10:56.0,A. Jefferson makes free throw 1 of 1,1,88-69,,
10:56.0,,,87-69,,D. Jordan enters the game for M. Speights
10:44.0,,,88-69,,J. Crawford misses 2-pt shot from 19 ft
10:43.0,,,88-69,,Offensive rebound by R. Felton
10:38.0,,,88-71,2,J. Crawford makes 2-pt shot from 19 ft
10:18.0,C. Miles misses 3-pt shot from 26 ft,,88-71,,
10:17.0,,,88-71,,Defensive rebound by D. Jordan
10:12.0,,,88-71,,J. Redick misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by A. Jefferson,,88-71,,
9:51.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,91-71,,
9:38.0,,,91-71,,Shooting foul by G. Robinson (drawn by J. Crawford)
9:38.0,,,91-72,1,J. Crawford makes free throw 1 of 2
9:38.0,,,91-73,1,J. Crawford makes free throw 2 of 2
9:38.0,,,91-72,,C. Paul enters the game for R. Felton
9:20.0,M. Ellis misses 2-pt shot from 3 ft,,91-73,,
9:19.0,,,91-73,,Defensive rebound by J. Redick
9:09.0,,,91-73,,Turnover by J. Crawford (bad pass)
9:09.0,,,91-73,,B. Griffin enters the game for A. Rivers
8:56.0,R. Stuckey misses 2-pt shot from 20 ft,,91-73,,
8:55.0,,,91-73,,Defensive rebound by D. Jordan
8:37.0,,,91-75,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
8:34.0,Indiana full timeout,,91-75,,
8:34.0,J. Teague enters the game for M. Ellis,,91-75,,
8:34.0,T. Young enters the game for G. Robinson,,91-75,,
8:34.0,P. George enters the game for C. Miles,,91-75,,
8:17.0,T. Young makes 2-pt shot from 6 ft (assist by R. Stuckey),2,93-75,,
7:52.0,,,93-78,3,C. Paul makes 3-pt shot from 28 ft (assist by J. Redick)
7:29.0,Turnover by R. Stuckey (bad pass; steal by D. Jordan),,93-78,,
7:16.0,,,93-80,2,J. Crawford makes 2-pt shot from 7 ft (assist by B. Griffin)
7:16.0,,,93-80,,Shooting foul by P. George (drawn by J. Crawford)
7:16.0,,,93-81,1,J. Crawford makes free throw 1 of 1
7:06.0,T. Young makes 2-pt shot from 2 ft (assist by P. George),2,95-81,,
7:06.0,Shooting foul by B. Griffin (drawn by T. Young),,95-81,,
7:06.0,T. Young makes free throw 1 of 1,1,96-81,,
7:06.0,M. Turner enters the game for A. Jefferson,,95-81,,
7:01.0,Personal foul by T. Young (drawn by B. Griffin),,96-81,,
6:59.0,Personal foul by J. Teague (drawn by C. Paul),,96-81,,
6:59.0,,,96-82,1,C. Paul makes free throw 1 of 2
6:59.0,,,96-83,1,C. Paul makes free throw 2 of 2
6:44.0,Turnover by P. George (lost ball; steal by B. Griffin),,96-83,,
6:40.0,,,96-85,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
6:40.0,,,96-85,,Shooting foul by P. George (drawn by B. Griffin)
6:40.0,,,96-86,1,B. Griffin makes free throw 1 of 1
6:28.0,T. Young makes 2-pt shot from 2 ft (assist by M. Turner),2,98-86,,
6:02.0,,,98-86,,Turnover by J. Redick (bad pass; steal by P. George)
5:46.0,R. Stuckey misses 2-pt shot from 18 ft,,98-86,,
5:43.0,,,98-86,,Defensive rebound by J. Redick
5:42.0,Personal foul by R. Stuckey (drawn by D. Jordan),,98-86,,
5:42.0,Official timeout,,98-86,,
5:42.0,,,98-87,1,D. Jordan makes free throw 1 of 2
5:42.0,,,98-88,1,D. Jordan makes free throw 2 of 2
5:42.0,M. Ellis enters the game for R. Stuckey,,98-86,,
5:29.0,,,98-88,,Personal foul by J. Crawford (drawn by T. Young)
5:17.0,,,98-88,,Personal foul by J. Redick (drawn by J. Teague)
5:03.0,T. Young misses 2-pt shot from 5 ft,,98-88,,
