time,Denver,pts.away,score,pts.home,Boston
6:51.0,W. Chandler makes 2-pt shot from 4 ft,2,58-35,,
6:39.0,,,58-37,2,I. Thomas makes 2-pt shot from 13 ft
6:26.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,61-37,,
6:16.0,,,61-39,2,I. Thomas makes 2-pt shot from 1 ft
5:59.0,Shooting foul by T. Zeller (drawn by W. Chandler),,61-39,,
5:59.0,W. Chandler makes free throw 1 of 2,1,62-39,,
5:59.0,W. Chandler makes free throw 2 of 2,1,63-39,,
5:59.0,,,62-39,,M. Smart enters the game for J. Young
5:41.0,,,63-41,2,I. Thomas makes 2-pt shot from 10 ft (assist by A. Bradley)
5:27.0,,,63-41,,Personal foul by M. Smart (drawn by W. Chandler)
5:27.0,W. Chandler makes free throw 1 of 2,1,64-41,,
5:27.0,W. Chandler misses free throw 2 of 2,,64-41,,
5:27.0,,,64-41,,Defensive rebound by M. Smart
5:27.0,,,64-41,,D. Jackson enters the game for A. Bradley
5:20.0,,,64-41,,M. Smart misses 2-pt shot at rim
5:19.0,,,64-41,,Offensive rebound by J. Jerebko
5:18.0,,,64-41,,J. Jerebko misses 2-pt shot from 1 ft (block by D. Gallinari)
5:17.0,Defensive rebound by N. Jokic,,64-41,,
5:07.0,J. Nelson makes 2-pt shot from 3 ft,2,66-41,,
5:02.0,Personal foul by N. Jokic (drawn by I. Thomas),,66-41,,
5:02.0,G. Harris enters the game for W. Chandler,,66-41,,
5:02.0,J. Nurkic enters the game for N. Jokic,,66-41,,
4:59.0,,,66-41,,Shooting foul by G. Harris (drawn by I. Thomas)
4:59.0,,,66-42,1,I. Thomas makes free throw 1 of 2
4:59.0,,,66-43,1,I. Thomas makes free throw 2 of 2
4:47.0,Offensive charge foul by E. Mudiay,,66-43,,
4:47.0,Turnover by E. Mudiay (offensive foul),,66-43,,
4:36.0,,,66-45,2,T. Zeller makes 2-pt shot from 21 ft (assist by I. Thomas)
4:23.0,,,66-45,,Personal foul by I. Thomas (drawn by J. Nelson)
4:23.0,J. Nelson makes free throw 1 of 2,1,67-45,,
4:23.0,J. Nelson makes free throw 2 of 2,1,68-45,,
4:14.0,,,68-45,,J. Jerebko misses 2-pt shot from 6 ft
4:13.0,,,68-45,,Offensive rebound by J. Jerebko
4:13.0,,,68-47,2,J. Jerebko makes 2-pt shot from 1 ft
3:59.0,W. Chandler enters the game for J. Nelson,,68-47,,
3:50.0,D. Gallinari makes 2-pt shot from 1 ft,2,70-47,,
3:43.0,,,70-47,,M. Smart misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by E. Mudiay,,70-47,,
3:32.0,J. Nurkic misses 2-pt shot from 2 ft,,70-47,,
3:31.0,,,70-47,,Defensive rebound by M. Smart
3:23.0,,,70-47,,M. Smart misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by W. Chandler,,70-47,,
3:20.0,,,70-47,,A. Bradley enters the game for D. Jackson
3:20.0,Jump ball: W. Chandler vs. M. Smart (D. Gallinari gains possession),,,,Jump ball: W. Chandler vs. M. Smart (D. Gallinari gains possession)
3:08.0,J. Nurkic misses 2-pt shot at rim,,70-47,,
3:07.0,,,70-47,,Defensive rebound by T. Zeller
3:02.0,,,70-47,,Shooting foul by G. Harris (drawn by I. Thomas)
3:02.0,,,70-48,1,I. Thomas makes free throw 1 of 2
3:02.0,,,70-48,,I. Thomas misses free throw 2 of 2
3:02.0,Defensive rebound by J. Nurkic,,70-48,,
2:56.0,Offensive charge foul by E. Mudiay,,70-48,,
2:56.0,Turnover by E. Mudiay (offensive foul),,70-48,,
2:56.0,Official timeout,,70-48,,
2:45.0,,,70-48,,T. Zeller misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by J. Nurkic,,70-48,,
2:31.0,G. Harris misses 2-pt shot from 6 ft,,70-48,,
2:30.0,,,70-48,,Defensive rebound by T. Zeller
2:16.0,,,70-48,,M. Smart misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by J. Nurkic,,70-48,,
2:11.0,Turnover by J. Nurkic (traveling),,70-48,,
1:58.0,,,70-48,,Turnover by J. Jerebko (bad pass; steal by G. Harris)
1:56.0,G. Harris makes 2-pt shot from 2 ft,2,72-48,,
1:56.0,Shooting foul by I. Thomas (drawn by G. Harris),,72-48,,
1:56.0,G. Harris makes free throw 1 of 1,1,73-48,,
1:56.0,N. Jokic enters the game for J. Nurkic,,72-48,,
1:46.0,,,73-48,,A. Bradley misses 2-pt shot from 20 ft
1:45.0,Defensive rebound by G. Harris,,73-48,,
1:39.0,Offensive foul by W. Chandler,,73-48,,
1:39.0,Turnover by W. Chandler (offensive foul),,73-48,,
1:39.0,,,73-48,,A. Johnson enters the game for J. Jerebko
1:29.0,Personal foul by G. Harris (drawn by I. Thomas),,73-48,,
1:23.0,,,73-50,2,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas)
1:07.0,E. Mudiay misses 2-pt shot from 1 ft (block by T. Zeller),,73-50,,
1:06.0,,,73-50,,Defensive rebound by A. Bradley
0:52.0,,,73-50,,A. Johnson misses 2-pt shot from 3 ft (block by N. Jokic)
0:51.0,Defensive rebound by E. Mudiay,,73-50,,
0:36.0,D. Gallinari makes 2-pt shot at rim (assist by G. Harris),2,75-50,,
0:34.0,,,75-50,,Shooting foul by G. Harris (drawn by I. Thomas)
0:34.0,,,75-51,1,I. Thomas makes free throw 1 of 2
0:34.0,,,75-52,1,I. Thomas makes free throw 2 of 2
0:34.0,J. Nelson enters the game for G. Harris,,75-51,,
0:19.0,E. Mudiay misses 2-pt shot from 2 ft (block by A. Bradley),,75-52,,
0:18.0,Offensive rebound by Team,,75-52,,
0:15.0,W. Chandler makes 2-pt shot from 21 ft (assist by E. Mudiay),2,77-52,,
0:04.0,,,77-52,,Turnover by I. Thomas (lost ball; steal by W. Chandler)
0:00.0,W. Chandler misses 3-pt shot from 43 ft,,77-52,,
0:00.0,Offensive rebound by Team,,77-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,77-54,2,A. Bradley makes 2-pt shot from 14 ft (assist by A. Johnson)
11:31.0,Turnover by N. Jokic (traveling),,77-54,,
11:14.0,,,77-56,2,T. Zeller makes 2-pt shot at rim (assist by I. Thomas)
10:54.0,J. Nurkic misses 2-pt shot from 5 ft,,77-56,,
10:52.0,,,77-56,,Defensive rebound by A. Bradley
10:45.0,,,77-56,,I. Thomas misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by E. Mudiay,,77-56,,
10:38.0,Turnover by E. Mudiay (bad pass),,77-56,,
10:30.0,,,77-56,,I. Thomas misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by G. Harris,,77-56,,
10:24.0,Turnover by J. Nurkic (bad pass),,77-56,,
10:11.0,,,77-58,2,M. Smart makes 2-pt shot from 1 ft
10:11.0,Denver full timeout,,77-58,,
10:11.0,W. Chandler enters the game for J. Nurkic,,77-58,,
9:46.0,D. Gallinari misses 3-pt shot from 26 ft,,77-58,,
9:45.0,,,77-58,,Defensive rebound by I. Thomas
9:28.0,,,77-58,,A. Bradley misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by N. Jokic,,77-58,,
9:16.0,W. Chandler misses 2-pt shot from 19 ft,,77-58,,
9:14.0,,,77-58,,Defensive rebound by A. Johnson
9:08.0,Personal foul by G. Harris (drawn by I. Thomas),,77-58,,
9:08.0,J. Nelson enters the game for G. Harris,,77-58,,
9:00.0,,,77-60,2,A. Bradley makes 2-pt shot from 7 ft
8:35.0,W. Chandler makes 2-pt shot from 3 ft (assist by J. Nelson),2,79-60,,
8:25.0,,,79-62,2,I. Thomas makes 2-pt shot from 19 ft (assist by A. Johnson)
8:09.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,82-62,,
7:59.0,Personal foul by J. Nelson (drawn by A. Johnson),,82-62,,
7:49.0,,,82-62,,A. Johnson misses 2-pt shot from 6 ft
7:48.0,Defensive rebound by N. Jokic,,82-62,,
7:36.0,N. Jokic makes 2-pt shot from 6 ft (assist by E. Mudiay),2,84-62,,
7:24.0,,,84-62,,A. Johnson misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by N. Jokic,,84-62,,
7:06.0,E. Mudiay misses 3-pt shot from 26 ft,,84-62,,
7:05.0,,,84-62,,Defensive rebound by A. Bradley
7:01.0,,,84-64,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
6:40.0,W. Chandler misses 3-pt shot from 26 ft,,84-64,,
6:39.0,,,84-64,,Defensive rebound by A. Bradley
6:30.0,,,84-66,2,A. Bradley makes 2-pt shot from 10 ft
6:20.0,Turnover by J. Nelson (bad pass; steal by T. Zeller),,84-66,,
6:15.0,,,84-66,,T. Zeller misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by N. Jokic,,84-66,,
6:10.0,Offensive charge foul by E. Mudiay,,84-66,,
6:10.0,Turnover by E. Mudiay (offensive foul),,84-66,,
6:10.0,,,84-66,,J. Jerebko enters the game for A. Johnson
6:10.0,,,84-66,,T. Rozier enters the game for I. Thomas
5:56.0,,,84-69,3,M. Smart makes 3-pt shot from 25 ft (assist by T. Zeller)
5:35.0,N. Jokic makes 2-pt shot from 2 ft,2,86-69,,
5:35.0,Shooting foul by T. Zeller (drawn by N. Jokic),,86-69,,
5:35.0,N. Jokic makes free throw 1 of 1,1,87-69,,
5:22.0,,,87-69,,A. Bradley misses 2-pt shot from 20 ft
5:21.0,Defensive rebound by W. Chandler,,87-69,,
5:08.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson),3,90-69,,
4:46.0,,,90-71,2,J. Jerebko makes 2-pt shot from 7 ft (assist by A. Bradley)
4:28.0,D. Gallinari makes 3-pt shot from 25 ft,3,93-71,,
4:09.0,,,93-71,,A. Bradley misses 3-pt shot from 25 ft (block by E. Mudiay)
4:07.0,,,93-71,,Offensive rebound by A. Bradley
4:03.0,,,93-74,3,J. Jerebko makes 3-pt shot from 27 ft (assist by M. Smart)
3:47.0,W. Chandler misses 2-pt shot from 5 ft,,93-74,,
3:47.0,Offensive rebound by Team,,93-74,,
3:47.0,,,93-74,,Personal foul by J. Jerebko (drawn by N. Jokic)
3:47.0,K. Faried enters the game for N. Jokic,,93-74,,
3:47.0,,,93-74,,J. Brown enters the game for M. Smart
3:47.0,,,93-74,,J. Mickey enters the game for T. Zeller
3:47.0,,,93-74,,I. Thomas enters the game for A. Bradley
3:38.0,,,93-74,,Personal foul by J. Mickey (drawn by D. Gallinari)
3:22.0,W. Chandler makes 2-pt shot from 2 ft,2,95-74,,
3:11.0,,,95-74,,J. Jerebko misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by K. Faried,,95-74,,
2:58.0,J. Nelson makes 3-pt shot from 26 ft,3,98-74,,
2:40.0,,,98-74,,Shooting foul by W. Chandler (drawn by I. Thomas)
2:40.0,,,98-74,,Boston full timeout
2:40.0,,,98-75,1,I. Thomas makes free throw 1 of 2
2:40.0,,,98-76,1,I. Thomas makes free throw 2 of 2
2:40.0,,,98-74,,G. Green enters the game for J. Jerebko
2:40.0,J. Murray enters the game for W. Chandler,,98-74,,
2:24.0,J. Murray misses 3-pt shot from 28 ft,,98-76,,
2:22.0,Offensive rebound by Team,,98-76,,
2:14.0,E. Mudiay misses 2-pt shot from 12 ft,,98-76,,
2:13.0,,,98-76,,Defensive rebound by G. Green
2:04.0,Personal foul by J. Nelson (drawn by I. Thomas),,98-76,,
1:53.0,,,98-76,,Offensive charge foul by G. Green
1:53.0,,,98-76,,Turnover by G. Green (offensive foul)
1:38.0,J. Nelson misses 3-pt shot from 26 ft,,98-76,,
1:37.0,,,98-76,,Defensive rebound by J. Mickey
1:28.0,,,98-76,,J. Brown misses 2-pt shot from 5 ft
1:27.0,Defensive rebound by K. Faried,,98-76,,
1:10.0,J. Murray makes 3-pt shot from 23 ft (assist by J. Nelson),3,101-76,,
0:58.0,,,101-78,2,G. Green makes 2-pt shot from 15 ft (assist by J. Mickey)
0:46.0,E. Mudiay makes 2-pt shot from 2 ft,2,103-78,,
0:39.0,,,103-81,3,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas)
0:22.0,J. Murray misses 2-pt shot from 14 ft,,103-81,,
0:21.0,,,103-81,,Defensive rebound by J. Mickey
0:02.0,,,103-83,2,I. Thomas makes 2-pt shot from 2 ft
0:02.0,Violation by K. Faried (def goaltending),,103-83,,
0:00.0,J. Murray misses 3-pt shot from 54 ft,,103-83,,
0:00.0,Offensive rebound by Team,,103-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,103-83,,Personal foul by I. Thomas (drawn by D. Gallinari)
11:38.0,Shooting foul by G. Green (drawn by K. Faried),,103-83,,
11:38.0,K. Faried makes free throw 1 of 2,1,104-83,,
11:38.0,K. Faried misses free throw 2 of 2,,104-83,,
11:38.0,,,104-83,,Defensive rebound by A. Bradley
11:16.0,,,104-86,3,D. Jackson makes 3-pt shot from 26 ft (assist by G. Green)
10:53.0,G. Harris makes 3-pt shot from 26 ft,3,107-86,,
10:30.0,,,107-86,,I. Thomas misses 2-pt shot from 8 ft
10:29.0,Defensive rebound by G. Harris,,107-86,,
10:11.0,G. Harris misses 2-pt shot from 17 ft,,107-86,,
10:10.0,Offensive rebound by K. Faried,,107-86,,
9:58.0,Shooting foul by G. Green (drawn by K. Faried),,107-86,,
9:58.0,K. Faried makes free throw 1 of 2,1,108-86,,
9:58.0,K. Faried makes free throw 2 of 2,1,109-86,,
9:58.0,,,108-86,,M. Smart enters the game for G. Green
9:58.0,,,108-86,,T. Zeller enters the game for J. Mickey
9:49.0,,,109-89,3,I. Thomas makes 3-pt shot from 25 ft (assist by T. Zeller)
9:34.0,G. Harris misses 2-pt shot from 9 ft,,109-89,,
9:28.0,Offensive rebound by K. Faried,,109-89,,
9:28.0,K. Faried makes 2-pt shot from 1 ft,2,111-89,,
9:16.0,,,111-91,2,M. Smart makes 2-pt shot from 2 ft (assist by D. Jackson)
8:58.0,J. Nelson misses 2-pt shot from 4 ft,,111-91,,
8:54.0,Offensive rebound by K. Faried,,111-91,,
8:54.0,K. Faried misses 2-pt shot from 2 ft,,111-91,,
8:53.0,,,111-91,,Defensive rebound by A. Bradley
8:49.0,,,111-91,,A. Bradley misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by D. Gallinari,,111-91,,
8:39.0,Shooting foul by T. Zeller (drawn by K. Faried),,111-91,,
8:39.0,Official timeout,,111-91,,
8:39.0,K. Faried makes free throw 1 of 2,1,112-91,,
8:39.0,K. Faried makes free throw 2 of 2,1,113-91,,
8:39.0,E. Mudiay enters the game for J. Murray,,111-91,,
8:26.0,,,113-91,,T. Zeller misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by D. Gallinari,,113-91,,
8:04.0,,,113-91,,Personal foul by A. Bradley (drawn by E. Mudiay)
8:04.0,E. Mudiay makes free throw 1 of 2,1,114-91,,
8:04.0,E. Mudiay makes free throw 2 of 2,1,115-91,,
8:04.0,,,114-91,,J. Brown enters the game for D. Jackson
7:52.0,,,115-91,,A. Bradley misses 2-pt shot from 3 ft (block by G. Harris)
7:51.0,,,115-91,,Offensive rebound by A. Bradley
7:49.0,,,115-91,,J. Brown misses 3-pt shot from 28 ft
7:48.0,Defensive rebound by K. Faried,,115-91,,
7:29.0,Turnover by J. Nelson (bad pass),,115-91,,
7:29.0,,,115-91,,J. Mickey enters the game for T. Zeller
7:15.0,,,115-91,,I. Thomas misses 3-pt shot from 27 ft
7:14.0,Defensive rebound by K. Faried,,115-91,,
7:01.0,Turnover by E. Mudiay (lost ball; steal by I. Thomas),,115-91,,
6:56.0,,,115-91,,I. Thomas misses 2-pt shot at rim
6:55.0,,,115-91,,Offensive rebound by J. Brown
6:55.0,,,115-93,2,J. Brown makes 2-pt shot from 1 ft
6:55.0,Denver full timeout,,115-93,,
6:55.0,,,115-93,,T. Rozier enters the game for I. Thomas
6:31.0,D. Gallinari misses 2-pt shot from 3 ft,,115-93,,
6:28.0,Offensive rebound by K. Faried,,115-93,,
6:28.0,K. Faried misses 2-pt shot from 1 ft,,115-93,,
6:27.0,,,115-93,,Defensive rebound by M. Smart
