time,Houston,pts.away,score,pts.home,Portland
1:14.0,,,54-62,,A. Aminu enters the game for J. Nurkic
0:59.0,J. Harden misses 2-pt shot from 18 ft,,54-63,,
0:58.0,,,54-63,,Defensive rebound by D. Lillard
0:39.0,,,54-63,,D. Lillard misses 2-pt shot from 19 ft
0:38.0,Defensive rebound by J. Harden,,54-63,,
0:31.0,P. Beverley misses 3-pt shot from 23 ft,,54-63,,
0:29.0,Offensive rebound by N. Hilario,,54-63,,
0:27.0,S. Dekker makes 2-pt shot from 1 ft (assist by N. Hilario),2,56-63,,
0:19.0,,,56-63,,Portland full timeout
0:19.0,,,56-63,,J. Nurkic enters the game for A. Aminu
0:19.0,,,56-63,,A. Crabbe enters the game for E. Turner
0:04.0,,,56-65,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
0:00.0,J. Harden misses 3-pt shot from 32 ft,,56-65,,
0:00.0,Offensive rebound by Team,,56-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Harden makes 2-pt shot from 2 ft,2,58-65,,
11:34.0,,,58-65,,N. Vonleh misses 2-pt shot from 2 ft (block by C. Capela)
11:34.0,,,58-65,,Offensive rebound by Team
11:24.0,,,58-67,2,M. Harkless makes 2-pt shot at rim
11:06.0,J. Harden misses 3-pt shot from 25 ft,,58-67,,
11:05.0,,,58-67,,Defensive rebound by J. Nurkic
10:56.0,,,58-67,,J. Nurkic misses 2-pt shot from 1 ft
10:55.0,,,58-67,,Offensive rebound by N. Vonleh
10:55.0,,,58-69,2,N. Vonleh makes 2-pt shot from 1 ft
10:30.0,J. Harden makes 2-pt shot from 4 ft,2,60-69,,
10:08.0,,,60-69,,Turnover by N. Vonleh (lost ball; steal by T. Ariza)
10:00.0,E. Gordon misses 3-pt shot from 24 ft,,60-69,,
9:59.0,Offensive rebound by C. Capela,,60-69,,
9:37.0,J. Harden misses 3-pt shot from 26 ft,,60-69,,
9:35.0,Offensive rebound by P. Beverley,,60-69,,
9:35.0,P. Beverley misses 2-pt shot at rim,,60-69,,
9:33.0,,,60-69,,Defensive rebound by N. Vonleh
9:22.0,,,60-69,,C. McCollum misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by P. Beverley,,60-69,,
9:16.0,J. Harden misses 2-pt shot from 2 ft (block by J. Nurkic),,60-69,,
9:16.0,,,60-69,,Defensive rebound by Team
9:01.0,,,60-69,,J. Nurkic misses 2-pt shot from 23 ft
9:00.0,Defensive rebound by J. Harden,,60-69,,
8:47.0,T. Ariza misses 3-pt shot from 25 ft,,60-69,,
8:46.0,,,60-69,,Defensive rebound by D. Lillard
8:40.0,,,60-69,,Shooting foul by P. Beverley (drawn by D. Lillard)
8:40.0,,,60-71,2,D. Lillard makes 2-pt shot from 17 ft
8:40.0,,,60-72,1,D. Lillard makes free throw 1 of 1
8:30.0,Turnover by E. Gordon (bad pass; steal by J. Nurkic),,60-72,,
8:20.0,,,60-72,,J. Nurkic misses 2-pt shot at rim
8:19.0,Defensive rebound by C. Capela,,60-72,,
8:02.0,J. Harden misses 2-pt shot from 1 ft (block by M. Harkless),,60-72,,
8:02.0,Offensive rebound by Team,,60-72,,
8:00.0,Shooting foul by D. Lillard (drawn by P. Beverley),,60-72,,
8:00.0,P. Beverley makes free throw 1 of 3,1,61-72,,
8:00.0,P. Beverley makes free throw 2 of 3,1,62-72,,
8:00.0,P. Beverley makes free throw 3 of 3,1,63-72,,
7:46.0,,,63-75,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
7:28.0,J. Harden makes 2-pt shot from 1 ft,2,65-75,,
7:02.0,,,65-77,2,D. Lillard makes 2-pt shot from 2 ft
6:44.0,J. Harden misses 3-pt shot from 25 ft,,65-77,,
6:42.0,Offensive rebound by J. Harden,,65-77,,
6:39.0,J. Harden makes 2-pt shot from 2 ft,2,67-77,,
6:19.0,,,67-77,,D. Lillard misses 3-pt shot from 27 ft
6:18.0,Defensive rebound by T. Ariza,,67-77,,
6:10.0,E. Gordon makes 2-pt shot from 8 ft (assist by P. Beverley),2,69-77,,
6:10.0,,,69-77,,Portland full timeout
6:10.0,,,69-77,,A. Aminu enters the game for N. Vonleh
5:49.0,,,69-80,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
5:31.0,J. Harden misses 2-pt shot from 2 ft (block by M. Harkless),,69-80,,
5:31.0,Offensive rebound by Team,,69-80,,
5:31.0,L. Williams enters the game for P. Beverley,,69-80,,
5:31.0,,,69-80,,A. Crabbe enters the game for C. McCollum
5:23.0,T. Ariza makes 2-pt shot from 3 ft,2,71-80,,
4:58.0,,,71-80,,Turnover by J. Nurkic (lost ball; steal by T. Ariza)
4:51.0,T. Ariza makes 3-pt shot from 25 ft,3,74-80,,
4:31.0,,,74-82,2,D. Lillard makes 2-pt shot from 1 ft
4:23.0,L. Williams misses 3-pt shot from 24 ft,,74-82,,
4:23.0,,,74-82,,Defensive rebound by A. Crabbe
4:11.0,,,74-82,,Turnover by A. Aminu (bad pass; steal by C. Capela)
4:11.0,,,74-82,,Personal foul by A. Aminu (drawn by T. Ariza)
4:11.0,S. Dekker enters the game for E. Gordon,,74-82,,
4:11.0,N. Hilario enters the game for C. Capela,,74-82,,
3:53.0,N. Hilario makes 2-pt shot from 1 ft (assist by L. Williams),2,76-82,,
3:38.0,,,76-84,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
3:23.0,Turnover by N. Hilario (bad pass; steal by A. Crabbe),,76-84,,
3:14.0,,,76-86,2,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard)
3:01.0,J. Harden makes 2-pt shot from 2 ft,2,78-86,,
2:48.0,,,78-86,,J. Nurkic misses 2-pt shot from 3 ft (block by S. Dekker)
2:46.0,Defensive rebound by N. Hilario,,78-86,,
2:42.0,J. Harden misses 3-pt shot from 26 ft,,78-86,,
2:41.0,,,78-86,,Defensive rebound by A. Aminu
2:30.0,,,78-88,2,D. Lillard makes 2-pt shot from 19 ft
2:27.0,Houston full timeout,,78-88,,
2:27.0,,,78-88,,M. Leonard enters the game for J. Nurkic
2:27.0,,,78-88,,E. Turner enters the game for M. Harkless
2:15.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden),2,80-88,,
2:15.0,Shooting foul by E. Turner (drawn by N. Hilario),,80-88,,
2:15.0,N. Hilario makes free throw 1 of 1,1,81-88,,
1:54.0,,,81-91,3,D. Lillard makes 3-pt shot from 24 ft (assist by E. Turner)
1:44.0,L. Williams misses 2-pt shot from 2 ft (block by M. Leonard),,81-91,,
1:43.0,,,81-91,,Defensive rebound by A. Aminu
1:33.0,,,81-94,3,M. Leonard makes 3-pt shot from 24 ft (assist by A. Aminu)
1:22.0,Shooting foul by M. Leonard (drawn by J. Harden),,81-94,,
1:22.0,J. Harden makes free throw 1 of 2,1,82-94,,
1:22.0,J. Harden makes free throw 2 of 2,1,83-94,,
1:09.0,,,83-94,,D. Lillard misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by S. Dekker,,83-94,,
0:50.0,Turnover by J. Harden (bad pass; steal by A. Aminu),,83-94,,
0:47.0,,,83-96,2,A. Crabbe makes 2-pt shot at rim (assist by E. Turner)
0:39.0,L. Williams makes 2-pt shot from 13 ft,2,85-96,,
0:30.0,,,85-96,,E. Turner misses 3-pt shot from 22 ft
0:30.0,,,85-96,,Offensive rebound by A. Aminu
0:27.0,,,85-96,,A. Aminu misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by L. Williams,,85-96,,
0:04.0,J. Harden misses 3-pt shot from 25 ft,,85-96,,
0:03.0,,,85-96,,Defensive rebound by A. Aminu
0:01.0,Personal block foul by J. Harden (drawn by D. Lillard),,85-96,,
0:00.0,,,85-96,,Turnover by M. Leonard (bad pass; steal by T. Ariza)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,85-98,2,C. McCollum makes 2-pt shot from 15 ft (assist by M. Leonard)
11:28.0,Shooting foul by A. Crabbe (drawn by L. Williams),,85-98,,
11:28.0,L. Williams makes free throw 1 of 2,1,86-98,,
11:28.0,L. Williams makes free throw 2 of 2,1,87-98,,
11:16.0,,,87-98,,A. Crabbe misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by C. Capela,,87-98,,
11:07.0,L. Williams makes 2-pt shot from 9 ft,2,89-98,,
10:48.0,,,89-98,,M. Leonard misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by C. Capela,,89-98,,
10:26.0,C. Capela misses 2-pt shot from 4 ft,,89-98,,
10:26.0,,,89-98,,Defensive rebound by A. Aminu
10:05.0,,,89-98,,C. McCollum misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by S. Dekker,,89-98,,
9:55.0,Turnover by E. Gordon (traveling),,89-98,,
9:31.0,,,89-98,,M. Leonard misses 2-pt shot from 13 ft
9:30.0,Defensive rebound by L. Williams,,89-98,,
9:21.0,L. Williams makes 2-pt shot from 15 ft,2,91-98,,
9:21.0,,,91-98,,Portland full timeout
9:21.0,,,91-98,,N. Vonleh enters the game for M. Leonard
9:06.0,,,91-98,,Turnover by C. McCollum (bad pass)
8:47.0,L. Williams misses 3-pt shot from 28 ft,,91-98,,
8:46.0,,,91-98,,Defensive rebound by E. Turner
8:37.0,,,91-98,,C. McCollum misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by L. Williams,,91-98,,
8:28.0,E. Gordon makes 3-pt shot from 25 ft (assist by S. Dekker),3,94-98,,
8:07.0,,,94-98,,Shooting foul by E. Gordon (drawn by A. Aminu)
8:07.0,,,94-99,1,A. Aminu makes free throw 1 of 2
8:07.0,,,94-100,1,A. Aminu makes free throw 2 of 2
8:07.0,,,94-99,,D. Lillard enters the game for E. Turner
7:54.0,C. Capela misses 2-pt shot from 1 ft,,94-100,,
7:53.0,,,94-100,,Defensive rebound by A. Aminu
7:53.0,Personal take foul by P. Beverley (drawn by A. Aminu),,94-100,,
7:36.0,,,94-100,,D. Lillard misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by Team,,94-100,,
7:24.0,E. Gordon misses 2-pt shot from 3 ft,,94-100,,
7:23.0,Offensive rebound by C. Capela,,94-100,,
7:21.0,C. Capela makes 2-pt shot from 2 ft,2,96-100,,
7:04.0,,,96-100,,C. McCollum misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by Team,,96-100,,
7:03.0,,,96-100,,J. Nurkic enters the game for N. Vonleh
6:56.0,E. Gordon misses 3-pt shot from 24 ft,,96-100,,
6:56.0,,,96-100,,Defensive rebound by C. McCollum
6:47.0,,,96-102,2,A. Aminu makes 2-pt shot from 12 ft (assist by A. Crabbe)
6:32.0,L. Williams misses 2-pt shot from 2 ft,,96-102,,
6:30.0,,,96-102,,Defensive rebound by A. Aminu
6:21.0,,,96-102,,C. McCollum misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by C. Capela,,96-102,,
6:14.0,Turnover by L. Williams (lost ball; steal by A. Crabbe),,96-102,,
6:11.0,,,96-102,,Shooting foul by E. Gordon (drawn by J. Nurkic)
6:11.0,,,96-103,1,J. Nurkic makes free throw 1 of 2
6:11.0,,,96-103,,J. Nurkic misses free throw 2 of 2
6:11.0,N. Hilario enters the game for C. Capela,,96-103,,
6:11.0,T. Ariza enters the game for P. Beverley,,96-103,,
6:11.0,J. Harden enters the game for S. Dekker,,96-103,,
6:11.0,,,96-103,,M. Harkless enters the game for C. McCollum
6:10.0,Defensive rebound by T. Ariza,,96-103,,
5:50.0,L. Williams makes 2-pt shot from 2 ft,2,98-103,,
5:31.0,,,98-103,,A. Aminu misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by T. Ariza,,98-103,,
5:18.0,J. Harden makes 3-pt shot from 27 ft,3,101-103,,
4:56.0,,,101-103,,A. Aminu misses 3-pt shot from 23 ft
4:55.0,Defensive rebound by N. Hilario,,101-103,,
4:36.0,L. Williams misses 2-pt shot from 11 ft,,101-103,,
4:35.0,,,101-103,,Defensive rebound by A. Crabbe
4:25.0,,,101-103,,D. Lillard misses 2-pt shot from 6 ft
