time,Sacramento,pts.away,score,pts.home,Boston
11:37.0,,,29-29,,T. Rozier misses 2-pt shot from 17 ft
11:36.0,,,29-29,,Offensive rebound by Team
11:36.0,,,29-29,,Turnover by Team (shot clock)
11:20.0,O. Casspi misses 2-pt shot from 7 ft,,29-29,,
11:19.0,,,29-29,,Defensive rebound by J. Jerebko
11:07.0,,,29-29,,K. Olynyk misses 2-pt shot from 19 ft
11:06.0,Defensive rebound by M. Barnes,,29-29,,
10:47.0,T. Lawson misses 2-pt shot from 14 ft,,29-29,,
10:46.0,,,29-29,,Defensive rebound by K. Olynyk
10:27.0,,,29-29,,Offensive foul by M. Smart
10:27.0,,,29-29,,Turnover by M. Smart (offensive foul)
10:27.0,,,29-29,,A. Bradley enters the game for J. Brown
10:08.0,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Barnes),2,31-29,,
9:54.0,,,31-32,3,M. Smart makes 3-pt shot from 25 ft (assist by J. Jerebko)
9:39.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,33-32,,
9:21.0,,,33-32,,Turnover by J. Jerebko (lost ball; steal by M. Barnes)
9:18.0,,,33-32,,J. Young enters the game for T. Rozier
9:14.0,M. Barnes misses 3-pt shot from 26 ft,,33-32,,
9:13.0,,,33-32,,Defensive rebound by J. Young
8:58.0,,,33-32,,A. Bradley misses 2-pt shot from 2 ft (block by G. Temple)
8:57.0,Defensive rebound by M. Barnes,,33-32,,
8:52.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by M. Smart),,33-32,,
8:51.0,,,33-32,,Defensive rebound by J. Jerebko
8:37.0,Def 3 sec tech foul by W. Cauley-Stein,,33-32,,
8:37.0,Official timeout,,33-32,,
8:37.0,,,33-33,1,A. Bradley makes technical free throw
8:37.0,,,33-32,,A. Johnson enters the game for K. Olynyk
8:27.0,,,33-36,3,J. Jerebko makes 3-pt shot from 23 ft (assist by M. Smart)
8:04.0,M. Barnes makes 2-pt shot from 1 ft (assist by T. Lawson),2,35-36,,
7:44.0,,,35-38,2,A. Johnson makes 2-pt shot from 7 ft (assist by M. Smart)
7:34.0,Turnover by T. Lawson (traveling),,35-38,,
7:34.0,R. Gay enters the game for T. Lawson,,35-38,,
7:20.0,,,35-38,,J. Jerebko misses 2-pt shot from 6 ft
7:19.0,Defensive rebound by M. Barnes,,35-38,,
7:16.0,O. Casspi makes 2-pt shot from 1 ft (assist by M. Barnes),2,37-38,,
7:16.0,Shooting foul by A. Johnson (drawn by O. Casspi),,37-38,,
7:16.0,O. Casspi makes free throw 1 of 1,1,38-38,,
7:16.0,,,37-38,,A. Horford enters the game for A. Johnson
7:03.0,,,38-38,,A. Bradley misses 3-pt shot from 26 ft
7:02.0,,,38-38,,Offensive rebound by Team
7:02.0,,,38-38,,J. Crowder enters the game for J. Young
6:49.0,,,38-38,,J. Crowder misses 2-pt shot from 19 ft
6:48.0,Defensive rebound by G. Temple,,38-38,,
6:34.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Gay),2,40-38,,
6:16.0,,,40-38,,A. Horford misses 2-pt shot from 7 ft
6:15.0,Defensive rebound by M. Barnes,,40-38,,
6:09.0,Sacramento full timeout,,40-38,,
6:09.0,,,40-38,,I. Thomas enters the game for M. Smart
6:09.0,D. Cousins enters the game for W. Cauley-Stein,,40-38,,
5:58.0,R. Gay misses 2-pt shot from 21 ft,,40-38,,
5:57.0,,,40-38,,Defensive rebound by I. Thomas
5:43.0,,,40-38,,Shooting foul by R. Gay (drawn by J. Crowder)
